PassageID,Title,Author,Total termFreq,termFreq(gener),termFreq(knowledg),termFreq(law),termFreq(principl),termFreq(truth),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0358900101_000041,"The works of John Locke, in four volumes.",John Locke,36,2.0,4.0,3.0,17.0,10.0,1777,1,4,"London : printed for W. Strahan, J. F. and C. Rivington, L. Davis, W. Owen, S. Baker and G. Leigh, [and 18 others in London], 1777.",London,868,male,1632,1704,True
0319502701_000028,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,41,2.0,6.0,23.0,5.0,5.0,1721,1,2,"London : printed for A. Churchill and A. Manship; and sold by W. Taylor, at the Ship and Black Swan in Pater-Noster Row, 1721.",London,405,male,1632,1704,True
0323100101_000028,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,38,2.0,5.0,20.0,6.0,5.0,1760,1,2,"London : printed for D. Browne, C. Hitch and L. Hawes, J. Shuckburgh, A. Millar, J. Beecroft, J. Rivington, J. Whiston, S. Baker, T. Payne, J. Ward, R. Baldwin, W. Johnston, W. Owen, J. Richardson, S. Crowder, P. Davey and B. Law, T. Longman, L. Davis, E. Dilly, R. Withy, and M. Cooper, M.DCC.LX. [1760].",London,409,male,1632,1704,True
0879600101_000041,"The works of John Locke, in four volumes.",John Locke,37,1.0,8.0,16.0,7.0,5.0,1768,1,4,"London : printed for H. Woodfall, A. Millar, J. Beecroft, J. and F. Rivington, J. Whiston, S. Baker, T. Payne, L. Davis and Co. [sic] R. Baldwin, Hawes, Clarke and Collins, B. White, W. Johnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, A. and J. Shuckburgh, and T. Cadell, MDCCLXVIII. [1768].",London,859,male,1632,1704,True
0532701201_000028,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,32,3.0,4.0,14.0,6.0,5.0,1753,1,2,"Berwick : printed by Robert Taylor, M.DCC.LIII. [1753].",Berwick-upon-Tweed,451,male,1632,1704,True
0126101501_000031,"An essay concerning human understanding; with thoughts on the conduct of the understanding. By John Locke, Esq. Collated with Desmaizeaux's edition. To which is prefixed, the life of the author. In three volumes. ...",John Locke,33,2.0,6.0,15.0,5.0,5.0,1795,1,3,"London : printed for Allen & West, J. Mundell and Co. Edinburgh, Mozley & Co. Gainsborough, and J. & A. Duncan, Glasgow, 1795.",London,324,male,1632,1704,True
0489200101_000323,"Cyclopædia: or, an universal dictionary of arts and sciences; ... By E. Chambers, F.R.S.",Ephraim Chambers,27,5.0,7.0,2.0,7.0,6.0,1738,1,2,"London : printed for D. Midwinter, A. Bettesworth and C. Hitch, J. Senex, R. Gosling [and 12 others in London], 1738.",London,,male,1680,1740,False
1435900301_000088,"Discourses on the truth of revealed religion and other important subjects. By Hugh Knox, Minister of the Gospel in the island of Saba, in the West Indies. In two volumes.","Knox, Hugh",29,5.0,5.0,8.0,5.0,6.0,1768,1,2,"London : printed for Thomas Cadell, in the Strand, M.DCC.LXVIII. [1768].",London,368,male,1727,1790,False
0508700102_000019,"Elements of the philosophy of the human mind. By Dugald Stewart, ...",Dugald Stewart,29,3.0,4.0,7.0,7.0,8.0,1814,2,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh, 1792-1827.",London,564,male,1753,1828,False
0336300301_000024,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,28,4.0,5.0,3.0,9.0,7.0,1731,1,2,"London : printed for Arthur Bettesworth and Charles Hitch, at the Red Lion in Pater-Noster-Row; Edmund Parker, at the Bible and Crown in Lombard-Street; John Pemberton, at the Buck against St. Dunstan's Church, in Fleet-Street; and Edward Symon, against the Royal Exchange, in Cornhill, M.DCC.XXXI. [1731].",London,410,male,1632,1704,True
0895300101_000029,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,37,1.0,8.0,16.0,8.0,4.0,1788,1,2,"London : printed for J. F. and C. Rivington, T. and T. Payne, L. Davis, B. and B. White, S. Crowder, T. Longman, B. Law, C. Rivington, J. Robson, J. Johnson, C. Dilly, N. Conant, G. G. J. and J. Robinson, T. Cadell, J. Nichols, W. Richardson, W. Otridge, J. Sewell, W. Goldsmith, S. Hayes, Leigh and Sotherby, W. Lowndes, G. and T. Wilkie, Scatcherd and Whitaker, and R. Ryan. MDCCLXXXVIII. [1788].",London,491,male,1632,1704,True
0863800400_000020,"Lectures on the duties and qualifications of a physician. By John Gregory, M.D. F. R. S. Physician to His Majesty, and Professor of Medicine in the University of Edinburgh.",John Gregory,30,5.0,4.0,8.0,9.0,4.0,1772,1,1,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXII. [1772].",London,245,male,1724,1773,False
1099500301_000030,"An essay concerning human understanding. In four books. Written by John Locke, gent.",John Locke,38,1.0,7.0,15.0,10.0,5.0,1753,1,2,"[London?] : [s.n.], Printed in the Year M.DCC.LIII. [1753].",London,451,male,1632,1704,True
0336300201_000028,"An essay concerning human understanding. In four books. Witten [sic] by John Locke, Gent. ...",John Locke,40,2.0,7.0,22.0,6.0,3.0,1726,1,2,"London : printed by T. W. for A. Churchill; and Edm. Parker, at the Bible and Crown in Lombardstreet, M.DCC.XXVI. [1726].",London,404,male,1632,1704,True
0336400301_000028,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,32,2.0,4.0,14.0,6.0,6.0,1748,1,2,"London : printed for S. Birt, D. Browne, C. Hitch, J. Hodges, J. Oswald, J. Shuckburgh, A. Millar, J. Beecroft, J. Ward, M. Cooper, and the Executors of H. Pemberton, MDCCXLVIII. [1748].",London,406,male,1632,1704,True
1099000101_000032,"An essay concerning human understanding. Written by John Locke, Gent. The twentieth edition. To which are now added, I. An analysis of Mr. Locke's Doctrine of Ideas, on a large Sheet. II. A. Defence of Mr. Locke's Opinion concerning Personal Identity, with an Appendix. III. A Treatise on the Conduct of the Understanding. IV. Some Thoughts concerning Reading and Study for a Gentleman. V. Elements of Natural Philosophy. VI. A new method of a Common-Place-Book. Extracted from the author's works. ...",John Locke,32,3.0,4.0,15.0,5.0,5.0,1796,1,2,"London : printed for T Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. J. and J. Robinson , T. Cadell, W. Richardson, W. Otridge, J. Sewell, F. and C. Rivington, Ogilvy and Speare, S. Hayes, Leigh and Sotheby, T. Payne, W. Lowndes, R. Faulder, B. and J. White, Vernor and Hood, G. and T. Wilkie, Scatcherd and Whitaker, E. Jefferey, and Cadell and Davies, 1796.",London,543,male,1632,1704,True
0929200101_000024,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,29,5.0,5.0,2.0,9.0,8.0,1731,1,2,"London : printed for Edmund Parker, at the Bible and Crown over against the New Church in Lombard-Street, M.DCC.XXXI. [1731].",London,404,male,1632,1704,True
0256200101_000029,The works of John Locke Esq; In three volumes. ... With alphabetical tables. ...,John Locke,39,1.0,6.0,17.0,10.0,5.0,1727,1,3,"London : printed for Arthur Bettesworth; Edmund Parker; John Pemberton; and Edward Symon, 1727.",London,630,male,1632,1704,True
0627600200_000004,"The misery of man. Being The Substance of Two Sermons, Preach'd at St. Paul's Covent-Garden, On the 25th of November, and On the 16th of December, MDCCXXII. By Henry Gally, M. A. Lecturer of the said Parish, and Rector of Wanden in the County of Bucks.",Henry Gally,30,4.0,5.0,2.0,9.0,10.0,1723,1,1,"London : printed for J. Peele, at Locke's Head in Pater-Noster-Row, MDCCXXIII. [1723].",London,50,male,1696,1769,False
0315800101_000038,"The works of John Locke, Esq; In three volumes. The sixth edition. To which is added, the life of the author; and a collection of several of his pieces published by Mr. Desmaizeaux. ...",John Locke,39,1.0,6.0,18.0,9.0,5.0,1759,1,3,"London : printed for D. Browne, C. Hitch and L. Hawes, J. Shuckburgh, A. Millar, J. Beecroft, John Rivington, James Rivington and J. Fletcher, J. Ward, R. Baldwin, J. Richardson, S. Crowder, P. Davey and B. Law, T. Longman, E. Dilly, R. Withy, T. Payne, and M. Cooper. M.DCC.LIX. [1759].",London,646,male,1632,1704,True
0969800201_000029,"An essay concerning human understanding. In four books. Written by John Locke, gent. ...",John Locke,38,1.0,9.0,16.0,8.0,4.0,1786,1,2,"Dublin : printed by and for W. Sleater, H. Chamberlaine, and J. Potts, M,DCC,LXXXVI. [1786].",Dublin,405,male,1632,1704,True
0312300101_000029,The works of John Locke Esq; in three volumes. The contents of which follow in the next leaf. With alphabetical tables. ...,John Locke,39,1.0,6.0,18.0,9.0,5.0,1722,1,3,"London : printed for A. Churchill, and A. Manship, and sold by W. Taylor in Pater-noster-Row. M.DCC.XXII. [1722].",London,634,male,1632,1704,True
0343700201_000031,"An essay concerning human understanding; with thoughts on the conduct of the understanding. By John Locke, Esq. Collated with Desmaizeaux's edition. To which is prefixed, the life of the author. In three volumes. ...",John Locke,38,1.0,5.0,14.0,13.0,5.0,1798,1,3,"Edinburgh : printed for Mundell & Son; and J. Mundell, College, Glasgow, 1798.",Edinburgh,322,male,1632,1704,True
0879600101_000037,"The works of John Locke, in four volumes.",John Locke,35,2.0,3.0,3.0,17.0,10.0,1768,1,4,"London : printed for H. Woodfall, A. Millar, J. Beecroft, J. and F. Rivington, J. Whiston, S. Baker, T. Payne, L. Davis and Co. [sic] R. Baldwin, Hawes, Clarke and Collins, B. White, W. Johnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, A. and J. Shuckburgh, and T. Cadell, MDCCLXVIII. [1768].",London,859,male,1632,1704,True
0852000101_000326,"Cyclopædia: or, an universal dictionary of arts and sciences; ... By E. Chambers, F.R.S. The third edition corrected and amended; with some additions. In two volumes. ...",Ephraim Chambers,31,7.0,10.0,1.0,6.0,7.0,1740,1,2,"Dublin : printed for Richard Gunne; Robert Owen; Geo. Risk, Jos. Leathley, Geo. Ewing [and 5 others in Dublin], 1740.",Dublin,1092,male,1680,1740,False
0323100201_000024,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,26,3.0,5.0,3.0,7.0,8.0,1768,1,2,"London : printed for H. Woodfall, A. Millar, J. Beecroft, J. and F. Rivington, J. Whiston, S. Baker, T. Payne, L. Davis and Co. R. Baldwin, Hawes, Clarke and Collins, B. White, W. Johnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, A. and J. Shuckburgh, and T. Cadell, M.DCC.LXVIII. [1768].",London,404,male,1632,1704,True
0319100101_000040,The works of Iohn Locke in four volumes Volume I.,John Locke,35,1.0,6.0,14.0,9.0,5.0,1768,1,4,"London : printed for H. Woodfall, A. Millar, I. Beecroft, I. and F. Rivington, I. Whiston S. Baker, T. Payne, L. Davis and Co. R. Baldwin, Hawes Clarke and Collins, B. White, W. Iohnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, I. Shuckburgh, and T. Cadell. [and 18 others in London], MDCCLXVIII. [1768].",London,841,male,1632,1704,True
0215900102_000087,"The principles of moral philosophy. An enquiry into the wise and good government of the moral world. In Which The Continuance of Good Administration, and of Due Care about Virtue, for ever, is inferred from present Order in all Things, in that Part chiefly where Virtue is concerned. By George Turnbull, L.L.D.",George Turnbull,31,3.0,11.0,9.0,3.0,5.0,1740,2,2,"London : printed for John Noon, at the White Hart, near Mercers Chapel, in Cheapside, MDCCXL. [1740].",London,543,male,1698,1748,False
1070200101_000029,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ... . Eccles. XI. 5. As thou knowest not what is the way of the Spirit, nor how the bones do grow in the womb of her that is with child: Even so thou knowest not the works of God, who maketh all things.",John Locke,36,1.0,5.0,10.0,15.0,5.0,1753,1,2,"London : printed for S. Birt, D. Browne, T and T. Longman, J. Schuckburgh, C. Hitch and L. Hawes , J. Hodges, J. Oswald, A. Millar, J. Beecroft, J. and J. Rivington, J. Ward, and M. Cooper, 1753.",London,404,male,1632,1704,True
0025700100_000388,"Observations on man, his frame, his duty, and his expectations. In two parts. Part. I. Containing Observations on the Frame of the Human Body and Mind, and on their Mutual Connexions and Influences. Part. II. Containing Observations on the Duty and Expectations of Mankind. By David Hartley, M.A. Reprinted from the author's edition in 1749. To which are now added, notes and additions to the Second part; translated from the German of the Rev. Herman Andrew Pistorius, Rector of Poseritz in the Island of Rugen. Also a Sketch of the life and Character, and a Head of the author.",David Hartley,27,3.0,6.0,2.0,5.0,11.0,1791,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, MDCCXCI. [1791].",London,806,male,1705,1757,True
0336400201_000028,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,37,1.0,5.0,15.0,11.0,5.0,1735,1,2,"London : printed for A. Bettesworth and C. Hitch at the Red Lion in Pater-Noster-Row; E. Parker at the Bible and Crown in Lombard-Street; J. and J. Pemberton at the Golden Buck in Fleetstreet; and E. Symon against the Royal-Exchange in Cornhill, MDCCXXXV. [1735].",London,420,male,1632,1704,True
1165800105_000007,"The works of the Right Reverend William Warburton, Lord Bishop of Gloucester. In seven volumes. ...",William Warburton,25,5.0,5.0,3.0,6.0,6.0,1788,5,7,"London : printed by John Nichols: and sold by T. Cadell, 1788.",London,608,male,1698,1779,True
0323100301_000032,"An essay concerning human understanding. Written by John Locke, Gent. The nineteenth edition. To which are now first added, I. An analysis of Mr. Locke's doctrine of ideas, on a large Sheet. II. A defence of Mr. Locke's opinion concerning Personal Identity, with an Appendix. III. A Treatise on the Conduct of the Understanding. IV. Some Thoughts concerning Reading and Study for a Gentleman. V. Elements of Natural Philosophy. VI. A new method of a common-place-book. Extracted from the author's works. ...",John Locke,35,1.0,5.0,12.0,12.0,5.0,1793,1,2,"London : printed for T. Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. J. and J. Robinson, T. Cadell, W. Richardson, W. Otridge, J. Sewell, F. and C. Rivington, W. Goldsmith, S. Hayes, Leigh and Sotheby, T. Payne, W. Lowndes, R. Faulder, B. and J. White, G. and T. Wilkie, Scatcherd and Whitaker, R. Ryan, and E. Jefferey, 1793.",London,543,male,1632,1704,True
1016000601_000028,"An essay concerning human understanding. In four books. Written by John Locke, gent. ...",John Locke,32,1.0,5.0,14.0,6.0,6.0,1777,1,2,"Dublin : printed by and for H. Saunders, W. Sleater, D. Chamberlaine, and J. Potts, M,DCC,LXXVII. [1777].",Dublin,403,male,1632,1704,True
0315800101_000034,"The works of John Locke, Esq; In three volumes. The sixth edition. To which is added, the life of the author; and a collection of several of his pieces published by Mr. Desmaizeaux. ...",John Locke,36,1.0,4.0,3.0,18.0,10.0,1759,1,3,"London : printed for D. Browne, C. Hitch and L. Hawes, J. Shuckburgh, A. Millar, J. Beecroft, John Rivington, James Rivington and J. Fletcher, J. Ward, R. Baldwin, J. Richardson, S. Crowder, P. Davey and B. Law, T. Longman, E. Dilly, R. Withy, T. Payne, and M. Cooper. M.DCC.LIX. [1759].",London,646,male,1632,1704,True
0326202901_000024,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ... .",John Locke,30,2.0,4.0,3.0,11.0,10.0,1741,1,2,"London : printed for C. Hitch in Pater-Noster-Row; J. Pemberton in Fleetstreet; J. Beecroft in Lombard-Street; and S. Symon in Cornhill, MDCCXLI. [1741].",London,404,male,1632,1704,True
0855000200_000176,"The measures of Christian obedience: or, a discourse shewing, what obedience is indispensibly necessary to a regenerate state, and what defects are consistent with it: for the promotion of piety, and the peace of troubled consciences. By John Kettlewell, late Vicar of Coles-Hill, in Warwickshire.",John Kettlewell,36,5.0,3.0,16.0,4.0,8.0,1714,1,1,"London : printed by J. Heptinstall, for Robert Kettlewell, and are to be sold by J. Morphew near Stationers-Hall, MDCCXIV. [1714].",London,589,male,1653,1695,False
0364100101_000305,"A compleat collection of the works of the Reverend and learned John Kettlewell, B. D. Formerly Vicar of Coles-Hill in Warwick-Shire. In two volumes. The several treatises printed from copies revis'd and improv'd by the author, a little before his death. ... . To which is prefix'd, the life of the author. Wherein are contained many Remarkable Transactions of his Time; compiled from the Collections of George Hickes, D.D. and Robert Nelson, Esq; and Compleated by a Friend of the Author at the Desire both of Dr. Hickes and Mr. Nelson. With an appendix of several original papers.",John Kettlewell,35,6.0,3.0,15.0,4.0,7.0,1719,1,2,"London : printed for D. Browne, A. Churchill, J. Knapton, T. Horn, R. Knaplock, J. Wyat, D. Midwinter, R. Robinson, J. Bowyer, W. Taylor, W. Mears, R. Gosling, H. Clements, W. and J. Innys, and J. Osborn. MDCCXIX. [1719].",London,1032,male,1653,1695,False
0319100101_000036,The works of Iohn Locke in four volumes Volume I.,John Locke,33,1.0,4.0,3.0,15.0,10.0,1768,1,4,"London : printed for H. Woodfall, A. Millar, I. Beecroft, I. and F. Rivington, I. Whiston S. Baker, T. Payne, L. Davis and Co. R. Baldwin, Hawes Clarke and Collins, B. White, W. Iohnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, I. Shuckburgh, and T. Cadell. [and 18 others in London], MDCCLXVIII. [1768].",London,841,male,1632,1704,True
0970100101_000027,"An essay concerning human understanding. In four books. Written by John Locke, gent. In three volumes. ...",John Locke,34,1.0,6.0,17.0,5.0,5.0,1765,1,3,"Edinburgh : printed by A. Donaldson and J. Reid. For A. Donaldson, and sold at his shops in London and Edinburgh, MDCCLXV. [1765].",Edinburgh,337,male,1632,1704,True
0208300200_000004,"Elements of the critical philosophy: containing a concise account of its origin and tendency; a view of all the works published by its founder, Professor Immanuel Kant; and a glossary for the Explanation of Terms and Phrases. To which are added: Three philological essays; chiefly translated from the German of John Christopher Adelung; Aulic Counsellor and First Librarian to the Elector of Saxony. By A. F. M. Willich, M.D.","Willich, Anthony Florian Madinger",26,2.0,7.0,3.0,5.0,9.0,1798,1,1,"London : printed for T. N. Longman, No. 39. Paternoster-Row, 1798.",London,198,unknown,,,False
0336400101_000027,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,33,1.0,5.0,16.0,5.0,6.0,1731,1,2,"London : printed for Edward Symon, over against the Royal Exchange in Cornhill, M.DCC.XXXI. [1731].",London,406,male,1632,1704,True
0672100900_000004,"Elements of the critical philosophy: containing a concise account of its origin and tendency; a view of all the works published by its founder, Professor Immanuel Kant; and a glossary for the Explanation of Terms and Phrases. To which are added: Three philological essays; chiefly translated from the German of John Christopher Adelung; Aulic Counsellor and First Librarian to the Elector of Saxony. By A. F. M. Willich, M.D.","Willich, Anthony Florian Madinger",26,2.0,7.0,3.0,5.0,9.0,1798,1,1,"London : printed for T. N. Longman, No. 39, Paternoster-Row, 1798.",London,332,unknown,,,False
0323100301_000031,"An essay concerning human understanding. Written by John Locke, Gent. The nineteenth edition. To which are now first added, I. An analysis of Mr. Locke's doctrine of ideas, on a large Sheet. II. A defence of Mr. Locke's opinion concerning Personal Identity, with an Appendix. III. A Treatise on the Conduct of the Understanding. IV. Some Thoughts concerning Reading and Study for a Gentleman. V. Elements of Natural Philosophy. VI. A new method of a common-place-book. Extracted from the author's works. ...",John Locke,28,3.0,3.0,12.0,5.0,5.0,1793,1,2,"London : printed for T. Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. J. and J. Robinson, T. Cadell, W. Richardson, W. Otridge, J. Sewell, F. and C. Rivington, W. Goldsmith, S. Hayes, Leigh and Sotheby, T. Payne, W. Lowndes, R. Faulder, B. and J. White, G. and T. Wilkie, Scatcherd and Whitaker, R. Ryan, and E. Jefferey, 1793.",London,543,male,1632,1704,True
0368100400_000037,"A general and introductory view of Professor Kant's principles concerning man, the world and the deity, Submitted to the Consideration of the Learned. By F. A. Nitsch, Late Lecturer of the Latin Language and Mathematics in the Royal Fridericianum College at Königsberg, and Pupil of Professor Kant.","Nitsch, F. A.",46,3.0,4.0,22.0,15.0,2.0,1796,1,1,"London : printed, and sold by J. Downes, No. 240, Strand, Near Temple Bar, 1796.",London,236,unknown,,,False
0107000200_000024,"Essays, literary, moral & philosophical by Benjamin Rush, M.D. and professor of the institutes of medicine and clinical practice in the University of Pennsylvania.",Benjamin Rush,24,3.0,6.0,4.0,3.0,8.0,1798,1,1,"Philadelphia : Printed by Thomas & Samuel F. Bradford, no. 8, South Front Street, 1798.",Philadelphia,386,male,1745,1813,False
0035100601_000025,An appeal to common sense in behalf of religion.,"Oswald, James           1793",24,6.0,3.0,4.0,7.0,4.0,1766,1,2,"Edinburgh : printed for A. Kincaid and J. Bell, MDCCLXVI. [1766].",Edinburgh,402,unknown,,,False
1099000101_000033,"An essay concerning human understanding. Written by John Locke, Gent. The twentieth edition. To which are now added, I. An analysis of Mr. Locke's Doctrine of Ideas, on a large Sheet. II. A. Defence of Mr. Locke's Opinion concerning Personal Identity, with an Appendix. III. A Treatise on the Conduct of the Understanding. IV. Some Thoughts concerning Reading and Study for a Gentleman. V. Elements of Natural Philosophy. VI. A new method of a Common-Place-Book. Extracted from the author's works. ...",John Locke,32,1.0,4.0,9.0,12.0,6.0,1796,1,2,"London : printed for T Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. J. and J. Robinson , T. Cadell, W. Richardson, W. Otridge, J. Sewell, F. and C. Rivington, Ogilvy and Speare, S. Hayes, Leigh and Sotheby, T. Payne, W. Lowndes, R. Faulder, B. and J. White, Vernor and Hood, G. and T. Wilkie, Scatcherd and Whitaker, E. Jefferey, and Cadell and Davies, 1796.",London,543,male,1632,1704,True
0224200503_000128,"Sermons on the Attributes of God. Translated from the original French of the late Revd. James Saurin, Pastor of the French Church at the Hague. ...",Jacques Saurin,24,2.0,5.0,4.0,7.0,6.0,1775,3,4,"Cambridge : printed for the translator by Fletcher & Hodson, MDCCLXXV. [1775].",Cambridge,400,male,1677,1730,False
0035300101_000028,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,34,1.0,4.0,17.0,6.0,6.0,1715,1,2,"London : printed for J. Churchill, at the Black-Swan in Pater-Noster-Row; and Samuel Manship, at the Ship in Cornhill, 1715-16.",London,405,male,1632,1704,True
0707900500_000042,"A review of the Bishop of Bangor's answer to the representation drawn up by the Committee of the Lower-House of Convocation. In two parts. By M. Earbery, Vicar of Neatshead, in Norfolk. Part II.",Matthias Earbery,25,4.0,9.0,2.0,5.0,5.0,1718,1,1,"London : printed for J. Bettenham, at the Crown in Pater-Noster Row, [1718].",London,150,male,1690,1740,False
0358900101_000287,"The works of John Locke, in four volumes.",John Locke,31,4.0,6.0,1.0,9.0,11.0,1777,1,4,"London : printed for W. Strahan, J. F. and C. Rivington, L. Davis, W. Owen, S. Baker and G. Leigh, [and 18 others in London], 1777.",London,868,male,1632,1704,True
0343700203_000053,"An essay concerning human understanding; with thoughts on the conduct of the understanding. By John Locke, Esq. Collated with Desmaizeaux's edition. To which is prefixed, the life of the author. In three volumes. ...",John Locke,30,4.0,8.0,1.0,7.0,10.0,1798,3,3,"Edinburgh : printed for Mundell & Son; and J. Mundell, College, Glasgow, 1798.",Edinburgh,323,male,1632,1704,True
0108100101_000047,The works of John Locke Esq; In three volumes. The contents of which follow in the next leaf. With alphabetical tables. ...,John Locke,39,2.0,6.0,23.0,6.0,2.0,1714,1,3,"London : printed for John Churchill, and Sam. Manship, 1714.",London,659,male,1632,1704,True
0777600900_000046,"An examination of Dr. Reid's Inquiry into the human mind on the principles of common sense, Dr. Beattie's Essay on the nature and immutability of truth, and Dr. Oswald's Appeal to common sense in behalf of religion. By Joseph Priestley, LL. D. F. R. S.",Joseph Priestley,27,2.0,5.0,2.0,5.0,13.0,1774,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, M.DCC.LXXIV. [1774].",London,431,male,1733,1804,True
1186600201_000027,"An essay concerning human understanding. In four books. Written by John Locke, gent. In three volumes. ...",John Locke,29,1.0,5.0,13.0,5.0,5.0,1765,1,3,"Edinburgh : printed by A. Donaldson and J. Reid. For William Coke, MDCCLXV. [1765].",Edinburgh,341,male,1632,1704,True
