PassageID,Title,Author,Total termFreq,termFreq(adventur),termFreq(ag),termFreq(appear),termFreq(author),termFreq(book),termFreq(charact),termFreq(design),termFreq(educ),termFreq(entertain),termFreq(event),termFreq(fabl),termFreq(fiction),termFreq(geniu),termFreq(happen),termFreq(heart),termFreq(hero),termFreq(histori),termFreq(human),termFreq(imagin),termFreq(interest),termFreq(judgement),termFreq(knowledg),termFreq(ladi),termFreq(languag),termFreq(life),termFreq(long),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(natur),termFreq(novel),termFreq(origin),termFreq(passag),termFreq(piec),termFreq(pleasur),termFreq(poetri),termFreq(probabl),termFreq(prose),termFreq(public),termFreq(read),termFreq(reason),termFreq(romanc),termFreq(romant),termFreq(scene),termFreq(sentiment),termFreq(speci),termFreq(stori),termFreq(tast),termFreq(think),termFreq(thought),termFreq(verac),termFreq(virtu),termFreq(work),termFreq(write),termFreq(writer),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0451900502_000031,"Essays moral and literary. By the Reverend Mr. Knox, Fellow of St. John's College, Oxford, and Master of Tunbridge School. The Second Edition, Corrected and Enlarged.",Vicesimus Knox,80,0,2.0,0,0,5.0,0,0,0,5.0,0,0,0,3.0,0,2.0,0,1.0,1.0,0,0,1.0,3.0,0,2.0,1.0,1.0,1.0,0,0,1.0,2.0,2.0,2.0,4.0,1.0,0,0,4.0,2.0,1.0,0,2.0,8.0,0,2.0,1.0,3.0,2.0,0,0,4.0,0,0,0,3.0,3.0,3.0,1.0,1.0,1779,2,2,"London : printed for Edward and Charles Dilly, in the Poultry, MDCCLXXIX. [1779].",London,407,male,1752,1821,True
1441300600_000056,Essays on rhetorick: abridged chiefly from Dr. Blair's lectures on that science.,Solomon Southwick,84,1.0,1.0,2.0,1.0,2.0,3.0,0,0,1.0,0,1.0,0,1.0,0,0,0,2.0,2.0,5.0,1.0,0,1.0,3.0,1.0,2.0,2.0,1.0,0,3.0,1.0,2.0,2.0,2.0,5.0,1.0,0,0,0,6.0,0,3.0,0,0,0,7.0,0,0,0,2.0,0,0,0,0,0,0,2.0,10.0,5.0,0,1798,1,1,"Albany [N.Y.] : Printed by Barber & Southwick, and sold at their book-store, two doors north of the city-hall, Court-Street, and at Faust's statue, State-Street, M,DCC,XCVIII. [1798].",Albany,308,male,1773,1839,False
0417500103_000018,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,65,1.0,3.0,5.0,0,0,1.0,0,0,1.0,2.0,2.0,2.0,1.0,0,0,0,5.0,3.0,2.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,0,3.0,1.0,1.0,1.0,0,0,0,1.0,0,1.0,0,0,0,2.0,1.0,0,0,1.0,1.0,2.0,0,0,0,1.0,0,5.0,0,0,1796,3,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,390,male,1718,1800,True
0413600302_000031,"Essays, moral and literary.",Vicesimus Knox,76,0,2.0,0,0,4.0,0,0,0,4.0,0,0,0,3.0,0,2.0,0,1.0,1.0,0,0,1.0,2.0,0,2.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,0,0,4.0,1.0,1.0,0,2.0,7.0,0,2.0,1.0,3.0,2.0,0,0,4.0,0,0,0,3.0,3.0,3.0,1.0,1.0,1778,2,2,"London : printed for Edward and Charles Dilly, MDCCLXXVIII. [1778].",London,407,male,1752,1821,True
0036800101_000001,"The triumvirate: or, the authentic memoirs of A. B. and C. In two volumes. ...","Griffith, Richard",62,1.0,1.0,2.0,1.0,0,2.0,0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0,0,2.0,0,1.0,1.0,0,2.0,4.0,0,4.0,1.0,0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,0,0,0,0,0,0,0,2.0,1.0,0,5.0,0,0,3.0,0,0,0,0,0,1.0,0,2.0,1.0,1.0,3.0,1764,1,2,"London : printed for W. Johnston, in Ludgate-Street, MDCCLXIV. [1764].",London,297,male,,,False
1291300102_000079,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...",Hugh Blair,77,2.0,0,3.0,3.0,0,2.0,1.0,0,1.0,0,1.0,2.0,2.0,0,2.0,0,1.0,2.0,5.0,1.0,0,0,0,2.0,1.0,1.0,0,0,1.0,2.0,0,1.0,5.0,3.0,3.0,0,1.0,0,11.0,0,6.0,1.0,0,0,0,0,0,1.0,1.0,1.0,0,1.0,0,0,0,1.0,3.0,3.0,0,1789,2,2,"Dublin : printed for Messrs. Colles, Moncrieffe, Gilbert, Walker, Exshaw, White and Byrne, M,DCC,LXXXIX [1789].",Dublin,412,male,1718,1800,True
0039000500_000061,"Sentimental beauties from the writings of Dr. Blair. Selected with a view to refine the taste, rectify the judgment, and mould the heart to virtue.",Hugh Blair,77,3.0,6.0,3.0,1.0,1.0,3.0,0,0,0,0,3.0,2.0,1.0,0,1.0,0,2.0,3.0,1.0,1.0,0,1.0,0,1.0,3.0,1.0,1.0,1.0,6.0,0,0,4.0,4.0,5.0,2.0,0,0,0,1.0,0,0,0,0,0,4.0,0,0,0,0,2.0,1.0,0,0,0,1.0,1.0,4.0,3.0,0,1798,1,1,"London : printed for John Wallis, No. 16, Ludgate-Street; and Lee and Hurst, Pater-Noster-Row, MDCCXCVIII. [1798].",London,336,male,1718,1800,True
1107300202_000030,"The history of modern Europe. With an account of the decline and fall of the Roman Empire, and a view of the progress of society, from the fifth to the eighteenth century. In a series of letters from a nobleman to his son. ...",William Russell,70,0,2.0,2.0,1.0,0,1.0,1.0,0,0,0,3.0,1.0,2.0,0,1.0,1.0,0,3.0,2.0,2.0,1.0,0,1.0,1.0,0,1.0,2.0,0,4.0,0,10.0,0,0,0,2.0,0,2.0,0,5.0,0,2.0,0,0,2.0,5.0,2.0,2.0,0,2.0,0,0,0,0,0,1.0,0,2.0,1.0,0,1779,2,2,"London : printed for G. Robinson, Paternoster-Row; J. Robson, New Bond-Street; J. Walter, Charing-cross; and J. Sewell, Cornhill, MDCCLXXIX. [1779].",London,610,male,1741,1793,False
0035501400_000034,"A comparative view of the state and faculties of man with those of the animal world. By John Gregory M. D. F. R. S. Professor of Medicine in the University of Edinburgh, and First Physician to His Majesty in Scotland.",John Gregory,75,2.0,0,3.0,1.0,0,5.0,0,0,0,3.0,0,0,1.0,1.0,0,1.0,0,1.0,10.0,2.0,0,0,0,1.0,0,1.0,0,4.0,3.0,0,1.0,2.0,7.0,2.0,0,0,1.0,1.0,2.0,2.0,0,0,1.0,3.0,3.0,0,2.0,2.0,0,1.0,2.0,0,0,0,1.0,2.0,1.0,0,0,1777,1,1,"London : printed for J. Dodsley in Pall-Mall, M.DCC.LXXVII. [1777].",London,308,male,1724,1773,False
1189600101_000037,"The miscellaneous works of Tobias Smollett, M. D. with memoirs of his life and writings. By Robert Anderson, M. D. in six volumes. ... . Containing the life of Smollett. The adventures of Roderick Random.",Tobias Smollett,78,3.0,0,1.0,1.0,0,6.0,0,0,4.0,0,0,0,0,0,2.0,1.0,0,0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,0,1.0,1.0,4.0,1.0,2.0,3.0,7.0,1.0,1.0,0,1.0,0,0,2.0,0,1.0,0,1.0,3.0,0,2.0,1.0,1.0,2.0,0,0,2.0,0,2.0,2.0,1.0,0,3.0,1800,1,6,"Edinburgh : printed by and for Mundell & Son; and sold in London by Otridge & Son, Vernor & Hood, J. Cuthell, J. Walker & Lackington, Allen & Co., 1800.",Edinburgh,624,male,1721,1771,True
0937200403_000020,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,73,1.0,0,2.0,3.0,1.0,3.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,2.0,0,1.0,2.0,5.0,1.0,0,1.0,0,2.0,2.0,0,0,0,2.0,3.0,0,1.0,6.0,3.0,3.0,0,1.0,0,9.0,0,2.0,1.0,0,0,0,0,1.0,2.0,0,0,0,1.0,1.0,0,0,2.0,2.0,1.0,0,1793,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1793.",London,416,male,1718,1800,True
0702600103_000020,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,82,1.0,0,2.0,3.0,0,2.0,1.0,0,1.0,0,1.0,2.0,1.0,0,2.0,0,1.0,2.0,6.0,1.0,0,0,0,2.0,1.0,2.0,0,0,2.0,3.0,0,1.0,7.0,2.0,5.0,0,1.0,0,14.0,0,5.0,1.0,0,0,0,0,0,1.0,1.0,1.0,0,1.0,0,0,0,1.0,2.0,3.0,0,1787,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1787.",London,415,male,1718,1800,True
0036900800_000057,Essays on rhetoric: abridged chiefly from Dr. Blair's lectures on that science.,Hugh Blair,78,1.0,2.0,2.0,1.0,2.0,3.0,0,0,1.0,0,1.0,0,1.0,0,0,0,2.0,2.0,5.0,1.0,0,1.0,3.0,1.0,2.0,0,1.0,0,2.0,1.0,2.0,2.0,2.0,5.0,0,0,0,0,5.0,0,3.0,0,0,0,7.0,0,0,0,2.0,0,0,0,0,0,0,1.0,9.0,5.0,0,1785,1,1,"London : printed for J. Murray, NO 32, Fleet-Street, MDCCLXXXV. [1785].",London,548,male,1718,1800,True
0325100200_000036,"Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone.",Hester Chapone,77,2.0,3.0,2.0,0,4.0,1.0,0,1.0,2.0,1.0,0,0,0,1.0,2.0,0,2.0,3.0,2.0,1.0,1.0,1.0,0,1.0,4.0,0,0,1.0,1.0,4.0,0,4.0,4.0,1.0,2.0,0,0,2.0,0,0,0,0,6.0,0,1.0,0,2.0,2.0,1.0,0,3.0,1.0,1.0,0,0,3.0,1.0,0,3.0,1793,1,1,"Edinburgh : printed for Silvester Doig, Royal-Echange, MDCCXCIII. [1793] [1794?].",Edinburgh,215,female,1727,1801,True
0107600202_000001,"The works of Tobias Smollett, M.D. with memoirs of his life; to which is prefixed A view of the commencement and progress of romance, by John Moore, M.D. In eight volumes. ...",Tobias Smollett,61,3.0,1.0,3.0,3.0,0,3.0,0,1.0,2.0,1.0,1.0,1.0,2.0,0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0,0,5.0,0,0,2.0,0,1.0,0,0,1.0,0,1.0,0,1.0,0,1.0,2.0,1.0,0,0,0,6.0,0,2.0,1.0,0,2.0,2.0,0,1.0,0,4.0,1.0,0,0,0,1797,2,8,"London : printed for B. Law, J. Johnson, C. Dilly, G. G. and J. Robinson, R. Baldwin, T. Becket, F. and C. Rivington, A. Strahan, R. Faulder, W. Richardson, W. Lane, W. Lowndes, S. Hayes, G. and T. Wilkie, Ogilvy and Son, T. N. Longman, and Cadell jun. and Davies, 1797.",London,595,male,1721,1771,True
0713600202_000118,"Gleanings through Wales, Holland, and Westphalia. Fourth edition. To which is added, Humanity; a poem. Fifth edition. By Mr. Pratt. ...",Samuel Jackson Pratt,64,1.0,0,1.0,4.0,0,2.0,0,1.0,2.0,1.0,0,1.0,1.0,0,0,0,2.0,1.0,1.0,4.0,0,1.0,0,2.0,0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,0,0,1.0,1.0,1.0,0,0,2.0,0,0,0,1.0,1.0,1.0,0,5.0,0,0,0,0,1.0,3.0,0,1.0,0,1798,2,3,"London : printed for T. N. Longman, Paternoster-Row, 1798.",London,513,male,1749,1814,True
0504100102_000094,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In two volumes. ...",Hugh Blair,75,2.0,0,3.0,3.0,1.0,3.0,1.0,0,1.0,1.0,1.0,0,2.0,0,2.0,0,1.0,3.0,3.0,2.0,0,1.0,0,2.0,3.0,0,0,0,0,2.0,0,1.0,6.0,4.0,3.0,0,1.0,0,8.0,0,3.0,1.0,0,0,0,0,0,1.0,0,1.0,0,1.0,1.0,0,0,2.0,3.0,2.0,0,1783,2,2,"London : printed for W. Strahan; T. Cadell; and W. Creech, in Edinburgh, 1783.",London,553,male,1718,1800,True
0216600600_000035,"A comparative view of the state and faculties of man with those of the animal world. By John Gregory, M.D. F.R.S. Professor of Medicine in the University of Edinburgh, and First Physician to his Majesty in Scotland.",John Gregory,76,2.0,0,3.0,1.0,0,3.0,0,0,0,3.0,0,0,1.0,1.0,0,1.0,0,1.0,12.0,2.0,0,0,0,1.0,0,1.0,1.0,4.0,4.0,0,2.0,1.0,8.0,2.0,0,0,1.0,1.0,2.0,2.0,0,0,1.0,3.0,3.0,0,2.0,2.0,0,1.0,0,0,0,0,2.0,1.0,1.0,0,0,1778,1,1,"Dublin : printed for W. Sleater, D. Chamberlaine, J. Potts, J. Williams, and W. Colles, M.DCC.LXXVIII. [1778].",Dublin,260,male,1724,1773,False
0382100203_000018,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,62,1.0,3.0,5.0,0,0,1.0,0,0,1.0,2.0,2.0,1.0,1.0,0,0,0,5.0,3.0,2.0,0,0,1.0,0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,0,3.0,1.0,1.0,1.0,0,0,0,1.0,0,1.0,0,0,0,2.0,1.0,0,0,1.0,1.0,1.0,0,0,0,1.0,0,5.0,0,0,1785,3,3,"London : printed for W. Strahan; T. Cadell; and W. Creech in Edinburgh, 1785.",London,413,male,1718,1800,True
0276700602_000019,"The observer: being a collection of moral, literary and familiar essays. ...",Richard Cumberland,78,1.0,0,0,3.0,5.0,4.0,1.0,2.0,1.0,1.0,3.0,0,0,0,1.0,0,0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,2.0,2.0,2.0,2.0,8.0,10.0,0,0,0,0,0,1.0,0,2.0,2.0,0,1.0,0,0,1.0,1.0,4.0,0,2.0,1.0,0,0,2.0,2.0,1.0,4.0,1791,2,4,"Dublin : printed by Zachariah Jackson, for P. Byrne, R. Marchbank, J. Moore, and W. Jones, 1791.",Dublin,325,male,1732,1811,True
1226400104_000027,"Letters of Baron Bielfeld, secretary of legation to the King of Prussia; Preceptor to Prince Ferdinand; Chancellor of the Universities in the Dominions of his Prussian Majesty, F. R. A. B. &c. Author of the Political Institutes. containing original anecdotes of the Prussian court for the last Twenty Years. Translated from the German, by Mr. Hooper. In four volumes. Vol. I.","Bielfeld, Jacob Friedrich, Freiherr von",80,1.0,0,4.0,8.0,1.0,1.0,0,0,0,2.0,0,0,1.0,0,1.0,3.0,1.0,1.0,1.0,3.0,0,0,1.0,1.0,0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,0,0,0,1.0,2.0,2.0,0,0,0,3.0,0,11.0,0,1.0,0,0,1.0,1.0,0,0,0,1.0,7.0,4.0,3.0,0,1770,4,4,"Dublin : printed by T. Ewing, in Capel-Street, M.DCC.LXX. [1770].",Dublin,171,male,1717,1770,False
0013700101_000006,"The adventures of Roderic [sic] Random. In two volumes. By T. Smollet, M.D. With the life of the author. ...",Tobias Smollett,57,2.0,0,3.0,2.0,0,1.0,0,2.0,2.0,1.0,1.0,1.0,2.0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,4.0,1.0,0,2.0,1.0,1.0,0,1.0,4.0,0,0,0,2.0,0,1.0,2.0,1.0,1.0,0,1.0,4.0,0,2.0,1.0,0,1.0,2.0,0,2.0,0,0,1.0,0,1.0,1.0,1793,1,2,"London : printed for C. Cooke, [1793].",London,270,male,1721,1771,True
1185300301_000006,"The younger brother: a novel, in three volumes, written by Mr. Dibdin. ...",Charles Isaac Mungo Dibdin,76,0,1.0,0,4.0,3.0,0,0,0,0,3.0,0,1.0,0,4.0,0,1.0,3.0,0,3.0,0,0,0,2.0,0,0,0,2.0,2.0,2.0,4.0,0,3.0,6.0,5.0,0,0,0,1.0,1.0,2.0,0,1.0,0,0,3.0,0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,5.0,4.0,3.0,0,1.0,1793,1,3,"London : printed for the author, and sold at his warehouse, [1793].",London,285,male,1768,1814,True
0411700201_000095,Dialogues concerning education. In two volumes ...,David Fordyce,71,1.0,2.0,0,0,3.0,1.0,0,1.0,1.0,0,5.0,3.0,2.0,1.0,0,1.0,0,2.0,0,0,0,1.0,1.0,0,1.0,0,3.0,0,3.0,1.0,8.0,1.0,5.0,2.0,0,0,0,0,0,0,0,0,3.0,0,4.0,2.0,2.0,0,1.0,0,5.0,3.0,2.0,0,0,0,0,0,0,1755,1,2,"Cork : printed for Phineas and G. Bagnell, 1755.",Cork,410,male,1711,1751,False
0235000400_000011,Essays historical and moral. By G. Gregory.,George Gregory,70,0,6.0,2.0,1.0,0,2.0,0,0,2.0,1.0,0,1.0,1.0,0,0,0,2.0,4.0,2.0,1.0,1.0,4.0,0,1.0,1.0,0,0,1.0,2.0,2.0,1.0,5.0,3.0,0,1.0,0,0,0,6.0,1.0,0,1.0,1.0,3.0,0,1.0,2.0,1.0,1.0,0,1.0,0,0,0,1.0,1.0,2.0,0,1.0,1785,1,1,"London : printed for J. Johnson, ST. Paul's Church-Yard, M.DCC.LXXXV. [1785].",London,350,male,1754,1808,False
0225900603_000024,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,71,2.0,4.0,5.0,0,1.0,3.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,3.0,2.0,1.0,0,0,0,0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,0,4.0,2.0,3.0,2.0,0,0,0,2.0,0,0,0,0,0,9.0,1.0,0,0,0,2.0,1.0,0,0,0,0,0,6.0,0,0,1788,3,3,"Basil : printed by J. J. Tourneisen, 1788.",Basel,408,male,1718,1800,True
0637000100_000014,"The new annual register, or general repository of history, politics, and literature, for the year 1791. To which is prefixed, a continuation of the history of knowledge, learning, and taste, in Great Britain, during the reign of Queen Elizabeth.",,51,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0,1.0,1.0,2.0,2.0,0,0,1.0,1.0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,1.0,0,0,0,3.0,1.0,2.0,0,0,1.0,3.0,1.0,0,1.0,3.0,1.0,1.0,1.0,0,1.0,0,1.0,0,0,1.0,0,0,2.0,0,3.0,1.0,1792,1,1,"London : printed for G. G. J. and J. Robinson, Pater-Noster-Row, MDCCXCII. [1792].",London,706,unknown,,,False
1220700201_000001,The adventures of Roderick Random. In two volumes. ...,Tobias Smollett,59,3.0,1.0,3.0,3.0,0,2.0,0,1.0,3.0,1.0,1.0,1.0,2.0,0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0,0,5.0,0,0,1.0,0,1.0,0,0,1.0,0,1.0,0,1.0,0,1.0,2.0,1.0,1.0,0,0,5.0,0,3.0,1.0,0,1.0,2.0,0,1.0,0,4.0,0,0,0,0,1748,1,2,"Dublin : printed and sold by Richard James, opposite Sycamore Alley in Dames-Street, MDCCXLVIII. [1748].",Dublin,323,male,1721,1771,True
