PassageID,Title,Author,Total termFreq,termFreq(africa),termFreq(carri),termFreq(child),termFreq(coast),termFreq(coloni),termFreq(condit),termFreq(countri),termFreq(dutch),termFreq(foreign),termFreq(fort),termFreq(free),termFreq(french),termFreq(gold),termFreq(hand),termFreq(human),termFreq(indi),termFreq(island),termFreq(labour),termFreq(liberti),termFreq(manner),termFreq(nation),termFreq(nativ),termFreq(negro),termFreq(pain),termFreq(person),termFreq(plantat),termFreq(planter),termFreq(present),termFreq(properti),termFreq(purchas),termFreq(ship),termFreq(slave),termFreq(slaveri),termFreq(sold),termFreq(suffer),termFreq(sugar),termFreq(tortur),termFreq(trade),termFreq(trader),termFreq(traffic),termFreq(valu),termFreq(west),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors
0525100400_000006,"Candid reflections upon the judgement lately awarded by the Court of King's Bench, in Westminster-Hall, on what is commonly called the negroe-cause, by a planter.",Edward Long,71,1.0,1.0,0,5.0,5.0,0,1.0,5.0,2.0,1.0,0,0,1.0,2.0,0,1.0,1.0,4.0,0,0,2.0,1.0,8.0,0,1.0,4.0,1.0,0,0,0,1.0,3.0,0,1.0,0,2.0,0,13.0,1.0,0,1.0,2.0,1772,1,1,"London : printed for T. Lowndes, No 77, Fleet-stree[t], MDCCLXXII. [1772].",London,79,male,1735,1813,False
1237802900_000001,"Reasons in support of the planters proposals for preserving and extending the trade to those parts of Africa called the Gold-Coast and Whydah, against the powerful rivalship of foreign nations.",Royal African Company,98,7.0,0,0,2.0,6.0,1.0,0,2.0,2.0,7.0,1.0,2.0,8.0,1.0,0,0,0,5.0,1.0,0,4.0,2.0,10.0,0,1.0,0,7.0,2.0,0,0,1.0,0,0,0,0,6.0,0,15.0,4.0,0,1.0,0,1749,1,1,"[London?, 1749?].",London,4,unknown,,,False
0446500200_000004,"An inquiry into the effects of putting a stop to the African slave trade, And of Granting Liberty to the Slaves in the British Sugar Colonies. By the Author of The Essay on the Treatment and Conversion of African Slaves in the British Sugar Colonies.",James Ramsay,76,6.0,3.0,0,2.0,9.0,0,4.0,0,1.0,0,1.0,4.0,0,4.0,1.0,3.0,0,2.0,0,1.0,1.0,0,1.0,0,1.0,2.0,2.0,1.0,0,0,0,7.0,1.0,1.0,0,5.0,0,9.0,0,1.0,1.0,2.0,1784,1,1,"London : printed and sold by James Phillips, in George-Yard, Lombard-Street, 1784.",London,43,male,1733,1789,False
1236701302_000053,"The history of America containing the geographical, political, and commerical [sic] state of that continent: in which is given a succinct account of the trade, customs and policy of the French nation, and the foundation they have laid for obtaining the sole dominion in those colonies. Translated from the French of Mons. du Bosque late Historographer to the French King. In two volumes. ...",Malachy Postlethwayt,90,5.0,5.0,0,3.0,3.0,0,1.0,0,1.0,3.0,1.0,2.0,2.0,1.0,0,0,0,0,2.0,2.0,1.0,0,2.0,0,0,1.0,0,7.0,0,1.0,0,6.0,0,0,0,2.0,0,20.0,12.0,3.0,2.0,2.0,1771,2,2,"London : printed by James Lowndes in Paternoster-Row, MDCCLXXI. [1771].",London,391,male,1707,1767,False
1116400117_000632,"Encyclopaedia; or, A dictionary of arts, sciences, and miscellaneous literature ... Compiled from the writings of the best authors, in several languages ... Illustrated with five hundred and forty-two copperplates. ...",,62,2.0,7.0,0,3.0,1.0,2.0,6.0,0,0,0,0,2.0,5.0,0,1.0,2.0,3.0,0,0,1.0,0,2.0,4.0,0,1.0,3.0,0,1.0,1.0,2.0,0,4.0,2.0,2.0,0,1.0,0,1.0,1.0,0,0,2.0,1798,17,18,"Philadelphia : Printed by Thomas Dobson, at the stone house, no 41, South Second Street, M.DCC.XCVIII. [1798] (Copy-right secured according to law).",Philadelphia,869,unknown,,,False
1562800101_001269,"The universal dictionary of trade and commerce, translated from the French of the celebrated Mosieur Savary, Inspector-General of the manufactures for the King, at the Custom-House of Paris: with large additions and improvements, incorporated throughout the whole work; which more particularly accomodate the same to the trade and navigation of these kingdoms, and the laws, customs, and usages, to which all traders are subject. By Malachy Postlethwayt, Esq;",Malachy Postlethwayt,88,8.0,3.0,0,3.0,5.0,0,0,0,0,5.0,0,9.0,4.0,0,0,0,4.0,1.0,1.0,0,2.0,1.0,11.0,0,0,0,3.0,0,0,1.0,3.0,0,0,1.0,0,10.0,0,9.0,2.0,1.0,1.0,0,1757,1,2,"London : printed for John Knapton, in Ludgate-Street, M DCC LVII. [1757].",London,1069,male,1707,1767,False
1556200500_000013,"A true state of the present difference between the Royal African Company, and the separate traders: Shewing the irregularities and impositions of the joint-stock managers; the uselesness of their forts; the expence they are at in the maintenance of the same; the charge of supporting them in a condition of defence; the vast sums they have receiv'd by the ten per cent. Duty in order thereunto, and what had been misapply'd to their own private uses; the advantages and reasonableness of an open trade to Aftica; and, lastly, the danger of an exclusive trade, not only to the traders of South and North Britain, but, to our American plantations. Written by a true lover of his country, and humbly submitted to the wise consideration of both Houses of Parliament.",True lover of his country,76,2.0,3.0,0,3.0,5.0,1.0,2.0,6.0,1.0,2.0,1.0,0,6.0,0,0,0,0,0,1.0,0,4.0,0,6.0,1.0,0,6.0,0,0,0,2.0,4.0,4.0,0,1.0,1.0,1.0,0,10.0,2.0,0,1.0,0,1710,1,1,"London : [s.n.], Printed in the year 1710.",London,42,unknown,,,False
0464201000_000007,"Remarks on the slave trade, and the Slavery of the Negroes. In a series of letters.",Africanus,61,1.0,3.0,0,4.0,2.0,0,0,0,0,1.0,1.0,0,3.0,0,1.0,1.0,1.0,0,0,0,3.0,2.0,7.0,0,2.0,1.0,1.0,2.0,0,0,1.0,8.0,1.0,1.0,0,0,0,5.0,3.0,4.0,0,2.0,1788,1,1,"London : printed and sold by J. Phillips, George-Yard, Lombard-Street; and sold also by T. Payne and Sons, Meuse-Gate, Charing-Cross; and Chase and Co. Norwich, MDCCLXXXVIII. [1788].",London,89,unknown,,,False
0127400100_000015,"A dissertation on the manners, governments, and spirit, of Africa. To which is added, observations on the present applications to Parliament for abolishing Negroe slavery in the British West Indies. By S. Hollingsworth, Author of the Present State of Nova Scotia and Canada, &c. &c.","Hollingsworth, S.",69,1.0,0,1.0,1.0,2.0,0,2.0,1.0,2.0,0,0,2.0,0,3.0,0,2.0,3.0,0,0,2.0,5.0,0,5.0,0,0,0,1.0,1.0,1.0,1.0,5.0,9.0,1.0,3.0,0,1.0,0,9.0,0,1.0,0,4.0,1788,1,1,"Edinburgh : printed for William Creech , Edinburgh ; and J. Stockdale, and J. Murray, London, MDCCLXXXVIII. [1788].",Edinburgh,68,unknown,,,False
1236701302_000064,"The history of America containing the geographical, political, and commerical [sic] state of that continent: in which is given a succinct account of the trade, customs and policy of the French nation, and the foundation they have laid for obtaining the sole dominion in those colonies. Translated from the French of Mons. du Bosque late Historographer to the French King. In two volumes. ...",Malachy Postlethwayt,68,4.0,3.0,0,0,3.0,0,5.0,1.0,0,0,0,1.0,1.0,1.0,1.0,0,1.0,3.0,0,1.0,1.0,1.0,5.0,0,0,2.0,1.0,5.0,0,1.0,3.0,4.0,0,1.0,0,1.0,0,14.0,1.0,3.0,0,0,1771,2,2,"London : printed by James Lowndes in Paternoster-Row, MDCCLXXI. [1771].",London,391,male,1707,1767,False
0181400501_000036,An historical account of the rise and progress of the colonies of South Carolina and Georgia. In two volumes. ...,Alexander Hewat,55,5.0,2.0,0,0,1.0,0,3.0,0,1.0,0,0,0,2.0,2.0,1.0,0,1.0,1.0,1.0,0,6.0,3.0,1.0,1.0,0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0,0,1.0,0,4.0,1.0,4.0,0,0,1779,1,2,"[London] : Printed for Alexander Donaldson, London, 1779.",London,356,male,1739,1824,False
0750300102_000038,"Britain's commercial interest explained and improved; in a series of dissertations on several important branches of her trade and police: Containing A Candid Enquiry into the secret Causes of the present Misfortunes of the Nation. With Proposals for their Remedy. Also The great Advantages which would accrue to this Kingdom from an Union with Ireland. By Malachy Postlethwayt, Esq; Author of the Universal Dictionary of Trade and Commerce, &c. ...",Malachy Postlethwayt,110,3.0,2.0,0,2.0,4.0,0,1.0,0,2.0,1.0,0,19.0,0,0,0,2.0,4.0,1.0,0,0,6.0,0,6.0,0,0,1.0,4.0,0,0,0,2.0,0,0,0,0,21.0,0,24.0,2.0,1.0,0,2.0,1757,2,2,"London : printed for D. Browne, without Temple-Bar; A. Millar, in the Strand; J. Whiston and B. White, and W. Sandby, in Fleet-Street, MDCCLVII. [1757].",London,563,male,1707,1767,False
0299201200_000011,"A letter from a merchant of the city of London, To the R---t H----ble W---- P---- Esq; Upon the Affairs and Commerce of North America, and the West-Indies; Our African Trade; the Destination of Our Squadrons and Convoys; New Taxes, and the Schemes proposed for raising the extraordinary Supplies for the current Year.",Merchant of London,68,3.0,3.0,0,6.0,4.0,0,0,0,0,4.0,0,3.0,3.0,2.0,0,1.0,2.0,0,1.0,1.0,0,1.0,6.0,0,0,1.0,1.0,2.0,0,3.0,0,3.0,0,1.0,0,8.0,0,7.0,1.0,0,0,1.0,1757,1,1,"London : printed for J. Scott, at the Black Swan, in Pater-Noster-Row 1757.",London,97,unknown,,,False
0681000700_000003,"Some observations, shewing The danger of Losing the Trade of the Sugar Colonies. Humbly Offer'd To the consideration of the parliament. By a Planter.","Cleland, William",65,3.0,0,0,3.0,1.0,0,0,1.0,0,4.0,0,2.0,0,4.0,0,0,0,2.0,2.0,2.0,5.0,0,5.0,0,0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,0,2.0,0,1.0,0,7.0,6.0,0,0,0,1714,1,1,"London : [s.n.], Printed in the Year, MDCCXIV. [1714].",London,14,male,1692,1716,False
0424400300_000001,"The history civil and commercial, of the British colonies in the West Indies. To which is added, an historical survey of the French colony in the island of St. Domingo. Abridged from The history written by Bryan Edwards. Esq. Illustrated with a map.",Bryan Edwards,79,2.0,0,0,3.0,6.0,0,2.0,0,0,1.0,1.0,3.0,1.0,0,0,3.0,11.0,0,0,3.0,3.0,7.0,12.0,0,4.0,1.0,1.0,2.0,0,1.0,1.0,2.0,2.0,0,0,1.0,0,3.0,0,0,0,3.0,1799,1,1,"London : printed for Crosby and Letterman , Stationer's Court, near Paternoster Row ; for Mundell and Son, Edinburgh; and J. Mundell, College, Glasgow, 1799.",London,384,male,1743,1800,False
1321800101_001346,"The universal dictionary of trade and commerce: With large additions and imporvements adapting the same to the present state of British affairs in America, since the last Treaty of Peace made in the year 1763. With great variety of new remarks and illustrations incorporated throughout the whole: together with every thing essential that is contained in Savary's dictionary: also, all the materials laws of trade and navigation relating to these kingdoms, and the customs and usages to which all traders are subject. By Malachy Postlethwayt, Esq;.",Jacques Savary des Brûlons,83,10.0,2.0,0,1.0,3.0,0,5.0,1.0,0,8.0,1.0,7.0,2.0,0,2.0,0,5.0,0,1.0,0,4.0,1.0,5.0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,5.0,0,13.0,2.0,1.0,1.0,0,1766,1,2,"London : printed for H. Woodfall, A. Millar, J. and R. Tonson, J. Rivington, J. Hinton, R. Baldwin, L. Hawes and W. Clarke and R. Collins, R. Horsfield, W. Johnston, T. Longman, J. Brotherton, J. Dodsley, T. Payne, J. Robson, T. Lowndes, W. Nicoll, and J. Knox, M DCC LXVI. [1766].",London,1115,male,1657,1716,False
1237802900_000002,"Reasons in support of the planters proposals for preserving and extending the trade to those parts of Africa called the Gold-Coast and Whydah, against the powerful rivalship of foreign nations.",Royal African Company,76,5.0,1.0,0,2.0,4.0,0,2.0,1.0,2.0,0,1.0,2.0,2.0,1.0,1.0,1.0,0,0,0,0,2.0,1.0,8.0,0,0,0,2.0,3.0,0,1.0,1.0,0,0,0,0,2.0,0,14.0,14.0,0,2.0,1.0,1749,1,1,"[London?, 1749?].",London,4,unknown,,,False
0432500700_000070,"Report of the Lords of the Committee of Council appointed for the consideration of all matters relating to trade and foreign plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of His Majesty's order in council dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; ...",Great Britain. Board of Trade,71,10.0,2.0,0,3.0,3.0,1.0,3.0,0,2.0,1.0,1.0,0,0,0,0,2.0,1.0,2.0,3.0,1.0,4.0,0,1.0,0,0,1.0,0,0,1.0,0,3.0,4.0,0,0,0,1.0,0,16.0,1.0,1.0,0,3.0,1789,1,1,"[London], 1789.",London,890,unknown,,,False
0873600700_000001,Considerations on the African trade.,,70,4.0,0,0,7.0,7.0,1.0,2.0,1.0,0,7.0,0,3.0,6.0,0,0,0,0,0,0,1.0,3.0,0,4.0,0,0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,0,2.0,0,10.0,2.0,1.0,1.0,0,1750,1,1,"[London?] : [s.n.], Printed in the year, 1750.",London,6,unknown,,,False
0151301500_000003,"A short account of the African slave trade, collected from local knowledge, from the evidence given at the bar of both Houses of Parliament, and, from tracts written upon that subject, by Robert Norris.","Norris, Robert           1791",55,2.0,0,0,0,4.0,0,4.0,1.0,1.0,0,0,2.0,0,1.0,0,3.0,1.0,3.0,0,1.0,1.0,0,3.0,0,1.0,1.0,1.0,0,0,1.0,3.0,5.0,2.0,2.0,0,0,1.0,5.0,0,1.0,0,5.0,1788,1,1,"Liverpool : printed at Ann Smith's navigation shop, Pool-Lane, M,DCC,LXXXVIII. [1788].",Liverpool,22,unknown,,,False
0464201000_000026,"Remarks on the slave trade, and the Slavery of the Negroes. In a series of letters.",Africanus,69,1.0,1.0,0,0,5.0,0,3.0,0,0,0,2.0,0,0,1.0,2.0,1.0,3.0,2.0,0,1.0,0,2.0,10.0,0,2.0,2.0,4.0,1.0,1.0,0,0,14.0,3.0,0,0,1.0,0,3.0,0,1.0,1.0,2.0,1788,1,1,"London : printed and sold by J. Phillips, George-Yard, Lombard-Street; and sold also by T. Payne and Sons, Meuse-Gate, Charing-Cross; and Chase and Co. Norwich, MDCCLXXXVIII. [1788].",London,89,unknown,,,False
1478900602_000052,"The history of America: containing the geographical, political, and commercial state of that continent; in which is given a succinct account of the trade, customs and policy of the French nation, and the foundation they have laid for obtaining the sole dominion in those colonies. Translated from the French of Mons. Du Bosque, late historographer to the French King. In two volumes.",Malachy Postlethwayt,85,4.0,5.0,0,2.0,2.0,0,1.0,0,1.0,3.0,1.0,2.0,2.0,1.0,0,0,0,0,2.0,2.0,1.0,0,2.0,0,0,1.0,0,5.0,0,1.0,0,6.0,0,0,0,1.0,0,21.0,12.0,3.0,2.0,2.0,1770,2,2,"London : printed by George Cave and William Jordon, in St. Paul's Church Yard, MDCCLXX. [1770]",London,386,male,1707,1767,False
0151104500_000065,"Abridgment of the minutes of the evidence, taken before a committee of the whole House, to whom it was referred to consider of the slave-trade, 1790.",Great Britain. Parliament. House of Commons,76,1.0,1.0,0,1.0,3.0,0,2.0,0,0,0,0,2.0,0,0,2.0,3.0,5.0,3.0,1.0,0,0,0,9.0,0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,0,0,0,9.0,0,8.0,0,0,1.0,11.0,1790,1,1,"[London, 1790].",London,247,unknown,,,False
0328002800_000024,"An answer to the Rev. Mr. Clarkson's essay on the slavery and commerce of the human species, particularly the African; in a series of letters, from a gentleman in Jamaica, to his friend in London: wherein many of the mistakes and misrepresentations of Mr. Clarkson are pointed out, Both With Regard To The Manner in which that Commerce is carried on in Africa, And The Treatment of the Slaves in the West Indies. Shewing, At The Same Time, The Antiquity, Universality, and Lawfulness of Slavery, as as ever having been one of the States and Conditions of Mankind. By G. Francklyn, Esq.","Francklyn, Gilbert",62,5.0,2.0,0,3.0,4.0,1.0,1.0,1.0,1.0,0,1.0,0,0,0,2.0,3.0,1.0,0,0,3.0,7.0,0,3.0,0,2.0,1.0,0,0,0,2.0,0,9.0,2.0,0,0,1.0,0,2.0,0,1.0,0,4.0,1789,1,1,"London : printed at the Logographic Press, and sold by J. Walter, No. 169, Opposite Bond Street, Piccadilly; C. Stalker, Stationer's Court, Ludgate Street; and W. Richardson, Under The Royal Exchange, M.DCC.LXXXIX. [1789].",London,274,unknown,,,False
0525100400_000007,"Candid reflections upon the judgement lately awarded by the Court of King's Bench, in Westminster-Hall, on what is commonly called the negroe-cause, by a planter.",Edward Long,68,4.0,3.0,0,1.0,1.0,0,1.0,0,0,3.0,0,0,0,1.0,0,4.0,1.0,1.0,0,0,2.0,2.0,10.0,0,1.0,1.0,0,1.0,2.0,1.0,3.0,3.0,0,1.0,0,1.0,0,16.0,0,1.0,1.0,2.0,1772,1,1,"London : printed for T. Lowndes, No 77, Fleet-stree[t], MDCCLXXII. [1772].",London,79,male,1735,1813,False
1116100112_000881,"Encyclopaedia; or, A dictionary of arts, sciences, and miscellaneous literature ... Compiled from the writings of the best authors, in several languages ... Illustrated with five hundred and forty-two copperplates. ...",,62,4.0,0,1.0,2.0,3.0,0,2.0,0,3.0,0,1.0,1.0,0,0,2.0,2.0,0,0,0,0,1.0,0,12.0,2.0,2.0,1.0,2.0,0,2.0,1.0,0,8.0,3.0,3.0,0,0,0,2.0,0,0,1.0,1.0,1798,12,18,"Philadelphia : Printed by Thomas Dobson, at the stone house, no 41, South Second Street, M.DCC.XCVIII. [1798] (Copy-right secured according to law).",Philadelphia,836,unknown,,,False
0144200100_000004,"The royal African: or, memoirs of the young prince of Annamaboe. Comprehending a distinct account of his country and family; his elder brother's voyage to France, and Reception there; the Manner in which himself was confided by his Father to the Captain who sold him; his Condition while a Slave in Barbadoes; the true Cause of his being redeemed; his Voyage from thence; and Reception here in England. Interspers'd throughout With several Historical Remarks on the Commerce of the European Nations, whose Subjects frequent the Coast of Guinea. To which is prefixed A Letter from the Author to a Person of Distinction, in Reference to some natural Curiosities in Africa; as well as explaining the Motives which induced him to compose these Memoirs.",,52,1.0,4.0,0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,0,0,2.0,1.0,0,1.0,1.0,1.0,1.0,0,2.0,2.0,3.0,0,0,1.0,0,0,0,1.0,0,1.0,0,0,1.0,1.0,0,9.0,1.0,1.0,0,1.0,1749,1,1,"London : printed for W. Reeve, at Shakespear's Head, Fleetstreet; G. Woodfall, and J. Barnes, at Charing-Cross; and at the Court of Requests, [1749].",London,54,unknown,,,False
0432500700_000644,"Report of the Lords of the Committee of Council appointed for the consideration of all matters relating to trade and foreign plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of His Majesty's order in council dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; ...",Great Britain. Board of Trade,85,1.0,1.0,0,2.0,11.0,0,0,6.0,2.0,0,1.0,1.0,0,0,0,1.0,0,4.0,0,1.0,1.0,1.0,9.0,0,1.0,8.0,1.0,1.0,0,3.0,3.0,15.0,0,2.0,0,0,0,5.0,0,0,0,4.0,1789,1,1,"[London], 1789.",London,890,unknown,,,False
0432500700_000069,"Report of the Lords of the Committee of Council appointed for the consideration of all matters relating to trade and foreign plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of His Majesty's order in council dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; ...",Great Britain. Board of Trade,72,7.0,1.0,0,2.0,4.0,0,4.0,0,2.0,0,0,3.0,0,0,0,2.0,0,0,1.0,1.0,0,3.0,2.0,0,2.0,0,1.0,2.0,2.0,4.0,4.0,10.0,0,2.0,1.0,0,0,8.0,2.0,0,0,2.0,1789,1,1,"[London], 1789.",London,890,unknown,,,False
1236701302_000048,"The history of America containing the geographical, political, and commerical [sic] state of that continent: in which is given a succinct account of the trade, customs and policy of the French nation, and the foundation they have laid for obtaining the sole dominion in those colonies. Translated from the French of Mons. du Bosque late Historographer to the French King. In two volumes. ...",Malachy Postlethwayt,88,5.0,4.0,0,6.0,1.0,0,1.0,2.0,1.0,8.0,2.0,8.0,2.0,0,0,1.0,2.0,1.0,0,2.0,7.0,1.0,3.0,0,0,0,1.0,1.0,0,1.0,2.0,0,0,0,2.0,0,0,21.0,3.0,0,0,0,1771,2,2,"London : printed by James Lowndes in Paternoster-Row, MDCCLXXI. [1771].",London,391,male,1707,1767,False
0684801700_000003,"Considerations on the present peace, As far as it is relative to the colonies, and the African trade.","Roberts, John, governor of Cape Coast Castle",64,2.0,2.0,0,1.0,6.0,0,2.0,0,3.0,0,0,6.0,1.0,0,0,1.0,5.0,0,0,3.0,2.0,0,1.0,0,0,3.0,2.0,0,0,0,1.0,0,0,1.0,0,11.0,0,7.0,2.0,1.0,0,1.0,1763,1,1,"London : printed for W. Bristow, at the West End of St. Paul's Church-Yard, MDCCLXIII. [1763].",London,79,unknown,,,False
