PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(america),termFreq(board),termFreq(brought),termFreq(call),termFreq(capt),termFreq(captain),termFreq(carri),termFreq(coast),termFreq(coloni),termFreq(commerc),termFreq(commit),termFreq(compani),termFreq(crew),termFreq(defenc),termFreq(enemi),termFreq(fleet),termFreq(good),termFreq(island),termFreq(justic),termFreq(marin),termFreq(merchant),termFreq(monei),termFreq(nation),termFreq(order),termFreq(piraci),termFreq(pirat),termFreq(port),termFreq(privat),termFreq(quarrel),termFreq(sail),termFreq(sea),termFreq(seamen),termFreq(seiz),termFreq(ship),termFreq(taken),termFreq(thousand),termFreq(took),termFreq(trade),termFreq(trial),termFreq(vessel),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0502100301_000036,"De jure maritimo et navali: or a treatise of affairs maritime, and of commerce. In two volumes. ... . The ninth edition, with many valuable additions. By Charles Molloy, late Barrister at Law.",Charles Molloy,89,0,0,0,3,2,0,1,0,1,1,0,7,0,0,0,2,0,10,1,0,2,2,0,0,1,5,8,3,0,0,1,9,2,1,14,3,0,2,1,3,3,1,1769,1,2,"London : printed for T. Waller, opposite Fetter-Lane, Fleet-Street, MDCCLXIX. [1769].",London,433,male,1646,1690,FALSE,"Trover for Goods of 400o. value, Mo two Caresp tion was for a Trial at Bar, the Goods being hibition was taken by a spani/h Caper, and brought into granted, be Plymouth, and from thence shipped away caufethecon without Condemnation, because though' Br. Pro trade was perty 38 says, the"
0172500402_000069,"A general treatise of naval trade and commerce, as founded on the laws and statutes of this realm. ...",,69,2,1,0,1,1,0,0,1,1,0,1,2,3,1,0,5,0,1,0,1,2,1,0,4,0,3,14,2,2,0,0,6,1,0,6,2,0,0,2,1,1,1,1738,2,2,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling (assigns of Edw. Sayer, Esq;) for E. Symon; and J. Crokatt, 1738-39.",London,497,unknown,,,FALSE,"Magistrate to be examined, together with the Witnesses, r. And on taking any Privateer from the ENEMY , they are to take special Care to secure the Papers, particularly the Commission, and the Roll de Equipage, or List of Seamen's Names; and three or foqi of the Ship's Crew shall"
0004400400_000025,"The history of the war of seventeen hundred and forty one. By M. de Voltaire. In two parts. The second edition. Carefully revised and compared with the Original; with the addition of a plan of the Battle of Fontenoy, not in any other Edition.",Voltaire,68,2,2,0,0,0,0,2,4,2,3,2,0,4,4,0,0,1,3,0,0,0,1,1,2,0,0,2,1,1,1,0,3,0,2,5,2,6,3,3,0,4,2,1756,1,1,"Dublin : printed for G. and A. Ewing, at the Angel and Bible in Dame-Street, MDCCLVI. [1756].",Dublin,300,male,1694,1778,TRUE,"Asia, gave no disturbance to Hungary. Such was the situation of the north, and of the east of Europe, of the south and of the west, I mean of France and Italy. Spain afforded another scene, wherein England ated a principal character, both by the interest of the equilibrium of"
1215100203_000011,"The history of England. From the invasion of Julius Cæsar to the revolution in 1688. By David Hume, Esq;",David Hume,57,1,0,0,0,0,0,0,2,2,0,0,1,0,2,1,1,3,2,0,1,4,2,0,2,2,2,0,1,2,4,2,2,3,3,4,1,0,1,0,0,3,3,1789,3,12,"Basil : printed by J. J. Tourneisen, MDCCLXXXIX. [1789].",Basel,450,male,1711,1776,TRUE,"feudal law; and as there was no preceding instance of such treatment submitted to by a prince of that country, Edward must, from that circumftalce alone, had there remained any doubt, have been himself convinced, that his claim was altogether an usurpation "". But his intention plainly was, to enrage"
0066900105_000342,"A complete collection of state-trials, and proceedings for high treason, and other crimes and misdemeanours; from the reign of King Richard II. to the end of the reign of King George I. In six volumes. With two alphabetical tables to the whole.",,64,0,0,5,1,0,0,5,0,3,0,0,1,1,1,0,1,0,4,0,1,1,3,1,4,0,5,5,0,0,0,1,3,0,1,5,1,1,2,3,2,2,1,1730,5,6,"London : printed for J. Walthoe sen. R. Vincent sen. J. and J. Knapton, R. Knaplock, J. Roberts, J. Darby, S. Buckley, D. Midwinter and A. Ward, A. Bettesworth and C. Hitch, B. Lintot, R. Gosling, W. Mears, B. Sprint, J. Tonson, W. Innys, J. Osborn and T. Longman, T. Woodward, R. Robinson, T. Saunders, B. Motte, J. Walthoe Jun. C. King, F. Clay, W. Battersby, J. Batley, T. Cox, J. Peele, E. Symon, S. Noble, R. Williamson, T. Wotton, D. Browne, B. Creake, J. Clarke, R. Hett, T. Osborne, L. Gilliver, J. Stagg. M.DCC.XXX. [1730].",London,859,unknown,,,FALSE,"he committed many great Piracies and Robberies, taking theships and Goods of the Indians and others at Sea , Moors and Cijiflians, and torturing cruelly their Persons, to discover if anything had escape his Hands; burning their Houses, and killing after a barbarous manner the Natives on the Shore; equally"
0703500102_000082,"A general treatise of naval trade and commerce, as founded on the laws, and statutes of this realm, in which those relating to his Majesty's Customs, ... &c. are particularly considered ... The second edition, with many considerable additions, and a new preface. In two volumes. ...",,114,1,1,6,0,0,0,1,2,0,0,0,4,0,0,1,0,0,8,0,0,2,4,0,0,3,8,21,3,0,0,0,4,3,1,28,2,0,0,4,2,4,1,1753,2,2,"[London] : In the Savoy: printed by Henry Lintot; for J. Brotherton, J. Walthoe, S. Birt, C. Osborn, [and 9 others in London], 1753.",London,513,unknown,,,FALSE,"Chancellor shall appoint; and the Inquisition and Trial to be by the Inhabitants of the same Ports . If any natural born subjects, or Denizens of England, commit Piracy , or any Ad of Hofti Jity, against his Majesty's Subjcts at Sea , under Colour of a Coinminfion or Authority"
0163400102_000088,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes, illustrated with plates. By David Hume, Esq. A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself.",David Hume,56,1,0,0,0,0,0,0,2,2,0,0,1,0,2,0,1,3,2,0,1,3,2,0,2,2,2,0,1,3,4,2,1,3,2,4,1,1,1,0,0,4,3,1791,2,8,"London : printed for T. Cadell: and sold by T.N. Longman, 1791.",London,522,male,1711,1776,TRUE,"John himself, by six different fumm6ns on trivial occasions, to come to London; refused him the privilege of defending his cause by a procurator; and obliged him to appear at the bar of his parliament as a private person k. These humiliating demands were hitherto quite unknown to a king"
0689300108_000746,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti.",,74,0,0,4,0,1,0,2,2,0,0,0,5,1,2,2,2,0,3,0,0,1,2,0,1,0,8,16,1,0,0,0,4,3,3,1,1,0,0,1,0,5,3,1778,8,10,"Edinburgh : printed for J. Balfour and Co. W. Gordon, J. Bell, J. Dickson, C. Elliot, W. Creech, J. Mccliesh, A. Bell, J. Hutton, and C. Macfarquhar, MDCCLXXVIII. [1778].",Edinburgh,833,unknown,,,FALSE,"of its compass was 60 stadia, including the Munichia. Not far from the Piraeeus, stood the sepulchre of Themistocles; whither his friends conveyed his bones from Magnesia, into the Hither Asia, (Cicero, Plutarch, Pausanias). It is dill at this day a famous port , much frequented, and called Porto Hone."
0348100100_000208,"Lex mercatoria rediviva: or, a complete code of commercial law. Being a general guide to all men in business, whether as Traders, Remitters, Owners, Freighters, Captains, Insurers, Brokers, Factors, Supercargoes, or Agents. With an account of our mercantile companies; of our colonies and factories abroad; of our Commercial Treaties with Foreign Powers; of the duty of consuls, and of the Laws concerning Aliens, Naturalization, and Denization. To which is added, a sketch of the present state of the commerce o f the whole world; describing the Manufacturers and Products of each particular Nation; with Tables of the Correspondence and Agreement of their respective Coins, Weights, and Measures. Compiled from the works of the most celebrated British and Foreign Commercial writers. The whole equally calculated for the Information and Service of the Merchant, Lawyer, Member of Parliament, and private Gentleman. By the late Wyndham Beawes, Esq; His Britannick Majesty's Consul at Seville and St. Lucar. The fifth edition, considerably enlarged, and improved, by Thomas Mortimer, Esq; Formerly his Majesty's Vice Consul at Ostend.",Wyndham Beawes,73,0,0,2,1,1,0,0,1,1,0,2,0,1,0,0,1,1,6,0,0,2,2,1,1,3,2,10,1,4,0,3,6,0,3,10,1,0,0,0,1,3,3,1792,1,1,"London : printed for R. Baldwin; T. Longman; B. Law; S. Crowder; T. Cadell; G. Robinson, and Co. F. and C. Rivington; J. Sewel; D. Steel; T. and J. Brooke; W. Otridge; Whieldon and Butterworth; W. Lowndes; and W. Evans, MDCCXCII. [1792].",London,1039,male,,,FALSE,"Mariners , Anlim dlypre.e.; r, it could by no Means be made Piracy . It has been customary to grant Commissions to the Commanders of Ships bound to the Eai indies, for the seizing of Pirates , and as I find they have always been to the same Purpose, though"
1131500102_000088,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ... A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself.",David Hume,56,2,0,0,0,0,0,0,2,2,0,0,1,0,2,1,1,3,2,0,0,3,2,0,3,2,2,0,2,1,4,1,2,3,3,3,1,0,1,0,0,4,3,1786,2,8,"London : printed for T. Cadell, 1786.",London,516,male,1711,1776,TRUE,"of his treason and felony. Accordingly Balliol, though a prince of a lbft and gentle spirit, returned into Scotland highly provoked at tis u!age, and determined at all hazards, to vindicate his liberty; and the war , which soon after broke out between France and England, gave him a favourable"
0008000102_000086,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes, illustrated with plates. By David Hume, Esq. A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself. ...",David Hume,55,1,0,0,0,0,0,0,2,2,0,0,1,0,2,1,1,3,2,0,0,3,2,0,3,2,2,0,1,2,4,2,2,3,3,2,1,0,1,0,0,4,3,1789,2,8,"London : printed for T. Cadell: and sold by T. Longman, 1789.",London,513,male,1711,1776,TRUE,"to by a prince of that country, Edward must, from that circumstance alone, had there remained any doubt, have been himself convinced that his claim was altogether an usurpation. But his intention plainly was, to enrage Balliol by these indignities, to engage him in rebellion, and to assume the dominion"
0739400200_000021,The life of Admiral Vernon. By an impartial hand.,Impartial hand,66,1,2,0,0,0,0,1,5,2,4,2,0,2,4,0,0,1,3,0,1,0,2,1,3,0,0,1,0,2,1,0,1,0,2,2,3,4,4,3,0,4,5,1758,1,1,"London : printed for J. Fuller, in Avemary-Lane, MDCCLVIII. [1758].",London,251,unknown,,,FALSE,"who by treaty were to furnish the colonies with four thousand eight hundred Negroes, had obtained the privilege of selling the eight hundred without any duty : but the greatest advantage reaped by the English, preferably to other nations , was the permission granted in 1716, of sending a ship"
0471100200_000032,"A collection of statutes concerning the incorporation, trade, and commerce of the East India Company, and the government of the British possessions in India, with the statutes of piracy. To which, for more succint Information, are annexed, list of duties and drawbacks on the company's trade; the by-laws, constitutions, Rules and Orders for the good Government of the Company, and the Management of their Trade; and an abridgement of the company's charters. With a copious index. Compiled by F. Russell Esq. F. R. S. & F. S. A.",Great Britain,78,0,2,0,1,1,0,2,0,0,1,0,2,1,0,0,2,0,9,0,0,2,3,2,0,0,5,9,6,0,0,0,4,5,1,14,1,1,0,0,1,3,0,1794,1,1,"London : printed by Charles Eyre and Andrew Strahan, Printers to the King's Most Excellent Majesty, 1794.",London,756,unknown,,,FALSE,"or robbery is or shall be committed by any pirate or robber whatsoever, every person and persons, who knowing that such pirate or robber has done or committed such piracy and robbery, shall on the land, or upon the sea , receive, entertain or the like for conceal any such"
1181500112_000059,"The works of M. de Voltaire. Translated from the French. With notes, historical and critical. By T. Smollett, M.D. T. Francklin, M.A. and others. In twenty-four volumes. ...",Voltaire,59,2,2,0,0,0,0,1,7,2,3,4,1,4,3,0,1,1,0,0,1,0,1,1,3,0,0,2,1,0,1,0,2,0,1,1,0,5,2,2,0,3,2,1772,12,24,"Dublin : printed by R. Marchbank, for R. Moncrieffe, 1772-73.",Dublin,318,male,1694,1778,TRUE,"Wcetern parts, in which latite I include France and Italy. Spain exhibited another scene, wherein England Wv: a principal actor, as well with regard to that balance r; power which fly had always affected to hold, as he commerce , in which was her more real and sensible in. terest."
1272800202_000153,"The Remembrancer, or Impartial repository of public events. ... For the year ...",,76,0,5,8,1,3,4,4,3,1,4,0,0,0,0,1,3,1,0,1,0,0,1,1,0,3,0,0,2,11,0,1,3,1,1,1,5,1,0,0,0,4,2,1776,1,1,"London [England] : printed for J. Almon, opposite Burlington-House, in Piccadilly, M DCC LXXV. [1775]-1784.",,377,unknown,,,FALSE,"Rouse, Capt . Ross, a paflcnger, and il forcmait men, were put on board for some parts of America . They had not been on board above four days, but an opportunity offered of taking her, by rising on the people; they met with success, and have on board ,"
0501900105_000355,"A complete collection of state-trials, and proceedings for high-treason, and Other Crimes and Misdemeanours; the fourth edition; commencing with the eleventh year of the reign of King Richard II. and ending with the sixteenth year of the reign of King George III. with Two Alphabetical Tables to the Whole. To which is prefixed, a new preface By Francis Hargrave, Esquire. Volume the First.",,70,0,1,1,1,1,1,7,0,1,0,0,2,1,0,0,0,1,5,0,1,1,1,1,3,1,1,5,1,1,0,0,7,0,2,14,1,1,0,0,1,5,1,1777,5,11,"London : printed by T. Wright, Essex-Street, Strand; for C. Bathurst, J. and F. Rivington, L. Davis, T. Longman, W. Owen, T. Cadell, M. Folingsby, T. Lowndes, B. Law, J. Wilkie, R. Horsefield, M. Hingeston, S. Bladon, T. Carnan, H. Gardner, W. Otridge, and the rest of the proprietors: and sold by G. Kearsly, No. 46, near Serjeant's-Inn, Fleet-Street, MDCCLXXVI. [1776]-81.",London,430,unknown,,,FALSE,"of Our Reign. ORLANDO GEE, Re.' Mr. J. Powel. Capt . Kidd, Can you make it appear there was a Frai Pass aboard the Puedaghi Merchant ? hill. Kidd. My Lord, these Men say, They heard several say so. Mr. Coniers. But all came from you. L C B. Yard."
0172500402_000073,"A general treatise of naval trade and commerce, as founded on the laws and statutes of this realm. ...",,95,1,2,7,0,0,0,3,2,0,0,0,2,0,0,2,0,0,8,0,0,1,3,0,0,3,5,14,2,1,0,0,2,1,1,24,1,0,0,4,1,2,3,1738,2,2,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling (assigns of Edw. Sayer, Esq;) for E. Symon; and J. Crokatt, 1738-39.",London,497,unknown,,,FALSE,"paid by the Captain , Commander, cr m.fter of the Ship , to the first Discoverer of any Combination for running away with, or or destroying any such Ship , at the Port where the Wages are to be paid. By the 4 Geo. i. cap. 11 All Persons who"
1107000102_000087,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq. ... . A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself.",David Hume,55,1,0,0,0,0,0,0,2,1,0,0,1,0,2,0,1,3,2,0,1,4,2,0,2,2,2,0,1,3,4,2,1,3,3,2,1,0,1,0,0,5,3,1792,2,8,"Edinburgh : printed for G. Mudie, J. Elder, A. Guthrie, J. Hunter, J. & J. Fairbairn, T. Brown, J. Guthrie, Lawrie and Symington, J. Watson, & Co. and C. Elliot, Edinburgh: W. Coke, Leith, and W. Anderson, Stirling, M,DCC,XCII. [1792].",Edinburgh,517,male,1711,1776,TRUE,"Initead of gradually enurii the Scots C H A 1' to the yoke, and exerting his rights of superiority with t moderation, he encouraged. all appeals to England; zg29. required King John himself, by IX different summons on trivial occaiions, to come to London i; refused him the privilege of"
0995600105_000343,"A complete collection of state-trials, and proceedings for high-treason, and other crimes and misdemeanours; from the reign of King Richard II. to the reign of King George II. In Six Volumes. With two alphabetical tables to the whole.",,69,0,0,3,1,2,0,4,1,3,0,1,1,0,1,0,1,0,4,0,0,1,4,0,2,0,2,8,0,0,0,0,7,0,2,9,1,2,2,2,2,2,1,1742,5,6,"London : printed for the undertakers, John Walthoe Sen. and Jun. Thomas Wotton, Charles Bathurst, Jacob and Richard Tonson, and the representatives of John Darby, deceased. And also for J. Basket, J. Roberts, D. Midwinter, E. Grafton, G. Strahan, E. Curll, W. Innys, T. Woodward, S. Richardson, A. Ward, J. and P. Knapton, T. Cox, J. Peele, S. Birt, R. Vincent, D. Browne, T. Longman, C. Hitch, H. Lintot, B. Creake, J. Clarke, R. Hett, J. Shuckburgh, T. Waller, A. Millar, J. Wood, J. Pemberton, Tho. Brown, J. Stagg, and the Executors of S. Buckley, M.DCC.XLII. [1742].",London,855,unknown,,,FALSE,"]hold finrrender theinfelves, James Howe, Nicholas Churchill, and Darby Mullins, in ma.v, 1699, did fri'render thefifelves to Jeremiah Bass, and he did admit them to Bail. L C B. wyard. There are Four Comminioners named in the Proclamation: There is no Governor mentioned that is to receive them, only thol:"
0145000202_000088,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ... A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself.",David Hume,53,1,0,0,0,0,0,0,2,2,0,0,1,0,2,0,1,3,2,0,1,4,2,0,2,2,2,0,1,2,4,2,2,3,3,3,1,0,1,0,0,2,2,1778,2,8,"London : printed for T. Cadell, in the Strand, MDCCLXXVIII. [1778].",London,527,male,1711,1776,TRUE,refused him the privilege of defending his cause by a procurator; and obliged him to appear at the bar of his parliament as a private person k. These humiliating demands were hitherto quite unknown to a king of Scotland : They are however the necessary consequence of valfalage by the
