PassageID,Title,Author,Total termFreq,termFreq(action),termFreq(ancient),termFreq(charact),termFreq(composit),termFreq(descript),termFreq(divin),termFreq(epic),termFreq(geniu),termFreq(god),termFreq(hero),termFreq(heroic),termFreq(histori),termFreq(imagin),termFreq(incid),termFreq(languag),termFreq(machineri),termFreq(manner),termFreq(marvel),termFreq(merit),termFreq(natur),termFreq(necess),termFreq(personag),termFreq(place),termFreq(plan),termFreq(plot),termFreq(poem),termFreq(probabl),termFreq(reader),termFreq(speci),termFreq(style),termFreq(sublim),termFreq(uniti),termFreq(varieti),termFreq(vers),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0937000102_000065,The poems of Ossian. In two volumes. A new edition. Translated by James Macpherson Esqr. ...,James Macpherson,55,4,0,2,3,3,0,6,2,0,2,1,1,1,2,0,0,2,1,0,4,0,2,1,2,0,7,1,1,1,0,4,0,1,1,1797,2,2,"Edinburgh : printed for J. Elder, and T. Brown, 1797.",Edinburgh,308,male,1736,1796,TRUE,"they strike the imagination , and fire the passions in a higher degree; and of consequence become happier materials to a poetical genius than the same events when scattered through the wide circle of more varied action , and cultivated life. Homer is a more cheerful and sprightly poet than"
1441300600_000063,Essays on rhetorick: abridged chiefly from Dr. Blair's lectures on that science.,Solomon Southwick,68,3,1,6,0,1,0,16,0,3,4,0,0,2,1,0,4,0,1,1,2,0,4,0,1,0,7,1,4,3,0,0,2,1,0,1798,1,1,"Albany [N.Y.] : Printed by Barber & Southwick, and sold at their book-store, two doors north of the city-hall, Court-Street, and at Faust's statue, State-Street, M,DCC,XCVIII. [1798].",Albany,308,male,1773,1839,FALSE,"or acion, is to exclude episodes. On the contrary, the epic poem would be cold without them; and the critics confider them as its greatest embellishments. They are introduced fbr the sake of variety ; and they relieve the reader by shifting the scene. Thus Hetor's visit to Andromache in"
0089202700_000011,"A critical dissertation on the poems of Ossian. The son of Fingal. The third edition. To which is added, an appendix, containing a Variety of undoubted Testimonies establishing their Authenticity. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetorick and Belles-Lettres, in the University of Edinburgh.",Hugh Blair,59,3,0,2,5,3,0,8,2,0,1,2,1,0,2,0,0,2,1,0,5,0,2,1,2,0,8,1,1,1,0,4,0,1,1,1765,1,1,"Dublin : printed for Peter Wilson, in Dame-Street, M,DCC,LXV. [1765].",Dublin,131,male,1718,1800,TRUE,"gives you more of an image or a description , than is just sufficient to place it before you in one clear point of view. It is a blaze of lightning, which flafies and. vanishes. Homer is more extended in his descriptions ;. and fills them up with a greater"
0382100203_000052,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,61,0,0,4,3,1,0,14,1,3,4,2,0,1,0,0,4,0,2,0,2,0,2,3,3,0,7,1,1,1,0,1,1,0,0,1785,3,3,"London : printed for W. Strahan; T. Cadell; and W. Creech in Edinburgh, 1785.",London,413,male,1718,1800,TRUE,"place ; though the nature of Epic Poetry seems to require, that the principal figures exhibited fllould be such as tend to raise admiration and love, rather than hatred or contempt. But whatever the charater be which a Poet gives to any of his ators, he must take care to"
0484400100_000069,Essays on rhetoric: abridged chiefly from Dr. Blair's Lectures on that science.,Hugh Blair,46,1,1,2,2,1,1,2,2,2,0,0,0,1,1,0,3,1,1,0,1,1,2,1,1,0,8,0,2,1,0,5,1,2,0,1787,1,1,"London : [pri]nted for J. Murray, NO 32, Fleet-Street, MDCCLXXXVII. [1787].",London,431,male,1718,1800,TRUE,"conduced according to the critical rules. But it has great dcf;, cts. It is founded on civil wars; and it prcf nts to the mind the odious objets of aff.llinations. The period which it contains is also too recent, and too much within the circle of well-known inci (ents. The"
0357500300_000261,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University, of Edinburgh.",Hugh Blair,60,1,0,1,3,1,0,14,1,3,4,2,0,1,0,0,5,2,2,0,1,0,2,2,3,0,7,2,1,1,0,0,1,0,0,1784,1,1,"Philadelphia : Printed and sold by Robert Aitken, at Pope's Head in Market Street, MDCCLXXXIV. [1784].",Philadelphia,479,male,1718,1800,TRUE,"two kinds, general and particular. General charaters are, such as wise, braves virtuous, without any farther distinction. Particular charaters express the species of bravery, of wisdom, of virtue, for which any one is eminent. They exhibit the peculiar features which distinguish one individual from another, which mark the difference of"
0300401003_000062,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. & F.R.S. Ed. one of the Ministers of the high church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,36,1,1,1,1,2,0,2,1,1,2,1,1,0,1,0,3,1,0,1,1,0,1,1,1,0,4,0,1,1,1,2,1,2,0,1798,3,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh; and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell) in the Strand, 1798.",London,389,male,1718,1800,TRUE,"fed nefeia virtus Stare loco; folufque pudor non vincere bello; Acer et indomitus.. L I. 32 BUT * With gifts and liberal bounty sought for fame, And loved to hear the vulgar Ihout his name; In his own theatre rejoiced to sit, Amidst the noisy praises of the pit. Careless"
0356900800_000011,"A critical dissertation on the poems of Ossian, the son of Fingal. The second edition. To which is added, an appendix, containing a variety of undoubted testimonies establishing their authenticity. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetorick and Belles-Lettres, in the University of Edinburgh.",Hugh Blair,63,8,0,2,4,0,0,9,1,0,1,3,1,0,3,0,0,3,1,0,4,0,1,1,2,1,8,1,2,1,1,0,5,0,0,1765,1,1,"London : printed for T. Becket and P. A. De Hondt, at Tully's Head, near Surry Street in the Strand, MDCCLXV. [1765].",London,152,male,1718,1800,TRUE,"Hence his whole fyftemarofe. Aristotle studied nature in Homer, Homer and Ossian both wrote from nature . No wonder that among all the three, there should be such agreement and conformity. The fundamental rules delivered by Arifotle concerning an epic poem , are these: That the action which is the"
0417500103_000063,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,48,1,0,3,1,5,0,5,1,1,1,2,2,2,2,0,1,2,0,0,1,0,1,0,3,0,8,0,1,0,2,1,1,1,0,1796,3,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,390,male,1718,1800,TRUE,"happy as in his descriptions . It is indeed rather by actions , characters , and descriptions , that he interests us, than by the sentimental part of the work. He is far inferior to Virgil in tenderness. When he aims at at being pathetic and sentimental in his speeches,"
0225900603_000067,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,39,1,2,0,1,2,0,3,1,1,2,1,1,0,1,0,3,1,0,1,1,0,1,1,1,0,6,0,1,1,1,2,1,2,0,1788,3,3,"Basil : printed by J. J. Tourneisen, 1788.",Basel,408,male,1718,1800,TRUE,"nec fama ducis; fed nefcia virtus Stare loco; fo!ufque pudor non vincere bello; Acer et indomitus *. -- L. 3i. * With gifts and liberal bounty sought for fame, And loved to hear the vulgar shoot his name; In his own theatre rejoiced to sit, Amidst the noisy praises of"
0532000200_000011,"A critical dissertation on the poems of Ossian, the son of Fingal.",Hugh Blair,58,7,0,2,4,0,0,8,1,0,1,3,1,0,3,0,0,3,1,0,2,0,1,1,2,1,7,1,2,1,1,0,5,0,0,1763,1,1,"London : printed for T. Becket and P. A. De Hondt, at Tully's-Head, in the Strand, MDCCLXIII. [1763].",London,78,male,1718,1800,TRUE,"the aaion which is the ground work of the poem , should be one, complete, and great; that it should be feigned, not merely historical; that it should be enlivened with characters and manners ; and heightened by the marvellous . But before entering on any of these, it may"
0702600103_000063,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,50,1,0,3,0,6,0,1,1,1,1,0,0,3,4,0,3,1,2,1,0,0,1,0,1,0,9,1,1,0,3,2,1,3,0,1787,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1787.",London,415,male,1718,1800,TRUE,"of religion; rometimes the intrigues of love; at other times, the adventures of a journey, or even the incidents of pastoral life, relieve and entertain the Reader . At the same time, the whole work is artfully connec ed, and while there is much variety in the parts, there is"
0417500103_000052,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,55,0,0,3,2,1,0,13,1,3,3,2,0,1,0,0,4,1,3,0,0,0,1,2,3,0,7,1,1,1,0,1,1,0,0,1796,3,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,390,male,1718,1800,TRUE,"hatred or contempt. But whatever the character be which a Poet gives to any of his ators, he must take care to preserve it uniform, and confifent with itself. Everything which that person says, or does, must be suited to it, and must serve to distinguish him from any other."
0937200403_000063,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,48,2,0,3,0,6,0,0,0,1,1,1,1,2,3,0,4,1,2,1,1,0,1,0,1,0,7,1,1,0,3,2,1,2,0,1793,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1793.",London,416,male,1718,1800,TRUE,"Tasso's age, was a splendid, venerable, and heroic enterprise.. The opposition of the Christians to the Saracens, forms an interesting contrast. The subjea produces none of those fierce and shocking scenes of civil discord, which hurt the mind in Lucan, but exhibits the efforts of zeal and bravery, inspired by"
0758101002_000093,"The works of Ossian, the son of Fingal. In two volumes. Translated from the Galic language by James Macpherson. ...",James Macpherson,65,5,0,2,5,0,0,11,2,0,1,4,1,0,3,0,0,2,1,0,4,0,1,1,2,1,10,1,2,0,0,0,5,0,1,1765,2,2,"London : printed for T. Becket and P. A. Dehondt, 1765.",London,517,male,1736,1796,TRUE,"the heroes of Homer, but even those of the polite arid refined Virgil, are left far behiid by those of Ossian.. After these general observations on the genius and spirit of our author, I now proceed to a nearer view, nrid more accurate examination of his works: and as Fingal"
1575000400_000004,"Heads of the lectures on Rhetorick, and belles lettres, in the University of Edinburgh, 1767.",Hugh Blair,61,3,2,4,3,7,0,6,0,0,0,1,4,2,2,1,1,5,1,0,5,0,0,1,0,1,2,2,0,4,3,0,1,0,0,1767,1,1,"Edinburgh : Sold by A. Kincaid & J. Bell, [1767].",Edinburgh,45,male,1718,1800,TRUE,"of eloquence. The firif objecd in delivery is, to speak so as to be fully and easily intelligible; the next is, to speak with grace and force n In L 33 J In order to be easily and fully understood, the voice muss be pitched on a proper key; pronunciation"
0504100102_000127,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In two volumes. ...",Hugh Blair,63,0,0,1,2,1,0,12,0,4,4,2,0,1,0,0,6,3,4,0,1,0,2,2,3,0,8,4,1,0,0,1,1,0,0,1783,2,2,"London : printed for W. Strahan; T. Cadell; and W. Creech, in Edinburgh, 1783.",London,553,male,1718,1800,TRUE,"of all Epic Poets, to felec some one personage , whom they distinguish above all the rest, and make the hero of the tale. This is considered as essential to Epic Composition , and is attended with several advantages. 224 It renders the unity of the subjea more sensible, when"
0937000102_000069,The poems of Ossian. In two volumes. A new edition. Translated by James Macpherson Esqr. ...,James Macpherson,54,2,0,6,1,2,1,3,2,1,2,0,0,4,0,0,6,3,4,1,2,0,2,1,0,0,2,4,3,0,0,1,0,1,0,1797,2,2,"Edinburgh : printed for J. Elder, and T. Brown, 1797.",Edinburgh,308,male,1736,1796,TRUE,"bestowed on one whom the poet would most exalt, is to say, that his soul was like the soul of Fingal. To do justice to the poet's merit , in supporting such a character as this, I must observe, what is not commonly attended to, that there is no part"
0357500300_000271,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University, of Edinburgh.",Hugh Blair,51,0,0,3,0,7,0,1,1,1,1,0,0,3,4,0,3,1,2,1,0,0,1,0,1,0,9,1,1,0,4,2,1,3,0,1784,1,1,"Philadelphia : Printed and sold by Robert Aitken, at Pope's Head in Market Street, MDCCLXXXIV. [1784].",Philadelphia,479,male,1718,1800,TRUE,"pleasing objecs. Sometimes the solemnities of religion; foametinles the intrigues of love; at other times, the adventures of a journey, or even the incidents of palloral life, relieve and entertain the Reader .. At the same time, the whole work is artfully conneeced, and while there is much variety in"
0382100203_000063,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,48,0,0,2,1,7,0,5,1,0,1,2,2,2,2,0,1,2,0,0,1,0,1,0,3,0,8,0,2,0,2,1,1,1,0,1785,3,3,"London : printed for W. Strahan; T. Cadell; and W. Creech in Edinburgh, 1785.",London,413,male,1718,1800,TRUE,"the Seventh Book, and the Arts and Beauty of Armida in the Fourth Book, it is soft and insinuating. Both those descriptions , which I have mentioned, are exquisite in their kind. His battles are animated, and very properly varied in the incidents ; inferior however to Homer's, in point"
0948200103_000002,"The works of Virgil. In English verse. The Æneid translated by ... Christopher Pitt. The Eclogues and Georgics, with notes ... by ... Joseph Warton. With several new observations by Mr. Holdsworth, ... and others. Also, a dissertation ... by Mr. Warburton. On the shield of Æneas, by Mr. W. Whitehead. On the character of Iapis, by ... Dr. Atterbury, ... And, three essays ... by the editor. In four volumes. ...",Virgil,47,3,1,0,1,1,4,4,2,1,2,0,1,0,1,0,2,0,2,1,5,1,2,0,2,0,8,0,1,0,0,0,1,0,1,1763,3,4,"London : printed for R. and J. Dodsley, 1763.",London,362,male,170,119,FALSE,"critics could give no other reaforis than to raise the dignity of.the poem , become e.jentikl to the subjee. Thus the choice of princes and heroes : for his personages , which were, before, only used to grace the scene, now constitute the nature of the action C And the"
0484400100_000067,Essays on rhetoric: abridged chiefly from Dr. Blair's Lectures on that science.,Hugh Blair,47,3,1,4,0,5,1,4,1,0,1,1,0,0,2,0,3,0,1,1,0,0,0,2,2,0,8,0,1,0,2,1,1,2,0,1787,1,1,"London : [pri]nted for J. Murray, NO 32, Fleet-Street, MDCCLXXXVII. [1787].",London,431,male,1718,1800,TRUE,"drawn with fire and force. But although Pompey is his hero , I; has not been able to make him sufficiently intcrefring. He marks not rfompey by any high di!iiniccion, either for magnanimity or valour. HL is always furpafted by Cafar. Cato is a favourite chara&cer with him; and he"
0393400501_000003,"The adventures of Telemachus, the son of Ulysses, written by the Archbishop of Cambray: a new translation. In two volumes. ...",François Fénelon,80,9,2,1,0,1,6,11,0,3,7,1,0,0,1,0,0,1,7,1,5,0,2,3,0,2,10,4,0,0,0,2,0,1,0,1755,1,2,"Glasgow : printed by Robert Urie, MDCCLV. [1755].",Glasgow,243,male,1651,1715,TRUE,"enjoy happiness and repose, the Divinity withdraws, the marvellous ceases, and the epic aslion is at an end. It is in adversity that man (a) See father Bossu, B. II chap. 13, shows himself a hero , and needs a divine support. He must suffer, in order to walk alone,"
0504100102_000138,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In two volumes. ...",Hugh Blair,46,0,0,1,1,4,0,5,1,1,1,2,2,2,2,0,1,2,0,0,3,0,1,0,3,0,8,0,1,0,2,1,1,1,0,1783,2,2,"London : printed for W. Strahan; T. Cadell; and W. Creech, in Edinburgh, 1783.",London,553,male,1718,1800,TRUE,"is far inferior to Virgil in tenderness. When he aims at being pathetic and sentimental in his speeches, he is apt to become artificial and strained. WITH regard to points and conceits, with which he has ofen been reproached, the censure has been carried too far. Affetation is by no"
0737500102_000120,"The art of poetry on a new plan: illustrated with a great variety of examples from the best English poets; and of translations from the ancients: Together with such Reflections and critical Remarks as may tend to form in our Youth an elegant Taste, and render the Study of this Part of the Belles Lettres more rational and pleasing. ...",,58,1,1,2,0,0,1,4,2,1,3,1,0,1,0,3,1,2,0,0,4,0,0,3,1,0,7,1,3,0,2,1,1,1,11,1762,2,2,"London : printed for J. Newbery, at the Bible and Sun in St. Paul's Church-Yard, MDCCLXII. [1762].",London,385,unknown,,,FALSE,"like him, decked his phantoms in such beautiful colours and rich ornaments, that they meet with refpea and applause in every company: but, however excellent in themselves, as members of an Epic poem they are intolerable; for though' the Epic deals in the wonderful, yet everything is to be probable"
0088500102_000068,"The poems of Ossian, the son of Fingal. Translated by James Macpherson, Esq.",James Macpherson,56,5,0,0,4,0,0,8,1,0,1,3,1,0,3,0,0,3,1,0,3,0,1,1,2,1,8,1,2,1,1,0,5,0,0,1795,2,2,"Berwick : printed by and for W. Phorson, 1795.",Berwick-upon-Tweed,304,male,1736,1796,TRUE,"from nature . No wonder that among all the three, there Should be such agreement and conformity. The fundamental rules delivered by Aristotle con ctruing an epic poem , are these: That the acion whi; ih lwich is the ground work of the poem , should be one, complete, and"
0957800103_000064,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,43,0,0,1,1,4,0,5,2,3,1,2,2,1,1,0,2,1,0,0,1,0,0,0,3,0,6,0,2,0,2,1,1,1,0,1790,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1790.",London,418,male,1718,1800,TRUE,"and ieneid. Tasso may be justly held inferior to Homer, in simplicity and in fire; to Virgil, in tenderness; to Milton, in daring sublimity of genius ; but to no other he yields in any poetical talents; and for fertility of invention, variety of incidents , expression of characters ,"
0937200403_000064,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,43,0,0,2,1,4,0,4,1,3,1,2,1,2,1,0,1,1,0,0,1,0,1,0,3,0,7,0,2,0,2,1,1,1,0,1793,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1793.",London,416,male,1718,1800,TRUE,"when he fecksto be tender, he degenerates into forced and unnatural ideas; but these are far from being so fi equent or common as has been supposed, 'hrcclcore or fourscore lines retrenched ffirm the ithepoem, would fully clear it, I am persuaded, L, ct of all such exceptionable passages. "
1128700103_000068,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,49,1,0,2,1,7,0,3,1,1,1,0,0,3,3,0,3,1,2,1,0,0,1,0,0,0,9,1,0,0,4,2,0,2,0,1783,3,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert, Walker, Exshaw, White, Beatty, Burton, Byrne, Parker, and Cash, M,DCC,LXXXIII. [1783].",Dublin,426,male,1718,1800,TRUE,"recovery of Jerusalem is the object kept in view through the whole, and with it the Poem closes. All the Episodes, if we except that of Olindo and Sophronia, in the second Book, on which I formerly passed a censure, are sufficiently related to the main subject of the Poem"
