PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(appear),termFreq(bridg),termFreq(cafe),termFreq(caus),termFreq(cent),termFreq(church),termFreq(citi),termFreq(citizen),termFreq(colleg),termFreq(common),termFreq(contain),termFreq(counti),termFreq(court),termFreq(crown),termFreq(earl),termFreq(england),termFreq(equal),termFreq(exchang),termFreq(follow),termFreq(ftreet),termFreq(gener),termFreq(grant),termFreq(hall),termFreq(hous),termFreq(king),termFreq(laid),termFreq(land),termFreq(lane),termFreq(late),termFreq(law),termFreq(letter),termFreq(liberti),termFreq(london),termFreq(market),termFreq(mayor),termFreq(merchant),termFreq(mile),termFreq(monei),termFreq(number),termFreq(offic),termFreq(order),termFreq(oxford),termFreq(parliament),termFreq(person),termFreq(port),termFreq(pound),termFreq(price),termFreq(print),termFreq(receiv),termFreq(return),termFreq(royal),termFreq(sea),termFreq(set),termFreq(sever),termFreq(societi),termFreq(taken),termFreq(town),termFreq(ward),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0115000102_000851,"Universal geography formed into a new and entire system; describing Asia, Africa, Europe, and America; with their Subdivisions of Empires, Kingdoms, States, and Republics: The Extent, Boundaries, and remarkable Appearances of each Country; Cities, Towns, and Curiosities of Nature and Art. also giving a general account of the Fossil and Vegetable Productions of the Earth, and of every Species of Animal: the history of man, in all Climates, Regions, and Conditions; Customs, Manners, Laws, Governments, and Religions: the state of arts, sciences, commerce, Manufactures, and Knowledge. Sketches of the Ancient and Modern History of each Nation and People, To which is added, a short view of astronomy, as Connected with Geography, of the Planetary System to which the Earth belongs; and of the Universe in General. by John Payne. With a Set of Maps, drawn from the best Materials, every one of which is very Neatly Coloured; And a great Variety of Copper-Plates. ...","Payne, John",81,0,1,1,2,2,0,1,11,0,1,2,1,1,3,2,0,0,0,0,1,0,3,0,3,3,2,0,1,0,1,3,0,1,4,0,3,1,1,0,5,4,0,1,2,1,0,1,0,0,2,0,0,1,2,2,0,1,1,2,1,1791,2,2,"London : printed for the author, and sold by J. Johnson, No 72, St. Paul's Church Yard, and C. Stalker, Stationer's Court, Ludgate Street, MDCCXCI. [1791].",London,864,unknown,,,FALSE,"and enters upon his office on the ninth of tnovember. He is also conservator of the river Thames, from the bridge at Staiies to the river Medway. When the lord mayor appears abroad asa magifirate, it is in a coach of fate; he then wears a purple or scarlet robe,"
0181900401_000049,A tour in Wales. MDCCLXX.,Thomas Pennant,88,1,0,4,0,4,0,2,8,3,0,3,0,4,8,2,1,0,0,4,0,0,3,3,1,2,3,0,0,1,0,0,0,1,0,1,4,1,0,0,0,5,3,0,1,4,1,2,0,0,2,3,1,0,0,2,0,0,0,0,0,1778,1,2,"London : printed by Henry Hughes, MDCCLXXVIII. [1778].",London,525,male,1726,1798,TRUE,"A sheriss was killed, and many other excesses committed +. AFTER the revolution which happened in 1399, the mayor and citizens continued to favour the cause of their deposed matter; and after his death, gave all the assistance in their power to Harry Pery. On his defeat, they obtained the"
0138200100_000180,"Salmon's geographical and astronomical grammar, including the ancient and present state of the world; and Containing 1. The Newtonian System of the Planets. 2. A particular View of the Earth. 3. Geographical Elements, exemplified in Definitions, Problems, Theorems, and Paradoxes. 4. The grand Divisions of the Globe. 5. The Extent of Empires, Kingdoms, States, Provinces, and Colonies; with an Account of their Climates, Animals, Birds, Metals, Minerals, Rivers, Bays, and Natural Curiosities. 6. Origin and History of Nations, Forms of Government, Religion, Laws, Revenues, Commerce, and Taxes. 7. Their Language, Genius, Revenues, Customs, and Public Buildings. 8. An Account of the New Discoveries in the South Seas. 9. A Geographical Table, in which is given the Longitude, Latitude, and Bearings, of the principal Places in the World. 10. The Coins of the various Nations, and their Value in English Money. 11. A Chronological Table of remarkable Events. 12. A List of Men of Learning and Genius. The thirteenth edition; with considerable corrections and additions, in which the history of the various countries in every quarter of the globe is continued to the year 1785, including a full Account of the New Discoveries, and illustrated with Maps and other Plates, elegantly executed.",Thomas Salmon,75,0,2,1,0,1,0,2,5,0,1,3,3,2,3,3,1,3,1,1,0,0,1,1,0,2,6,0,1,0,1,1,1,1,3,0,1,0,6,1,2,4,0,0,3,0,1,0,1,0,1,0,0,1,0,2,0,1,1,0,0,1785,1,1,"London : [p]rinted for C. Bathurst, W. Strahan, J. F. and C. Rivington, S. Crowder, T. Longman , B. Law, J. and T. Pote, C. Dilly, G. G. J. and J. Robinson, T. Cadell, R. Baldwin, J. Nichols, J. Sewell, W. Goldsmith, W. Nicoll, J. Murray, J. Bew, W. Lowndes, Scatcherd and Whitaker, and W. Stuart, [1785].",London,824,male,1679,1767,FALSE,"lize, of a fine shape, and may be ranked among the curiosities of this country. - The Goshawk and Ger falcons may be alib mentioned. 1 he latter is the largest bird of the Falcon kind, approaching to the size of a Vulture, and of the greatest strength next the"
1124400102_000606,"A new and complete system of geography. Containing a full, accurate, authentic and interesting account and description of Europe, Asia, Africa, and America; ... The whole embellished ... with copper plates. By Charles Theodore Middleton, Esq. assisted by several gentleme ...","Middleton, Charles Theodore",72,2,0,2,0,0,0,1,6,0,2,2,1,0,4,1,0,0,0,0,1,1,2,0,4,2,2,0,0,1,1,4,0,3,7,1,2,3,1,0,2,0,0,0,1,0,0,0,0,0,1,0,4,0,0,3,2,0,1,1,1,1778,2,2,"London : printed for J. Cooke, 1778-1779.",London,604,unknown,,,FALSE,"Fleet market is a prison for debtors, called the Fleet. There is also another prison for the like purpose in St. George's Fields, called the King's Bench, and near it is New Bridewell, a large building adapted for the punishment of vagrants, c. In the metropolis and its environs are"
1384200100_001268,"By the King's royal license and authority. A new royal authentic and complete system of universal geography antient and modern: Including all the late important discoveries made by the English, and other celebrated navigators of various nations, in the different hemispheres, and containing a complete genuine history and description of the whole world, as consisting of empires, kingdoms, states, republics, provinces, continents, islands, oceans, &c. With the various countries, cities, towns, promontories, capes, bays, peninsulas, isthmusses, gulphs, rivers, harbours, lakes, aqueducts, mountains, volcanos, caverns, deserts, &c.&c. throughout Europe, Asia, Africa and America: together with their respective situatuions, extent, latitude, longitude, boundaries, climates, soil, natural and artificial curiosities, mines, metals, minerals, trees, shrubs, the various kinds of fruits, flowers, herbs and vegetable productions. With an account of the religion, laws, customs, manners, genius, tempers, habits, amusements, and singular ceremonies of the respective inhabitants: their arts, sciences, manufactures, learning, trade, commerce, govermnents, &c. Also exact descriptions of the various kinds of beasts, birds, fishes, amphibious creatures, reptiles, insects, &c. peculiar to each country; including every thing curious, as related by the most eminent travellers and navigators, from the earliest accounts to the present time. Likewise the essence of the voyages-of the most enterprising navigators of different nations and countries, from the celebrated Columbus, the first discoverer of America, to the death of our no less celebrated countryman Captain Cook, &c. &c. Together with a concise history of every empire, kingdom and state. Including an account of the most remarkable discoveries, settlements, battles, sieges, sea-fights, and various revolutions that have taken place in different parts of the world. The whole forming an authentic and entertaining account of every thing worthy of notice throughout the whole face of nature, both by land and water. With a great variety of curious articles, communicated by gentlemen who have travalled in various parts, and by captains of ships, &c. none of which ever appeared in print before. To which is added, A complete guide to geography, astronomy, the use of the globes, maps, &c. With an account of the rise, progress, and present state of navigation throughout the known world. Published by the royal licence and authority of His Britannic Majesty King George III. And containing every important, interesting, valuable and entertaining discovery throughout the whole of Captain Cook's voyages round the world. Together with those of all other modern at well as antient circumnavigators round the globe, particularly those of Byron, Mulgrave, King, Clerke, Gore, Carteret, Wallis, Bougainville, &c. (Performed by order of his Britannic Majesty) as well as all other modern navigations and travellers who have published their discoveries in the various language throughout the world. By the Reverend Thomas Bankes, Vicar of Dixton in Monmouthshire, and author of the Christian family Bible. Edward Warren Blake, Esq. and [blank] Alexander Cook, A.M. Teacher of Geography, Astronomy, and Navigation. Enriched with upwards of one hundred and fifty beautiful engravings, consisting of views, whole-sheet maps, plans, charts, antiquities, quadrupeds, birds, fishes, reptiles, vegetables, men, manners, customs, ceremonies, &c. The whole executed in a superior stile, by the first artists in the kingdom.","Bankes, Thomas",72,0,0,3,0,0,0,2,6,0,1,2,1,4,1,0,1,0,2,0,0,2,0,0,0,0,1,0,0,2,1,1,0,3,3,0,1,2,3,0,4,1,0,1,0,0,1,0,0,0,1,0,4,0,1,3,4,0,10,0,0,1790,1,1,"London : printed for C. Cooke, No. 17, Pater-Noster-Row, [1790?].",London,1069,unknown,,,FALSE,"yery magnificent edifice, are elegant apartments appdinted for the use bs the Royal Society , the Royal Acadermy of Painting and Sculpture, and the society of Antiquaries. Amorgthe list of improvements worthy ndtice may be included the Six Clerks office in chancery lane ; arid that vr, 8y substantial building"
0246400500_000038,"The country gentleman's vade mecum. Containing an account of the best methods to improve lands, plowing and sowing of corn; reaping, mowing, &c. Hedging, Ditching, and all Sorts of Husbandry. Of Horses, Cattle, Receipts to cure Diseases incident to them, and Instructions in buying and selling of Cattle, breeding of Horses, &c. Of Deer and Parks; Game, Fish and Fishing, Fish-Ponds, &c. Prices of Timber and all Sorts of Building and Workmanship, with the Art of measuring the same, &c. Rules for Management of a Family, Expences in Eating and Drinking; Duty and Places of Servants, &c. Account of Gardening in general, as Soil, Fruit-Trees, Greens, Flowers, and Forrest-Trees, Coppice-Woods, &c. and their Culture. And of Natural Philosophy, &c. in several distinct Chapters. To which is added, a general description of England, and particularly of London, with an Account of the Taxes, Revenues, Government, Great Offices, and Courts of Judicature of England, &c. And legal Observations on the several Chapters throughout the whole. By G. Jacob, Gent.",Giles Jacob,102,2,0,1,0,1,0,3,2,0,4,5,7,0,4,0,3,7,0,1,0,0,1,1,4,16,12,0,0,1,0,1,0,0,5,1,1,1,0,0,2,2,0,3,6,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1717,1,1,"London : printed for William Taylor at the Ship in Pater-Noster-Row, [1717].",London,142,male,1686,1744,FALSE,"known World. There's St. Paul's Cathedral, a Building which for Beauty and Largeness yields to none other in Europe, it contains in in Length 570 Feet, and in Breadth; u Feet, an&is 338 Foot high. The Bridge excelleth all in ejrpc it contains 80o Feet in Length, and hath xp"
0443100302_000089,"An history of England; in a series of letters, from a nobleman to his son. To which is prefixed, an introduction, containing a dialogue on the constitution between Marcus Aurelius Philosophus, and Servius Tullius. By the author of the dialogues of the dead. With the addition of Mr Anderson's progress of arts and sciences, &c. in a chronological series.",Oliver Goldsmith,86,1,0,1,0,0,0,6,4,3,1,1,0,3,1,2,3,7,1,0,0,1,0,1,0,2,8,0,0,0,0,1,0,0,8,0,1,1,0,6,2,1,1,1,5,0,2,0,0,0,0,0,0,2,0,3,1,2,3,0,0,1784,2,2,"Dublin : printed for John Exshaw, Grafton-Street, and William Colles, Dame-Street, MDCCLXXXIV. [1784].",Dublin,372,male,1728,1774,TRUE,"Dublin, which was very profitable to the canons. The Abbey at Monaftereven built by Dermot O'derp fy, king of Ofialv. 1185 John de Courcy, earl of Ulster, firitlord lieutenant of Ireland. i 186 Stephen Riddel, the first Lord Chancellor appointed in Dublin. i88. Priory of St. John in thomas ftreet"
0418400100_000534,"The new, complete, and universal history, description, and survey of the cities of London and Westminster, the Borough of Southwark and the parts adjacent. ... By a society of gentlemen, the whole revised, corrected, and improved, by William Thornton, ...",,86,2,2,2,0,0,0,7,1,0,0,0,0,0,1,3,0,1,0,1,1,4,3,1,0,3,0,1,0,3,2,0,7,0,5,3,1,0,1,0,1,11,1,0,1,2,0,1,0,0,2,1,1,0,0,0,0,0,0,10,0,1784,1,1,"London : printed for Alex. Hogg, 1784.",London,646,unknown,,,FALSE,"so decayed, that it was entirely rebuilt in the year 1438 The old church was burnt down by the fire of London , after which the present building was ereaed. It consists of a very irregular body, with a tower crowned with arches, supported by columns of the Corinthian order"
0922200400_000723,"A new and compleat history and survey of the cities of London and Westminster, the borough of Southwark, and parts adjacent; from the earliest accounts, to the beginning of the year 1770. ...",,85,2,0,0,0,0,0,1,6,3,1,0,0,0,2,4,1,1,0,1,0,1,0,3,7,3,5,1,0,0,0,0,0,0,7,1,4,1,1,2,1,5,0,0,0,0,0,0,2,0,1,0,1,3,0,1,1,1,7,3,1,1769,1,1,"[London], 1769.",London,790,unknown,,,FALSE,"206 Poultry compter, 486 Processions, 204 224 237 263 273 305 365 379 of the city watch, 182 of queen Anne Boleyn, 189 on account of a peace, 193 on the coronation of Edward VI 194 Proclamation for eleting mayor and sheriffs, 63 against adulterating wines, 71 for preventing robberies"
0568004400_000001,"The shopkeeper's and tradesman's assistant: being a new and correct alphabetical list of all the stage-coaches, carriers, coasting vessels, &c. containing An Account of the several Inns in London where the Coaches and Carriers put up and go out from; the Days of the Week, and Hours of those Days, when they set out; Also the Counties in which those Places lie, and their Distances in Miles from the Standard in Cornhill, London. With An Account of the Coasting Vessels, Barges and Boats, with the several Wharfs, Keys and Stairs where they usually lie to take in Goods and Passengers. Also the Rates paid to Carmen for the Carriage of Goods, together with their Orders and Ordinances, as settled by the Lord Mayor, &c. at a General Quarter Sessions of the Peace, holden for the City of London, at the Guildhall. The Whole being well digested, is designed as a proper Assistant for Shopkeepers, Tradesmen and others, who have Occasion to write, or send Goods into the Country.",,70,4,0,3,0,0,0,1,2,0,0,0,2,2,1,0,0,0,0,1,0,6,2,0,0,1,4,0,0,4,3,0,0,0,6,1,2,1,2,0,1,2,2,2,1,1,0,0,2,5,0,0,1,1,2,2,0,0,0,0,0,1779,1,1,"London : printed and sold by Richard & Henry Causton (successors to the late Mr. Henry Kent) at the Printing-Office, No. 21, in Finch-Lane, near the Royal Exchange; and by the Booksellers and Pamphlet Shops of London and Westminster, 1779.",London,118,unknown,,,FALSE,"TH & *  Shopkeeper's and Tradesman's ASSI STANT: BEING A New and Correa Alphabetieal L I S T OF ALL THE STAGE coaches, CARRIERS, COASTING VESSELS, SC. CONTAINING An Account of the several Inns in London where the Coaches and Carriers put up and go out from; the Days"
