PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(antiqu),termFreq(art),termFreq(board),termFreq(book),termFreq(bound),termFreq(calf),termFreq(complet),termFreq(copi),termFreq(cut),termFreq(edit),termFreq(elegantli),termFreq(elegi),termFreq(england),termFreq(essai),termFreq(fine),termFreq(gilt),termFreq(half),termFreq(head),termFreq(histori),termFreq(larg),termFreq(law),termFreq(leav),termFreq(letter),termFreq(life),termFreq(map),termFreq(memoir),termFreq(moral),termFreq(natur),termFreq(neat),termFreq(neatli),termFreq(note),termFreq(opera),termFreq(origin),termFreq(paper),termFreq(plate),termFreq(poem),termFreq(portrait),termFreq(print),termFreq(sermon),termFreq(state),termFreq(translat),termFreq(travel),termFreq(voyag),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
0876901500_000002,"A catalogue of several valuable collections of books, lately purchased; comprehending a variety of articles, in various languages, arts, and sciences. ... and a small collection of the classics. ... will begin to be sold ... on Monday, the 19th of July, 1784. by Mary Luckman, printer, bookseller, and stationer, in Coventry. ...","Luckman, Mary",126,0,3,0,4,2,9,3,2,6,11,2,0,0,4,0,3,3,5,2,6,4,0,0,1,1,3,1,0,2,9,2,2,0,1,7,4,2,0,4,2,2,1,2,1,10,1784,1,1,"[Coventry?, 1784].",Coventry,82,female,,,FALSE,"arms, new, large paper , feed, 11 7s Lynn 1777 I Another Copy , mall paper , sewed, iss 12 Beaumont's Love's Mystery, H. vary neat , 35 Camb. 1702 13 Bail's Historical and Critical Dietionary, Ift, 2d, and 3d vol. fair, boards , uncut, 1l Is - 1734 14"
1536101200_000003,"Dyde's catalogue for 1799. Being a small collection of choice new and second-hand books, comprising about three thousand volumes, in the various branches of literature, Including the productions of Shakespeare, Milton, Pope, Young, Addison, Blair, &c. &c. With many rare and curious articles; among which are, B[ask]erville's Imperial Bible A[tk]yns' Glocestershire, L.P. Russia Blair's Chronology, Russia Kippis' Biographia Brittanica, 5 vols. Boydell's Shakespeare, plates Field's Bible Dicey's Hist. of the isle of Guernsey M[awke]sworth's Telemachus, Russia Green's Hist. of Worcester, 2 vols. Darell's Hist. of Dover Castle Palmer's Hist. of printing Warrington's Hist. of Wales Erasmus' Praise of folly Dodsley's Old plays, 10 vols. Goldsmith's Animated nature, first edit. Lavater's physiognomy, by Holcrost which are now selling, for ready money at the low prices affixed to each, By W. Dyde, printer, bookseller & stationer, High-Street, Tewkesbury. Libraries and parcels of books purchesed, or books exchanged on liberal terms. Catalogues to be had of most booksellers. To prevent mistakes, ladies and gentlemen are requested to send the number, first word of the title, and price of the books they want.","Dyde, William",107,1,3,0,14,0,2,2,1,5,1,1,0,0,2,2,7,2,0,2,11,0,0,0,2,3,3,1,2,2,8,2,2,3,1,1,7,2,2,4,0,0,5,0,1,0,1799,1,1,"[Tewkesbury : Printed by William Dyde, 1799].",,68,unknown,,,FALSE,"Expolitory Notes , with pra&ical Observations on the ^. Teflanient, wib Head , new in boards , for 18s -. 78 Baxter's life.of Faith, fine portrait and curious frontifpiice by, 1 } 79 Bolton's Four Latt Things: Death, Judgement, Heaven and 61' jne Had, 2s d - d 80 Bible"
0513700700_000023,"A catalogue of books, Consisting of a great variety of curious articles lately imported from the continent. Exhibiting a very fine Collection of Greek and Roman classics, critical, Philological, and Biblical Literature, Specimens of Early Typography, Books of Prints and Portraits by the Early Artists, coloured Books of Natural History, &c. In Various Languages. The Price of every Book is printed in the Catalogue. They will continue on Sale till Christmas, 1792. For Ready Money only, By Samuel Hayes, Bookseller, No. 332, Oxford-Street, Next the Corner of Argyle-Street, London. Catalogues may be had at the Place of Sale.","Hayes, Samuel",137,0,6,0,13,0,13,1,2,0,5,2,1,0,4,5,2,1,3,0,5,3,6,0,1,5,0,1,1,1,13,6,1,0,0,5,9,5,2,1,0,0,1,4,1,8,1792,1,1,"London : [s.n.], M.DCC.XCII. [1792].",London,312,male,1779,1795,FALSE,"half bound in t, 8s 1769 Snelling's View of the GOLD, SILVER, and COPPER Coin and Coinage of England from the Norman Conquest to the Present Time, witl plates , 3 parts, in boards , 21s 5s 1762, 63, 66 1332 Somner's Antiquities of Canterbury, cuts , 6s 1640 i333"
1255001300_000015,"A catalogue of a select and valuable collection of ancient and modern books, in various languages. Containing, A considerable Number of very rare and curious Articles in the finest Condition. Also, An extensive Assortment of the best Modern Books in the most elegant Bindings. Including the Libraries of the late J. Mainwaring, M. D. an eminent Civilian, and a celebrated Collector, deceased. Among others equally curious are, Caxton's Game of Chesse. Caxton's Chaucer. Caxton's Cato. Caxton's Alain Chartier. Caxton's Catharine of Senes. Caxton's Bull of Pope Innocent for the Marriage of Henry Vii. and Elizabeth of York. several by Wynken de Worde, Pynson, Maclinia, and other early Printers. Books printed on Vellum. Books printed at Strawberry-Hill. Sir William Dugdain's Works. Most of the scarce English Topographical Histories. Early English Poetry. Chronicles, by Froissart, Higden, Hollinshed, Hall, Grafton, Fabian, &c. Romans de Chevalerie de la Table ronde Illuminated Missals and Mss. Mss. on English History and Antiquities. Buffon's Birds, coloured, 5 vol. Morocco. Hill's Vegetable System, coloured, 26 vol. Merian's Surinam Insects, coloured. Knorr's Shells, coloured. Martyn's Shells, painted. Lister's Shells, orig. edit. large paper. Hamilton's Sicilies, coloured, 3 vol. - Etruscan Vases, coloured, 4 vol. Antiquities of Herculaneum, 7 vol. Voyages Pittoresques de la Grece, de Naples, de France, de Sicile, de Suisse, &c. 18 vol. Houbraken's Heads, large paper. Perrault Hommes Illustres, lar. pap. Vandyke's Heads. Claude's Drawings, Proofe. Pilastres of the Vatican, coloured. Cielings of the Vatican, coloured. Oeuvres de Buffon, 33 vol. complets. - de Voltaire, 30 vol. - de Rousseau, 30 vol. Tasso, 3 vol: 4 to. par Didot. Which will begin to be sold, for Ready Money, at the Prices fixed in the Catalogue, and marked in the first Leaf of each Book, in May 1787, at Edwards's, No. 102, Pall-Mall. - The full Value given for any Library or Parcel of Books. Catalogues to be had of Mr. Johnson, No. 72, St. Paul's Church-Yard, and at the Place of Sale; also at Edwards's, Halifax.","Edwards, James",136,1,5,0,3,0,17,0,2,1,11,2,15,0,8,0,2,4,1,2,10,1,1,2,3,1,2,1,0,1,6,3,0,0,1,3,5,0,4,5,0,2,1,1,9,0,1787,1,1,"[London : s.n., 1787].",London,142,male,1757,1816,FALSE,"Swinden's History and Antiquities of Yarmouth, git, 14 - 177z 734 Rattall's History of the Antiquities and Church of Southwell, largepaper, cuts , boards , zl 2s 735 Deering's Ancient and Present State of Nottingham, vwith plates , in Rujia leather, 16s 1751 736 Lambard's Alphabetical Description of the Chief"
0766200600_000023,"A catalogue of a very large and capital collection of books, In all Languages and Sciences, Many valuable books of Prints, Drawings, Missals, and Paintings in Water Colours; With all the most esteemed Writers in Natural History, finely illuminated, collected lately from different Parts of Europe. In this Collection are also included the Libraries of The Rev. Dr Walwyn, Prebendary of Canterbury; The Rev. Mr Itchener, of Great Baddow, Essex; The Rev. Mr Arnald, Author of the Paraphrase on the Apocrypha; And the elegant Part of the Library of W. Mackworth Praed, Esq; all lately deceased. Together with many other Parcels lately purchased. The whole forming a Collection of Twenty Thousand Volumes of the best and searcest Books in the English, French, Italian, Greek, and Latin Languages, in fine Condition, and a great many upon Royal Paper, in various elegant Bindings. Which will begin to be sold very reasonable for ready Money, the Prices printed in the Catalogue, on this Day, 1772, and continue on Sale till all are sold, By James Robson, Bookseller to the Princess Dowager of Wales, in New Bond Street, Who gives the utmost Value for any Library or Parcel of Books, Books of Prints, &c. &c. Catalogues to be had, Price Sixpence, of the following Booksellers: Mr Dodsley, Pall Mall; Mr Blamire, Corner of Craven Street, Strand; Mr Owen, Fleet Street; Mr Cater, Holborn; Messrs Dilly's Cheapside; and the Booksellers at Oxford and Cambridge, and the great Towns in England.",James Robson,147,1,2,0,0,1,10,2,3,8,5,12,4,0,3,1,8,21,2,4,2,3,1,0,1,7,1,1,0,0,12,2,2,0,0,8,4,1,0,3,0,0,2,1,1,8,1772,1,1,"[London : s.n., 1772].",London,222,male,1733,1806,FALSE,"the principles of political oeconorny, 2 vol elegalntly bound autdgilt, 21 os 1767 1133 Leland's history of the life of Philip king of Macedon, 2 vol in one, new andgilt, is s I - 176 1 r34 Ames's Typographical antiquities , with cuts , neat copy I 749 1 135"
1206600600_000010,"A catalogue (for 1786,) of several libraries and parcels of books, lately purchased; ... Which will be sold ... by William Collins, ... Catalogues ... to be had of Mr. Hayes, ... Mr. Lea, ... Mr. Chapman, ... Mr. Whieldon, ... Mr. Walker, ... Mess. Merrill's, at Cambridge; and at the place of sale. ...","Collins, William           1801",135,4,2,1,13,2,8,0,1,8,6,10,1,0,3,3,4,3,7,0,6,3,1,0,1,1,0,0,0,0,8,1,2,0,2,2,6,1,6,4,1,1,1,0,5,7,1786,1,1,"[London, 1786].",London,144,unknown,,,FALSE,"the Reformation, from Wicliff 1360, to its e/lablif/ment in 600o, under Queen Elizabeth, embeli/ijhed with z elegant Portraits , done in lme'zotih.o, by Mr. Houlfon, boards , is 1759 *473 Stephenson's Mechanical Prafice of Physic, cuts , 5s 1745 474 Spenser's Works . bei edit . I s 1679 475"
1198600600_000018,"A catalogue of books for the year 1800, in various languages and classes of literature, on sale for ready money, by J. Cuthell, Middle-Row, Holborn; Where Catalogues may be had, Price One Shilling and Sixpence each. Libraries Purchased.","Cuthell, John",156,1,1,1,18,0,10,0,2,16,0,2,4,0,2,0,2,3,5,0,5,4,0,0,2,3,6,2,1,0,31,1,1,0,1,5,10,2,1,1,0,6,3,2,1,1,1800,1,1,"London : printed by G. Auld, Greville-Street, London, [1800].",London,421,unknown,,,FALSE,"Coxe's (Tench) View of the United States of America, boards , 6s 6d 795 991 Clarendon's History of the Rebellion in England , 6 vol. neat , t 8s 707 992 Clarendon's History of the Rebellion in Ireland, very neat , 4s 6d - 756 993 Clarendon's Life , written"
1161300600_000012,"A catalogue of a capital collection of above thirty thousand volumes of the most rare and valuable books, in all languages, and in every branch of useful and ornamental Literature; Consisting of The Libraries of several Gentlemen lately deceased; To which are added all the best modern publications. The whole in fine Condition, and many in elegant Bindings. They will begin to be sold very cheap, for Ready Money only, the lowest Price of each Article marked in the Catalogue, on Monday, April 24, 1780, And continue on Sale every Day, By Thomas Evans, Bookseller, At No. 50, near York-Buildings, Strand. Catalogues may be had, Price Six-Pence to be allowed to Purchasers, of Mr. Robson, New Bond-Street; Mr. Flexney, Holborn; Mr. Owen, Fleet-Street, and at the Place of Sale.","Evans, Thomas",120,1,2,0,7,0,4,0,1,2,4,3,4,0,5,1,5,10,0,2,5,1,1,0,6,4,2,1,0,1,20,2,2,0,1,3,5,5,1,1,0,2,3,0,1,2,1780,1,1,"[London : s.n., 1780].",London,272,male,1742,1784,FALSE,"with cuts , in boards , 1 s 1777 802 Young's Night Thoughts, neat , gs 803 Bigland on Marriage Registers, sewed, 3s 2o4 Capell's Notes and various readings to Shakespeare, with a general Glossary, in boards , 6s 805 Canning's translation of Anti Lucretius, ar: his Poems , newv"
1654900300_000014,"A catalogue of books, prints, and books of prints, Mss. and Missals, lately bought out of several curious libraries, in various languages, arts, and sciences, for the year 1790, a large collection of portraits, prints of topography, &c. The price of every article is printed in the catalogue, and will continue on sale from August to the end of the year 1790, for ready money only, By John Simco, bookseller and printseller, at No. 11, Great Queen-Street, Lincoln's-Inn-Fields, who gives the full value for libraries and parcels of books. Also books exchange. Catalogues to be had of the following booksellers; Samuel Hayes, No. 332, Oxford Street, Messrs. Egertons, Whitehall, Mr. Sewell, Cornhill, Prince & Cook, of Oxford, Merrills, Cambridge, and all other booksellers in Great Britain.","Simco, John",90,3,1,1,5,1,7,4,0,1,7,0,2,0,0,1,0,4,3,0,3,0,0,0,3,2,2,3,1,0,4,3,0,0,0,0,4,1,10,1,3,3,1,2,2,2,1790,1,1,"[London : s.n., 1790].",London,46,male,1749,1824,FALSE,"leather, 31 1764 647 Parkinson's Journal of a Voyage to the South Seas, with the Appendix, cuts , new, in boards , il los 1784 648 Whitelocke's Journal of his Ambaffy to Sweden, in the Years 1653 and 54, 2 vol. new and neatly half bound , Ruta backs and"
1168100500_000018,"H. Turpin's new catalogue for 1783, of a large and fine collections of books, ... including the library of the late Mr. John Probert, ... to be sold this day 1783, ... by Homan Turpin, ...","Turpin, Homan           1791",99,1,1,4,4,4,2,0,1,12,5,4,2,0,3,3,0,2,2,1,3,3,1,1,2,0,2,1,0,1,5,2,1,0,1,0,9,4,2,3,0,2,1,0,1,3,1783,1,1,"[London, 1783].",London,378,unknown,,,FALSE,"Containing five lrge Prints of Feet, ca -"" - o103 Drawing Book Containing Eight large Ptints of Hands & Arms, xs 6d -- o1; 4 Drawing Book Containing 7 large Prints of Heads , with and without line, zs 6d io05 Drawing Book Containing 14 large Prints of Academies, Hercules,"
1205300100_000008,"Second volume of Lackington's catalogue for 1792. Consisting of about ninety thousand volumes, ... The whole selling ... By J. Lackington, ...",James Lackington,158,3,4,0,7,0,9,8,5,11,6,4,2,0,3,0,2,3,2,1,16,3,1,1,5,4,5,0,0,0,21,1,0,0,0,3,7,0,5,0,0,1,0,6,5,4,1792,1,1,"[London, 1792].",London,404,male,1746,1815,FALSE,"15s) new, and neatly bound in calf , lettered , for r8s - - i779 2: 8o Ditto, new in calf , elegantly gilt , &, 9 g 779 282 Another copy , in sheets, i s 6d - - 779 283 Another copy (secondhand) very neat , is 6d."
0513500700_000115,"A catalogue of books; including the libraries of the Right Honourable Charles Wolfran Cornwall, ... and Samuel Martin, ... Which are on sale this day, 1790, ... by Thomas Payne and Son, ...",Thomas Payne and Son,107,4,1,1,9,3,14,1,1,0,1,2,4,0,2,2,2,1,0,0,3,2,0,3,2,2,2,3,0,1,15,4,1,0,0,2,5,3,1,1,0,1,2,2,4,0,1790,1,1,"[London, 1790].",London,293,unknown,,,FALSE,"same, 2 vol. elegantlyvt ow, l11 os - - 1777 9co5 Major Dalhymple's Travels through Spain and Portugal, boards , 55 - - 1777 9co6 Sparman's Voyage to the Cape of Good Hope, 2 vol. /lalte, neat , il los 1786 9007 Coxe's Account of the Russian Discoveries between Asia"
1161500700_000024,"J. Todd's catalogue for 1795. A catalogue of valuable books, ancient and modern, in various languages, and in every class of Literature. Including the entire Library of The Rev. and Learned Anth. Temple, M. A. Late Master of the Grammar-School at Richmond, and Vicar of Easby. And several other Libraries and Parcels of Books lately purchased. Amongst which are the following scarce and curious Articles: Bill's Vegetable System, 26 vol. Catesby's Natural History of Carolina, 2 vol. Dugdale's Antiquities of York Thoresby's History of Leeds Parkinson's theater of Plants - - Russia gorrarde's Herbal, by Johnson. - - Russia Rapin's History of England, 5 vol. Gardnor's Views on the Rhine Raphael's Ceilings in the Vatican Stubbs's Anatomy of a Horse Philosophical Transactions, 56 vol. Capt. Cook's last voyage, fine impressions, 4 vol. Monthly Review and index, 86 vol. Johnson's Works of English Poets, 75 vol. Gilpin on Ornamental Landscape, &c. 9 vol. Codex T. Bezae, Cantabrigiensis, 2 vol. Sebae Thesaurus Retum Nat. 4 vol. Biblia Sacra Polyglotta, 8 vol. Diodoras Siculus, Gr. Lat. Wesselingli, 2 vol 2 Constantini Lexicon, Gr. Lat. edit. opt. Encyclopedic, public par Diderot, 25 tom. Scapulae Lexicon, Gr. Lat. edit. opt. Ciceronis Opera-Omnia, 10 vol. Reaumur, Histoire des Insectes, 6 tom. Salustio en Espanol . . . . Madrid 2772 Histoire dea Ordres Monastiques, 8 tom. Virgilii Opera, Burmanni, 4 vol. Principales Avantures de Don Quichotte Decameron de Jean Boccace, 5 tom. Buffon Oeuvres Completes, 58 tom. Anacreontis Carmina, Graece. Parma 1791 The Books will begin to be sold, at the Prices printed in the Catalogue, on Monday the 12th of October, and continue till Christmas next, By J. Todd, Bookseller, Stationer, and Printseller, In Stonegate, York. - The full value for Libraries, Parcels of Books, and Prints. Catalogues, Price 1s. may be had of Mr. Faulder, Bookseller, New Bond-Street, Mr. Baldwin, Bookseller, Pater-Noster-Row, London, and at the Place of Sale.","Todd, John",148,2,2,3,13,0,11,0,0,0,16,2,0,0,5,2,1,4,8,0,14,1,0,1,3,0,8,1,1,3,23,3,1,0,1,1,4,2,2,1,1,2,3,0,2,1,1795,1,1,"[York : s.n., 1795].",York,168,male,,,FALSE,"1335 Pugh's Treatise on the Science of Muscular aaion, awitr plaies, boards , zl - 179+ 1336 Plowden's Church and State , or an Inquiry into the Origin of Ecclesiastical Authority, boards , il s -795 Principles of Harrison's Time keeper, with platet 1767 31537 [ Mafkelyne's Account of the"
