PassageID,Title,Author,Total termFreq,termFreq(1791),termFreq(1793),termFreq(anarchi),termFreq(assembl),termFreq(bailli),termFreq(barrer),termFreq(blood),termFreq(cap),termFreq(committe),termFreq(constitut),termFreq(convent),termFreq(cordeli),termFreq(danton),termFreq(death),termFreq(decre),termFreq(deputi),termFreq(evil),termFreq(execut),termFreq(franc),termFreq(french),termFreq(gener),termFreq(girondift),termFreq(govern),termFreq(guillotin),termFreq(head),termFreq(hebert),termFreq(jacobin),termFreq(king),termFreq(leader),termFreq(liberti),termFreq(loui),termFreq(member),termFreq(mountain),termFreq(orlean),termFreq(pari),termFreq(parti),termFreq(peopl),termFreq(popular),termFreq(power),termFreq(priest),termFreq(principl),termFreq(prison),termFreq(public),termFreq(reason),termFreq(red),termFreq(republ),termFreq(revolut),termFreq(revolutionari),termFreq(robespierr),termFreq(san),termFreq(scaffold),termFreq(terror),termFreq(trial),termFreq(tribun),termFreq(victim),termFreq(xvi),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1288701400_000023,"The history of Robespierre, political and personal. Containing, his principles, actions, and designs, in the Jacobin Club, Commune of Paris, Constituent Assembly, and the Convention The whole comprehends interesting particulars respecting His commencing Politician, establishing his Tvranny, and falling the Victim of National Vengeance. Interspersed with interesting traits and curious anecdotes of rmarkable characters. To which is added, a brief sketch of his person, life and manners.",,65,0,0,0,1,0,1,2,0,4,1,3,0,2,0,3,1,0,3,2,2,0,0,4,3,0,0,0,2,0,3,1,1,0,0,3,1,1,1,1,0,1,1,5,0,0,2,1,1,5,0,0,0,0,2,0,1,1794,1,1,"London : printed by C. Whittingham, for B. Crosby, No. 4, Stationers Court, Ludgate Street; and T. Boosey, Old Broad Street, 1794.",London,140,unknown,,,FALSE,"[ o19 ] fill our galleries, have proved; by their murmurs, they ifare not in your fentirncnts: for they. are Frenchmen, Republicans, that are just and. humane; and, in spite of those who would annihilate all public and private virtue, never Ilhall we be brought'to delight in human blood ;"
0628301102_000003,"Secret history of the French Revolution, from the Convocation of the Notables in 1787 to the first of November 1796. ... Translated from the French of Francis Pagès. In two volumes. ...","Pagès, François Xavier",80,0,1,0,5,0,0,0,0,0,3,5,2,3,1,6,0,1,0,2,0,3,2,2,0,0,0,2,1,0,0,0,0,1,9,0,4,4,1,1,0,1,0,2,0,0,8,1,0,7,1,0,0,0,1,0,0,1797,2,2,"London : printed for T. N. Longman, and J. Mathews, 1797.",London,478,male,1745,1802,FALSE,"instruments of a civil war. Lastly, if we turn our eyes towards the execrable war war of La Vendee, we hall discover events absolutely new in history. The national convention opened its first feflon on the 2ift of September 1792 This session will be immortalised in our annals. It was"
1009500102_000063,"The history of Jacobinism, its crimes, cruelties and perfidies, from the commencement of the French Revolution, to the death of Robespierre: Comprising An Inquiry into the Manner of Disseminating, under the Appearance of Philosophy and Virtue, Principles which are equally subversive of Order, Virtue, Religion, Liberty and Happiness. ... . By William Playfair, Author of the Commercial and Political Atlas, &c.",William Playfair,59,0,0,0,1,0,1,0,0,0,0,3,0,1,2,0,0,0,0,6,0,0,0,3,1,1,1,11,0,2,0,1,0,0,0,2,1,2,0,0,0,1,1,2,0,0,0,1,3,6,0,0,0,2,2,1,1,1798,2,2,"London : printed for J. Wright, No. 169, Piccadilly, 1798.",London,374,male,1759,1823,FALSE,"nor is it with any propriety or truth, that those who have since ruled, cry out about their moderation, and the cruelty of the Jacobins , they have been, and fill are Jacobins , to all intents and purposes, just as much: as Hebert , Danton , and Robespierre himself."
1584200124_000089,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,64,0,1,0,1,0,1,2,0,2,0,7,0,2,1,1,1,0,2,1,0,1,0,1,2,0,0,2,3,0,0,0,0,0,1,1,6,0,1,4,0,1,1,3,0,0,0,0,1,11,0,0,0,1,2,0,0,1783,24,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,527,unknown,,,FALSE,"equally laudable; for from' haaing been a tool to (he Orleans faction, he became one.of, their bitterest enemies; and forgetting, his obligations to his. patron, the Bishop of Arras, he was one of the first to propose the .expulsion of the clergy. When the Constituent Assembly was difflved, Robepierre. was."
1237903300_000008,"The history of Robespierre: containing A most Circumstantial Account, collected from authentic sources, of the rise, progress, decline and destruction of the power and popularity, (and embellished with a striking likeness) of that extraordinary man.",,65,0,0,0,1,0,0,0,0,1,0,2,0,6,0,5,1,0,2,0,1,0,1,1,1,1,0,2,0,0,1,0,3,0,0,0,2,4,3,9,0,0,0,2,0,0,4,1,3,4,0,1,0,0,3,0,0,1794,1,1,"London : printed for the booksellers, 1794.",London,32,unknown,,,FALSE,"massacred. Against this conflagralion, great meafures revolu tionary measures are necessary. I move that you pay attention to the trou bies oi l.ozere; and send thither commissioners, with full powers to itrike off the heads of those who oppose the securing of liberty . 1 move allo, that you nfii't"
1688300100_000248,"Elements of geography, and of natural and civil history. Containing, I. The order of the Spheres. II. The economy of the sublunary works of creation, inanimate and living. III. Picturesque and general sketches of the different parts of the Earth; and the varied appearances and manners of it's inhabitants. IV. The rise, revolution, and fall, of the principal empires of the world. V. Changes through different ages in the manners of mankind. VI. VII. VIII. IX. Description of the different quarters of the world: Europe, Asia, Africa, and America. Their divisions into countries, provinces, &c. Their climates, soils, animals, plants, minerals, mountains, rivers, lakes, canals, commerce, manufactures, curiosities, schools, learning, literati, religious professions, language, government, history, &c. By John Walker.","Walker, John",62,0,0,0,0,0,0,0,0,1,0,4,0,2,1,1,1,0,6,2,2,1,0,0,1,3,0,2,0,0,2,0,3,1,0,0,3,5,0,2,0,0,2,1,0,0,1,0,3,4,0,2,1,0,3,2,0,1795,1,1,"London : Printed and sold by Darton and Harvey, Gracechurch-Street; sold also by H.D. Symonds, Paternoster-Row; Vernor and Hood, Birchin-Lane; and C.D. Piguenit, Aldgate, 1795.",London,694,male,1759,1830,FALSE,"Tridi, Quartidi, Quintidi, Sextidi, Septidi, oaodi, Nonidi, ""Decadi; and the name of the day of the decade, consequently, more nearly tells the day of the month than our alma nacks can; for instance, the Quintidi, or fifth day, is always the fifth, fifteenth, or twenty-fifth day of the decade, or"
0628301102_000015,"Secret history of the French Revolution, from the Convocation of the Notables in 1787 to the first of November 1796. ... Translated from the French of Francis Pagès. In two volumes. ...","Pagès, François Xavier",63,0,2,0,3,0,0,0,0,2,0,6,3,0,2,5,1,1,0,1,0,2,1,0,0,1,3,5,1,0,4,0,1,0,0,4,1,1,1,2,0,0,0,1,1,0,1,2,1,0,0,2,0,0,2,0,0,1797,2,2,"London : printed for T. N. Longman, and J. Mathews, 1797.",London,478,male,1745,1802,FALSE,"the Orleanilts. They almost unanimously demanded a Dilator. Their Sentiments were exaggerated; but it mull be allowed that, in the first crisis of the revolution , this exaggeration, though it has since produced very great evils , was neceffaly to excite the fanaticism of liberty , the most sublime and"
0662901200_000017,"The history of Robespierre, Political and Personal. Containing, his principles, actions, and designs, in the Jacobin Club, Commune of Paris, Constituent Assembly, and the Convention. The whole comprehends interesting particulars respecting His commencing Politician, establishing his Tyranny, and falling the Victim of National Vengeance. Interspersed with interesting traits and curious anecdotes of remarkable characters. To which is added, a brief sketch of his person, life and manners.",,64,0,1,0,2,1,0,0,0,2,0,5,0,1,1,5,0,0,0,3,1,0,3,1,1,1,3,0,0,0,1,1,0,0,0,1,0,3,1,2,1,3,1,7,0,1,4,0,0,5,2,0,0,0,0,0,0,1794,1,1,"London : printed by C. Whittingham, for B. Crosby, No. 4, Stationers Court, Ludgate Street; and T. Boosey, Old Broad Street, 1794.",London,142,unknown,,,FALSE,"the department of Calvados. In this publication , was a statement of the dangerous circumstances in which the country was involved, and that no possible means could be devised so effecual for the public safety, as the establishment of a diaator. The persons in which it was proposed the tyrannical"
1622100300_000106,"The Literary review, and historical journal: containing ...",,78,0,0,0,0,0,0,0,0,6,0,6,0,5,0,1,1,0,2,0,1,2,0,3,1,0,0,1,0,0,0,0,2,0,0,1,3,4,1,7,0,1,0,3,0,0,3,1,5,10,0,1,0,1,5,1,0,1794,1,1,"London [England] : printed for the editors, by M. Allen; and sold by Allen and West, no 15, Paternoster-Row; Hookham and Carpenter, New Bond-Street; Mercier and Co. Dublin; and Mudie, Edinburgh, 1794-1795.",London,942,unknown,,,FALSE,"The former party had the majority of the Convention in their favour; the latter were supported by the Jacobin .Society and the Commune., The charge of aspiring to the di&atorfhip was again renewed againf Robespierre on the 29th o&ober 1792; and Roland, in his meme. ial refpeling the state of"
1288701400_000021,"The history of Robespierre, political and personal. Containing, his principles, actions, and designs, in the Jacobin Club, Commune of Paris, Constituent Assembly, and the Convention The whole comprehends interesting particulars respecting His commencing Politician, establishing his Tvranny, and falling the Victim of National Vengeance. Interspersed with interesting traits and curious anecdotes of rmarkable characters. To which is added, a brief sketch of his person, life and manners.",,72,0,0,0,1,0,0,0,0,3,0,4,0,9,2,2,2,0,1,1,0,6,0,3,1,0,3,0,0,0,3,1,0,0,0,3,0,4,0,1,0,2,1,2,1,0,1,1,4,6,0,0,0,0,2,1,1,1794,1,1,"London : printed by C. Whittingham, for B. Crosby, No. 4, Stationers Court, Ludgate Street; and T. Boosey, Old Broad Street, 1794.",London,140,unknown,,,FALSE,"conduc, to your own fides, the asserter of the Rights of Man. .vwe [ 99 J w e mull applaud this generous devotion. Thomas Paine was born in england that was enough to fubjeet him to the decree , in the first instance, which our own safety demanded by the"
0699201200_000024,"Address to the sovereigns of Europe etc. etc. In two parts. By Obadia Prim. Part second. The first part contains an Appeal to the Sovereigns of Europe, to Proprietors, Merchants and all Well - wishers of social order - with a sketch of the Conduct of the Legislators of France during the Revolution. The second part contains a Letter to Bnonaparte on his Military and Political Conduct - To which are annexed I° The principles of morality as decreed and acknowledged by the different legislative bodies of France. II° A summary, in order of dates, of the most remarkable crimes committeed since the beginning of the Revolution - a table of the contributions, requisitions, forced loans etc.","Winsor, F. A. (Frederick Albert)",83,0,2,0,2,0,0,0,0,3,2,12,0,2,5,8,1,0,1,4,4,3,0,0,1,1,0,1,1,0,4,3,5,1,1,3,1,0,1,1,0,0,1,5,0,0,1,1,1,0,0,1,0,0,0,0,0,1798,1,1,"London : 1798 sold by G. G. and J. Robinson, Wm. Richardson and Comp. and all booksellers in Great-Britain and on the continent, [1798].",London,71,male,1763,1830,FALSE,"to foreigners banished ·- from their Country for the cause of Liberty . - Here ought to have been added, to all foreigners, Rebels, and Traiters to their Country. 12-. The Constitution guaranties to all the french , equality, liberty , safety property, the public debt, free ex. ercife of"
