PassageID,Title,Author,Total termFreq,termFreq(afterward),termFreq(appear),termFreq(arch),termFreq(art),termFreq(author),termFreq(bilhop),termFreq(bishop),termFreq(book),termFreq(born),termFreq(build),termFreq(built),termFreq(cafe),termFreq(chancellor),termFreq(chapel),termFreq(charg),termFreq(church),termFreq(clergi),termFreq(colleg),termFreq(common),termFreq(court),termFreq(dean),termFreq(death),termFreq(degre),termFreq(divin),termFreq(earl),termFreq(fellow),termFreq(follow),termFreq(gave),termFreq(god),termFreq(grant),termFreq(hall),termFreq(head),termFreq(honour),termFreq(hous),termFreq(king),termFreq(land),termFreq(late),termFreq(law),termFreq(learn),termFreq(left),termFreq(littl),termFreq(live),termFreq(london),termFreq(master),termFreq(near),termFreq(north),termFreq(number),termFreq(order),termFreq(oxford),termFreq(person),termFreq(power),termFreq(present),termFreq(queen),termFreq(school),termFreq(sever),termFreq(societi),termFreq(statut),termFreq(univers),termFreq(valu),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0930401400_000031,"A pocket companion for Oxford: or, guide through the University. Containing an accurate description of the public edifices, the buildings in each of the colleges; the gardens, Statues, Busts, Pictures; the Hieroglyphics at Magdalen College, and all other Curiosities in the University. With an Historical Account of the Foundation of the Colleges, their History, and present State. With Lists of the Chancellors, High-Stewards, Vice-Chancellors, Proctors, Heads of Colleges, Professors, Lecturers, &c. Adorned with a Plan and other Copper-Plates. To which are added, correct descriptions of the buildings, the Tapestry, Paintings, Sculptures, Temples, Gardens, and all other curiosities at Blenheim, Ditchley, and Stow, The Seats of His Grace the Duke of Marlborough, The Right Honourable the Earl of Litchfield, The Right Honourable the Earl Temple, And several other considerable Houses and Gardens in the Neighbourhood.",,99,1,0,0,0,0,0,3,0,0,1,1,0,2,2,1,5,0,18,1,1,2,0,0,1,1,8,1,4,0,3,7,0,0,0,7,2,2,1,0,2,0,0,0,3,1,2,1,0,2,0,0,1,3,3,3,1,0,2,0,0,1764,1,1,"Oxford : printed for Daniel Prince, near the Clarendon Printing-House; John Rivington, in St. Paul's Church-Yard, and R. Baldwin, in Pater-Noster-Row, London, 1764.",Oxford,144,unknown,,,FALSE,"the Year following , i 46, the Episcopal See was removed from Ofeney to to this College , and the Church of St. Fridefwide constituted a Cathedral, by the name of Christ's Church . This Foundation has continued in the same Form ever since. It confiffs of a Dean ,"
0895800400_000030,"The new Oxford guide; or, companion through the University. Exhibiting every particular worthy the observation of the curious In Each Of The Public Buildings, Colleges, Halls, &c. To which is added, a tour to Blenheim, Ditchley, Heythrop, Nuneham, and Stow, the Seats of His Grace the Duke of Marlborough, The late Earl of Litchfield, The Right Hon. the Earl of Shrewsbury, The Right Hon. Earl Harcourt, And the Right Hon. the Marquis of Buckingham. Containing, an accurate description of their tapestry, paintings, sculptures, temples, gardens, and other curiosities. By a gentleman of Oxford.",William Hawkins,103,1,2,0,0,0,0,1,0,0,0,2,0,3,6,0,5,0,19,1,1,2,0,0,0,1,2,0,2,0,1,14,0,0,4,0,1,2,1,3,1,1,2,1,2,1,0,1,2,4,0,0,2,2,2,2,3,0,3,0,0,1797,1,1,"Oxford : printed for J. Fletcher in the Turl; W. Dawson and Co. in the High-Street; E. Newbery, the Corner of St. Paul's Church Yard; and J. Bew, in Paternoster-Row, London, [1797?].",Oxford,182,male,1722,1801,FALSE,"cipal are, Dean Fell, Lady Holford, and the late Dr. le; c'ho by his last Will collligncd a legacy of zo, cool. and upwards, for the support of several new and useful inltitn tions in the College . One of there is an Anatomy school , which has been lately"
1097401500_000015,"A pocket companion for Oxford: or, guide through the University. Containing an accurate description of the public edifices, the buildings in each of the colleges ; the Gardens, Statues, Busts, Pictures; the Hieroglyphics at Magdalen College, and all other Curiosities in the University. With an Historical Account of the Foundation of the Colleges, their History, and present State. With Lists of the Chancellors, High-Stewards, Vice-Chancellors, Proctors, Heads of Colleges, Professors, Lecturers, &c. Adorned with a Plan and other Copper-Plates. To which are added correct descriptions of the Buildings, the Tapestry, Paintings, Sculptures, Temples, Gardens, and all other Curiosities at Blenheim, Ditchley, and Stow, The Seats of His Grace the Duke of Marlborough. The Right Honourable the Earl of Litchfield, The Right Honourable the Earl Temple, And other considerable Houses in the Neighbourhood.",,83,1,1,4,0,1,0,6,1,1,3,0,0,5,1,0,1,0,9,1,1,4,1,1,1,0,4,0,2,0,1,3,0,0,2,4,1,2,3,1,0,0,0,1,0,0,0,0,0,3,0,0,0,2,1,2,2,1,5,0,0,1765,1,1,"Oxford : printed for Daniel Prince, near the Clarendon Printing-House; John Rivington, in St. Paul's Church-Yard, and R. Baldwin, in Pater-Noster-Row, London, 1765.",Oxford,147,unknown,,,FALSE,"the Reign of Charles II 1634 6 Sir Robert ywejon, Knight, LL. D. Dean of the Arches , and Lord Chancellor of Ireland, 1536 7 Sir filliam Trumbul, Knight, LL. D. Ambassador to the French and Turkish Courts , in the Reign of ames II Secretary of State to King"
0369700401_000099,"British biography; or, an accurate and impartial account of the lives and writings of eminent persons, in Great Britain and Ireland; from Wickliff, who began the Reformation by his writings, to the present time: whether Statesmen, Patriots, Generals, Admirals, Philosophers, Poets, Lawyers, or Divines. In which The several Incidents and remarkable Actions of their Lives, and the Particularities of their Deaths, that could be collected from History, Family Memoirs, and Records, are related; a Catalogue of their Writings given, with occasional Remarks; and their Characters delineated with Freedom and Impartiality. Vol. I.",Joseph Towers,87,2,0,0,3,1,0,2,0,0,3,0,0,1,1,0,3,1,10,1,2,0,0,0,3,0,2,0,6,0,2,1,0,0,1,5,1,2,4,2,0,0,1,2,1,1,1,1,5,3,1,1,1,0,1,1,2,2,4,0,0,1773,1,10,"[Sherborne] : Printed for R. Goadby; and sold by R. Baldwin, in Pater-Noster-Row; and J. Towers, near Cripplegate, London, MDCCLXXIII. [1773].",,439,male,1737,1799,FALSE,"Church . In 1437, Archbishop Chichely caused a large and fiately edifice to be erected in the north part of the suburbs of Oxford . For our Primate, it is said, had for a long time designed to erea some noble monument, for the service of religion and learning ,"
1124900700_000015,"A pocket companion for Oxford: or, guide through the University. Containing an accurate description of the public edifices, the buildings in each of the colleges; the gardens, Statues, Busts, Pictures; the Hieroglyphics at Magdalen College, and all other Curiosities in the University. With an Historical Account of the Foundation of the Colleges, their History, and present State. With Lists of the Chancellors, High-Stewards, Vice-Chancellors, Proctors, Heads of Colleges, Professors, Lecturers, &c. Adorned with a plan and other copper-plates. To which are added, correct descriptions of th buildings, the Tapestry, Paintings, Soulptures, Temples, Gardens, and all other curiosities at Blenheim, Ditchley, and Stow, The Seats of His Grace the Duke of Marlborough, The Right Honourable the Earl of Litchfield, The Right Honourable the Earl Temple, And other considerable Houses in the Neighbourhood.",,83,1,1,3,0,1,0,2,2,1,4,0,0,2,1,0,1,0,16,1,0,2,1,1,1,0,6,0,3,0,1,3,1,0,3,3,2,3,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,1,2,1,3,0,0,1769,1,1,"Oxford : printed for Daniel Prince, near the Clarcndon Printing-House; John Rivington, in St. Paul's Church-Yard, and R. Baldwin, in Pater-Noster-Row, London, 1769.",Oxford,146,unknown,,,FALSE,"Dean of the Arches and Bifiop of Peterborough, 520o. i6. Jteremy Taylor, D. D. Bishop of Down and Connor, 635 17 ohn Norris, A. M. Rce'tor of Bemerton, Wilts, i68o. F 18 Though z8. homas Sydenham, M.D.. 648 ig. Thomas Lynaker, M. D. Founder of the College of Physicians, London"
1391000800_000009,"Harraden's descriptive guide through the University of Cambridge, in two tours. The first meant for persons who stay in Cambridge but a short time, merely for a look at the principal objects en passant. The second will be found extremely advantageous to those who are desirous of taking a narrow and close survey of the University.",Richard Banks Harraden,107,1,1,0,2,0,0,2,3,0,4,3,0,2,5,0,1,0,18,2,6,0,0,0,1,0,7,0,1,0,0,6,1,3,4,7,1,0,1,1,1,1,1,0,1,1,3,0,1,0,1,0,3,3,1,0,4,1,2,0,0,1800,1,1,"[Cambridge : s.n., 1800?]",Cambridge,44,male,1778,1862,FALSE,"of Stran gers. the Public Library and Senate House , are represented in No. 2 of the Larger Views, first Part, where they are described. It is only necelfary to recite a brief catalogue of the Curofities generally exhibited to Persons who visit the Public Library. A Chinese Pagod, Chinese"
0396501400_000086,"The dignity and honour of the clergy, represented in an historical collection: shewing how useful and serviceable the clergy have been to this nation; By Their Universal Learning, Acts of Charity, and the Administration of Civil Offices: Wherein an account is given of books Published by them, in the Learned Languages and Sciences; of Churches, Colleges, Schools, &c. Founded at their Charge, and what Offices of State they have born, and how well they have Acquitted themselves in them. By John Groome, Vicar of Chidderditch, in Essex, and Chaplain to the Rt. Hon. Robert, Earl of Holderness. To which is prefix'd a letter to the author from the Reverend Dr. Hickes.","Groome, John",108,2,1,2,2,0,0,8,2,2,5,0,0,1,1,0,0,2,12,0,0,3,0,1,7,0,5,1,6,0,1,9,2,0,1,3,3,0,1,2,2,0,0,4,0,0,0,1,0,6,0,0,1,0,6,2,0,0,0,1,0,1710,1,1,"London : printed for J. Wyat at the Rose, and D. Midwinter at the Three-Crowns, in St. Paul's Church-Yard, MDCCX. [1710].",London,475,male,1678,1760,FALSE,"to him, they were to be preferred before the rest, if they were equal to them in Learn . ing. Aiudoen ljioad, Dean of Asrmagh, in Ireland bestowed One Hundred and Sixty pounds0on this College , for the Purchase of Land to main. tain One Fellow and a Scholar, who"
0713700200_000028,"A new pocket companion for Oxford: or, guide through the University. Containing an accurate description of the public edifices, the buildings in each of the Colleges; the Gardens, Statues, Pictures, Hibroglyphics, and all other Curiosities in the University. With an Historical Account of the Foundation of the several Colleges, and their present State. To which are added, descriptions of the buildings, tapestry, paintings, Sculptures, Temples, Gardens, &c. At Blenheim, Ditchley, Heythrop, Nuneham and Stow , The Seats of His Grace the Duke of Marlborough, The Right Honourable the Earls of Litchfield, Shrewsbury, Harcourt and Temple.",,124,0,0,0,0,0,0,2,0,0,2,2,0,5,3,0,4,0,18,1,1,0,0,0,0,1,5,0,2,0,1,25,0,0,1,3,2,6,0,0,1,0,2,1,3,3,4,2,2,0,0,0,6,2,3,3,3,2,3,0,0,1783,1,1,"Oxford : printed for D. Prince, and J. Cooke, near the Clarendon Printing-House; and sold by J. F. and C. Rivington, in London, MDCCLXXXIII. [1783].",Oxford,165,unknown,,,FALSE,"Ann. were given by Lady Holford, for Scholars educated at the Cbarter houe; and several more by other Bene fators. Victor. The King . PEMBROKE PE M'BROKE C ol L GE. pembroke College , so called from the Earl of pem broke, Chancellor of the University at the Time it"
1223600300_000024,"A new pocket companion for Oxford: or, guide through the University. Containing an accurate description of the public edifices, the buildings in each of the colleges; the gardens, Statues, Pictures, Hieroglyphics, and all other Curiosities in the University. With an Historical Account of the Foundation of the several Colleges, their History and present State. Adorned with a Plan of the University and City, and other Plates. To which are added, descriptions of the buildings, the Tapestry, Paintings, Sculptures, Temples, Gardens, &c. at Blenheim, Ditchley, and Stow, The Seats of His Grace the Duke of Marlborough, The Right Honourable the Earl of Litchfield, The Right Honourable the Earl Temple.",,104,3,1,1,1,0,0,8,2,0,4,0,0,2,3,0,3,0,17,3,3,0,1,0,1,0,6,1,9,0,0,1,0,0,2,3,3,1,0,0,0,1,0,1,1,2,1,2,0,2,1,0,4,1,0,4,2,1,2,0,0,1790,1,1,"Oxford : printed for Daniel Prince, near the Clarendon Printing-House; and sold by John Rivington, in St. Paul's Church-Yard, London, [1790?].",Oxford,164,unknown,,,FALSE,"to Oriel, after that House was assigned to them. He likewise gave them the Hospital of St. Bartholomew, near Oxford , with the Lands thereunto belonging. Other Benefators were yohn Frank, Master of the Rolls in the Reign of Henry VI who gave zool. to this College at his Death"
1083400300_000022,"The present state of the universities and of the five adjacent counties, of Cambridge, Huntington, Bedford, Buckingham and Oxford. By Mr. Salmon, Author of Modern History. Numb.I. for the Month of July. Being the First Number of the First Volume, which treats of the county and University of Oxford.",Thomas Salmon,93,2,1,0,0,0,0,2,0,0,5,1,0,0,3,1,6,0,14,0,1,6,0,0,2,0,4,1,1,0,4,2,0,0,1,8,3,1,2,0,0,1,0,1,1,1,3,1,0,3,0,0,0,1,4,1,2,0,1,2,0,1743,1,1,"London : printed for the sole benefit of the author, and sold by J. Roberts in Warwick-Lane, [1743].",London,164,male,1679,1767,FALSE,"as the Bishopric of Ozfiey in Oxford , lately erected by him, was furrender'd into the Hands of certain Commissioners to his Majesty's Use by John Oliver, the new Dean , and five of the Canons, who were turned out, and reduced to the extremest Poverty, till the King thought"
1125101000_000025,"The new Oxford guide: or, Companion through the University. Exhibiting every particular worthy the observation of the curious in each of the public buildings, colleges, halls, &c. To which is added, a tour to Blenheim, Ditchley, Stow, The seats of His Grace the Duke of Marlborough, The Right Hon. the Earl of Litchfield, And the Right Hon. the Earl Temple. Containing, An accurate Description of their Tapestry, Paintings, Sculptures, Temples, Gardens, and other Curiosities. By a gentleman of Oxford. The fifth edition, corrected and enlarged. Embellished with a new plan of Oxford, and other elegant engravings.",,127,1,1,0,0,0,0,3,0,0,1,2,0,3,8,0,3,0,23,1,1,0,0,1,0,1,2,0,2,0,1,17,0,1,5,0,1,9,1,3,1,1,2,1,2,1,0,0,2,3,0,0,10,4,1,2,3,0,3,0,0,1768,1,1,"Oxford : printed for J. Fletcher in the Turl; S. Parker in the High-Street; and J. Fletcher in St. Paul's Church Yard, London, [1768?].",Oxford,148,unknown,,,FALSE,"with piaures of the founders and bcnefaceors; from thence into an irregular area, on one fide of which itands the Chapel . This a modern edifice of the Ionic Order . The altar is jufily admired for its neatnel', and the whole is elegantly finifihed, and prucprrly adorned. E 3"
0115203100_000024,"The new Oxford guide: or, companion through the University. Exhibiting every particular worthy the observation of the curious in each of the public building, colleges, halls, &c. Together with the Ceremonies at installing a Chancellor. To which is added, A Tour to Blenheim, Ditchley, and Stow, The Seats of His Grace the Duke of Marlborough, The Right Hon. the Earl of Litchfield, And the Right Hon. the Earl Temple. Containing, An accurate Description of their Tapestry, Paintings, Sculptures, Temples, Gardens, and other Curiosities. By a gentleman of Oxford.",William Hawkins,109,1,2,0,0,0,0,3,0,0,1,1,0,2,7,0,3,0,20,1,1,1,0,1,0,1,2,0,1,0,1,15,0,0,3,1,0,5,1,3,1,1,2,1,2,1,0,1,2,2,0,0,7,3,1,2,3,0,3,0,0,1764,1,1,"Oxford : printed for J. Fletcher in the Turl; S. Parker in the High-Street; and J. Fletcher in St. Paul's Church Yard, London, [1764?].",Oxford,148,male,1722,1801,FALSE,"of one Dean , eight Canons, eight Chaplains, eight Singing Men, one Organist, eight Choristers, one hundred and one Students, besides many independent members. The whole number about - 50 ... Visitor. The KING , PEMBROKE COLLEGE . O this College we pass in a dire&t line from the grand"
