PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(author),termFreq(bodi),termFreq(cafe),termFreq(church),termFreq(civil),termFreq(common),termFreq(confid),termFreq(constitut),termFreq(continu),termFreq(countri),termFreq(court),termFreq(crown),termFreq(differ),termFreq(england),termFreq(equal),termFreq(follow),termFreq(form),termFreq(free),termFreq(gener),termFreq(god),termFreq(govern),termFreq(governor),termFreq(hand),termFreq(hous),termFreq(king),termFreq(know),termFreq(land),termFreq(law),termFreq(liberti),termFreq(live),termFreq(manner),termFreq(mean),termFreq(nation),termFreq(natur),termFreq(noth),termFreq(offic),termFreq(order),termFreq(parliament),termFreq(parti),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(princ),termFreq(principl),termFreq(provinc),termFreq(public),termFreq(reason),termFreq(rule),termFreq(sever),termFreq(societi),termFreq(state),termFreq(taken),termFreq(think),termFreq(true),termFreq(verb),termFreq(war),termFreq(word),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0084204000_000006,"An attempt to explain the principles of the British constitution; to trace the causes which combined to bring about the Triennial and Septennial acts; to enumerate some of the pernicious effects produced by the latter; and to shew the indispensible necessity of a repeal of that act, and an equal representation of the people in Parliament, in order to preserve the balance of the three branches of the legislature, so essential to the constitution. By James Green, Lieutenant in his Majesty's Marine Forces.","Green, James, Lieutenant, R.N.",96,0,7,1,2,1,1,0,1,3,1,0,2,1,1,0,1,1,2,1,0,0,3,0,3,1,3,0,0,5,8,0,0,2,1,0,0,1,1,3,1,6,2,13,1,2,1,0,5,0,2,0,0,3,1,1,0,0,1,0,0,1790,1,1,"Newcastle : printed for the author, 1790.",Newcastle upon Tyne,205,unknown,,,FALSE,"the nation itself, requires the utmost precau ( 23) precautions in the eftabliflhment of that neeef fary but formidable prerogative, that of dif pensing punishments. ."" There is no liberty ,"" says Montesquieu, "" if the power o judging be not separated from the legislative and executive powers . Were"
1551801200_000011,"State of the present form of Government of the Province of Quebec. With a large appendix; containing extracts from the minutes of an investigation into the past administration of justice in that province, instituted by order of Lord Dorchester, in 1787, and from other original papers.","Monk, James, Sir",110,1,0,0,1,0,2,1,6,2,0,5,0,0,2,0,2,3,1,2,7,0,21,1,1,1,0,1,0,2,7,2,2,2,2,2,0,1,0,1,0,4,1,4,0,0,4,11,1,0,0,0,1,0,1,1,0,0,1,0,0,1790,1,1,"London : [s.n.], Printed in the year 1790.",London,178,unknown,,,FALSE,"general maxim in the politics of all nations , that the same principles of government ought to extend to, and pervade ( 63) pervade all the dependencies of an empire; and though it may be necessary for the general good, to rejtrain in certain cafes , the a~tion of certain"
1017200100_000010,"Memoirs of Great Britain and Ireland. From the dissolution of the last Parliament of Charles II. until the sea-battle off La Hogue. By Sir John Dalrymple, Bart.","Sir John Dalrymple, 4th Baronet",96,2,2,1,0,5,3,9,0,4,0,1,1,5,0,4,3,2,2,0,1,0,3,1,4,6,2,1,1,1,3,1,0,0,5,1,0,0,4,1,2,3,1,4,0,1,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1771,1,1,"London : printed for W. Strahan; and T. Cadell, in the Strand: and A. Kincaid and J. Bell, and J. Balfour, Edinburgh, MDCCLXXI. [1771].",London,524,male,1726,1810,FALSE,"the nobility, the church , and the King ; the effects of the alterations which had happened in the conditions of the orders of the rfate quickly appeared : And that appearance could not fail to be attended with convulsions in the constitution ; because old principles of government could"
1755600600_000077,"Remarks on the history of England. From the minutes of Humphry Oldcastle, Esq;","Henry St John, 1st Viscount Bolingbroke",94,6,1,0,1,3,1,2,1,3,2,0,3,1,2,3,1,2,0,0,0,0,7,0,0,1,11,0,0,3,3,0,2,1,5,0,2,0,1,7,3,1,1,2,0,1,2,0,2,1,0,0,0,1,1,1,1,0,1,0,1,1754,1,1,"London : printed for R. Francklin, 1754.",London,351,male,1678,1751,TRUE,"in propagating. He found them espoused, as TRUE principles both of religion and policy, by a whole party in the nation , whom he efteem'd X 2 friends .friends to the conftitutioh in church and state . He found them opposed by a party , whom he looked on indiscriminately"
0505600104_000117,"A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies. Translated from the French of the Abbé Raynal, by J. Justamond, M.A. ...",Guillaume Thomas François Raynal,121,0,7,0,0,0,0,1,0,1,0,3,1,3,2,3,0,2,9,1,2,0,17,4,0,2,6,0,0,2,0,0,1,1,5,2,1,1,0,0,0,6,1,2,2,4,0,4,9,3,3,3,4,0,1,2,0,0,0,0,0,1779,4,4,"Dublin : printed for John Exshaw, No. 86, and William Halhead, No. 63, Dame-Street, M,DCC,LXXIX. [1779].",Dublin,654,male,1713,1796,TRUE,"and principal objec resembles the education of children. They both tend to form men, and flould be in several refpecs similar to each other, Savage people , first united in society , require as much as children to be Cometimes led on by gentle means , and sometimes restrained by"
0658600600_000009,"The office of governors described; and the Duty of Subjects recommended. In a sermon Preached at the Assizes held at Abingdon in Berks, On Tuesday March 7, 1726-7. Before the Honourable Mr. Justice Fortescue, and Mr. Justice Denton. By David Scurlock, M. A. Vicar of Pottern; and one of the Lecturers of Hackney. Published at the Desire of the High-Sheriff and Gentlemen of the Grand-Jury.",David Scurlock,92,0,0,0,2,4,8,0,0,3,1,2,0,1,0,1,1,0,3,3,5,1,3,3,1,0,2,0,1,2,4,1,0,3,3,2,0,1,2,0,1,3,2,2,2,0,1,0,4,0,0,2,0,5,1,0,3,0,0,1,2,1727,1,1,"London : printed: and sold by J. Roberts in Warwick-Lane, MDCCXXVII. [1727].",London,49,male,,,FALSE,"and Blessings derived to us. Permit me but in one Word to review the State of our Cafe . We [46] We live in the continual Enjoyment of all Civil and Religious Rights and Liberties that we can wilh to be possessed of, under a well conftituted Government in Church"
1202400300_000060,"The trial of Henry Yorke, for a conspiracy, &c. before the Hon. Mr. Justice Rooke, at the assizes, held for the county of York, on Saturday, July 10, 1795. Published by the defendant, from Mr. Ramsay's short-hand notes.",Henry Redhead Yorke,83,1,1,0,1,0,0,2,1,3,1,2,1,5,2,1,2,0,1,0,3,0,3,0,2,1,2,2,1,3,6,0,0,1,2,1,1,3,0,6,0,2,3,5,2,0,1,0,3,0,2,0,2,0,0,0,1,0,0,1,0,1795,1,1,"[York] : Sold by E. and R. Peck, York; also by Miss Gales, Sheffield; Daniel Isaac Eaton, Mr. Burks, Ridgeway, and Jordan, London, [1795].",York,196,male,1772,1813,FALSE,"simple is in us. They cannot alienate, they cannot waste. When we say that the legislature is Jupreme, we mean that it is the highest power known to the constitution ; that it is the highest in comparison with the other Subordinate powers established by the laws . In this"
1132900700_000035,"Considerations on the Order of Cincinnatus; to which are added, as well several original papers relative to that institution, as also a letter from the late M. Turgot, Comptroller of the Finances in France, to Dr. Price, on the constitutions of America; and an abstract of Dr. Price's Observations on the importance of the American Revolution; With Notes and Reflections upon that work. Translated from the French of the Count de Mirabeau.","Chamfort, Sébastien Roch Nicholas",86,0,2,8,0,0,1,3,0,3,0,0,0,0,5,1,2,0,3,1,4,0,4,2,0,3,1,2,1,3,2,0,1,0,3,2,2,0,1,0,0,1,1,3,1,0,1,4,2,2,1,0,1,5,0,1,1,0,0,1,1,1785,1,1,"London : printed for J. Johnson, ST. Paul's Church-Yard, M.DCC.LXXX.V. [1785].",London,289,male,1740,1794,FALSE,"not remorse, and decks icfelf with glory, when it most deserves disgrace. Events have proved for the English nation a dreadful comment upon your book. They have been for some months past precipitating themselves with a most accelerated rapidity. With respect to America the catastrophe is already arrived. She has"
1762600102_000079,"An historical geographical, commercial, and philosophical view of the American United States, and of the European settlements in America and the West-Indies. By W. Winterbotham. In four volumes. ...",William Winterbotham,92,0,3,2,1,1,1,2,0,7,0,2,2,0,1,0,0,2,1,1,3,3,2,9,0,2,1,0,0,1,1,0,2,1,0,1,1,8,1,0,0,4,6,4,0,1,1,1,3,0,1,0,1,2,1,0,1,0,0,4,0,1795,2,4,"London : printed for the editor; J. Ridgway; H. D. Symonds; and D. Holt, Newark, 1795.",London,498,male,1763,1829,FALSE,"president of Harvard College for the time being, together u ith the ministers of the congregational churches in the towns of Cambridge, Water. town, Charleston, Boston, Roxbury and Dorchefler, mentioned in the laid act, shall be, and hercby are, vested with all the powers and authority belonging, or in any"
0596400101_000047,"Commentaries on the laws of England. ... By William Blackstone, Esq. Vinerian Professor of Law, and solicitor general to her Majesty.",William Blackstone,99,1,0,1,0,1,2,3,0,3,0,1,0,1,1,4,0,1,1,2,1,1,2,0,1,1,4,0,1,8,13,0,1,0,1,6,0,0,1,5,0,5,5,1,3,4,0,0,1,1,0,1,2,2,1,1,1,0,0,2,1,1765,1,4,"Oxford : printed at the Clarendon Press, M.DCC.LXV. [1765]-69.",Oxford,492,male,1723,1780,FALSE,"of England , being peculiarly adapted to the preservation of this inestimable blessing even in the meanest iubjed. Very different from the modern constitutions of other states , on the continent of Europe, and from the genius of the imperial law ; which in general are calculated to vest an"
1454901000_000013,"Rational freedom: Being a defence of the national character of Britons, and of the form of their government; in opposition to the malapert and seditious writings of Thomas Paine, By P. White, Esq. author of Essay on the fisheries, &c.","White, P., of the General Excise-Office, Edinburgh",96,1,3,0,0,0,1,1,1,5,0,5,0,5,0,5,0,0,5,1,2,0,10,1,2,0,4,2,0,1,3,1,1,3,5,0,0,1,0,1,0,5,2,2,1,2,4,0,2,2,3,0,1,1,0,0,0,0,0,0,1,1792,1,1,"Edinburgh : Printed for Silvester Doig, Royal-Exchange, 1792.",Edinburgh,120,unknown,,,FALSE,"all and eaich of them dif~tinaions founded in public utility. The ultimate end of the constitution of this country , is the freedom and happinefcs of the people . No wonder it thould be so: it is a government of the peoples own ererfing; and those diflinaions of rank and"
0488800101_000040,"The history of the American revolution. By David Ramsay,... A new edition. In two volumes. ...",David Ramsay,95,1,0,0,1,0,2,2,0,5,0,4,2,1,0,0,2,2,1,0,4,0,6,6,1,0,1,0,0,3,3,0,0,0,1,1,0,2,2,5,1,8,0,8,3,1,2,5,1,2,0,2,0,3,1,0,0,0,0,0,0,1793,1,2,"London : printed for John Stockdale, 1793.",London,368,male,1749,1815,FALSE,"The people of Boston alleged, in vindication of their conduct, that the tea was a weapon aimed at their liberties , and that the same principles of felf prefervation which justify the breaking of the assassin's sword uplifted for deftrution, equally authorised the deftruaion of that tea which was the"
0333901302_000193,"The history of the Puritans, or, Protestant non-conformists, ... with an account of their principles; ... By Daniel Neal, M.A. In four volumes. ...",Daniel Neal,105,0,0,0,4,1,1,4,2,3,0,0,3,2,1,2,0,0,1,1,1,1,1,0,3,4,13,0,0,11,2,0,1,0,5,2,0,0,1,14,2,1,1,2,1,1,1,0,2,2,0,0,0,4,0,2,1,0,1,0,0,1755,2,4,"Dublin : printed for Brice Edmond, 1755.",Dublin,532,male,1678,1743,FALSE,"to have this not : only questioned but contradicted, and a command that it should not be obeyed, is a high breach of the privilege of "" Parliament ."" Hi Majieiy on tlhe other hand averred, "" That the T;, - "" kngdom was in no danger, but from the"
1041900200_000002,The letters of Junius. Complete in one volume.,Junius,88,1,1,0,1,0,2,3,1,7,1,1,1,2,1,2,2,0,1,0,4,0,2,0,2,3,4,0,1,5,3,1,0,2,2,1,1,0,0,7,1,2,1,9,3,0,1,0,2,0,2,0,0,0,0,0,1,0,0,1,0,1782,1,1,"London : [s.n.], printed in the year, 1782.",London,391,male,,,FALSE,"I am the sole depositary of my own secret, and it shall perish with me. If an honest, and, I may truly affirm, a laborious zeal for the public service, has given me any weight in Your esteem, let me exhort and conjure You never to susser an invasion of"
1191000700_000068,"An essay towards a general history of feudal property in Great Britain, Under the following Heads, I. History of the Introduction of the Feudal System into Great-Britain. II. History of Tenures. III. History of the Alienation of Land Property. IV. History of Entails. V. History of the Laws of Succession or Descent. VI. History of the Forms of Conveyance. Vii. History of Jurisdictions, and the Forms of Procedure in Courts. Viii. History of the Constitution of Parliament. By John Dalrymple, Esq,","Sir John Dalrymple, 4th Baronet",108,4,1,0,0,3,5,3,0,0,1,5,3,3,0,2,1,0,1,0,4,0,1,0,1,0,8,0,2,5,0,1,3,0,5,2,1,4,0,5,0,6,6,7,1,4,0,0,2,1,1,0,2,0,0,2,0,0,1,0,1,1759,1,1,"Dublin : printed for Sarah Cotter, in Skinner-Row, MDCCLIX. [1759].",Dublin,355,male,1726,1810,FALSE,"deliberation, and as the chief person of the society he asserts and is allowed the right of presiding in it; but his power is merely that of presiding, attended with the influence which, perhaps, his presiding may give him, and nothing more. If even as general in war his soldiers"
1261900600_000002,The letters of Junius: complete in one volume. With a copious index. [One line epigram in Latin].,"Campbell, Robert",86,1,1,0,1,0,2,3,1,7,2,1,1,2,1,2,2,0,1,0,4,0,1,0,2,3,4,0,1,5,3,1,0,2,2,1,1,1,0,7,1,2,1,8,3,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1795,1,1,"Philadelphia : Printed for Robert Campbell, M.DCC.XCV. [1795].",Philadelphia,348,male,,,FALSE,"You never to suser an invasion of YOUR political constitution , however minute the inllance may appear , to pass by without a determined, persevering refiflt ance. One precedent creates another. they ioon accumulate and constitute law . What yesterday was, today is doctrine. Examples are supposed to justify the"
0184800100_000023,"Sermons on public occasions, and tracts on religious subjects, by R. Watson, D. D. F. R. S. Lord Bishop of Landaff, and Regius Professor of Divinity in the University of Cambridge.","Watson, Richard",84,1,0,0,0,0,3,1,0,6,0,3,0,4,1,3,0,1,1,3,0,1,6,0,1,1,6,1,0,2,3,0,0,1,1,3,1,0,1,2,2,4,3,4,2,3,2,0,0,1,0,1,2,1,0,1,1,0,0,0,0,1788,1,1,"Cambridge : printed by J. Archdeacon Printer to the University; for J. & J. Merrill, in Cambridge; P. Elmsly, and T. Cadell, in the Strand, J. Debrett, in Piccadilly, J. Robson, in Bond-Street, T. Evans, in Paternoster-Row, and J. Deighton, in Holborn, London, MDCCI.XXXVIII. [1788].",Cambridge,467,male,1737,1816,TRUE,"the subjec. Since then this diversity or Judgement is a circumstance, in the nature of things, unavoidable, it seems to be repugnant alike to Christianity and common sense, to load every man with obloquy and and inveetive who is for commencing refit ance to Government , a little sooner, or"
0334500102_000107,"History of Great Britain, from the revolution to the session of parliament ending A.D. 1793. By W. Belsham. In four volumes. ...",William Belsham,66,1,2,1,0,0,2,0,2,2,1,1,1,2,1,3,1,0,1,1,1,2,4,3,1,1,0,0,3,1,2,1,0,2,0,1,1,1,1,1,0,4,0,1,1,0,0,2,2,1,0,0,0,2,0,0,0,0,1,0,4,1798,2,4,"London : printed for G. G. and J. Robinson, Paternoster-Row, MDCCXCVIII. [1798].",London,481,male,1752,1827,FALSE,"of the Crown , had hitherto depended on the General Afitmbly for the continuance of their salaries; but they had now salaries fettled upon them by his Majesty, so that the balance of the constitution was in this respect entirely subverted; both the weights of justice, as was observed, being"
1272400402_000146,"The Remembrancer, or Impartial repository of public events. ... For the year ...",,77,0,2,2,1,0,1,1,0,4,1,2,1,0,1,1,0,1,1,1,4,2,3,5,0,0,1,0,1,2,1,0,1,2,0,1,1,4,1,0,0,4,4,3,0,1,1,1,3,0,1,1,1,3,0,0,2,0,0,3,0,1780,1,1,"London [England] : printed for J. Almon, opposite Burlington-House, in Piccadilly, M DCC LXXV. [1775]-1784.",,415,unknown,,,FALSE,"the Overseers of Harvard College; PROVIDED, that nothing herein shall be conltru. ed to prevent the Legislature of this Commlrnwneanh from making such alterations in the government of the said nniverfitv, as shall be conducive to its advantage, and the in tereit of the republic of letters, in a; full"
0936400500_000007,"The judgment of whole kingdoms and nations, concerning the rights, power, and prerogative of kings, and the rights, priviledges, and properties of the people: Shewing, The Nature of Government in General, both from God and Man. An Account of the British Government, and the Rights and Priviledges of the People in the time of the Saxons, and since the Conquest. The Government which God ordain'd over the Children of Israel; and that all Magistrates Magistrates and Governours proceed from the People, by many Examples of Scripture; and the Duty of Magistrates from Scripture and Reason. Nine Emperors, and above fifty Kings Deprived for their Evil Government. The Rights of the People and Parliament of Britain to Resist and Deprive their Kings for Evil Government, by King Henry's Charter, and by Act of Parliament, and by many Examples. The Prophets and Ancient Jews, Strangers to absolute Passive-Obedience; resisting of Arbitrary Government, is allow'd by several Examples in Scripture, and by undeniable Reason. A large Account of the Revolution; with the Names of Ten Bishops, and above Sixty Peers, concern'd in the Revolution before King James went out of England. Several Declarations, in Queen Elizabeth's time, of the Clergy in Convocation, and the Parliament who assisted, and justified the Scotch, French, and Dutch, in resisting of their Evil Princes. Recommended as proper to be kept in all Families, that their Childrens Children may know the Birth-Right, Liberty, and Property belonging to an Englishman. Written by a true lover of the Queen and country, who Wrote in the Year 1690. against absolute Passive. Obedience, and in Vindication of the Revolution; in a Challenge to Sir R. L'estrange, Dr. Sherlock, and eleven other Divines; to which no Answer ever was made; who now Challenges Dr. Hicks, Dr. Atterbury, Mr. Milbourne, Mr. Higgins, Mr. Lesley, Mr. Collier, and the great Champion, Dr. Sacheverell, to Answer this Book.",True Lover of the Queen and Country,106,0,2,1,0,0,0,5,0,1,0,0,3,1,1,1,1,0,3,0,1,5,10,2,0,2,6,0,1,14,1,0,1,0,2,6,2,1,0,1,0,5,3,5,0,3,1,1,5,2,1,1,3,0,1,1,0,0,0,0,0,1710,1,1,"London : printed for, and sold by T. Harrison, at the West Corner of the Royal-Exchange, in Cornhill, [1710].",London,77,unknown,,,FALSE,"of our Common aud Statute Laws ; witness King Alfred, who caused forty four Jutices to be Hanged in one Year for illegal false, and corrurt Judgments: So it belongeth to our Parliaments , as being one of the great Ends as well as Reasons , for which they ought"
0409602300_000105,"A new companion for the festivals and fasts of the Church of England; with devotions proper to each solemnity. By a layman. Revised and corrected by Leonard Howard, D. D. Chaplain to Her Royal Highness the Princess Dowager of Wales, and Author of the Royal Bible.",Layman,106,1,0,0,1,1,2,2,2,1,0,2,0,0,0,1,0,2,1,2,2,2,5,3,1,0,3,1,0,9,20,2,0,0,1,3,1,0,1,1,0,2,0,11,1,1,0,0,0,1,5,0,5,1,2,0,3,0,0,0,1,1774,1,1,"Dublin : printed by John Exshaw, in Dame-Street, M.DCC.LXXIV. [1774].",Dublin,439,male,,,FALSE,"extensive sense, is a power of asing as we please; but as it is in itf'lf a blefing, it cannot confiff in anything which would in reality prove a curse. Whlofoever therefore shall set up his own will, pleafiure and inclination for the rule of his aaions, abuses liberty into"
0113201700_000039,"Thoughts on the letter of Edmund Burke, Esq; to the sheriffs of Bristol, on the affairs of America. By the Earl of Abingdon.","Willoughby Bertie, 4th Earl of Abingdon",111,0,2,0,1,1,0,1,0,11,0,5,2,1,2,4,1,0,0,1,4,0,9,0,0,0,1,2,1,12,1,0,0,3,0,1,1,0,0,7,0,9,1,4,0,1,3,0,1,3,5,0,2,4,1,0,2,0,0,1,0,1780,1,1,"Oxford : printed for W. Jackson: sold by J. Almon, in Piccadilly; J. Bew, in Paternoster-Row; J. Ridley, in St. James's Street; R. Faulder, New Bond Street; and H. Payne, in Pall-Mall. London; by the booksellers of Bristol, and Bath; and by all other Booksellers in Town and Country, [1780].",Oxford,151,male,1740,1799,FALSE,"and State craft, whose objects are dominion over "" the Beasts of the People *."" Such is Doctor Cooper's bumnan appellation of those persons in America, who plundered, as he says, the Members of the Church of England , Him, I fuppole, among the rest, and others, of their property;"
