PassageID,Title,Author,Total termFreq,termFreq(aaron),termFreq(accept),termFreq(accord),termFreq(altar),termFreq(anoint),termFreq(aton),termFreq(blood),termFreq(bread),termFreq(bring),termFreq(brought),termFreq(bullock),termFreq(burn),termFreq(burnt),termFreq(children),termFreq(clean),termFreq(command),termFreq(congreg),termFreq(continu),termFreq(door),termFreq(drink),termFreq(eat),termFreq(fat),termFreq(father),termFreq(favour),termFreq(fine),termFreq(flour),termFreq(foul),termFreq(goat),termFreq(god),termFreq(hall),termFreq(halt),termFreq(hand),termFreq(head),termFreq(holi),termFreq(israel),termFreq(kid),termFreq(kill),termFreq(lamb),termFreq(law),termFreq(levit),termFreq(meat),termFreq(month),termFreq(mose),termFreq(offer),termFreq(oil),termFreq(peac),termFreq(peopl),termFreq(priest),termFreq(princ),termFreq(ram),termFreq(sacrific),termFreq(servic),termFreq(spake),termFreq(tabernacl),termFreq(tenth),termFreq(unclean),termFreq(vow),termFreq(water),termFreq(work),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0059900200_000124,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the former Translations Diligently Compared and Revised. By His Majesty's Special Command. Appointed to be read in Churches.",,151,5,0,1,2,2,2,0,0,2,0,6,0,3,12,1,1,4,0,0,0,0,0,0,0,3,3,0,5,0,2,5,2,1,0,12,2,0,5,0,14,3,0,4,20,3,2,0,0,1,5,2,3,3,3,1,0,0,1,2,3,1746,1,1,"Oxford : printed by Thomas Baskett, Printer to the University, MDCCXLVI. [1746].",Oxford,1111,unknown,,,FALSE,"wias an hundred and thirty oxen, five rams , five he goats , five lambs of the ekes, a silver bowl of seventy lhekels at first year. This was the offeringofahira the son ter the Ihekel of the fantuary, both of them of Enan., lull of fine flour mingled with"
0065400400_000112,"The holy Bible, containing the Old Testament and the New: Translated Out Of The Original Tongues: And With The Former Translations Diligently Compared And Revised, BY His Majesty's Special Command. Appointed To BE Read In Churches.",,142,2,0,4,4,3,1,0,1,1,2,2,0,4,2,0,0,3,0,2,1,0,0,1,0,3,2,0,4,1,3,0,2,4,2,3,2,0,7,3,2,2,0,3,28,3,4,0,3,7,5,2,5,1,3,0,0,2,0,0,3,1800,1,1,"Oxford : printed at the Clarendon Press, by Dawson, Bensley, and Cooke, Printers To The University; and sold by W. Dawson, Oxford Bible Warehouse, Paternoster-Row, London. MDCCC. (cum Privilegio.), [1800].",Oxford,1197,unknown,,,FALSE,"this is for his f.ther, or for his mother, for his holy for the priest , with the wave breast brother, or for his lister, when they die : and heave floulder: and after that the hecaille the consecration of his God is Nazarite may drink wine. uplon his head"
1001700102_000048,Mahzor ke-minhag kehilot Kedoshot sefardim le-yamim nora'im ...,,146,2,0,0,5,1,10,4,0,1,1,4,2,4,3,1,1,7,1,0,1,0,1,1,0,0,1,1,9,1,19,0,2,2,8,5,1,0,3,1,0,2,2,1,10,1,0,4,3,0,2,0,0,0,5,5,2,0,3,2,1,1771,2,6,"[London : printed by W. and J. Richardson. A. M., 5531-33, i.e. 1771-73].",London,556,unknown,,,FALSE,"and so shall he do for the tabernacle of the congregation that remaineth among them, in the midst of their uncleanness . And' there shall be no man in the tabernacle of the congregation , when he goeth in to make an atonement in the holy place, until he come"
0073900301_000110,"The holy Bible, containing the Old and New Testaments; Translated out of the Original Tongues, and With the former Translations diligently compared and revised, by his Majesty's Special Command. Appointed to be Read in Churches.",,174,8,0,2,2,2,3,0,0,2,0,6,0,3,17,1,2,5,0,0,0,0,0,0,0,2,2,0,6,0,1,2,2,1,0,15,3,0,5,0,17,3,0,6,25,2,3,0,0,2,5,3,2,3,5,0,0,0,1,2,3,1796,1,2,"Cambridge : printed by John Archdeacon and John Burges, Printers to the University; and sold by C. Dilly, F. & C. Rivington, and B. & J. White, in London; and J. & J. Merrill, in Cambridge, MDCCXCVI. [1796]-98.",Cambridge,988,unknown,,,FALSE,"offering : 76 One kid of the goats for a sin offering :  77 And for a sacrifice of peace offerings , two oxen, five rams , five he goats , five lambs of the first year: this was the offering of Pagiel the son of Ocran. 78 On"
0059900200_000122,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the former Translations Diligently Compared and Revised. By His Majesty's Special Command. Appointed to be read in Churches.",,164,2,0,4,5,3,0,0,1,1,2,2,0,2,4,0,0,1,0,1,3,0,0,1,0,3,3,0,3,1,10,0,3,3,1,3,2,0,4,1,2,5,0,4,36,3,5,0,6,8,6,4,5,2,4,0,0,3,0,0,2,1746,1,1,"Oxford : printed by Thomas Baskett, Printer to the University, MDCCXLVI. [1746].",Oxford,1111,unknown,,,FALSE,"their meat 490. offering , and their drink offerings . 16 And the priest ( hall bring them before the LORD, and shall offer his sin offering , and his burnt.offering. 17 And he ( hall offer the ram for a sacrifice of peace offerings unto the lord, with the"
0078100201_000109,The Holy Bible.,,173,2,0,4,4,3,0,0,1,0,2,3,0,4,4,0,0,2,0,1,2,0,0,1,0,3,3,0,6,0,0,0,3,3,1,3,3,0,6,2,2,4,0,3,44,3,6,0,5,10,8,5,5,2,4,0,0,3,0,0,3,1796,1,2,"[London] : Published by R. Bowyer, London, 1796.",London,806,unknown,,,FALSE,"and shall offer his sin offering , and his burnt offering : 17 And he shall offer the ram for a sacrifice of peace offerings unto the lond, with the basket of unleavened bread : the priest shall offer also his meat offering , and his drink offering . is"
0078200700_000129,"The holy Bible, containing the Old Testament and the New: Newly Translated out of the Original Tongues, And with the Former Translations Diligently Compared and Revised. By His Majesties Special Command. Appointed to be Read in Churches.",,143,2,0,4,2,2,1,0,3,3,3,0,0,3,2,0,0,3,0,3,2,0,0,2,0,1,1,0,2,2,10,1,3,7,1,3,1,0,3,3,2,2,0,2,25,2,5,1,6,4,4,1,4,2,5,0,1,3,0,0,1,1703,1,1,"London : printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; Printers to the Queens most Excellent Majesty, MDCCIII. [1703, i.e. 1704].",London,1077,unknown,,,FALSE,"teir,. unto the LORD, b he shall come at no dead ...s. body. rl'. 7  He stall not make himself unclean for 1.'"":. his father , or for his mother, for his brother, or for his sister, when they die: because, lhb. the t consecration of his God is"
1207600100_000121,"The holy Bible containing the Old and New Testaments, Newly Translated out of the Original Tongues: And with the former Translations diligently Compared and Revised. By His Majesties Special Command. Appointed to be Read in Churches.",,141,2,0,4,3,4,0,0,3,1,0,2,0,4,2,1,0,2,0,2,2,0,0,0,0,3,2,0,3,0,0,0,3,2,1,2,2,0,4,4,2,4,0,4,31,4,5,1,5,5,5,3,3,1,3,0,0,3,2,0,2,1705,1,1,"Edinburgh : printed by the heirs and successors of Andrew Anderson, Printer to the Queens most Excellent Majesty, Anno Dom. MDCCV. Cum Privilegio, [1705].",Edinburgh,933,unknown,,,FALSE,"13 IT And this is the law of the Nazarite; water , then it shall come to pass, that if ie be When the days of hisfeparation are fulfilled, he defiled, and have done trespass against her hus fal be brougrit unto the door of the tabernacle band; that the"
0066200200_000120,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the former Translations Diligently Compared and Revised. By His Majesty's Special Command. Appointed to be Read in Churches.",,153,2,0,4,1,3,1,0,3,3,3,1,0,4,3,0,0,3,0,3,3,0,0,0,0,2,1,0,2,1,9,0,3,5,1,3,1,0,5,3,2,3,0,4,27,3,5,1,6,4,5,2,5,2,5,0,0,3,1,0,2,1736,1,1,"Oxford : printed by John Baskett, Printer to the University, MDCCXXXVI. [1736].",Oxford,836,unknown,,,FALSE,"consecration; then lie ( hall (have his head in the day of his cleanling, on tile seventh day stall he llave it. 1o And on the eighth day he hall bring two turtles, or two young pigeons to the priest , at the door of the tabernacle of the congregation"
1271300700_000126,"The New Testament of our Lord and Saviour Jesus Christ, ...",,165,6,0,2,2,2,2,0,0,2,0,6,0,3,16,1,2,5,0,0,0,0,0,0,0,2,2,0,4,1,5,7,2,1,0,15,2,0,4,0,17,3,0,6,19,2,2,0,0,1,4,1,4,3,3,0,0,0,1,2,3,1773,1,1,"Oxford : printed by T. Wright and W. Gill: sold by S. Crowder, London ; and W. Jackson, in Oxford, 1773.",Oxford,1187,unknown,,,FALSE,"the weight whereof was an hundred and thirty fl/ekels, one silver bowl of seventy fihekels after the shekel of the fancuary, both of them full of fine flour mingled with oil , for a meat offering : 80 One golden spoon of ten /hekels, full of incense: 81 One young"
1533100100_000106,"The Holy Bible, containing the Old and New Testaments, Newly translated out of the original tongues: and with the former translations diligently compared and revised. By His Majesty's special command. Appointed to be read in churches.",,159,2,0,2,4,4,0,0,3,2,3,2,0,4,2,0,0,2,0,1,3,0,0,1,0,2,3,0,4,0,13,1,3,3,1,3,2,0,4,3,1,4,0,2,32,4,6,0,3,8,7,3,4,0,3,0,0,3,0,0,2,1737,1,1,"Oxford : Printed by John Baskett, printer to the University, MDCCXXXVII. [1737].",Oxford,1021,unknown,,,FALSE,"( hall consecrate unto the LORD the days of his separation, and Shall bring a lamb of the first year for a trefpafs oftering : but the days that were before ( hall be lost, because his feparatlin was defiled. ss "" And this is the law of the Nazarite:"
0060200200_000129,"The holy Bible, containing the Old and New Testaments; Newly Translated out of the Original Tongues, and With the former Translations diligently compared and revised, By His Majesty's special Command. Appointed to be read in Churches.",,154,2,0,4,5,4,0,0,3,1,3,1,0,3,2,0,0,3,0,2,3,1,0,1,0,2,2,0,2,1,2,1,3,3,1,2,1,0,4,3,2,2,0,4,38,3,5,0,6,8,4,3,4,2,4,0,0,3,0,0,1,1768,1,1,"Cambridge : printed by John Archdeacon Printer to the University; and sold by John Beecroft, John Rivington, Benjamin White, and Edward Dilly, in London; and T. & J. Merrill, Cambridge, 1768.",Cambridge,1294,unknown,,,FALSE,"year for a trefpafs offer Lev. ing: but the days that were before shall t be lost, because his separation was defiled. + He. 13 f And this is the law of the Nazarite: f""ll when the days of the reparation are fulfilled, he shall be brought unto the door"
0065900101_000149,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues; and with the Former Translations Diligently Compared and Revised, By His Majesty's Special Command. Appointed to be read in Churches.",,157,3,0,1,2,2,0,0,0,2,0,8,0,3,7,1,1,2,0,0,0,0,0,0,0,4,4,0,8,0,1,2,2,1,0,5,4,0,9,0,6,4,0,5,30,4,4,0,0,4,7,4,2,3,3,1,0,0,1,2,5,1773,1,2,"London : printed by Charles Eyre and William Strahan, Printers to the King's most Excellent Majesty, MDCCLXXIII. [1773].",London,830,unknown,,,FALSE,"five rams , five he goats , five lambs of the first year: this was the offering of Abidan the son of Gideoni. 66 L On the tenth day Ahiezer the son of Amlmifiaddai, prince of the children of Dan, ofred:. 67 His offering was one silver charger,, the weight"
1582300200_000107,"The Holy Bible, containing the Old and New Testaments: translated out of the original tongues; and with the former translations diligently compared and revised.",Hugh Gaine,146,2,0,3,4,4,0,0,3,2,3,2,0,3,1,0,0,2,0,2,3,0,0,1,0,3,3,0,2,1,3,0,3,3,1,3,1,0,3,3,2,4,0,3,34,4,5,0,3,8,5,1,3,2,3,0,0,3,0,0,2,1792,1,1,"New-York : Printed and sold by Hugh Gaine, at his book-store and printing-office, at the Bible, in Hanover-Square, M,DCC,XCII. [1792]",New York,815,male,1726,1807,FALSE,"sinned by the dead, and shall hallow his head that same day. _/ IZ And he shall confecrate'unto the lord the days of his separation, and fball bring a lamb of the first year for a trefpnfs offering : bpt the days that were before shall be loit, because his"
1541400100_000188,"The Christian's new and complete family Bible: Or, Universal Library of Divine Knowledge. Containing the sacred texts of the Old and New Testaments, with the Apocrypha, at Large. Illustrated with notes and annotations, historical, chronological, biographical, geographical, theological, moral, systematical, practical, admonitory, divine, and explanatory. In which the most difficult passages are rendered clear and familiar, the seeming contradictions reconciled, the mis-translations rectified, and important truths confirmed, so as to confute the insidel, dispel the mists of darkness, enlighten the ignorant, encourage the diffident, reclaim the vicious, reconcile the doubtful, lead the wavering into the paths of truth, and implant in the mind of every Christian that divine knowledge which is essentially necessary to salvation. Forming a complete treasury of divine revelation. To which is added, at the end of each book, a summary of the doctrines contained therein, being a full explanation of the various books in the old and new testaments. And, as a farther illustration, will be given a general index, or concordance, clearly pointing out every material transaction recorded in the sacred writings. A chronological index of transactions from Adam to the time of our blessed Saviour. A geographical index of places mentioned in the Holy Scriptures. A full explanation of the proper names in the scriptures, with their significations, &c. A brief account of the apostles and their successors, who propagated the Christian religion, by presiding over the Apostolic Churches of Antioch, Jerusalem, &c. The whole forming a complete body of Christian Divinity, explained and illustrated in such a manner, as to guide the reader through the paths of happiness in this world, and lead him to the mansions of eternal bliss in that which is to come. By the Rev. Thomas Bankes, of St. Mary Hall, Oxon; vicar of Dixton, in Monmouthshire; and morning and afternoon preacher at Hampstead. Embellished and enriched with upwards of three hundred and fifty engravings, illustrating the various transactions recorded in the sacred writings, from Genesis to the end of the revelations.","Bankes, Thomas",175,9,0,2,1,1,2,0,0,2,0,6,0,5,16,1,2,5,0,0,0,0,0,0,0,4,4,0,6,0,1,3,2,1,0,9,3,0,6,0,16,3,0,4,30,1,3,0,0,1,6,3,5,2,2,0,0,0,1,2,5,1787,1,1,"London : Printed for C. Cooke, No. 17, Pater-Noster-Row; and sold by booksellers of Bath, Bristol, Birmingham, Canterbury, Cambridge, Coventry, Chester, Derby, Exeter, Gloucester, Hereford, Hull, Ipswich, Leeds, Liverpool, Leicester, Manchester, Newcastle, Norwich, Nottingham, Northampton, Oxford, Reading, Salisbury, Sherborn, Sheffield, Shrewsbury, Worcester, Winchester, York; and by all other bookseller in England, Scotland, and Ireland, [1787?].",London,1148,unknown,,,FALSE,"How the lamps were to be lighted. 5 Consecration wrs an hundred and thirty /bekels, one fil of the Levites . 23 Age and time of their service . .of seventy fhekels, after the (hekel of the A ND the LORD spake unto Moles, saying, r; both of them full"
0065700101_000118,"The holy Bible, containing the Old and New Testaments, Translated Out Of The Original Tongues, And With The Former Translations Diligently Compared And Revised. With select notes. Vol. I. Appointed to be Read in Churches.",,156,5,0,1,2,2,1,0,0,2,0,7,0,4,11,1,1,2,0,0,0,0,0,0,0,3,3,0,6,0,3,1,2,1,0,10,3,0,6,0,13,4,0,5,24,3,3,0,0,2,6,3,2,3,3,0,0,0,1,3,4,1795,1,2,"London : printed by M. Ritchie, for John Parsons, Paternoster Row, MDCCXCV. [1795].",London,725,unknown,,,FALSE,"of the children of Asher, offered : 73 His offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy ihekels, after the ihekel of the fanetuary, both of them full of fine flour mingled with oil , for a meat of"
0060300200_000129,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues, And with the former Translations Diligently Compared and Revised. By His Majesty's Special Command. Appointed to be read in Churches.",,157,8,0,2,2,2,3,0,0,2,0,6,0,3,14,1,2,5,0,0,0,0,0,0,0,1,2,0,4,0,5,4,2,1,0,15,2,0,4,0,15,3,0,5,20,2,2,0,0,1,4,2,3,2,2,0,0,0,1,2,3,1758,1,1,"Oxford : printed by Thomas Baskett, Printer to the University, MDCCLVIII. [1758].",Oxford,860,unknown,,,FALSE,"flour mingled with oil , for a meat of fering: 80 One golden spoon of ten iekels, full of incense: 81 One young bullock , one ram , one lamb of the first year, for a burnt offering : 8 One kid of the goats for a sin offering :"
1561100201_000120,The Holy Bible containing the Old and New Testaments Newly translated out of the original tongues and with the former translations diligently compared & revised. By His Majesties special command appointed to be read in churches[.],,150,2,0,3,4,4,0,0,3,2,2,2,0,3,3,0,0,2,0,1,2,0,0,1,0,3,3,0,3,1,1,0,3,3,1,2,1,0,4,2,2,4,0,1,36,4,6,0,5,9,6,3,4,1,3,0,0,3,0,0,2,1759,1,2,"Oxon : Printed by Thomas Baskett, printer to the University, [1759].",Oxford,882,unknown,,,FALSE,"offering , and one ew lamb of the first year without blemish, for a; | sin offering , and one ram without blemih, h for peace offerings , - bis IS And a basset of unleavened bread ,  cakes of fine flour mingled iev.ni with oil , and wafers"
1229200201_000153,"The holy Bible, containing the Old and New Testaments: Translated out of The Original Tongues: And with the Former Translations Diligently Compared and Revised, By His Majesty's Special Command. Appointed to be read in Churches.",Benjamin Blayney,171,3,0,1,2,2,0,0,0,2,0,8,0,5,7,1,1,2,0,0,0,0,0,0,0,4,4,0,10,0,1,4,1,0,0,5,5,0,10,0,6,5,0,5,32,4,5,0,0,4,10,5,1,3,3,1,0,0,1,2,6,1769,1,4,"Oxford : printed by T. Wright and W. Gill, Printers to the University: and sold by R. Baldwin, and S. Crowder, in Paternoster Row, London; and by W. Jackson, in Oxford, 1769.",Oxford,391,male,1728,1801,FALSE,"One young bullock , one ram , one lamb of the first year, for a burnt offering : 64 One kid of the goats for a sin offering : 65 And for a sacrifice of peace offerings , two oxen, five rams , five he goats , five lambs of"
0060000100_000135,"The holy Bible, containing the Old and New Testaments; Translated out of the Original Tongues, and With the former Translations diligently compared and revised, by his Majesty's Special Command. Appointed to be read in Churches.",,158,6,0,2,2,1,2,0,0,2,0,5,0,3,16,1,2,5,0,0,0,0,0,0,0,2,2,0,4,0,1,4,3,1,0,17,2,0,4,0,17,4,0,5,18,2,2,0,0,1,4,2,3,3,4,0,0,0,1,2,3,1789,1,1,"Cambridge : printed by John Archdeacon Printer to the University; and sold by John, Francis & Charles Rivington, Benjamin White, and Charles Dilly, in London; and J. & J. Merrill, in Cambridge, 1789.",Cambridge,1293,unknown,,,FALSE,"the liekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering : So One golden spoon of ten ihekels, full of incense: 81 One young bullock , one ram , one lamb of the first year, for a burnt offering : 82"
1235800300_000114,"The holy Bible, containing the Old and New Testaments; Translated Out Of The Original Tongues; And With The Former Translations Diligently Compared And Revised BY His Majesty's Special Command. Appointed To BE Read In Churches.",,158,2,0,3,2,4,0,0,3,1,2,1,0,4,3,0,0,1,0,1,3,0,0,1,0,3,3,0,4,0,7,0,3,3,1,3,3,0,4,2,2,5,0,3,37,5,4,0,4,8,6,2,4,2,4,0,0,3,0,0,2,1800,1,1,"Cambridge : printed by John Burges Printer To The University; and sold by C. Dilly, F. &. C. Rivington, and J. White, in London; and J. & J. Merrill, in Cambridge. MDCCC. Cum Privilegio, [1800].",Cambridge,1016,unknown,,,FALSE,"bread , cad: es of file fluur mingled with oil , and p, VII ?efibrm ofb fineg thepeop. wafers of unleavened bread anointed with oil , and their meat offering , add their drink offerings . 16 And the priest ( hall bring thm before the Load, and hall offer"
