PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(art),termFreq(azur),termFreq(beauti),termFreq(blaze),termFreq(blue),termFreq(bright),termFreq(carbuncl),termFreq(cave),termFreq(cavern),termFreq(cloud),termFreq(colour),termFreq(columnar),termFreq(crystal),termFreq(dark),termFreq(deep),termFreq(diamond),termFreq(earth),termFreq(emerald),termFreq(fine),termFreq(finest),termFreq(form),termFreq(garnet),termFreq(gem),termFreq(glass),termFreq(gold),termFreq(golden),termFreq(great),termFreq(green),termFreq(hard),termFreq(heaven),termFreq(hue),termFreq(hyacinth),termFreq(indi),termFreq(jasper),termFreq(jewel),termFreq(light),termFreq(lustr),termFreq(mine),termFreq(mountain),termFreq(necklac),termFreq(onyx),termFreq(opal),termFreq(pebbl),termFreq(pellucid),termFreq(polish),termFreq(preciou),termFreq(purpl),termFreq(rai),termFreq(red),termFreq(rubi),termFreq(sapphir),termFreq(silver),termFreq(size),termFreq(stone),termFreq(ting),termFreq(tint),termFreq(topaz),termFreq(transpar),termFreq(valu),termFreq(variou),termFreq(view),termFreq(wear),termFreq(white),termFreq(yellow),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0865500106_000159,"Cyclopædia: or, an universal dictionary of arts and sciences. ... By E. Chambers, F.R.S. With the supplement and modern improvements, incorporated in one alphabet. By Abraham Rees, ... In four volumes. ...",Abraham Rees,113,0,2,0,2,0,1,2,1,0,0,0,14,0,0,0,0,4,1,3,0,0,0,1,8,0,0,0,4,1,5,0,0,1,0,0,1,1,2,1,0,0,5,3,1,2,0,6,1,0,3,6,4,1,0,10,0,0,2,6,1,2,0,0,3,2,1786,2,1,"London : printed for J. F. and C. Rivington, A. Hamilton, T. Payne and Son, W. Owen, B. White and Son [and 24 others in London], 1786-88.",London,614,male,1743,1825,FALSE,"taking a pair of nippers made ver smooth, either of steel, boxi or brazil, he claps the firings of the stones between them, very near to where the stones are set on, and prefles them so hard , that there may be no flux of the blood, and then fears"
1014700103_000004,"The wonders of nature and art; being an account of whatever is most curious and remarkable throughout the world; Whether relating to its Animals, Vegetables, Minerals, Volcano's, Cataracts, Hot and Cold Springs, And other Parts of Natural History; Or to the Buildings, Manufactures, Inventions, and Discoveries of its Inhabitants. The whole collected from the writings of the best historians, travellers, geographers, and philosophers, among which are some Original Manuscripts; interspersed with pious Observations and Reflections; illustrated with Notes, and adorn'd with Copper-Plates. ...",,110,0,1,0,5,1,1,2,5,0,0,0,9,0,0,2,3,4,0,1,1,2,1,3,9,0,0,0,1,0,2,0,0,3,4,0,3,4,1,1,0,0,0,1,2,0,0,2,2,0,6,10,2,0,2,2,4,0,0,0,2,2,1,0,0,3,1750,3,4,"Reading : printed, and sold by C. Corbett, at Addison's Head opposite St. Dunstan's Church in Fleetstreet, London; and C. Micklewright and Comp. in Reading; and by most booksellers and country printers in Great Britain, MDCCL. [1750].",Reading,482,unknown,,,FALSE,"up a Piece of Bays or Flannel lfretch'd tight between both Hands at some Distance from the Eye, and another rubs a Diamond swiftly and pretty hard on the other Side of the Bays or Flannel, the Light is much more vivid and pleasant to the Eye of him that"
0223400102_000028,"The economy of nature explained and illustrated on the principles of modern philosophy. By G. Gregory, D. D. Joint Evening Preacher at the Foundling Hospital, Author of Essays Historical and Moral, &c. In three volumes. With forty-six plates. ...",George Gregory,125,4,2,0,0,0,3,2,0,0,0,0,13,0,2,1,1,18,4,2,3,0,5,2,4,1,0,0,1,4,6,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,3,3,1,3,6,3,0,1,11,1,0,1,2,0,0,0,0,0,3,1796,2,3,"London : printed for J. Johnson, No 72, St. Paul's Church Yard, 1796.",London,620,male,1754,1808,FALSE,"also found in an indurated slate, either pure or mixed with'inflammable fubfiances, and vitriolic acid, in which cafe it forms the ores of alum. VIII Argillaceous fossil stones , to which the de nonination ofschisti properly belongs. The most remarkable stones comprehended under this division are the bluifih purple fchifhus,"
1014700103_000005,"The wonders of nature and art; being an account of whatever is most curious and remarkable throughout the world; Whether relating to its Animals, Vegetables, Minerals, Volcano's, Cataracts, Hot and Cold Springs, And other Parts of Natural History; Or to the Buildings, Manufactures, Inventions, and Discoveries of its Inhabitants. The whole collected from the writings of the best historians, travellers, geographers, and philosophers, among which are some Original Manuscripts; interspersed with pious Observations and Reflections; illustrated with Notes, and adorn'd with Copper-Plates. ...",,119,1,0,0,4,0,1,4,0,0,0,0,13,1,1,0,1,2,0,8,2,4,5,1,15,0,0,1,3,3,3,0,0,0,3,2,2,1,1,1,0,0,1,2,1,1,4,0,0,0,0,0,1,0,4,4,2,0,6,0,2,4,0,0,4,0,1750,3,4,"Reading : printed, and sold by C. Corbett, at Addison's Head opposite St. Dunstan's Church in Fleetstreet, London; and C. Micklewright and Comp. in Reading; and by most booksellers and country printers in Great Britain, MDCCL. [1750].",Reading,482,unknown,,,FALSE,"call Oriental Emeralds being brought from America. The Emerald in its purest State perhaps yields to none of the Gems in Beauty , being of a bright and naturally polished Surface, and of a pure and charming Green without the Mixture of any other Colour . It is found of"
0656800800_000060,"The young man's book of knowledge: being a proper supplement to the young man's companion. In six parts, viz. Part I. Of Knowledge in general; the Advantages of gaining it early, with a Definition thereof. Of God, his Essence and Attributes. Of the Origin of Nature, and first Formation of Things. Of the Creation, Fall, and Restoration of Mankind. Part II. Theology, containing an Account of the Religion and Laws of Nature. Supernatural Theology. Observations on the Holy Scrip ures, which teach us the Knowledge of God and our Duty. Account of Judaisin, Paganism, Mahometanism, and Christianity. Of the Sect of the Jews. Different Tenets of the principal Sects or Professors of Christianity. Of the Heathen Mythology, and Alphabetical Account of the Heathen Deities. Part III. Natural Philosophy in general. Part IV. Geography, in a Manner entirely new: Containing, (by Question and Answer) I. A general Description of the four Quarters of the World. 2. The Situation, Extent, and chief Cities of the several Kingdoms and Countries of each Quarter. 3. The Nature and Description of the Globes, and Explanation of the Terms used in Geography. 4. Tables of the Latitude and Longitude of several principal Places, with many useful and necessary Problems on the Terrestrial and Celestial Globes. Part V. Geometry and Astronomy, Navigation, and Plain-Sailing; with many useful, easy, and instructive Problems for the young Practitiones in the further Knowledge of those Sciences. Part VI. Of Music and Vihration. Definition of Music, Gamut or Scale, and Explanation of dividing Notes in Time, &c. Of the Diatonic Scale, an Explanation. Different Keys, Time, Bass, &c. &c. The third edition, with additions. By D. Fenning, Author of the Royal English Dictionary, Universal Spelling-Book, Use of the Globes, &c. &c. &c.",Daniel Fenning,129,1,0,0,2,0,1,0,1,0,0,0,11,0,2,0,1,5,1,0,8,1,2,1,6,2,3,0,1,5,7,0,0,0,3,0,1,1,1,1,0,0,0,0,2,7,2,5,1,0,7,1,2,0,3,18,1,0,1,1,1,3,0,0,3,3,1774,1,1,"London : printed for S. Crowder, in Pater-Noster-Row, and B. Collins, in Salisbury, 1774.",London,397,male,1715,1767,FALSE,"Pebbles and other Stones used for Pavement. 4 Port -- landstone. 5 Slit Stones , both ulifd for Buildings; the laftof which is so extreme fine that it is called the rngli/h Agate, and some Sort is so fine , after its being polished , that it is even ranked"
1750300102_000029,"The economy of nature explained and illustrated on the principles of modern philosophy. By G. Gregory, D.D. author of Essays Historical and Moral, &c. In three volumes. With fifty-six plates.",George Gregory,137,7,1,0,2,0,5,1,0,0,0,0,19,0,1,3,2,3,3,3,5,1,4,3,7,1,0,0,1,8,4,0,0,2,0,0,0,2,0,0,1,0,0,3,0,0,0,4,6,1,7,7,3,0,0,5,0,0,3,3,0,0,0,0,1,5,1798,2,3,"London : printed for J. Johnson, No 72, St. Paul's Church Yard, 1798.",London,552,male,1754,1808,FALSE,"Gravel.~ jaff er. Feldt Spar. Labrador Stone . schirli and wthet/fone. Art of makingo gla/s. Prince Rqpert's dropp and pbhio/fbcqphial. -- Curious Phenomenon. THE siliceous earths are chiefly distinguished by .their hardness , by which they firike fire with steel, and their property of forming good glass with alkali. They"
0086700108_000056,"Beauties of nature and art displayed, in a tour through the world; ... Illustrated and embellished with copper plates.",,101,0,0,0,5,0,1,3,3,0,0,0,10,0,0,0,4,5,1,3,2,1,1,2,10,0,0,0,3,1,1,0,0,2,3,0,3,0,0,3,1,0,0,1,2,0,2,1,2,0,5,4,2,0,3,1,3,0,0,0,2,3,0,0,0,2,1774,8,13,"London : printed for G. Robinson, in Pater-Noster-row,  1774-75.",London,231,unknown,,,FALSE,"there are generally sixty thousand persons, men, women, and children, employed in these mines of Coulour. They work naked like the miners at Raolconda, and are watched in the same manner by inspectors. A great number of diamonds are found near Soumelpour, a large town, in the kingdom of Bengal,"
0171300303_000097,"Spectacle de la nature: or, nature display'd. Being discourses on such particulars of natural history as were thought most proper to excite the curiosity, and form the minds of youth. Illustrated with copper plates. Vol. III. Translated from the original French.",Noël-Antoine Pluche,112,0,1,1,2,0,2,3,1,0,0,0,10,0,0,1,1,13,1,2,2,0,1,2,0,0,5,0,3,3,2,0,0,4,0,0,2,1,3,0,0,0,2,1,0,1,0,3,2,1,5,7,2,1,0,12,0,0,1,4,2,0,0,0,1,1,1737,3,3,"London : printed for J. and J. Pemberton, in Fleetstreet; R. Franklin, in Covent-Garden; and C. Davis, in Pater-Noster-Row, MDCCXXXVII. [1737].",London,514,male,1688,1761,FALSE,"next, on the oths Dif Manner how they are formed beneath in the Earth ; and lastly, on the Usefulness of them. Stones in general are of two Sorts, .The diferent precious and common Stones . Precious Stones are either transparent or opaque; and they are valued for their Lustre"
1158400100_000171,"A history of the materia medica. Containing descriptions of all the substances used in medicine; their Origin, their Characters when in Perfection, the Signs of their Decay, their Chymical Analysis, and an Account of their Virtues, and of the several Preparations from them now used in the Shops. By John Hill, M. D. Member of the Royal Academy of Sciences at Bourdeaux.",John Hill,137,0,0,0,5,0,8,2,0,0,0,0,13,4,1,0,1,1,1,9,4,0,1,1,9,0,0,1,3,2,2,0,0,0,1,1,2,0,4,0,1,0,0,0,6,0,0,0,0,0,3,4,20,0,4,8,5,0,0,2,3,0,0,0,5,0,1751,1,1,"London : printed for T. Longman, C.Hitch and L.Hawes, in Pater-Noster Row; A. Millar, opposite Catharine-Street in the Strand; and J. and J. Rivington, in St. Paul's Church-Yard, MDCCLI. [1751].",London,916,male,1714,1775,FALSE,"at Times found tinged with other Colours , with any of which it makes a very beautiful Figure. I have lately met with one among the Jewellers , which had the Emerald Green in about the same Degree in which the Diamond sometimes is tinged with that Colour : This"
0265100101_000335,"The philosophical transactions (from the year 1743, to the year 1750) abridged, and disposed under general heads. The Latin papers being translated into English. By John Martyn, F. R. S. Professor of Botany in the University of Cambridge. ... . Containing, Part I. The Mathematical Papers. Part II. The Physiological Papers. Part III. The Anatomical and Medical Papers. Part IV. The Historical and Miscellaneous Papers.",Royal Society (Great Britain),119,0,1,0,1,0,3,0,0,0,0,0,9,0,3,0,7,0,1,3,1,0,0,3,3,0,1,0,1,8,0,0,1,1,1,1,1,2,0,2,0,0,6,1,4,0,1,3,3,0,10,1,2,1,0,6,0,0,1,6,0,1,0,0,15,4,1756,1,2,"London : printed for Lockyer Davis and Charles Reymers, against Gray's-Inn-Gate, Holborn, Printers to the Royal-Society, MDCCLVI. [1756].",London,860,unknown,,,FALSE,effectually to keep the clay and sand asunder. The observations you have now read must be underfiood to relate to the county of Norfolk only; for I have never had any opportunity of searching the bowels of the earth in other places; but the general uniformity of nature makes me
0059200600_000053,"A natural history of fishes, and of reptiles, insects, waters, earths, fossils, Minerals, and Vegetables, compiled from the best authorities, and illustrated by a great variety of copper plates, comprising near one hundred figures, Accurately drawn from Nature, and beautifully engraved.","Jones, Stephen",104,1,0,1,4,0,2,2,2,0,0,0,9,0,2,0,2,4,0,0,0,3,3,2,11,0,0,0,0,0,6,0,0,0,5,0,1,0,2,1,0,0,0,0,1,2,1,1,2,0,3,3,6,0,6,2,3,0,0,1,4,4,0,0,2,0,1795,1,1,"London : printed for E. Newbery, at the Corner of St. Paul's Church Yard, 1795.",London,254,male,1763,1827,FALSE,"the kingdoms of Vifapour, Golconda, Bengal; and the Brasils, in the West Indies . The diamond is the hardcft of all precious f, nes; it can only be cut and ground by itself, and its own fubfiance. OF THE CARBUNCLE . THE carbuncle is an elegant gem , of a"
1231301800_000018,The general contents of the British Museum: with remarks. Serving as a Directory In Viewing that Noble Cabinet.,British Museum,110,0,0,0,5,0,2,1,0,0,0,0,7,2,6,0,0,9,1,5,7,1,5,1,2,0,1,0,4,0,4,0,0,0,3,0,2,0,3,1,0,1,0,0,3,0,2,2,3,0,2,2,4,0,0,6,2,0,0,0,5,1,0,2,3,0,1762,1,1,"London : printed for R. and J. Dodsley, in Pall-Mall, MDCCLXII. [1762].",London,261,unknown,,,FALSE,"different Shades from the deepet to the palest) occasioned by some neigh. bouring Iron and Copper Mines . This Stone loses its Colour in Fire, and is then undiftingihflable froim a white Sapphire . The genuine oriental Emerald is a very hard and most beautiful Gem , but few of"
0059200600_000054,"A natural history of fishes, and of reptiles, insects, waters, earths, fossils, Minerals, and Vegetables, compiled from the best authorities, and illustrated by a great variety of copper plates, comprising near one hundred figures, Accurately drawn from Nature, and beautifully engraved.","Jones, Stephen",107,2,0,0,3,0,0,4,0,0,0,3,11,2,2,1,0,0,2,3,3,0,2,0,4,0,3,0,5,4,4,0,0,0,3,4,2,0,0,2,1,0,3,0,3,2,2,2,0,0,1,0,1,0,3,7,0,0,2,2,0,4,0,0,4,1,1795,1,1,"London : printed for E. Newbery, at the Corner of St. Paul's Church Yard, 1795.",London,254,male,1763,1827,FALSE,"from the kingdom of Peru, in the East Indies . Os i9u [ 9, z ] Or THE EMERALD . THIS is the most beautiful of all the class of coloured gems , when perfect. It is sometimes found in the roundish or pebble form , foinetimes in the columnar"
1158400100_000173,"A history of the materia medica. Containing descriptions of all the substances used in medicine; their Origin, their Characters when in Perfection, the Signs of their Decay, their Chymical Analysis, and an Account of their Virtues, and of the several Preparations from them now used in the Shops. By John Hill, M. D. Member of the Royal Academy of Sciences at Bourdeaux.",John Hill,121,1,1,0,2,0,2,1,1,0,0,0,20,2,5,0,1,3,0,0,3,0,4,2,8,0,3,0,2,3,3,0,1,1,2,0,5,0,2,2,2,0,0,0,2,2,1,0,0,0,3,17,0,0,2,4,7,0,0,0,1,0,0,0,0,0,1751,1,1,"London : printed for T. Longman, C.Hitch and L.Hawes, in Pater-Noster Row; A. Millar, opposite Catharine-Street in the Strand; and J. and J. Rivington, in St. Paul's Church-Yard, MDCCLI. [1751].",London,916,male,1714,1775,FALSE,"wrought, are sold for Rubies ; but those who work them know the Difference. And those who know the TRUE Tinge of Colour of the Ruby , can judge of them at Sight, and know they are not so. I lne 1 The common Size of rubies is that of"
1175900103_000099,"Spectacle de la nature: or, nature display'd. Being discourses on such particulars of natural history as were thought most proper to excite the curiosity and form the minds of youth. Illustrated with copper plates. ... Translated from the original French.",Noël-Antoine Pluche,96,0,2,1,1,0,2,3,2,0,0,0,10,0,1,1,1,9,0,2,1,0,0,2,0,0,5,0,2,3,0,0,0,3,0,2,2,1,0,0,0,0,2,2,0,1,0,1,2,0,4,7,2,1,0,10,0,0,2,3,1,0,0,0,1,1,1740,3,4,"London : printed for R. Francklin; C. Davis; and J. Pemberton, 1740.",London,416,male,1688,1761,FALSE,"Power of Resistance, as imaginary;. those medicinal Virtues, that are ascribed to the Dia mond? Prior. Two Travellers one Day disputing on this Point, after a great many frivolous Arguments, lie that maintained the negative Side of the Quellion, said to the other; I will go with you to a"
