PassageID,Title,Author,Total termFreq,termFreq(admir),termFreq(appear),termFreq(arriv),termFreq(attack),termFreq(battl),termFreq(believ),termFreq(board),termFreq(boat),termFreq(captain),termFreq(command),termFreq(continu),termFreq(council),termFreq(court),termFreq(dutch),termFreq(enemi),termFreq(engag),termFreq(england),termFreq(fail),termFreq(fight),termFreq(fleet),termFreq(follow),termFreq(forc),termFreq(form),termFreq(french),termFreq(gun),termFreq(half),termFreq(head),termFreq(hip),termFreq(kill),termFreq(king),termFreq(know),termFreq(land),termFreq(left),termFreq(line),termFreq(littl),termFreq(mile),termFreq(morn),termFreq(near),termFreq(night),termFreq(observ),termFreq(offic),termFreq(order),termFreq(rear),termFreq(receiv),termFreq(sail),termFreq(sea),termFreq(sever),termFreq(ship),termFreq(signal),termFreq(squadron),termFreq(tack),termFreq(taken),termFreq(think),termFreq(took),termFreq(troop),termFreq(vice),termFreq(war),termFreq(weather),termFreq(wind),termFreq(wound),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0182600400_000072,"Memoirs of the war in Asia, from 1780 to 1784. Including a narrative of the imprisonment and sufferings of our officers and soldiers, by an officer of Colonel Baillie's detachment.","Thomson, William",138,6,1,1,3,5,0,6,0,3,2,0,0,0,0,10,5,0,1,0,4,2,0,4,5,1,1,1,3,1,0,0,0,2,15,1,1,2,0,1,0,2,3,5,1,4,0,0,10,3,4,3,4,0,1,1,0,5,0,5,0,1789,1,1,"London : sold by J. Sewell, Cornhill; and J. Debrett, Piccadilly, [1789].",London,489,male,1746,1817,FALSE,"and anchored in Morabat Bay. The Indiamen, having taken the 4zd regiment on board , out of the transports, fell to leeward with the current, and were obliged to go into Kissin Bay, distant about twenty leagues, from whence they afterward joined the fleet . The ships of war ,"
0007400105_000129,"The naval and military history of the wars of England; including, the wars of Scotland and Ireland. In Which IS Given, An accurate and lively Description of the Sieges, Battles, Bombardments, Sea Engagements, Expeditions, and extensive Conquests of the British Arms, in all Quarters of the Globe. With A Variety Of Interesting and extraordinary Anecdotes of Military Skill and Intrepidity, heroic Adventures, brilliant Exploits, martial Atchievements, and memorable Actions of the British Warriors. Calculated To inspire the Rising Generation with Magnanimity and Virtue, and to Impress on their Minds the generous Ardour and Noble Emulation of their Ancestors. None But The Brave Deserve The Fair. ... . Ornamented With Elegant Copper-Plates.","Mante, Thomas",111,4,0,1,1,2,0,2,0,3,1,1,0,0,0,0,9,0,3,1,7,1,1,3,6,5,2,0,1,2,0,0,1,1,4,1,0,1,2,1,3,0,1,5,4,4,0,1,4,9,3,2,1,0,1,0,0,2,1,2,1,1795,5,8,"London : printed for the author, and sold by Champante and Whitrow, Jewry-Street, Aldgate; and at the British directory office, Ave-Maria-Lane, St. Paul's, [1795-1807].",London,458,unknown,,,FALSE,"into the hands of Sir Peter Warren, who had sailed from Plymouth the 6th of June, with a squadron to intercept such ships as might escape from Commodore Fox. After three years of languid war , the defruetion of the French navy and commerce were now to be .effeaed by"
0709200302_000008,"The history of Great Britain, from the Restoration, to the accession of the house of Hannover. By James Macpherson, in two volumes. ...",James Macpherson,116,6,0,0,1,5,0,1,2,1,2,1,0,0,2,6,4,0,1,3,6,0,1,1,13,4,2,0,0,1,1,0,0,0,3,5,0,1,1,3,2,1,4,2,2,1,0,1,8,3,3,1,1,0,1,0,0,3,4,2,0,1775,2,2,"Dublin : printed for J. Exshaw, D. Chamberlain, J. Potts, W. Sleater, J. Williams, W. Wilson, T. Walker, R. Moncrieffe, C. Jenkin, and M. Mills, M,DCC,LXXV. [1775].",Dublin,663,male,1736,1796,TRUE,"They began on both fides to form 169z. the line . Tourville, who had been irritated by a re flclion thrown on his courage, by de Seignelay, re Iolved to fight the enemy , though he was not ignorant of their force . He bore down upon the combined fleets"
0246100102_000327,"A new and authentic history of England: from the remotest period of intelligence to the close of the year 1767: Containing A particular and circumstantial Account of Every interesting Occurrence, and memorable Character relative to the Annals of Great Britain, both at Home and Abroad; Particularly, Its Origin; the Progress of its Empire; Laws; civil and religious Establishments; its various Operations naval and military; Anecdotes of the Transactions of the most celebrated Personages who have distinguished themselves in a political, ecclesiastical, or military Capacity: Interspersed with such Remarks as may be found necessary to elucidate any obscure Point, solve any Difficulty, and set any contested Circumstance in the clearest Light. By the Hon. Hugh Clarendon, of Windsor, Esq;","Clarendon, Hugh",136,9,0,4,0,2,0,2,0,9,2,0,0,1,1,7,7,1,1,0,0,1,0,3,6,1,2,0,1,4,0,0,1,0,6,2,1,5,0,4,5,4,3,4,2,3,0,1,11,7,3,0,0,0,0,1,1,1,1,2,4,1770,2,2,"London : printed for J. Cooke, at Shakespear's Head in Pater-Noster Row, and sold by all Booksellers in Great Britain and Ireland, [1770?].",London,609,unknown,,,FALSE,"killed and wounded ; but the Floriffant had above one hundred and eighty killed , and three hundred wounded ; the was also so greatly disabled in her hull, that they could not keep her above water, till their arrival at Martinico, without the utmost difficulty. The war in the"
0091200502_000139,"The naval chronicle: or, Voyages, Travels, Expeditions, Remarkable Exploits and Atchievements, Of the most Celebrated English Navigators, Travellers, and Sea-Commanders, From the Earliest Accounts to the End of the Year 1759: By whose Wisdom, Conduct, and Intrepidity, the most useful and important Discoveries have been made, and the British Commerce extended, thro' Asia, Africa, and America: The many Conquests they obtained over the Spaniards, French, and other Nations: The unparalelled Hardships and Sufferings they underwent by Shipwreck, Famine, and the Treachery and Cruelty of their Enemies. With A Description of the Religions, Governments, Customs, Manners, Commerce, and Natural History of the several Nations they visited, conquered, or had Dealings with. Including The Lives of the most Eminent British Admirals and Seamen, who have distinguished themselves by their Bravery and Love of Liberty. In Three Volumes. Adorned with Cuts.",,130,12,1,0,0,2,0,2,2,2,0,3,0,0,4,5,0,1,0,1,5,2,0,0,10,3,1,0,1,1,0,0,1,0,2,1,0,4,3,4,1,1,3,2,0,4,0,6,23,2,5,1,1,0,1,0,1,1,1,3,1,1760,2,3,"London : printed for J. Fuller, Bookseller, at his Lotrery-Office, Newgate-Street; I. Pottinger, Pater-Noster-Row J. Cooke, in May-Fair; and J. Ross, Middle-Row, Holborn, M.DCC.LX. [1760].",London,486,unknown,,,FALSE,"which lasted about half an Hour, Part of our Blue Squadron being fallen in which tome of the Enemy's Ships in the Fog; and in that Diiute Rear admiral Carter was killed , whose last Words to his Captain ( Captain right) sufficiently Showed there had been no Grounds to"
0821300301_000051,Memoirs of the late war in Asia. With a narrative of the imprisonment and sufferings of our officers and soldiers: by an officer of Colonel Baillie's detachment. ...,"Thomson, William",146,7,0,3,3,6,0,2,0,2,4,0,0,0,0,14,7,0,1,0,8,1,2,4,7,1,1,1,0,1,0,0,3,1,17,1,0,0,0,1,0,1,3,8,0,3,1,0,11,4,2,3,0,0,1,2,0,1,2,5,1,1788,1,2,"London : printed for the author; and sold by J. Murray, Fleet-Street, M.DCC.LXXXVIII. [1788].",London,523,male,1746,1817,FALSE,"the signa! was made for the leading ship tomake the same sail as the Admiral , and towards him, in the line ahead, that the fleet might, if possible weather the enemy , and engage . them might, if possible, weather the enemy , and 1782 engage them closely. Meanwhile,"
1311200102_000338,The Beauties of all the magazines selected. ... Including the several original comic pieces. To be continued the middle of every month.,,124,11,0,0,0,1,1,2,2,2,1,3,0,0,3,4,1,0,0,1,6,2,0,0,8,1,1,1,7,1,0,1,1,0,2,1,0,7,5,6,2,0,3,3,0,3,0,3,12,3,5,1,0,0,0,0,2,0,2,3,0,1762,2,3,"London [England : T. Waller], 1762-1764.",London,580,unknown,,,FALSE,"ship within reach, that the enemy were handing away. At this time many guns were heard to the weitward; and, though the ships which fired could not be seen, by reason of the fog, it was concluded they were our Blue squadron , which had, by a shift of the"
0875700103_000025,"The naval, Commercial, and General History of Great Britain; including the lives of the admirals, and other Illustrious Commanders and Navigators, from the earliest times to the present. With a great Number of beautiful Copper-Plates and accurate Maps. To each volume is prefixed a political and illustrative preface; And to the whole a copious Index. By Frederick Hervey, Esq. Editor of the New System of Geography in two volumes, folio. In five volumes. ...","Hervey, Frederic",132,12,0,2,2,4,0,0,0,7,1,1,0,0,3,7,3,1,0,1,3,1,4,0,10,4,0,0,2,0,0,0,0,1,5,1,1,0,2,3,0,1,0,5,3,5,1,0,18,2,2,2,1,0,0,0,2,6,1,2,0,1786,3,5,"London : printed for J. Bew, No. 28, Pater-Noster Row, M,DCC,LXXXVI. [1786].",London,501,male,,,FALSE,"government of Jaiaica, and brought wiih him a fourth, fifch, and sixth rate man ot war , by whom advice was received , that a French squadron , of superior force , had arrived at Martinico. It was soon after reported, that the French fleet at Martinico had joined that"
1423300600_000065,"An account of the war in India, between the English and French, on the coast of Coromandel, from the year 1750 to the year 1760. Together with a relation of the late remarkable events on the Malabar Coast, and the expeditions to Golconda and Surat; with the operations of the fleet. Illustrated with maps, plans, &c. The whole compiled from original papers. By Richard Owen Cambridge, Esq;",Richard Owen Cambridge,117,6,2,1,0,1,0,4,0,5,1,3,0,0,0,8,3,0,1,0,1,0,1,2,4,8,3,1,1,0,0,0,1,0,5,6,1,5,1,2,3,1,4,3,2,4,1,0,3,6,3,2,1,1,0,1,0,0,1,4,0,1761,1,1,"Dublin : Printed for George and Alexander Ewing, in Dame-street, MDCCLXI. [1761].",Dublin,473,male,1717,1802,FALSE,"Caillaud (who having taken possession of the sort of Madura, was preparing to march for Tinnevelly) to return to Trichinopoly with all his Europeans, and as many Southeast poys as he thould think necessary a leaving Ifouf Cawn, Cawn, with the rest of the Sepays, to protect Madura and Tinnevelly."
0935500101_000255,"The continuation of Mr. Rapin's History of England; from the revolution to the present times. By N. Tindal, M. A. Rector of Alverstoke, in Hampshire, and Chaplain to the Royal Hospital at Greenwich. Illustrated with Maps, Genealogical Tables, and the Heads and Monuments of the Kings.",Paul de Rapin,126,13,0,0,0,3,1,0,0,2,4,2,0,0,3,4,2,0,1,2,6,1,0,0,7,3,4,1,4,2,0,1,0,0,4,3,0,2,1,3,1,0,4,6,0,4,0,0,11,4,3,1,1,0,0,0,1,0,4,7,0,1761,1,7,"London : printed, by assignment from Mr. Knapton, for T. Osborne, G. Kearsley, H. Woodfall, W. Strahan, J. Rivington, R. Baldwin, W. Owen, W. Johnston, J. Richardson, B. Law and Co. G. Krith, T. Longman, T. Field, T. Caslon, S. Crowder, H. Woodgate, M. Cooper, and C. Ware and Son, M.DCC.LXI. [1761].",London,541,male,1661,1725,TRUE,"as ours, their admiral and rear admiral of the blue (who were in the rear ) cdoing the line , and their vice - admiral of the same division standing towards the rear of our fleet . About ten they bore down upon us with little wind ; and the"
1139400203_000021,"Lives of the admirals, and other eminent British seamen. Containing their personal histories, and a detail of all their public services. Including a new and accurate naval history from the earliest Account of Time; and, clearly proving by a continued Series of Facts, our uninterrupted Claim to, and Enjoyment of the Dominion of our Seas. Interspersed With many curious Passages relating to our Discoveries, Plantations, and Commerce. The whole supported throughout by proper Authorities. By John Campbell, Esq; ...",John Campbell,124,18,0,0,0,1,0,2,0,3,2,0,1,1,4,8,3,0,1,2,10,2,3,0,5,5,2,0,0,2,0,0,1,1,1,2,0,2,0,1,0,1,4,6,0,3,0,0,8,4,4,2,1,0,0,0,3,1,1,1,2,1748,3,4,"Dublin : printed for George and Alexander Ewing, at the Angel and Bible, and William Smith, at the Hercules in Dame-Street, and George Faulkner, in Essex-Street, MDCCXLVIII. [1748].",Dublin,337,male,1708,1775,FALSE,"to displace one of them. Upon this, the Flag officers and Captains drew up a very dutiful and loyal Address, dated from on Board the Britannia at St. Helens, May 15, 1692, which was the same Day transmittcd to Court , and on the next presented by the Lords of"
1272400300_000200,"The Remembrancer, or Impartial repository of public events. ... For the year ...",,106,6,3,2,2,2,0,3,0,2,1,2,0,0,0,6,2,0,1,0,1,1,3,2,4,0,0,1,2,0,1,0,1,2,7,1,0,2,3,2,0,1,2,2,1,5,1,0,5,4,5,1,0,0,0,4,3,3,1,3,0,1779,1,1,"London [England] : printed for J. Almon, opposite Burlington-House, in Piccadilly, M DCC LXXV. [1775]-1784.",,411,unknown,,,FALSE,"in hospital, 3 ditto on furloughi Total, 464 London Gazette, September 10, 1779 Admiralty Ofice, Sept. o1, 1779 yelrerday in the evening the Honourable vice - admiral Barrington, and Capt. Sawyer, of his majelt7's ship the Boyne, arrived at this offce with dispatches from the Honourable vice - admiral Byron,"
1040800129_000474,"The London magazine. Or, Gentleman's monthly intelligencer.",James Boswell,122,9,1,3,0,2,0,2,0,7,0,1,0,1,1,7,4,1,1,0,0,1,1,3,6,1,2,1,1,2,0,0,2,0,6,2,0,5,0,3,4,4,2,4,2,3,2,1,8,5,4,0,0,0,0,1,1,0,0,3,2,1747,1,1,"London [England] : printed for R[ichard]. Baldwin, jun. at the Rose in Pater-Noster-Row, [1747-1783].",London,770,male,1740,1795,TRUE,"Admiralty office . "" Captain Latham, late of his majesty.' ship the Tiger, arrived at Portsmouth, on the 9th inltnart in the Eaft india company's Ship the admiral Watson, with letters from vice admiral Paocck, giving the following account of the proceedings of his majesty's forces by sea and land"
1729600100_000052,"The Oriental miscellany: or, Authentic repository of all public events that have happened since the sailing of the East-India fleet in June 1781, to January 1782.",,108,4,0,2,0,4,1,2,1,1,2,0,0,0,0,5,1,0,0,0,5,2,3,3,1,1,1,1,1,3,0,0,0,1,8,0,1,1,0,1,2,2,2,1,0,11,1,3,6,5,3,2,3,2,0,0,1,2,1,2,3,1782,1,1,"London : Printed for J. Woodmason, MDCCLXXXII. [1782].",London,435,unknown,,,FALSE,"objett in consequence I made sail , dircaing our course to the northward, rinking the Dog ger bank in the parallel of flamborough head , about ao leagues difiant, deeming that quarter the moult likely to fall in with them. At ten o'clock yesterday morning saw them; they stood fur"
1309600103_000033,"The naval history of Great Britain; With the lives of the most illustrious admirals and commanders, deduced from the first establishment of the British marine, and interspersed with accounts of the most important discoveries made in the several parts of the world, from the earliest account of time to the year 1761. Containing particularly the lives of Sir Peter Warren, Admiral Edw. Vernon, Rt. Hon. Ed. Boscawen. With an account of the galtant actions of the admirals Lord Viscount Howe, Lord Hawke, Sir Charles Saunders, George Pocock, Richard Tyrrell. Likewise of the Captains Sir James Douglas, George Elliott, Coningshy Norbury, Arthur Forrest, James Gilchrist, John Lockart Ross. Ornamented with twenty-three copper plates, representing the most eminent naval commanders, with maps of the four quarters of the globe, and elegant engravings, by the most eminent artists, of the most signal engagements of the British Navy. Likewise an historical account of the conquests of Senegal, Goree, Guadaloupe, Quebec, &c. The whole being a compleat naval history, brought down to the reign of King George the Third. The second edition. By John Barrow, Esq; Vol. I.",John Barrow,100,12,0,3,2,1,0,2,2,4,4,1,0,1,0,2,2,0,1,0,1,2,4,0,3,2,1,4,1,0,1,0,3,2,1,1,1,0,1,0,0,0,2,5,2,7,0,1,2,3,1,2,1,0,0,1,4,0,2,2,0,1776,3,4,"London : Printed for T. Lowndes, No. 77, in Fleet-Street, MDCCLXXVI. [1776].",London,359,male,,,FALSE,"to make a descent on, or at least to alarn the coast of France, and sir George Byng G 2, a ANNE. as admiral , and lord Durfley as vice admiral were I; o8. appointed to command the fleet destined for that, * v"" purpose, and lieutenant general Erie had"
0428700203_000025,"The naval history of Great Britain; including the lives of the admirals, and other Illustrious Commanders and Navigators, Who have contributed to spread the Fame, and increase the Power of the British Empire; from the earliest times to the rupture with Spain in 1779. Describing the Origin and Progress of the British Power at Sea;-The Extension of its Commerce;-Its Foreign Conquests;-And the Establishment and Growth of its Colonies: the Naval expeditions and Sea-Fights In every Period of the English History; And particularly recording the Glorious Achievements of the Last War. With a copious and well-digested index. By Frederic Hervey, Esq; and others. In five volumes. ...","Hervey, Frederic",128,14,0,1,2,4,0,0,0,7,1,1,0,0,4,8,3,1,0,1,2,1,2,0,8,3,0,0,1,0,0,0,0,1,5,1,1,0,2,3,0,1,0,5,2,5,1,0,18,2,1,3,1,0,0,0,3,5,1,3,0,1780,3,4,"London : printed by William Adlard, Fleet-Street; for J. Bew, No. 28, Pater-Noster Row, MDCCLXXX. [1780]-83.",London,487,male,,,FALSE,"superior to any which the English possessed in those parts, greatly alarmed all the islands. In February news was brought that the French fleet , consisting of forty sail , with three flags, had been seen off Porto rico to the southwest. Soon after more certain intelligence was obtained, by"
0988400102_000145,"Lives of the British admirals: containing a new and accurate naval history, from the earliest periods. By Dr. J. Campbell. With a continuation down to the year 1779, ... Written under the inspection of Doctor Berkenhout. The whole illustrated with correct maps; and frontispieces ... In four volumes. ...",John Campbell,109,13,0,1,0,1,0,3,1,2,3,2,1,0,4,2,2,0,1,1,5,2,2,1,6,3,0,2,2,1,2,0,1,0,1,1,0,1,0,0,1,1,5,2,2,3,4,2,4,2,7,0,0,1,1,0,2,3,0,2,0,1779,2,4,"London : printed for Alexander Donaldson, 1779.",London,568,male,1708,1775,FALSE,"whichk was to put to sea by the end of May : this they atu ally did, and, though they were forced by contrary winds to put back again to that'road, yet on the 12th of June they put to sea in three squadrons , each lquadron being divided into"
0003901000_000006,"A compleat history of French invasions, from the Revolution to the present time. Containing a particular account of the intended descent in 1690, after the Battel [sic] of Beachy Head. ... Collected from manuscript as well as printed authorities.",,118,14,1,3,0,0,1,0,2,2,1,1,0,1,4,5,3,0,0,3,8,2,1,2,7,1,2,1,0,2,3,0,0,0,1,3,0,2,0,1,0,0,8,4,0,2,1,2,8,4,5,2,1,0,0,0,0,1,1,1,1,1744,1,1,"London : printed for J. Roberts, 1744.",London,54,unknown,,,FALSE,"a Report, which had been spread of the Junction [25] Juntion of the Englif/ and Dutch Fleets was false, they thought it absolutely necessary to diipatch Sir Adam Blair to France, with an assurance that this News was false, to prevent the French King's recalling his Orders . Before Sir"
