PassageID,Title,Author,Total termFreq,termFreq(adam),termFreq(america),termFreq(american),termFreq(armi),termFreq(assembl),termFreq(author),termFreq(bodi),termFreq(boston),termFreq(britain),termFreq(british),termFreq(burk),termFreq(charter),termFreq(coloni),termFreq(colonist),termFreq(congress),termFreq(constitut),termFreq(continent),termFreq(countri),termFreq(crown),termFreq(declar),termFreq(england),termFreq(foreign),termFreq(franklin),termFreq(gener),termFreq(govern),termFreq(governor),termFreq(hancock),termFreq(hous),termFreq(independ),termFreq(intoler),termFreq(king),termFreq(liberti),termFreq(massachusett),termFreq(parliament),termFreq(patriot),termFreq(peopl),termFreq(power),termFreq(principl),termFreq(provinc),termFreq(rebellion),termFreq(right),termFreq(state),termFreq(taxat),termFreq(tea),termFreq(time),termFreq(treason),termFreq(troop),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0488800101_000067,"The history of the American revolution. By David Ramsay,... A new edition. In two volumes. ...",David Ramsay,76,0,2,2,0,1,0,0,1,5,3,0,6,6,1,0,3,0,1,2,1,0,0,6,0,2,0,0,1,0,0,0,3,4,7,0,1,3,1,3,0,1,1,0,4,1,0,1,3,1793,1,2,"London : printed for John Stockdale, 1793.",London,368,male,1749,1815,FALSE,"to Great Britain , Dr. Fothergill replied, "" that she had been unjust, and ought to bear the consequences, and alter her conduca that the pill might be bitter, but it would be salutary and must be swallowed; that sooner or later these or similar meafires mulf be followed, or"
1093300200_000225,"A new geographical, historical, and commercial grammar: and present state of the several Kingdoms of the World. Containing I. The Figures, Motions, and Distances of the Planets, according to the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, Curiosities, Seas, Rivers, &c. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature, since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, and Taxes. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude Bearings, and Distances of principal Places from London. To which are added, I. A geographical index, with the names of Places alphabetically arranged. II. A Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. To Which Have Been Added The late Discoveries of Dr. Herschell, and other eminent Astronomers. Illustrated with a correct set of maps.",William Guthrie,90,0,4,7,1,4,0,4,4,2,1,0,2,7,0,5,0,2,0,2,0,3,0,1,5,2,1,0,5,0,0,3,0,0,5,0,3,0,0,1,0,1,0,1,0,4,0,6,4,1799,1,1,"Montrose : printed for Da. Buchanan, & Jas. Morison, sold by them, J. Fairbairn, A. Constable, Edinburgh; W. Coke, Leith; J. Gillies, & J. Duncan, Glasgow and the booksellers of Dundee, Aberdeen, &c, M,DCC,XCIX. [1799].",Montrose,1120,male,1708,1770,FALSE,"should be held in the same place on the loth ds May following, unless the grievances of which they complained Ihduld be redressed before that time ; and they recommended to all the colonies to choose deputies, as fooi6 as pnffible, for that purpose. Shortly after there events, rome medfures"
1544300100_000230,"A new geographical, historical, and commercial grammer; and present state of the several kingdoms of the world. Containing I. The figures, motions, and distances of the planets, according to the Newtonian system, and the latest observations. II. A general view of the Earth, considered as a planet; with several useful geographical definitions and problems. III. The grand divisions of the globe into land and water, continents and islands. IV. The situation and extent of empires, kingdoms, states, provinces, and colonies. V. Their climate, air, soil, vegetable productions, metals, minerals, natural curiosities, seas, rivers, bays, capes, promontories, and lakes. VI. The birds and beasts peculiar to each country. VII. Observations on the changes that have been any where observed upon the face of nature, since the most early periods of history. VIII. The history and origin of nations: their forms of government, religion; laws, revenues, taxes, naval and military strength; orders of knighthood; &c. IX. The genius, manners, customs, and habits of the people. X. Their language, learning; arts, sciences, manufactures, and commerce. XI. The chief cities, structures, ruins, and artificial curiosities. XII. The longitude, latitude, bearings, and distances of principal places from London. To which are added, I. A geographical index, with the names of places alphabetically arranged. II. A table of the coins of all nations, and their value in English money. III. A chronological table of remarkable events from the creation to the present time. By William Guthrie, Esq. the astronomical part by James Ferguson, F.R.S. To which have been added; the late discoveries of Dr. Herschell, and other eminent astronomers. Illustrated with a correct set of maps, engraved from the most recent observations and draughts of geographical travellers.",William Guthrie,80,0,6,2,0,1,0,0,3,3,0,0,2,8,1,4,1,0,2,3,0,4,0,0,2,4,2,0,2,0,0,4,0,4,1,0,3,1,0,6,0,2,1,1,1,3,0,2,1,1796,1,1,"London : Printed for Charles Dilly, in the Poultry; and G.G. and J. Robinson, in Pater-Noster Row, M.DCC.XCVI. [1796].",London,1037,male,1708,1770,FALSE,"from an apprehension of cianger, returned a: .ain to England with their cargoes. At New York, indeed, the tea was landed under the cannon of a man of war . But the persons in the service of government there were obliged to consent to its being locked up from use."
0684800700_000006,"The American and British chronicle of war and politics; being an accurate and comprehensive register of the most memorable occurrences in the last ten years of his Majesty's reign: ... from May 10, 1773, to July 16, 1783. ...",E. I. S.,104,1,6,2,2,1,0,0,7,5,3,0,0,2,0,22,0,4,0,2,5,2,0,0,14,2,3,1,0,0,0,3,0,2,1,0,3,0,0,2,0,0,2,0,0,0,0,4,3,1783,1,1,"London : printed for the author, [1783].",London,123,unknown,,,FALSE,"on both fides were killed and wounded. 20 Sailed from Portsmouth the Cerberus frigate, with Generals Howe, Clinton, and Bourgogne, for Borcon. Provincial Convention at New York meet to choose Delegates to general Congress . - Lord Dunmore removes the public flores in the night from Williamsburg on board armed"
0115100101_000160,"The American universal geography, or, A view of the present state of all the empires, kingdoms, states, and republics in the known world, and of the United States in particular. In two parts. ... The whole comprehending a complete and improved system of modern geography. Calculated for Americans. Illustrated with twenty-eight maps and charts. By Jedidiah Morse, D.D. Minister of the congregation in Charlestown. Published according to act of Congress. Part I[-II].",Jedidiah Morse,83,0,1,5,0,2,0,0,3,2,2,0,1,7,0,4,1,1,2,3,3,1,0,0,5,4,2,0,0,0,0,2,1,3,7,1,6,0,0,4,0,4,2,0,0,3,0,0,1,1796,1,2,"Printed at Boston : by Isaiah Thomas and Ebenezer T. Andrews. Sold at their bookstore, Faust's Statue, no. 45, Newbury Street; by said Thomas, in Worcester; by S. Campbell, in New York; by M. Carey, in Philadelphia; by Thomas, Andrews and Butler, in Baltimore; and by other booksellers in different parts of the United States, June, 1796.",Boston|New York.|Worcester.,833,male,1761,1826,FALSE,"of the war , were more frequent than usual, and were attended with uncommon fervour and solemnity. They were considered by the people , as an humble appeal to Heaven for the justness of their caife, and designed to manifest their depende ence on the god OF HOSTS for aid"
0099001100_000013,"An appeal to reason and justice, in behalf of the British constitution, and the subjects of the British empire. In which the present important contest with the revolted colonies is impartially considered, the inconsistency of modern patriotism is demonstrated, the supremacy of Parliament is asserted on Revolution Principles, and American independence is proved to be a manifest violation of the rights of British subjects. To which is added, an appendix, containing remarks on a pamphlet intitled, ""thoughts on the present state of affairs with America."" By William Pulteney, Esq.",,108,0,2,6,0,1,4,1,0,2,4,0,5,4,1,2,6,0,1,1,7,1,0,0,1,8,0,0,1,8,0,7,4,0,7,2,1,5,3,0,6,4,0,0,0,1,0,0,2,1778,1,1,"London : printed for W. Nicoll, No. 51, St. Paul's Church-Yard, MDCCLXXVIII. [1778].",London,178,unknown,,,FALSE,"tenure. A charter itself however beneficial to those who receive it, is an undeniable evidence of abjolxte power in the grantor. Every extension of freedom is e teemed by the sovereign an a of indulgence, which he has a right to withhold, and his sub jes must receive as favours,"
0702300600_000013,"An appeal from the new to the old Whigs, in consequence of some late discussions in Parliament, relative to the Reflections on the French revolution.",Edmund Burke,74,0,4,9,2,2,2,2,2,2,0,6,1,1,1,0,1,0,2,1,1,4,3,2,1,1,0,0,0,0,0,1,3,0,1,0,2,1,1,0,1,2,3,1,0,4,0,1,3,1791,1,1,"London : printed for J. Dodsley, Pall-Mall, M.DCC.XCI. [1791].",London,140,male,1729,1797,TRUE,"the authority of the crown , and to break their connexion with the parent country . This Mr. Burke never believed. When he moved his second conciliatory proposition in the year 1776, he entered into the difcufilon of this point at very great length; and from nine several heads ofprefumption,"
1510800200_000001,"Extracts from the votes and proceedings of the American Continental Congress, at Philadelphia on the 5th of September 1774. Containing the bill of rights, a list of grievances, occasional resolves, the Association, an address to the people of Great Britain, and a memorial to the inhabitants of the British American colonies.","Green, Frederick",85,0,3,4,1,1,0,1,0,1,4,0,1,7,1,3,2,2,2,2,1,4,0,0,1,3,0,0,0,0,0,1,5,0,4,0,5,4,1,4,0,10,1,1,0,3,1,0,1,1774,1,1,"Annapolis : Printed by Anne Catharine Green, and Son, M,DCC,LXXIV. [1774].",Annapolis,47,male,1750,1811,FALSE,"EXTRACTS FROM THE VOTE SAND PROCEEDINGS OF THE AMERICAN CONTINENTAL CONGRESS . cf44^ XT #WS4 4? T? Q EXTRACTS FROM THE VOTES and PROCEED INGS Of the AMERICAN CONTINENTAL CONGRESS , Held at PHILADELPHIA on the 5th of September, 1774 C O N T I N I N G The"
0183200201_000035,"The history of the American revolution. By David Ramsay, ... In two volumes. ...",David Ramsay,69,0,3,6,1,1,0,0,1,5,3,0,1,4,2,0,2,0,5,1,0,0,0,2,1,0,2,0,0,2,0,1,1,2,3,0,1,1,0,1,0,7,0,1,8,1,0,0,0,1790,1,2,"London : printed in the year, 1790.",London,372,male,1749,1815,FALSE,"pleadings, inc'; : against Dr. Franklin , in the fcverciti language, as ilth nrinter of the difpucts between : he two countri ;. was no protection to this venerable sage, that being the agent of Massachusetts , he conceived it his duty to inform his constituents, of letters, written on"
0488800101_000042,"The history of the American revolution. By David Ramsay,... A new edition. In two volumes. ...",David Ramsay,69,0,2,3,1,1,1,0,5,7,1,0,1,8,4,0,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,2,1,3,2,6,3,0,3,0,2,1,1,2,1,0,0,1,1793,1,2,"London : printed for John Stockdale, 1793.",London,368,male,1749,1815,FALSE,"all the affairs of the province , except taxation , which council thould be appointed by the Crown to make; the office to be held during pleasure, and his Majesty's Roman Catholic subjects to be entitled to a place thereinto eftablith the French laws, and a trial without jury in"
0116600100_000261,"A new system of modern geography: or, a geographical historical, and commercial grammar; and present state of the several kingdoms of the world. Containing, I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climates, Air, Soil vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To Which Are Added, I. A Geographical Index, with the Names and Places alphabetically arranged. II. A Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S.",William Guthrie,83,0,7,7,0,3,0,0,2,5,1,0,2,11,0,6,0,0,1,0,0,2,1,1,3,1,0,0,4,1,0,3,2,0,5,0,1,0,0,2,0,2,1,1,1,3,0,3,1,1786,1,1,"London : printed for C. Dilly In The Poultry; and G. G. J. and J. Robinson, Pater Noster Row, MDCCLXXXVI. [1786].",London,1012,male,1708,1770,FALSE,"and the other late obnoxious laws, were repealed, and the colony of Massachuset's Bay fully restored to its chartered rights . Other transactions succeeded; and the flame continued to increase and extend in America , till at length twelve of the colonies , including that whole extent of country which"
0488800101_000078,"The history of the American revolution. By David Ramsay,... A new edition. In two volumes. ...",David Ramsay,70,0,0,1,3,2,2,1,1,6,2,0,2,5,0,6,0,1,2,1,2,0,1,1,3,4,1,0,0,2,0,1,1,1,1,0,2,3,2,2,0,1,4,0,0,1,0,0,2,1793,1,2,"London : printed for John Stockdale, 1793.",London,368,male,1749,1815,FALSE,"sound policy; to support them would make the war general , and involve all the provinces in one general promiscuous state of hostility. The resolution of the people in favour of the latter was fixed, and only wanted public fanaion for its operation. Congress therefore resolved, "" that for the"
0514800200_000065,"A general history of Connecticut, from its first settlement under George Fenwick, Esq. To Its Latest Period of Amity with Great Britain; Including A Description Of The Country, And many curious and interesting Anecdotes. To which is added, An Appendix, wherein new and the true Sources of the present Rebellion in America are pointed out; together with the particular Part taken by the People of Connecticut in its Promotion. By a gentleman of the province.",Samuel Peters,71,0,8,4,0,0,1,0,0,3,1,0,3,4,0,2,0,1,2,0,1,3,0,1,2,2,0,1,0,1,1,4,2,0,3,0,6,2,0,0,1,2,1,1,5,2,1,0,0,1781,1,1,"London : printed for the author; and sold by J. Bew, No. 28, Pater-Noster-Row, MDCCLXXXI. [1781].",London,453,male,1735,1826,FALSE,"glorious purposes, request the afiftance of their christian brethren of Conncssicut agailft the mighty enemies of the American Vine, who accordingly repaired thither under the condua of Waterbury and Wooster, two villains that were coinc.: vcd in sin aad A P P E N D IX but all their arguments"
0151301600_000001,"Extracts from the votes and proceedings of the American Continental Congress, held at Philadelphia on the 5th of September 1774. Containing the bill of rights, a list of grievances, occasional resolves, the Association, an address to the people of Great-Britain, and a memorial to the inhabitants of the British American colonies. Published by order of the Congress.",United States. Continental Congress,79,0,2,3,1,0,0,1,1,1,1,0,1,7,2,3,1,2,1,2,0,3,0,0,1,3,0,0,0,0,0,1,5,0,5,0,5,4,2,4,0,11,1,1,0,3,1,0,0,1774,1,1,"[Boston] : Philadelphia: printed. Boston: re-printed by Edes and Gill, in Queen Street, and T. and J. Fleet, in Cornhill, M,DCC,LXXIV. [1774].",Boston,38,unknown,,,FALSE,"EXTRACTS FROM THE VOTES and PROCEEDINGS OF THE A A MERICAN CONTINENTAL . C N G R E SS. ... .....:. . a > ^.., >..,,,; :,,, ^ .-,.,,,, : .:,, S,, b.': .':,,, ^; *.,, :, r: i: ""- EX T RA CTS FROM THE VOTES and PROCEEDINGS Of"
1058301400_000006,"The american oracle. Comprehending an account of recent discoveries in the arts and sciences, with a variety of religious, political, physical, and philosophical subjects, Necessary to be known in all families, for the Promotion of their present felicity and future happiness. By the Honourable Samuel Stearns, LL.D. and doctor of physic; Astronomer to his majesty's provinces of Quebec, and new brunswic; also to the commonwealth of massachusetts, and the state of vermont, in America.","Stearns, Samuel",94,0,5,5,2,0,0,1,6,1,3,0,1,4,0,1,1,1,1,2,1,6,0,0,1,5,1,0,2,0,0,10,0,4,12,0,6,1,0,0,0,2,0,0,2,2,0,2,3,1791,1,1,"London : printed for, and sold by, J. Lackington, No. 46 and 47, Chiswell-Street, Moorfields ; and J. Parsons, No. 21, Pater-Noster-Row, London, 1791.",London,655,male,1741,1809,FALSE,"the British empire. 1764 Parliament grants o, oool. to Mr. Harrison for his discovery of longitude by his time piece. i765. A Society of Artists incorporated in England . Stamp a passed. The Americans oppose it. The merchants enter into a non importation agreement. Society of Arts, Manufaatures and Commerce,"
1345800200_000046,"An American selection of lessons in reading and speaking. Calculated to improve the minds and refine the taste of youth. And also to instruct them in the geography, history, and politics of the United States. To which are prefixed, rules in elocution, and directions for expressing the principal passions of the mind. Being the third part of A grammatical institute of the English language. To which is added, an appendix, containing several new dialogues. By Noah Webster, Jun. Esquire, author of ""Dissertations on the English language,"" ""Collection of essays and fugitive writings,"" &c.","Butler, Samuel",80,0,4,3,0,1,0,1,8,3,3,0,0,6,0,1,1,0,4,0,1,0,0,0,5,1,1,0,0,1,0,1,1,2,4,0,5,0,0,3,0,1,2,2,4,2,0,5,4,1797,1,1,"Printed at Boston : by Isaiah Thomas and Ebenezer T. Andrews, at Faust's Statue, no. 45, Newbury Street. Sold, wholesale and retail, at their bookstore; by said Thomas, in Worcester; by Thomas, Andrews & Penniman, in Albany; and by Thomas, Andrews & Butler, in Baltimore, --1797.",Boston|Worcester.|Albany.|Baltimore.,240,male,1765,1827,FALSE,"seat of government .. 20 Vermont conducted its military operations, dur;; the war , independent of the United States -- raised .and paid its own troops emitted and rcdeemed bills of .credit, and, paid its own debts.; ENGLISH PROVINCES . 21 Canada, ori the north los the United States ,"
