PassageID,Title,Author,Total termFreq,termFreq(1757),termFreq(1758),termFreq(america),termFreq(armi),termFreq(attack),termFreq(austrian),termFreq(bohemia),termFreq(britain),termFreq(british),termFreq(brunswick),termFreq(camp),termFreq(campaign),termFreq(cannon),termFreq(command),termFreq(countri),termFreq(cumberland),termFreq(daun),termFreq(dominion),termFreq(duke),termFreq(elector),termFreq(empir),termFreq(england),termFreq(english),termFreq(europ),termFreq(ferdinand),termFreq(forc),termFreq(franc),termFreq(frederick),termFreq(french),termFreq(gener),termFreq(germani),termFreq(hanov),termFreq(hungari),termFreq(imperi),termFreq(invad),termFreq(kill),termFreq(king),termFreq(lost),termFreq(majesti),termFreq(marshal),termFreq(militari),termFreq(order),termFreq(peac),termFreq(poland),termFreq(pragu),termFreq(princ),termFreq(prison),termFreq(prussia),termFreq(prussian),termFreq(queen),termFreq(repuls),termFreq(russia),termFreq(russian),termFreq(saxoni),termFreq(sieg),termFreq(silesia),termFreq(territori),termFreq(thousand),termFreq(treati),termFreq(troop),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_passages
0072400118_000423,"The works of M. de Voltaire. Translated from the French. With notes, historical and critical. By Dr. Smollet, and others. ...",Voltaire,94,0,0,0,10,2,2,0,0,0,0,0,0,0,2,2,1,1,0,2,1,0,2,0,1,0,1,1,1,3,3,3,1,1,0,1,1,9,3,0,0,1,3,0,4,4,4,0,2,4,3,1,0,1,1,0,1,1,1,0,5,4,1761,18,25,"London : printed for J. Newbery, R. Baldwin, W. Johnston, S. Crowder, T. Davies, J. Coote, G. Kearsley, and B. Collins, at Salisbury, MDCCLXI. [1761].",London,2133,male,1694,1778,TRUE,"The king of Poland , having thus lost his ele: orate and his army , was necessitated to ap pfl to his enemy lor passports, to carry hint into Poland , which were very readily granted; and arll they had moreover the inulting politeness to furnish him with port horles."
1698700102_000107,"The history of modern Europe. Part II. From the peace of Westphalia, in 1648, to the peace of Paris, in 1763. With a view of the progress of society during the present century. In a series of letters from a nobleman to his son.",William Russell,96,0,0,0,4,0,2,4,0,1,0,0,2,0,3,1,0,0,2,3,1,1,0,1,0,0,3,4,1,2,3,2,0,4,2,0,0,9,1,0,3,0,3,0,1,1,8,0,5,3,3,0,0,0,1,1,1,0,5,2,2,1,1784,2,2,"Dublin : Printed by John Exshaw, Grafton-Street, MDCCLXXXIV. [1784].",Dublin,688,male,1741,1793,FALSE,"king of Sweden, as landgrave of Hesse Cassel, and the eletor Palatine. The declared objea of this treaty was, to reffore the imperial dignity and the tranquillity of Germany ; the contrating powers engaging, either to persuade or oblige the queen of Hungary , to acknowledge the title of Charles"
0606100100_000875,"A new and complete history of England, from the earliest period of authentic intelligence to the present time. Wherein every interesting Transaction, relating to War or Peace, Laws or Government, Policy or Religion, Is Impartially recited; The Noble Super Structure Of The British Constitution Fully Described, And Traced From Its Original Foundation: The Characters Of The Most Eminent Persons Are Impartially Drawn, And Their Genius And Learning, Their Virtues And Their Vices, Properly Displayed. Together With A Circumstantial History Of Literature, And The Progress Of The Arts In This Kingdom, From Their First Introduction To The Present Period Of Elegant Improvement. By Temple Sydney, Esq. Embellished and illustrated with upwards of one hundred copper plates, engraved in the most masterly Manner, from the Drawings of the ingenius Mr. Wale, by those capital English Artists, Grignion, Walker, Rennoldson, and Taylor.","Sydney, Temple",100,0,0,2,2,2,3,1,1,0,0,2,0,1,6,1,0,0,1,0,0,0,6,1,0,0,7,1,0,2,3,0,2,2,0,0,1,11,0,1,0,2,3,1,2,1,7,2,4,3,2,0,0,0,2,0,2,2,3,2,2,1,1775,1,1,"London : printed for J. Cooke, at Shakespear's-Head, in Pater-Noster Row, MDCCLXXV [1775].",London,819,unknown,,,FALSE,"which was done that prince Charles might be led into a snare. This itratagem had the desired effect; for the Aulfrians being taken off their guard, and lulled into security, the Prufians attacked them with such fury, that although prince Charles and the prince of. Saxe Weiffenfells did all that"
1505800300_000022,"Modern Europe: or, A compendious history of the kingdoms and states in Europe; containing what is remarkable relating to their respective governments, land and sea-forces, metropolises, universities, number of inhabitants, trade, religion, genius, language, interests and views. With a clear and concise history of the House of Bourbon in France; its views, intrigues and influence in all the courts of Europe. To which are added, several new, useful, political and historical tables, with a map of Europe. Dedicated to the Right Hon. William Pitt, Esq;.",Joseph Smeeton,106,0,0,0,3,1,4,3,0,0,0,0,0,0,1,1,0,0,2,2,0,1,1,1,0,0,3,10,1,9,5,3,0,4,0,0,0,5,1,3,4,1,2,6,0,2,4,0,2,5,4,0,0,1,1,1,1,1,1,0,3,3,1757,1,1,"London : printed for Edward Dilly, at the Rose and Crown in the Poultry near the Mansion House, M DCC LVII. [1757]",London,153,male,,,FALSE,"Conquerors; but mhe preserved her Firmness of Mind in the midst of this great Distress and general Conifternation. Yet in this Extremity the House of Austria was wonderfully saved; for Cardinal Fleury, being jealous, of the Power of Prussia , gave secret Orders to Marshal Broglio to spare the French"
1050900100_000337,"A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System, and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geogragraphical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature, since the most early Periods of History. Viii. The History and Origin of Nations: their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength, Orders of Knighthood, &c. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A geographical index, with the Names of Places alphabetically arranged. II. A table of the coins of all nations, and their Value in English Money. III. A chronological table of remarkable events from the creation to the present time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S. To which have been added the late discoveries of Dr. Herschell, and other eminent Astronomers. Illustrated with a Correct Set of Maps, Engraved from the most recent Observations and Draughts of Geographical Travellers. The fifteenth edition, corrected, and considerably enlarged.",William Guthrie,97,0,0,0,3,1,2,4,1,0,0,0,0,0,0,1,0,0,3,3,3,1,0,1,2,0,1,4,0,4,3,0,2,4,3,1,0,5,0,6,0,0,0,2,3,2,6,0,3,3,7,0,1,0,3,0,5,0,0,2,0,2,1795,1,1,"London : printed for Charles Dilly, in the Poultry; and G.G. and J. Robinson, in Pater-Noster Row, MDCCXCV. [1795].",London,1029,male,1708,1770,FALSE,"continue the war ; but found himself unable, now that he was forsaken by the Englifll. He therefore was obliged to conclude a peace with France at Baden, in 1714, that he might attend the progress of the Turks in Hungary , where they received a total defeat from prince"
0487000200_000081,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed as to render the study of geography both entertaining and instructive. Containing, I. A Description of the Figure and Motion of the Earth. II. Geographical Definitions and Problems, being a necessary Introduction to this Study. III. A general Definition of the Globe into Land and Water. IV. The Situation and Extent of the several Countries contained in each Quarter of the World; their Cities, Chief Towns, History, Present State, respective Forms V. Government, Force, Revenues, Taxes, Revolutions and Memorable Events. Together with An Account of the Air, Soil, Produce, Traffic, Curiosities, Arms, Religion, Language, Universities, Bishoprics, Manners, Customs, Habits, and Coins, in Use in the several Kingdoms and States described. By Mr. Salmon. Illustrated With a Set of Twenty-Three New Maps of the several Countries, Drawn by the Direction of Mr. Salmon, and Engraved by Mr. Jeffarys, Geographer to His Majesty. The eleventh edition, with very great additions and improvements brought down to the present times.",Thomas Salmon,111,0,1,0,12,6,1,1,1,0,0,2,0,1,3,0,0,1,0,1,3,4,0,0,0,2,1,2,0,6,7,2,1,1,2,0,4,10,2,0,4,1,0,1,1,0,16,1,0,1,1,1,0,0,2,0,1,1,0,1,0,2,1769,1,1,"London : printed for W. Johnston, in Ludgate Street ; W. Strahan; J. Hinton; R. [B]aldwin; L. Hawes W. Clarke. and R. Collins; S. Crowder; T. Caslon; T. Longman; B. Law; T. Lowndes; J and T. Pote; Z. Stuart; W. Nicoll; G. Rodinson and J. Roberts; T. Cadell, and S. Bladon, 1769.",London,656,male,1679,1767,FALSE,"the Emperor, the nine Elecors, and the Ecclefiafticil Princes , wri. Archbishops, Bithops, Abbots and Abbefles; the Secular Princes , who are Dukes , Marquises, Counts, Viscounts, or Barons; and the Representatives of the Imperial Cities, which are so many Republics, governed by their refpecive Senates and Magiftlates. The Diet"
0018300500_000027,"Continuation of the Complete history of England. By T. Smollett, M.D. Volume the second.",Tobias Smollett,102,3,0,0,4,3,3,2,1,0,1,0,0,0,1,1,1,1,4,1,2,6,2,0,1,0,3,2,0,4,1,4,3,0,0,0,1,7,0,7,0,0,2,0,0,1,4,0,3,3,3,0,0,0,2,0,0,0,7,0,3,5,1767,1,1,"London : printed for R. Baldwin, in Pater-Noster-Row, MDCCLXVII. [1767].",London,491,male,1721,1771,TRUE,"Bohemia . With respect to the attack at Kolin, his majesty himself has generously given up that measure; and to this alone, perhaps, are we to attribute the subsequent misfortunes, and the duration of the war . However, we hall not venture to reflect upon operations in which it would"
0497600105_000010,"The history of modern Europe. With an account of the decline and fall of the Roman Empire: and a view of the progress of society, from the rise of the modern Kingdoms to the peace of Paris, in 1763. In a series of letters from a nobleman to his son.",William Russell,107,0,0,2,10,0,3,0,1,2,0,1,0,3,5,0,0,1,1,4,0,0,1,0,1,4,5,1,0,12,5,1,2,0,0,0,0,4,0,1,1,2,1,1,0,0,7,1,6,6,0,0,0,0,1,0,2,1,2,2,2,2,1794,5,5,"London : printed for G.G. and J. Robinson, Paternoster-Row, 1794.",London,494,male,1741,1793,FALSE,"cannon of tade - ibid. Signs the Convention of clofter feven, [Sept. 8.] 244 Purport of that Convention, and difputesrelative toit lb. The French having made themselves maters of the Elcto. rate of Hanover , turn their forces next against the dominions of the king of Prussia - 24 Afailed"
0125800600_000106,"A new geographical and historical grammar; containing the true astronomical and geographical knowledge of the terraqueous globe: and also the modern state of the several kingdoms of the world; under these four heads: I. The Astronomy of the Solar System, and particularly of the Earth. I. [sic] Universal geography, shewing the divers circumstances relating to the earth, water, and atmosphere. III. Geographical elements, exemplified in definitions, problems, theorems, and paradoxes. IV. Particular geography, concerning the natural and political parts of Europe, Asia, Africa, and America; wherein the climate, productions, and people; the customs, policy, manufactures, and traffic; the religion, strength, history, and other particulars, of all nations, are treated of, in a manner tending to render the study of geography entertaining and instructive. Illustrated with twenty-five maps and plates elegantly executed. By Mr. Salmon. The twelfth edition, with great amendments and improvements by Mr. Robertson.",Thomas Salmon,96,0,0,0,10,3,1,3,1,0,1,1,0,1,0,0,0,1,1,0,0,2,0,0,1,2,0,2,0,4,6,2,0,2,1,0,4,11,2,0,3,0,0,1,3,1,7,2,3,3,1,0,0,1,3,0,3,0,0,1,0,2,1772,1,1,"London : printed for C. Bathurst; W. Strahan; J. and F. Rivington; W. Johnston; J. Hinton; K, Hawes, W. Clarke, and R. Collins; T. Davies; S. Crowder; T. Longman; T. Caslon; B. Law; T. Lowndes; J. and T. Pote; L. Stuart; W. Nicoll; G. Robinson; T. Cadell; and R. Baldwin, MDCCLXXII. [1772].",London,733,male,1679,1767,FALSE,"obqtinate engagement, and a very g; ea: ilaughter on bota fides, the Prussians were oblired to retreat. September 21 The army of the empire was defeated by the Prussian General Fink, at Koilitz near Drefdcn. .ho says, in his account to the King of Pruila, that the fitld of battle"
0271600200_000022,"Modern Europe: or, a compendious history of the kingdoms and states in Europe ; Containing what is remarkable relating to their respective Governments, Land And Seaforces, Metropolises, Universities, Number Of Inhabitants, Trade, Religion, Genius, Language, Interests And Views. With a clear and concise history of the House of Bourbon in France ; its Views, Intrigues and Influence in all the Courts of Europe. To which are added, several New, Useful, Political and Historical tables, with a map of Europe. Dedicated to the Right Hon. William Pitt, Esq;",Joseph Smeeton,97,0,0,0,2,2,3,3,0,0,0,0,0,0,2,1,0,0,2,2,1,1,2,1,1,0,2,10,1,5,4,3,0,3,0,0,2,6,1,2,1,1,1,5,0,2,5,0,0,1,3,0,1,1,1,1,2,1,3,0,2,4,1757,1,1,"London : printed for Edward Dilly, at the Rose and Crown in the Poultry near the Mansion-House, MDCCLVII. [1757].",London,149,male,,,FALSE,"King of prlg/a had now made a glorious Peace , and enlarged his Dominions with the fine Country of Silesia . The French Army in Bohemia , abandoned by the Pruf sians sians and Saxons, shut themselves up in Prague , where after a close Siege , wherein they underwent"
0390500200_000339,"A new geographical, historical, and commercial grammar; and present state of the several Kingdoms of the world. Containing I. The figures, motions, and distances of the planets, according to the Newtonian System, and the latest Observations. II. A general View of the Earth, considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, Vegetable Productions, Metals, Minerals, Natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any-where observed upon the Face of Nature, since the most early Periods of History. Viii. The History and Origin of Nations, their Forms of Government, Religion, Laws, Revenues, Taxes, Naval and Military Strength, Orders of Knighthood, &c. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The longitude, latitude, bearings, and distances of principal places from London. To which are added, I. A geographical index, with the Names of Places alphabetically arranged. II. A Table of the Coins of all Nations, and their Value in English Money. III. A chronological table of remarkable Events, from the Creation to the present Time. By William Guthrie, Esq. The astronomical part by James Ferguson, F. R. S. To Which Have Been Added The Late Discoveries Of DR. Herschel, And Other Eminent Astronomers. Illustrated with A Correct Set Of maps, Engraved From The Most Recent Observations And Draughts Of Geographical Travellers. The eighteenth edition, corrected and considerably enlarged.",William Guthrie,95,0,0,0,3,2,1,2,1,0,0,0,0,0,0,1,0,0,2,5,2,1,0,1,2,0,1,3,0,4,3,1,3,3,4,1,0,6,0,3,0,0,0,2,3,2,5,0,3,2,8,0,1,0,3,0,5,0,0,3,1,2,1800,1,1,"London : printed for G.G. and J. Robinson, In Pater-Noster-Row; and J. Mawman (successor to Mr. Dilly) In The Poultry : by S. Hamilton, Falcon-Court, Fleet-Street, 1800.",London,1098,male,1708,1770,FALSE,"at the battle of Peterwaradin. They received another, of equal impoltance, from the same general , in 1717, before Belgrade, which fell into the hands of the imperialists; and the following year the peace of Palirowitz, between them and the Tnrks, was concluded. Charles was 2 M 3 GERMANY ."
0548200105_000119,"The history of modern Europe. With an account of the decline and fall of the Roman Empire, and a view of the progress of society. From the rise of the modern kingdoms to the Peace of Paris, in 1763. In a series of letters from a nobleman to his son. A new edition, enlarged and greatly improved. ...",William Russell,85,0,1,0,8,1,2,1,0,1,0,0,3,0,0,0,0,0,1,1,1,4,1,2,0,3,5,2,1,5,2,1,1,0,0,0,0,4,2,1,1,4,1,2,1,0,4,0,3,1,0,0,1,3,2,0,2,0,1,0,3,2,1786,5,5,"London : printed for G.G.J. and J. Robinson, Paternoster-Row; J. Robson, New Bond-Street; A. Hamilton, jun. Falcon-Court, Fleet-Street; J. Walter, Charing-Cross; and J. Sewell, Cornhill, 1786.",London,563,male,1741,1793,FALSE,"d'acld, XX he was not able to prevent the loss of Cudalore and Fort A. D. j St. David. These two places were reduced by the count de Lally; who, having been appointed governor gene ral of all the French possessions in India, had carried out with him a great"
0550600103_000021,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,105,0,0,0,6,2,1,1,2,0,0,1,0,1,2,0,0,0,2,1,7,1,0,1,0,0,3,4,1,5,4,1,4,4,3,0,2,5,0,2,1,1,5,0,0,0,4,1,3,6,6,0,0,0,0,0,2,0,5,3,2,0,1800,3,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin [by H. Baldwin and son], No. 47, in Pater-Noster-Row. MDCCC. (H. Baldwin and Son, Printers, New Bridge-Street.), [1800].",London,552,male,1721,1771,TRUE,"head of an army , and prosecuted his conqueis with great rapidity. In the mean time, the Queen of Iun -- gary was crowned at Prefburgh, after having signed a capitulation, by which the liberties of that kingdom were confirmed; and the Grand Duke her confort was, at her request,"
1698700102_000162,"The history of modern Europe. Part II. From the peace of Westphalia, in 1648, to the peace of Paris, in 1763. With a view of the progress of society during the present century. In a series of letters from a nobleman to his son.",William Russell,81,1,1,0,4,1,1,2,0,0,2,0,1,2,2,2,1,0,0,2,0,0,0,1,0,1,3,0,0,2,2,0,0,0,0,1,1,5,0,2,1,2,2,0,0,1,5,3,4,4,0,1,0,1,1,1,1,0,8,0,3,3,1784,2,2,"Dublin : Printed by John Exshaw, Grafton-Street, MDCCLXXXIV. [1784].",Dublin,688,male,1741,1793,FALSE,"rea! attack to have been made on the Austrian riglk wirg. THE THE Aufirians, however, made a vigorous stand lettr.r at the village of Luthen, which was fortified with XXXI redoubts and entrenchments, and defended by the A. d. 1757 - flower of their army ; but, after a desperate"
0004500405_000036,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,88,0,0,0,11,3,1,3,0,0,0,1,2,2,2,1,0,1,1,2,0,1,0,0,0,1,1,1,0,1,6,0,1,0,0,0,0,3,0,0,2,1,1,0,2,1,6,3,2,6,0,0,0,1,3,2,4,0,4,0,4,1,1796,5,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXCVI. [1796].",London,516,male,1721,1771,TRUE,"as far as Rupertenrade, a place situated on the right flank of the French army . Perhaps this motion hastened the resolution of the Duke de Broglio to abandon Giessen, and fall back to Friedberg where he eflablifled his headquarters. The allied army immediately took possession of his camp at"
0157700401_000161,"The life of Frederick the Second, King of Prussia. To which are added, observations, authentic documents, and a variety of anecdotes. Translated from the French. In two volumes. ...","Laveaux, J.-Charles (Jean-Charles)",115,0,0,0,6,3,0,0,0,0,2,0,1,0,6,0,1,0,0,2,1,0,1,0,0,0,2,1,10,1,5,2,1,1,0,0,0,12,0,0,1,4,2,5,1,1,4,1,7,6,3,0,3,3,1,2,1,0,0,5,3,4,1789,1,2,"London : printed for J. Debrett,Opposite Burlington house in piccadilly, M,DCC,LXXXIX. [1789].",London,544,male,1749,1827,FALSE,"duke of, is beaten near Haftenbeck, and obliged to make a convention, p. 150 Cujfrin is bombarded by the Russians , and reduced to athes, p. 173 What the king of Prussia said to the commandant of that place, note 93 c17aeiclf is charged with an expedition against Berlin, p."
0515000111_000050,"A complete history of England, from the descent of Julius Cæsar, to the Treaty of Aix la Chapelle, 1748. Containing the Transactions of One Thousand Eight Hundred and Three Years. By T. Smollett, M.D.Volume the first.",Tobias Smollett,97,0,0,0,4,2,3,3,1,0,0,2,1,1,2,2,0,0,2,6,0,0,0,0,0,0,1,1,0,0,3,2,0,1,0,1,1,11,0,4,0,1,1,1,3,1,4,0,1,6,3,0,0,0,3,0,4,1,5,4,4,1,1758,11,11,"London : printed for James Rivington and James Fletcher, at the Oxford-Theatre; and R. Baldwin, at the Rose, in Paternoster-Row, MDCCLVIII. [1758]-60.",London,501,male,1721,1771,TRUE,"acknowledge his mother as empress dowager; to restore his dominions , with all the fortresses, artillery, stores, and ammunition, which she had taken: on the other hand, he renounced all claim to the fucceiion of her father, and became guarantee of the pragmatic fanaion. He acknowledged the validity of the"
0004600103_000533,"A new history of England, from the earliest accounts of Britain, to the ratification of the Peace of Versailles, 1763. Humbly Inscribed to the Queen. By Mr. Mortimer.",Thomas Mortimer,106,0,0,0,0,1,3,2,2,0,0,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0,2,0,0,0,5,2,2,1,0,1,2,13,1,4,0,1,0,3,5,1,4,2,6,7,1,0,1,0,10,0,2,1,2,9,1,2,1764,3,3,"London : printed for J. Wilson and J. Fell, in Paternoster-Row; and sold by Mr. Fletcher at Oxford, Messrs. Fletcher and Hodson at Cambridge, Mr. Smith at Dublin, and by all the booksellers in Great-Britain and Ireland, MDCCLXIV. [1764]-66.",London,836,male,1730,1810,FALSE,"were totally defeated, with the lots of four thousand six hundred men killed , and five thoufind three hundred taken prisoners , with all their artillery; and his Prufian majesty carried off from the field a prodigious number of colours, standards, kettledrums, and other military trophies. The Prussians lost about"
0004600103_000636,"A new history of England, from the earliest accounts of Britain, to the ratification of the Peace of Versailles, 1763. Humbly Inscribed to the Queen. By Mr. Mortimer.",Thomas Mortimer,98,1,0,0,13,3,3,0,0,1,0,1,0,2,1,3,1,1,1,5,0,1,1,1,0,0,3,1,0,4,3,0,1,0,0,3,0,5,0,6,2,0,2,0,0,0,1,0,6,5,0,0,0,4,1,1,2,1,5,0,2,1,1764,3,3,"London : printed for J. Wilson and J. Fell, in Paternoster-Row; and sold by Mr. Fletcher at Oxford, Messrs. Fletcher and Hodson at Cambridge, Mr. Smith at Dublin, and by all the booksellers in Great-Britain and Ireland, MDCCLXIV. [1764]-66.",London,836,male,1730,1810,FALSE,"an army capable of disputing the ground with an enemy that was in a condition, and determined to force their way? Richelieu followed the duke step by step with his whole army , as far as the Aller. He hemmed the allied army in on every fide; and notwithstanding the"
0689400109_000200,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti.",,105,1,0,0,11,3,4,6,0,0,0,2,0,1,2,3,0,0,2,2,0,4,0,0,0,0,2,1,0,2,3,1,0,2,0,3,1,16,0,0,0,2,1,0,3,2,3,1,6,3,2,0,0,0,4,0,1,0,0,1,3,1,1778,9,10,"Edinburgh : printed for J. Balfour and Co. W. Gordon, J. Bell, J. Dickson, C. Elliot, W. Creech, J. Mccliesh, A. Bell, J. Hutton, and C. Macfarquhar, MDCCLXXVIII. [1778].",Edinburgh,862,unknown,,,FALSE,"was agreed that he (hold have a share in the partition of the king of Prussia's dominions , in cafe of a successful event of their enterprizes. In consequence of there machinations, every art was used to render the king of Prussia personally odious to the empriefs of Rufmia; the"
0015300104_000052,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,81,0,0,0,6,3,3,3,0,0,0,1,1,0,4,2,3,2,0,3,0,0,2,0,0,1,1,0,0,4,5,1,3,0,0,0,1,2,0,0,1,0,1,0,0,2,3,1,2,3,0,1,0,1,2,2,0,1,6,0,3,1,1790,4,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXC. [1790].",London,520,male,1721,1771,TRUE,"The enemy had the advantage of a numerous and well served artillery. It did honour to Lichtenfein, who had the diretion. Only the Pruffan army can dispute it with him. My infantry were too few. All my cavalry were present, and idle fpeaators, excepting a bold push by my household"
1763300202_000480,"A modern, authentic and complete system of universal geography. Including all the late important discoveries made by the English, and other celebrated navigators of various nations, in the different hemispheres; ... To which is added a complete guide to geography, astronomy, ... Also, a particular description of ... the new colony formed at Port Jackson and Norfolk Island ... By the Rev. Thomas Bankes, ...","Bankes, Thomas  				 1744",95,0,0,0,5,0,2,3,1,0,0,0,0,0,0,2,0,0,2,2,2,1,0,2,1,0,0,2,0,4,0,2,1,2,4,1,0,9,0,2,0,1,1,1,2,1,0,0,9,2,6,0,4,2,1,0,5,0,0,5,0,5,1797,2,2,"London : printed for C. Cooke; and sold by the booksellers of Bath, Bristol, Birmingham, Canterbury, Cambridge, Coventry, Chester, Derby, Exeter, Gloucester, Hereford, Hull, Ipswich, Leeds, Liverpool, Leicester, Manchester, Newcastle, Norwich, Nottingham, Northampton, Oxford, Reading, Salisbury, Sherborn, Sheffield, Shrewsbury, Worcester, Winchester, York: and by all other booksellers in England, Scotland, and Ireland, [1797?]",London,586,unknown,,,FALSE,"following the Turks invested Belgrade: and the emperor, at this time, entertained such a confidence in the friendship of the grand monarch, that he truffed him to negotiate a peace for him with the grand seignior; by which treaty it was agreed, that the emn peror should yield up all"
1123100404_000031,"The beauties of nature and art displayed, in a tour through the world; containing I. A General Account of all the Countries in the World, remarkable for either Natural or Artificial Curiosities; their Situation, Boundaries, Extent and Divisions; their Rivers, Air, Soil, Chief Cities, &c. II. A particular Account of the most curious natural Productions of each Country, in the Animal, Vegetable, and Fossil Kingdoms; of remarkable Mountains, Caverns, and Volcano's; of Medicinal and other singular Springs; of Cataracts, Whirlpools, &c. III. An Historical Account of the most remarkable Earthquakes, Inundations, Fires, Epidemic Diseases, and other public Calamities, which have, at different times, visited the Inhabitants. IV. Extraordinary Instances of Longevity, Fertility, &c. among the Inhabitants; together with an Account of their most celebrated Inventions, Discoveries, &c. V. Particular Descriptions of the most remarkable Public Buildings, and other singular Productions of Art. VI. Curious Remains of Antiquity; remarkable Laws, Customs, and Traditions of the Inhabitants; together with a Summary View of the most extraordinary Revolutions among them. Illustrated and embellished with copper plates. Vol. I.",,104,0,0,0,9,2,1,2,0,2,2,0,0,3,7,2,0,4,0,3,0,1,1,3,1,2,3,2,0,8,3,1,1,0,0,2,2,6,2,3,0,0,0,0,0,0,6,1,0,2,0,0,0,3,2,5,1,0,0,0,5,1,1763,4,14,"London : printed for J. Payne, at the Feathers, in Pater-Noster-Row, M.DCC.LXIII. [1763]-64.",London,214,unknown,,,FALSE,"lost his. life. However, a detachment from the army took and destroyed fort Frontenac, situated on the north fide of the river St. Laurence, just where it rises from the lake Ontario, and four French vessels upon the lake were also taken, to the great lois and disappointment of the"
0004500405_000137,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,107,0,0,2,7,0,0,5,1,2,0,0,0,0,1,0,0,0,5,1,1,1,4,0,0,0,2,4,1,8,3,0,1,1,1,5,2,8,0,0,0,0,1,1,1,2,3,0,8,6,0,1,2,1,2,1,2,1,0,4,4,1,1796,5,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXCVI. [1796].",London,516,male,1721,1771,TRUE,"of the convocation against his writings, II 358 Holbourne, Admiral, ent with a squadron to North america , III 414 IV 1ot, o10. Arrives at Hallifax, 106 Makes two trips to Louifbourg, 112 Where his fleet suffers greatly by a hurricane, I 13 He returns to England , ibid. Holderneffe,"
