PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(answer),termFreq(articl),termFreq(author),termFreq(bread),termFreq(cafe),termFreq(common),termFreq(corn),termFreq(countri),termFreq(differ),termFreq(edit),termFreq(england),termFreq(export),termFreq(fell),termFreq(fold),termFreq(foot),termFreq(gener),termFreq(grain),termFreq(greater),termFreq(half),termFreq(import),termFreq(increas),termFreq(kind),termFreq(king),termFreq(labour),termFreq(land),termFreq(larg),termFreq(late),termFreq(law),termFreq(london),termFreq(market),termFreq(monei),termFreq(natur),termFreq(order),termFreq(penc),termFreq(peopl),termFreq(person),termFreq(pound),termFreq(present),termFreq(price),termFreq(print),termFreq(produc),termFreq(profit),termFreq(proport),termFreq(public),termFreq(purchas),termFreq(quantiti),termFreq(quarter),termFreq(rate),termFreq(sale),termFreq(set),termFreq(sever),termFreq(shill),termFreq(tax),termFreq(trade),termFreq(valu),termFreq(weight),termFreq(wheat),termFreq(work),termFreq(yard),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0062200900_000001,"An impartial view of English agriculture, from permitting the exportation of corn, in the year 1663, to the present time.",,90,0,0,0,0,0,0,0,6,8,1,1,0,6,0,0,0,2,3,0,0,1,3,0,1,1,1,2,0,0,1,2,2,0,0,0,3,1,1,5,1,0,2,2,1,1,0,3,3,1,3,2,0,2,1,14,0,0,3,0,0,1766,1,1,"London : printed for G. Kearsly, opposite St. Martin's Church, in Ludgate-Street, 1766.",London,23,unknown,,,FALSE,"- /, -. AN IMPARTIAL VIEW O F ENGLISH AGRICULTURE, FROM PERMITTING THE EXPORTATION of CORN , In the Year 1663, to the Present TIMIE. THE SECOND EDITION CORRECTED. LONDON : Phinted for G. KEARSLY, opposite St. Martin's Church, in Ludgate.street. 1766 [53 -. i I IA N MPARTIAL VIEW,"
0026700101_000099,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, L L. D. and F. R. S. of London and Edinburgh: One of the Commissioners of his Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow. In three volumes. ...",Adam Smith,119,3,0,0,0,0,2,2,1,3,0,0,4,2,0,0,0,1,0,3,2,1,0,0,1,2,0,1,0,0,0,3,7,1,1,3,0,0,2,14,19,0,0,0,3,0,6,5,3,4,0,0,1,12,0,0,3,1,2,1,0,1786,1,3,"London : printed for A. Strahan, and T. Cadell, in the Strand, MDCCLXXXVI. [1786].",London,511,male,1723,1790,TRUE,"ifoewhat, and it ought certainly notr o tail. Is IN England , however, notwithstanding the C H A P. flourishing state of its woollen manufacture, the _ price of English wool has fallen very considerably since the time of Edward III There are many authentic records which demonstrate that during"
1052000400_000029,"Political treatises, on the following subjects: I. The police of France: with a Particular Description of the Police and Government of the City of Paris. II. An account of the southern maritime provinces of France; With Observations on the Cities of Aix, Marseilles, and Toulon. To which are added, Remarks on the Marine of France. III. The laws and policy of England, relating to trade, Examined, &c. By Sir William Mildmay, Bart.","Mildmay, William, Sir",84,2,0,1,0,1,0,1,5,0,1,0,1,0,0,0,0,2,1,2,2,0,0,1,0,1,1,0,1,1,5,5,1,2,3,0,0,1,5,2,10,0,0,0,2,1,2,3,3,1,3,1,1,0,3,1,1,0,4,0,0,1766,1,1,"London : printed and sold by T. Harrison, in Warwick-Lane; and by J. Robson, in New-Bond-Street, MDCCLXVI. [1766].",London,399,male,1705,1771,FALSE,"to carry on the allusion, I might add a remark, that the weaker the vessel, the more necessity there is of keeping a good look out: I mean by this, that the more weak the principles are, upon which a government is founded, the more ftri& mufl be the discipline"
1105300302_000020,"De re rustica; or, the repository for select papers on agriculture, arts, and manufactures. ...",,84,1,1,2,0,1,0,0,5,5,0,0,7,3,0,0,0,0,2,0,1,1,1,0,0,3,3,0,0,2,1,3,2,1,2,1,2,0,1,2,4,0,0,1,2,4,1,5,1,0,0,2,2,1,0,6,1,0,0,1,0,1769,2,2,"London : printed for R. Davis in Piccadilly, and L. Davis near Gray's Inn Gate, Holborn, MDCCLXIX. [1769-70].",London,405,unknown,,,FALSE,"from threepence per day in the cheapest countries , to about seven pence halfpenny in the dearest; in manufactures, at about half the price , as in England . Sailors wages on board the French navy, but from eight shillings to twelve ihillings per month. There circumifances, as observed, have"
1313600106_000059,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; A new edition, corrected. To which is added, a complete index.",David Hume,84,0,0,2,2,3,0,1,3,0,2,0,0,1,2,0,0,2,0,1,1,0,7,0,0,0,3,0,0,1,1,2,3,1,0,3,0,1,2,7,9,0,0,1,0,2,2,0,1,2,0,0,0,7,3,0,3,0,1,0,2,1772,6,8,"Dublin : printed for James Williams, in Skinner-Row, MDCCLXXII. [1772].",Dublin,637,male,1711,1776,TRUE,"of such an estimated property, were accuffomed to pay. This was a fulfficient reason, why subsidies couldl not increase , nonrwithilandring the great increase of money and rise of rents. But there was an evident reafona, why they continually decreased. The favour, as is natural to suppose, ran always against"
0026203001_000072,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, ... In three volumes. ...",Adam Smith,115,2,0,0,0,0,0,1,7,1,1,0,1,0,0,0,0,5,2,4,2,0,6,0,2,4,0,1,0,0,0,4,8,0,1,4,0,0,2,5,15,0,1,0,7,0,2,6,4,0,0,1,0,4,0,0,2,4,6,0,0,1776,1,3,"Dublin : printed for Messrs. Whitestone, Chamberlaine, W. Watson, Potts, S. Watson [and 15 others in Dublin], 1776.",Dublin,396,male,1723,1790,TRUE,"of a freestone quarry can seldom extend more than a few miles round about it, and the demand must generally be in proportion to the improvement and population of that frnall difrrit. But the market for the produce of a silver mine may extend over the whole known world. Unless"
0026203001_000095,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, ... In three volumes. ...",Adam Smith,125,3,0,0,0,0,2,2,1,4,0,0,3,2,0,0,0,1,0,3,2,2,0,0,1,2,0,1,0,0,0,4,7,2,1,3,0,0,1,16,19,0,0,0,3,0,6,5,3,4,0,0,0,15,0,0,3,1,2,1,0,1776,1,3,"Dublin : printed for Messrs. Whitestone, Chamberlaine, W. Watson, Potts, S. Watson [and 15 others in Dublin], 1776.",Dublin,396,male,1723,1790,TRUE,"shillings of the money of those times, * containing, at the rate of twenty pence the ounce, six ounces of silver tower weight , equal to about thirty shillings of our present money . In the present times, one and twenty shillings the tod may be reckoned a good price"
0753300200_000040,"An inquiry into the corn laws and corn trade of Great Britain, and their influence on the prosperity of the Kingdom. With suggestions for the improvement of the Corn Laws. By the late Alexander Dirom, Esq. of Muiresk, in the County of Aberdeen. To which is added, a supplement, By Mr William Mackie of Ormiston in East Lothian, Bringing down the Consideration of the Subject to the Present Time; Investigating the Cause of the present Scarcity; and suggesting Measures for promoting the Cultivation of the Waste Lands; and for rendering the Produce equal to the increasing consumption of the Kingdom.","Mackie, William",98,1,0,0,0,0,0,0,8,3,3,1,0,5,0,0,0,1,10,2,2,7,3,2,0,1,1,1,0,4,0,1,1,0,2,0,3,0,1,1,5,0,3,1,1,0,1,3,10,3,0,0,0,1,0,3,0,0,3,0,0,1796,1,1,"Edinburgh : printed [by Alex Chapman and Co] for William Creech; and G. Nicoll, Pall Mall; and J. Sewell, Cornhill; London, 1796.",Edinburgh,330,unknown,,,FALSE,"five mariners, young and old, for the navigation of every hundred tonnes, it would have given employment to 11, 435 tailors, besides labourers and boatmen, in loading, piloting, c. And, if we shall suppose this voyage to take up only one eighth part of the year, this navigation would have"
0026600201_000100,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, LL. D. and F. R. S. of London and Edinburgh: One of the Commissioners of his Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow. In three volumes. ...",Adam Smith,114,3,0,0,0,0,2,2,1,2,0,0,4,2,0,0,0,1,0,3,2,1,0,0,1,2,0,1,0,0,0,3,7,2,0,3,0,0,2,14,19,0,0,0,3,0,6,5,3,4,0,0,1,8,0,0,3,1,2,1,0,1793,1,3,"London : printed for A. Strahan; and T. Cadell, in the Strand, MDCCXCIII. [1793].",London,515,male,1723,1790,TRUE,"as that of but cher's rreat, it ought naturally to rise fomcwhar, and it ought certainly not to fill. IN 5; -_ IN, England , however, notwithfanding thee t4 A P. XI flourishing Itate of its woollen manufacure, the Y price of English wool has fallen very confiderablv since the"
0026600101_000073,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, LL. D. and F. R. S. of London and Edinburgh: One of the Commissioners of his Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow. ...",Adam Smith,114,2,0,0,0,0,0,1,7,2,1,0,1,0,0,0,0,6,2,4,2,0,8,0,2,4,0,1,0,0,0,5,8,0,1,4,0,0,1,5,14,0,2,0,7,0,2,6,3,0,0,1,0,2,0,0,2,4,4,0,0,1785,1,2,"Dublin : printed for W. Colles, R. Moncrieffe, G. Burnet, W. Wilson, C. Jenkin, L. White, H. Whitestone, P. Byrne, J. Cash, W. M`Kenzie, M DCC LXXXV. [1785].",Dublin,515,male,1723,1790,TRUE,"though there should not be another within a thousand miles of it, will not necessarily increase with the imrovement of the country in which it is situated. The market for the produce of a free ffone quarry can seldom extend more than few miles round about it, and the demand"
1471300101_000264,"Continuation of the complete history of England. By T. Smollett, M.D.",Tobias Smollett,80,0,0,2,0,1,1,1,8,0,0,0,2,8,1,0,0,1,7,2,0,1,1,2,0,1,1,0,0,1,2,3,0,1,2,0,2,0,0,1,12,0,2,1,2,0,1,1,1,2,0,0,1,2,0,0,0,1,2,0,0,1766,1,2,"London : printed for Richard Baldwin, at the Rose in Pater-noster-Row, MDCCLXVI. [1766].",London,514,male,1721,1771,TRUE,"distillation, which has ever been produative of fach intoxication, riot, disorder, and distemper, among the lower class of the people , as might be deemed the greatest evils incident to a well regulated commonwealth. Their assertion with respect to the coarse kind of barley, called big, was contradided as a"
0156400400_000064,"The history of Great Britain. Vol.I. Containing the reigns of James I. and Charles I. By David Hume, Esq;",David Hume,78,0,0,2,0,2,0,1,4,0,1,0,2,1,2,0,0,2,0,1,0,0,5,0,1,0,2,1,0,1,2,1,3,1,2,1,0,1,1,7,7,0,0,1,0,2,4,0,1,3,0,0,0,4,2,0,4,0,1,0,2,1754,1,1,"Edinburgh : printed by Hamilton, Balfour, and Neill, M,DCC,LIV. [1754].",Edinburgh,478,male,1711,1776,TRUE,"in the estimation, it seems to have been the practice to keep an eye to pail affeflments, and to rate every man according as his ancestors, or men of such an estimated property, were accustomed to pay. This was a sufficient reason, why subsidies would not * Coke Int. book"
0965600200_000001,"An impartial view of English agriculture, from permitting the exportation of corn, in the year 1663, to the present time.",,88,0,0,0,0,0,0,0,6,8,1,0,0,6,0,0,0,2,3,0,0,1,3,0,1,1,2,2,0,0,0,1,2,0,0,0,2,1,1,4,2,1,2,2,2,1,0,3,3,1,3,2,0,2,1,13,0,0,3,0,0,1766,1,1,"London : printed for G. Kearsly, opposite St. Martin's Church, in Ludgate-Street, [1766].",London,23,unknown,,,FALSE," .:  -: , s,. .-..,. X 1k, : -: -.., *.. IMPARTIAL VIEW - * * O F ENGLISH AGRICULTURE, - .FROM PERMITTING THE EXPORTATION of CORN , In the Year 1663, to the Present timx. - L 0 N D 0 : Printed for G. KEARSLY, opposite"
1496701400_000004,"An inquiry into the nature and uses of money; more especially of the bills of publick credit, old tenor. Together with a proposal of some proper relief in the present exigence. To which is added, a reply to the essay on silver and paper currences [sic].","Green, Timothy",107,0,0,5,1,0,2,3,0,6,1,0,0,3,1,0,0,1,0,2,1,4,4,1,0,0,6,0,0,0,0,5,10,2,1,0,0,0,3,2,7,0,2,1,4,1,3,5,0,1,2,0,0,1,0,6,10,0,0,0,0,1740,1,1,"Boston : Printed and sold by S. Kneeland and T. Green, over against the prison in Queenstreet, 1740.",Boston,79,male,1703,1763,FALSE,"innumerable other Articles . The Price of these, when taken for a Number ol Years, is comparatively the same in all Places where there is Freedom of Trade ; as having only this Difference , that those Countries that have the Commodities ir'ported to them, muff pay all Charges, besides"
1478900601_000033,"The history of America: containing the geographical, political, and commercial state of that continent; in which is given a succinct account of the trade, customs and policy of the French nation, and the foundation they have laid for obtaining the sole dominion in those colonies. Translated from the French of Mons. Du Bosque, late historographer to the French King. In two volumes.",Malachy Postlethwayt,98,2,1,0,0,1,1,2,8,4,2,0,7,3,0,0,0,2,0,1,0,0,4,0,0,1,4,2,0,0,0,0,3,1,0,0,2,0,1,0,10,0,2,5,2,0,0,1,3,0,0,1,1,3,1,11,3,1,2,0,0,1770,1,2,"London : printed by George Cave and William Jordon, in St. Paul's Church Yard, MDCCLXX. [1770]",London,390,male,1707,1767,FALSE,"no part of the foreign trade of a nation thould be slighted; but a wide difference is to be made between the principles of economical trade , or the re exportation of foreign commodities, and the principles of that trade , which relates to national commodities. thme encouragements granted the"
1212600601_000074,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, L. L. D. and F. R. S. of London and Edinburgh: One of the Commissioners of His Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow.",Adam Smith,124,3,0,0,0,2,0,1,5,0,1,0,2,0,0,0,0,2,3,3,2,0,1,1,4,2,0,1,0,0,0,1,12,0,1,4,0,0,3,8,21,0,0,0,4,0,1,4,10,0,0,1,0,9,0,0,1,3,8,0,0,1793,1,2,"Dublin : printed by William Porter, for G. Burnet, L. White, W. Wilson, P. Byrne, W. McKenzie, J. Moore, and W. Jones, M.DCC.XCIII. [1793].",Dublin,512,male,1723,1790,TRUE,"Any given quantity of silver would exchange for a greater and a greater quantity of corn ; or, in other words, the average money price of corn would gradually become cheaper and cheaper. IF, on the contrary, the supply by some accident should increase for many years together in a"
0018100106_000050,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ...",David Hume,83,0,0,2,1,2,0,1,3,0,1,0,0,1,2,0,0,2,0,1,0,0,5,0,0,0,4,1,0,1,1,1,2,1,0,2,0,2,3,7,8,0,0,1,0,1,4,0,1,4,0,0,0,8,4,0,3,0,1,0,2,1763,6,8,"London : printed for A. Millar, in the Strand, MDCCLXIII. [1763].",London,555,male,1711,1776,TRUE,"continually decreasing 11 The reason is easily collected from the method of levying it. We may learn from the subsidy bills §, that one subsidy was given for four tfhillings in the pound on land , and two shillings and eight pence on movables throughout the counties; a considerable tax"
0753300200_000052,"An inquiry into the corn laws and corn trade of Great Britain, and their influence on the prosperity of the Kingdom. With suggestions for the improvement of the Corn Laws. By the late Alexander Dirom, Esq. of Muiresk, in the County of Aberdeen. To which is added, a supplement, By Mr William Mackie of Ormiston in East Lothian, Bringing down the Consideration of the Subject to the Present Time; Investigating the Cause of the present Scarcity; and suggesting Measures for promoting the Cultivation of the Waste Lands; and for rendering the Produce equal to the increasing consumption of the Kingdom.","Mackie, William",110,2,0,0,1,2,1,0,17,5,1,0,1,2,0,0,0,0,3,1,0,4,0,0,0,2,1,1,0,9,3,5,0,0,0,0,0,2,0,1,19,0,4,2,0,4,1,1,2,2,5,1,1,0,0,1,0,0,3,0,0,1796,1,1,"Edinburgh : printed [by Alex Chapman and Co] for William Creech; and G. Nicoll, Pall Mall; and J. Sewell, Cornhill; London, 1796.",Edinburgh,330,unknown,,,FALSE,"meeting of parliament, I must observe, that the leading features of the act 1791, bear a striking resemblance to the amendments on the Corn Laws proposed by your Father in his Treatise, insomuch, that it would appear his sentiments, on this important subject, had been communicated to the framers of"
0551601800_000049,"An enquiry into the prices of wheat, malt, and occasionally of other provisions; of Land and Cattle, &c. as sold in England, from the year 1000 to the year 1765; Computed according to the Winchester Measure, and to the present Standard of English Coin, Divided into Periods of Ten Years each, and also into Periods of Circumstances.",Michael Combrune,92,1,1,0,0,3,1,1,11,1,0,0,1,5,0,0,0,2,3,2,1,0,4,0,2,1,7,1,0,0,0,3,0,0,0,0,1,4,0,0,9,0,4,3,3,2,1,3,3,2,1,0,0,0,0,2,0,0,3,0,0,1768,1,1,"London : printed for and sold by T. Longman, (at No. 39,) in Pater-Noster-Row, M,DCC,LXVIII. [1768].",London,126,male,,,FALSE,"deserves not that protection, the power offociety affords. A great and misplaced bounty given to export corn , has made the persons professing agriculture so powerful, that they have prosecuted every means, and employed every art to maintain themselves so; even the land itself has notoriously been monopolised; as much"
0611900101_000074,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, LL. D. and F. R. S. Formerly Professor of Moral Philosophy in the University of Glasgow. In Two Volumes. ...",Adam Smith,119,3,0,0,0,1,0,1,6,0,1,0,2,0,0,0,0,2,3,3,2,0,4,0,4,3,0,1,0,0,0,3,11,0,0,4,0,0,3,8,18,0,0,0,5,0,1,4,8,0,0,0,0,6,0,0,2,3,7,0,0,1778,1,2,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXVIII. [1778].",London,515,male,1723,1790,TRUE,"of the labourer . THU great market for silver is the commercial and civilised part of the world. IF by the general progress of improvement the demand of this market Should increase , while at the same time the supply did not increase in the same proportion , the value"
0008100106_000057,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes, illustrated with plates. By David Hume, Esq. A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself. ...",David Hume,72,0,0,1,1,2,0,0,2,0,2,1,3,1,1,0,0,1,0,2,0,0,5,0,0,0,2,0,0,1,1,2,2,1,2,3,0,0,1,8,8,0,0,1,0,2,3,0,1,1,0,0,0,3,2,0,2,0,2,0,2,1789,6,8,"London : printed for T. Cadell: and sold by T. Longman, 1789.",London,593,male,1711,1776,TRUE,"estates were swallowed up by a greater , the new purchaser increased not his subsidy. So loose indeed is the whole method of rating ubfidies, that the wonder was not how the tax should continually diminish; but how it yielded any revenue at all. It became at last so unequal"
1131600106_000058,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ... A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself.",David Hume,80,0,0,1,1,2,0,0,2,0,1,0,0,1,2,0,0,2,0,2,0,0,7,0,0,0,4,1,0,1,1,2,2,1,0,4,0,2,3,8,6,0,0,1,0,1,4,0,1,4,0,0,0,4,4,0,2,0,1,0,2,1786,6,8,"London : printed for T. Cadell, 1786.",London,592,male,1711,1776,TRUE,"The reason is easily collected from the method of levying it. We may learn from the sub fdy billsi, that one subsidy was given for four fhiliingi in the pound on land , and two fiillings and eight pence on movables throughout the counties; a considerable tax , had it"
