PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(appear),termFreq(appoint),termFreq(arm),termFreq(armi),termFreq(articl),termFreq(britain),termFreq(brother),termFreq(cafe),termFreq(caus),termFreq(church),termFreq(common),termFreq(council),termFreq(countri),termFreq(court),termFreq(crown),termFreq(duke),termFreq(duti),termFreq(earl),termFreq(england),termFreq(english),termFreq(forc),termFreq(franc),termFreq(gener),termFreq(govern),termFreq(grant),termFreq(hous),termFreq(ireland),termFreq(king),termFreq(kingdom),termFreq(land),termFreq(law),termFreq(letter),termFreq(london),termFreq(manner),termFreq(nation),termFreq(offic),termFreq(order),termFreq(parliament),termFreq(parti),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(princ),termFreq(queen),termFreq(reason),termFreq(receiv),termFreq(reign),termFreq(salt),termFreq(scot),termFreq(scotland),termFreq(sever),termFreq(state),termFreq(taken),termFreq(trade),termFreq(treati),termFreq(union),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0512500101_000645,"A collection of the state papers of John Thurloe, Esq; secretary, first, to the Council of State, and afterwards to the two Protectors, Oliver and Richard Cromwell. In seven volumes. containing Authentic Memorials of the English Affairs from the Year 1638, to the Restoration of King Charles II. Published from the Originals, formerly in the Library of John Lord Somers, Lord High Chancellor of England; and since in that of Sir Joseph Jekyll, Knt. late Master of the Rolls. Including also a considerable Number of Original Letters and Papers, communicated by His Grace the Archbishop of Canterbury from the Library at Lambeth, the Right Honourable the Earl of Shelburn, and other Hands. The Whole digested into an exact Order of Time. To which is prefixed, the life of Mr. Thurloe: With a Complete index to each Volume. By Thomas Birch, M. A. F. R. S. ... Containing Papers from the Year MDCXXXVIII to MDCLIII.",England and Wales,97,1,0,1,0,2,1,0,1,0,0,3,2,1,0,2,1,3,1,5,10,4,2,2,0,4,0,2,1,5,2,2,0,5,1,0,0,1,4,7,3,0,0,0,0,1,2,2,0,2,0,0,3,3,1,0,1,0,2,1,0,1742,1,7,"London : printed for the executor of the late Mr. Fletcher Gyles; Thomas Woodward, at the Half-Moon, between the Temple-Gates, in Fleet-Street; and Charles Davis in Pater-Noster-Row, MDCCXLII. [1742].",London,834,unknown,,,FALSE,"Palatine, 13 His answer to the veral friends, 664 Is going to Bruges, 665 Arrival proposition of the Scots commissioners appointed to medi at Cologn, 666 Complimented by the archduke, 667 ate an accommodation between him and the parliament of Censured for his kindness to Mrs. Barlow, 614 And for"
0014700102_000051,"The history of England, from the Revolution to the death of George the Second. Designed as a continuation of Mr. Hume's History. In six volumes. By T. Smollett, M.D. ...",Tobias Smollett,105,1,0,1,1,1,3,6,0,0,0,1,2,0,1,3,1,2,0,0,2,2,0,1,3,1,0,1,0,5,6,2,5,0,0,1,3,2,2,13,1,1,0,0,0,2,2,1,0,0,0,0,1,9,0,1,1,0,3,9,2,1794,2,6,"London : printed for J. Parsons, No. 21, Paternoster-Row, 1794.",London,400,male,1721,1771,TRUE,"Ium to be paid at present , as well as the moneys arising from the future equivalents, should be employed in reducing the coin of Scotland to the standard and value of the Englih coin in paying off the capital stock and interest due to the proprietors of the African"
1761600303_000692,"The history of England, by Mr. Rapin de Thoyras. Continued from the revolution to the accession of King George II. By N. Tindal, ... Illustrated ...","Rapin de Thoyras, M. (Paul)",95,2,0,3,0,1,0,0,1,1,1,0,0,3,2,0,4,2,1,5,1,1,2,1,4,1,0,0,2,10,2,2,2,1,0,1,2,0,1,6,1,2,0,1,1,0,2,8,1,0,0,0,0,4,2,2,1,1,0,1,3,1744,3,4,"London : printed for John and Paul Knapton, 1744-47.",London,821,male,1661,1725,FALSE,"and all "" losses and forfeitures as in cafes of high treafon."" () Of this the Queen tent an account in a letter to the Privy- council of Scotland , as soon as the was proclaimed, acquainting them, "" That it having pleased Almighty  God to call out of"
1044000500_000075,"The new, Complete, and Universal History of Scotland, from the earliest authentic accounts to the present time. Comprehending an impartial detail of every remarkable transaction, and singular Occurrence, relating to War, Peace, Government, Policy, Commerce, Religion, Literature, Arts, &c. &c. (ancient and Modern) from Fergus, the first king, to the present year of his Majesty George III. Including the Customs and Manners of the Times, and the State of the Nation, during a Period of above 2100 Years. Together with Sketches of the Characters of all the Monarchs, And genuine Memoirs of other Eminent Persons both in Church and State. Likewise, (what is not to be found in any other Work of the Kind) a correct Copy of the Articles of the Treaty of Union with England Which were ... by both Kingdoms in the Reign of Queen Anne, 1707. By Rober Murray, Esq. Of Aberdeen. Embellished with an elegant frontispiece, and an accurate map of Scotland including the Neighbouring Islands.","Murray, Robert, of Aberdeen",86,1,2,3,1,1,0,1,1,1,0,0,0,1,1,1,1,6,0,1,3,3,0,2,2,3,1,0,0,2,3,1,2,0,0,0,5,1,0,7,4,0,0,1,1,0,0,4,0,1,0,0,4,3,1,1,0,0,2,6,1,1782,1,1,"London : printed for Alex. Hogg, No 16, Pater-Noster-Row [1782?].",London,292,unknown,,,FALSE,"of the pretender, as might be sufficient to place him on the throne of Great britain . Lewis eemed to promise him his assistance; but Fraser's character was so infamous,, that though he was sent back into Scotland , to use his interest amongf{ the clans, two perbons were ent"
0156500200_000098,"The history of England, from the Revolution to the present time, in a series of letters to the Reverend Doctor Wilson, ... By Catherine Macaulay. Vol.I.",Catharine Macaulay,108,0,0,3,0,1,0,3,0,0,0,2,7,3,2,4,2,4,0,6,3,0,0,8,1,0,1,4,1,5,0,1,0,0,0,0,3,1,2,2,1,6,3,0,3,0,2,4,0,0,0,0,1,9,0,1,1,0,3,3,2,1778,1,1,"Bath : printed by R. Cruttwell: and sold by E. and C. Dilly, T. Cadell, and J. Walter, London, 1778.",Bath,455,female,1731,1791,TRUE,"by the House of Commons , - 298, 376 Navy ( 439) PAGE Navy of England , shamefully neglected, - 24, 126, 191 North and Grey, (Lords) against the union with Scotland , 178; charged with being in a conspiracy, - 329 Nottingham ( Earl of) a leader of the"
0512500101_000667,"A collection of the state papers of John Thurloe, Esq; secretary, first, to the Council of State, and afterwards to the two Protectors, Oliver and Richard Cromwell. In seven volumes. containing Authentic Memorials of the English Affairs from the Year 1638, to the Restoration of King Charles II. Published from the Originals, formerly in the Library of John Lord Somers, Lord High Chancellor of England; and since in that of Sir Joseph Jekyll, Knt. late Master of the Rolls. Including also a considerable Number of Original Letters and Papers, communicated by His Grace the Archbishop of Canterbury from the Library at Lambeth, the Right Honourable the Earl of Shelburn, and other Hands. The Whole digested into an exact Order of Time. To which is prefixed, the life of Mr. Thurloe: With a Complete index to each Volume. By Thomas Birch, M. A. F. R. S. ... Containing Papers from the Year MDCXXXVIII to MDCLIII.",England and Wales,109,0,0,1,1,4,2,0,0,0,0,1,0,2,0,2,0,1,0,2,5,2,1,1,2,2,2,3,4,15,2,0,1,5,1,1,0,1,4,8,2,3,2,1,0,1,2,2,0,0,0,0,3,2,7,1,1,0,6,0,0,1742,1,7,"London : printed for the executor of the late Mr. Fletcher Gyles; Thomas Woodward, at the Half-Moon, between the Temple-Gates, in Fleet-Street; and Charles Davis in Pater-Noster-Row, MDCCXLII. [1742].",London,834,unknown,,,FALSE,"TINE, prince elecor of. See Carltr I. His J obliging letter to king Charles II 675 - princefa of, removed from her apartment in the Louvre by the French king's order , 336 Miscarries, 564 Paldn, n zealous royalist, 7 3 Goes to consult the duke of Buckingham at Windsor,"
0156500200_000039,"The history of England, from the Revolution to the present time, in a series of letters to the Reverend Doctor Wilson, ... By Catherine Macaulay. Vol.I.",Catharine Macaulay,117,1,0,3,0,0,1,6,0,0,0,0,1,0,0,2,2,2,1,1,6,6,0,0,2,1,1,3,0,0,11,0,5,2,1,2,2,2,1,13,2,0,0,0,2,2,0,2,0,0,0,0,3,15,0,1,0,1,2,9,0,1778,1,1,"Bath : printed by R. Cruttwell: and sold by E. and C. Dilly, T. Cadell, and J. Walter, London, 1778.",Bath,455,female,1731,1791,TRUE,"preliminaries, excepting the repeal of that part of the ad of of the English parliament which declared the fubjeas of LETTER III Scotland aliens, the house in general terms resolved to agree to a treaty with England , according to the purport of an ac which had passed in the"
1654100105_000111,"A New history of Scotland, from the earliest accounts of its population, down to the year of our Lord 1783. Part of which is original, and part selected from the best authors, both ancient and modern. By a society of gentlemen. This work is embellished with copper-plates, of heads, plans, and maps.",,103,1,0,0,0,0,5,5,0,1,0,0,0,0,1,3,1,2,5,0,7,2,0,1,2,1,2,0,0,2,8,4,0,0,0,2,3,1,0,8,2,0,0,0,0,1,1,1,0,1,2,1,7,9,2,0,0,3,2,3,1,1783,5,8,"Edinburgh : published by John Brown, bookseller, MDCCLXXXIII. [1783]",Edinburgh,353,unknown,,,FALSE,"duke of Glou ceiter· in I 700 gave them hopes, that the only bar to they facceion of their Prince of Wales was removed. Next year, the parliament fettled the fuccedlian upon the princess Sophia, eleatrels of Hanover, or her heirs male, being Proteltants, which rendered the death of James"
1729400106_000010,"Historical collections of private passages of state. Weighty matters in law. Remarkable proceedings in five Parliaments. Beginning the sixteenth year of King James, Anno 1618. And ending the fifth year of King Charls, Anno 1629. Digested in order of time, and now published, By John Rushworth of Lincolns-Inn, Esq;",John Rushworth,129,1,1,0,2,7,1,0,0,0,0,2,8,2,1,1,0,4,0,3,3,1,2,0,2,4,0,2,4,14,1,1,0,4,4,0,0,0,3,11,1,3,1,2,0,0,7,0,0,0,0,0,6,6,2,0,1,0,10,0,1,1721,6,8,"London : Printed by Tho. Newcomb for George Thomason, at the Sign of the Rose and Crown in St. Paul's Church-Yard, M.DCC.XXI. [1721].",London,622,male,1612,1690,FALSE,"in the North; Great dijtractions in Scotland ; The Parliament of England Vote all such as take Arms against them Traitors by the 11 of Rich. II and i. of henr.'iv. The' City. of, London petition for a personal Treaty with the ing.. Chap. In the Twenty eighth Chapter' we"
0014700102_000066,"The history of England, from the Revolution to the death of George the Second. Designed as a continuation of Mr. Hume's History. In six volumes. By T. Smollett, M.D. ...",Tobias Smollett,86,1,0,1,0,0,1,2,0,0,1,0,4,2,1,1,0,2,0,9,3,1,0,1,1,1,3,4,1,2,7,0,0,0,1,1,5,0,0,2,1,3,1,0,1,2,0,4,0,1,0,0,1,2,2,1,0,3,0,3,3,1794,2,6,"London : printed for J. Parsons, No. 21, Paternoster-Row, 1794.",London,400,male,1721,1771,TRUE,"The coin of the nation was visibly diminished; and the public credit began to decline. The tories did not fail to inculcatd and exaggerate there causes of difconitet, and the miniif try were too remits in taking proper <ep? for the satis. fiaion of the nation . Instead of soothing"
1471300102_000219,"Continuation of the complete history of England. By T. Smollett, M.D.",Tobias Smollett,98,2,0,1,1,4,0,2,1,1,0,1,2,1,0,0,2,5,0,2,3,1,1,9,1,1,3,1,2,12,3,2,0,0,0,0,1,0,0,2,0,2,0,0,1,0,2,3,0,4,0,0,1,7,0,0,2,0,3,5,1,1766,2,2,"London : printed for Richard Baldwin, at the Rose in Pater-noster-Row, MDCCLXVI. [1766].",London,519,male,1721,1771,TRUE,"Returns to Scotland , III 643 Saves the Scottish artillery, 648 Defeats the English at Ancram, 650 Commands the van of the Scottish army at at Mufsleburgh, 663 -- --. - slain at the battle of Steenkirk, IV 87 Animosity between the British Christians and Saxon converts, i. 8z. Anjou,"
1264300302_000095,"Elements of the history of England, from the invasion of the Romans to the reign of George the Second. Translated from the French of Abbé Millot, Royal Professor of History in the University of Parma, And Member of the Academies of Lyons and Nancy. By Mr. Kenrick. In two volumes. ...",Claude-François-Xavier Millot,92,0,0,0,0,1,0,0,0,0,0,1,1,0,1,5,2,3,0,2,7,2,2,3,1,1,0,0,1,5,3,1,1,1,0,1,1,2,0,8,1,4,2,1,0,0,2,5,1,2,3,0,2,4,1,1,1,0,1,1,4,1771,2,2,"Dublin : printed for James Williams, at No. 5. in Skinner-Row, MDCCLXXI. [1771].",Dublin,361,male,1726,1785,FALSE,"circumatances are more than sufficient to immortalise him. Yet though .great in his conduet, he was unhappy in his court , and the, king had reasons to re great the happiness of the Stadtholder.  He was tlo friend to letters . Had he'been as attentive as Louis XIV to"
1601800700_000364,"Elegant extracts: or Useful and entertaining passages in prose selected for the improvement of scholars at classical & other schools in the art of speaking, in reading, thinking, composing; and in the conduct of life.",,95,0,1,0,0,2,0,3,2,0,0,1,1,0,1,1,1,4,2,1,9,6,0,4,3,1,0,1,3,10,2,1,1,0,4,0,0,0,0,2,0,4,1,1,0,0,1,4,0,1,2,0,1,3,1,1,2,0,2,1,3,1785,1,1,"Dublin : Printed by P. Byrne, 1785.",Dublin,618,unknown,,,FALSE,"army , under general Lefley, enters England , and takes Newcastle, being encouraged by the malcontents in England , The massacre in Ireland , when 40, 0 English protestants were killed. 1642 King Charles impeaches five members, who had opposed his arbitrary measures, which be. gints the civil war in"
0715802700_000384,"The modern universal gazetteer; or, a general view of the several nations of the world. Absolutely Necessary for rendering the Public News, and other Historical Occurrences, intelligible and entertaining. Containing, I. An Introduction to Geography, with directions for the use of the Terrestrial Globes. II. The situation and extent of all the empires, kingdoms, states, provinces, and chief towns in Europe, Asia, Africa, and America. Also a description of the most considerable seas, lakes, rivers, and mountains, all ranged in alphabetical order. III. The produce, manufactures, trade, constitution, forces, revenues, and religion of the several countries. IV. The genealogies and families of the emperors, kings, and princes now reigning. V. A chronological table of all the remarkable events and inventions, from the creation to this date. By Mr. Salmon. With large additions and improvements, brought down to the present time. Embellished with a new set of Maps.",Thomas Salmon,89,0,1,0,0,2,0,4,1,0,0,1,2,0,0,1,1,3,2,1,7,2,0,4,2,0,1,2,2,5,2,0,0,1,4,0,0,0,2,3,0,3,1,0,0,1,2,4,0,0,2,0,2,3,2,1,4,0,2,1,5,1785,1,1,"London : printed for J. Bruce, D. Burnet, R. Hopper, R. Pennington, and L. Martin, MDCCLXXXV. [1785].",London,599,male,1679,1767,FALSE,"killed by Gen. Mackay, at the battle of Killycrankie, upon which the Highlanders, wearied with repeated misfortunes, difperle. Bounties granted on the exportation of Britilh commodities. 1689 The lald tax passed in England . The toleratiou. at palled in ditto. Several bishops are deprived for not taking the oaths to"
1017600800_000006,"An essay, containing a few strictures on the union of Scotland with England; and on the present situation of Ireland. Being an introduction to De Foe's History of the union. By J. L. De Lolme, adv.",Jean-Louis de Lolme,107,1,0,0,3,1,2,0,0,1,0,0,0,2,4,0,8,1,0,0,13,6,0,3,0,2,0,2,1,0,3,1,1,1,0,0,4,0,2,7,2,0,1,1,2,0,0,5,0,0,0,0,3,9,1,0,1,4,1,3,5,1787,1,1,"London : printed for John Stockdale, Opposite Burlington House, Piccadilly. MDCCLXXXVII. Sntered at Etationers Hall, [1787].",London,96,male,1740,1806,FALSE,"great heat and much vehemence; for, a national hu'  of being independent on England , fermented so strongly among all sorts of people without doors, that those who went not into every e Burnet's History of his own Time, Vol. V p. 64 6 "" hot 8 hot motion"
0018200108_000245,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ...",David Hume,99,2,0,2,0,1,0,0,4,0,2,0,4,2,0,2,4,3,2,5,3,1,0,2,0,0,4,8,3,8,0,0,2,1,3,1,2,1,2,6,2,1,0,0,2,1,0,3,0,1,1,0,2,4,0,1,0,0,1,0,0,1763,8,8,"London : printed for A. Millar, in the Strand, MDCCLXIII. [1763].",London,642,male,1711,1776,TRUE,"odious to the nation , 229 re aflombles his parliament , 23 I. declares his intention to pursue arbitrary measures, 232 answers an address of his house of commons in a surly manner , ib. 233 orders a feigned acion to be brought against Sir Edward Hales, in order to"
