PassageID,Title,Author,Total termFreq,termFreq(aaron),termFreq(accord),termFreq(behold),termFreq(bring),termFreq(brought),termFreq(children),termFreq(citi),termFreq(command),termFreq(countri),termFreq(deliv),termFreq(earth),termFreq(eat),termFreq(egypt),termFreq(evil),termFreq(face),termFreq(faith),termFreq(father),termFreq(fear),termFreq(forth),termFreq(gave),termFreq(god),termFreq(hall),termFreq(hand),termFreq(hear),termFreq(heard),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(hous),termFreq(israel),termFreq(jacob),termFreq(judah),termFreq(king),termFreq(know),termFreq(laid),termFreq(land),termFreq(law),termFreq(left),termFreq(mose),termFreq(nation),termFreq(offer),termFreq(pass),termFreq(peac),termFreq(peopl),termFreq(pharaoh),termFreq(power),termFreq(priest),termFreq(prophet),termFreq(return),termFreq(river),termFreq(sea),termFreq(servant),termFreq(set),termFreq(took),termFreq(tribe),termFreq(turn),termFreq(voic),termFreq(water),termFreq(word),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0071101100_000096,"The new Testament of our Lord and Saviour Jesus Christ, Newly translated out of the Original Greek: and With the former Translations diligently Compared and Revised. By His Majesty's Special Command. Appointed to be read in Churches.",,105,1,0,2,1,2,3,0,0,0,3,0,0,12,2,0,0,11,0,1,4,12,0,3,1,2,1,1,1,1,3,6,0,1,0,1,7,0,0,7,1,1,0,0,2,2,0,0,1,0,0,1,0,2,1,0,2,1,0,1,1,1745,1,1,"London : printed by Thomas Baskett, Printer to the King's most Excellent Majesty; and by the assigns of Robert Baskett, M.DCC.XLV. [1745].",London,471,unknown,,,FALSE,"land of the Chaldeans, and dwelled in Charran: and from thence, when his father was dead, he removed him into'this land wherein ye now dwell. 5 And he gave him none inheritance in it, no notfo mlic4 as to set his foot on: yet he, promised that he would give"
0061300200_001015,"The holy Bible, containing the Old and New Testaments: Newly Translated out of the Original Tongues: And with the Former Translations Diligently Compared and Revised. By his Majesties Special Command. Appointed to be Read in Churches.",,103,1,0,2,1,2,3,0,0,0,3,0,0,12,2,0,0,9,0,1,3,12,1,3,1,2,2,1,1,1,2,6,0,2,0,0,5,0,0,7,1,2,0,0,2,3,0,0,2,0,0,1,0,1,1,0,2,1,0,1,1,1727,1,1,"Oxford : printed by John Baskett, Printer to the University, MDCCXXVII. [1727].",Oxford,1281,unknown,,,FALSE,"on this wise, C that his',; ;, feed (hold sojourn in a itrange land , and that they Should bring them into bondage, and entreat them evil four hundred years. F V 7 And the nation to whom they shall be in j,,; will I judge, said God : and"
1235600300_000095,"The new Testament of our Lord and Saviour Jesus Christ, translated out of the original Greek, and With the former translations diligently compared and revised, By His Majesty's special Command. Appointed to be read in Churches.",,93,1,1,1,0,3,2,0,0,0,2,1,0,5,1,1,0,10,0,0,1,13,1,3,1,2,4,2,2,3,2,4,0,1,1,1,3,1,0,4,0,1,0,0,1,2,0,0,3,0,0,1,0,1,2,0,2,1,0,1,1,1775,1,1,"Cambridge : printed by John Archdeacon Printer to the University; and sold by John Beecroft, John Rivington, Benjamin White, and Edward Dilly, in London; and T. & J. Merrill, in Cambridge, 1775.",Cambridge,372,unknown,,,FALSE,"at the second! tii.e Joseph was made known to his brethren: and Joseph's kindred was made know wn unto Pharaoh . 14 Then sent Joseph, and called his father Jacob to /im, and all his kindred, threescore and fifteen souls. 15 So Jacob went down into Egypt , and died,"
0053400101_000101,"Sacred history, selected from the Scriptures; with annotations and reflections, particularly calculated to facilitate the study of the Holy Scriptures in schools and families. Third edition ... . By Mrs. Trimmer.",Sarah Trimmer,108,3,0,1,1,3,2,0,1,0,0,5,4,11,2,2,0,3,1,2,0,8,0,3,0,0,3,2,1,2,1,0,0,1,1,1,11,0,2,9,1,1,0,0,2,10,0,0,0,0,0,1,3,0,1,0,2,0,1,0,0,1796,1,6,"London : printed for T. Longman, G. G. and J. Robinson, Pater-Noster-Row; J. Johnson, and F. and C. Rivington, ST. Paul's Church-Yard, MDCCXCVI. [1796].",London,403,female,1741,1810,TRUE,"upon thole, who, by provoking GOD to withdraw the aid of itis HOLY SPIRIT, subject themselves to the influence of that malignant Being, whose delight it is to make mankind ungrateful to their Almighty Benefactor. This section teaches us, that the LORD can wound and ean heal. That an extraordinary"
0929000301_000091,"Sacred history, selected from the scriptures; with annotations and reflections, particularly calculated to facilitate the study of the Holy Scriptures in schools and families. Second edition. ... . By Mrs. Trimmer.",Sarah Trimmer,135,7,0,2,4,0,13,0,2,0,2,0,0,8,3,0,0,0,0,3,1,8,2,5,1,1,1,0,0,0,13,2,0,3,2,2,10,1,0,11,0,0,0,0,6,13,0,0,1,1,0,0,4,1,0,0,0,0,0,1,1,1788,1,6,"Glocester : printed by R. Raikes; for T. Longman, G. G. J. and J. Robinson, Pater-Noster-Row; and J. Johnson, St. Paul's Church-Yard, M.DCC.LXXXVIII. [1788].",Gloucester,448,female,1741,1810,TRUE,"the children of Israel , which Pharaoh's tafk mafcers had set over them, were beaten, and demanded, Wherefore have ye not fulfilled your tali in making brick, both yesterday and today, as heretofore? Then the officers of the children of Israel came and cried unto Pharaoh , saying, wherefore dealeft"
0949600100_000127,"The family testament and scholar's assistant: calculated not only to promote the reading of the Holy Scriptures in families and schools, but also to remove that great uneasiness observable in children upon the appearance of hard words in their Lessons; the Whole being arranged in the following Manner, Viz. I. An Introduction to Spelling and Reading in general, containing a plain Account of the Sounds of Letters and Syllables; general Rules of Spelling; the Explanation and Use of Quantity and Accent; with Directions for Reading with Ease, Elegance, and Propriety. II. An Alphabetical Table of the proper Names of Persons and Places mentioned in the New Testament, with the Signification of each in their original Languages. III. Proper Names and other hard Words are properly divided and accented, ranged in Columns at the Head of every Chapter, with Figures, denoting the particular Verse where each word occurs; which Words the Learner should be taught to spell, read and pronounce, prior to entering upon the succeeding Lesson. IV. A Collection of short Explanatory Notes, for the Use of those who have it not in their Power to purchase large Expositions. By the Reverend Joseph Brown.","Brown, Joseph",100,1,0,2,1,2,2,0,0,0,2,0,0,9,2,0,0,9,0,1,3,11,0,3,1,2,2,1,1,2,3,6,0,1,0,1,7,0,0,7,1,2,0,0,2,2,0,0,2,0,0,1,0,1,2,0,2,1,0,1,1,1794,1,1,"London : printed for W. Lowndes, No. 76, Fleet-Street; and M. Luckman in Coventry, 1794.",London,487,male,1766,1797,FALSE,"in over all the land of Egypt , and to the land which I. fall hew Canaan, and great afflifion: thee. and our fathers found no fufte 4 Then came he out of the nance. land of the Chaldeans, and dwelled 12 But when Jacob heard that in Charran. And"
1159300200_000108,"The new Testament of our Lord and Saviour Jesus Christ, Newly Translated out of the Original Greek, And with the former Translations Diligently Compared and Revised. By His Majesties Special Command. Appointed to be Read in Churches.",,100,1,1,2,1,0,2,0,0,1,2,0,0,11,2,2,0,12,0,1,3,12,2,1,1,2,1,0,1,2,1,6,0,2,0,2,6,0,0,6,1,0,0,0,2,3,0,1,2,0,0,1,0,1,1,0,1,1,0,0,0,1719,1,1,"Oxford : University of Oxford: printed by John Baskett, MDCCXIX [1719].",Oxford,252,unknown,,,FALSE,"which Moses deli.. veredus. rte#. X 5 And all that sat in the council, looking iedafiftly on him, saw his face as it had been the face of an angel. CHAP. VIT. I Stephen permitted to answer to the accufaticn of blafjpheimy, z Jbewetb that Abraham worshipped God rightly, and"
1225900500_000097,"The new Testament of our Lord and Saviour Jesus Christ, Newly translated out of the original Greek: and With the former translations diligently Compared and Revised. By His Majesty's Special Command. Appointed to be read in Churches.",,98,1,0,1,1,2,3,0,0,0,3,0,0,12,2,0,0,9,0,1,3,12,1,3,1,2,2,1,0,1,1,6,0,2,0,1,5,1,0,5,1,2,0,0,1,2,0,0,2,0,0,1,0,1,2,0,2,1,0,1,0,1765,1,1,"Oxford : printed by Mark Baskett, Printer to the University, MDCCLXV. [1765].",Oxford,472,unknown,,,FALSE,"a poheffion, and to his seed after him, when as yet he had no child. 6 And 6 And God spake on this wise, That his seed should sojourn in a strange land ; and that they should bring them into bondage, and entreat then evil four hundred years. 7"
0620100400_000113,"The christian expositor: being a brief explanation of the New Testament, whereby The Holy Scriptures are rendered easy to be understood by the meanest Capacity. Designed for the Use of Families. By the Rev. James Ashton.","Ashton, James",99,1,1,2,0,3,3,0,0,0,2,1,0,6,1,1,0,11,0,0,1,14,0,3,1,1,1,3,2,3,3,4,0,1,0,1,3,1,0,7,0,2,0,0,2,1,1,0,3,0,0,1,0,1,2,0,2,1,0,1,1,1774,1,1,"London : printed for the author, by J. Millidge. Sold by J. Wilkie, in St. Paul's-Church-Yard; and J. Walter, at Charing-Cross, MDCCLXXIV. 17[74?].",London,563,unknown,,,FALSE,"I) Then sent Joseph and called his father Jacob to him, and all his kindred, threescore and fifteen souls. i5 So Jacob went down in Egypt , and died, he and our fathers ; i6 And were carried over into Sychem, and laid in'the fepul three that Abraham bought for"
1474000200_000020,"The beauties of the Bible: being a selection from the Old and New Testaments, with various remarks and brief dissertations. Designed for the use of Christians in general, and particularly for the use of schools, and for the improvement of youth. By Ezra Sampson, of Hudso (New-York.) Printed and published according to act of Congress. [Three lines of Scripture texts].","New Hampshire Historical Society, MWA",112,4,0,3,0,1,1,0,0,0,1,0,1,5,0,2,0,7,1,2,1,13,0,7,0,2,0,0,0,0,1,2,0,0,1,4,2,2,1,22,1,0,1,1,3,4,0,1,0,2,0,0,0,0,2,0,1,1,6,3,0,1800,1,1,"Hudson [N.Y.] : Printed by Ashbel Stoddard, M,DCCC, [1800].",Hudson,286,unknown,,,FALSE,"I will. give thee thy wages. 6 And she took the child, and nursed it. And the child grew, and flhe brought him unto Pharaoh's daughter, and he became her so. And tfle called his name Moses : and (he said, Because I drew him out oe the water ."
0073900102_000471,"The holy family Bible, containing the scriptures of the Old and New Testament. and the Apocrypha at large, with Concise Explanatory notes, on all the Difficult Texts of Scripture. Wherein the Objections of Infidels are obviated, and the obscure Passages explained to the meanest Capacity. Illustrated with copper plates. By the Rev. Alexander Fortescu, D. D. Rector of Structor, Author of the Devout Christian's Family Instructor, and of Preparatory Devotions for the first receiving the Lord's Supper.","Fortescu, Alexander",103,1,0,2,0,3,3,0,0,0,4,0,0,11,1,2,2,9,0,0,1,11,1,2,1,4,2,0,2,1,1,4,0,2,0,2,4,1,0,9,0,0,0,0,4,3,1,1,1,0,0,1,0,1,1,0,1,1,0,2,0,1777,2,2,"Winchester : printed and sold by J. Wilkes, by Appointment of the Proprietor, MDCCLXXVII. [1777].",Winchester,649,unknown,,,FALSE,"great company of the priests io And delivered him out of all his afflictions, were obedient to the faith . and gave him favour and wisdom in the sight of 8 And Stephen, full of faith and power , did Pharaoh king of Egypt ; and he made him go"
0854600102_000104,"The life of our Lord and Saviour Jesus Christ. Containing an accurate and universal history of our glorious redeemer, from his birth to his ascension into heaven. Together with the lives and sufferings of his Holy Evangelists, Apostles, and Disciples, Who have sealed the Divine Truth of Christianity with their Blood. To which is added, a full defence of Christianity, Against all the Objections of Atheists, Deists, and Infidels. The whole Properly adapted to promote the Knowledge of Religion. By the Reverend J. Fleetwood, B. D. With considerable improvements, in two volumes. ...","Fleetwood, John",105,1,1,0,1,2,2,0,1,3,4,0,0,12,0,1,0,13,0,0,2,10,0,3,1,2,0,2,1,4,2,6,0,1,0,0,2,0,0,8,1,2,0,0,4,3,0,0,3,1,1,1,0,0,1,0,1,0,0,1,1,1792,2,2,"Carlisle : printed by L. Smith, M,DCC,XCII. [1792].",,353,male,,,FALSE,"people of which should make them bondmen, and treat them cruelly four hundred years. After which, he would judge that nation , bring out his people who should serve him in this place, as an earnest of which, he gave him the covenant of circumcision; and afterwards a son whom"
1148400100_001188,"The holy Bible, containing the Old Testament and the New: Newly Translated out of the Original Tongues, and With the former Translations diligently Compared and Revised. By His Majesties Special Command. Appointed to be Read in Churches.",,99,5,1,1,0,0,3,0,2,0,1,0,1,3,0,0,0,1,1,1,0,13,0,2,0,0,0,1,1,0,5,0,0,1,0,1,1,3,0,13,0,2,1,0,5,8,0,2,0,2,1,3,2,2,0,1,1,1,6,1,0,1706,1,1,"London : printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; Printers to the Queens most Excellent Majesty, MDCCVI. [1706].",London,1291,unknown,,,FALSE,"a King rose up in Egypt , who knew not Joseph. Aaron born three years before his bro A Exodus I. I, ZZ 1531 1530 1491 1704 1703 1702 i619. 1577- __ - II Joflua XIV 7, 10 exod.iil I, z, CV. VII Psal. LXXVIII CV Exodus XIIL, Numb. XXXIII"
0075400100_000763,"The holy Bible, containing the Old Testament and the New: Newly Translated out of the Original Tongues, and With the former Translations diligently compared and revised, By His Majesty's special Command. Appointed to be read in Churches.",,111,1,1,2,0,3,3,0,0,0,3,0,0,12,1,1,0,12,0,0,2,15,1,3,1,2,2,1,1,3,3,7,0,2,0,1,4,0,0,8,0,2,0,0,2,2,0,0,2,0,0,0,0,1,2,0,2,1,0,1,1,1768,1,1,"Cambridge : printed by John Archdeacon Printer to the University; and sold by John Beecroft, John Rivington, Benjamin White, and Edward Dilly, in London; and T. & J. Merrill, in Cambridge, [1768].",Cambridge,1035,unknown,,,FALSE,"faac, and circumcised him the eighth dayi and Isaac begat Jacob : and Jacob begat the twelve patriarchs. 9 Anl 9 And the patriarchs moved with envy sold Joleph into Egypt : but God was with him, lo And delivered him out of all his affliaions, and gave him favour"
0693100200_000122,"The pronouncing Testament: a work, on an original plan, intended to facilitate the reading of the New Testament with propriety; and particularly adapted to the use of schools: In which The Words are arranged in Alphabetical Order before each Chapter where they first occur, And afterwards repeated more or less frequently as they appear difficult or easy; With their Pronunciation ascertained, According to a very complete, yet obvious and simple, Key. To which are subjoined, A Number of Explanatory Notes. By the Rev. William Brown, minister of Bedrule.","Brown, William, Minister of Bedrule",102,1,0,2,1,2,3,0,0,0,3,0,0,11,2,0,0,11,0,1,3,12,0,3,1,2,2,0,1,1,2,6,0,2,0,1,7,0,0,7,1,1,0,0,2,3,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1796,1,1,"Edinburgh : printed for J. Fairbairn and Ar. Constable, Edinburgh; J. Gray, and Vernor & Hood, London; J. Cooke, Oxford; J. Dieghton, Cambridge; R. Sands, Newcastle; Brash & Reid, Glasgow; J. Burnet, Aberdeen; and G. Elliot, Kelso, MDCCXCVI. [1796].",Edinburgh,594,unknown,,,FALSE,"1 hball Show thee. 4 Then came he out of the land of the Chaldeans, and dwelled in Charran: and from thence, when his father was dead, he removed him into this land , wherein ye now dwell. 5 And he gave him none inheritance in it, no, not so"
1162600100_000435,"The new Testament of our Lord and Saviour Jesus Christ. With explanatory notes, And Practical Observations; Wherein The Difficult Passages are Explained, and rendered Familiar to the meanest Capacity. The Whole Carefully Compiled from the Commentaries and other Writings, of all the most Eminent Authors, Ancient and Modern. And Interspers'd With a great Number of Dissertations, upon the most Important Points of Religion. By Samuel Humphreys. Adorn'd with near forty Large Copper plates.",Samuel Humphreys,100,1,1,2,0,3,3,0,0,0,2,1,0,6,1,1,0,12,0,0,1,14,0,4,1,1,3,2,2,3,3,4,0,1,0,1,3,0,0,7,0,2,0,0,2,1,0,0,4,0,0,0,0,1,2,0,2,1,0,1,1,1746,1,1,"London : printed for Samuel Birt, in Ave-Mary-Lane; and John Osborn, in Pater-Noster-Row, MDCCXLVI. [1746].",London,1033,male,1698,1738,FALSE,"Then sent Joseph, and called his father Jacob to him, and all his kindred, threescore and fifteen souls. I 5 So Jacob went down into Egypt , and died, he and our fathers , 16 And were carried over into Sychem, and laid in the sepulchre that Abraham bought for"
0056100204_000165,"Sacred literature: shewing the holy scriptures to be superior to the most celebrated writings of antiquity, by the testimony of above five hundred witnesses, and also by a Comparison of their Several Kinds of Composition. In Twelve Books. To which are Added, Epistles and Extracts, from some of the Most Early of the Christian Fathers. The Whole Intended not only to recommend the Bible as superior to all other Books, but as a moral and theological Repository for Christians of every Rank and Degree. In four volumes. By the Revd. David Simpson, M.A.","Simpson, David",125,3,0,1,1,3,3,1,0,0,0,6,4,11,1,2,0,3,1,2,0,8,3,5,0,0,5,2,0,3,3,0,0,0,4,0,11,0,3,11,0,1,0,0,2,13,0,0,0,0,0,1,5,0,1,0,2,0,0,0,0,1788,4,4,"Birmingham : printed and sold by M. Swinney. Sold also by Dilly, Buckland, Matthews, Scollick, Trapp, London; Spence, York, Bulgin, Bristol; Clarke, Manchester; Bayley, Macclesfield; and all other booksellers in town and country, MDCCLXXXVIII. [1788].",Birmingham,680,male,1745,1799,FALSE,"my hands unto the Lord; and the thunder hall cease, neither ( hall there be any more hail: that thou mayest know how that the earth is the Lord's. But as for thee and thy servants , I know that ye will not yet fear the Lord God . And"
