PassageID,Title,Author,Total termFreq,termFreq(africa),termFreq(african),termFreq(america),termFreq(annual),termFreq(black),termFreq(british),termFreq(brought),termFreq(carri),termFreq(charter),termFreq(coast),termFreq(coloni),termFreq(commerc),termFreq(compani),termFreq(countri),termFreq(cruel),termFreq(dutch),termFreq(european),termFreq(export),termFreq(foreign),termFreq(fort),termFreq(franc),termFreq(french),termFreq(gambia),termFreq(gold),termFreq(hand),termFreq(human),termFreq(import),termFreq(indi),termFreq(inhabit),termFreq(king),termFreq(labour),termFreq(majesti),termFreq(manner),termFreq(merchant),termFreq(nation),termFreq(nativ),termFreq(negro),termFreq(number),termFreq(object),termFreq(peopl),termFreq(plantat),termFreq(poor),termFreq(portugues),termFreq(price),termFreq(properti),termFreq(public),termFreq(river),termFreq(sea),termFreq(settlement),termFreq(ship),termFreq(slave),termFreq(slaveri),termFreq(sold),termFreq(sugar),termFreq(taken),termFreq(thousand),termFreq(tobacco),termFreq(trade),termFreq(trader),termFreq(treat),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1321800101_001346,"The universal dictionary of trade and commerce: With large additions and imporvements adapting the same to the present state of British affairs in America, since the last Treaty of Peace made in the year 1763. With great variety of new remarks and illustrations incorporated throughout the whole: together with every thing essential that is contained in Savary's dictionary: also, all the materials laws of trade and navigation relating to these kingdoms, and the customs and usages to which all traders are subject. By Malachy Postlethwayt, Esq;.",Jacques Savary des Brûlons,123,10,5,4,0,0,3,0,2,0,1,3,0,9,5,0,1,3,2,0,8,5,7,1,2,0,2,4,0,1,0,0,1,0,1,4,1,5,3,0,3,0,0,0,0,0,1,2,0,0,0,1,0,1,5,2,0,0,13,2,0,0,1766,1,2,"London : printed for H. Woodfall, A. Millar, J. and R. Tonson, J. Rivington, J. Hinton, R. Baldwin, L. Hawes and W. Clarke and R. Collins, R. Horsfield, W. Johnston, T. Longman, J. Brotherton, J. Dodsley, T. Payne, J. Robson, T. Lowndes, W. Nicoll, and J. Knox, M DCC LXVI. [1766].",London,1115,male,1657,1716,FALSE,"thflicient number of forts and caitles on the Gold Coaff, the laid company , and all other Britimh thips and vessels, have traded freely to the laid coast , and to all places dependent thereon, without the least interruption or molefiation from the Dutch , or any other nation ."
1562800101_001271,"The universal dictionary of trade and commerce, translated from the French of the celebrated Mosieur Savary, Inspector-General of the manufactures for the King, at the Custom-House of Paris: with large additions and improvements, incorporated throughout the whole work; which more particularly accomodate the same to the trade and navigation of these kingdoms, and the laws, customs, and usages, to which all traders are subject. By Malachy Postlethwayt, Esq;",Malachy Postlethwayt,114,10,4,2,1,1,1,1,3,2,0,2,4,8,10,1,1,7,1,0,5,0,0,0,0,0,5,0,0,1,0,1,3,0,2,3,1,3,1,0,4,1,0,0,0,1,2,0,0,1,0,4,0,0,0,0,0,0,14,1,0,2,1757,1,2,"London : printed for John Knapton, in Ludgate-Street, M DCC LVII. [1757].",London,1069,male,1707,1767,FALSE,"by public authority in all that time to deprive them of any of their privileges; although they continued to keep and support their said forts and cafiles for the next succeeding z4 years, in hopes that the duty of to percent. upon their own and the separate traders exports to"
1478900602_000063,"The history of America: containing the geographical, political, and commercial state of that continent; in which is given a succinct account of the trade, customs and policy of the French nation, and the foundation they have laid for obtaining the sole dominion in those colonies. Translated from the French of Mons. Du Bosque, late historographer to the French King. In two volumes.",Malachy Postlethwayt,93,3,3,1,0,1,1,1,2,0,0,3,3,1,6,0,1,5,2,0,0,0,1,0,1,1,1,1,0,2,0,3,0,1,2,1,1,4,4,0,7,2,1,0,1,0,0,1,2,0,3,4,0,1,1,0,0,1,12,0,0,1,1770,2,2,"London : printed by George Cave and William Jordon, in St. Paul's Church Yard, MDCCLXX. [1770]",London,386,male,1707,1767,FALSE,"navigation; streams penetrating into the very centre of the country , but of no benefit to it; innumerable people , without knowledge of each other, correspondence, or commerce . AT the entrance of these rivers into the sea are the most excellent harbours, prodigious in number , deep, safe, and"
1250800100_000011,"Travels in the interior districts of Africa: performed under the direction and patronage of the African Association, in the years 1795, 1796, and 1797. By Mungo Park, Surgeon.",Mungo Park,83,1,1,0,2,1,1,1,0,0,5,0,0,2,4,0,1,2,3,0,0,0,2,5,1,1,0,1,0,4,0,1,0,1,1,3,5,3,2,0,0,0,1,1,1,0,0,3,0,1,2,7,0,1,0,1,1,3,3,2,1,1,1800,1,1,"London : printed by W. Bulmer and Co. Cleveland-Row, St. James's, for the author; and sold by G. and W. Nicol, Booksellers to his Majesty, Pall-Mall, 1800.",London,578,male,1771,1806,FALSE,"some of which are necessarily interwoven into the narrative of my progress, and others will be given in a summary, at the end of my work; together with all such observations as I have collected on the country and climate, which I could not with propriety insert in the regular"
1562800101_000013,"The universal dictionary of trade and commerce, translated from the French of the celebrated Mosieur Savary, Inspector-General of the manufactures for the King, at the Custom-House of Paris: with large additions and improvements, incorporated throughout the whole work; which more particularly accomodate the same to the trade and navigation of these kingdoms, and the laws, customs, and usages, to which all traders are subject. By Malachy Postlethwayt, Esq;",Malachy Postlethwayt,174,7,11,18,0,0,5,0,2,0,6,11,6,12,0,0,6,5,1,0,2,4,14,0,2,1,0,3,2,0,3,0,0,0,1,6,0,2,0,0,0,1,0,5,0,0,0,0,2,3,2,0,0,0,4,0,0,0,23,0,1,3,1757,1,2,"London : printed for John Knapton, in Ludgate-Street, M DCC LVII. [1757].",London,1069,male,1707,1767,FALSE,"colonies . -- Of the attempts which the French have made to wrest our colonies out of Bricifh hands , more particularly that important one of Jamaica. of their efforts also to deprive us of several other island colonies , of high concernment to the interest of our other sugar"
1000700103_000114,"The farmer's magazine, and useful family companion. Consisting of practical essays, ... on the different branches of husbandry, ... A miscellaneous collection of valuable family receipts, ... Useful hints and curious observations ... By Agricola Sylvan, gentleman.",,101,6,3,1,0,0,0,0,2,0,8,2,2,2,7,0,1,3,0,0,0,0,0,1,3,1,1,1,0,3,0,2,0,0,2,3,0,3,4,0,6,1,0,2,1,0,0,5,2,2,2,4,0,1,1,0,0,0,12,0,0,1,1778,3,5,"[London, England] : Printed for R. Snagg, no. 129, Fleet-Street, London; and R. Cruttwell, in Bath; and sold by every bookseller, stationer, and news-carrier, in the kingdom, MDCCLXXVI. [1776-1780].",London|Bath.,512,unknown,,,FALSE,"propagated to advantage on the African coast , and experiments have ascertained the fat. Tis melancholy to oferve, that a country , which has near 1o, ooo miles of coast , furnished with noble, large, deep rivers , fihould have no lnavigatio; treanls penetrating into the heart of the country"
1286200800_000031,"A reply to the personal invectives and objections contained in two answers, published by certain anonymous persons, to an essay on the treatment and conversion of African slaves, in the British colonies, by James Ramsay, M. A. Vicar of Teston.",James Ramsay,91,3,6,1,1,0,0,0,0,0,1,1,1,1,4,0,2,8,0,3,0,1,1,0,0,1,1,1,1,0,0,7,0,1,1,2,1,4,3,0,0,2,3,0,1,1,0,0,0,1,0,11,4,2,0,0,2,0,2,3,2,0,1785,1,1,"London : printed and sold by James Phillips, in George-Yard, Lombard-Street, M CD Clxxxv [1785].",London,143,male,1733,1789,FALSE,"30 "" The law, as it now stands, evidently speaks ct for the slave trade , and humanity pleads as strong C ly in favour of it. For the Africans will cut the "" throats of their slaves , if the Europeans come not C up to their price ."""
0793200100_000539,"Lex mercatoria rediviva: or, the merchant's directory. Being a complete guide to all men in business, Whether AS Traders, Remitters, Owners, Freighters, Captains, Insurers, Brokers, Factors, Supercargoes, Agents. Containing an account of our trading companies and colonies, with their Establishments, and an Abstract of their Charters; the duty of consuls, and the Laws subsisting about Aliens, Naturalization and Denization. To Which IS Added a state of the present general traffick of the whole world; describing the Manufactures and Products of each particular Nation: And Tables of the Correspondence and Agreement of the European Coins, Weights, and Measures, with the Addition of all others that are known. Extracted fro the works of the best writers both at Home and Abroad; more especially from those justly celebrated ones of Messieurs Savary; improved and corrected by the author's own observations, during his long Continuance in Trade. The whole calculated for the Use and Service of the Merchant, Lawyer, Senator, and Gentleman. The second edition, with large additions. By Wyndham Beawes, Esq; His Britannick Majesty's Consul at Seville and St. Lucar.",Wyndham Beawes,90,2,2,0,0,3,0,0,5,0,3,2,1,2,3,0,3,3,0,0,1,0,1,0,3,0,0,0,0,1,0,1,1,0,2,3,0,4,4,0,0,1,2,8,1,1,1,0,2,2,3,6,0,0,2,0,4,1,5,0,1,0,1761,1,1,"London : printed for R. Baldwin at the Rose, and S. Crowder and Co. at the Looking-Glass, in Pater-Noster-Row, M.DCC.LXI. [1761].",London,943,male,,,FALSE,"and the Number , which they send yearly to the Support of theiramerican Colonies , is surprisingly great; and what renders this Business still more advantageous and considerable, is the thort Cut from hence to the Brazils, compared with what all other Nations have to run, when carrying there unhappy"
1163900102_000014,"The history, civil and commercial, of the British colonies in the West Indies: in two volumes. By Bryan Edwards, ...",Bryan Edwards,103,2,2,0,1,3,3,2,3,0,13,0,1,1,7,0,3,2,1,0,2,0,2,0,6,0,0,0,1,1,2,0,1,0,2,0,0,4,4,0,2,0,0,1,0,1,0,9,0,1,2,5,0,1,1,0,0,0,7,3,0,1,1793,2,2,"London : printed for John Stockdale, 1793.",London,503,male,1743,1800,FALSE,"open. Thus the whole African trade is free to all his Majesty's fubjces; but that part of it which is carried on between Port Sallee and Cape Rouge is under the direetion of government. From Cape Rouge to the Cape of Good Hope, the English forts are under the dircion"
0424400300_000001,"The history civil and commercial, of the British colonies in the West Indies. To which is added, an historical survey of the French colony in the island of St. Domingo. Abridged from The history written by Bryan Edwards. Esq. Illustrated with a map.",Bryan Edwards,96,2,3,0,3,1,3,0,0,1,3,6,0,1,2,0,0,1,6,0,1,1,3,0,1,0,0,3,3,4,1,0,0,3,0,3,7,12,3,0,2,1,0,1,0,0,1,1,1,1,1,2,2,0,1,0,0,0,3,0,0,2,1799,1,1,"London : printed for Crosby and Letterman , Stationer's Court, near Paternoster Row ; for Mundell and Son, Edinburgh; and J. Mundell, College, Glasgow, 1799.",London,384,male,1743,1800,FALSE,"H ST RHE HISTORY CIVIL AND COMMERCIAL, OF THE BRITISH COLONIES IN THE WEST INDIES . To which is added, AN HISTORICAL SURVEY or tile FRENCH COLONY IN THE ISLAND OF ST. DOMINGO. ABRIDCGD FROM THE HISTORY WRITTEN By BRYAN EDWARDS. esq. ILLUSTR~TED if7th 1 ALP. LONDON: Printed for CROSBY"
1562800101_000075,"The universal dictionary of trade and commerce, translated from the French of the celebrated Mosieur Savary, Inspector-General of the manufactures for the King, at the Custom-House of Paris: with large additions and improvements, incorporated throughout the whole work; which more particularly accomodate the same to the trade and navigation of these kingdoms, and the laws, customs, and usages, to which all traders are subject. By Malachy Postlethwayt, Esq;",Malachy Postlethwayt,85,4,2,2,0,1,0,1,1,0,0,3,2,0,7,0,1,4,1,0,0,0,1,0,1,1,1,0,0,2,0,2,0,1,2,1,1,4,4,2,7,1,1,0,1,0,0,2,2,1,1,4,0,1,1,0,0,1,9,0,0,1,1757,1,2,"London : printed for John Knapton, in Ludgate-Street, M DCC LVII. [1757].",London,1069,male,1707,1767,FALSE,"wastes either of Europe, Asia, or America . Notwithstanding this, Africa , in one respect, has greater advantage than the other parts of the world, for it feels no cold, the most northerly latitude being about 37, and the moult southerly about 35 degrees; Co that infinitely the larger part"
0424400300_000037,"The history civil and commercial, of the British colonies in the West Indies. To which is added, an historical survey of the French colony in the island of St. Domingo. Abridged from The history written by Bryan Edwards. Esq. Illustrated with a map.",Bryan Edwards,83,3,4,0,1,0,3,0,0,0,5,0,0,0,2,0,1,1,4,0,1,1,1,1,3,1,0,2,1,0,0,0,0,2,3,1,3,9,3,0,0,0,0,1,0,0,1,1,0,2,3,6,2,0,0,2,0,0,4,2,0,3,1799,1,1,"London : printed for Crosby and Letterman , Stationer's Court, near Paternoster Row ; for Mundell and Son, Edinburgh; and J. Mundell, College, Glasgow, 1799.",London,384,male,1743,1800,FALSE,"the officers of the forts also, according to their circumitances and ability, fell laves to the Guinea traders in private bargains; but the natives themselves bring slaves cheaper to market than any in the Britifl erabliflinents. Previous to the exchange which takes place between the European and the African trader"
1010400100_000582,"A new dictionary of trade and commerce, compiled from the information of the most eminent merchants, and from the works of the best writers on commercial subjects, in all languages. Containing, among other Things, I. An Account of all the natural Productions, which are conducive to Trade, throughout the World. II. The different Manufactures established in each particular Country. III. Explanations of all the Terms used in Commerce. IV. Explanations of the principal Terms of Geography, Astronomy, and Navigation, so far as they are connected with Trade. V. An exact Account of the Coins, Weights, and Measures in use throughout the World, reduced to the English Standard. VI. A Description of the Established Banks, Trading Companies, and Staple Commodities, of different Countries. Vii. The State of the British Trade, National Debt, Funds, Customs, Excise, and other Taxes. Viii. The Laws relative to Trade and Commerce. For the Use of the Merchants and Tradesmen of Great Britain, as well as of private Gentlemen. By Mr. Rolt, with the assistance of several eminent merchants. The second edition, with the addition of a new and accurate set of maps of the world, Europe, Asia, Africa, and North and South America, by Mr. Bowen.",Richard Rolt,109,3,4,0,2,0,3,0,1,0,7,1,2,6,1,0,7,0,2,0,4,0,1,0,4,1,0,2,1,0,1,1,0,0,1,3,3,9,5,0,1,4,0,4,0,0,0,1,0,2,2,1,0,0,1,0,0,1,17,0,0,0,1761,1,1,"London : printed for G. Keith, at the Bible and Crown, in Grace-Church-Street; S. Crowder, at the Looking-Glass, and H. Woodgate and S. Brooks, at the Golden Ball, in Pater-Noster-Row, MDCCLXI. [1761].",London,926,male,1724,1770,FALSE,"trifles with the Negroes for gold , and made very .advantageous returns. But the Portuguese building forts upon the coast , and keeping the native in a sort of fubjeaion, that they could not trade freely with any other nation , the Negroes invited the English to settle among them;"
0151301400_000003,"A short account of the African slave trade, collected from local knowledge, from the evidence given at the bar of both House of Parliament, and, from tracts written upon that subject.","Norris, Robert           1791",90,3,6,0,8,0,3,1,3,0,0,4,2,2,3,0,1,2,0,1,0,0,2,0,0,0,0,2,4,0,0,3,0,1,1,1,0,5,1,0,1,1,0,1,0,1,0,0,1,0,5,5,2,2,0,2,2,0,6,0,0,2,1788,1,1,"Liverpool : printed at Ann Smith's navigation shop, Pool-Lane, M,DCC,LXXXVIII. [1788].",Liverpool,21,unknown,,,FALSE,"bloody and unrelenting Arm of Tyranny is eternally held up, ready to cut it down. THE Credibility of there extraordinary faas does not depend upon mere hearsay: Dahomy is a maritime Kingdom, in which the British , French , and Portuguese have been permitted to eret Sorts for the Proteaion"
1321800101_001583,"The universal dictionary of trade and commerce: With large additions and imporvements adapting the same to the present state of British affairs in America, since the last Treaty of Peace made in the year 1763. With great variety of new remarks and illustrations incorporated throughout the whole: together with every thing essential that is contained in Savary's dictionary: also, all the materials laws of trade and navigation relating to these kingdoms, and the customs and usages to which all traders are subject. By Malachy Postlethwayt, Esq;.",Jacques Savary des Brûlons,118,6,3,7,0,0,2,1,3,1,1,3,2,5,0,0,0,1,0,2,2,5,14,0,3,1,0,2,3,0,2,2,1,0,1,2,0,7,0,0,0,0,1,0,0,0,1,3,2,1,0,0,0,0,3,2,1,0,16,4,0,2,1766,1,2,"London : printed for H. Woodfall, A. Millar, J. and R. Tonson, J. Rivington, J. Hinton, R. Baldwin, L. Hawes and W. Clarke and R. Collins, R. Horsfield, W. Johnston, T. Longman, J. Brotherton, J. Dodsley, T. Payne, J. Robson, T. Lowndes, W. Nicoll, and J. Knox, M DCC LXVI. [1766].",London,1115,male,1657,1716,FALSE,"5001 3 A bounty of ten livres, or 99 2d. fierling to be paid out of the king's revenue, for every negroe carried to the French islands and colonies in America ; which upon the laid 15coo negroes only, amounts to - - - - 68715 4 A bounty of"
1321800101_000140,"The universal dictionary of trade and commerce: With large additions and imporvements adapting the same to the present state of British affairs in America, since the last Treaty of Peace made in the year 1763. With great variety of new remarks and illustrations incorporated throughout the whole: together with every thing essential that is contained in Savary's dictionary: also, all the materials laws of trade and navigation relating to these kingdoms, and the customs and usages to which all traders are subject. By Malachy Postlethwayt, Esq;.",Jacques Savary des Brûlons,93,7,2,1,0,1,0,1,1,0,0,3,2,0,8,0,2,9,1,0,0,0,2,0,3,2,1,0,0,2,0,1,0,1,1,1,2,5,2,0,7,1,1,1,1,0,0,2,1,3,0,4,0,1,0,0,0,0,9,0,0,1,1766,1,2,"London : printed for H. Woodfall, A. Millar, J. and R. Tonson, J. Rivington, J. Hinton, R. Baldwin, L. Hawes and W. Clarke and R. Collins, R. Horsfield, W. Johnston, T. Longman, J. Brotherton, J. Dodsley, T. Payne, J. Robson, T. Lowndes, W. Nicoll, and J. Knox, M DCC LXVI. [1766].",London,1115,male,1657,1716,FALSE,"Natal, the Prio St. Esprit, the Melinda, and the Mozambo, all rivers of a very great length and breadth, which empty thiemi~lves into the lodian ocean on the ear fide of Africa . tihefe are all rivers of the first magnitude; besides which, thecre are innucmerablee others, which, though not"
1321800101_001347,"The universal dictionary of trade and commerce: With large additions and imporvements adapting the same to the present state of British affairs in America, since the last Treaty of Peace made in the year 1763. With great variety of new remarks and illustrations incorporated throughout the whole: together with every thing essential that is contained in Savary's dictionary: also, all the materials laws of trade and navigation relating to these kingdoms, and the customs and usages to which all traders are subject. By Malachy Postlethwayt, Esq;.",Jacques Savary des Brûlons,94,6,1,2,0,2,1,1,3,0,3,5,4,7,4,1,1,5,1,0,5,0,0,0,0,0,3,0,1,1,0,1,1,0,0,3,1,3,1,0,1,2,0,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,12,1,0,2,1766,1,2,"London : printed for H. Woodfall, A. Millar, J. and R. Tonson, J. Rivington, J. Hinton, R. Baldwin, L. Hawes and W. Clarke and R. Collins, R. Horsfield, W. Johnston, T. Longman, J. Brotherton, J. Dodsley, T. Payne, J. Robson, T. Lowndes, W. Nicoll, and J. Knox, M DCC LXVI. [1766].",London,1115,male,1657,1716,FALSE,"a friendly, humane , and civilised commerce with those people , into the very centre of their extended country , than to content themselves onlyt with skimming a trifling portion of trade upon the sea coaff of Africa . See our articleeast india COMPANY . 6 Whether the greatest hindrance"
