PassageID,Title,Author,Total termFreq,termFreq(advanc),termFreq(arm),termFreq(armi),termFreq(arriv),termFreq(attack),termFreq(battl),termFreq(bodi),termFreq(camp),termFreq(carri),termFreq(citi),termFreq(colonel),termFreq(command),termFreq(continu),termFreq(count),termFreq(countri),termFreq(duke),termFreq(enemi),termFreq(engag),termFreq(field),termFreq(follow),termFreq(foot),termFreq(forc),termFreq(form),termFreq(french),termFreq(gener),termFreq(ground),termFreq(guard),termFreq(head),termFreq(hors),termFreq(join),termFreq(kill),termFreq(king),termFreq(left),termFreq(line),termFreq(mean),termFreq(near),termFreq(night),termFreq(number),termFreq(oblig),termFreq(offic),termFreq(order),termFreq(parti),termFreq(pass),termFreq(piec),termFreq(princ),termFreq(quarter),termFreq(receiv),termFreq(regiment),termFreq(retir),termFreq(retreat),termFreq(return),termFreq(river),termFreq(sever),termFreq(soldier),termFreq(taken),termFreq(took),termFreq(town),termFreq(troop),termFreq(war),termFreq(wound),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1138600700_000046,"The history of the life and reign of the Czar Peter the Great, Emperor of all Russia, and Father of his country. ... Faithfully abridged from the best historians, by J. Bancks, ...",John Bancks,112,1,1,7,1,2,1,2,2,1,0,1,1,1,0,3,0,5,2,1,3,2,1,0,0,6,2,2,1,2,2,3,9,2,0,1,2,0,1,3,1,3,0,2,1,3,0,0,2,1,3,1,3,2,1,2,2,2,5,2,2,1740,1,1,"London : printed for J. Hodges, 1740.",London,364,male,1709,1751,FALSE,"his Armpits. He was followed with Zeal by the Soldiers , who carried their Arms over their hn'.a keep them from being wet: But the Ground on the other Side being marshy, it was impossible for them to keep their Ranks. In the mean Time the Mufacovictt turned all their"
0181700104_000301,"The history of France, from the earliest times, to the accession of Louis the Sixteenth; with notes, critical and explanatory; by John Gifford, Esq. ...",John Gifford,125,2,1,3,0,3,3,3,0,1,0,1,2,2,6,0,8,5,1,4,1,1,2,2,5,2,1,2,1,4,2,7,3,1,4,0,0,0,1,1,5,1,0,0,0,5,0,2,4,2,1,0,2,3,0,2,1,0,3,1,8,1793,4,4,"London : printed for and by C. Lowndes, Drury-Lane, and sold by J. Parsons, Paternoster Row, 1793.",London,767,male,1758,1818,FALSE,"them in confusion, and with an inferior force . The cavalry of the king's household, and the carabineers, by the impetuosity of their attack , broke, at the first charge, two complete lines of infantry; but those lines immediately formed again, and surrounded the French . The officers of the"
1083002200_000082,"The history of England from the beginning of the reign of Queen Anne, to the conclusion of the glorious treaty of union between England and Scotland. Comprehending all the most memorable transactions (publick and private) both at home and abroad. With the proceedings at large of both Parliaments in relation to the union, and all the Remarkable Speeches that have been made in Parliament upon that and other Occasions, since Her Majesty's Accession to the Throne.",,121,4,0,6,1,4,1,0,4,0,0,0,1,2,5,2,6,6,2,1,2,3,6,1,2,7,1,2,1,1,1,0,1,3,3,1,4,1,0,0,1,4,0,2,1,5,0,1,2,2,2,0,5,1,1,0,2,2,4,1,0,1707,1,1,"London : printed for J. Chantry at the Sign of Lincolns-Inn-Square, at Lincolns-Inn Back-Gate : and sold by Ben. Bragg, at the Raven in Pater-Noster Row, 1707.",London,578,unknown,,,FALSE,"Prince Eugene of Savoy having desired of the Duke a farther Reinforcement of Troops for the Security of the Rhme, and the Lines of Stolhoffen, his Grace thereupon sent Orders to Lieutenant General Schol' ten, to iarch to the Rhine with the Seven Battalions of dani/h Foot , which were"
0070100104_000213,"A complete history of England, deduced from the descent of Julius Cæsar, to the Treaty of Aix la Chapelle, 1748. Containing the Transactions of One Thousand Eight Hundred and Three Years. By T. Smollett, M.D. ...",Tobias Smollett,127,1,0,7,1,6,3,1,2,0,1,2,1,2,2,1,9,6,4,1,0,1,1,4,9,8,1,2,2,4,0,1,1,1,2,0,0,2,2,2,2,6,0,5,1,3,0,0,3,2,1,0,3,1,0,0,3,0,4,0,0,1757,4,4,"London : printed for James Rivington and James Fletcher, at the Oxford-Theatre, in Pater-Noster Row, MDCCLVII. [1757]-58.",London,703,male,1721,1771,TRUE,"the canal, and encamped at An derlch. The French croftd the Senne at Hall and Tubize, and the allies reolved to attack them next morning; but they passed the Dender in the night with great expedition and the duke of Marlborough next day en. camped at A, where he was"
0418100700_000093,"The history of Francis-Eugene Prince of Savoy, Knight of the Golden Fleece, Privy-Councillor and Prime Minister to his Imperial Majesty, President of the Aulic Council of War, Field-Marshal-General and Commander in Chief of all the Forces of the Emperor and the Empire, &c. Containing, the military transactions of above thirty campaigns, made by his Serene Highness in Hungary, Italy, Germany, and the Low-Countries. And Interspersed with other memorable Events, during a Course of more than Fifty Years. The whole compiled from the best authorities, Printed and Manuscript, by an English officer, who served under his Highness in the last war with France.",John Bancks,118,0,0,7,1,2,4,1,1,1,0,5,3,1,3,0,5,5,2,3,0,3,0,0,4,5,1,0,2,1,0,2,2,3,1,0,1,1,1,0,7,1,0,2,1,6,1,1,2,3,2,0,2,4,1,1,4,0,5,2,2,1742,1,1,"London : printed for James Hodges, at the Looking-Glass on London-Bridge, MDCCXLII. [1742].",London,365,male,1709,1751,FALSE,"irft Major- general Weck to pass with the Foot Brigades of Wafenaer and naja Oudenburg. These Brigades, supported by the Cavalry commanded by Count Tily, took Polt in a little Plain. Here they drew up in Sight of the Enemy , who retired beyond the Hedges and Ditches between Brcasand"
0418100700_000089,"The history of Francis-Eugene Prince of Savoy, Knight of the Golden Fleece, Privy-Councillor and Prime Minister to his Imperial Majesty, President of the Aulic Council of War, Field-Marshal-General and Commander in Chief of all the Forces of the Emperor and the Empire, &c. Containing, the military transactions of above thirty campaigns, made by his Serene Highness in Hungary, Italy, Germany, and the Low-Countries. And Interspersed with other memorable Events, during a Course of more than Fifty Years. The whole compiled from the best authorities, Printed and Manuscript, by an English officer, who served under his Highness in the last war with France.",John Bancks,109,2,2,4,1,2,1,0,3,0,1,2,4,2,5,0,3,10,0,1,0,0,1,0,1,4,0,0,1,1,1,2,0,2,0,0,3,1,1,0,3,4,1,5,2,3,1,1,2,1,2,0,1,6,3,1,1,3,3,3,2,1742,1,1,"London : printed for James Hodges, at the Looking-Glass on London-Bridge, MDCCXLII. [1742].",London,365,male,1709,1751,FALSE,"the Command of that Detachment after the Death of his Colonel , found a Way by which to retire . When he was got up the Hill, however, his Rear was attacked ; but he lost onlya sew Men: For Count Haracr, with 6 Battalions and some Horse , came"
0007400104_000014,"The naval and military history of the wars of England; including, the wars of Scotland and Ireland. In Which IS Given, An accurate and lively Description of the Sieges, Battles, Bombardments, Sea Engagements, Expeditions, and extensive Conquests of the British Arms, in all Quarters of the Globe. With A Variety Of Interesting and extraordinary Anecdotes of Military Skill and Intrepidity, heroic Adventures, brilliant Exploits, martial Atchievements, and memorable Actions of the British Warriors. Calculated To inspire the Rising Generation with Magnanimity and Virtue, and to Impress on their Minds the generous Ardour and Noble Emulation of their Ancestors. None But The Brave Deserve The Fair. ... . Ornamented With Elegant Copper-Plates.","Mante, Thomas",122,0,2,5,1,4,2,3,1,0,0,3,7,1,2,1,7,5,2,1,0,1,3,0,4,9,0,0,1,1,0,3,0,1,4,0,3,2,2,5,5,3,0,0,2,1,0,0,2,2,1,0,1,4,2,3,1,0,4,1,4,1795,4,8,"London : printed for the author, and sold by Champante and Whitrow, Jewry-Street, Aldgate; and at the British directory office, Ave-Maria-Lane, St. Paul's, [1795-1807].",London,469,unknown,,,FALSE,"Bonn; and In a short time after by the rest of the army ., The -  *  ~~~~~~~~~~~~~~t~rj' am army of France, commanded by the Marshals Villeroy and Boufflers, and consisting of fifty-four battalions and a hundred and three squadrons, lay encamped near Tongres. The two armies made"
0004500402_000048,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,134,1,0,8,1,6,3,1,1,0,0,2,1,2,2,1,10,9,4,1,0,1,2,3,8,9,1,1,2,5,2,1,1,1,1,0,0,2,2,1,3,6,0,6,1,4,0,0,3,2,1,0,3,1,0,0,4,0,4,0,0,1796,2,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXCVI. [1796].",London,581,male,1721,1771,TRUE,"sort of Plaffendhal which he took by assault. The Duke of Marlborough was no sooner apprised of the enemy's having sent a strong detaehment towards Tubize, then he marched from Terbank, paed the canal, and encamped at Anderlech. The French crofied the Senne at Hall and Tubize, and the Allies"
0014700102_000071,"The history of England, from the Revolution to the death of George the Second. Designed as a continuation of Mr. Hume's History. In six volumes. By T. Smollett, M.D. ...",Tobias Smollett,123,1,0,6,1,4,4,0,0,0,2,2,2,2,2,1,7,6,4,3,0,1,3,4,8,6,1,1,2,4,0,2,1,3,1,0,0,1,2,2,6,5,0,2,2,3,0,0,3,2,1,0,2,1,0,1,2,1,3,0,0,1794,2,6,"London : printed for J. Parsons, No. 21, Paternoster-Row, 1794.",London,400,male,1721,1771,TRUE,"should have palsed the Schelde: But he was thwarted by the duke of Burgundy, who seemed to be perplexed and irresolute. This prince had ordered the troops to halt in their march to Gavre, as if he had not yet formed any resolution; and now he recalled the squadrons from"
1756300100_000136,"A compleat history of Europe: or, a view of the affairs thereof, civil and military, for the year, 1703. Containing all the publick and secret transactions therein; ... Intermix'd with great variety of original papers, ... With the remarkables of the year; ... Also, the parliaments, ... With correct lists of all persons in offices or places of trust in Her Majesty's government. To be continued annually.","Jones, D. (David)",122,3,0,2,1,2,1,3,2,0,0,3,2,1,5,1,4,7,0,1,2,5,1,0,4,3,0,0,1,11,1,5,0,1,0,0,4,1,2,1,2,5,0,2,1,2,0,2,2,2,2,0,4,1,0,1,4,1,6,1,4,1704,1,1,"London : printed for H. Rhodes; J. Nicholson; and Andr. Bell, 1704.",London,702,male,1676,1720,FALSE,"their Retreat from Injfruck, was dolely follow by Imperiu the Imperial Forces and Country People, who skir 2ifretake miib'd almoll continually with their Rearguard, Jnjpauck. and on the z9th polled themselves op.an Hill neat 27 sec field ; whereupon Major- general la~rlbourg war commanded out with a Detachment of Bavariani"
0018300500_000042,"Continuation of the Complete history of England. By T. Smollett, M.D. Volume the second.",Tobias Smollett,128,2,0,10,3,3,1,3,4,0,1,3,2,0,5,2,0,6,3,1,2,0,0,0,7,9,1,0,0,0,0,3,3,1,0,0,3,1,2,2,4,1,1,1,1,5,0,2,2,4,2,1,1,4,2,0,6,2,5,0,1,1767,1,1,"London : printed for R. Baldwin, in Pater-Noster-Row, MDCCLXVII. [1767].",London,491,male,1721,1771,TRUE,"which his priuffian majelty, finding that all his endeavours could not bring the Austrians to an engagement , set out from Lusatia, accompaniedby marechal Keith, with fix.. teen battalions and forty squadrons of his troops , and arrived at Dresden on the twenty-ninth of August, leaving the rest of the"
0466700107_000168,"British biography; or, an accurate and impartial account of the lives and writings of eminent persons, in Great Britain and Ireland; from Wickliff, who begun the Reformation by his writings, to the present time: whether, Statesmen, Patriots, Generals, Admirals, Philosophers, Poets, Lawyers, or Divines. In which, The several Incidents and remarkable Actions of their Lives, and the Particularities of their Deaths, that could be collected from History, Family Memoirs, and Records, are related; a Catalogue and Specimen of their Writings given, with occasional Remarks; and their Characters delineated with Freedom and Impartiality. ...",Joseph Towers,128,2,0,4,0,5,3,2,1,0,1,2,1,1,3,1,8,7,3,2,0,0,2,1,11,7,1,1,3,5,2,2,2,1,1,0,0,3,2,1,5,5,0,2,2,5,1,0,3,2,0,0,3,0,0,1,4,0,4,0,0,1766,7,10,"[Sherborne] : Printed for R. Goadby; and sold by Richard Baldwin and William Lee, London, MDCCLXVII. [1766].",,484,male,1737,1799,FALSE,"march all night , and on the 3d of June ercaniped at Terbank,  General Auverqucrque fixing his quarters in the suburbs of Lou. vain, while the French advanced no further than Genap and Braine la leu. As they were more numerous that the Confederates, and headed by a Prince"
0007901300_000049,"The military history of Great Britain, from Julius Cæsar to the conclusion of the late war. Containing A full and particular Description of the famous Battles of Cressey, Agincourt, Naseby, Dunbar, Worcester, Blenheim, Ramillies, Malplaquet, Tournay, Oudenarde, Dumblain, Dettingen, Fontenoy, Preston-Pans, Culloden, Minden, &c. &c. With an Introduction, Containing A Description of the Inhabitants, from the Earliest Accounts, with their Customs, Manners, Religion, &c. Collected from the best historians, both ancient and modern, by a society of military gentlemen.",Society of military gentlemen,130,1,0,6,2,5,10,1,3,0,0,0,5,2,1,0,3,8,0,3,1,5,0,1,4,7,0,0,2,6,0,1,0,6,0,1,3,2,0,0,3,3,0,2,1,3,2,2,2,2,1,1,1,0,1,1,4,1,4,1,6,1763,1,1,"London : sold by R. James in the Strand, [1763?].",London,263,unknown,,,FALSE,"Bleron. Their foot also began to break in the centre: whereupon the Duke of Marlborough commanded the Earl of Orkney to attack them in their entrenchments on the plains of Ble ron, with directions, if he succeeded there, to post himself in those entrenchments, and cover the horse as they"
0015300102_000050,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,124,0,0,7,0,2,6,1,2,1,2,1,2,1,2,2,8,5,5,3,0,1,3,4,9,8,1,0,1,2,1,1,1,3,5,0,0,1,2,3,5,4,0,1,2,3,0,0,2,1,1,1,1,1,0,1,2,1,2,0,0,1790,2,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXC. [1790].",London,588,male,1721,1771,TRUE,"this time the French were drawn up in order of battle ; and the allies being formed as they passed the river , both armies were engaged through the whole extent of their lines about seven in the evening. Europe had not for many years produced two such noble armies"
0966500102_000050,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,128,1,0,7,1,6,3,1,1,0,0,2,1,2,2,1,9,8,4,1,0,1,3,3,9,8,1,1,2,5,1,1,0,1,2,0,0,2,2,1,3,6,0,5,1,4,0,0,3,2,1,0,3,1,0,0,3,0,3,0,0,1785,2,5,"London : printed for T. Cadell, in the strand; and R. Baldwin, No 47, in Pater-Noster Row, MDCCLXXXV. [1785].",London,535,male,1721,1771,TRUE,"than he march oy8. ed from Terbank, passed the canal, and encamped at An. derlech. The French crossed the Senne at Hall and Tubize, and the allies resolved to attack them next morn. ing: but the enemy passed the Dender in the night with great expedition; and the Duke of"
0820900301_000135,"The history of Henri de la Tour D'Auvergne, Viscount de Turenne, Marshal-General of France. In two volumes. Vol. I.",Andrew Michael Ramsay,129,2,1,5,1,1,2,0,2,1,0,1,4,1,5,2,5,4,0,0,4,3,1,0,6,3,0,0,3,5,1,1,8,3,0,1,2,2,1,1,1,7,0,4,0,9,2,0,2,4,0,0,7,0,2,0,1,2,2,0,4,1735,1,2,"London : printed by James Bettenham: and sold by A. Bettesworth and C. Hitch at the Red-Lion in Pater-Noster Row ; and T. Woodward at the Half Moon in Fleet-Street, MDCCXXXV. [1735].",London,520,male,1686,1743,TRUE,"called John Paterson came and told the Prince that there was a ford near the sort of Tolhuys: Conde having made the Count du Guiche found it, lie resolved to pass while the bridge was making. The King being acquainted with his design approved of it, and had a mind"
1258700101_000087,"Memoirs of Prince Eugene of Savoy. Containing all his military actions, his Negotiations in several Courts of Europe, and other Events of his Life, as well Gallant as Political. Intermix'd with Variety of Adventures of Gentlemen and Officers of the Imperial and Confederate Armies in Hungary, Italy, and the Netherlands, where Prince Evgene commanded. Written by a gentleman who constantly follow'd that Prince. Translated from the French. In two volumes.","Artanville, 'd",124,2,0,1,1,4,4,0,2,0,0,9,2,0,3,0,4,12,0,1,0,3,2,0,1,1,3,0,2,7,0,6,0,6,2,1,1,1,3,2,2,2,0,1,1,1,1,2,5,1,1,0,0,1,2,5,1,1,5,0,6,1716,1,2,"London : printed by J. Darby for K. Sanger, and sold by T. Varnam and J. Osborn in Lombard-Street, W. Taylor and A. Bettesworth in Pater-Noster-Row, J. Brown without Temple-Bar, and C. King in Westminster-Hall, M.DCC.XVI. [1716].",London,367,unknown,,,FALSE,"number . At break of day the Enemy advanced towards us, taking advantage of the Ground which was full of Woods and Vines. They threw rome Dragoons into the Village of l'iofafno, situated upon a Hill, to cover their right Wing; and began with firing all their Artillery upon our"
0014700102_000052,"The history of England, from the Revolution to the death of George the Second. Designed as a continuation of Mr. Hume's History. In six volumes. By T. Smollett, M.D. ...",Tobias Smollett,126,1,1,6,1,2,5,2,1,1,2,2,2,0,0,0,6,8,1,1,1,2,1,1,6,5,0,2,1,9,3,3,2,5,1,2,3,0,2,0,1,8,0,1,3,4,0,1,0,1,1,0,0,1,1,3,3,0,5,1,1,1794,2,6,"London : printed for J. Parsons, No. 21, Paternoster-Row, 1794.",London,400,male,1721,1771,TRUE,"he could outnumber anybody of forces that prince Louis of Baden should assemble on the Rhine; and he resolved to reinforce his army in Slanders, so as to be in a condition to at offensively against the duke of Marlborough. This nobleman repaired to Holland in the latter end of"
0362800100_000063,"The operations of the allied army, under the Command of His Serene Highness Prince Ferdinand, Duke of Brunswic and Luneberg, during the greatest part of six campaigns, beginning in the year 1757, and ending in the year 1762. By an officer, who served in the British forces. Illustrated with maps and plans.","Hotham, Charles, Sir",118,4,0,2,2,4,0,2,3,0,1,2,2,0,1,1,0,7,0,0,0,1,1,2,4,5,1,0,1,1,3,2,0,2,0,0,3,3,2,2,1,2,2,3,3,10,0,0,2,4,4,2,2,2,0,1,3,3,8,0,2,1764,1,1,"London : printed for T. Jefferys, Geographer to the King, M.DCC.LXIV. [1764].",London,318,male,1729,1794,FALSE,"place, the greater part of whom were wounded with bayonets, There were found in the town about one hundred men that were killed on both fides. ""As the enemy retired the French troops entered the town , and formed again in the churchyard, from whence a detachment of dragoons was"
