PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(appear),termFreq(believ),termFreq(child),termFreq(court),termFreq(daughter),termFreq(earl),termFreq(end),termFreq(enter),termFreq(famili),termFreq(father),termFreq(fortun),termFreq(friend),termFreq(gener),termFreq(gentleman),termFreq(hand),termFreq(happi),termFreq(hear),termFreq(heard),termFreq(heart),termFreq(herself),termFreq(honour),termFreq(hope),termFreq(hous),termFreq(king),termFreq(knight),termFreq(know),termFreq(ladi),termFreq(late),termFreq(leav),termFreq(left),termFreq(letter),termFreq(life),termFreq(littl),termFreq(live),termFreq(love),termFreq(madam),termFreq(marri),termFreq(mean),termFreq(mind),termFreq(miss),termFreq(night),termFreq(old),termFreq(person),termFreq(poor),termFreq(prai),termFreq(present),termFreq(return),termFreq(room),termFreq(servant),termFreq(sure),termFreq(think),termFreq(thought),termFreq(told),termFreq(wife),termFreq(woman),termFreq(word),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0416100100_000067,"The complete art of writing letters. Adapted to all classes and conditions of life. Designed not only to finish the education of youth in general; but for every person that wishes to write letters well. Containing a Collection of Entertaining and Instructive Letters, as Examples for Improvement of Style; with An agreeable Variety of Original Letters on Education, Duty, Courtship, Marriage, Amusement, Business, Friendship, Compliment, Trade, and Modern Fashions; And a greater Number of them than are to be found in any other Book of this Sort. To which is prefixed, a compendious and useful grammar of the English language; with an Introduction, containing proper Directions how to address Persons of Rank and Eminence. The sixth edition; with the addition of some elegant poetical epistles, and forms of polite messages for cards. By Mr. Charles Johnson.",Charles Johnson,83,1,0,2,0,0,2,0,0,2,1,0,2,4,0,2,0,7,1,1,0,1,3,2,0,0,0,3,7,1,0,1,5,1,2,1,2,4,7,1,0,1,0,1,1,2,0,2,0,0,4,0,1,0,1,1,1,0,2,0,1779,1,1,"London : printed for T. Lowndes, in Fleet-Street; and T. Evans, in Pater-Noster Row, MDCCLXXIX. [1779].",London,264,male,1770,1779,FALSE,"wait on his Wife to a'public Place, and it is not the Fashion for Women to go, as in England, without Men. I have been tola, by a grave Neapolitan old Gentleman , the Fault is entirely on the Side of the Ilulbands, who are fickle from the Nature of"
0238300101_000046,"The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in Imitation of The Manner of Cervantes, Author of Don Quixote. The second edition: Revised and corrected with alterations and additions by the author. In two volumes. ...",Henry Fielding,70,0,1,3,1,0,1,1,0,1,2,2,1,0,1,4,2,0,1,1,0,2,0,0,0,0,0,2,6,0,0,3,0,0,2,1,0,4,0,1,1,5,0,0,1,1,2,2,1,2,2,1,1,1,1,0,2,0,0,4,1742,1,2,"London : printed for A. Millar, over-against St. Clement's Church, in the Strand, M.DCC.XLII. [1742].",London,335,male,1707,1754,TRUE,"would not admit a Footman into the Coach: for poor ofeph was too lame to mount a Horse. A young Lady , who was, as it seems, an Earl's Granddaughter, begged it with almost Tears in her Eyes; Mr. Adars prayed , and Mrs. Slipslop scolded, but all to no"
0225700301_000046,"The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in Imitation of The Manner of Cervantes, Author of Don Quixote. By Henry Fielding, Esquire. The Tenth Edition, illustrated with Cuts. In Two Volumes. ...",Henry Fielding,70,0,1,1,1,1,1,1,0,1,2,2,1,1,0,6,2,0,0,1,0,2,0,0,0,0,1,2,5,0,0,3,0,0,2,1,0,3,0,1,1,6,0,0,1,1,2,3,1,2,3,1,2,0,1,1,0,1,0,2,1781,1,2,"London : printed for W. Strahan, J. Rivington and Sons, L. Davis, T. Longman, B. Law, T. Caslon, G. Robinson, J. Wilkie, T. Lowndes, T. Cadell, J. Sewell, R. Baldwin, and J. Nichols, M.DCC.LXXXI. [1781].",London,251,male,1707,1754,TRUE,"assaulted the Wife ; for he was sorry to own he had struck the Husband the first Blow.  I am sorry you own it too, cries the Gentleman ; for it could not possibly appear to the Court : For here was no Evidence present but the lame Man"
1432300100_000047,"Religious courtship: Being historical discourses on the necessity of marrying religious husbands and wives only; As also, of husbands and wives being of the same opinions in religion with one another. With an appendix: shewing the necessity of taking none but religious servants; and, a proposal for the better managing of servants.",Daniel Defoe,93,0,1,4,1,0,3,0,2,0,4,6,0,0,0,4,0,1,0,1,0,1,1,1,1,0,0,3,6,0,2,1,0,2,1,1,0,7,2,0,3,0,0,7,1,1,3,1,1,0,0,0,1,3,2,7,1,1,0,5,1789,1,1,"Glasgow : Printed by J. and M. Robertson, MDCCLXXXIX. [1789].",Glasgow,281,male,1660,1731,TRUE,"believe will surprise you too. Fa. What can that be? Wife . Why it is true, that gentleman had no religion: poor gentleman ! he came of a most unhappy stock; there never was any religion in the family ; but yet this may be said of him, he was"
0055500302_000032,"The history of Emily Willis, a natural daughter. In two volumes. ...",,91,0,2,1,3,0,5,0,0,1,6,6,4,0,1,0,0,2,0,2,0,2,0,2,0,0,0,1,12,1,2,2,1,0,1,0,0,2,1,3,1,6,0,2,0,0,1,1,0,1,0,2,3,4,0,0,1,1,1,4,1768,2,2,"London : printed for F. Noble, at his Circulating Library, near Middle-Row Holborn; and J. Noble, at his Circulating Library, in St. Martin's-Court, near Leicester-Square, MDCCLXVIII. [1768].",London,222,unknown,,,FALSE,"take the Part of their own Family , though' they are ever so much in the wrong! I swear, I believe , if your Uncle was to commit a Murder, and I think Fornication is not much better, your Father would certainly defend it. why, to be sure , Mamma,"
0424802901_000040,"The history of Charlotte Summers, the fortunate parish girl. In two volumes. ...",,83,0,1,2,4,2,3,0,0,0,2,5,2,1,1,0,0,0,0,1,1,0,1,0,3,0,0,2,7,1,1,2,0,0,5,2,0,3,2,1,0,7,0,0,0,4,1,1,0,0,2,2,2,0,2,1,3,1,0,2,1753,1,2,"Dublin : printed for J. Exshaw, and J. Esdall, on Cork-Hill, 1753.",Dublin,180,unknown,,,FALSE,"will take John and the Chair, and go presently to the Elms for Miss ; and I will go along with her, Mamma, says Sir Thomas, the Chair will hold us all, I long to see my little Wife again. Indeed, you shall not take her from me again; pray"
1532601002_000011,Barham downs. A novel. In two volumes. By the author of Mount Henneth.,Robert Bage,78,1,0,1,0,1,0,2,1,0,1,2,0,0,0,5,3,2,3,0,1,1,3,3,0,0,0,2,3,1,1,1,1,1,1,0,3,1,0,1,0,5,1,1,2,2,1,0,3,0,1,4,3,0,0,0,5,1,1,2,1784,2,2,"Tamworth : Printed for and sold by B. Shelton, M DCC LXXXIV. [1784].",Tamworth,358,male,1728,1801,FALSE,"France to England, yet it is a month since I received her letter . IHAVE still further reason to be alarmed. It is affirmed here Lord Winterbottom is ruined by the.dice, disgraced at court , and obliged to leave England. Wycherley indeed persuades my father to believe these reports are"
0024200202_000009,"The history of Joshua Trueman, Esq; and Miss Peggy Williams. In two volumes. ...",,76,1,1,6,1,0,2,0,0,1,1,3,1,2,2,0,0,2,0,2,2,2,1,2,1,0,0,1,5,0,2,4,2,0,2,2,2,1,0,1,1,2,0,0,1,1,0,1,2,0,2,0,1,2,2,2,4,0,0,0,1754,2,2,"London : printed for D. Williams and T. Durham, at Plato's head in the Strand, MDCCLIV. [1754].",London,299,unknown,,,FALSE,"softness  for her person , I feel a good deal of disappointment at losing her company. She  has a delicacy of thinking , that renders  her esteem flattering to my self- love ; yet honesty and honour forbid, that I liould endeavour to preserve it at the"
0531800500_000011,"Sophronia: or, letters to the ladies.",,73,3,1,0,0,2,2,0,1,0,1,4,2,0,0,2,2,0,1,1,0,1,0,1,1,0,1,1,1,1,1,2,3,3,3,2,0,3,6,0,0,0,1,1,0,1,2,1,1,1,1,0,0,1,4,4,0,0,0,3,1775,1,1,"London : printed for J. Bew, No. 28, Pater-Noster-Row, 1775.",London,256,unknown,,,FALSE,"Erastus 50, ooc!. and has the highest and most grateful sentiments of his friendship.' He is still so kind as to interest himself in our affairs; and is now gone to recover the io, oool. we had saved, out out of the hands of an attorney, who has : had"
1013200202_000055,"The polite repository; or, amusing companion: a selection of tales, histories, adventures, anecdotes, from the best modern publications. With a variety of originals, Instructive and Entertaining we cull the choicest. ... . Part the First.",,78,0,1,1,3,1,1,0,0,2,1,6,4,2,0,2,8,4,0,1,3,3,3,0,0,0,0,2,2,1,1,1,1,0,0,0,2,1,2,1,0,1,1,4,0,1,0,1,2,2,0,2,0,2,0,0,2,0,0,0,1791,2,2,"London : printed for William Lane, at the Minerva. Scadenhall street, 1791-92.",London,584,unknown,,,FALSE,"which was not a small one. This ihe immediately enclosed to the fair Jemima, and dressing herself as plain as possible, was determined to be herself the bearer, that she might judge of the beauty of the woman who had thus inflaved the heart of Fitzwilliam. She entered the cottage"
0269600400_000047,"Religious courtship: being historical discourses on the necessity of marrying religious husbands and wives only. As also of husbands and wives being of the same opinions in religion with one another. With an appendix of the Necessity of taking none but Religious Servants, and a Proposal for the better managing of Servants.",Daniel Defoe,93,1,1,4,1,0,4,0,1,0,3,3,0,0,0,4,0,1,0,3,0,1,1,2,1,0,0,4,6,0,3,1,0,3,1,1,0,8,1,0,2,0,0,6,2,1,2,1,1,0,0,0,2,3,1,3,1,2,0,7,1766,1,1,"London : printed for P. Simpson, at the Three Bibles in the Strand, 1766.",London,306,male,1660,1731,TRUE,"of a Chrifliar elias llewn in her conduct. Fa. So you would say indeed, if you knew all her Con. uft, and knew the Person too. life . If it be not improper, 1 should be glad to know heperfot. * he re ea, ts what Isc had said to"
0128401803_000006,"Persiana, the nymph of the sea. A novel. In three Volumes. ...",,77,0,4,0,1,1,2,1,0,1,0,0,2,1,0,1,0,0,1,0,2,3,2,1,2,0,0,5,7,0,2,1,0,0,3,1,1,4,2,1,1,7,0,2,0,1,0,0,0,0,0,3,2,0,1,1,3,1,1,2,1791,3,3,"London : printed for William Lane, At the Minerva, Leadenhall-Street, M.DCC.XCI. [1791].",London,153,unknown,,,FALSE,"fie will not be detained a moment."" Perliana told him where she lived , and they parted; a thousand pleating ideas counterbalancing the mortification of the preceding day, exhilerated her spirits, gave new brilliance to her eyes, and a richer glow to her cheek. Thus all irresistible loveliness, lhe entered"
0033200701_000047,"The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in Imitation of The Manner of Cervantes, Author of Don Quixote. By Henry Fielding, Esquire. Illustrated with cuts. In two volumes.",Henry Fielding,70,0,1,2,1,0,1,1,0,1,2,2,1,0,1,4,2,0,1,1,0,2,0,0,0,0,0,2,6,0,0,3,0,0,2,1,0,5,0,1,1,7,0,0,1,1,2,2,1,2,3,1,1,0,1,0,1,0,0,3,1749,1,2,"London : printed for A. Millar, opposite to Katharine Street, in the Strand, M.DCC.XLIX. [1749].",London,260,male,1707,1754,TRUE,"began now to grow importunate with his Passengers, whose Entrance into the Coach was retarded by Miss Grave airs infilling, against the Remonitrances of all the rest, that she would not admit a Footman into the Coach; for poor Joseph was too lame to mount a Horse. A young Lady"
1773900600_000041,The funeral; and The tender husband: comedies. Written by Mr. Steele.,Richard Steele,83,0,0,1,0,0,0,0,1,1,1,0,2,1,1,3,2,2,1,1,3,1,0,0,0,0,1,3,6,1,1,0,0,0,6,1,3,8,3,3,1,0,0,0,1,2,3,1,0,2,2,0,1,2,1,0,1,1,1,7,1712,1,1,"London : printed for J. T. [i.e. Jacob Tonson] And sold by Owen Lloyd, 1712.",London,180,male,1672,1729,FALSE,"in my Hand , and an Helmet on a Table before me At a distance behind let there be a Dwarf, holding by the Bridle a milk white Palfrey -- cler. Madam , the Thought is full of Spirit, and if you please, there shall be a cupid itealing away"
1060100204_000039,"The history and adventures of the renowned Don Quixote. Translated from the Spanish of Miguel de Cervantes Saavedra. To which is prefixed, Some Account of the Author's Life. By T. Smollet, M.D. Illustrated with sixteen copperplates, elegantly engraved.",Miguel de Cervantes,77,2,1,0,1,1,4,0,2,1,0,6,0,4,0,3,2,1,2,2,1,1,2,0,2,0,1,2,5,0,1,0,8,0,0,1,1,2,0,1,0,0,0,1,0,2,3,2,0,0,1,1,1,0,1,1,1,1,1,1,1793,4,4,"London [i.e. York?] : printed for A. Law, W. Miller, and R. Cater, MDCCXCIII. [1793].",York,329,male,1547,1616,TRUE,"Mairid. ftais for gardens and huntains. ku~~~~~rial~s~ch Sancho my honoured father , and that knight our ml ser."" ""' Come then, young mistress, replied the page, conduc me to your mother; for I bring her a letter , and a present , from that same father cf yours."" "" That"
1703800101_000221,"The New wonderful magazine, and marvellous chronicle: or, New weekly entertainer. A work recording authentic accounts of the most extraordinary productions, events, and occurrences, in providence, nature, and art. ...",Jonathan Swift,80,0,0,0,0,0,2,0,0,2,3,2,1,2,3,5,1,1,1,2,0,1,0,0,3,0,0,1,7,2,1,2,2,1,2,2,1,0,4,0,1,0,3,1,2,0,0,1,4,0,2,0,1,1,3,2,1,0,0,4,1794,1,5,"London [England] : printed for the proprietors. Published by Alex. Hogg, no. 16, Paternoster-Row; and may be had of all booksellers, stationers, and newscarriers, in England, Wales, Scotland, and Ireland, [1794]",London,553,male,1667,1745,FALSE,"omit the hundredth, the rest are all forgot. Old "" say ings are founded on experience; and from hence it' is evident, that generally a discontinuance of a favour is sufficient to acquit us of all former obligations. Gratitude, like friend ship, is much talked of, but seldom seen. However,"
0642400101_000017,"Hadleigh Grove; or, the history of Sir Charles Davers, and the fair Jessica. A novel. ...",,85,1,0,1,3,0,2,0,1,0,2,5,2,3,0,2,2,0,0,1,3,5,1,0,0,0,0,1,5,1,1,1,1,3,5,4,4,0,1,1,0,1,1,3,2,1,0,0,2,0,0,0,3,2,0,3,1,0,3,1,1773,1,2,"London : printed for J. Roson; and sold by R. Snagg, [1773].",London,242,unknown,,,FALSE,"As my habitation at that time was at a very small distance, I carried them thither, and, with the assistance of my wife , put them both into a warm bed. bed. After a few hours, ith child recovered, and the lady began to discover some signs of life j"
0020400105_000037,"Familiar letters between the principal characters in David Simple, and some others. Being a sequel to his adventures. To which is added, a vision. By the author of David Simple. The second edition. ...",Sarah Fielding,85,0,1,1,0,1,4,0,0,0,2,1,8,2,1,0,0,1,0,3,1,1,0,0,1,0,0,6,4,1,0,2,0,0,2,3,0,6,2,1,0,6,0,0,0,5,1,2,0,0,0,2,2,3,0,2,2,1,1,3,1752,5,5,"London : printed for A. Millar, opposite Katharine-Street in the Strand, M.DCC.LII. [1752].",London,250,female,1710,1768,TRUE,"how much Ihe pitied them, when they fled to herhoufe from the Fire, having no Time,. in their Hurry and Confusion, to save anything more than would just cover them: and concluded her whole Speech with a.fudden.turn of Joy, that some good Chrifian Christian had that Morning sent them some"
0018800103_000039,"Family secrets, literary and domestic. By Mr. Pratt. In five volumes. ...",Samuel Jackson Pratt,77,0,0,0,1,1,1,0,1,2,2,2,1,1,2,1,2,0,0,0,3,0,6,0,2,0,0,2,7,1,1,2,1,1,6,2,0,1,0,1,0,2,1,1,0,3,3,2,2,0,2,2,0,0,0,0,2,1,1,2,1797,3,5,"London : printed for T.N. Longman, Paternoster-Row, 1797.",London,421,male,1749,1814,TRUE,"would; serve their worthy honours and the good Mr. Dennifon by night and by day,. far and near, all the world over."" Nay as to that,"" said another "" you know , William, we had rather a thousand times pass our whole lives with some good gentry in hard labour,"
0413701900_000047,"Religious courtship: being historical discourses, on the necessity of marrying religious husbands and wives only. As also of husbands and wives being of the same opinions in religion with one another. With an appendix Of the Necessity of taking none but Religious Servants, and a Proposal for the better managing of Servants.",Daniel Defoe,96,1,1,4,0,0,3,0,1,0,4,5,0,0,0,4,0,1,0,3,0,1,1,2,1,0,0,4,6,0,3,1,0,2,1,1,1,9,1,0,2,0,0,6,3,1,2,1,1,0,0,0,2,3,1,6,1,2,0,4,1737,1,1,"London : printed for Daniel Farmer, at the King's-Arms in St. Paul's Church-Yard, near Cheapside, M.DCC.XXXVII. [1737].",London,367,male,1660,1731,TRUE,"Kindness lor him; and indeed he is a mols lovely Gcntleman. ]fu. She has aced a noble Part indeed; and the more Afficion fle really had for him, the more of a chris in fie has Shown in her conduct. ri. So you would say indeed, if you knew all"
0016700502_000087,The life and adventures of Joe Thompson. A narrative founded on fact. Written by himself. In two volumes.,Edward Kimber,72,1,0,1,1,0,1,0,0,0,1,3,3,2,0,3,1,7,2,3,1,2,0,1,2,0,0,0,5,0,1,0,0,0,0,1,4,1,3,0,0,2,0,2,3,1,0,1,2,1,1,0,0,2,3,1,2,0,0,1,1750,2,2,"London : printed for John Hinton, at the King's Arms in St. Paul's Church-Yard; and W. Frederick, Bookseller in Bath, MDCCL. [1750].",London,359,male,1719,1769,FALSE,"Gqldwill, with their Equipage, (hold go to Mr. Archer's; Mr. slpiair and his Lady , and Servants , to Mr. Shiarp l': s; Mkr. Diaper and his Wife , with Prig, to Sir Walter's; and Madam Rich, Serena, Louisa, and mifssukey, toremain atmyfather's. Asto Diaper, Sharpey,, myself, and Truman, who"
0440300102_000018,"Woman as she should be; or, memoirs of Mrs. Menville. A novel. In four volumes. By Mrs. Parsons, ...",Eliza Parsons,79,0,3,0,4,0,0,0,0,0,1,3,0,4,0,0,0,2,0,1,0,1,1,1,3,0,0,2,6,1,2,1,2,0,2,0,2,6,4,1,0,6,1,0,1,1,0,2,2,3,1,2,1,2,0,1,1,0,0,2,1793,2,4,"London : printed for William Lane, at the Minerva, and sold by E. Harlow, 1793.",London,268,female,1738,1811,TRUE,"calm and composed; she wiflled to see her husband, and in spite of his former indifference, he could not see her and the child without visible emotions. She ifid,. ""My dear Mr. Menville, this is a new tie to cement our affeation."" The nurse requested her not to talk,. and"
0881400201_000017,"The woman of letters; or, the history of Miss Fanny Belton. In two volumes. ...","Smyth, Maria",82,1,0,1,2,0,0,0,0,0,1,3,1,4,0,1,1,1,0,1,2,2,0,4,1,0,0,4,0,2,1,1,2,1,7,1,1,2,0,0,1,4,0,1,0,8,1,3,0,0,2,2,1,2,0,4,4,0,0,1,1783,1,2,"London : printed for Francis Noble, at his Circulating Library, opposite Gray's-Inn Gate, Holborn, MDCCLXXXIII. [1783].",London,265,female,,,FALSE,"nor I could read them without tears. She bears this most grievous trial of the loss of the nmot tender parent that ever existed, with as much Christian fortitude as the excess of her grief will admit; though the flock has bpy so great, that it has brought on a"
0451300200_000004,Lionel and Clarissa. A comic opera. As it is performed at the Theatre-Royal in Covent-Garden.,Isaac Bickerstaffe,78,1,1,4,0,1,1,0,1,1,1,2,2,2,1,1,1,2,0,1,3,2,0,2,2,0,0,0,8,0,0,0,0,0,3,0,1,9,3,1,0,1,0,1,1,2,1,0,0,1,1,5,1,1,1,0,1,0,2,2,1768,1,1,"London : printed for W. Griffin, in Catharine-Street, Strand MDCCLXVIII. (P. 1s 6d, [1768].",London,83,male,1733,1812,TRUE,"your noble grandfather. Mr. jej. I think he ought tobe'proud of me: I believe there's many a Dukey nay Prince, who would esteem rhemfelves happy in having such a son Lady M. Yes, my dear; but your fiter was always your father's favourite: he intends to give her a prodigious"
