PassageID,Title,Author,Total termFreq,termFreq(barbauld),termFreq(beauti),termFreq(breast),termFreq(burn),termFreq(charm),termFreq(coleridg),termFreq(collin),termFreq(crabb),termFreq(creat),termFreq(deep),termFreq(eastern),termFreq(emot),termFreq(even),termFreq(fair),termFreq(fanci),termFreq(feel),termFreq(fire),termFreq(friend),termFreq(gaze),termFreq(geniu),termFreq(gloom),termFreq(glow),termFreq(heart),termFreq(heaven),termFreq(imagin),termFreq(joi),termFreq(jone),termFreq(love),termFreq(man),termFreq(melancholi),termFreq(mind),termFreq(mountain),termFreq(muse),termFreq(music),termFreq(natur),termFreq(night),termFreq(orient),termFreq(pain),termFreq(power),termFreq(repos),termFreq(schiller),termFreq(smith),termFreq(soft),termFreq(solemn),termFreq(song),termFreq(soul),termFreq(sound),termFreq(still),termFreq(sublim),termFreq(sweet),termFreq(thee),termFreq(thou),termFreq(thy),termFreq(view),termFreq(wild),termFreq(written),termFreq(youth),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1605800400_000002,"Poems on various subjects, by S.T. Coleridge, Late of Jesus College, Cambridge.",Samuel Taylor Coleridge,91,0,0,2,0,1,0,0,0,0,1,0,0,0,2,2,2,0,4,2,2,0,1,3,1,0,2,0,2,1,1,1,0,0,0,1,0,1,1,2,0,1,0,1,1,1,5,0,2,1,2,5,5,20,3,4,3,2,1796,1,1,"London : Printed for C.G. and J. Robinsons; and J.Cottle, bookseller, Bristol, 1796.",London,206,male,1772,1834,TRUE,"Elfulian 16, to an Old iman, G. 6 e ffullon 17, to Genevieve,. .6i brffalon~b 2 8, the Autumnal Mon, 6q Elfufuon l9, to my owvn heart ,.. 4 Effusion 2o, to Schiller ,... E Effusion 21, on Brockley Coornb,. 6 PAGE,. tio a Friend with an *unfm~ilhe Poiem.. 68"
0296001000_000026,"Poems on several occasions. By the late Rev. Thomas Browne, ...","Browne, Thomas",76,0,1,5,1,0,0,1,0,0,0,0,0,2,3,2,0,2,3,1,1,1,2,2,3,0,2,0,7,0,0,1,0,5,0,2,1,0,2,2,0,0,0,3,0,2,4,2,2,1,3,0,2,3,1,1,0,0,1800,1,1,"[London] : Printed for Vernor & Hood, London, By R. & W. Dean, Manchester; and sold by Merritt and Wright, Liverpool, and Thomas Browne, Hull, 1800.",London,207,male,1771,1798,FALSE,"erst she fanned the sweets of love ; And stealing over the shrinking sense, Pale evening poured her vapours dense. When lo! the Muse , her feet unshod, Her tresses fluttering with the gale, Over Humber's green banks swiftly trod, And hied her to his inmost vale. There on his"
0164000800_000007,The female advocate; a poem. Occasioned by reading Mr. Duncombe's Feminead. By Miss Scott.,"Scott, Mary, poet",108,1,1,1,0,3,0,0,0,0,1,0,0,0,4,3,3,1,0,1,4,0,2,1,1,1,2,0,2,3,0,5,0,5,1,5,0,1,0,3,0,0,0,1,0,0,4,0,4,1,1,5,4,31,1,0,0,1,1774,1,1,"London : printed for Joseph Johnson, No. 72, St. Paul's Church-Yard, M.DCC.LXXIV. [1774].",London,47,female,,,FALSE,"verse Thy Genius , Learning, or thy Worth rehearse? To paint thy talents justly should conspire Thy tate, thy judgement, and thy SHAKESPEARE's fire . 360 Well hath thy Pen with nice discernment traced What various powers the Matchless Poet graced; Well hath thy Pen his various beauties shown, And"
0703000502_000013,Poems by Mrs. M. Robinson.,Mary Robinson,78,0,0,4,2,3,0,0,0,0,1,0,0,2,1,1,0,1,1,2,2,1,4,1,2,0,6,0,8,0,0,0,0,1,0,0,2,1,3,1,2,0,0,2,0,1,2,0,1,0,1,8,1,4,2,3,0,1,1791,2,2,"London : printed by J. Bell, British-Library, Strand, Bookseller to His Royal Highness the Prince of Wales, MDCCXCI. [1791].",London,234,female,1758,1800,TRUE,"a dream; A glittering PHANTOM, formed to cheat, The RAINBOW of YOUTH's sunny beam. On air built throne the mischief dwells, Bright to the fascinateg view ; - / C Serene amidst tempestuous spells, Disguised in tints ofheav'nly hue! We gaze , we wonder at his charms ; So passing"
1095400300_000033,The Speculator.,William Frend,99,0,0,1,1,2,0,1,0,0,5,0,1,0,0,1,1,3,1,0,1,0,0,4,0,0,1,0,12,0,2,0,0,1,0,0,0,0,0,2,0,2,0,4,0,2,5,1,2,0,4,6,6,18,3,4,0,2,1791,1,1,"Dublin [Ireland] : printed by W. Corbet, for P. Byrne, Grafton-Street, and W. Jones, Dames-Street, M,DCC,XCI. [1791].",Dublin,267,male,1757,1841,FALSE,"good,, and the imagery poetic,. every purpose of the Speculator is accomplished. On it he founds no claim to sensibility, perfectly satisfied if, in the the frmall circle of his acquaintance, he is known to have had compassion on the unfortunate, if, void of ostentation, he has silently relieved the"
0111501100_000007,"Parnassian sprigs; or, poetical miscellanies. By William Mavor, of Oxford.",William Fordyce Mavor,79,0,3,1,1,2,0,0,0,0,1,1,2,1,3,0,2,2,0,0,0,1,2,5,3,0,1,0,8,0,1,1,0,1,4,6,2,0,1,3,0,0,0,2,2,1,4,1,0,0,2,1,1,5,1,1,0,0,1777,1,1,"[London] : Printed for J. Bew, no. 28, Pater-Noster Row, M,DCC,LXXVII. [1777].",London,46,male,1758,1837,FALSE,"feet, - I fell whcn quick the angel thus begins, In gentle accents, and divinely sweet ; ""Son of the duf, - dismiss these gloomy thoughts, These visions of a melancholy brain: Nor let Despondence prey upon your heart , With all her sable, and diftaftrous train. Look up, with"
0264100400_000062,"The conquest of Canäan; a poem, in eleven books.",Timothy Dwight IV,89,0,3,1,0,2,0,0,0,0,0,0,1,3,2,1,0,1,0,2,0,2,0,2,5,0,5,0,7,0,0,4,2,0,2,1,1,1,0,1,1,0,0,5,1,1,4,2,1,0,4,3,1,14,2,1,0,0,1788,1,1,"[London] : Hartford, New-England: printed MDCCLXXXV. London: reprinted for J. Johnson, No 72, St. Paul's Church-Yard, 1788.",London,363,male,1752,1817,FALSE,"peace with thee retire, Till Heaven his counsels, and our course, inspire. He spoke. Harefflah with the sage withdrew, While the fun lingering slowly left the view ; N a The The mourning Hero fought a slight repose , 49; And broken fumbers over his eyelids rose. Now Night ,"
0111500600_000004,"Poems on various subjects, by Charles Lloyd.",Charles Lloyd,83,0,2,1,0,3,0,0,0,0,3,0,0,1,0,4,3,0,1,1,1,0,3,0,0,0,2,0,1,1,2,0,3,2,0,7,0,0,1,2,1,0,0,1,0,1,1,2,2,3,6,2,5,10,2,3,0,0,1795,1,1,"Carlisle : printed by F. Jollie, for J. Richardson, Penrith; and sold by C. Law, London; Messrs. Pearson and Rallison, Birmingham, M,DCC,XCV. [1795].",,105,male,1775,1839,FALSE,"hallowed wood, Each mountain wildly high, sublimely rude, With soft refleced grace in its reposing flood. Methinks I see in native charm atttir'd All the bright forms of keswick's happy vale, rethinks I see the scene which oft inspired The glow of Genius , and the Muses tale. DERWENT! I"
0647000201_000011,"The minstrel: in two books. With some other poems. By James Beattie, LL.D. To which are now added, miscellanies. By James Hay Beattie, A.M. With an account of his life and character. In two volumes. ...",James Hay Beattie,87,0,2,0,0,5,0,0,0,0,3,0,0,1,2,2,0,0,0,2,0,1,2,5,3,0,3,0,4,1,1,2,0,0,1,0,0,0,0,2,1,0,0,2,1,2,4,1,5,0,3,4,1,11,2,2,2,4,1799,1,2,"London : printed by T. Gillet, for C. Dilly; and sold by A. Brown, Aberdeen, 1799.",London,127,male,1768,1790,FALSE,"died suddenly on the loth of February, 3773 The conclusion of the ewm was written X few days after. POEMS ON SEVERAL OCCASIONS. POEMS ON SEVERAL OCCASIONS. RETIREMENT. 1758 WHEN in the crimson cloud of Even , The lingering light decays, And Hesper on the front of heaven His glittering"
0652801300_000002,"Four select poems. Never before printed. By John Hoy, junior.","Hoy, John",71,0,4,3,1,0,0,0,0,0,2,1,0,0,1,1,1,4,0,0,1,0,3,0,2,0,2,0,3,1,0,1,2,4,1,7,2,1,1,2,0,0,0,2,0,2,3,1,0,1,3,0,2,2,0,3,0,1,1780,1,1,"Edinburgh : printed and sold by T. Evans, London; C. Elliot, Edinburgh; J. Duncan, Glasgow; R. Morison, Perth; and G. Milne, Dundee, [1780?].",Edinburgh,16,male,1755,1781,FALSE,"front erect, despising fears, Let then th' intrepid numbers flow along, Bold, equal, constant, permanent and strong: Not so when frantic terror wildly flares, With trembling limbs, bedewed, and itiffen'd hairs; Eis faltering accents, and diforder'd pace, Each look, each jefture marks his deep distress: The starting verse let catch"
0971500800_000013,"Poems, by Mrs. Mary Robinson.",Mary Robinson,90,0,0,4,2,4,0,0,0,0,1,0,0,2,1,1,0,0,1,2,1,1,3,1,1,0,6,0,12,0,0,1,0,0,0,0,2,1,3,3,3,0,0,2,0,1,2,1,1,0,2,10,4,5,2,3,0,1,1795,1,1,"London : printed by T. Spilsbury and Son; and sold by J. Evans, Paternoster Row, and T. Becket, Pall Mall, [1795?].",London,233,female,1758,1800,TRUE,"fly! Often hast thou smiling told me, WEALTH and POWER were trifling things, While LOVE , smiling to behold me, Mocked cold TIME's destructive wings. When with THEE , what ills could harm me? thou couldst every pang assuage! Now, ALAS! what HOPE shall charm me Every moment seems an"
1288000202_000054,"Poems on several subjects. In two volumes. By John Ogilvie, D.D. Vol. I.","Ogilvie, John",68,0,2,1,0,1,0,0,0,0,1,0,0,0,2,1,2,1,1,1,3,1,1,2,1,0,2,0,3,3,1,5,0,1,1,1,0,0,0,2,0,0,0,1,0,3,3,0,3,4,2,0,3,5,1,1,0,2,1769,2,2,"Dublin : printed for Samuel Watson, at Virgil's Head, in Dame-Street, M.DCC.LXIX. [1769].",Dublin,289,male,1732,1813,FALSE,"fubjeas which were suited to the sublimity of his genius , than to have asked in one part of his work, 1"" what there is very sublime , or very pathetic t"" in an author, from whose writings he has extracted such pregnant ext amples of pathos and sublimity ."
0272400102_000011,"Miscellanies, in prose and verse, by Edward Gardner. ...","Gardner, Edward",104,0,0,0,0,3,0,0,0,0,2,0,0,4,1,3,0,1,4,0,0,1,1,7,1,0,3,0,4,0,1,2,0,3,0,6,0,0,1,1,1,0,0,2,1,2,7,1,5,0,4,1,10,12,1,3,3,2,1798,2,2,"Bristol : printed by Biggs & Cottle, and sold by Lee & Hurst, Paternoster-Row, London; Bull, Bath; Cottle, and Bulgin & Sheppard, Bristol; Hough, and Washbourn, Glocester; Harward, Cheltenham; Jenner, Stroud; and Bence, Wootten-Underedge, 1798.",Bristol,170,unknown,,,FALSE,"loitered near the rill; At day's mild close how did we love to rove, Along the daified vale, or over the breezy hill. The winter's frost that blooming bower has spared, Where nature through the air her fragrance flung; There have I sat and thy sweet converse heard, Whilst on"
0965300200_000074,"Exercises in elocution; selected from various authors, and arranged under proper heads: intended as a sequel to a work entitled The speaker. By William Enfield, LL.D. Lecturer on the Belles lettres in the Academy at Warrington.",William Enfield,101,0,1,5,0,3,0,0,0,0,2,0,0,1,2,1,0,2,3,0,0,3,0,2,2,0,2,0,4,0,1,2,1,5,2,4,0,0,2,8,0,0,0,2,0,3,1,3,1,1,2,6,9,14,0,0,0,1,1783,1,1,"Warrington : printed by W. Eyres, for J. Johnson, No. 72, St. Paul's Church-Yard, London, MDCCLXXXIII. [1783].",Warrington,438,male,1741,1797,FALSE,"voice, that fiorms around, And yon deep death bell groaning sound Renew my mind's oppressive gloom , Till ilalting horror flakes the room. Is there in nature no kind power To sooth afflicion's lonely hour? To blunt the edge of dire disease, And teach these wintery ffiades to pleae? lome,"
0720400200_000011,Verses on various occasions.,John Taylor,116,0,3,2,1,2,0,0,0,0,1,0,0,0,0,4,2,1,2,0,1,1,2,10,1,0,1,0,2,0,1,3,1,6,0,2,0,0,1,1,1,0,0,2,0,0,4,0,7,1,2,4,6,34,1,0,0,3,1795,1,1,"London : printed by B. Millan, Printer to his Royal Highness the Prince of Wales; sold by J. Debrett, Piccadilly; and Cullen and Co. Pall-Mall, M.DCC.XCV. [1795].",London,145,male,1757,1832,FALSE,"mother's wondrous strain, Poor that best treasure of poetic art, To the rich meed of thy own feeling heart . SONNET [ 6z 3 SONNET XVI TO MRS. ROBINSON. ENCHANTING LAURA, whose resistless spell In sweetest thraldom holds the willing soul , Breathing such strains from thy melodious shell, That"
1252100500_000101,"The speaker: or, miscellaneous pieces, selected from the best English writers, and disposed under proper heads, with a view to facilitate the improvement of youth in reading and speaking. A new edition, corrected and enlarged. To which are prefixed two essays: I. On elocution. II. On reading works of taste. By William Enfield, LL.D. Embellished with four elegant plates.",William Enfield,94,1,1,1,0,2,0,1,0,0,1,1,0,1,4,2,1,1,0,0,0,0,2,4,3,0,4,0,8,0,0,4,1,1,0,2,1,0,0,2,0,0,0,1,0,1,1,0,2,0,5,3,1,25,1,3,0,2,1797,1,1,"London : printed for J. Johnson, St. Paul's Church-Yard; By whom only the genuine and complete Edition is published, MDCCXCVII. [1797].",London,528,male,1741,1797,FALSE,"born in heedless hum: Now teach me, maid composed, To breathe some softened itrain, Whose numbers stealing through thy darkening vale, May not unfeenly with its stillness suit, As musing slow, I hail Thy genial loved return! For when thy folding liar arising shows His paly circlet, at his warning"
0276602400_000007,"Poems, by the late Mr. and Mrs. Johns, of Plymouth.","Johns, Mrs.",77,0,1,0,0,3,0,0,0,0,0,1,0,1,3,3,2,2,2,1,0,0,0,4,1,0,2,0,5,0,1,4,1,4,4,0,2,0,1,7,1,0,0,2,1,6,1,1,0,2,2,0,0,2,3,1,0,0,1797,1,1,"Plymouth : Clarence Press, [1797?].",,93,female,1731,1792,FALSE,"From threatening ills to guard the fair . High privilege you claim, my friend , The couch of beauty to attend; With health and all her cheerful train You come. to banish care and pain . watch and life's dying flame restore, Till gladdening smiles return once more, Over those"
0496800101_000003,"Julia, a novel; interspersed with some poetical pieces. By Helen Maria Williams. In two volumes. ...",Helen Maria Williams,81,0,2,2,1,2,0,0,0,0,1,0,1,1,1,1,2,1,0,0,0,2,4,2,1,1,5,0,5,0,0,5,0,2,2,5,2,0,3,2,0,0,0,0,0,1,3,1,2,0,0,2,1,9,3,2,1,0,1790,1,2,"London : printed for T. Cadell, M.DCC.XC. [1790].",London,266,female,1762,1827,TRUE,"Melbourne, and hated B 6 them them in proportion as they merited regard. She could not forgive Julia for being young, beautiful , accomplihed, and amiable, till her own daughter was married. After that period fly,, .these intrusive qualities; and at the re, .quell of Charlotte, upon her removal from"
0703000502_000022,Poems by Mrs. M. Robinson.,Mary Robinson,83,0,0,7,2,2,0,0,0,0,0,0,0,1,2,6,2,1,2,0,1,3,4,3,2,0,2,0,3,1,0,5,0,2,0,3,1,1,1,2,0,0,0,4,0,1,3,0,1,1,2,3,1,7,1,0,0,0,1791,2,2,"London : printed by J. Bell, British-Library, Strand, Bookseller to His Royal Highness the Prince of Wales, MDCCXCI. [1791].",London,234,female,1758,1800,TRUE,"with songs of glee. Soft is the perfume of MORN's beauteous breast , And soft the murmurs of the inset train; While NATURE's hand, with pearly lustre dressed, Leads TIPTOE PLEASURE over the glittering plain. For thee , LISARDO, she unfolds her store; For thee she weaves a garland, proudly"
0394201600_000043,The works in verse of Mark Akenside M.D.,Mark Akenside,103,0,1,4,0,4,0,0,0,0,1,0,0,1,4,0,1,2,3,0,1,3,0,1,3,0,3,0,5,1,1,4,1,3,2,4,0,0,4,8,0,0,0,1,0,3,1,2,2,0,2,5,9,12,0,0,0,1,1773,1,1,"Dublin : Thomas Ewing, 1773.",Dublin,387,male,1721,1770,TRUE,"your faithful breast To groundless fears a prey. Come, where with my prevailing lyre The skies, the streams, the groves conspire To charm your doubts away. VIII Throned in the fun's descending car, What power unseen diffufeth far This tenderefs of mind ? vwhat genius finiles on yonder flood? What"
0163900500_000014,"Poetic laurels for characters of distinguished merit; interspersed with Poems, Moral and Entertaining: dedicated to his Royal Highness George Prince of Wales, By Maria and Harriet Falconar, authors of a collection of poems, and slavery, a tract.","Falconar, Harriet",102,0,1,4,1,0,0,0,0,0,0,0,1,0,2,2,2,2,0,1,0,1,1,3,5,0,1,0,6,0,1,3,0,4,0,1,1,0,1,1,1,0,0,4,0,1,1,0,4,0,3,4,8,28,1,2,0,0,1791,1,1,"London : printed at the Logographic Press; and sold by J. Walter, No 169, Piccadilly, opposite Old Bond Street, M.DCC.XCI. [1791].",London,103,female,,,FALSE,"which veils his worshipped form, 11l suits a breast with guilty passions warm; Well may he Heaven's impending justice fear, Who dreads a curse in many a fuff'rer's tear; For know, ye proud, a pang was never given To one poor breast , whose murmurs reached not Heaven ; 3"
0720400200_000012,Verses on various occasions.,John Taylor,100,0,1,0,0,5,0,0,0,0,1,0,0,1,5,4,1,0,0,0,1,1,2,5,0,0,1,0,5,1,0,2,0,9,1,2,2,0,1,6,1,0,0,3,1,4,2,0,4,2,1,1,2,17,4,1,0,0,1795,1,1,"London : printed by B. Millan, Printer to his Royal Highness the Prince of Wales; sold by J. Debrett, Piccadilly; and Cullen and Co. Pall-Mall, M.DCC.XCV. [1795].",London,145,male,1757,1832,FALSE,"whose vivid force can tell Of mighty Love's resistless spell; Who over the sternest hearts can reign, And hold it in a myrtle chain. That muse , who, chanting music's power In Philomela's blossomed bower, Can make the plumy minstrel dote On echo of a richer note. That [ 70"
0544700140_000020,The British poets.,,99,0,1,2,1,3,0,0,0,0,1,0,0,2,3,0,1,2,3,0,0,3,0,1,2,0,3,0,4,1,1,2,1,5,2,4,0,0,4,8,0,0,0,2,0,3,1,2,2,0,2,5,8,13,0,0,0,1,1773,40,44,"Edinburgh : printed for A. Kincaid and W. Creech, and J. Balfour, M,DCC,LXXIII. [1773][-76].",Edinburgh,213,unknown,,,FALSE,"fair afleftion's ties Giv'l! us to double all our joys And half disarm our pains ! f4 X Let uninrfal candour fill, Clear as yon hcaven re&ting rll, Prescrve my opcn.mind; Nor this nor that man's crooked ways One sordid doubt within me raise To injure humankind. O D E"
0646500300_000005,"The pleasures of memory, with other poems. By Samuel Rogers, Esq.",Samuel Rogers,68,0,0,2,0,1,0,0,0,1,0,0,0,4,3,3,0,0,2,1,2,1,4,1,1,0,2,0,2,0,0,3,0,2,0,1,2,0,0,1,0,0,0,3,0,1,1,2,4,2,3,5,1,2,1,1,0,3,1796,1,1,"London : printed for T. Cadell, junior, and W. Davies, (successors to Mr. Cadell) Strand, 1796.",London,129,male,1763,1855,FALSE,"remote to Thee impart 5 What charms in Genius , and refines in Art; Thee , in whose hand the keys of Science dwell, The pensive portress of her holy cell; Whose constant vigils chase the chilling damp Oblivion steals upon her veftal lamp. o The friends of Reason, and"
0296001000_000019,"Poems on several occasions. By the late Rev. Thomas Browne, ...","Browne, Thomas",104,0,2,4,0,3,0,0,0,0,0,0,0,3,1,3,3,3,0,0,0,1,1,4,0,0,3,0,3,2,2,0,0,3,1,6,2,0,0,5,1,0,0,0,1,1,3,1,9,0,1,3,4,19,3,2,0,1,1800,1,1,"[London] : Printed for Vernor & Hood, London, By R. & W. Dean, Manchester; and sold by Merritt and Wright, Liverpool, and Thomas Browne, Hull, 1800.",London,207,male,1771,1798,FALSE,"skies, And bring returning light; From other lands thy beam withdraws, Thou leavest them to enjoy repose , Beneath the veil of night : Thus each extensive hemisphere Thy warm prolific rays do cheer. Hail, all glorious god of day! Whose kind invigorating ray Does light and life diffuse! To"
0909700500_000031,Miscellaneous pieces of poetry. Selected from various eminent authors. Among which are interspersed a few originals.,,85,0,1,0,1,2,0,0,0,1,1,0,0,0,0,2,0,0,2,1,3,4,3,2,5,0,1,0,2,0,0,3,0,3,1,0,2,1,0,2,0,0,0,1,2,0,7,1,1,0,1,4,8,13,2,2,0,0,1765,1,1,"Edinburgh : printed for W. Gray, Front of the Royal Exchange. Sold by him, and by the booksellers of London and Edinburgh, MDCCLXV. [1765].",Edinburgh,253,unknown,,,FALSE,"Emerging into life's immortal light; Thou heir of worlds unknown, thou candidate For an important, everlasting slate, Where this young embryo shall its powers expand, Enlarging, ripening fill, and never Iand; Ya This glimmering spark of being, just now itruck From nothing, by theall creating Rock, To immortality shall flame"
