PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(appoint),termFreq(armi),termFreq(articl),termFreq(author),termFreq(borough),termFreq(cafe),termFreq(citi),termFreq(committe),termFreq(common),termFreq(concern),termFreq(continu),termFreq(council),termFreq(counti),termFreq(court),termFreq(crown),termFreq(declar),termFreq(earl),termFreq(england),termFreq(forc),termFreq(gener),termFreq(govern),termFreq(grant),termFreq(hall),termFreq(hous),termFreq(ireland),termFreq(judg),termFreq(king),termFreq(kingdom),termFreq(land),termFreq(law),termFreq(letter),termFreq(liberti),termFreq(majesti),termFreq(matter),termFreq(meet),termFreq(member),termFreq(nation),termFreq(offic),termFreq(order),termFreq(parliament),termFreq(parti),termFreq(peac),termFreq(peer),termFreq(peopl),termFreq(person),termFreq(petit),termFreq(power),termFreq(present),termFreq(privileg),termFreq(proce),termFreq(reason),termFreq(return),termFreq(scotland),termFreq(sever),termFreq(statut),termFreq(taken),termFreq(vote),termFreq(war),termFreq(write),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0011000103_001180,"The history of England. Written originally in French by M. Rapin de Thoyras. Translated into English by John Kelly of the Inner Temple, Esq; to which is added, critical and explanatory notes; also Chronological and Genealogical tables: with some particulars of the life of M. Rapin.",Thomas Lediard,128,0,2,9,1,1,0,1,3,0,14,4,0,6,0,3,0,3,1,2,2,2,1,0,1,5,1,1,14,0,1,0,1,0,5,2,0,5,0,1,4,6,0,1,2,1,0,4,1,1,0,0,1,1,2,2,0,0,8,1,1,1732,3,3,"London : printed for James Mechell, at the King's Arms, near Red Lion Street, High Holborn, MDCCXXXII. [1732].",London,891,male,1685,1743,FALSE,"towards The common council attempt to force the parlia Blackheath. ib. ment to treat, who order general Skippon pri And are dispersed by Fairfax. ib. vately to lift soldiers in the city to be a guard for The earl of Norwich, with about five or six hun them in cafe"
0141700108_000135,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes, illustrated with plates. By David Hume, Esq. A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself. ...",David Hume,114,1,5,6,0,3,0,2,0,2,1,0,0,1,2,3,0,3,2,0,0,2,1,2,1,6,1,1,18,1,1,1,1,0,0,0,2,5,1,0,3,7,3,0,1,2,2,1,1,3,1,0,2,1,1,1,0,0,10,0,0,1790,8,8,"London : printed for T. Cadell: and sold by T. Longman, 1790.",London,568,male,1711,1776,TRUE,"money, 257 Present Prefenta remonflranceagainft the duke ofbuckingham's conduat, 25 Irfir on the king's discontinuing levying the duties of tonnage and poundage, 268 Attack Arminianifm, z7,. An aliufion made use of by Rouse, a member , 274 First appearance of Oliver Cromwell, ib. Call oficer to account for levying tonnage"
0012100702_000101,"A new history of England, from the time of its first invasion by the Romans, fifty-four years before the birth of Christ, to the present time. Comprehending Its Ancient State under the Britons, Romans, Saxons, and Danes. With a particular Account of each Reign, from the Norman Conquest in 1066, to the Year 1756. The Whole divided into Nine Parts, containing the Grand Periods of the History. By an Englishman. In four volumes. ...",Englishman,113,0,1,8,1,1,0,0,1,2,8,0,1,1,0,2,0,4,1,1,1,3,1,0,0,7,0,2,15,2,0,2,1,0,3,0,0,1,2,1,2,8,2,2,2,3,0,1,6,0,0,3,0,0,1,1,0,1,7,1,0,1757,2,4,"London : printed for J. Newbery, in St. Paul's Church-Yard; and W. Owen, at Temple-Bar, M,DCC,LVII. [1757].",London,430,male,,,FALSE,"which the King and Parliament ought equally to have improved. The Point of Episcopacy was the only Article on which the Difficulties occurred; and, and, at last, the King agreed to abolish all the Hierar A. D. chy, except Bishops; as also to establish Prefbyterianifn 1648 for three Years :"
0232301403_000169,"An exact abridgment of all the statutes in force and Use, from Magna Charta, 9 H. 3. to the beginning of the reign of King George. In four volumes.",Great Britain,141,0,4,0,1,0,0,2,0,0,4,2,7,3,0,2,3,3,0,8,0,3,6,2,8,4,0,0,1,4,3,1,0,1,7,1,2,4,0,1,3,17,0,0,15,1,0,0,1,3,3,0,0,3,6,0,1,0,1,0,0,1720,3,5,"London : printed by His Majesty's printers. And by the assigns of Edward Sayer, Esq; and are to be sold by R. Gosling, at the Middle-Temple-Gate in Fleet-Street, MDCCXX. [1720].",London,559,unknown,,,FALSE,"rferved to the Owners as Rights of Property. Art. it. The Rights and Privileges of the Royal Burghisi Sotlard to remain entire. Art. 22 Sixteen of the Peers of Scotland ifall fit and vote in the House of Lords, and fortyfive Representatives of Slt. lnd in the House of Commons"
0515000108_000049,"A complete history of England, from the descent of Julius Cæsar, to the Treaty of Aix la Chapelle, 1748. Containing the Transactions of One Thousand Eight Hundred and Three Years. By T. Smollett, M.D.Volume the first.",Tobias Smollett,92,0,1,1,0,2,0,4,0,2,5,1,1,1,1,2,4,2,1,4,1,0,0,1,0,5,1,2,10,2,0,0,0,3,1,0,1,3,1,1,3,5,0,1,1,0,4,0,2,4,0,2,0,0,1,2,0,0,2,0,1,1758,8,11,"London : printed for James Rivington and James Fletcher, at the Oxford-Theatre; and R. Baldwin, at the Rose, in Paternoster-Row, MDCCLVIII. [1758]-60.",London,489,male,1721,1771,TRUE,"and learned protestants: That the parliament sitting at the death of the king flould continue for a certain time; or in cafe there mhould be no parliament at that juncture, the last should assemble without any new writs of elections: That, in the reign of a popish iilccefi r, no"
1729500108_000329,"Historical collections of private passages of state. Weighty matters in law. Remarkable proceedings in five Parliaments. Beginning the sixteenth year of King James, Anno 1618. And ending the fifth year of King Charls, Anno 1629. Digested in order of time, and now published, By John Rushworth of Lincolns-Inn, Esq;",John Rushworth,117,0,2,2,13,1,0,3,0,8,2,3,2,2,0,1,0,2,17,3,2,0,1,1,2,5,4,1,4,0,1,1,0,0,2,3,2,3,0,0,0,7,0,0,1,1,1,2,2,3,0,0,0,0,2,0,0,3,0,2,0,1721,8,8,"London : Printed by Tho. Newcomb for George Thomason, at the Sign of the Rose and Crown in St. Paul's Church-Yard, M.DCC.XXI. [1721].",London,625,male,1612,1690,FALSE,"48 t'heart: cle openedby Mr.whitlock, 490 The Oath tendred to the Scots, read, 494 Names of Wyitneffes, their Evidence, Excrep tions taken ,. Interlocutory pajfages, and Defenc. 494 to 498 More Interlocutory paffges, pm to 5 2 The Oath tendredto fomeof the Scotch Na tionrefident in England , 503 The"
0953900700_000135,"Memorials of the English affairs: or, an historical account of what passed from the beginning of the reign of King Charles the First, to King Charles the Second his happy restauration. Containing the publick transactions, Civil and Military: together with the private consultations and secrets of the cabinet. By Mr. Whitelock. With a Compleat index.","Whitlocke, Bulstrode",105,0,2,2,0,0,0,0,5,1,10,3,0,3,1,2,0,0,3,0,1,1,3,0,0,7,1,1,9,1,1,1,1,0,0,0,1,3,0,2,5,7,4,2,2,0,0,4,2,3,1,1,0,1,1,1,0,4,1,1,0,1732,1,1,"London : printed for J. Tonson: and sold by J. and J. Knapton, R. Knaplock, A. Bettesworth and C. Hitch, G. Strahan, J. Pemberton, F. Fayram and T. Hatchet, C. Rivington, J. Batley, J. Brotherton, F. Giles, R. Williamson, J. Stagg, T. Osborne, L. Gilliver, and F. Coggan, MDCCXXXII. [1732].",London,732,male,1605,1675,FALSE,"and I had Thanks from diverse, for preventing the Surprisal of the House upon this great Question. An Ordinance pared for the due Payment of Tithes. prpoiti The Propositions for Peace being fully agreed mnsfor unto, a Letter was ordered forthwith to be ent Pwt to the General of the"
1188400100_000291,"A new system of modern geography: or, a geographical historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climates, Air, Soil, Vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, Taxes, Naval and Military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A Geographical Index, with the Names and Places alphabetically arranged. II. A. Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S. To which have been added, the late discoveries of Dr. Herschell, and other eminent Astronomers.",William Guthrie,126,2,1,0,0,1,0,0,0,0,6,0,1,5,1,3,3,2,1,12,0,4,4,3,1,3,13,1,13,2,1,4,1,0,4,1,0,1,3,3,0,9,1,0,2,4,0,0,2,2,0,0,0,1,1,2,1,1,0,0,0,1792,1,1,"London : printed for C. Dilly, In The Poultry; and G. G. J. and J. Robinson, Pater Noster Row, MDCCXCII. [1792].",London,1102,male,1708,1770,FALSE,"lieutenants, and their court , have of late greatly encouraged them, and while they are in that government , make use of no other. COMMERCIAL INSTITUTIONS.] The Dublin society for the encouragement of ma nufaffurcs and commerce was incorporated 1750 The linen hall erected at Dublin, is under asjuft and"
0008100108_000134,"The history of England, from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes, illustrated with plates. By David Hume, Esq. A new edition, with the author's last corrections and improvements. To which is prefixed, a short account of his life, written by himself. ...",David Hume,114,0,4,6,0,2,0,3,0,2,1,2,1,1,1,1,0,3,3,1,0,2,2,3,1,5,1,0,21,1,0,1,1,0,0,0,2,5,0,1,2,6,1,0,1,2,2,1,3,2,1,0,2,1,1,0,0,0,11,1,0,1789,8,8,"London : printed for T. Cadell: and sold by T. Longman, 1789.",London,565,male,1711,1776,TRUE,"the Irish army raised by Strafford to reduce the Scots, 431 Oppose their being hired by the Spaniards, 43z. Their zeal for the presbyterian discipline, 445 Credit the report of the Ir'i massacre being ordered by the king , 447 An account of the famous remonstrance framed by them, 449"
1366300103_000340,"A new and complete system of universal geography; describing Asia, Africa, Europe and America; with their subdivisions of republics, states, empires, and kingdoms: the extent, boundaries, and remarkable appearances of each country; cities, towns, and curiosities of natur and art, also giving a general account of the fossil and vegetable productions of the earth. The history of man, in all climates, regions, and conditions; customs, manners, laws, governments, and religions: the state of arts, sciences, commerce, manufactures, and knowledge. Sketches of the ancient and modern history of each nation and people, to the present time. To which is added, a view of astromony, as connected with geography; of the planetary system to which the earth belongs: and of the universe in general. With a copious index annexed to each volume. Being a large and comprehensive abridgement of Universal geography. By John Payne. With additions, corrections and improvements from the latest and best authors. By James Hardie, A.M. author of The principles of Latin grammar, The American remembrancer, and universal tablet of memory &c. In four volumes. ...","Payne, John           fl. 1800",127,2,1,0,0,1,0,0,0,0,5,0,1,5,1,3,3,1,1,11,0,5,3,1,0,2,14,1,12,4,2,7,1,0,3,0,0,1,4,4,0,10,1,0,2,3,0,0,2,2,1,0,0,1,1,2,2,1,0,0,0,1798,3,4,"New-York : Printed for, and sold by John Low, book-seller, at the Shakespeares Head, no. 332 Water-Street, 1798[-1800].",New York,761,unknown,,,FALSE,"fkins and fur, otter fkins, goat fkins, salmon, and some other particulars. The exports of Ireland will be greatly increased by the late laws passed in favour of the trade of that kingdom . It is certain that the Irish have carried their inland manufaaures, even those of luxury, to"
0190000104_000034,"A new history of England, from the time that the Phoenicians first landed in this island, to the end of the reign of King George I. Taken from the best authors and manuscripts. By William Blennerhassett, Esq;","Blennerhassett, William",117,2,2,9,1,1,0,0,1,2,10,0,1,1,1,2,0,2,1,3,0,4,3,0,0,4,0,2,18,2,1,2,0,1,2,2,0,1,2,0,3,3,3,2,0,4,0,3,3,3,0,0,0,0,0,4,0,1,4,1,0,1751,4,6,"Newcastle upon Tyne : printed by John Gooding, on the Side, for the author, MDCCLI. [1751].",Newcastle upon Tyne,443,unknown,,,FALSE,"for the Treaty was several Times enlarged; and as Religion was the only Point that hindered a Conclusion, Cromwell was afraid the King would give way at last. To hinder which, the Independent Party sent a Remonstrance to the House of Commons , containing several Articles which they insisted upon."
0070100103_000206,"A complete history of England, deduced from the descent of Julius Cæsar, to the Treaty of Aix la Chapelle, 1748. Containing the Transactions of One Thousand Eight Hundred and Three Years. By T. Smollett, M.D. ...",Tobias Smollett,95,1,5,2,0,1,0,0,0,3,4,0,0,3,1,4,0,3,1,1,1,2,1,0,1,6,0,3,12,1,0,3,1,1,2,0,0,3,3,0,0,5,1,0,4,3,1,1,1,1,0,1,0,0,1,0,1,1,2,3,0,1757,3,4,"London : printed for James Rivington and James Fletcher, at the Oxford-Theatre, in Pater-Noster Row, MDCCLVII. [1757]-58.",London,555,male,1721,1771,TRUE,"and seized twenty thousand pounds belonging to the merchants. The excluded members having published a protestation against the violence they had undergone, the two houses declared it scandalous and seditious then they ordained, that in the ensuing election for the magistracy of London, no perlbn should be chosen mayor, or"
0953900700_000277,"Memorials of the English affairs: or, an historical account of what passed from the beginning of the reign of King Charles the First, to King Charles the Second his happy restauration. Containing the publick transactions, Civil and Military: together with the private consultations and secrets of the cabinet. By Mr. Whitelock. With a Compleat index.","Whitlocke, Bulstrode",106,0,1,1,0,0,0,0,1,3,3,1,2,0,1,0,0,1,1,3,4,4,1,2,4,8,6,1,5,1,3,1,5,1,2,0,0,2,0,1,9,9,3,0,0,0,1,2,2,0,1,0,0,1,1,1,0,1,6,0,0,1732,1,1,"London : printed for J. Tonson: and sold by J. and J. Knapton, R. Knaplock, A. Bettesworth and C. Hitch, G. Strahan, J. Pemberton, F. Fayram and T. Hatchet, C. Rivington, J. Batley, J. Brotherton, F. Giles, R. Williamson, J. Stagg, T. Osborne, L. Gilliver, and F. Coggan, MDCCXXXII. [1732].",London,732,male,1605,1675,FALSE,"discharged. z6. Petition of Captain Sheffield referred. Money given to ome who had lost their Eyes in Ireland . Votes for dismantling several Garrisons. 27 The French Ambassador had his Audi French ence in usual State and Ceremony in both Hou A,""'J> frs. .'or. The 238 II I _ I"
0450800400_000171,"Bibliotheca technologica: or, a philological library of literary arts and sciences. Viz. I. Theology; or the first Principles of Natural Religion. II. Ethics, or Morality; the Doctrine of Moral Virtues. III. Christianity; or the Substance of the Christian Religion. IV. Judaism; or the Religion and State of the Jews. V. Mahometanism; or the Life, Religion, and Polity of Mahomet. VI. Gentilism; or the Deities and Religion of the Heathen. Vii. Mythology; or an Explanation of Fabulous Histories. Viii. Grammar and Language, particularly of the English Tongue. IX. Rhetoric and Oratory; or the Art of speaking eloquently. X. Logic; or the Art of Reasoning and Persuasion. XI. Ontology; or the Science of Being abstractedly considered. XII. Poetry; or the Art of making Verses or Poems. XIII. Criticism; or Art of judging well of Men and Things. XIV. Geography; or a Description of the World. XV. Chronology; or the Doctrine of Time. XVI. History; with the Original of Nations and Kingdoms. XVII. Physiology; or Science of Natural Philosophy. XVIII. Botany; or the Doctrine of Plants and Vegetables. XIX. Anatomy; or a Description of the Parts of an human Body. XX. Pharmacy; or the Art of making Medicines. XXI. Medicine; or the Theory of Physic and Diseases. XXII. Polity and Oeconomics; or the Doctrine of Society and Government. XXIII. Jurisprudence; or the Knowledge of Law or Right. XXIV. Heraldry; or Art of Blazoning Coat-Armour. XXV. Miscellanies: An Account of the Mathematical Arts and Sciences. By Benjamin Martin.",Benjamin Martin,120,1,1,0,0,1,1,1,1,1,6,2,0,3,2,15,2,1,2,6,0,1,2,0,2,8,0,2,12,0,3,6,0,0,1,4,1,4,0,4,1,6,0,1,1,2,0,0,5,3,0,1,0,0,0,1,1,0,1,1,0,1776,1,1,"London : printed for the author, and sold by W. Owen, M.DCC.LXXVI. [1776].",London,534,male,1705,1782,TRUE,"tdtermnines contracts concerning deeds of arms ciu cut of the realm upon land , and of war within the realm, which cannot be determined by common - law ; te formerly had several courts under him, but now only the Marshalsea. This office has been long here dt: rv in"
0313500102_000067,"A third collection of scarce and valuable tracts, on the most interesting and entertaining subjects: but chiefly such as relate to the history and constitution of these kingdoms. Selected from an Infinite Number in Print and Manuscript, in the Royal, Cotton, Sion, and other Public, as well as Private Libraries; Particularly that of the late Lord Somers. Revised by eminent hands. ...",,105,2,2,6,0,0,2,0,1,1,2,1,0,0,2,7,0,1,0,4,5,1,1,0,0,10,3,0,1,0,0,3,0,0,0,1,1,6,2,1,4,7,3,0,0,4,2,1,5,0,1,1,1,0,4,1,0,1,4,0,0,1751,2,4,"London : printed for F. Cogan, at the Middle-Temple-Gate, in Fleet-Street, MDCCLI. [1751].",London,505,unknown,,,FALSE,"Spirit renoved from all Places of Trust. and Opportunities of doing Mil'chicf. In In this' Posture of Affairs was England , and the Dominions thereof, when the Lion was forced to quit his Prey; of whom I will say no more, because he is gone to his own Place; and"
