PassageID,Title,Author,Total termFreq,termFreq(ag),termFreq(author),termFreq(believ),termFreq(bitter),termFreq(bodi),termFreq(charact),termFreq(common),termFreq(curl),termFreq(envi),termFreq(fame),termFreq(gener),termFreq(hand),termFreq(hate),termFreq(heart),termFreq(idea),termFreq(judgement),termFreq(ladi),termFreq(libel),termFreq(liberti),termFreq(low),termFreq(malic),termFreq(manner),termFreq(merit),termFreq(opinion),termFreq(piqu),termFreq(poem),termFreq(point),termFreq(power),termFreq(print),termFreq(privat),termFreq(public),termFreq(publish),termFreq(read),termFreq(satir),termFreq(satyr),termFreq(scandal),termFreq(scribbler),termFreq(spirit),termFreq(vain),termFreq(vers),termFreq(vice),termFreq(wit),termFreq(work),termFreq(write),termFreq(wrong),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0685400104_000034,"The poetical works of Alexander Pope, Esq. ... . Containing his Juvenile Poems.",Alexander Pope,41,1,6,0,0,0,1,3,1,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,2,0,4,0,1,3,2,1,2,1,0,0,2,1,0,1,0,0,1,1,1,0,1773,4,4,"Glasgow : printed by Robert and Andrew Foulis, Printers to the University, M.DCC.LXXIII. [1773].",Glasgow,193,male,1688,1744,TRUE,"Mathematics fly! S vain ! they gaze, turn giddy, rave, and die. Religion blushing veils her sacred fires, And unawares Morality expires. S'norpublic Flame, nor private , dares to nhine; inor hinan Spark is left, nor Glimpse divine! Lo! thy dread Empire, Chaos! is restore, Light dies before thy uncreating"
1164300700_000032,"Essays, epistles, and odes; by Alexander Pope, Esq;",Alexander Pope,36,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2,3,0,2,0,0,1,0,0,2,0,0,3,0,0,2,1,2,0,2,1,0,0,2,0,4,0,3,0,1754,1,1,"Edinburgh : printed for Yair & Fleming and L. Hunter, M.DCC.LIV. [1754].",Edinburgh,238,male,1688,1744,TRUE,"buno makes. Poor guiltless I! and can I chute but fiile, 281 When every Coxcomb knows me by my Style? CURSED be the verse , how well foe'er it flow, That tends to make one worthy man my foe, Give Virtue scandal , Innocence a fear, 285 Or from the"
0226300204_000071,"The works of Alexander Pope, Esq; In eight volumes. With his last corrections, additions, and improvements. Together with all his notes.",Alexander Pope,43,1,8,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,2,0,7,0,1,2,1,1,2,1,0,0,1,1,1,0,0,0,1,1,2,1,1770,4,8,"London : printed for S. Crowder, C. Ware, and T. Payne, M.DCC.LXX. [1770].",London,263,male,1688,1744,TRUE,"-- mon cause of all scribblers , bookfellces, and.printexs. whatsoever. The Pillbter., wvho he was is uncertain;. but Edward' Ward tells us, in his preface to Dargen, ""Tia: n moltjudges ""are of opinion thi spreface is not of English extraction"" "" Hiberiian,"" 6rc. He means it was written by Dr"
0296400103_000058,"The poetical works of Alexander Pope, Esq. In three volumes. ...",Alexander Pope,43,1,9,0,0,0,1,3,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,6,0,1,2,1,1,2,1,0,0,1,1,0,0,0,0,1,1,2,1,1785,3,3,"Glasgow : printed by Andrew Foulis, Printer to the University, M.DCC.LXXXV. [1785].",Glasgow,399,male,1688,1744,TRUE,"which they blic in general afobrd it a most quiet reception, and the larger part accept it as favourably as if it were some kindness done to themselves; whereas, if a known scoundrel or blockhead, but chance to be touched upon, a whole legion is up in arms, and it"
0163601700_000007,"Pope Alexander's supremacy and infallibility examin'd; and the errors of Scriblerus and his man William detected. With the effigies of His Holiness and his prime minister, curiously engrav'd on copper.",John Dennis,43,0,4,1,0,0,2,0,1,0,0,2,0,0,0,0,0,3,3,0,1,5,3,0,0,0,1,1,0,1,1,0,2,1,0,3,4,0,0,0,0,0,2,0,2,0,1729,1,1,"London : sold by J. Roberts in Warwick-Lane, M.DCC.XXIX. [1729].",London,38,male,1658,1734,TRUE,"Gentlemen, (as he did afterwards an abusive Libel on one of them;) and as many Things which had passed in private Conversation at Button's coffeehouse, came to be known by the Lord OOF which Infidelity Scriblerus was fufpeced, he was obliged to absent himself for some Years from thence. After"
0447600202_000102,"The works of Monsieur Boileau. Made English from the last Paris edition, by several hands. To which is prefix'd his life, written to Joseph Addision, Esq; by Mr. Des Maizeaux. And some account of this translation by N. Rowe, Esq; Adorn'd with cuts.",Nicolas Boileau-Despréaux,52,2,1,1,0,0,0,0,0,0,1,0,1,0,2,0,3,0,0,0,0,2,1,1,0,0,2,0,0,0,0,4,0,3,0,4,4,0,0,4,3,0,3,4,4,2,1711,2,2,"London : printed for E. Sanger at the Post-House, and E. Curll at the Dial and Bible, both in Fleet-Street, MDCCXII. [1712].",London,475,male,1636,1711,FALSE,"himself gives the Public an Account of it in his ninth Satyr . But some may say I'm in the Wrong to blame A Man of Chapelain's Merit and his Fame . balzac his Panegyric oft has made, And none was fonder of the Rhyming Trade. Tis TRUE -- -"
0869900102_000208,"The works of Alexander Pope, Esq. complete. With his last corrections, additions, and improvements: together with the commentary and notes of his editor. A new edition, in five volumes. To which is annexed the life of the author, compiled from Original Manuscripts, with a Critical Essay on his Writings and Genius. By Owen Ruffhead, Esq.",Alexander Pope,41,1,5,0,0,0,2,3,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,2,0,4,1,1,3,1,2,3,0,0,0,2,1,0,0,1,0,1,1,1,1,1769,2,5,"London : printed for C. Bathurst, H. Woodfall, W. Strahan, J. and F. Rivington, W. Johnston, B. White, T. Caslon, T. Longman, B. Law, Johnson and Payne, S. Bladon, T. Cadell, and the Executors of A. Millar, MDCCLXIX. [1769].",London,616,male,1688,1744,TRUE,"hundred and fifty-four verses , Declare eter tworb, figure, point , and commota of tbio imnt prem'on to be atttbentic: Iani 3o tierefore ftriflp enjoin ann forbfi anp peifon or pr; fon. alwatroet4e, to trafe, relterr, put etweaen hooks, to fp ane other meant, Direrlp or indirelp, cange or muangle"
1206400103_000097,"The works of Alexander Pope Esq. In nine volumes. With his last corrections, additions, and improvements; ... together with the commentaries and notes of Mr. Warburton.",Alexander Pope,41,1,7,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,6,0,1,3,1,2,3,1,0,0,2,1,0,1,0,0,1,0,1,1,1753,3,9,"Dublin : printed for George Faulkner, A. Moore, and A. Bradley, 1753 [1764].",Dublin,296,male,1688,1744,TRUE,"tlis our L : a. labour, as long as in any of our others. B : : L · [ 249 ] A P P E N D I X I. P R E F A C E Prefixed to the five first imperfeet Editions of the DUN C I"
1293300402_000150,"The works of Monsieur Boileau. Made English from the last Paris edition, by several hands. ... To which is prefix'd his life, written to Joseph Addison, Esq; by Mronsieur [sic] Des Maizeaux. And some account of this translation, by N. Rowe, Esq; Adorned with cuts.",Nicolas Boileau-Despréaux,52,0,5,1,0,1,1,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,3,1,0,0,8,7,0,0,1,2,4,1,2,3,2,1736,2,2,"London : printed and sold by W. Shropshire; and Edward Littleton, 1736.",London,640,male,1636,1711,FALSE,are often sooner Laughed out of it than convinced of the Heinoafuefs of it by a serious Diicourfe according to that ancient Saying Ridiculum acre For itius ac meliwis mass plerumque fecat res.; Twould be in vain to objet that in his fourth Character he is not fatisfy'd with exposing
0508900105_000088,"The works of Alexander Pope Esq. In nine volumes, complete. With his last corrections, additions, and improvements; As they were delivered to the Editor, a little before his Death. Together with the commentary and notes of Mr. Warburton.",Alexander Pope,40,1,6,0,0,0,2,3,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,5,1,1,2,0,1,3,1,0,0,1,1,0,1,1,0,1,1,1,0,1753,5,9,"London : printed for J. and P. Knapton, H. Lintot, J. and R. Tonson and S. Draper, and C. Bathurst, MDCCLIII. [1753].",London,347,male,1688,1744,TRUE,"Author gave four books, his Editor only three. But we have happily donejuftice to both; and presume we hall live in this our last labour, as long as in any of our others, bzntl. -250 bhitb tile caord0 The Mighty Mother, and ending litlh tile toorb% buries All, containing tlje"
0458100202_000077,The works of Mr. Alexander Pope. Volume II.,Alexander Pope,37,1,4,0,0,1,0,0,5,0,2,0,0,0,0,0,0,3,2,0,0,1,3,0,0,0,1,0,0,3,1,1,0,1,1,0,2,2,0,0,1,0,0,2,0,0,1735,2,2,"London : printed by J. Wright, for Lawton Gilliver at Homer's Head in Fleetstreet, MDCCXXXV. [1735].",London,481,male,1688,1744,TRUE,"Concanen in his dedication of the Letters, Advertisements, &: C to the author of the Dunciad, assures us, that "" Juvenal northeast"" "" satirised the poverty of Codrus."" john Dunton was a broken bookseller and abusive scribbler : he writ Neck or Nothing, a violent satire on some Minifiers of"
0689300108_000906,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti.",,56,2,2,0,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,3,0,1,0,3,2,0,0,0,1,0,2,18,1,1,0,1,0,4,4,0,0,3,0,1778,8,10,"Edinburgh : printed for J. Balfour and Co. W. Gordon, J. Bell, J. Dickson, C. Elliot, W. Creech, J. Mccliesh, A. Bell, J. Hutton, and C. Macfarquhar, MDCCLXXVIII. [1778].",Edinburgh,833,unknown,,,FALSE,"all the sentiments which are beautiful in this way of writing muff proceed from that quality in the author . It is good nature produces that disdain of all baseness, vice , and folly, which prompts the poet to express himself with sich smartness against the errors of men, but"
1227500103_000034,"The works of Alexander Pope Esq; Vol. III. Part I. Containing the Dunciad, and notes of Scriblerus.",Alexander Pope,36,0,4,0,0,1,0,0,5,0,1,0,1,0,0,0,0,2,2,0,0,1,3,0,0,0,1,0,0,2,1,1,1,0,1,0,2,2,0,0,2,0,0,3,0,0,1742,3,3,"London : printed for Henry Lintot, 1742.",London,261,male,1688,1744,TRUE,"but one bed, oj/hort to boat, That his hort life's Short legs hung danglingo out: His cupboard's headfix earthen pitchers graced, Beneath them was his trusty tankardplac'd; And to support this noble plate, there lay A bending Chiron, cafifrom hones clay. Hisse'w Greek books a rotten chejl contain'dt, Whose covers"
0226202700_000074,"The Dunciad, in four books. Printed according to the complete copy found in the year 1742. With the prolegomena of Scriblerus, and notes variorum. To which are added, several notes now first publish'd, ...",Alexander Pope,39,1,8,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,5,0,0,2,1,1,2,1,0,0,1,1,1,1,0,0,1,1,2,1,1744,1,1,"[Dublin] : London printed, and Dublin re-printed for G. and A. Ewing, 1744.",Dublin,302,male,1688,1744,TRUE,"sketch of this poem was snatched from the fire by Dr. Swift, who persuaded his friend to proceed in it,. and to him it was therefore inscribed. But the occasion of printing it was as follows. There was published in those Miscellanies, a Treatise of the Bathos, or Art of"
0089503900_000002,A dialogue on one thousand seven hundred and thirty-eight: together with a prophetic postscript as to one thousand seven hundred and thirty-nine.,,51,0,0,2,0,0,0,0,0,0,1,0,2,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,3,2,3,9,0,2,2,0,1,0,0,1,5,2,4,1,3,1,1738,1,1,"London : printed for T. Cooper, at the Globe in Pater-Noster-Row, M.DCC.XXXVIII. [1738].",London,14,unknown,,,FALSE,"05o TRUE Patriots Words and Wishes both may waste: While those who seek to work the public Woe, Meet it's Applauses where foe'er they go. B. My -9 B. My Patience would be lost indeed, could I To all You say a ready Faith supply! I I But, Sir, I"
0902000404_000012,"The works of Alexander Pope Esq. In Nine Volumes Complete. With his last corrections, additions, and improvements; As they were delivered to the Editor a little before his Death: Together with the commentaries and notes of Mr. Warburton.",Alexander Pope,32,0,1,0,0,1,2,0,2,0,1,0,0,0,0,0,0,2,3,0,1,0,0,0,1,0,2,0,0,3,0,0,1,1,0,0,2,1,0,0,1,1,4,0,2,0,1751,4,9,"London : printed for J. and P. Knapton, H. Lintot, J. and R. Tonson, and S. Draper, MDCCLL [1751].",London,362,male,1688,1744,TRUE,""" the Art of poetry of Horace; and his Rape of the Lock is, in a my opinion , above the Lutrin of Defpreaux. I never saw ""' so amiable an imagination, so gentle graces, so great variety,  so much wit , and so refined knowledge of the world,"
0695300602_000036,"The works of Alexander Pope, Esq; Vol. II. Part I. Containing his epistles, &c.",Alexander Pope,33,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,2,0,2,0,0,1,0,0,2,0,0,2,0,0,1,1,2,0,1,1,0,1,2,0,5,0,3,0,1743,2,2,"London : printed for R. Dodsley, and sold by T. Cooper in Pater-Noster-Row, MDCCXLIII. [1743].",London,201,male,1688,1744,TRUE,"(Criesprating Balbu) fomethingwillcome out. 27 Tis all in vain ; deny it as I will..  No, such a Genius never caib lie still; And then for mine obligingly mistakes The first Lampoon Sir Will. or Bubo makes. 280 Poor guiltless I and can I choose but smile, When every"
1762100102_000476,"Athenæ Oxonienses. An exact history of all the writers and bishops who have had their education in the ... University of Oxford, from ... 1500, to the author's death in November 1695. ... By Anthony Wood, M.A. In two volumes.","Wood, Anthony à",48,3,4,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,1,3,4,0,0,2,1,1,0,0,3,1,3,0,2,1,1721,2,2,"London : printed for R. Knaplock, D. Midwinter, and J. Tonson, 1721.",London,725,male,1632,1695,FALSE,"and obscene and scandalously infamous Play, not wholly completed, passed some Hands privately in MS, under the Name of Sodom, and fathered upon the Earl (as moult of this kind were, right or wrong , which came out at any time, after he had once obtained the Name of an"
0122701800_000001,"On the abuse of poetry. A satire. To the Honourable Richard Savage Nassau, Esq;","Weekes, Nathaniel, poetical writer",40,2,2,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,1,1,1,2,3,0,1,3,0,5,2,0,5,1,0,0,1752,1,1,"London : printed for Richard Manby on Ludgate-Hill, [1752].",London,29,unknown,,,FALSE,"ON THE A B U S E OF P O E T R Y, C [ Price One Shilling. ] ON THE D S, A B U S E A B U S E OF POETRY. A S A T I R E. To the Honourable Richard Savage Nassau, Esq;"
0384000506_000025,"The works of Alexander Pope, Esq. In ten volumes complete. With his last corrections, additions, and improvements. Together with all his notes, as they were delivered to the Editor a little before his Death: printed verbatim from the octavo edition of Mr. Warburton.",Alexander Pope,41,1,8,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,6,0,1,2,0,0,4,1,0,0,1,1,1,1,0,0,1,1,1,0,1764,6,10,"Dublin : printed by J. Potts, at Swift's-Head, in Dame-Street; and J. Williams, in Skinner-Row, MDCCLXIV. [1764].",Dublin,229,male,1688,1744,TRUE,"living and not blind:) The Editor himself c6nfefs'd as much in his Preface : And no two Poems were ever published inif arbitrary a manner . The Editor of this, had as boldly sup pressed whole Passages, yea the entire lat' book, as the Editor of Paradise lost, added and"
0226202700_000009,"The Dunciad, in four books. Printed according to the complete copy found in the year 1742. With the prolegomena of Scriblerus, and notes variorum. To which are added, several notes now first publish'd, ...",Alexander Pope,37,1,3,0,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,2,2,5,0,1,2,0,1,1,0,0,1,0,0,0,0,1,0,2,1,2,1,1744,1,1,"[Dublin] : London printed, and Dublin re-printed for G. and A. Ewing, 1744.",Dublin,302,male,1688,1744,TRUE,"and evil manners of the times, calleth out upon our poet to undertake a talk so worthy of his virtue: C Why slumbers Pope, who leads the Muse's train, "" Nor hears that Virtue, which he lorves, complain? Mr. MALLET, In his epifle on Verbal Criticism: ""Whose life, severely scari'd,"
0559400101_000128,"The works of Horatio Walpole, Earl of Orford. In five volumes. ...",Horace Walpole,50,4,4,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,11,0,0,6,0,1,2,1,3,1,0,0,0,0,1,1,4,1,3,1,1798,1,5,"London : printed for G. G. and J. Robinson, Paternoster-Row, and J. Edwards, Pall-Mall, MDCCXCVIII. [1798].",London,601,male,1717,1797,TRUE,"themselves on vindicating the honour of the republican parliament! Bishop morlfy wrote "" A TRUE account of the whole proceedings betwixt James duke of Ormond and Arthur earl of Anglesey -."" Folio. More of this affair will be found in the article of Anglesey. A pompous edition of the eari's"
1118101100_000001,"A letter from a country gentleman, To the Author of the Occasional Writer.",Publícola,45,2,1,1,0,0,0,1,0,1,0,4,0,0,1,0,1,0,3,0,2,0,0,1,2,0,0,1,1,1,0,1,0,1,0,4,1,1,3,0,0,3,3,0,5,0,1727,1,1,"London : printed for J. Roberts, near the Oxford-Arms, in Warwick-Lane, M.DCC.XXVII. [1727].",London,23,unknown,,,FALSE,"_  -, // /3' -- A.. ... L ..s x * RO M A Country G E N T LE M A TO THE T 0 TH E O F THE E OCCASIONAL WRITER - . -- -- Suit intasis quoque Cura Conditioneftiper cormmruni. Hor. LONDON: Printed for J."
0478600400_000047,"Histoire du Prince Titi, A.R. The history of Prince Titi, a royal allegory. Translated by a lady.",Thémiseul de Saint-Hyacinthe,45,1,0,0,0,0,6,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,2,3,0,0,5,2,2,0,1,0,2,1,5,0,2,1,1736,1,1,"London : printed for E. Curll, at Pope's Head, in Rose-Street, Covent-Garden, 1736.",London,214,male,1684,1746,FALSE,"Office of the Censor, rather than of the Poet, to take Notice even of bad Men in so public a Manner . The Grecian Tragedy was prior in Time even to the old Comedy. The Interval therefore between the Invention of Tragedy and Comedy was sixty four Years. And both"
0259300105_000090,"The works of Alexander Pope, Esq. In nine volumes complete. With his last corrections, additions, and improvements; together with All his notes, as they were delivered to the Editor a little before his Death: printed from the octavo edition of Mr. Warburton.",Alexander Pope,43,0,7,1,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,5,0,0,11,0,1,1,0,2,1,1,0,0,0,2,0,0,1,1,0,1756,5,9,"London : printed for H. Lintot, A. Millar, J. and R. Tonson and S. Draper, and C. Bathurst, M.DCC.LVI. [1756].",London,372,male,1688,1744,TRUE,"his. But by the frequency of his allusions to Virgil, and a laboured (not to say affe&ed)/hortnefs in imitation of him, I should think him more an admirer of the Roman poet than of the Grecian, and in that not of the same taste with his friend. I have been"
0089100205_000092,"The works of Alexander Pope Esq. In nine volumes, complete. With his last corrections, additions, and improvements: together with the commentary and notes of his editor.",Alexander Pope,42,1,6,0,0,0,3,3,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,6,0,1,2,0,1,4,1,0,0,1,1,1,0,0,0,1,1,1,0,1770,5,9,"London : printed for C. Bathurst, W. Strahan, J. and F. Rivington, R. Baldwin, W. Johnston, T. Caslon, T. Longman, B. Law, Johnson and Davenport, T. Davies, T. Cadell, and W. and J. Richardson, MDCCLXX. [1770].",London,357,male,1688,1744,TRUE,"never seen by the Author , (though living and not blind:) The Editor himself confessed as much in his Preface: And no two poems were ever published in so arbitrary a manner . The Editor of this, had as boldly suppressed whole Passages, yea the entire last book, as the"
