PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(action),termFreq(administr),termFreq(agre),termFreq(assign),termFreq(bond),termFreq(brought),termFreq(cafe),termFreq(cau),termFreq(charg),termFreq(cite),termFreq(condit),termFreq(court),termFreq(coven),termFreq(creditor),termFreq(death),termFreq(debt),termFreq(deceas),termFreq(decre),termFreq(defend),termFreq(devis),termFreq(dure),termFreq(estat),termFreq(evid),termFreq(execut),termFreq(executor),termFreq(gener),termFreq(grant),termFreq(hall),termFreq(hand),termFreq(heir),termFreq(indentur),termFreq(judgment),termFreq(laid),termFreq(land),termFreq(law),termFreq(legaci),termFreq(life),termFreq(mention),termFreq(monei),termFreq(paid),termFreq(parti),termFreq(payment),termFreq(person),termFreq(plaintiff),termFreq(plea),termFreq(plead),termFreq(present),termFreq(prove),termFreq(receiv),termFreq(recit),termFreq(releas),termFreq(rent),termFreq(sever),termFreq(statut),termFreq(suit),termFreq(term),termFreq(wife),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
0119200800_000063,"The compleat court-keeper: or, land-steward's assistant. Containing, first, the nature of Courts Leet, and Courts Baron; with a general Introduction to every thing incident to them according to Law and Custom. Secondly, The Manner of holding Courts Leer, Courts Baron and Courts of Survey, with the Charge to the Juries; and the Forms of Entring those Courts in the Minute Books and in the Court-Rolls, with Precedents of great Variety of Presentments, Amerciaments, Estreats, Copies of Court-Roll for Life, and in Fee; Grants, Surrenders, Admittances, Licences Forfeitures, and all other Proceedings of that Nature. Thirdly, The Manner of keeping the Court Baron for trying of Actions; the Nature and Kinds of Actions, and of Pleadings; and Precedents of Declarations and Pleadings, and of Process, from the Precept or Original to the Distress or Execution, with Pleas and Recoveries concerning Copyhold Lands. Fourthly, Precedents of Contracts, Conditions, Covenants, Leases for Life, Leases for Years, Assignments, Mortgages, Surrenders of such Leases; and also of Copies of Court-Roll in special Cases, used by the Land-Steward. Fifthly, the power and authority of the Lord, and of the Steward, and the Privilege of the Tenants, with Variety of Law Cases and Resolutions concerning Copyholders, and the whole Business of Court-Keeping: And also Surveys of Manors, Rentals, Stewards Accounts, Fees, &c. By Giles Jacob, Gent.",Giles Jacob,133,3,8,1,2,0,5,5,1,0,7,0,2,3,1,1,0,18,1,0,2,0,1,2,1,1,4,1,1,2,1,3,0,0,0,1,0,1,1,1,10,5,3,4,5,1,0,2,3,0,5,0,0,4,1,1,0,3,5,1713,1,1,"London : printed by John Nutt, assignee of Edw. Sayer Esq; for Bernard Lintott at the Cross-Keys in Fleet-Street, and Thomas Ward in the Inner-Temple-Lane, 1713.",London,519,male,1686,1744,FALSE,"due oils, and first to a Man by reason of Account , Bargain, Contra, Debt . Obligation, or other Specialty, to be paid at a certain Day, which is not paid . A Dea Demand must be made before Ation be brought in all Debts , unless it be by"
0502700100_000014,"A digest of the laws of England. Being a continuation of Lord Chief Baron Comyns's Digest, brought down to the present time, by a gentleman of the Inner-Temple.","Comyns, John, Sir",118,5,2,4,1,0,4,0,1,0,0,0,0,1,1,5,3,8,0,1,4,0,0,4,0,1,21,1,1,2,1,1,0,3,0,1,2,5,1,0,3,3,0,5,1,3,1,1,0,0,2,0,1,4,3,1,0,2,4,1776,1,1,"London : printed by W. Strahan and M. Woodfall, Law-Printers to the King's Most Excellent Majesty. For Thomas Longman, and Robert Horsfield, MDCCLXXVI. [1776].",London,629,male,,,FALSE,"consent that probate ( hall be granted to two executors , A. and B. but that A. ( hall not intermeddle, and that B. shall indemnify him. Rex V Simpson, H. 4 G. 3 3 B. M. 1463 (B. 2.) If there are several Executors or Administrators their Interest is"
0231600100_000152,"Precedents in Chancery: being cases argued and adjudged in the High Court of Chancery, In the Reigns of King William the Third, Queen Anne, and the first Eight Years of King George the First, viz. from 1689 to 1722. By a late careful and judicious hand.",Great Britain. Court of Chancery,113,0,1,0,1,1,2,1,7,0,0,1,0,2,2,1,2,10,0,0,6,3,0,6,0,1,1,0,1,1,0,8,1,4,3,5,3,0,1,0,1,1,0,2,1,5,4,1,1,0,0,0,3,0,1,3,0,5,10,1750,1,1,"[London] : In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; and sold by J. Worrall, at the Dove in Bell-Yard, near Lincoln's Inn, MDCCL. [1750].",London,635,unknown,,,FALSE,"Behalf of A Devisee, or Hieres takes it a Facus, of the Real Estate , as of the Hares Natus, for it bedevicd which the Cafes cited were Grey and Grey, chicejter andle thlire1 r Phillips, Hale and Hale, and other Cafes . xvods to My Lord Chancellor was now"
0598000103_000467,"A complete body of conveyancing, in theory and practice, by Edward Wood. A new edition, being the fifth, revised and corrected, with the Addition of Original Precedents, Notes, References, &c. By John Joseph Powell, of the Middle Temple, Esq. Barrister at Law. In three volumes. ...","Wood, Edward, conveyancer",92,1,0,1,0,1,6,0,1,0,1,0,2,2,1,0,1,2,2,3,1,0,1,5,0,1,1,1,2,0,1,5,2,0,2,4,1,2,3,1,2,4,3,4,5,1,0,0,1,0,2,7,2,1,3,0,0,0,0,1793,3,3,"London : printed by A. Strahan and W. Woodfall, Law Printers to the King's Most Excellent Majesty; for J. Johnson, in St. Paul's Church-Yard; J.F. and C. Rivington, P. Uriel, B. Law, G. G. J. and J. Robinson, R. Baldwin, W. Otridge, W. Brown, E. and R. Brooke, S. Hayes, W. Stuart, T. Whieldon, Ogilvy and Co. W. Lowndes, W. Clarke, and J. Evans, MDCCXC. [1790]-93.",London,959,male,,,FALSE,"hereditaments, situate in, c. therein particularly me'nticld herein after granted and released ; To hold the same unto and to the use of the hi. and R. 1'. and their heirs , In trnyfs everthelefs for the said 7 P. his heirs and allig,; 4 and by the said in"
0346600102_000069,"The accomplish'd conveyancer. Containing, the nature and kinds of deeds and instruments used in conveyancing: and an abridgment of the law...and also, all manner of precedents made use of in conveyancing,...The second edition, corrected, with additions. By Giles Jacob, Gent. ...",Giles Jacob,112,0,0,6,3,5,0,0,3,0,2,0,1,3,3,0,1,4,0,2,2,3,1,3,0,0,11,0,4,1,0,3,1,0,3,2,1,1,0,2,4,4,3,4,3,1,0,0,2,1,3,1,0,1,4,0,0,2,8,1732,2,3,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for B. Lintot, 1726-36.",London,636,male,1686,1744,FALSE,"granting and assuring of all and, singular the said Manor and Premises abovementioned, with the Appurtenances, unto the said A. S. and A. his Wife : Io bold to them, their Executors , Administrators and Assigns , for and during all the Rest and Residue of the said said Term"
0598400101_000264,"Reports of cases argued and determined in the High Court of Chancery, and of some special cases adjudged in the Court of King's Bench: collected by William Peere Williams, ... In two volumes. ...",William Peere Williams,94,0,3,0,1,1,3,1,1,0,1,0,1,2,3,2,1,0,0,2,1,3,5,4,1,0,2,1,2,0,0,8,0,0,0,5,1,1,3,0,5,3,1,2,4,2,0,0,0,1,1,0,2,2,1,3,2,3,3,1746,1,3,"[London] : In the Savoy: printed for Henry Lintot (assignee of Edw. Sayer, Esq;) for T. Osborne, 1746.",London,883,male,1664,1736,FALSE,"may be without a Covenant or Bond for Payment of the Money . 27 1 One agrees for a valuable Consideration to convey Lands to J. S. and afterwards makes a Mortgage for a valuable Consideration, and without Notice; the Mortgagee shall hold his Mortgage against the intended Purchaser; fe"
0119600200_000022,"A supplement to The office and duty of executors: Containing Divers Matters and Things omitted or not comprized in former Impressions relating to Wills, Executors, Administrators, Devises, Legacies, &c. Collected from the Body of the Common and Statute Laws of the Kingdom, and methodically Digested: With References to the divers Acts of Parliament and Adjudged Cases, Authorising and Approving the same. By H. Curson of the Inner-Temple, Gent.","Curson, H. (Henry)",156,0,2,4,0,1,4,2,13,0,5,0,0,2,1,0,0,8,1,3,6,1,0,3,0,5,38,0,0,7,2,7,0,0,0,6,3,3,1,0,2,0,3,2,1,7,1,2,0,2,1,0,0,0,0,1,3,3,0,1703,1,1,"London : printed by the assigns of Richard and Edward Atkins, Esquires; for John Place at Furnival's Inn,, and Rich. Sare at Gray's Inn Gate in Holborn, 1703.",London,270,unknown,,,FALSE,"the Statutes of 21 Car. 2 C X Vent 6 A. devifeth his Land of Inheritance in Fee to his Executors , and their Heirs , not naming the Executors by their Names, and he makes M. and N. his Executors , though they refuse to administer or prove the"
0573500102_000857,"A compleat body of conveyancing, in theory and practice. In three volumes. ... . Contains the theory; wherein the various Ways and Methods of Acquiring, Forfeiting, Conveying, Limiting and Settling all Kinds of Estates, as well Real as Personal; and also the Nature, different Forms, Parts, Operations and Effects of all Kinds of Deeds and Common Assurances, Fines and Recoveries, are fully treated of. Volumes II. III. Contain the practice: Or Precedents of Feoffments, Grants, Bargains and Sale, Leases, Releases, Declarations and Limitations of Uses and Trusts, Marriage-Settlements, and Private Acts of Parliament, (made for Settling the most considerable Estates in Great Britain and Ireland;) Mortgages, Leases, Assignments, Deeds of Charter-Party and Copartnership, Bills, Bonds, Releases, Letters of Attorney, &c. Deeds for securing Annuities, &c. and of Bank, East-India, South-Sea Stocks, and other Publick Funds; and in general all Deeds and Instruments any Ways requisite in Mercantile, Maritime and Plantation Affairs. With Observations and Opinions of the most Eminent Conveyancers. Selected from many Thousand Manuscript Precedents. The Whole digested in a Method intirely new, avoiding all Repetitions, and containing a greater Variety of Useful Precedents than all other Books upon the same Subject now extant. By Edward Wood, Gent. deceased. The fourth edition, greatly improved in the Theory by the Addition of References to the latest Books of Authority; and in the Practical Part, by the Favour of a large Number of Original Manuscript Precedents. By able hands. ...","Wood, Edward, conveyancer",114,0,0,3,2,8,7,0,0,0,1,0,0,0,4,7,0,6,0,2,0,0,0,7,0,2,5,1,1,0,0,2,1,2,0,3,0,1,0,1,13,5,0,4,6,0,0,0,0,0,1,1,3,1,7,1,3,2,1,1777,2,3,"London : printed by his Majesty's law-printers; for J. Beecroft, W. Strahan, J. Rivington, and sons, P. Uriel, W. Owen, B. Law, T. Caslon, S. Crowder, T. Longman, W. Flexney, G. Robinson, T. Lowndes, R. Baldwin, E. Johnston, W. Stuart, W. Brown, R. Critchett, M. Hingeston, W. Fox, E. Brooks, J. Johnson, and J. Knox. M.DCC.LXXVII. [1777].",London,883,male,,,FALSE,"and Interest due on the Mortgage being -' ruptcy (by the Consent and Direcion of the more than any Purchaser would give 493 Rest of the Creditors ) of the Bankrupt's Es Of the Equity of Redemption of several Lease fe&s to one of the Creditors , who (by Agree"
0836900300_000117,"A new abridgment of cases in equity, and of such cases at law, as relate to equitable subjects; from 1735, to the present time. By Josiah Brown, Esq. Barrister At Law, And Editor Of The Cases In Parliament. Vol.I.",Josiah Brown,96,2,0,3,0,6,3,3,3,0,1,0,2,4,4,1,1,3,1,2,2,0,0,4,0,1,1,0,1,0,0,4,1,0,0,3,1,0,4,0,0,4,0,1,1,7,1,1,1,1,2,0,0,7,0,1,2,1,5,1793,1,1,"London : printed (for the author) by A. Strahan and W. Woodfall, Law-Printers To The King's Most Excellent Majesty; and sold by R. Pheney, Bookseller, Inner-Temple-Lane, Fleet-Street, 1793.",London,557,unknown,,,FALSE,"writing. I am of opinion, that this cafe is not within the statute of Frauds; it is not within the first branch of the section; for G. was not administrator at the time of making the promise; and it is no answer to say, that he was administrator afterwards. Nor"
0997300302_000080,"The attorney's vade mecum, and client's instructor, treating of actions: (such as are now most in use;) of prosecuting and defending them: of the pleadings and law. Also of Hue and Cry. The Subjects arranged in a clear and perspicuous Manner. In two volumes. ... . To the second volume is added an appendix, containing a few precedents, being Copies of Complete Records. By Joh Morgan, Of The Inner Temple, Barrister At Law.","Morgan, John",115,8,1,1,1,1,8,0,0,0,0,1,0,1,2,8,4,9,0,2,0,4,0,1,1,0,10,0,0,1,2,3,0,3,0,2,2,9,2,0,2,4,0,4,3,0,0,2,0,2,0,0,0,0,1,2,5,1,2,1787,2,2,"Dublin : printed for Messrs. Chamberlaine, Burnet, Lynch, H. Whitestone, Moore, and Jones, M.DCC.LXXXVII. [1787].",Dublin,296,male,,,FALSE,"occasion requires, afterwards plead , fully administered. As to payment of debts of an equal degree, viz. paving some wholly and leaving others entirely unpaid, it is not material though' the debt paid was not due at the death of the testator, but became due afte!ward's. So, if a luit"
0638300103_000583,"A compleat body of conveyancing, in theory and practice. In two parts. ... Collected by Edward Wood, gent. deceased. The whole digested in a method intirely new, ... by John Salthouse, ...","Wood, Edward, conveyancer",100,3,0,1,0,1,3,0,0,0,1,0,0,0,8,1,0,3,0,1,0,2,2,6,0,1,6,1,1,0,0,2,2,0,0,1,0,6,1,1,8,4,2,2,4,0,0,0,0,0,2,2,10,1,4,2,1,1,3,1749,3,3,"[London] : In the Savoy: printed by Henry Lintot, for J. Worrall, 1749.",London,660,male,,,FALSE,southeast. i. For Consideration Money in a Conveyance or Security. 356 2 The like by several Vendors. 36 3 The like where there are two Originals and two Receipts for the same Sum. 357 4 The like where there are several for the same Sum on several Deeds. 357 S
0470000200_000085,"Reports of cases in equity, argued and decreed in the Courts of Chancery and Exchequer, chiefly in the reign of King George I. To which are added, some select cases ... in the Court of Exchequer in Ireland. With two alphabetical tables; ...",Jeffrey Gilbert,109,0,0,0,1,1,4,1,5,0,3,2,0,4,1,1,2,1,0,1,5,2,0,7,0,1,0,0,1,1,0,4,1,2,1,9,3,0,2,0,3,3,0,2,6,3,1,1,2,0,0,0,2,0,3,4,0,4,9,1734,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq.) for R. Gosling, and D. Browne, 1734.",London,300,male,1674,1726,FALSE,"Recognisance, it came now before the Court upon the Master's Report of all this Matter Specially: And two Questions were made, i?, Whether this Iool. was to be subject to Taxes? dly, Whether the Arrears should carry Interest? As to the first, the Court was clear of Opinion, that this"
0931800102_000367,"Ecclesiastical law. By Richard Burn, L.L. D. Vicar of Orton, in the County of Westmorland. In two volumes. ...",Richard Burn,115,1,0,0,0,2,2,1,3,0,1,0,0,1,3,3,1,8,1,2,0,3,1,8,0,1,23,0,1,4,4,8,0,0,0,2,3,2,3,1,1,4,1,4,5,1,0,0,1,0,0,0,1,2,0,1,1,0,0,1763,2,2,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's most Excellent Majesty ; and sold by A. Millar, in the Strand, M.DCC.LXIII. [1763].",London,832,male,1709,1785,FALSE,"pay it to the executor , because it came out of the personal estate of the tefra tor, and thither it shall return. But if in the mortgage neither heir nor executor is mentioned ; then after the death of the mortgagee, the law determines it to be paid to"
0406500600_000075,"The present practice of conveyancing: or select precedents of conveyances, ... By Job Mill ...","Mill, Job",108,0,1,2,3,3,2,0,3,0,5,0,0,1,1,9,0,8,4,0,1,0,1,2,0,1,8,1,0,1,2,1,1,0,4,0,6,0,1,1,0,2,7,1,3,0,0,1,8,1,1,1,3,0,3,1,3,0,0,1745,1,1,"[London] : In the Savoy: printed by Henry Lintot (assignee of Edw. Sayer Esq;) for D. Browne, C. Bathurst, G. Hawkins, W. Sandby, and C. Ward, 1745.",London,704,unknown,,,FALSE,"refpeeive Debts , when b assigned the same ahall be colleaed and gathered in as aforesaid, to deliver to r2eabl:, up to her the said A. B. or her Executors or Adminifirators, or c. to rli to the laid Trustees for her or them, all Bonds , Bills, Notes voico.,"
0755400300_000203,"Reports of cases argued and determined in the High Court of Chancery, during the time of the late Lord Chancellor King. Collected by William Mosely, Esq; Late Barrister at Law. Published with notes, and many thousand references, and two tables; one, of the Names of the Cases; the other, of the Principal Matters.",Great Britain. Court of Chancery,108,0,0,2,0,2,3,2,0,0,2,0,0,7,2,7,1,6,0,4,0,0,2,7,1,1,2,0,1,3,1,1,0,0,0,6,1,2,0,0,7,4,1,4,1,1,1,1,0,1,1,1,3,0,1,1,0,0,14,1744,1,1,"Dublin : printed by Oli Nelson, at Milton's Head in Skinner-Row, for the administratrix of the author, MDCCXLIV. [1744].",Dublin,456,unknown,,,FALSE,"paid , 2 under Debts . 1 specificklegatees, on a Deficiency of Assets, hall not abate in Proportion with Pecuniary. 7 2 The Father, on the Marriage of his Son, covenants tolay out 6ooo. inl in apurchafe of Lands , to be fettled in ftri& Settlement, charged with 20001 for"
