PassageID,Title,Author,Total termFreq,termFreq(afterward),termFreq(area),termFreq(armi),termFreq(bilhop),termFreq(bishop),termFreq(black),termFreq(check),termFreq(colleg),termFreq(colour),termFreq(crown),termFreq(differ),termFreq(equal),termFreq(fourth),termFreq(game),termFreq(guard),termFreq(held),termFreq(judg),termFreq(king),termFreq(knave),termFreq(knight),termFreq(length),termFreq(mean),termFreq(merci),termFreq(order),termFreq(pawn),termFreq(piec),termFreq(plai),termFreq(present),termFreq(queen),termFreq(rook),termFreq(root),termFreq(rule),termFreq(squar),termFreq(street),termFreq(trade),termFreq(white),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0418300300_000019,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",242,0,0,0,0,31,6,7,0,0,0,0,0,7,8,0,0,0,34,0,28,1,1,0,2,30,1,8,2,37,13,0,2,21,0,0,3,1791,1,1,"London : printed for F. Wingrave, successor to Mr. Nourse, in the Strand, 1791.",London,151,male,1726,1795,FALSE,Knight . i7. It. The Bishop takes the Knight . B. The Bishop takes the Bishop . I &. sv. The Queen at her King's fourth Square . B. The King's Knight's Pawn one Move. 9 jif The Knight at the black King's 4th Square . B. The bijhop takes
0418300300_000015,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",298,0,0,0,0,30,7,11,0,0,0,2,0,13,11,0,0,0,57,0,24,0,0,0,2,40,3,6,0,39,20,0,2,28,0,0,3,1791,1,1,"London : printed for F. Wingrave, successor to Mr. Nourse, in the Strand, 1791.",London,151,male,1726,1795,FALSE,"King's Rook's fouirth Square (a). 9 W. The King's Rook's Pawn takes the Pawn . B. The Rook's Pawn retakes the Pawn . 1o. W. The King's Rook takes the Bishop .. The Rook takes the Rook . 11 W. The King's Biflop takes the Pawn , and giving check"
0668400500_000018,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",296,1,0,0,0,29,10,5,0,0,0,0,2,9,7,0,0,0,54,0,31,0,0,0,1,34,2,4,1,41,24,0,1,38,0,0,2,1773,1,1,"London : printed for J. Nourse, and P. Vaillant, M.DCC.LXXIII. [1773].",London,151,male,1726,1795,FALSE,at his Bishop's Square . 19 W. The Queen's Rook at its King's Knight's Square . B. The Queen's Knight at his Bishop's third Square . 20 W. The Bishop at his Queen's Knight's third Square . B. The Queen's Rook at its Qoeen's Square (b); (f) If he had
1259000400_000020,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",239,0,0,0,0,28,6,7,0,0,0,0,0,7,8,0,0,0,34,0,30,1,1,0,2,31,1,9,1,34,12,0,2,21,0,0,4,1787,1,1,"London : printed for C. Nourse, in the Strand, M.DCC.LXXXVII. [1787].",London,155,male,1726,1795,FALSE,"Knight , B. The Knight takes the Knight . i7. XW. The Bishop takes the Knight . B. The Bishop takes the Bishop . 18 [Z. The Queen at her King's fourth Square . B. The King's Knight's Pawn one Move. 19 [Y. The Knight at the black King's 4th"
0418300300_000003,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",200,2,0,0,1,29,3,2,0,0,0,0,0,4,9,0,0,0,35,0,13,0,0,0,4,42,4,5,1,25,7,0,1,13,0,0,0,1791,1,1,"London : printed for F. Wingrave, successor to Mr. Nourse, in the Strand, 1791.",London,151,male,1726,1795,FALSE,"King's Bishop at his Queen's third Square (e). B. The Queen's Pawn two Moves. 9 w. (b) When you find your Game in the present Situation, (f.vu) one of your Pawns at your King's fourth Square , and one at your Queen's fourth Square , you must pull neither of"
0668400500_000019,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",238,0,0,0,0,29,6,6,0,0,0,0,0,7,8,0,0,0,35,0,29,1,1,0,2,26,1,10,2,38,11,0,2,21,0,0,3,1773,1,1,"London : printed for J. Nourse, and P. Vaillant, M.DCC.LXXIII. [1773].",London,151,male,1726,1795,FALSE,"the same Place. But you play it now on purpose: to excite him to pull his Pawns that cover his King , that you may easier form your Attack upon it. (f) If he had not removed his q1een, in Ader to make room for his Bishop , your Knight"
0477200300_000019,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",235,0,0,0,0,32,6,6,0,0,0,0,0,8,8,0,0,0,32,0,27,1,1,0,2,29,1,9,2,35,11,0,2,21,0,0,2,1750,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.L. [1750].",London,154,male,1726,1795,FALSE,This would have put him upon his ithitts to save the Mate with which he was threatncd. ( 8) W. The Queen's Knight takes the Knight . B. The Knight takes the Knight . 17 W. The Bishop takes the Knight . B. The Bishop takes the Bishop . x8.
0668400500_000015,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",226,0,0,0,0,16,9,11,0,0,0,3,0,11,10,0,0,0,40,0,17,0,0,0,2,29,3,6,0,29,13,0,2,22,0,0,3,1773,1,1,"London : printed for J. Nourse, and P. Vaillant, M.DCC.LXXIII. [1773].",London,151,male,1726,1795,FALSE,"the black Queen's third Square . -3 thisknight, which appeared insignificant in hiissitnas tion is now the very Piece that : il wnin'the cgamt, : without Possibility to the Adversary of hindering it : Therefore one ought to take care.to.dilpofe the Pawns in such a manner, s to hinder the"
0435700600_000019,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",237,0,0,0,0,32,5,7,0,0,0,0,0,6,8,0,0,0,34,0,28,1,1,0,2,27,1,9,1,38,11,0,2,21,0,0,3,1762,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.LXII. [1762].",London,151,male,1726,1795,FALSE,"troublesome to him (s) If initead of playing his Queen . he had taken your Knight , you must have then retaken with your Queen . This would have put him upnn his Shifts to lave the Mate wtli which he was threatened. ( 86) 16 AV. The Queen's Knight"
0506400200_000039,"Hoyle's games improved. Being practical treatises on the following fashionable games, viz. whist, quadrille, piquet, chess, back-gammon, billiards, cricket, tennis, quinze, hazard and lansquenet. In which are also contained, the method of betting at those games upon equal, or advantageous Terms. Including the laws of the several games, as settled and agreed to at White's and Stapleton's Chocolate-Houses. Revised and corrected by Charles Jones, Esq;",Edmond Hoyle,136,1,0,0,0,4,6,7,0,0,0,0,0,5,9,0,0,0,26,0,4,1,1,0,1,14,10,5,0,7,5,0,1,22,0,0,7,1775,1,1,"London : printed for J. Rivington and J. Wilki St. Paul's Church-Yard; S. Crowder and R. Baldwin, Pater-Noster-Row; T. Caslon and B. Law, Stationers-Court; T. Lowndes, Fleet-Street; F. Newbery, Ludgate-Street; W. Donville, Royal-Exchange; T. Becket, in the Strand; T. Davies, Covent-Garden; W. Davis, Piccadilly; and J. Ridley, St. James's-Street, [1775].",London,239,male,1672,1769,FALSE,"next; and to call the: highest of them, in cafe.you design to reckon themn · XXV You are to call a uaqtorze pyefrable to three Aces, c. if you design to reckon them. XXVI If you call a Tfierce, having agnart in your Hand, you must abide by your stilt"
0797400101_001459,"An universal history of arts and sciences: ... The whole extracted from the best authors in all languages, ... By ... Dennis De Coetlogon, ...","De Coetlogon, Dennis",288,0,0,0,0,21,15,17,0,0,0,0,0,0,14,1,0,0,74,0,17,0,0,0,1,46,6,6,1,14,15,0,3,24,0,0,13,1745,1,2,"London : printed and sold by John Hart, 1745.",London,1280,unknown,,,FALSE,"15 He who castles first, the other must advance his three Pawns on the Side of his Adversary's King , and back them with some Pieces , in order to force him that Way, provided his own King or Pieces are not in Danger in other Places. 1 6 When"
1741400104_000758,"Encyclopædia Britannica; or, a dictionary of arts, sciences, and miscellaneous literature; ... The third edition, in eighteen volumes, greatly improved. Illustrated with five hundred and forty-two copperplates. ...",,93,1,0,0,0,5,3,3,0,4,1,4,0,2,10,2,0,0,13,0,5,0,0,0,1,8,15,1,0,6,4,0,1,1,0,0,3,1797,4,20,"Edinburgh : printed for A. Bell and C. Macfarquhar, 1797.",Edinburgh,792,unknown,,,FALSE,"the earls Iheld parliaments, conhifting of their barons and tenants, which were not bound by the nas of the English piari liament: hut this exorbitant power of thc palatinates was at last seduced by Henry vhii.; however, all cafes and cimes, except those of error, foreign plea, foreign voacher, and"
0418300300_000009,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",279,2,0,0,0,33,6,6,0,0,0,1,0,11,5,0,0,0,43,0,31,0,0,0,2,43,2,4,1,39,21,0,0,26,0,0,3,1791,1,1,"London : printed for F. Wingrave, successor to Mr. Nourse, in the Strand, 1791.",London,151,male,1726,1795,FALSE,"Merable Advantage by it to win the Game . It is true, that his Queen's Pawn (now become his King's ) appears to have the same Advantage of having no Opposition from your Pawns to make a Queen ; however, the Difference u great, because his Pawn being entirely separated"
1259000400_000019,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",267,0,0,0,0,28,8,3,0,0,0,0,2,8,8,0,0,0,45,0,29,0,0,0,2,34,2,5,1,37,18,0,1,33,0,0,3,1787,1,1,"London : printed for C. Nourse, in the Strand, M.DCC.LXXXVII. [1787].",London,155,male,1726,1795,FALSE,"Knight's second Square . B. The King's Knight at his Biflop's Square . 23 ?W. The Knight at the blackqleen'sfourth Square , and muff very visibly win the Party. FOURTH BACK game , Beginning at the eleventh Move. 11 White . T H E Queen takes the Bishop . Black"
0418300300_000020,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",287,3,0,0,0,18,10,7,0,0,0,0,1,8,7,0,0,0,51,0,30,0,0,0,0,37,1,6,1,46,20,0,0,36,0,0,5,1791,1,1,"London : printed for F. Wingrave, successor to Mr. Nourse, in the Strand, 1791.",London,151,male,1726,1795,FALSE,B. The Queen's Knight at the white Queen's Bishop's fourth Square . 6 IV The Knight takes the Knight . B. The Pawn retakes the Knight . 17 TV. The King's Knight's Pawn one Move. B. The Knight at his Queen's second Square . 18 TV. The King's Rook's Pawn
0668400500_000009,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",259,2,0,0,0,26,6,5,0,0,0,1,0,10,5,0,0,0,40,0,29,0,0,0,2,39,2,3,2,40,19,0,0,25,0,0,3,1773,1,1,"London : printed for J. Nourse, and P. Vaillant, M.DCC.LXXIII. [1773].",London,151,male,1726,1795,FALSE,"other considerable Advantage by it to win'the Game . It is true, that his Queen's Pawn (now become his King's ) appears to lave the famie' Advantage of having no Opposition from Iyur Pawns to rhake a Queen ; however, the Difference is great, because his Pawn being entirely separated"
0668400500_000020,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",292,3,0,0,0,19,8,6,0,0,0,0,1,7,5,0,0,0,51,0,31,0,0,0,0,41,1,6,1,48,22,0,0,35,0,0,7,1773,1,1,"London : printed for J. Nourse, and P. Vaillant, M.DCC.LXXIII. [1773].",London,151,male,1726,1795,FALSE,"because your being now Mailer of the middle Parts the Chessboard, you may place your Pawns as you please. If the Centre is well fuflain'd, the Battle is half won.. (d) Playing this Knight , you leave one of your Pawns exposed to his Knight ,, without an apparent Necessity"
1259000400_000021,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",291,2,0,0,0,15,10,7,0,0,0,0,1,8,7,0,0,0,54,0,31,0,0,0,0,37,1,4,1,48,21,0,0,36,0,0,8,1787,1,1,"London : printed for C. Nourse, in the Strand, M.DCC.LXXXVII. [1787].",London,155,male,1726,1795,FALSE,(e). B. The Queen's Knight at the white Queen's Bishop's fourth Square . 6 W. The Knight takes the Knight . B. The Pawn retakes the Knight . i7. W. King's Knight's Pawn one Move. B. The Knight at his Queen's second Square . 18 W. The King's Rook's Pawn
0418300300_000016,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",315,3,0,0,0,26,7,7,0,0,0,0,0,8,8,0,0,0,52,0,40,0,0,0,1,38,3,6,0,52,23,0,0,36,0,0,5,1791,1,1,"London : printed for F. Wingrave, successor to Mr. Nourse, in the Strand, 1791.",London,151,male,1726,1795,FALSE,"his third Square . 23 W. The Knight at the black King's biwhop's third Square . B. The Queen's Rook at its Queen's Square (h). (g) If you had taken his Knight with your Bishop , it would have been ill played , because he would have retaken it with"
0477200300_000005,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",239,0,0,1,0,20,3,8,0,0,0,0,0,9,14,0,0,0,41,0,23,0,1,0,2,39,2,2,0,26,17,0,1,26,0,0,4,1750,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.L. [1750].",London,154,male,1726,1795,FALSE,(Qlecn's fourth Square . 29 tv The Queen takes the Queen . B. The Pawn talkes the Queen . 30 if. The King's Pawn one Move. B. The Knight at his Queen's third Square . 3i. W. The Knight at his King's fourth Square . B. The Knight at his
0668400500_000016,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",304,3,0,0,0,18,8,7,0,0,0,0,0,10,8,0,0,0,52,0,40,0,0,0,1,38,4,5,0,45,22,0,0,39,0,0,4,1773,1,1,"London : printed for J. Nourse, and P. Vaillant, M.DCC.LXXIII. [1773].",London,151,male,1726,1795,FALSE,"you as any of your belt Pieces . Thiswillbe seen bythesequelof this Party, -6 W. 67.) 16 ti. The Knight at his Queen'sifecond Square . B. The King at his second Square . 17 W. The King's Rook at its King's Bishop's Square . B. The Queen's Bishop's Pawn one"
0435700600_000020,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",287,3,0,0,0,16,9,7,0,0,0,0,1,8,5,0,0,0,51,0,33,0,0,0,0,41,1,5,1,45,21,0,0,35,0,0,5,1762,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.LXII. [1762].",London,151,male,1726,1795,FALSE,"your Pawns ex pnfed to his Knight , without an apparent Necessity for irt But you must oblerye, that the Knight's or Rook's Pawns when separated from the Centre, are of but little Confe. quenge; therefore you find here your Account better in jrur. suing your Attack without mindipg thole"
0477200300_000009,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",259,2,0,0,0,31,6,6,0,0,0,1,0,10,4,0,0,0,39,0,25,0,0,0,3,39,1,4,1,37,23,0,0,23,0,0,4,1750,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.L. [1750].",London,154,male,1726,1795,FALSE,"to bo: : cr upon his King's Rook's Pawn ; therefore it is hell to Sail your King's Pawn upon his Rook , a; id sacrifice it; because then your Adversary (by taking it, as he cannot well do o: hervife) openeth a free Passage to your Queen's Pawn ,"
0588300300_000010,"An epitome of Hoyle, with Beaufort and Jones's Hoyle improved; or, practical treatises on the following games. Hazard, backgammon, tennis, Billiards, Cricket, Chess, Draughts, Whist, Quadrille, Piquet, Lansquenet, and Quinze. With an Account of the present fashionable Game called E-O, played at most of the polite Chocolate Houses, never before attempted in Print. Comprising the Laws and Rules of the several Games, as settled at White's, Stapleton's, &c. &c. Also the most advantageous Method of Betting at those Games, and the erroneous Odds introduced in former Productions of a similar kind, rectified. By a member of the Jockey Club.",Edmond Hoyle,134,1,0,0,0,5,5,4,0,0,0,0,0,4,9,0,0,0,23,0,4,1,0,0,1,17,12,7,1,9,6,0,1,19,0,0,5,1791,1,1,"Dublin : printed by R. M. Butler, Bookseller, No. 31, Grafton-Street, M.DCC.XCI. [1791].",Dublin,93,male,1672,1769,FALSE,"of Cberf. T H E game of Chess is played upon a common French draught board, containing fixty four squares . The king and his officers, consisting of eight pieces , are. paced upon the first line of the board, the . white corner being placed towards the right hand."
0435700600_000009,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",276,2,0,0,0,34,6,5,0,0,0,0,0,10,5,0,0,0,38,0,30,0,0,0,3,44,2,4,2,42,22,0,0,23,0,0,4,1762,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.LXII. [1762].",London,151,male,1726,1795,FALSE,"Pawn , which you are to advance immediately, and sustain in cafe of need with your other Pawns , in order to make a Queen with it, or draw some other considerable A; dantage by it to win r!: e Game . It is true, that his Q: : een's"
0477200300_000020,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",276,2,0,0,0,16,8,6,0,0,0,0,1,9,6,0,0,0,48,0,31,0,0,0,0,38,1,6,1,42,20,0,0,35,0,0,6,1750,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.L. [1750].",London,154,male,1726,1795,FALSE,"Account better in pursuing your Attack without mir.ding thoofe Pawr,. W. The King's Knight's Pawn two Steps (e). B. The Queen's  Knight at the white Qucenis Biliop's fourth Square . 16 JV. The Knight takes the Ktght. B. The Pawn retakes the Knight , 17 Wt. The King's Knight's"
0418300300_000027,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",349,1,0,0,0,33,5,8,0,0,0,0,0,10,4,0,0,0,50,0,44,0,1,0,1,49,2,3,1,53,35,0,0,43,0,0,6,1791,1,1,"London : printed for F. Wingrave, successor to Mr. Nourse, in the Strand, 1791.",London,151,male,1726,1795,FALSE,"at his King's second Square . 14 tv. The Qteen's Knight at his Bishop's third Square . B. The King's Knight at his Queen's fourth Square C 15 W. The Knight takes the Knight . B. The Pawn retakes the Knight . (b) By pushing this Pawn two Steps, his"
0090701000_000045,"Analysis of the game of chess; a new edition, greatly enlarged. By A. D. Philidor.","Philidor, Francois Danican",199,2,0,0,0,16,2,0,0,2,0,0,0,11,21,0,0,0,36,0,13,1,0,0,0,24,8,6,0,11,13,0,2,28,0,0,3,1777,1,1,"London : printed for P. Elmsley, in the Strand, MDCCLXXVII. [1777].",London,316,male,1726,1795,FALSE,"W. The king , at the adverse king's second : square . 1b. The king , at his knight's square . 13 W. The king , at the adverse king's bishop's third square . B. The king , at his rook's second square . 14 W. The king , at"
0435700600_000018,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",276,0,0,0,0,28,11,4,0,0,0,0,2,8,8,0,0,0,50,0,28,0,0,0,2,34,2,4,1,36,22,0,1,34,0,0,1,1762,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.LXII. [1762].",London,151,male,1726,1795,FALSE,given him check with your Queen's Rook to take his Rook . ( 78) 21 W. The King's Rook gives check at the black King's Bishop's second Square . B. The King at his Home. 22 iw. The Queen's Rook at the black King's Knight's second Square . B. The
0435700600_000005,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",247,0,0,1,0,23,2,9,0,0,0,0,0,8,13,0,0,0,44,0,24,0,1,0,2,42,2,2,0,29,16,0,1,24,0,0,4,1762,1,1,"London : printed for J. Nourse, and P. Vaillant, in the Strand, M.DCC.LXII. [1762].",London,151,male,1726,1795,FALSE,"King's Knight's Pawn one Move B. The Qjeen at the white Queen's fourth Squarea i9. W. The Queen takes the Queen . B. The Pawn takes the Qteen, 3s. i'. The King's paiw one Move. B. The Knight at his queen third Square . 3 W. The Knight at his"
1259000400_000028,Chess analysed: or instructions by which a perfect knowledge of this noble game may in a short time be acquir'd. By A. D. Philidor.,"Philidor, Francois Danican",332,1,0,0,0,22,4,7,0,0,0,0,0,10,4,0,0,0,48,0,42,0,1,0,1,50,2,3,1,52,35,0,0,41,0,0,8,1787,1,1,"London : printed for C. Nourse, in the Strand, M.DCC.LXXXVII. [1787].",London,155,male,1726,1795,FALSE,"fourth Square C 15 W. The Knight takes the Knight . B. The Pawn retakes the Knight . (b) By pulling this Pawn two Steps, his Scheme is to force you to push forwards your King's Pawn , in order to make your Queen's Pawn , now at the Head,"
