PassageID,Title,Author,Total termFreq,termFreq(add),termFreq(answer),termFreq(articl),termFreq(better),termFreq(book),termFreq(clock),termFreq(commit),termFreq(copi),termFreq(deliv),termFreq(follow),termFreq(form),termFreq(hand),termFreq(hear),termFreq(heard),termFreq(know),termFreq(land),termFreq(late),termFreq(learn),termFreq(leav),termFreq(letter),termFreq(line),termFreq(littl),termFreq(love),termFreq(mean),termFreq(morn),termFreq(morrow),termFreq(note),termFreq(oath),termFreq(observ),termFreq(page),termFreq(peopl),termFreq(person),termFreq(read),termFreq(refer),termFreq(scriptur),termFreq(sens),termFreq(servic),termFreq(text),termFreq(think),termFreq(true),termFreq(vers),termFreq(word),termFreq(write),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0339400600_000014,"The art of reading and writing English: or, the chief principles and rules of pronouncing our mother-tongue, both in Prose and Verse; with a Variety of Instructions for True Spelling. Written at first for Private Use, and now Published for the Benefit of all Person, who desire a better Acquaintance with their Native Language. By I. Watts.",Isaac Watts,85,0,0,0,0,12,0,0,0,0,2,0,2,0,0,0,0,0,0,4,8,2,2,0,0,0,0,4,0,3,12,0,2,2,2,1,3,0,1,0,1,5,16,1,1722,1,1,"London : printed for John Clark, at the Bible and Crown in the Poultry, near Cheapside; Em. Matthews, at the Bible in Pater-Noster-Row; and Richard Ford, at the Angel in the Poultry, near Stocks-Market, M.DCC.XXII. [1722].",London,179,male,1674,1748,TRUE,"a Word , and that in the Cafes following . i. At the beginning of any Writing , Book , Chapter, Paragraph, c. 2.as 2 After a Period, or any full Stop, when a new Sentence begins. 3 At the beginning of every Line in Poetry, and every Verse in"
1479600113_000030,The Present state of the republick of letters. For ...,"La Roche, Michel de",43,1,1,1,1,2,0,0,4,0,1,4,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,3,0,1,2,0,1,3,0,1,2,0,4,2,2,2,0,1,1728,13,18,"London [England] : printed for William and John Innys, at the west end of St. Paul's MDCCXXVIII.-MDCCXXXVI. [1728-1736].",London,480,male,1710,1731,FALSE,"Ufie of sauch as have not been car efully examined by Persons of Learning : the latter allowing of only those approved in a Council. To these are added the Testimonies of St. Irgnatius, yuffin martyr, and Clemencut of a~~exandria on the same Head. It is acknorwledged that both Cuffoms,"
0445600400_000180,"Morsels of criticism, tending to illustrate some few passages in the Holy Scriptures upon philosophical principles and an enlarged view of things.","King, Edward",42,4,1,4,0,1,0,0,4,0,0,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,2,4,0,1,0,0,0,1,0,3,6,0,1788,1,1,"London : printed by J. Nichols, Red Lion Passage, Fleet Street; and sold by J. Robson and W. Clarke, New Bond Street; and G.G.J. and J. Robinson, Pater Noster Row, MDCCLXXXVIII. [1788].",London,633,male,1735,1807,FALSE,"considered it only as a trick, and kept the method of making it a secret. He adds also, that even found was reverberated and refleted by means of there mirrors; insomuch that a person whispering softly in a proper position against one, was heard most plainly by a person placed"
0270300500_000003,"The examiner examined, or the examination of the remarks upon, and Mr. Catcott's answer to, the observations upon his sermon considered. With some observations upon the Hebrew grammar.",Julius Bate,51,2,4,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,4,3,3,0,3,1,1,7,2,0,2,4,2,0,2,2,1739,1,1,"London : printed for G. Strahan, in Cornhill, MDCCXXXIX. [1739].",London,114,male,1711,1771,FALSE,"cp. 31 "" Till there is ficha Li"" "" allowed to Clergymen; till there is such a ""fecurilyfor their Reputations, Flrtunes and Persons   fear I nmuf add , tillfo difficult a Study (as that ""of the Scripture ) meets with proportionable en couragemcnt; tis impofible a sincere, impartial,"
0341500100_000014,"The art of reading and writing English: or, the chief principles and rules of pronouncing our mother-tongue. both in Prose and Verse; with a Variety of Instructions for True Spelling. Written at first for Private Use, and now Published for the Benefit of all Persons who desire a better Acquaintance with their Native Language. By I. Watts.",Isaac Watts,82,0,0,0,0,11,0,0,0,0,1,0,2,0,0,0,0,0,0,4,5,2,2,0,0,0,0,4,0,2,11,0,1,4,2,1,2,0,1,0,1,6,18,2,1734,1,1,"London : printed for Eman. Matthews, at the Bible in Pater-Noster-Row; R. Ford, at the Angel, and R. Hett, at the Bible and Crown, both in the Poultrey, near Stocks-Market, 1734.",London,167,male,1674,1748,TRUE,"Eternal Eternal, the Almighty; and also the Son of God, tle Holy Spirit. 6 A Citation of any Author, or Saying of.any Person , which is quoted in his own Words , begins with a Capital j as,. The Fool hath said in his. Heart, There is no. God. 7"
0581600201_000001,"A new literal version of the book of Psalms: with a preface and notes. By the Rev. Stephen Street, M. A. Of Queen's College, Oxford, Rector Of Treyford In Sussex. ...","Street, Stephen",64,0,0,0,0,3,0,1,4,0,3,2,0,0,0,1,0,0,0,0,9,2,0,0,1,0,0,2,0,0,6,0,0,3,0,4,4,0,7,1,2,0,6,3,1790,1,2,"London : printed by J. Davis, for B. White and Son, Fleet-Street, M.DCC.XC. [1790].",London,366,unknown,,,FALSE,"NEW LITERAL VERSION OF THE P S A LM S. V O L I. , t ""2~~~~~~. ~ NEW LITERAL VERSION OF THE BOOK OF PSALMS: WI T H A PREFACE AND NOTES . By the Rev. STEPHEN STREET, M. A. OF QUEEN's COLLEGE, OXFORD, RECTOR OF TREYFORD IN SUSSEX."
0619800105_000049,"The works of James Hervey, M. A. Late Rector of Weston Favell, in Northamptonshire. ... . His Life-Mediations and Contemplations.",James Hervey,39,1,0,0,0,2,0,0,1,0,1,1,1,0,1,1,0,1,0,1,7,1,0,1,1,0,1,1,0,0,2,0,1,3,0,1,0,1,2,4,0,0,1,1,1797,5,7,"London : printed for F. and C. Rivington, No 62, St. Paul's Church Yard, MDCCXCVII. [1797].",London,449,male,1714,1758,TRUE,"of Attention and Pleasure. Nor can I think it any Ways inconsistent with the Office of a Physician; or any Derogation from the Dignity of his Character, to feel the Pulse of the Soul, to examine into the Symptoms of spiritual Maladies, to ask exploring Questions concerning the Habit of"
1523500800_000001,"Critical notes on some passages of scripture, Comparing them with the most ancient versions, and restoring them to their original reading, or true sense.","Mann, Nicholas           1753",59,2,0,1,2,1,0,0,2,0,1,0,0,0,0,0,2,0,3,1,0,0,2,0,2,0,0,5,0,1,1,1,0,17,1,3,2,0,5,1,2,0,1,0,1747,1,1,"London : Printed for C. Davis against Gray's Inn Gate in Holbourn, MDCCXLVII. [1747].",London,153,unknown,,,FALSE,"idt x C RI TIZCA L NOTE S ON somhe PASS AGES O F SCRIP TUR E Comparing them With the most Ancient VE arsio nsa And refforing them To their original Reading , or TRUE Sense . LONDON, Printed for C davis against greys inn Gria in H~iolboun. M1DCCXLVII."
1379100102_000708,"Calmet's dictionary of the Holy Bible: Historical, critical, geographical, and etymological: wherein are explained all the proper names in the Old and New Testament, men, women, cities, countries, rivers, mountains, &c. Also most of the significant and remarkable appellatives: with accounts of the natural productions, animals, vegetables, minerals, stones, gems, &c. the antiquities, habits, buildings, and other curiosites of the Jews. With an ample chronological table of the history of the Bible, Jewish calendar, tables of the Hebrew coins, weights and measures, reduced to our own, &c. &c. Now revised, corrected, and augmented. With an entirely newest of plates, explanatory, illustrative, and ornamental; under the direction of C. Taylor.",Antoine Augustin Calmet,66,2,1,2,0,10,0,0,11,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,4,2,4,2,2,0,0,2,2,0,6,4,3,1798,2,3,"London : Printed for Charles Taylor, No. 105, Hatton-Garden, Holborn, 1798.",London,898,male,1672,1757,FALSE,"be made in their Copies by any authority from the Jewci# governors; and the Jews, we well know , would have hardly received even a palpable truth from "" that foolish people which dwelled in Samaria "" Wherefore, when we find the copies preserved by these two people GENERALLY correspondent,"
1087500900_000020,"Sermons and essays, by Augustus Toplady, A. B. Late Vicar of Broad-Hembury, Devonshire.",Augustus Toplady,39,1,0,3,0,0,0,0,2,2,0,3,0,0,1,1,0,0,3,1,1,0,1,0,2,0,0,1,0,1,1,1,1,1,2,1,3,0,0,1,0,1,3,1,1793,1,1,"London : printed for W. Row, Great Marlborough-Street; J. Parsons, Pater-Noster-Row; J. Deighton, Holborn; Herbertt, Pall-Mall; Wilson and Co. York; Phorson, Berwick; Brown, Bristol; Penny, Exeter; Cooke, Oxford; Nicholson, Cambridge; and J. Barker, Russell-Court, Drury-Lane, 1793.",London,474,male,1740,1778,FALSE,"of words should be described, In terms, which may denote an hundred different forms ."" Confessional, p. 95, 96 3d. Edit. i. It matters very little , whether the apostolic formularies, delivered to different persons , were syllabically, and verbatim, one and the same, oi not. Their being materially, and"
0597400104_000111,"Minutes of the evidence taken at the trial of Warren Hastings Esquire, late Governor General of Bengal, at the bar of the House of Lords, in Westminster Hall, upon An Impeachment against him for High Crimes and Misdemeanors, by the Knights, Citizens, and Burgesses, in Parliament assembled, in the Name of themselves, and of all the Commons of Great Britain.",Warren Hastings,55,0,3,0,0,1,0,2,2,1,2,0,2,1,3,2,0,0,2,1,6,0,0,0,1,0,0,1,5,0,1,6,1,7,1,0,0,2,0,0,2,0,0,0,1788,4,11,"[London] : [s.n.], MDCCLXXXVIII. [1788].",London,421,male,1732,1818,TRUE,"Depositions that were taken on Oath before the Court of 1*knquiry, or to tiee Proceedings; for I have learned that they ifand upon ircord, and very likely are in the Poteflion of the Right Honourable Manager, which will explain the Matrer fully to the Court. I am lpecak ing upon"
0694000402_000001,"A second volume of notes and discourses: Containing I. A New List of Errors noted in the present Hebrew Copies of the Old Testament. II. Notes on several Texts of Scripture. III. Discourses on the Reality, Kinds, and Number of our Saviour's Miracles; occasion'd by Mr. Woolston's Six Discourses. The Meaning of the Word, God; and the Doctrine of Providence. The Nature of Sacrifices; particularly of the Sacrifice of Christ. The Original of Evil. The Nature of Ordination. A Review of the former Volume, particularly relating to the Passage in Bishop Pearson on the Creed, concerning the Meaning of the Word, Almighty, in the Sixth Article; and to the Nature of Anger. By Joseph Hallett jun.","Hallet, Joseph",64,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,8,0,2,2,1,2,7,3,2,3,1,10,0,1,1,8,0,1732,2,2,"London : printed for J. Noon, at the White Hart in Cheap-Side, near Mercers-Chapel, M.DCC.XXXII. [1732].",London,375,male,1692,1744,FALSE,"7 . ...I, 22ii A SECOND VOLUME 0 F F? NO TES AND DISCOURSES: CONTAI N I I G I. A New Lilt of Errors noted in t; : present Hebrew Copiet of the Old Tefiamnet. II Notes on several Texts of Scripture . III Discourses on the Reality, Kinds,"
1744000200_000018,"The New Testament of Jesus Christ; with arguments of books and chapters: with annotations and other helps, ... faithfully translated into English, ... by the English College then resident in Rhemes.",,48,0,0,1,0,4,0,0,1,1,1,0,2,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,1,2,2,8,1,0,6,0,0,5,5,1,1738,1,1,"[London?] : Printed in the year, 1738.",London,701,unknown,,,FALSE,"taking away, it.perverteth the same to serve their · purpose: and if it receive any, it doth not receive them wholly: and if after a sort Sit receive them wholly, nevertheless by devising diverse Expositions, it turneth them  quite another way, c.' 4 Yet. do they boafi themselves of"
1278700200_000006,"Scripture and tradition considered: in a sermon on Ephes. ii. 20. preached at Salters-Hall, February 6, 1734-5. With enlargements. By Samuel Wright, D.D.",Samuel Wright,59,1,2,1,1,3,0,0,0,1,0,0,2,1,0,3,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,3,1,7,2,16,1,0,2,1,0,0,2,4,1735,1,1,"London : printed for R. Hett, at the Bible and Crown, in the Poultry, MDCCXXXV. [1735].",London,55,male,1683,1746,FALSE,"Jfrip ture, and the pretendedly infallible decisions of the Roman church. Most agreeable was this advice to the Oration of confzantine, the first Christian Emperor, when he would havefixed a rule for the council of Nice to keep to; (and no other rule should ever be allowed by the civil"
0704000102_000699,"Calmet's great dictionary of the Holy Bible: historical, critical, geographical, and etymological: Wherein are Explained, all the proper names in the Old and New Testament, of men, women, Cities, Countries, Rivers, Mountains, &c. Also Most of the significant and remarkable appellatives: with accounts of the Natural Productions, Animals, Vegetables, Minerals, Stones, Gems, &c. The Antiquities, Habits, Buildings, and Other Curiosities of the Jews. with an ample chronological table of the History of the Rible, Jewish Calendar, Tables of the Hebrew coins, weights and measures, Reduced to our own, &c. &c. Revised, corrected, and augmented, with an entirely new set of plates, Explanatory, Illustrative, and Ornamental, under the direction of C. Taylor.",Antoine Augustin Calmet,70,3,1,2,0,10,0,0,7,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,2,2,5,2,2,0,0,2,2,0,8,9,3,1801,2,2,"London : printed for Charles Taylor, No. 105, Hatton-Garden, Holborn, 1797-1801.",London,890,male,1672,1757,FALSE,"the hands of one set of friends only, or had been preserved only by those whose unsupported testimony might have been fufpeced of undue partiality, or of improper Lias. We find the kings of 7udah attentive to the arrangement of their sacred code in after ages; David, no doubt authenticated"
0941700200_000003,"An appeal to the common sense of all Christian people, more particularly the members of the Church of England, with regard to an important point of faith and practice, imposed upon their Consciences by Church Authority: Or, A Preservative against the main Principles, on which Popery and Infidelity are founded; with a distinct reply to A letter to the common people, &c. By the Rev. Mr. Jones. By a country clergyman.","Hopkins, William",89,0,1,4,0,0,0,0,0,1,2,1,0,0,0,0,0,1,6,0,2,15,0,0,0,0,0,1,0,3,18,5,3,12,3,4,3,0,0,3,0,0,0,1,1775,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, 1775.",London,310,male,1706,1786,FALSE,"Refers to Jewvs, Muslims, papi/ls, and eat hens. - - 290 -- 93 ERRATA. After Page 48 the 73d immediately follows . Page 95, line the last, blot out Rev, ch. V Page i z, line 9 from the bottom, read 9z instead Of 95 Page 157, note , line"
0410500300_000059,"The life of the Right Reverend Dr. White Kennett, Late Lord Bishop of Peterborough. With several original letters Of the late Archbishop of Canterbury, Dr. Tennison, The late Earl of Sunderland, Bishop Kennett, &c. and some curious original records, never before publish'd.","Newton, William",49,2,2,0,1,0,0,0,2,3,1,0,2,1,0,2,0,2,0,2,3,0,2,1,0,0,0,0,0,0,2,0,0,3,0,1,0,2,1,4,5,0,3,2,1730,1,1,"London : printed for T. Cox under the Royal-Exchange; J. Brindley in New-Bond-Street; F. Cogan at the Inner-Temple-Gate, Fleet-Street; J. Stag in Westminster-Hall, M.DCC.XXX. [1730].",London,311,male,,,FALSE,"have likewise "" a Copy of his last Letter , directed to the "" Right Worshipful, and my much Honou "" red Friend Dr. Sheldon, at Durham houfe, ""dated from Sept. 21, 1635, and "" subscribed, Your most Loving and TRUE Ser"" "" WILLIAM CHILLINGWORTH. --. "" delivering his Reasons"
0833201200_000012,"A short account of theological lectures now reading at Cambridge. To which is added, a new harmony of the gospels. By the Reverend John Jebb, M.A. Late Fellow Of St. Peter's College.","Jebb, John",47,1,0,0,0,3,0,0,0,0,1,0,3,0,0,1,0,1,1,0,0,3,2,0,2,0,0,3,0,4,3,0,0,2,3,5,2,0,1,1,0,1,4,0,1772,1,1,"Cambridge : printed by J. Archdeacon Printer to the University; for T. & J. Merrill, Booksellers, in Cambridge; and sold by B. White, J. Dodsley, J. Wilkie, T. Cadell, G. Pearch, Richardson & Co. and S. Bladon, London; and D. Prince, and J. Fletcher, Oxford, M.DCC.LXXII. [1772].",Cambridge,61,male,1736,1786,FALSE,"recommended to the attention and observance of his di1ciples. HE preceding remarks and delineation may suffice for an account of the Method observed by the Author, in his leetures. It will not be improper to add some hints for the benefit of those, who may approve the Plan and the"
1479600115_000005,The Present state of the republick of letters. For ...,"La Roche, Michel de",32,2,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,2,0,1,3,0,2,1,1,2,0,1,1,1,1,1728,15,18,"London [England] : printed for William and John Innys, at the west end of St. Paul's MDCCXXVIII.-MDCCXXXVI. [1728-1736].",London,480,male,1710,1731,FALSE,"Part of an Inch, or less whca cs it will be fearcce possible to mea thlrc their TRUE Lengths other ways, without being L iable to a greater Error than that. Besides, by taking notice how much a Clock gains or 10fres upon the Aliling or rising of a Thermometer,"
1756100103_000103,"The works of Francis Bacon, Baron of Verulam, ... In five volumes. ...",Francis Bacon,38,0,0,1,0,4,0,1,0,0,1,1,2,1,0,1,0,1,2,1,0,0,0,0,1,0,0,1,0,1,0,2,1,3,1,1,2,2,1,1,1,1,3,0,1778,3,5,"London : printed for J. Rivington and Sons; L. Davis; T. Payne; B. White; T. Davies; [and 6 others in London], 1778.",London,759,male,1561,1626,TRUE,"affoiling, to which they had been so long accustomed. For confirmation, to my understanding, the frate of the quefion is, whether it be not a matter mistaken and altered by time; and whether that be not now made a subsequent to baptism, which was indeed an inducement to the communion."
0771100400_000155,"Political, Miscellaneous, and Philosophical Pieces; Arranged under the following heads, and distinguished by initial letters in each leaf: G.P. General politics; A.B.T. American politics before the troubles; (A. D. T.) American Politics during the Troubles; (P. P.) Provincial or Colony Politics; and (M. P.) Miscellaneous and Philosophical Pieces; Written by Benj. Franklin, LL.D. and F.R.S. Member of the Royal Academy of Sciences at Paris, of the Royal Society at Gottingen, and of the Batavian Society in Holland; President of the Philosophical Society at Philadelphia;-Late Agent in England for several of the American Colonies; and at present chosen in America as Deputy to the General Congress for the State of Pensylvania; President of the Convention of the said State, and Minister Plenipotentiary at the Court of Paris for the United States of America: Now first collected, with explanatory plates, notes and an index to the whole.",Benjamin Franklin,137,2,0,0,0,0,0,0,1,1,4,0,0,0,1,0,1,0,1,0,2,50,1,0,0,0,1,9,0,1,7,1,0,48,1,0,0,0,0,0,0,1,3,1,1779,1,1,"London : printed for J. Johnson, No 72, St. Paul's Church-Yard, MDCCLXXIX. [1779].",London,590,male,1706,1790,TRUE,"Cotllitution."" * o 4 P72z thqk,. page * 7;. The copy of the Chapter agaifift persecution is in several re fpeas imperfect. In particular the division P.s. yerfes is not observed , and the following part omitted, beginning from the 12th verse . ¢ (za) And Abraham said, let not"
0884600200_000158,A concise history of the origin and progress of printing; with practical instructions to the trade in general. Compiled from those who have wrote on this curious art.,"Luckombe, Philip",82,0,2,0,2,0,0,0,20,0,3,1,2,0,0,0,0,0,1,3,8,6,0,0,1,0,0,6,0,1,9,0,0,1,2,0,0,0,3,0,0,0,1,10,1770,1,1,"London : printed and sold by W. Adlard and J. Browne, in Fleet-Street, MDCCLXX. [1770].",London,535,male,,,FALSE,"p.!ge is to be marked off; 8 which though it is very tedious, is nevertheless the safest way; because if we fall into a mistake in one page , we may recover ourselves in the next: which cannot so easily be done by those who count the Copy off from"
1048001700_000027,"Propagation of the Gospel in the east: being a collection of letters from the Protestant missionaries, and other worthy persons in the East-Indies, &c. relating to the mission; the means of promoting it; and the Success it hath pleased God to give to the Endeavours used hitherto, for Propagating True Christianity among the Heathen in those Parts, but chiefly on the coast of Coromandel. With a map of the East-Indies Part III. Published by the Direction of the Society for Promoting Christian Knowledge.",Heinrich Plütschau,56,0,2,2,0,5,2,0,0,0,0,0,1,2,2,1,0,0,9,3,4,0,0,0,2,2,0,0,0,0,0,1,0,6,0,1,0,0,1,0,0,1,3,6,1718,1,1,"London : printed and sold by J. Downing, in Bartholomew-Close near West-Smithfield, 1718.",London,259,male,1676,1747,FALSE,"ourselves obliged to acquaint you particularly, with The Methods of infiruetion ns'd in our Schools. And to the End that they, who here in the Indies, and elsewhere, take Delight in the Works of the Lord, might know what that Method is, we have thought fit to write this Letter"
