PassageID,Title,Author,Total termFreq,termFreq(author),termFreq(axiom),termFreq(book),termFreq(breviti),termFreq(celebr),termFreq(comprehens),termFreq(contain),termFreq(contract),termFreq(curios),termFreq(digest),termFreq(discern),termFreq(discov),termFreq(discoveri),termFreq(doctrin),termFreq(establish),termFreq(fact),termFreq(fame),termFreq(few),termFreq(foundat),termFreq(gener),termFreq(geniu),termFreq(grandeur),termFreq(human),termFreq(idea),termFreq(infinit),termFreq(intellig),termFreq(judgment),termFreq(know),termFreq(knowledg),termFreq(law),termFreq(learn),termFreq(littl),termFreq(magnific),termFreq(mankind),termFreq(maxim),termFreq(multitud),termFreq(natur),termFreq(notion),termFreq(number),termFreq(opinion),termFreq(order),termFreq(perceiv),termFreq(philosophi),termFreq(precept),termFreq(principl),termFreq(read),termFreq(reason),termFreq(receiv),termFreq(reduc),termFreq(refin),termFreq(sentenc),termFreq(set),termFreq(short),termFreq(simpl),termFreq(small),termFreq(specul),termFreq(studi),termFreq(subject),termFreq(sublim),termFreq(suprem),termFreq(system),termFreq(tenet),termFreq(theorem),termFreq(truth),termFreq(univers),termFreq(varieti),termFreq(variou),termFreq(view),termFreq(volum),termFreq(wonder),termFreq(word),termFreq(work),termFreq(world),termFreq(writer),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1776900200_000002,"Etymologicon magnum, or universal etymological dictionary, on a new plan. With illustrations drawn from various languages: ... Part the first.",Walter Whiter,78,1,0,0,0,0,0,0,0,1,0,0,3,3,3,2,3,0,1,0,1,0,0,0,3,1,0,0,1,0,5,2,0,0,0,0,0,2,0,0,0,0,1,0,0,9,0,2,2,0,0,0,0,1,4,0,0,1,6,0,0,4,0,1,1,3,0,2,0,0,2,4,1,0,2,1800,1,1,"Cambridge : printed by Francis Hodson, for the author; and sold by J. Deighton: sold also by G. G. and J. Robinson, T. Payne, W. H. Lunn, London; and J. Cooke, Oxford, 1800.",Cambridge,582,male,1758,1832,FALSE,"important discussion. I now finally commit this work to the candour and curiosity of the Public. I have laboured with infinite solicitude, that it may be at last presented to their attention with all the advantages, which care and diligence could confer. I expect and I desire a free and"
0508700102_000056,"Elements of the philosophy of the human mind. By Dugald Stewart, ...",Dugald Stewart,54,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,1,0,0,0,2,0,0,0,1,0,2,1,0,0,3,0,2,0,0,1,0,0,2,0,9,0,7,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,1814,2,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh, 1792-1827.",London,564,male,1753,1828,FALSE,"prove the general theorem , on the supposition that the directions of the forces meet in a point, the same conclusion is extended to the simple case in which these directions are parallel, by the jiction (for it deserves no other name) of conceiving parallel lines to meet at an"
0164300200_000065,"Elements of civil knowledge. By Henry Redhead Yorke, Esq.",Henry Redhead Yorke,56,2,1,4,0,1,0,0,0,1,0,0,0,2,1,1,0,0,1,1,1,2,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,2,1,5,0,0,0,0,0,1,0,0,0,2,2,2,0,2,0,1,0,2,0,1,0,0,1,1,1,2,0,1800,1,1,"Dorchester : printed for the author by T. Lockett, 1800.",Dorchester,349,male,1772,1813,FALSE,"upon the propo si: ion whence they are deduced, almost as soon a: propos d. Thus Euclid having demonstrated. that in e; C y righj i; ned triangle, all te three an £. r te k; i: s: .' r a: e' c.eal It two ti' rist angles; 299 adds"
0970300202_000029,"Twelve sermons preached upon several occasions. By Robert South, D.D. The second volume.",Robert South,66,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,0,2,0,0,3,0,2,0,0,0,0,4,0,2,0,0,2,0,2,1,1,0,0,0,1,1,3,1,3,1,1,0,2,0,2,0,0,2,0,0,0,1,0,0,0,2,1,0,0,0,3,0,7,2,3,0,1718,2,2,"London : printed for Jonah Bowyer, at the Rose in Ludgate-Street, 1718.",London,499,male,1634,1716,TRUE,"creative Power, as a Power infinitely above all Control, or possibility of finding the least Obstacle or Delay, in achieving its mighticff and mo 1 fupendious Works . Heaven, and Earth, and all the Holt of both (as it were) dropped from his Mouth; and Nature itself was but the"
0508700102_000014,"Elements of the philosophy of the human mind. By Dugald Stewart, ...",Dugald Stewart,75,1,8,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,2,0,0,1,3,0,0,0,0,4,1,0,1,0,0,1,0,5,0,0,1,0,0,3,0,6,0,9,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,1,6,0,0,0,2,0,0,4,1,0,1,1814,2,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh, 1792-1827.",London,564,male,1753,1828,FALSE,"David Gregory. Oxon. 1713 definitions of these curves? A similar observation may be extended to all the other theorems which the mathematician demonstrates: And it is this observation (which; obvious as it may seem, does not appear to have occurred, in all its force, either to Locke, to Reid, or"
1172900200_000005,"The travels of Cyrus. To which is annexed, A discourse upon the theology and mythology of the pagans. By the Chevalier Ramsay.",Andrew Michael Ramsay,86,9,0,2,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,0,0,1,3,1,2,0,2,4,3,1,1,0,1,0,0,8,0,1,2,2,0,3,0,3,0,8,0,0,1,0,2,0,0,0,1,0,1,1,0,1,0,0,3,1,0,0,1,1,0,3,4,1,1,1763,1,1,"London : printed by James Bettenham: and sold by L. Hawes, W. Clarke, and R. Collins, in Pater-Noster Row, M.DCC.LXIII. [1763].",London,385,male,1686,1743,TRUE,"reason all the objections drawn from reason . Daniel could not adt this part: It would not have become him to solve difficulties by uncertain conjectures; the Philosopher might prepare the Prince, by bare hypotheses, to submit and to distrust his undersfanding: But it was necessary that the Prophet should"
0548700100_000017,"An introduction to astronomy. In a series of letters, from a preceptor to his pupil. In which the most useful and interesting Parts of the Science are clearly and familiarly explained. Illustrated with copper-plates. By John Bonnycastle, Of the Royal Military Academy, Woolwich. The Second Edition, Corrected and Improved.",John Bonnycastle,63,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,2,2,0,1,1,0,0,0,0,5,1,1,1,0,1,0,0,7,3,0,1,2,0,2,0,2,0,1,0,0,2,0,1,0,2,0,0,0,1,1,2,4,0,0,2,3,0,0,1,0,0,0,1,2,0,1787,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, MDCCLXXXVII. [1787].",London,481,male,1751,1821,FALSE,"V OF THE svstem OF DES CARTS. H E active mind of man is naturally fond of investigation; and from contemplating effects, we are insensibly led to inquire into the causes which produced them. After having discovered the vast extent of the creation, and the order , regularity, and harmony"
0804900301_000014,"Lectures on natural and experimental philosophy, considered in its present state of improvement. Describing in a Familiar and Easy Manner The Principal Phenomena of Nature; and Shewing that they all Co-Operate in Displaying the Goodness, Wisdom, and Power of God. By the Late George Adams, Mathematical Instrument Maker to his Majesty, &c. In five volumes, the fifth volume consisting of the plates and index. The second edition, with considerable corrections and additions, by William Jones, Mathematical Instrument Maker. ...",George Adams,94,1,3,0,0,0,0,0,0,0,0,0,2,3,0,1,4,0,1,0,9,1,0,2,1,2,0,0,2,3,8,2,1,0,0,0,0,17,0,0,0,1,0,5,0,4,0,3,0,2,0,0,0,0,1,0,0,0,2,0,0,1,0,0,3,1,1,0,1,0,0,0,4,2,0,1799,1,5,"London : printed by J. Dillon, and Co. for, and sold by, W. and S. Jones, opticians, Holborn, [1799].",London,621,male,1750,1795,FALSE,"solidity, without numerous experiments, and many observations on the same individual subject , and then on different subjects of the same species: their probability is greater as the observations on which they are founded are more numerous, and accurately performed: all exceptions being then made, a sound and serviceable portion"
0588000101_000048,"Athenian letters: or, the epistolary correspondence of an agent of the King of Persia, residing at Athens during the Peloponnesian war. A new edition; to which is prefixed a geographical index. In two volumes. Illustrated with engravings, and a map of antient Greece. ...","Hardicke, Philip Yorke, Earl of",55,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,2,1,0,0,2,0,1,2,0,0,0,0,7,1,1,1,2,1,3,1,1,0,0,1,0,0,1,1,0,1,3,1,2,0,0,1,2,1,0,2,2,0,1,0,0,1,0,0,2,0,1798,1,2,"London : printed for T. Cadell Jun. and W. Davies in the Strand., 1798.",London,522,male,1720,1790,FALSE,"their long stay in iegypt, received no small tincture of the manners of their instructors. The Greek philosophy is : at present divided into two prinlcipal sleds, the Ionic, which was founded by Ti AI.: ES the Milelian, and the Italic, which owes its rise to IPYTHA\GORAS. TIIALES was born"
0819800201_000023,"The chart and scale of truth, by which to find the cause of error. Lectures read before the University of Oxford, at the lecture founded by the Rev. John Bampton, M.A. By Edward Tatham, D. D. ...",Edward Tatham,71,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,1,2,0,0,0,0,2,0,2,2,0,0,0,0,1,1,0,2,0,0,0,0,2,1,16,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,3,3,2,0,1,2,1,2,1,1,0,0,1790,1,2,"Oxford : sold by J. Fletcher, D. Prince and J. Cooke: J. F. and C. Rivington, St. Paul's Church Yard, by T. Cadell, in the Srand, and Richardson, Royal Exchange, London, MDCCXC. [1790].",Oxford,385,male,1749,1834,FALSE,"Niullo : uod Thus to Axioms he adds another class of Propositions called Demonfirations, which, though less general , are of equal force, and which he applies, in the same way and by the same process, to the proof of relations which lie more distant and concealed. And, as it"
0800900201_000126,"Historia litteraria: or, an exact and early account of the most valuable books published in the several parts of Europe. ... . With a compleat alphabetical index.",,86,13,1,14,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,1,4,0,0,1,1,2,1,0,1,2,0,2,1,0,0,0,0,6,0,11,0,1,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,1,0,0,1,0,1,0,1,0,1,0,2,1731,1,4,"London : printed for N. Prevost, over-against Southampton-Street in the Strand; and E. Symon, in Cornhill, M.DCC.XXXI. [1731] [i.e. 1731-34].",London,564,unknown,,,FALSE,"of its tfheory and practice. S uc H a complete and rational System of Arithmetic, adapted to the Purposes both of prai ical and j/cculzilive Persons, our Author profeofes this Work to be: But the best way to judge of the Performance, is to look into the Contents of the"
0548700100_000025,"An introduction to astronomy. In a series of letters, from a preceptor to his pupil. In which the most useful and interesting Parts of the Science are clearly and familiarly explained. Illustrated with copper-plates. By John Bonnycastle, Of the Royal Military Academy, Woolwich. The Second Edition, Corrected and Improved.",John Bonnycastle,67,2,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,1,2,0,4,4,0,2,2,0,2,0,0,3,1,0,3,1,1,0,1,5,0,1,0,3,1,2,0,2,0,2,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,3,1,0,1787,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, MDCCLXXXVII. [1787].",London,481,male,1751,1821,FALSE,"a house at Florence, and, after paying a tribute of gratitude to the French monarch, ereted a magnificent monument to his beloved master Galileo. H 4 LET LETTER VII OF THE NEWTONIAN SYSTEM , AND DISCOVERIES . IN all ages of the world , mankind in general have been nearly"
1120000101_000002,"The elements of Euclid, with dissertations, intended to assist and encourage a critical examination of these Elements, as the most effectual means of establishing a juster taste upon mathematical subjects, than that which at present prevails. Vol. I. By James Williamson, M. A. Fellow Of Hertford College.","Williamson, James",64,8,0,5,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,5,2,0,1,1,0,1,0,1,3,1,1,1,0,2,0,1,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,2,0,3,1,0,0,0,0,1,0,0,2,5,1,1781,1,1,"Oxford : printed at the Clarendon Press, MDCCLXXXI. [1781].",Oxford,312,unknown,,,FALSE,"for loading with a commentary the most perse book in the world ! But though it may not be agreeable to that general delicacy which an author is bound to preserve towards his readers; yet it may nevertheless be proper to inform them, that they seem to be rather'partial to"
0240301200_000013,"A contemplation on the existence and perfections of God, drawn from the several parts of the visible world, the structure of the human body, and the wonderful powers of the soul; as an image of the wisdom, power, and the invisible and immortal nature of God. Designed as a specimen of a body of divinity, executed in the same manner. By John Ryland, A. M. of Northampton.",John Collett Ryland,57,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,3,4,4,0,0,3,0,0,0,0,1,1,0,3,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,3,5,4,0,0,2,0,1,1,0,6,0,1774,1,1,"London : printed for Vallance and Simmons, No. 120. Cheapside, M.DCC.LXXIV. [1774].",London,60,male,1723,1792,FALSE,"OF THE unbounned UNDERSTANDING OF G D. I. The soul has a power of reflecing upon itielf, and surveying millions of its own ideas , and the images which have been impressed upon it in the compass of fifty or seventy years, and it is capable of surveying ten thousand"
0970400101_000132,"Thirty six sermons and discourses, on several Subjects and Occasions. By Robert South, D. D. late Prebendary of West-Minster, and Canon of Christ-Church, Oxon, &c. ...",Robert South,65,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,0,0,3,0,1,0,0,0,0,4,0,2,0,0,3,0,2,1,1,0,0,0,2,1,3,1,4,1,1,0,1,0,1,0,0,2,0,1,0,1,0,0,0,3,0,0,0,0,3,0,6,1,4,0,1720,1,2,"Dublin : printed for Patrick Dugan, on Cork-Hill, and Joseph Leathly, in Dame's-Street, Booksellers, MDCCXX. [1720].",Dublin,521,male,1634,1716,TRUE,"best understood them? Ihoi Shalt love the Lord thy God with all thy Heart, and with all thy Soul, and thy Neighbour as thyself. Precepts , nothing like the tedious, endless, confused Trall of Humane Laws Laws so numerous, that they not only exceed Men's Practice, but also surpass their"
1098300303_000002,The rambler. In four volumes. ...,Samuel Johnson,56,4,0,1,0,0,0,0,1,2,0,0,0,2,1,0,0,2,1,0,2,1,0,0,0,0,0,0,1,2,0,1,1,1,1,0,1,3,0,1,1,0,0,2,0,1,2,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,2,0,1,2,0,3,0,3,1779,3,4,"London : printed for W. Strahan, J. Rivington and Sons, J. Hinton, B. Collins, T. Longman, T. Caslon, B. Law, T. Carnan, G. Robinson, T. Lowndes, T. Cadell, H. Baldwin, F. Newbery, J. Knox, J. Bew, J. Nichols, W. Goldsmith, and W. Fox, MDCCLXXIX. [1779].",London,324,male,1709,1784,TRUE,"authority , the immutability of his decrees, and the perpetuity of his power. - inon unquam dedit Documenua sirs mrajora, quda fragii loco Starent fitperbi. insulting chance never called with louder voice,. On swelling mortals to be proud no more. Of the innumerable authors whose performances are thus treasured. up"
0672100900_000042,"Elements of the critical philosophy: containing a concise account of its origin and tendency; a view of all the works published by its founder, Professor Immanuel Kant; and a glossary for the Explanation of Terms and Phrases. To which are added: Three philological essays; chiefly translated from the German of John Christopher Adelung; Aulic Counsellor and First Librarian to the Elector of Saxony. By A. F. M. Willich, M.D.","Willich, Anthony Florian Madinger",64,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,2,1,1,0,1,2,2,1,0,0,2,1,0,3,3,0,0,4,0,2,1,7,0,10,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,1,4,1,1798,1,1,"London : printed for T. N. Longman, No. 39, Paternoster-Row, 1798.",London,332,unknown,,,FALSE,"parently polemic) producion, in his late view of the Kantian principles . for this reason , we do not hesitate to pass it over in silence, and to devote a considerable degree of attention to the following work , on Religion, which is of infinitely greater import. ance. XXVII (Io.)"
0814100100_000005,"The travels of Cyrus. To which is annexed, A discourse upon the theology and mythology of the pagans. By the Chevalier Ramsay.",Andrew Michael Ramsay,87,9,0,3,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,0,0,1,3,1,2,0,1,5,3,1,1,0,1,0,0,8,0,1,2,2,0,4,0,3,0,8,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,3,1,0,0,1,1,0,3,4,1,1,1752,1,1,"London : printed by James Bettenham: and sold by C. Hitch and L. Hawes, at the Red Lion in Pater-Noster-Row, M.DCC.LII. [1752].",London,387,male,1686,1743,TRUE,"prepare the Prince by bare hypotheses, to submit and to distrust his understanding : But it was necessary that the Prophet should disengage Cyrus from all bold speculations , how refined and bright soever they might appear, and lead him to the belief of afupernatural religion, not by a philo"
0320800502_000037,"The history of ancient Greece, its colonies, and conquests; from the earliest accounts till the division of the Macedonian Empire in the east Including the History of Literature, Philosophy, and the Fine Arts. By John Gillies, LL. D. F. R. S. & A. S. The third edition, in four volumes. ...",John Gillies,54,2,0,0,0,0,1,0,0,1,0,0,3,3,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,3,0,0,1,0,0,2,0,3,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,1,1,0,2,3,0,1,0,0,0,0,3,5,1,1792,2,4,"London : printed for A. Strahan; and T. Cadell, in the Strand, MDCCXCII. [1792]-93.",London,420,male,1747,1836,FALSE,"and veries of Thales thd although he composed verses, promulgated moral Milesian. sentences , and, on some particular emergencies, gave seasonable advice to his countrymen, yet he established his fame on a basis more broad and. 4s See the Sentences of Theognis, which are evidently a collcflion, not the work"
1238700201_000089,"The philosophical and mathematical commentaries of Proclus, on the first book of Euclid's elements. To which are added, a history of the restoration of Platonic theology, by the latter Platonists: and a translation from the Greek of Proclus's theological elements. In two volumes. ...",Proclus,64,0,4,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,1,0,0,0,0,0,3,0,0,0,4,0,1,0,16,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,2,4,1,1,0,1,0,0,2,0,1,1792,1,2,"London : printed for the author: and sold by T. Payne and Son; B. White and Son; J. Robson; T. Cadell; Leigh and Co. G. Nicol; R. Faulder; and T. and J. Egerton, 1792.",London,327,male,410,485,FALSE,"that geometry which is conversant about planes; but others of flereometry. In the same manner, likewise, in arithmetic and astronomy, many have compored elementary institutions. But it is difficult, in each science, to choose and conveniently ordain elements,. from which all the peculiarities of that science originate, and into, which"
0508700103_000088,"Elements of the philosophy of the human mind. By Dugald Stewart, ...",Dugald Stewart,63,0,1,1,0,1,0,0,0,0,0,0,0,1,0,3,1,0,1,1,1,1,0,2,1,0,0,0,0,3,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,16,0,3,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,3,5,2,0,0,2,0,0,0,1,0,0,1827,3,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh, 1792-1827.",London,578,male,1753,1828,FALSE,"works , to have been influenced, in a singular degree, by a disposition to transfer to physical and even to moral subjects , those habits of thinking which he had been led to cultivate by his geometrical studies The influence of his genius in forming that peculiar taste both in"
