PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(appear),termFreq(arm),termFreq(armi),termFreq(cafe),termFreq(carri),termFreq(caus),termFreq(common),termFreq(confid),termFreq(continu),termFreq(countri),termFreq(debt),termFreq(declar),termFreq(end),termFreq(enemi),termFreq(engag),termFreq(england),termFreq(fleet),termFreq(forc),termFreq(franc),termFreq(french),termFreq(gener),termFreq(god),termFreq(govern),termFreq(hand),termFreq(hous),termFreq(king),termFreq(kingdom),termFreq(land),termFreq(late),termFreq(law),termFreq(littl),termFreq(manner),termFreq(mean),termFreq(monei),termFreq(nation),termFreq(natur),termFreq(noth),termFreq(number),termFreq(order),termFreq(parliament),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(princ),termFreq(public),termFreq(reason),termFreq(reign),termFreq(roman),termFreq(ship),termFreq(spain),termFreq(state),termFreq(taken),termFreq(tax),termFreq(think),termFreq(trade),termFreq(treati),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0550600101_000009,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,113,1,0,0,0,4,1,0,3,2,0,1,0,7,0,4,2,4,0,2,6,5,3,0,0,0,1,9,3,0,1,2,0,2,1,0,2,0,0,0,0,1,4,0,0,4,2,3,0,1,0,2,0,1,5,2,1,1,2,8,10,1800,1,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin [by H. Baldwin and son], No. 47, in Pater-Noster-Row. MDCCC. (H. Baldwin and Son, Printers, New Bridge-Street.), [1800].",London,526,male,1721,1771,TRUE,"The Princes of the empire, assembled in the diet, solemnly exhorted the Emperor to declare war against the French King , who had committed numberless infractions of the treaties of Muntler, Ofnabruck, Nimeguen, and the truce; invaded their country without provocation, and evinced himself an inveterate enemy of the holy"
1206900102_000039,The works of Jonathan Swift. D.D: D.S.P.D. With notes historical and critical by J. Hawkesworth. L.L.D. And others. Vol. I.,Jonathan Swift,92,0,1,1,2,1,1,0,2,1,0,1,2,3,1,5,4,2,0,2,3,5,2,0,3,1,1,6,1,0,0,0,0,1,0,0,1,1,2,0,0,0,2,1,0,2,0,2,1,2,0,0,0,4,2,1,1,0,2,2,14,1767,2,17,"[Dublin] : Printed for J. Williams Dublin, 1767-68.",Dublin,403,male,1667,1745,TRUE,"whole confederate army ; yet we had no reason to boast of our fiiccefs; how then should we be able to oppoli France with those powers against us, which would carry sixty thousand men from us to the enemy ; and so make us upon the balance weaker by one"
0215401700_000004,"Good Queen Anne vindicated, and the ingratitude, insolence, &c. of her Whig ministry and the allies detected and exposed, in the beginning and conducting of the war. The Englishman's memorial: Containing A short History of the Land Wars we have been engaged in, with unanswerable Arguments, proving 'tis not the Interest of England to be concerned, as a Principal, in a Land War, upon any Pretence Whatsoever;-Mind the Sea. With Remarks on the new Ways of raising Money, &c. (unknown to our Ancestors, and which our Posterity will curse us for;) also Many important Matters relative to the British Affairs, worthy of the Attention of the Publick at this Juncture. By the author of The dissertation on parties.","Henry St John, 1st Viscount Bolingbroke",94,0,2,1,2,1,1,0,3,1,1,0,2,2,1,5,5,1,0,3,3,3,0,0,1,2,0,7,1,0,0,0,1,1,2,0,3,2,2,0,0,0,2,2,0,2,0,2,1,3,1,0,0,3,1,1,1,0,1,1,14,1748,1,1,"London : printed for and sold by W. Owen, at Temple-Bar, [1748].",London,73,male,1678,1751,TRUE,"upon, as some would pretend; that We rightly thought it a Piece of Insolence, as well as Injustice, in the French , to offer putting a King upon Us; and the Spaniards would conceive, we had as little Reason to force one upon Them; that it was true, the Nature"
0155501000_000023,"Elements of universal history, for youth: faithfully extracted from the best authors, carefully abridged agreeable to the most exact chronology, and calculated to convey to the tenderest Capacity, in a short Space of Time, an entertaining, useful, and general Knowledge of the History of all ancient and modern Nations, more particularly of that of Great-Britain: With the Boundaries, Capital Towns, Commerce, Population, Government, and Religion of the modern Nations. Also, A Chronological Table Of the learned and ingenious Men, remarkable Events, Inventions, Discoveries, &c. from the Creation of the World to the Year 1786. By J. A. L. Montriou.","Montriou, J. A. L.",100,0,0,3,2,0,0,1,1,0,3,0,1,3,0,1,0,3,4,2,8,11,1,0,1,1,0,5,1,3,2,1,0,0,0,0,3,0,0,3,0,4,5,2,0,2,1,1,1,0,4,0,1,2,0,3,0,1,1,1,7,1787,1,1,"London : printed for the Author by Fry and Couchman; and sold by R. Marsh, No. 49, Fleet-Street; and W. Darton, White-Lion-Alley, Birchin-Lane, Cornhill, [1787?].",London,196,unknown,,,FALSE,"James's fon in law , to seize the crown: accordingly, William landed in England , and the king , instead of opposing him, fled to France . He afterwards endeavoured to retrieve what his imprudence and pugllanimity had forfeited; but being entirely defeated at the battle of the Boyne, and"
0966500101_000145,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,86,2,1,0,0,0,0,2,5,1,0,0,2,3,0,2,1,5,1,1,1,4,0,1,2,0,4,4,0,2,1,0,0,0,0,1,2,0,0,1,3,3,1,2,4,2,2,7,0,2,0,0,0,1,1,1,2,1,2,3,0,1785,1,5,"London : printed for T. Cadell, in the strand; and R. Baldwin, No 47, in Pater-Noster Row, MDCCLXXXV. [1785].",London,481,male,1721,1771,TRUE,"who trust to a parliamentary security. He declared , that he never asked aids from his people without regret: that what he desired was for their own safety and honour, at such a critical time; and that the whole should be appropriated to the purposes for which it was intended."
0918300109_000021,"The works of Dr. Jonathan Swift, Dean of St. Patrick's, Dublin. Accurately revised, in twelve volumes. Adorned with copper-plates; with some account of the author's life, and notes historical and explanatory. By John Hawkesworth.",Jonathan Swift,92,0,1,1,2,1,1,0,3,1,0,1,2,3,1,6,4,2,0,2,2,4,1,0,3,1,1,5,1,0,0,0,0,1,0,0,1,1,2,0,0,0,2,1,0,2,0,3,1,2,0,0,0,4,1,1,1,0,2,2,16,1766,9,12,"London : printed for C. Bathurst, J. Rivington, W. Strahan, B. Collins, J. Hinton, J. Dodsley, L. Davis and C. Reymers, R. Baldwin, and W. Bowyer, M.DCC.LXVI. [1766].",London,351,male,1667,1745,TRUE,"treasures in the spanijh wefj indies; that in the last war , when Spain , Cologne, and Bavaria were in our alliance, and, by a modest computation, brought sixty thousand men into into the field against the common enemy ; when Slanders, the seat of war , was on our"
0904000103_000096,"The works of the Rev. Dr. Jonathan Swift, Dean of St. Patrick's, Dublin. Arranged, revised, and corrected, with notes, by Thomas Sheridan, A.M.",Jonathan Swift,89,0,1,1,1,0,1,0,1,1,0,1,2,3,1,5,4,2,0,2,3,5,1,0,3,1,1,6,1,2,0,0,0,1,0,0,1,1,2,0,0,0,2,1,0,2,0,2,1,1,0,0,0,4,2,1,1,0,2,3,13,1784,3,17,"London : printed for W. Strahan, B. Collins, J. F. & C. Rivington, L. Davis [and 8 others in London], 1784.",London,487,male,1667,1745,TRUE,"be able to oppose France with those powers against us, which would carry sixty thousand men from us to the Enemy ; and so make us upon the balance weaker by one hundred and twenty thousand men at the beginning of this war , than of that in i688? On"
0104600105_000005,"The works of the Reverend Dr. Jonathan Swift, Dean of St. Patrick's, Dublin. In twenty volumes. Containing, I. His Miscellanies in prose. II. His poetical writings. III. Gulliver's Travels. IV. Papers relating to Ireland, and the Drapier's Letters. V. The conduct of the allies and the examiners. VI. The publick spirit of the whigs, &c. and polite conversation. VII. Letters to and from Dr. Swift. VIII. Directions to servants, sermons, poems, &c. IX. Letters; the history of the last session of Parliament, and the peace of Utrecht, &c. X. Sermons and other Pieces. XI. Letters, &c. the author's life and poems. XII. History of the four last years of Queen Anne's Reign; Letters; and Sermons, &c. Collected by Deane Swift, Esq. XIII. Letters to and from several very eminent persons; poems on various occasions. Collected by Deane Swift, Esq. XIV. XV. and XVI. Letters to and from Dr. Swift. With notes by the Rev. T. Birch, D.D.F.R.S. John Hawkesworth, L.L.D. and others. With many original pieces. XVII. XVIII. and XIX. Letters to & from Dr. Swift. Collected by D. Swift, Esq. with several originals. XX. Tale of a tub.",Jonathan Swift,91,0,1,1,2,1,1,0,2,1,0,0,2,3,1,5,4,2,0,2,3,5,1,0,3,1,1,6,1,0,0,0,0,1,0,0,1,1,2,0,0,0,2,1,0,2,0,2,1,2,0,0,0,4,2,1,1,0,2,3,14,1772,5,20,"Dublin : printed by George Faulkner, MDCCLXXII. [1772].",Dublin,496,male,1667,1745,TRUE,"Head of the whole Confederate Army ; yet we had no Reason to boast of our Success: How then flould we be able to oppose France with those Powers against us, which would carry sixty thousand Men from us to the Enemy , and so make us, upon the Balance,"
0475300105_000100,"The works of Jonathan Swift, D.D. Dean of St. Patrick's, Dublin, accurately revised in six volumes, adorned with copper-plates; with some account of the author's life, and notes historical and explanatory, by John Hawkesworth.",Jonathan Swift,94,0,1,1,2,1,1,0,3,1,1,0,2,1,1,5,5,2,0,3,3,4,0,0,1,1,1,7,1,0,0,0,1,1,2,0,3,2,2,0,0,0,2,2,0,2,0,2,1,3,0,0,0,3,1,1,1,0,1,1,15,1755,5,6,"London : printed for C. Bathurst, C. Davis, C. Hitch and L. Hawes, J. Hodges, R. and J. Dodsley, and W. Bowyer, MDCCLV. [1755].",London,493,male,1667,1745,TRUE,"laboured under; that both we and the Dutch had already acknowledged Philip for king of Spain ; that the inclinations 56 tions of the Spaniards to the house of Aujiria, and their aversion from that of Bourbon, were not so surely to be reckoned upon as some would pretend; that"
1133200300_000005,"The conduct of the allies, and of the late ministry, in beginning and carrying on the present war.",Jonathan Swift,90,0,2,1,1,1,0,0,2,1,0,1,2,3,1,4,4,1,0,3,2,5,2,0,3,1,0,6,1,0,0,0,0,1,0,0,2,2,2,0,0,0,3,1,0,1,0,2,1,1,1,0,0,4,2,1,1,0,2,3,13,1711,1,1,"London : printed for John Morphew, near Stationers-Hall, 1711.",London,94,male,1667,1745,TRUE,"King of Spain ; that we could have no Security tor our Trade , while that Kingdom was subject to a Prince of the .k1orbon lfamily; nor any hopes of preserving the Balance of Europe, becaute the Grandfather wouldl, in ee, be King , while his Grandson had but the"
0515000108_000098,"A complete history of England, from the descent of Julius Cæsar, to the Treaty of Aix la Chapelle, 1748. Containing the Transactions of One Thousand Eight Hundred and Three Years. By T. Smollett, M.D.Volume the first.",Tobias Smollett,106,0,0,0,0,4,1,0,3,2,0,1,0,5,0,4,2,3,0,2,8,4,3,0,0,0,3,11,2,0,2,1,0,1,1,0,1,0,0,0,0,1,4,0,1,4,3,3,0,2,0,2,0,1,3,1,1,1,2,6,7,1758,8,11,"London : printed for James Rivington and James Fletcher, at the Oxford-Theatre; and R. Baldwin, at the Rose, in Paternoster-Row, MDCCLVIII. [1758]-60.",London,489,male,1721,1771,TRUE,"now judged expedient to pass an a for Geicf: fettling the succession of the crown, according to the former resolution of the convention. A bill for this purpose was brought into the lower house , with a clause disabling papists from succeeding to the crown: to this the lords added,"
0624401200_000002,"Good Queen Anne vindicated, and the ingratitude, insolence, &c. of her Whig ministry and the allies detected and exposed, in the beginning and conducting of the war. The Englishman's memorial: containing A short History of the Land Wars we have been engaged in, with unanswerable Arguments, proving 'tis not the Interest of England to be concerned, as a Principal, in a Land War, upon any Pretence Whatsoever-Mind the Sea. With Remarks on the new Ways of raising Money, &c. (unknown to our Ancestors, and which out Posterity will curse us for;) also Many important Matters relative to the British Affairs, worthy of the Attention of the Publick at this Juncture. By the author of The dissertation on parties.","Henry St John, 1st Viscount Bolingbroke",98,0,0,0,1,0,3,0,0,0,2,1,5,2,1,0,3,3,1,0,5,2,4,0,1,1,1,10,2,1,3,0,2,0,0,6,1,0,0,0,1,1,2,1,1,0,1,5,1,1,2,0,0,3,0,0,1,1,0,2,14,1748,1,1,"London : printed by M. Cooper, in Pater-Noster-Row, MDCCXLVIII. [1748].",London,48,male,1678,1751,TRUE,"with the most unreasonable Demands, and at every turn threatening to break the Alliance, if he will not comply. From there rfle&tions upon War in general , .descend to cdtfider those Wars , wherein England hath been engaged since, the Conquest. In the Civil wars of the Barons, as well"
0008400300_000420,"The ladies history of England; from the descent of Julius Cæsar, to the summer of 1780. Calculated for the use of the ladies of Great-Britain and Ireland; and likewise adapted to general use, entertainment, and instruction. By Charlotte Cowley.","Cowley, Charlotte",99,0,0,0,4,0,1,0,3,1,0,0,0,4,0,0,4,2,4,1,10,4,2,0,1,0,3,7,3,0,1,1,0,0,1,1,2,2,0,0,1,5,7,0,1,4,0,2,0,0,1,0,2,2,3,1,0,2,0,2,4,1780,1,1,"London : printed for the proprietors; and sold by S. Bladon, No. 13, in Pater-Noster-Row, MDCCLXXX. [1780][-81].",London,774,female,,,FALSE,"unless an army of thirty thousand nmen was maintained, and ninety ships of war were kept in commission, the nation could not be deemed to be in a late of ic curity. After mentioning the marriage of his niece with the prince of Orange, he requested a supply proportioned to"
0475300105_000098,"The works of Jonathan Swift, D.D. Dean of St. Patrick's, Dublin, accurately revised in six volumes, adorned with copper-plates; with some account of the author's life, and notes historical and explanatory, by John Hawkesworth.",Jonathan Swift,94,0,0,0,1,0,3,0,0,0,2,1,5,1,1,1,1,3,1,0,4,2,4,0,1,0,1,9,2,1,3,0,3,0,0,6,1,0,1,0,1,1,2,1,2,0,0,5,1,1,2,0,0,3,0,0,1,2,0,2,12,1755,5,6,"London : printed for C. Bathurst, C. Davis, C. Hitch and L. Hawes, J. Hodges, R. and J. Dodsley, and W. Bowyer, MDCCLV. [1755].",London,493,male,1667,1745,TRUE,"to contribute more than the principal party, and even tnmre in proportion to his abilities, he ought at leait to have his share in what is conquered from the enemy ; or, if his romanitick disposition transport him so far as to expe< little or nothing from this, he might"
0107301108_000020,Miscellanies. The eighth volume. By Dr. Swift.,Jonathan Swift,92,0,1,1,2,1,1,0,3,1,0,1,2,3,1,6,4,2,0,3,3,4,0,0,2,1,0,6,1,0,0,0,0,1,1,0,2,1,3,0,0,0,2,1,0,1,0,3,1,2,1,0,0,3,1,1,1,0,1,1,16,1748,8,8,"London : printed for C. Davis, against Gray's-Inn Gate, Holborn; and C. Bathurst, opposite St. Dunstan's Church, Fleetstreet, MDCCXLVIII. [1748].",London,316,male,1667,1745,TRUE,"Assistance; this would introduce French Counsellors into King Philip's Court,. and this, by Degrees, would habituate and reconcile the two Nations ; that, to assist King Charles by Eng h h and Dutch Forces , would render him odious to his new Subjects, who have nothing in so great Abomination"
1726700300_000502,"A new, universal and impartial history of England, from the earliest authentic records, and most genuine historical evidence, to the year 1788. Containing a clear, authentic, candid, accurate, faithful, and circumstantial account of every memorable transaction, interesting event, and remarkable occurrence, recorded in the annals of Great Britain. With a comprehensive account of its origin and progressive state, the various revolutions it has undergone, and the conquests and acquisitions it has obtained in different parts of the world. Also a concise view of the constitution and political establishments of Britain, its laws, institutions, parliaments, charters, commerce, arts, sciences, inventions, civil, ecclesiastical, military and naval transactions, &c. Likewise an accurate and chronological account of all the sovereigns who have swayed the British scepter; with an impartial display of their characters, whether distinguished for their wisdom in the cabinet, their military atchievements in the field, their private virtues, or their public vices. Including anecdotes of other illustrious and extraordinary personages, such as historians, poets, orators, admirals, generals, statesmen, patriots, heroes, heroines, divines, physicians, philosophers, &c. &c. whose private virtues, and public actions, have combined in promoting the honour, and supporting the dignity, of the British nation. Interspersed with occasional remarks, observations and reflections, wherein the errors of former writers are corrected, glaring absurdities pointed out, fabulous narrations and legendary tales expunged, party prejudices removed, and what has hitherto appeared obscure and doubtful placed in the clearest light, and authenticated from the most undeniable historical evidence. The whole comprizing, in the most accurate, clear and impartial manner, every thing worthy of being recorded in the annals of the British empire. Embellished and illustrated with upwards of one hundred and twenty beautiful copper plate engravings, taken from the original drawings of Messrs. Metz, Stothard; and Samuel Wale, Esq. by those celebrated artists Messrs. Heath, Grignion, Walker, Taylor, Roberts, Chesham, &c. representing the most remarkable transactions that occur in the course of the history; with whole length figures of all the British sovereigns, from Egbert the great, first sole monarch of England, to their present majesties. By George Frederick Raymond, Esq. Assisted by Alexander Gordon and Hugh Owen, Esqrs. and others, who, for many years past, have made the history of this country their peculiar study.","Owen, Hugh",81,0,0,1,1,0,2,1,3,0,1,0,0,4,0,1,2,1,2,4,0,1,3,0,1,0,2,2,2,2,2,0,1,0,2,0,1,0,1,0,1,3,1,0,1,2,2,3,0,1,0,0,3,8,0,2,1,0,2,2,6,1788,1,1,"London : Printed for J. Cooke, at Shakespear's Head, No. 17, Pater-noster-Row, [1788?]",London,684,male,1761,1827,FALSE,"that the governor surrendered the place by capitulation, on the twenty-ninth day of Septemd ber and the garrison was transported to Syracuse and Reggio. A treaty was now concluded at Vienna, between the emperor and the duke of Savoy. They agreed to form for the conquest of Sardinia in behalf"
0162900201_000211,"The history of Great Britain, from the restoration, to the accession of the House of Hannover. By James Macpherson, Esq; in Two Volumes. ...",James Macpherson,97,0,1,3,0,2,0,2,4,0,0,0,0,5,1,3,2,4,3,3,7,9,0,0,0,1,1,8,2,0,2,0,0,0,1,1,2,1,0,0,1,0,2,0,0,1,2,1,0,1,0,1,3,2,3,1,0,0,1,4,6,1775,1,2,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXV. [1775].",London,722,male,1736,1796,TRUE,"themselves, they seemed too undignified to be adopted by the commons at large. A more temperate paper was framed and presented on the twenty fixth of April. The commons laid before the King the dcftrudive methods taken by the court of France against the trade , quiet, and interest of"
1289903301_000100,"The Monitor: or, British freeholder. From ...",William Beckford,86,1,1,1,2,0,1,1,2,0,1,1,1,1,1,3,0,1,1,1,0,1,0,0,3,0,2,7,1,0,0,0,0,0,2,2,8,2,0,0,1,2,0,8,2,6,1,3,2,0,2,0,0,0,2,1,1,0,3,2,2,1756,1,3,"London [England] : printed for J[ohn]. Scott at the Black Swan in Pater-noster-Row, MD.CC.LVI. [1756]-",London,509,male,1709,1770,FALSE,"Buckingham, and Lauderdale, whose counsels were suspected, and whose designs to make the king absolute, were so much feared by the people and parliament , that it was found necessary to pursue the same measures in the house of commons as were begun by the parliament in 640, to obviate"
0015300101_000009,"The history of England, from the Revolution to the death of George the Second. (designed as a continuation of Mr. Hume's History.) In five volumes. By T. Smollett, M.D. ...",Tobias Smollett,108,0,0,0,0,5,1,0,3,2,0,1,0,5,0,3,2,3,0,2,7,4,3,0,0,0,4,12,1,0,2,1,0,1,1,0,1,0,0,0,0,1,4,0,1,4,3,3,0,2,0,2,0,1,4,1,1,1,2,6,8,1790,1,5,"London : printed for T. Cadell, in the Strand; and R. Baldwin, No. 47, in Pater-Noster-Row, MDCCXC. [1790].",London,528,male,1721,1771,TRUE,"Lower House , with a clause disabling Papists from succeeding to the throne: to this the Lords added, "" Or such; as., C hold marry Papifrs,"" absolving the subject in in that cafe from allegiance. The Bishop of Salisbury, by the King's diretion, proposed that the Princess Sophia, Duchess of"
