PassageID,Title,Author,Total termFreq,termFreq(ag),termFreq(alembert),termFreq(author),termFreq(book),termFreq(celebr),termFreq(composit),termFreq(diderot),termFreq(eleg),termFreq(encyclopaedia),termFreq(franc),termFreq(french),termFreq(friend),termFreq(gener),termFreq(geniu),termFreq(god),termFreq(govern),termFreq(helvetiu),termFreq(human),termFreq(king),termFreq(knowledg),termFreq(law),termFreq(letter),termFreq(literari),termFreq(literatur),termFreq(majesti),termFreq(merit),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(opinion),termFreq(pari),termFreq(persecut),termFreq(philosoph),termFreq(philosophi),termFreq(polit),termFreq(principl),termFreq(progress),termFreq(public),termFreq(reason),termFreq(reign),termFreq(religi),termFreq(religion),termFreq(rousseau),termFreq(societi),termFreq(superior),termFreq(talent),termFreq(thought),termFreq(truth),termFreq(univers),termFreq(virtu),termFreq(voltair),termFreq(wit),termFreq(work),termFreq(world),termFreq(writer),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1360500102_000205,"The history of modern Europe. Part II. from the peace of Westphalia, in 1648, to the peace of Paris, in 1763. With a view of the progress of society during the present century. In a series of letters from a nobleman to his son.",William Russell,60,3,0,1,0,1,2,1,2,0,0,2,0,3,5,0,1,0,1,0,1,0,1,1,4,0,1,1,0,0,0,0,0,2,0,3,0,2,1,2,3,1,0,1,1,2,2,0,0,1,0,3,2,1,1,1,1784,2,2,"London : printed for G. Robinson, Pater-noster-row; J. Robson, New Bond-street; J. Walter, Charing-cross; and J. Sewell, Cornhill, MDCCLXXXIV. [1784].",London,667,male,1741,1793,FALSE,"all their gradations, from thle inail and the thell fish urp to man; the organisation of the human frame, the perfeitions and imperfeaions of the sedes, andl the means by which they are perfeaed; all ace ~omnpanied with such just and sublime reflettions, as leave the mind equally astonished at"
1352700100_000068,"The flowers of modern history; comprehending on a new plan, the most remarkable revolutions and events as well as the most eminent and illustrious characters, of modern times; with a view of the progress of society and manners, arts and sciences, from the irruption of th Goths and Vandals, and other northern nations, upon the Roman Empire, to the conclusion of the American war. Designed for the improvement and entertainment of youth. By the Rev. John Adams, A.M. [One line from Horace].","Johnson, Jacob",70,3,0,1,0,1,3,0,3,0,2,2,0,3,6,0,2,0,2,0,0,0,0,1,4,0,0,2,0,1,0,0,0,2,1,4,2,1,1,3,4,1,0,0,0,1,2,1,0,1,1,3,2,1,2,1,1796,1,1,"Philadelphia : Printed by Jacob Johnson & Co. 147, Market-Street, 1796.",Philadelphia,315,male,1771,1819,FALSE,"moral w orld, an d in veffigating the powers and principles of man, as a member of faciety, with the effieats of government and lawss upon the human character, Buffon was em played~in surveying the natural world ; in examining; the beauty and virtues of vegetables, lan~i· mans inflina, ~"
0802300402_000141,"The geographical magazine; or, a new, copious, compleat, and universal system of geography. ... By William Frederick Martyn, Esq. ...",William Fordyce Mavor,66,3,0,2,0,1,1,0,2,0,2,8,0,1,2,0,2,0,3,0,0,0,1,2,3,0,1,2,2,1,0,0,0,2,2,2,1,0,0,0,2,1,2,0,0,2,1,0,0,3,0,1,1,4,0,3,1782,2,2,"London : printed for Harrison and Co., 1782-83.",London,650,male,1758,1837,FALSE,"peer, as well as legate, of the see of Rome. The schemes of Louis XIV to establish an universal monarchy are well known to have failed; but his attempts to render the French language universal have been attended with all the success that could be desired. Every proposal that tended"
0478200100_000003,"The general history of Europe; and entertaining traveller. Comprising an historical and geographical account of all the empires, kingdoms, &c. in Europe, viz. Great-Britain, Ireland, Germany, Turkey, Russia, Sweden, France, Spain, Portugal, Poland, Bohemia, Prussia, Italy, Denmark, Hungary, Sardinia, Tuscany, Norway, Venice, United Provinces, Switzerland, Austria, Genoa, Geneva, Piedmont, Montserrat, Milan, Parma, Modena, and Tartary in Europe, From their first Establishment to the End of the present Year; Including a Circumstantial Relation of the Origin, Progress, and Present State of Every Kingdom; Together with their Religion, Laws, Manners, Arts, and Sciences: also the Particulars of the War Between Russia, Sweden, Germany, and the Porte; Displaying Likewise the Contest Between the French King and his Subjects; and the Late Disturbances in Holland. The Geographical Department is Illustrated with A Complete Set of Whole Sheet Maps of all the Kingdoms, on so Large a Scale as to Entitle them to the Appellation of the European Atlas. The Topography of every Country in Europe is ample and complete, giving not only an Account of Cities and Capital Towns, but also every Thing remarkable in Villages and inferior Places, their Ruins, Rivers, Lakes, Mountains, Curiosities, &c. By Percival Barlow, Esq. assisted by several gentlemen who have made the tour of Europe, and Furnished him with the Most Valuable and Authentic Informations to Enrich his Work.","Barlow, Percival",64,3,0,1,0,1,1,0,1,0,4,1,0,1,5,0,1,1,6,0,1,1,1,0,1,0,0,3,0,1,0,0,0,2,1,2,2,1,0,3,3,0,2,0,2,1,2,1,0,0,2,2,0,2,1,1,1791,1,1,"London : printed by and for W. and J. Stratford, No. 112, Holborn-Hill, [1791?].",London,910,unknown,,,FALSE,"Mellico, or a Mara. SPAIN has acquired many improvements under the princes of the house of Bourbon. A rasse for agriculture, for arts, manufactures, letters , and even a passion for arms and enterprise, has been revived among tile Spaniards. The same taste has extended itself to PORTUGAL, since the"
1050900100_000290,"A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System, and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geogragraphical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature, since the most early Periods of History. Viii. The History and Origin of Nations: their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength, Orders of Knighthood, &c. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A geographical index, with the Names of Places alphabetically arranged. II. A table of the coins of all nations, and their Value in English Money. III. A chronological table of remarkable events from the creation to the present time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S. To which have been added the late discoveries of Dr. Herschell, and other eminent Astronomers. Illustrated with a Correct Set of Maps, Engraved from the most recent Observations and Draughts of Geographical Travellers. The fifteenth edition, corrected, and considerably enlarged.",William Guthrie,71,2,0,0,0,2,0,0,1,0,9,4,0,1,3,0,3,0,2,0,0,0,3,2,0,1,1,1,1,2,0,2,0,2,3,1,1,1,2,0,1,1,4,0,0,1,1,1,0,4,0,1,0,3,0,4,1795,1,1,"London : printed for Charles Dilly, in the Poultry; and G.G. and J. Robinson, in Pater-Noster Row, MDCCXCV. [1795].",London,1029,male,1708,1770,FALSE,"meets with universal approbation. Lewis XIV was the Augustus of France . The ptotestion he gave to letters , and the pensions be bestowed on learned men, both at home and abroad, which, by calculation, did not amount to above 2,, ooo L per annum, have gained him more glory"
0102200601_000029,"The life of Voltaire, by the Marquis de Condorcet. To which are added Memoirs of Voltaire, written by himself. Translated from the French. In two volumes. Vol. I[-II].",Jean-Antoine-Nicolas de Caritat de Condorcet,58,3,0,1,0,1,0,1,0,2,3,1,4,1,2,0,0,0,1,1,1,1,1,2,0,0,1,1,0,0,0,1,3,3,0,1,0,1,3,3,0,0,0,0,1,1,1,1,0,0,1,5,0,5,0,0,1792,1,2,"Philadelphia : Printed by and for W. Spotswood, M,DCC,XCII. [1792].",Philadelphia,215,male,1743,1794,FALSE,"secret this work , to whose perfecion liberty and publicity were so essential; and one of the noblerf undertakings which the human mind has ever conceived, would have remained unfinished but for the courage of Diderot , and the zeal of a great number of men of diftingui/hed learning, whom"
0002300800_000099,"The flowers of modern history. Comprehending, on a new plan, the most remarkable revolutions and events, ... from the irruption of the Goths and Vandals, ... to the conclusion of the American war. ... By the Rev. John Adams, A.M.",John Adams,66,1,0,1,0,1,0,0,0,0,3,2,0,1,5,0,2,2,7,0,1,1,0,0,1,0,0,3,0,3,0,0,0,4,1,1,3,1,1,2,3,1,2,0,4,0,2,1,0,0,2,1,0,1,2,0,1796,1,1,"London : printed for G. Kearsley, 1796.",London,357,male,1750,1814,FALSE,"both those kingdoms. If this taftc should ripen into a philosophic pirit, and break the fetters of superstition, we may perhaps behold a singular phenomenon in the history of nations; a great people, after the decline of empire and the corruption of manners, recovering their former consequence and character. Such"
1188400100_000304,"A new system of modern geography: or, a geographical historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climates, Air, Soil, Vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, Taxes, Naval and Military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A Geographical Index, with the Names and Places alphabetically arranged. II. A. Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. The astronomical part by James Ferguson, F.R.S. To which have been added, the late discoveries of Dr. Herschell, and other eminent Astronomers.",William Guthrie,59,3,0,0,0,1,0,1,0,1,8,5,0,2,1,0,2,0,3,1,1,0,2,2,1,0,0,1,3,0,0,2,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,3,0,1,0,3,0,3,1792,1,1,"London : printed for C. Dilly, In The Poultry; and G. G. J. and J. Robinson, Pater Noster Row, MDCCXCII. [1792].",London,1102,male,1708,1770,FALSE,"is ignorant of Pascal, or of the archbishop of Cambray? Few men have done more service to religion , either by their writings or their lives. As for Montefquiet, he is an honour to human nature; he is the legislator of nations; his works are read in every country and"
0497600105_000164,"The history of modern Europe. With an account of the decline and fall of the Roman Empire: and a view of the progress of society, from the rise of the modern Kingdoms to the peace of Paris, in 1763. In a series of letters from a nobleman to his son.",William Russell,57,1,0,2,0,2,3,1,3,0,0,2,0,1,2,0,2,0,0,0,0,0,0,2,4,0,2,1,0,0,0,0,0,1,0,4,0,2,1,3,5,1,0,0,1,1,2,0,0,1,1,1,2,2,1,0,1794,5,5,"London : printed for G.G. and J. Robinson, Paternoster-Row, 1794.",London,494,male,1741,1793,FALSE,"with particular pleasure on the beautiful extravagancies of Rous lean, and endeavour to estimate the merit of his wonderful romance: I mention them only as connected with the progress of society . In this line I am happy to name D'alem bert and Diderot ; to whom French literature is"
0186700300_000060,"Domestic anecdotes of the French nation, during the last thirty years. Indicative of the French revolution.",,60,0,0,5,1,1,0,1,0,0,4,1,1,0,2,0,3,2,0,1,0,1,1,3,3,0,1,0,0,1,0,2,2,1,0,1,0,0,3,0,1,0,1,0,1,1,0,1,2,0,0,0,0,8,0,4,1794,1,1,"London : printed for C. and G. Kearsley, Fleet-Street, MDCCXCIV. [1794].",London,458,unknown,,,FALSE,"i those tyrants, could not find an asylum in any place; he was pursued everywhere, and punished with death, unlefshe preferred receiving itfrom his own hand. Under Louis XIII and Louis XIV says the author of the Letters Hilto riques, a similar persecution existed. Cardinal Richelieu never forgave any one,"
0151601601_000179,"A view of universal history, from the creation to the present time. Including an account of the celebrated revolutions in France, Poland, Sweden, Geneva, &c. &c. Together with An Accurate and Impartial Narrative of the Late Military Operations; and Other Important Events. By the Rev. J. Adams, A.M. In three volumes. ...",John Adams,69,2,0,0,0,0,0,1,2,0,7,8,0,2,3,0,3,0,3,0,1,0,1,2,2,1,2,1,1,2,0,0,0,0,3,2,1,0,0,0,2,1,4,0,0,2,1,0,0,3,0,1,0,3,0,2,1795,1,3,"London : printed for G. Kearsley, No. 46, Fleet - Street, MDCCXCV. [1795].",London,462,male,1750,1814,FALSE,"the French , and gave a new turn to their literary pursuits. This, together with the encouragement which the polite and learned f^ncis I. gave to all men of merit , was extremely beneficial to French literature . During this reign , many learned men appeared in France , who"
0125800402_000007,"A new geographical, historical, and commercial grammar; and present state of the several Kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations: their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. XIII. A General Index. With a table of the coins of all nations, and their value in English money. By William Guthrie, Esq. Illustrated with a New and Correct Set of Large Maps, Engraved by Mr. Kitchin, Geographer. The second edition. In two volumes. ...","Paraire, John",66,2,0,0,0,0,0,1,0,0,6,7,0,2,3,0,4,0,4,1,1,0,1,2,0,0,0,1,3,1,0,2,0,2,3,1,1,0,2,0,0,1,4,0,0,2,1,0,0,3,0,1,0,2,0,2,1771,2,2,"London : printed for J. Knox, at No. 148, near Somerset-House, in the Strand, MDCCLXXI. [1771].",London,490,unknown,,,FALSE,"a genius of the same extensive and universal kind with Shakelpeare, equally fitted for the gay and the serious, the humorous and the sublime. In the eloquence of the pulpit and of the bar, the French are greatly our superiors : Bofiuet, Bourdaloue, Fkchier, and Maffillon, have carried pulpit eloquence"
1544400101_000429,"A new and complete system of universal geography: Containing a full survey of the natural and civil state of the terraqueous globe: exhibiting all the latest and most authentic information concerning Europe, Asia, Africa, and America; the seas by which they are divided, and the isles scattered amid these seas; with an ample apparatus of tables, maps, &c. as also an accurate explanation of those principles of geography which depend upon the discoveries of astronomy: and a philosophical view of universal history; The last article written by Robert Heron. In two volumes.",Robert Heron,59,3,0,0,0,2,0,1,0,0,7,5,0,2,1,0,1,0,2,2,0,0,3,2,1,0,0,1,3,0,0,2,0,2,2,0,0,1,2,1,0,0,1,0,1,1,1,1,0,2,0,1,0,2,0,3,1796,1,2,"Edinburgh : Printed for R. Morison and Son, Booksellers, Perth, 1796.",Edinburgh,1113,male,1764,1807,FALSE,"no religion howi superstitious, could curb or reifrain. As an hifrorian, De Thou entitled to the highest prailfe: and who is ignorant of Pascal, the archbishop of Crambay? Few men have done more fervice.tot ligion, either by their writings or their lives. As for montefqui~ei is ah honour tb human"
0312700400_000068,"The flowers of modern history; comprehending, on a new plan, the most remarkable revolutions and events, As well as the most Eminent and Illustrious Characters, of Modern Times; with a view of the Progress of Society and Manners, Arts and Sciences, from the irruption of the Goths and Vandals and other Northern Nations, upon the Roman Empire, to the conclusion of the American war. Designed for the improvement and entertainment of youth. By the Rev. John Adams, A.M.",John Adams,66,1,0,1,0,1,0,0,0,0,3,2,0,1,3,0,3,3,7,0,1,1,0,0,1,0,0,3,0,3,0,0,0,3,1,1,3,1,1,3,3,1,3,0,3,0,2,1,0,0,3,0,0,1,2,0,1789,1,1,"Dublin : printed by Zacharia Jackson, for Messrs. Grueber and M'allister, NO. 59, Dame-Street, M.DCC.LXXXIX. [1789].",Dublin,325,male,1750,1814,FALSE,"among the Spaniards. A SITMILAR tate is said to have extended itself to Portugal, since the expulsion of the Jesuits out of both these kingdoms. If this taste should ripen into a philosophic spirit, and break the fetters of superstition, we may perhaps behold a singular phenomenon in the history"
1509800100_000357,"Chambers's edition. An improved system of modern Geography: or, A geographical, historical, and commercial grammar; containing the ancient and present state of all the empires, kingdoms, states, and republics in the known world. With I. The figures, motions, and distances of the planets, according to the Newtonian system and the latest observations. II. A general view of the Earth considered as a planet; with several useful geographical definitions and problems. III. The grand divisions of the globe into land and water, continents and islands. IV. The situation and extent of empires, kingdoms, states, provinces, and colonies. V. Their climates, air, soil, vegetable productions, metals, minerals, natural curiosities, seas, rivers, bays, capes, promontories, and lakes. VI. The birds and beasts peculiar to each country. VII. Observations on the changes that have been observed upon the face of nature since the earliest periods of history. VIII. The history and origin of nations; their forms of government, religion, laws, revenues, taxes, naval and military strength. IX. The genius, manners, customs, and habits of the people. X. Their language, learning, arts, sciences, manufactures and commerce. XI. The chief cities, structures, ruins, and artificial curiosities. XII. The longitude, latitude, bearings, and distances of principal places from London. To which are added, I. A geographical index, with the names and places alphabetically arranged. II. A table of the coins of all nations, and their value in English money. III. A chronological table of remarkable events from the creation to the present time. Originally compiled By William Guthrie, Esq.",William Guthrie,64,2,0,0,0,0,0,1,0,0,9,7,0,2,2,0,5,0,3,1,0,0,1,1,1,0,0,0,2,1,0,2,0,2,3,1,1,0,1,1,0,1,3,0,0,1,1,0,0,2,0,1,0,2,0,4,1789,1,1,"Dublin : Printed by John Chambers, No. 5, Abbey-Street, M.DCC.LXXXIX. [1789].",Dublin,1032,male,1708,1770,FALSE,"and the serious, the humorous and the fi'blime. In the eloquence of the pulpit and of the bar, the French are greatly our fhuperiorst Boffixet, Bourdaloue, Flechie'r, and Mafillon, have carried pulpit eloquence to a degree of perfeation which we may approach to, but can hardly be expcated ever to"
0071800700_000008,A defence of the constitution of England against the libels that have been lately published on it; particularly in Paine's pamphlet on the Rights of man.,,63,1,0,2,1,1,0,0,0,0,0,1,1,0,0,6,2,1,1,0,0,6,0,0,0,0,0,0,5,0,2,1,2,6,2,1,2,0,0,2,0,2,3,2,1,0,0,0,1,4,0,3,0,1,0,0,1791,1,1,"Dublin : printed for P. Byrne, J. Moore, J. Jones, A. Grueber, R. White, M.DCC.XCI. [1791].",Dublin,55,unknown,,,FALSE,"for the approaching Parliament. Their views were said to be, to have a place of education under their guidance, incorporated and made into an uriverfity; and to have the power of conferring degrees, c. &c. becaufe the academical honours now purchased for their ministers at the decayed Scottish universities ,"
