PassageID,Title,Author,Total termFreq,termFreq(attent),termFreq(author),termFreq(book),termFreq(brandi),termFreq(chocol),termFreq(coffe),termFreq(coffeehous),termFreq(compani),termFreq(convers),termFreq(dai),termFreq(drink),termFreq(even),termFreq(frequent),termFreq(gentlemen),termFreq(grand),termFreq(half),termFreq(home),termFreq(hous),termFreq(humour),termFreq(knowledg),termFreq(laid),termFreq(laughter),termFreq(liberti),termFreq(london),termFreq(music),termFreq(new),termFreq(paper),termFreq(peopl),termFreq(person),termFreq(place),termFreq(politician),termFreq(proprietor),termFreq(public),termFreq(publish),termFreq(punch),termFreq(read),termFreq(room),termFreq(sage),termFreq(societi),termFreq(tabl),termFreq(tatler),termFreq(tea),termFreq(thought),termFreq(town),termFreq(wit),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0481400101_000067,"A view of England towards the close of the eighteenth century. By Fred. Aug. Wendeborn, LL.D. Translated from the original German, by the author himself. In two volumes. ...",Gebhard Friedrich August Wendeborn,56,2,2,0,0,0,1,6,0,0,0,0,2,6,0,0,0,0,2,0,0,0,1,0,6,0,2,2,5,1,1,0,0,5,1,0,5,1,0,1,0,0,0,1,2,1,0,1791,1,2,"London : printed for G. G. J. and J. Robinson, 1791.",London,456,male,1742,1811,FALSE,"mothers. They are assured, that they hall be accommodated with all requisite conveniences, and be treated with the utmost tenderness, until they return into public again with honour; and being afterwards well married, itfhall not at all be suspected by their loving husbands, that early chastity did not. enter into"
0680802600_000001,"The case between the proprietors of news-papers, and the subscribing coffee-men, fairly stated. Being remarks on their case lately publish'd. Wherein The False Pretences, Wild Project, and Groundless Complaints of that Insolent Set of Men, are duly Examined, properly Exposed, and thoroughly Consuted; And their Calumny of Abuses and Impositions justly Retorted. With a proposal for remedying the flagrant, scandalous, and growing impositions of the coffee-men upon the publick.",,60,0,1,0,0,0,8,1,0,1,2,3,0,2,4,0,0,1,5,0,1,0,0,0,1,0,3,6,1,1,3,0,2,6,2,0,2,0,0,0,0,0,0,1,2,0,1,1729,1,1,"London : printed for E. Smith, at the Royal Exchange; A. Dodd, without Temple-Bar; and N. Blandford, at Charing-Cross, [1729].",London,18,unknown,,,FALSE,"rhe C A. S E ./ between the.. of NEWS papers , AND THE Subscribing Coffee men, FAIRLY STATED. Being REM AR KS on their CASE Lately Published . W H E R EIN The FALSE Pretences, Wild Project, and Groundless Complaints of that Insolent Set of Men, are duly"
0509000202_000091,The spectator. ...,,42,0,0,1,0,0,2,2,2,2,1,1,0,3,0,0,2,0,2,0,1,0,0,0,0,1,1,1,3,4,0,0,0,1,1,0,2,2,0,0,0,0,1,1,3,0,2,1714,2,8,"London : printed for S. Buckley, at the Dolphin in Little-Britain; and J. Tonson at Shakespear's-Head, over-against Catherine-Street in the Strand, [1712-15] [1713].",London,488,unknown,,,FALSE,"Things with an ill Grace, they would go on to think that what in that cafe is only Ridiculous, in themselves is Impious. But leaving thisto theirown Re fiecions, I shall conclude this Trouble with  what Cefar said upon the Irregularity of Tone in one who read before him,"
1352300200_000039,"Irish racing calendar; containing an account of the plates, matches, and sweepstakes, run for in Ireland, in the year ... By Pat. Sharkey, proprietor of the Racing Calendar.","Turf Club (Dublin, Ireland)",41,2,0,1,0,2,3,1,0,0,2,0,1,0,5,2,0,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,5,3,0,0,1,4,0,0,0,0,1,1,0,0,0,1791,1,1,"Dublin [Ireland] : printed by J. Whitworth, no. 14, Exchange-street, and sold for the proprietor at said place, and at no 19, Anglesea Street, MDCC.XCI. [1790-",Dublin,292,unknown,,,FALSE,"of a squirretlm..fifter to friinette, Swhich ni. was the dari of' Ld. Cler nmont's Trumpator. * "". S. a.imnette, a bin. got by $agot, ilidi by Guiitavus, in foal to Chocolate . 9 Windlestraw, a b. m. got by Cho eolate, darh by Bagot, out of Lady Bountiful now 3"
1087400400_000078,"A voyage to Arabia folix Through the Eastern Ocean And the Streights of the Red-Sea, being the first made by the French in the years 1708, 1709 and 1710. Together with A Particular Account of a Journey from Mocha to Muab, or Mowahib, the Court of the King of Yaman, in their Second Expendition, in the Years 1711, 1712, and 1713. Also a narrative concerning the tree and fruit of coffee. Collected from the Observations of those who made the last Voyage; and an Historical Treatise of the Original and Progress of Coffee, both in Asia and Europe. Translated from the French. To which is added, an account of the captivity of Sir Henry Middleton at Mokha, by the Turks, in the year 1612; and his Journey from thence to Zenan, or Sanaa, the Capital of the Kingdom of Yaman, with some Additions, particularly relating to that Country and the Red-Sea.",Jean de la Roque,53,0,1,0,0,2,8,5,2,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,3,0,0,0,2,1,4,0,0,3,1,0,0,2,0,3,1,0,1,2,5,0,0,1742,1,1,"London : printed for James Hodges, at the Looking Glass over against St Magnus-Church London-Bridge, 1742.",London,399,male,1661,1745,FALSE,"very well to pals, in his House at the Foot of the Pont Notre Dame, where his Widow now lives. In fine, Stephen originally from Aleppo came also to Paris with the same Design, and was the lass of all those Foreigners. After but indifferent Beginnings, he kept his Coffeehouse"
0896900400_000077,"A voyage to Arabia Folix Through the Eastern Ocean and the Streights of the Red-Sea, being the first made by the French in the years 1708, 1709 and 1710. Together with A Particular Account of a Journey from Mocha to Muab, or Mowahib, the Court of the King of Yaman, in their Second Expedition, in the Years 1711, 1712, and 1713. Also a narrative concerning the tree and fruit of coffee. Collected from the Observations of those who made the last Voyage; and an Historical Treatise of the Original and Progress of Coffee, both in Asia and Europe. Translated from the French. To which is added, an account of the captivity of Sir Henry Middleton at Mokha, by the Turks, in the year 1612; and his Journey from thence to Zenan, or Sanaa, the Capital of the Kingdom of Yaman, with some Additions, particularly relating to that Country and the Red-Sea.",Jean de la Roque,51,0,1,0,0,2,7,5,2,2,0,0,1,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,2,1,4,0,0,1,1,0,0,2,0,2,1,0,1,2,7,0,0,1732,1,1,"London : printed for E. Symon, over-against the Royal-Exchange, in Cornhill, 1732.",London,394,male,1661,1745,FALSE,"Hand a Chafing difh made for the Purpose, upon which was a Coffeepot, and in the other a Kind of Fountain full Z of i... Water, and before !him a in basket, where he kept all. his Utensils. This Candiot had for a Companion in the same Trade, to carry"
0344500300_000009,"The life of Richard Nash, Esq; late master of the ceremonies at Bath. Extracted principally from his original papers.",Oliver Goldsmith,49,0,0,1,0,0,1,2,1,3,3,1,0,2,1,0,6,0,4,0,0,0,0,1,0,3,3,2,4,2,2,0,0,2,0,0,3,1,0,0,0,0,0,0,1,0,0,1762,1,1,"London : printed for J. Newbery; W. Frederick, at Bath; and G. Faulkener [sic], in Dublin, 1762.",London,247,male,1728,1774,TRUE,"art of procuring what they fought without diminishing the pleasure of others. The city of Bath, by such assiduity, soon became the theatre of summer amusements for all people of faflion; and the manner of spending the day there mut amuse any, but such as disease or spleen had made"
1727200103_000045,Bibliotheca topographica Britannica.,John Nichols,47,0,2,3,0,0,1,2,1,1,1,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,3,4,0,2,3,0,0,1,1,0,6,0,0,5,0,3,0,1,1,0,0,1780,3,8,"London : printed by and for John Nichols, 1780-1790.",London,1218,male,1745,1826,FALSE,"had been by his own generous donation, and also by what he procured it from his friends, a great benefactor to the library, died, and was ficceeded in his ministry by the pious and learned Mr. William Pendleton. About two years after his election to that office Mr. Oldfield resigned"
1230600403_000058,"Miscellaneous writings, in verse and prose, both Serious and Comical. Containing Twenty One excellent Poems upon very diverting Subjects. Also Several pleasant Letters upon various Occasions, both in Town and Country. With Merry Observations and Predictions upon every Month, and every Remarkable Day throughout the Year. By Mr. Edward Ward. Vol. III.",Ned Ward,45,1,0,1,1,0,1,4,1,0,2,1,1,0,0,1,4,0,0,0,0,0,0,1,0,0,9,3,3,0,0,0,0,1,0,0,4,2,0,0,1,0,0,1,1,1,0,1718,3,3,"London : printed by W. D. and sold by A. Bettesworth at the Red Lyon in Pater-Noster-Row, MDCCXVIII. [1718].",London,447,male,1667,1731,FALSE,"oer their Ninny Broth, and make it as facile a thing to take the French King by tle whisk ers, as it wvas for St. Duwnflz to take the Devil by the iofe with his confcicrated Forceps: If a divided Kingdom cannot fraud, sure England nmut be but in a"
0516200102_000092,The spectator. ...,,44,0,0,1,0,0,1,3,2,2,2,1,0,3,0,0,2,0,2,0,1,0,0,0,0,1,1,2,3,5,0,0,0,1,0,0,1,2,0,0,0,0,1,1,4,0,2,1750,2,8,"London : printed for J. and R. Tonson and S. Draper, [1750?].",London,349,unknown,,,FALSE,"they lately complainedcf, and I p ubliecd an account of, are so far fi-om being amended,  that new evils arise every day to interrupt their conversation , in contempt of my reproofs. My friend who. writes from the coffeehouse near the tnilet, informs me that the genteman who confiantly"
0063400700_000003,"The case of the coffee-men of London and Westminster. Or, an account of the impositions and abuses, put upon them and the whole Town, by the present set of news-writers. With The Scheme of The Coffee-Men, for setting up News-Papers of their own; And some Account of their Proceedings thereupon. By a coffee-man.",Coffee-man,72,0,0,0,0,0,9,4,0,0,2,0,0,1,2,0,2,1,1,0,0,1,0,1,0,0,7,19,4,1,0,0,3,5,2,0,0,0,0,0,0,0,0,0,2,1,4,1728,1,1,"London : printed by and for G. Smith, in Princess-Street, Spittlefields: and sold by J. Marshal at the Bible in Newgate-Street, [1728].",London,40,unknown,,,FALSE,"Stories they can throw in their Way. SUCH are the Arts and Methods practised by the present Set of News writers, to get Intelligence and fill up their Papers : And .iuch are the Impositions and Abuses they put upon the Public : Always excepting the Publishers by Authorit). By"
0587100101_000002,The spectator. ...,,33,2,1,3,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,3,0,1,2,1,0,3,0,0,1,2,0,1,1,3,0,0,0,0,1,1797,1,8,"London : printed by H. Baldwin; for Messrs. Longman, Dodsley, Law, Robson, Johnson, Nichols, Dilly, Robinson, Sewell, Baldwin, Faulder, Rivington, Otridge and Son, T. Payne, B. and J. White, Macqueen, Hookham and Carpenter, W. Lowndes, Wynn, Kay, Newbery, J. Edwards, Vernor and Hood, Anderson, Pote, Cadell and Davies, Murray and Highley, and Lee and Hurst, 1797.",London,488,unknown,,,FALSE,"Thirfday, March I, 1710-1i'. ivonfumum exfitlgore, fed exfumo dare lucem Cogital, utfpectofa dehinc miracula promat. hor. Ars Poet. ver. 143 One with a flash begins, and ends in smoke; Another out of smoke brings glorious light, And (without railing expe6tation high) Surprises us with dazzling miracles. ROSCOMMON. I HAVE observed,"
0552800802_000093,The spectator. ...,,43,0,0,1,0,0,1,2,2,1,2,1,0,3,0,0,2,0,2,0,1,0,0,0,0,1,1,1,3,5,0,0,0,1,1,0,2,2,0,0,0,0,1,1,4,0,2,1775,2,8,"London : printed for C. Bathurst; W. Strahan; J. Rivington; T. Davies; J. Hinton: L. Davis; T. Lowndes; Hawes, Clarke, and Collins; J. Dodsley; B. White; T. Longman; B. Law; S. Crowder; E. & C. Dilly; T. Caslon; J. Robson; W. Flexney; T. Becket; J. Johnson; W. Grissin; H. Baldwin; W. Nicoll; J. and T. Bowles; J. Knox; J. Ridley; R. Horsfield; G. Robinson; F. Newbery; T. Cadell; W. Otridge, and E. Johnston, MDCCLXXV. [1775].",London,497,unknown,,,FALSE,"servant,  Monday, N i48 Monday, August 20 - Exenptajuvat fpinis e pluribus una. HOR. Ep. 2 1 2 V 212 Better one thorn plucked out, than all remain. M Ycorrefpondentsaffureme that the enor. jmj mities which they lately complained of, and I published an account of, are so far"
0225700700_000019,"The history of Pompey the little. Or, the life and adventures of a lap-dog.","Coventry, Francis",37,1,0,1,1,0,1,2,0,1,2,0,3,0,0,0,0,2,1,2,0,1,0,0,0,0,2,0,1,0,0,2,0,1,0,0,1,3,1,0,1,0,1,1,1,4,0,1751,1,1,"Dublin : printed by George Faulkner, in Essex-Street, M,D,CC,LI. [1751].",Dublin,183,male,1725,1759,FALSE,"in a very serious Diipute on tihe Summonm Bonum, or C .es Good of Life; and both of them delivered t'; ir Senirent's vcrv gravely upon it; the one tvrntcr.ding foi an n'ulute Exclusion of all Plea fulc, sure, the other desirous only to intermix some Diversions with his philosophy."
0351900600_000012,"Yorick's skull; or, college oscitations. With some remarks on the writings of Sterne, and a specimen of the Shandean Stile. By the author of A monstrous good lounge.",Author of A monstrous good lounge,32,0,1,1,0,0,2,2,1,3,0,0,0,2,0,0,0,0,0,1,2,1,2,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,2,1777,1,1,"London : printed for J. Bew, in Paternoster-Row, MDCCLXXVII. [1777].",London,125,unknown,,,FALSE,"the year 1764 I must confers, I never thought there was much humour or grotesque imagery in any simple 0 catalogue ( 98) catalogue of names, before I saw this gentleman ready to split his fides with laughter at the perusal of them. A man of such an uncommoniy happy"
1116901200_000022,"The life of Mr. James Quin, comedian. With the history of the stage from his commencing actor to his retreat to Bath. Illustrated With many curious and interesting Anecdotes of several Persons of Distinction, Literature, and Gallantry. To which is added, A genuine and authentic Copy of his Last Will and Testament. Dedicated to David Garrick, Esq;",,36,1,0,0,0,1,1,2,2,1,2,2,2,0,1,0,0,0,1,0,0,1,0,0,1,1,1,2,1,2,2,1,0,1,0,0,2,0,0,0,0,0,2,0,1,2,0,1766,1,1,"London : printed for S. Bladon, in Pater-Noster-Row, MDCCLXVI. [1766].",London,120,unknown,,,FALSE,"ontinri'c: : i f' : ia six; till aboi)o t: nine; ll: e ""oip, puy tlhl'r i ri.tair i' tli L t j)oilp.i) ho fe, .'s.; Q \"" iu some to drink the hot waters, but more for pastime, as they are here amused by Pa band of music ,"
0085801100_000012,"Roach's London pocket pilot, or stranger's guide through the metropolis by the directions of which all the advantages of this great city are positively secured and every avoidable inconvenience & misfortune as positively prevented. Intended as a companion to The fortnight' ramble &c. In which the nobleman, Gentleman, Herclumt. Iradcoman, & Mechanic, will find necessary advice & admonilion and by the perusal of which mankind in general will be benefilled.","Roach, John           1796           fl. 1796",46,2,0,0,0,0,2,9,2,0,1,1,2,2,1,0,0,0,5,0,1,0,0,0,3,0,1,1,2,0,3,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1796,1,1,"London : printed by & for J. Roach Russell Court, [1796].",London,102,unknown,,,FALSE,"HOLY LAND's, SOMERSET, > Strand. TURK's HEAD, j NEW EXCHANGE,; HUNGERFORD. J SALOPIAN, baring Cos. CANNON, Chang ro. spring giar.de, opposite the Park Entransf. La ( 45) LE Coo's, parliament fireet. THE PRINCE OF WALES's, Condit i ree. BRAUND's HEAD, bond lfreet. RATHBONE PLACE COFFEEHOUSE . All there we mention"
0141800101_000192,"A collection of voyages and travels, consisting of authentic writers in our own tongue, which have not before been collected in English, or have only been abridged in other Collections. And continued with others of note, that have published histories, Voyages, Travels, Journals or Discoveries in other Nations and Languages, relating to any part of the continent of Asia, Africa, America, Europe, or the Islands thereof, from the earliest Account to the present Time. Digested according to the parts o the world, to which they particularly relate: with historical introductions to each account, where thought necessary, containing either the Lives of their Authors or what else could be discovered and was supposed capable of entertaining and informing the curious Reader. And with great variety of cuts, prospects, Ruins, Maps, and Charts. Compiled from the curious and valuable library of the late Earl of Oxford. Interspersed and illustrated with Notes, Containing. Either a General Account of the Discovery of those Countries, or an Abstract of their Histories, Government, Trade, Religion, &c. collected from Original Papers, Letters, Charters, Letters Patents, Acts of Parliament, &c. not to be met with, and proper to explain many obscure Passages in other Collections of this Kind. ...",,57,0,0,0,0,1,2,1,2,0,4,0,1,1,3,0,0,1,2,0,0,0,0,1,3,0,1,0,10,0,4,0,0,1,0,1,1,6,0,0,1,0,1,0,7,0,2,1745,1,2,"London : printed for and sold by Thomas Osborne of Gray's-Inn, MDCCXLV. [1745].",London,748,unknown,,,FALSE,"execution, or to pelt a villain in the pil perrons lory, the lass of which being an outragese in the that the government has ever seemed top ltord wink at; and it is observed by some, that the mob. the mob are pretty just upon these occasions; they seldom falling"
1088400102_000094,The spectator Volume the First.,,40,0,0,1,0,0,1,3,2,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,1,1,1,3,3,0,0,0,1,1,0,1,2,0,0,0,0,1,1,3,0,2,1755,2,8,"Dublin : printed for Peter Wilson, MDCCLV. [1755].",Dublin,350,unknown,,,FALSE,"h""': ie.'l sc""r'..c; bf. No. 148 _m'5day, Alg' 20 - Excrn: pa jvat /pinis e pli.: .: una. Hor. Ep. z. 1 2 2 1'2. Better one Thorn pl; uc' out, than all remaz; n. Y Correspondents afrure me that the enorin; r cs which they lately complained of, and"
