PassageID,Title,Author,Total termFreq,termFreq(appli),termFreq(art),termFreq(children),termFreq(cloth),termFreq(consumpt),termFreq(contriv),termFreq(cotton),termFreq(engin),termFreq(fabric),termFreq(hand),termFreq(improv),termFreq(invent),termFreq(iron),termFreq(labour),termFreq(machin),termFreq(machineri),termFreq(manner),termFreq(manufactur),termFreq(mechan),termFreq(method),termFreq(mill),termFreq(number),termFreq(oper),termFreq(patent),termFreq(peopl),termFreq(power),termFreq(present),termFreq(price),termFreq(proport),termFreq(quantiti),termFreq(raw),termFreq(silk),termFreq(skill),termFreq(steam),termFreq(us),termFreq(valu),termFreq(water),termFreq(wheel),termFreq(women),termFreq(wool),termFreq(woollen),termFreq(work),termFreq(workmen),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1667600300_000053,"A new and correct edition of the American geography; or, A view off the present situation of the United States of America: Containing Astronomical geography.-Geographical definitions, discovery, and general description of America and the United States:-Of their boundaries; mountains; lakes; bays and rivers; natural history; productions; population; government; agriculture; commerce; manufactures; and history.-A concise account of the war, and of the important events which have succeeded. With a particular description of Kentucky, the Western Territory, and Vermont.-Of their extent; civil divisions; chief towns; climates; ...; trade; character; constitutions; courts of justice; colleges; academies; religion; islands; Indians; literary and humane societies; springs; curiosities; histories; &c. To which is added an abridgment of the geography of the British, Spanish, French, and Dutch dominions in America and the West Indies.-Of Europe, Asia, and Africa. By Jedidiah Morse. Illustrated with two sheet maps-one of the southern, the other of the northern states-from the latest surveys-with five additional maps, not in any former edition-one of the world as known to the ancients-one of the world, with all the modern discoveries-one of Europe-one of Asia-and one of Africa.",Jedidiah Morse,62,1,0,1,2,0,1,1,1,0,0,6,3,3,0,6,1,1,2,2,0,3,1,0,1,3,2,1,0,1,0,0,1,0,0,5,0,5,0,1,0,1,5,1,1795,1,1,"Edinburgh : printed for R. Morison and son, booksellers, Perth; and Vernor and Hood, Birchin Lane, London, 1795.",Edinburgh,540,male,1761,1826,FALSE,"doubt, will encourage these men to improve the great natural powers which this country poi feilfs for carrying on the manufacturing buignefs. * The article referred to, ordains, that  The admiralty duties on the vefteis of the United States entering into, or going out of the ports of France,"
0553800400_000133,"The american geography; or, a view of the present situation of the United States of America. Containing astronomical geography; geographical definitions, discovery, and general description Of their Boundaries; Mountains; Lakes; Bays, and Rivers; Natural History; Production; Population; Government; Agriculture; Commerce; Manufactures; and History. - A concise account of the War, and of the important Events which have succeeded: A Particular Description of Kentucky, the Western Territory, the Territory South of Ohio, and Vermong: Of their Extent; Civil Divisions; Chief Towns; Climates; Soils; Trade; Character; Constitutions; Courts of Justice; Colleges; Academies; Religion; Islands; Indians; Literary and Humane Societies; Springs; Curiosities; Histories; Mines; Minerals; Military Strength, &c. With a view of the British, Spanish, French, Portuguese, and Dutch Dominions, on the Continent, and in the West Indies. By Jedidiah Morse, A.M.",Jedidiah Morse,63,2,1,3,0,0,0,5,0,1,2,3,3,1,2,2,0,0,7,2,0,1,3,1,0,4,2,0,1,1,1,3,2,0,0,4,0,0,0,2,3,1,0,0,1794,1,1,"London : printed for John Stockdale, Piccadilly, 1794.",London,656,male,1761,1826,FALSE,"general adoption in their mos improved ftatc, to the cotton , flaxen, hempen, metal, and part of the woollen and iiken branches, to all of nwhich raw materials they apply , the united states might, in a very few years, acquire a desirable degree of independency on British and other"
0791600100_000136,"The american geography; or, a view of the present situation of the United States of America: containing astronomical geography; geographical definitions, discovery, and general description Of their Boundaries; Mountains; Lakes; Bays, and Rivers; Natural History; Production; Population; Government; Agriculture; Commerce; Manufactures, and History. - A concise Account of the War, and of the important Events which have succeeded: A Particular Discription Of Kentucky, The Western Territory, The Territory South Of Ohio, And Vermont: Of their Extent; Civil Divisions; Chief Towns; Climates; Soils; Trade; Character; Constitutions; Courts of Justice; Colleges; Academies; Religion; Islands; Indians; Literary and Humane Societies; Springs; Curiosities; Histories; Mines; Minerals; Military Strength, &c. With A View Of The British, Spanish, French, Portuguese, And Dutch Dominions, ON The Continent, And In The West Indies, And Of Europe, Asia, And Africa. By Jedidiah Morse, A.M.",Jedidiah Morse,63,1,1,4,0,0,0,5,0,1,0,3,3,1,1,2,0,0,7,2,0,1,3,1,0,3,2,1,1,1,1,3,2,0,0,5,0,0,0,2,3,1,2,0,1794,1,1,"London : printed for John Stockdale, Piccadilly, 1794.",London,759,male,1761,1826,FALSE,"he wilies for a more particular account of our iiniaulfacttrles than is lihee givcn. thlcy arc my principal authorities for what follows. + - But it las beenl proved by some of the most rcfpcitlable chlara.tcrs in annch.fter, that nothing canm i lrrr prejudicial to tlhe hea lthi andl morals"
0551403300_000004,"Prospectus of the Royal Institution of Great Britain, incorporated by charter MDCCC. Patron, the King. With a copy of the charter, and a list of the subscribers.",Royal Institution of Great Britain,76,2,8,0,2,1,0,0,7,1,0,5,1,0,2,2,0,1,3,6,1,2,1,8,0,0,6,4,0,0,0,1,0,0,2,5,1,2,0,0,0,0,2,0,1800,1,1,"London : printed for the Royal Institution, by W. Bulmer and Co. Cleveland-Row, St. James's. And sold by Cadell and Davies, Strand; Beckett, Pall-Mall; Payne, Mew's-Gate; Debrett, Stock-Dale, Wright, and Hatchard, Piccadilly; Robson, Faulder, and Hookham, Bond-Street; White, Fleetstreet; Rivingtons, St. Paul's Church-Yard; and Vernor and Hood, Poultry, 1800].",London,69,unknown,,,FALSE,"the seasons, the attacks of ferocious animals, and the still more pernicious operations and influence of vice in his fellow-creatures, are the inevitable decrees of Providence! he must be nourished; he must be clothed ; houses, towns, fortresses, roads, canals, carriages, ships, instruments of manufacture , weapons of offence and"
1115600105_000571,"Encyclopaedia; or, A dictionary of arts, sciences, and miscellaneous literature ... Compiled from the writings of the best authors, in several languages ... Illustrated with five hundred and forty-two copperplates. ...",,74,1,0,1,0,0,2,10,3,0,4,4,6,0,0,8,4,0,2,1,4,6,1,1,3,0,2,0,0,0,0,0,0,0,0,1,0,5,1,1,0,0,3,0,1798,5,18,"Philadelphia : Printed by Thomas Dobson, at the stone house, no 41, South Second Street, M.DCC.XCVIII. [1798] (Copy-right secured according to law).",Philadelphia,841,unknown,,,FALSE,"At length, about the year 17'57, Mr James Hargrave, a weaver in the neighbourhood of Blackburn in lanca(hire, constructed a machine by which a great nunlberof threads (from 20 to 80) might be spun at once, and for which he obtained his Majesty's letters- patent . This machine is called"
1009001000_000004,"Prospectus of the Royal Institution of Great Britain, incorporated by charter MDCCC. Patron, The King. With a copy of the charter, and a list of the subscribers.",Royal Institution of Great Britain,75,2,8,0,2,1,0,0,7,1,0,5,1,0,2,2,0,1,3,6,1,2,1,8,0,0,5,4,0,0,0,1,0,0,2,5,1,2,0,0,0,0,2,0,1800,1,1,"London : printed for the Royal Institution, by W. Bulmer and Co. Cleveland-Row, St. James's, and sold by Cadell and Davies, Strand; Beckett, Pall-Mall; Payne, Mew's-Gate; Debrett, Stockdale, Wright, and Hatchard, Piccadilly; Robson, Faulder, and Hookham, Bond-Street; White, Fleet-Street; Rivingtons, St. Paul's Church-Yard; and Vernor and Hood, Poultry, 1800?].",London,69,unknown,,,FALSE,"food, and defend himself from the inclemencies of the seasons, the attacks of ferocious animals, and the still more pernicious operations and influence of vice in his fellow-creatures, are the inevitable decrees of Providence! he must be nourished; he must be clothed ; houses, towns, fortresses, roads, canals, carriages, ships,"
0497700101_000295,"Travels during the years 1787, 1788, & 1789; undertaken more particularly with a view of ascertaining the cultivation, wealth, resources, and national prosperity of the kingdom of France. The second edition. ... . By Arthur Young, Esq. F.R.S. Secretary to the Board of Agriculture; Honorary Member of the Societies of Dublin, Bath, York, Salford, Odiham, and Kent; the Philosophical and Literary Society of Manchester; the Veterinary College of London; the Oeconomical Society of Berne; the Physical Society of Zurich; the Palatine Academy of Agriculture at Manheim; the Imperial Oeconomical society Established at Petersburgh; the Royal and Electoral Oeconomical Society of Celle; Associate of the Royal society of Agriculture at Paris; and Corresponding Member of the Royal Academy of Agriculture at Florence; and or the Patriotic Society at Milan.",Arthur Young,72,0,0,0,2,0,0,4,2,12,2,0,0,4,3,1,1,0,2,0,0,4,1,0,0,0,0,1,6,1,0,3,5,0,1,0,2,0,0,0,8,3,4,0,1794,1,2,"London : printed for W. Richardson, Royal-Exchange, 1794.",London|Bury St. Edmunds.,639,male,1741,1820,TRUE,"from Persia The finest cloth he makes of common wool , unmixed, is of Spanish, at 6 LIV 4js the lb. and the price 33 LIV the auln, ths broad. Raye en foie marbre ths broad, 32 LIV Caftorine rayed en oie, same price and breadth. Of all these curious"
0817000400_000005,"Reflections on various subjects relating to arts and commerce: particularly, the consequences of admitting foreign artists on easier terms.","Parrott, Richard",85,0,4,0,1,1,0,1,6,1,9,2,6,1,4,8,0,2,0,2,2,6,6,0,2,1,1,1,2,2,2,0,0,0,0,6,0,2,1,0,0,0,2,1,1752,1,1,"London : printed for George Woodfall, at the King's-Arms, Charing-Cross; and C. Corbett in Fleet-Street, 1752.",London,92,unknown,,,FALSE,"which invents compendious Methods of performing the old ones; and new Employments call for new Hands . The more ingenious Nation will likewise stand the best Chance to gain the whole Market; for betides that, Machines generally do the Work truer and better than the Hand , the Labour saved"
0299402900_000025,"A developement of the views and designs of the French nation, And the Advantages which will derive to them, if they should be able, by a Peace, or otherwise, to secure to themselves the free navigation of the rivers Rhine, Meuse, and Scheldt; To which it is their long avowed Intention and Design, to join many of their numerous navigable Rivers and Canals, and thereby, at all Times, secure to themselves, a safe and speedy Conveyance of their various Productions, Manufactures and Commerce, from the most interior Parts of the Kingdom, to the above Rivers; and from thence to the Centre of Germany, Holland, and the Netherlands; and from the Mediterranean Sea to the Bay of Biscay, to the British Channel, and to the North Sea, and thereby to monopolize the whole Trade of almost all the northren Part of Europe; and particularly to the Exclusion of the Trade and Manufacturers of Great Britain.",,53,0,3,1,3,1,0,3,1,0,1,0,2,1,1,2,0,0,8,1,0,2,2,0,0,2,0,1,0,0,0,1,7,0,0,2,1,1,0,1,3,1,0,1,1796,1,1,"London : printed by J. Barfield, No. 81, Wardour-Street; and sold by Mr. Stockdale, Piccadilly, Mr. Richardson, Royal Exchange. And by Mr. Byrne, Grafton-Street, Dublin, April, 1796.",London,248,unknown,,,FALSE,"imports of corn, prior to the unfortunate revolution. This statement thews that France, by the nature of the soil and its produfions, has manufactures 197) manufactures not peculiar to England -- industry has promoted others, as those of lace, cambrics, lawns, chut in these which are the most flourishing, and"
0498400102_000173,"The state of the poor: or, an history of the labouring classes in England, from the conquest to the present period; ... together with parochial reports ... With a large appendix; ... By Sir Frederic Morton Eden, Bart. In three volumes. ...","Sir Frederick Eden, 2nd Baronet",69,1,0,6,0,0,0,9,2,0,3,1,0,0,2,3,2,1,2,0,0,2,3,0,1,1,2,2,2,1,0,2,0,0,0,0,0,4,1,6,3,2,5,0,1797,2,3,"London : printed by J. Davis, for B. & J. White; G. G. & J. Robinson; T. Payne; R. Faulder; T. Egerton; J. Debrett; and D. Bremner, 1797.",London,698,male,1766,1809,FALSE,"confunption of fluffs 2; the, Eastern Tour, II 79  The woollen manufaurc, considering all it's branches,, is,, no doubt, a more: important national concern than the cott6n maniuf; hure. It wild seem, however, that the cottons of Manchetcr create more employment than the Norwich fltuff. The general languor of"
1696801100_000003,"The contrast: Or, A comparison between our woollen, linen, cotton, and silk manufactures: shewing the utility of each, both in a national and commercial view; whereby the true importance of the fleece, the first and great staple of our land, will appear evident; the effect that must naturally arise from the system we now pursue, and the consequences we may rationally hope for from a contrary policy: together with such facts and remarks as may claim the attention of every Englishman, who is a friend to the freedom and prosperity of his country.","Moore, Francis, of Cheapside",83,0,0,0,1,2,0,9,2,0,0,1,1,0,2,0,0,0,5,1,0,2,0,0,0,2,0,2,2,0,4,7,10,0,0,9,2,0,0,1,11,6,0,1,1782,1,1,"London : Printed for J. Buckland, in Paternoster-Row; Seagood, No. 81, Queen-street, Cheapside; and W. Robson, New Bond-street, MDCCLXXXII. [1782].",London,52,unknown,,,FALSE,"the raw material. Now let us confider the labour bestowed upon it. To find the value , let us dedu& the cost of the raw material from the goods when manufatured and fit for sale. Suppose then we put down the Cotton Wool at 2s. 3d. instead of the present"
1741500105_000572,"Encyclopædia Britannica; or, a dictionary of arts, sciences, and miscellaneous literature; ... The third edition, in eighteen volumes, greatly improved. Illustrated with five hundred and forty-two copperplates. ...",,72,0,0,2,0,0,0,15,1,0,4,4,3,0,1,6,4,0,3,1,0,6,1,0,0,0,3,0,0,0,3,4,0,0,0,1,1,3,0,2,2,0,2,0,1797,5,20,"Edinburgh : printed for A. Bell and C. Macfarquhar, 1797.",Edinburgh,810,unknown,,,FALSE,"of twist or warp yam in the minute. Other machines have been invented at different times, and a variety of improvements made by different mechanics and manufaturers; one of which in particular we mull not omit to mention. It is called a Mule, being a kind of mixtureof machinery between"
1267700202_000181,"The historical, biographical, literary, and scientific magazine. The history of Europe, for the year 1799. With an obituary and biographical sketches of persons deceased in that year, &c. &c. By Robert Bisset, LL.D. With the assistance of other literary gentlemen. ...",Robert Bisset,84,4,0,0,0,0,1,0,11,0,0,7,4,0,1,5,1,1,0,3,1,1,0,1,2,0,5,0,1,1,1,0,0,0,11,7,0,6,6,0,1,0,2,0,1800,2,3,"London : printed and published by G. Cawthorn , British Library, NO. 132, Strand, Bookseller To Her Royal Highness The Princess Of Wales : sold also by Messrs. Richardson , Royal-Exchange ; H. D. Symonds, J. Wallis, West and Hughes , Paternoster-Row ; J. Wright , Piccadilly ; P. Hill, Edinburgh; and all the booksellers in town and country, [1800?].",London,446,male,1759,1805,FALSE,"of wheels . He conceives that a perpetual motion may be effieted by it, and that wheel carriages, ships, c. may be moved forward by its varied ap lication. PUMPS FOR. RAISING WATER BY AN appa.tatus MOVING THZ PISTON rod, BY W. Lander, of Mese, Wiltshire, a B: ass founder."
0168200101_000022,Memoirs of the literary and philosophical society of Manchester.,Cadell & Davies,58,3,7,0,1,0,0,4,1,1,0,8,5,0,1,5,0,0,2,4,0,2,0,0,1,0,3,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,1785,1,5,"Warrington [England] : printed by W. Eyres, for T. Cadel in the Strand, London, MDCCLXXXV. [1785]-",Warrington|Manchester.,510,unknown,,,FALSE,"carried on there, of which a mechanic at Manchester, even in the same line, is entirely ignorant? There are, it is probable, in every inanufalure, I had almost almost said, in every place, some peculiar, and local improvement , which has never yet been extended, beyond the vicinity, where it"
0915200500_000052,"The american geography; or, a view of the present situation of the United States of America: containing astronomical geography. - geographical definitions, discovery, and general description of America and the United States:-Of their Boundaries; Mountains; Lakes; Bays and Rivers; Natural History; Productions; Population; Government; Agriculture; Commerce; Manufactures; and History. - A Concise Account of the War, and of the important Events which have succeeded. With A Particular Description Of AtKentucky, The Western Territory, and Vermont. - Of their Extent; Civil Divisions; Chief Towns; Climates; Soils; Trade; Character; Constitutions; Courts of Justice; Colleges; Academies; Religion; Islands; Indians; Literary and Humane Societies; Springs; Curiosities; Histories; &c. To Which IS Added, An Abridgment of the Geography of the British, Spanish, French, and Dutch Dominions in America and the West-Indies. - Of Europe, Asia, and Africa. By Jedidiah Morse. Illustrated with two sheet maps - One Of At The Southern, The Other Of At The Northern States. - From The Latest Surveys.",Jedidiah Morse,50,1,0,0,2,0,1,3,1,2,1,1,1,2,0,3,0,1,2,0,0,3,0,0,1,1,3,0,0,0,0,1,1,0,0,3,3,5,0,0,1,2,4,1,1792,1,1,"London : printed for John Stockdale, Piccadilly, MDCCXCII. [1792].",London,553,male,1761,1826,FALSE,"other seeds, flour, trees and shrubs, pot and pearl afhes, (kins, and fur of beaver, raw hides, furs and peltry, and timber carried from the United States to France in French or American bottoms, are fubje to a duty of one eighth percent. on their value . Vessels, proved to"
1347300300_000062,"General view of the agriculture of the county of Stafford: With observations on the means of its improvement. Drawn up for the consideration of the Board of Agriculture and Internal Improvement, By W. Pitt, of Pendeford, near Wolverhampton; with the additional remarks of several respectable gentlemen and farmers in the county.","Pitt, William",63,0,0,1,4,2,0,2,1,0,3,1,0,1,1,0,1,0,21,0,0,0,3,0,0,1,0,1,1,1,1,2,4,0,1,0,3,0,0,1,2,3,1,0,1796,1,1,"London : Printed for G. Nicol, Pall-Mall, bookseller to His Majesty, and to the Board of Agriculture; and sold by Messrs. Robinson, Paternoster-Row; J. Sewell, Cornhill; Cadell and Davies, Strand; William Creech, Edinburgh; and John Archer; Dublin, 1796.",London,278,male,1749,1823,FALSE,"nails in Staffordshire is very extensive, employing many thousands of hands in some of the most populous country parishes, particularly Sedgeley, Rowley, Westbromwich, Smethwcich, Wombourne, Pelsall, the So reign of Walsall, and many other places. A great number of women and children , as well as men, are employed in"
0026203001_000102,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, ... In three volumes. ...",Adam Smith,90,0,1,0,1,1,0,0,0,0,1,6,1,0,10,2,1,3,9,0,0,2,2,1,0,4,2,4,9,7,8,0,0,0,0,4,2,2,1,0,0,2,4,0,1776,1,3,"Dublin : printed for Messrs. Whitestone, Chamberlaine, W. Watson, Potts, S. Watson [and 15 others in Dublin], 1776.",Dublin,396,male,1723,1790,TRUE,"is said to nave been Queen Elizabeth. She received them as a present from the Spanish ambassador. BOTH in the coarse and in the fine woollen manufacture , the machinery employed was much more imperfect in those ancient, than it is in the present times. It has since received three"
0397601200_000015,A brief examination of Lord Sheffield's Observations on the commerce of the United States. In seven numbers. With two supplementary notes on American manufactures.,Tench Coxe,55,1,0,0,2,2,0,3,0,1,0,1,0,0,4,3,1,0,11,0,0,3,0,1,0,2,0,1,1,0,4,1,1,1,0,3,3,0,0,0,2,2,1,0,1792,1,1,"[London] : Philadelphia printed: London reprinted, and sold by J. Phillips, George-Yard, Lombard-Street; and sold also by J. Rackham, Bury, M,DCC,XCII. [1792].",London,139,male,1755,1824,FALSE,"average exports of several years immediately antecedent to the war, though our population has probably doubled in the last twenty-five years. It is not improbable, however, that the great quantities of goods shipped since 1789, in consequence of the jealousy of American manufactures , the apprehensions of a rupture with"
