PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(baron),termFreq(bodi),termFreq(bond),termFreq(children),termFreq(common),termFreq(court),termFreq(daughter),termFreq(death),termFreq(debt),termFreq(declar),termFreq(deed),termFreq(defend),termFreq(dower),termFreq(estat),termFreq(executor),termFreq(father),termFreq(feme),termFreq(fine),termFreq(god),termFreq(grant),termFreq(hall),termFreq(heir),termFreq(hous),termFreq(husband),termFreq(know),termFreq(land),termFreq(law),termFreq(leas),termFreq(life),termFreq(live),termFreq(love),termFreq(marri),termFreq(marriag),termFreq(monei),termFreq(parti),termFreq(person),termFreq(power),termFreq(reason),termFreq(receiv),termFreq(rent),termFreq(tenant),termFreq(term),termFreq(widow),termFreq(wife),termFreq(wive),termFreq(woman),termFreq(women),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0995001300_000022,"A treatise of feme coverts: or, the lady's law. Containing all the laws and statutes relating to women, ...",,129,0,2,0,3,0,2,3,0,1,2,0,1,2,0,3,8,0,8,0,0,0,3,1,2,29,0,2,3,0,2,1,0,8,6,1,0,2,2,1,2,3,0,2,1,15,0,7,1,0,1732,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for B. Lintot, and sold by H. Lintot, 1732.",London,290,unknown,,,FALSE,"grew only after the Death of the Husband , it being thit his Heirs , Executors or Administrators should p; y the Wife oo5001. if fle survived her Husband , which she did, and the Bond remains good to the Wife . Cro. Jac. .72. In Consideration that the Plaintiff"
1281600109_000096,"Modern reports: or select cases, adjudged in the courts of King's Bench, Chancery, Common Pleas and Exchequer, ... In twelve volumes. ...",Thomas Leach,113,0,2,0,0,3,7,4,0,0,4,2,4,0,2,9,7,1,0,3,0,0,5,9,0,2,0,7,7,2,3,0,0,3,4,0,1,4,0,1,1,2,4,4,0,4,0,1,0,1,1794,9,12,"Dublin : printed for Eliz. Lynch, and Luke White, 1794.",Dublin,217,male,1746,1818,FALSE,"it was infified that it was good for the looo years as a term in gross: but it was decreed to le a term attending on the inheritance by implication of law , c. Page 124, i25 contradicory clauses in a will shall be so expounded as to make all"
0283800100_000134,Baron and feme. A treatise of the common law concerning husbands and wives. ...,,142,0,20,0,2,0,3,0,0,1,5,9,3,0,1,11,0,0,28,3,0,2,2,0,0,12,1,2,2,2,1,0,0,0,2,0,1,1,0,0,1,1,8,0,2,12,1,2,0,1,1719,1,1,"[London] : In the Savoy: printed by Eliz. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for John Walthoe, 1719.",London,492,unknown,,,FALSE,"Baron and Feme shall join in Challenge 364 lbjattels. Chattels Real, Mixed, Personal ; and what Efaate the Baron gains in them by the Intermarriage of his Wife s8, 9 Chores in asis, what Estates the Baron gains in them by his Intermarriage 24s T4emmiffionerg Commissioner. Commifioners taking a Fine"
0675700200_000082,"Baron and Feme. A treatise of law and equity, concerning husbands and wives. ...",,94,0,3,0,3,0,1,1,0,1,1,0,0,5,2,3,2,0,2,0,0,3,2,0,0,7,0,4,2,3,5,5,0,2,0,1,1,1,1,0,0,4,1,0,6,17,1,2,0,2,1738,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for T. Waller, 1738.",London,551,unknown,,,FALSE,"conceir feifinann, Hlbendumt to : amed aft' Baron and Feme ; this is a good Grant to the de 3aben dnlm, the vyife, though ehebe named after the ihabendum, Grant isgaod. n.: d the Wife by these Words taies a present Efiate with the Baron , which fle cannot do"
0995001300_000016,"A treatise of feme coverts: or, the lady's law. Containing all the laws and statutes relating to women, ...",,151,0,5,1,1,0,0,0,4,3,0,0,0,0,0,5,5,0,9,0,0,4,3,5,0,29,0,8,6,3,2,2,0,5,2,4,0,1,0,1,6,2,6,4,0,23,0,2,0,0,1732,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for B. Lintot, and sold by H. Lintot, 1732.",London,290,unknown,,,FALSE,"or if fly finds Goods, and after marries , the Action of Detinue must be brought against both Husband and Wife . Co. Lit. 351 If the Wife have Goods, and take an Husband , the Husband dies, the Executors of the Husband shall have the Goods. And where the"
0470600103_000195,"Reports of cases argued and determined in the High Court of Chancery, and of some special cases adjudged in the Court of King's Bench: collected by William Peere Williams, Late of Gray's Inn, Esq. Published, with Notes and References, and Two Tables to each Volume; one of the Names of the Cases, the other of the Principal Matters: By his Son William Peere Williams, of the Inner Temple, Esq. The fifth edition, with additional references to the Proceedings in the Court, and to later Cases, by Samuel Compton Cox, Of Lincoln's Inn, Esq. In three volumes. ...",William Peere Williams,112,1,1,0,3,0,1,3,0,2,4,0,0,3,1,1,3,0,3,2,0,2,0,1,0,16,0,4,1,3,0,5,0,3,2,6,3,2,0,0,3,2,4,0,0,24,0,3,0,0,1793,3,3,"London : printed by A. Strahan and W. Woodfall, Law-Printers to the King's Most Excellent Majesty; for E. and R. Brooke, in Bell-Yard, near Temple-Bar, MDCCXCIII. [1793].",London,516,male,1664,1736,FALSE,"his extended on an legit, the husband tenancy by the courtesy cn leaving his niife wife and living in adultery, as a nife forfeits her dower by elopement. Page z76 in huflband voluntarily, and after marriage , allows the wife , for her separate ule, to make profits of all"
0997100101_000044,"The accomplish'd conveyancer. Containing the nature and kinds of deeds and instruments used in conveyancing: and an abridgment of the law relating to all sorts of conveyances of estates, with every Thing belonging to them; proved by many Law Cases and Resolutions thereupon. And also All Manner of Precedents made Use of in Conveyancing, under the Heads of Bargain and Sale, Gifts, Grants, Articles, Special Conditions, Covenants, Exchanges, Deeds of Partition, Partnerships, Special Releases, Letters of Attorney, Licences, Bills of Sale, Charter-Parties of Affreightment, Leases, Settlements of Leases; and also of personal Estates, Annuities, Money in Funds, &c. instead of Jointures of Lands, &c. The second edition, corrected; with additions. By Giles Jacob, Gent. In three volumes.",Giles Jacob,125,0,1,1,2,0,0,0,0,6,0,1,0,0,12,7,0,2,1,4,0,2,1,2,0,12,0,8,1,8,11,3,0,3,10,0,0,2,0,0,0,1,1,3,1,15,1,2,0,1,1750,1,3,"[London] : In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty, for Dan. Browne, at the Black Swan without Temple-Bar; and John Shuckburgh at the Sun, next the Inner-Temple-Gate, Fleet-Street, 1750.",London,556,male,1686,1744,FALSE,"several Ways, viz. by Lease and Release, Fine and Recovery, covenant to fiand seifed to Uses, ec. And when a Settlement is made on Marriage , the Law is very careful to see it observed; particularly that part of it which relates to the Jointure of the Wife , fettled"
0977900102_000277,"Cases argued and adjudged in the High Court of Chancery. Published from the Manuscripts of Thomas Vernon, Late of the Middle Temple, Esq; By order of the High Court of Chancery. Vol. I.","Vernon, Thomas",131,1,1,3,0,0,1,3,1,3,5,0,1,1,1,10,4,0,2,2,0,0,0,7,0,18,0,6,0,0,7,0,0,3,3,4,0,3,3,0,1,2,0,2,3,26,0,4,0,0,1726,2,2,"Dublin : printed by J. Watts, and sold opposite the Watch-House, on the North-Side of College-Green, MDCCXXVI [1726].",Dublin,959,male,1654,1721,FALSE,"Wife's Part ing, and the Terms thereof elbl.ilihcd by a Decree. 386 A. on the L arriage of his Son B. settles Lands to the Use of B. for Life , Remainder to the Wife for Life , Remainder to the Heirs of their ttwo Bodies , Remainder to 13"
0501700300_000106,"[A general abridgment of law and equity alphabetically digested under proper titles with notes and references to the whole. By Charles Viner, Esq;].",Charles Viner,99,0,5,0,2,0,0,1,1,1,2,0,2,1,3,3,2,2,5,2,0,0,2,1,0,11,0,3,2,12,3,3,0,0,1,2,1,2,0,0,2,6,0,1,0,14,0,0,0,1,1748,1,1,"[Aldershot in Hampshire near Farnham in Surry : printed for the author, by agreement with the law patentees, and are to be sold by George Strahan in Cornhill; or may be had of the author at his chambers; or, in his absence, of William Reason, in Flower-de-Luce-Court in Fleet-Street, London, 1748].",Aldershot,606,male,1678,1756,FALSE,"paid her Brus band s Debts , and so discharged him out of prijon. Afterwards he assigned all his real Securities of Land and Money , and all his personal Etate to his Daughters Husbands , and made them his Attorneys to sue for c. the same, and the Trustees"
0232700102_000186,"A digest of the laws of England. By the Right Honourable Sir John Comyns, Knt. Late Lord Chief Baron of His Majesty's Court of Exchequer. The fourth edition, considerably enlarged, and continued down to the present time, by Stewart Kyd, Barrister at Law, of the Middle Temple, Esq. In six volumes. ...",Stewart Kyd,119,0,1,0,3,3,0,0,2,5,2,2,2,0,0,2,4,0,0,1,0,0,4,1,0,15,0,6,0,5,2,2,0,4,11,4,1,0,1,0,1,0,2,6,1,22,2,2,0,0,1793,2,6,"Dublin : Luke White, 1793.",Dublin,757,male,,1811,FALSE,"the contingency afterwards happens. 2 P. W. (jos.) Yide a.4ignmen, ma (2 H.) [But if there is a proviso in marriage articles, that if there is no issue, then the portion, and all sums given the wife during the marriage , mall be enjoyed by the husband , his executors"
0120300101_000048,"The accomplish'd conveyancer. Containing, the nature and kinds of deeds and instruments used in conveyancing: and an abridgment of the law relating to all sorts of conveyances and deeds in general, ... By Giles Jacob, ...",Giles Jacob,136,1,1,1,2,0,0,0,1,5,2,2,0,0,15,8,0,2,1,5,0,1,4,2,0,15,0,9,2,2,9,4,0,3,13,0,1,1,0,0,0,0,0,4,0,13,1,6,0,0,1714,1,3,"[London] : In the Savoy: printed by J. Nutt, assignee of Edward Sayer Esq; for B. Lintott, 1714-15.",London,519,male,1686,1744,FALSE,"Settle. LJ upon Marriages the Estate is usually fettled ments. upon the Husband for Life , to the Wife for Join. ture, and to their Issue in Remainder, c. with Leases therein to Trustees for Terms of Years, to raise Daughters Portions for Payment of Deb's, with Leases for Lives"
0995001300_000045,"A treatise of feme coverts: or, the lady's law. Containing all the laws and statutes relating to women, ...",,149,0,10,1,1,0,0,1,2,3,0,0,0,0,0,1,4,0,12,1,0,6,0,3,0,15,0,11,4,14,6,7,0,2,2,0,0,1,1,0,1,7,3,9,2,19,0,0,0,0,1732,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for B. Lintot, and sold by H. Lintot, 1732.",London,290,unknown,,,FALSE,"Lease for Years, reserving Rent , and then the Wife dies, the lushand likewise dying before the End of the Term ; this Lease is void and ended in the Law , before any Entry of the next Heir of the Wife ; forasmuch as he cannot make this goodbye"
1066300400_000032,"The common law common-plac'd: containing, the substance and effect of all the common law cases, ... collected as well from abridgments as reports, in a perfect new method. ... The second edition, with very large additions. By Giles Jacob, Gent.",Giles Jacob,135,1,6,0,2,0,2,2,0,4,3,0,1,0,1,0,4,0,16,3,0,1,1,2,0,24,0,6,1,4,2,1,0,3,3,0,1,1,0,0,0,5,0,4,0,27,0,3,0,1,1733,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for F. Clay; and H. Lintot, 1733.",London,413,male,1686,1744,FALSE,"Wife with Rent , cit will not bind her, if ihe survives him. Danv. Abr. If Baron and Feme are Jointenants; or a Man hath a Term in 702 Right of his Wife , he may grant over the whole. The Husband furvi Nelr. Abr. ving, Shall enjoy the Wife's"
0173200300_000170,"A new law-dictionary: containing the interpretation and definition of words and terms used in the law; as also the law and practice, Under The Proper Heads and Titles: together with such learning as explains the history and antiquity of the law; our Manners, Customs, and Original Government. Collected and Abstracted from All Dictionaries, Abridgments, Institutes, Commentaries, Reports, Year-Books, Charters, Registers, Chronicles, and Histories, Published to this Time. Adapted to the Use of Barristers, Students and Practisers of the Law, Members of Parliament, Justices of Peace, Clergymen, and other Gentlemen, &c. The tenth edition. With great additions and improvements, from the latest Reports and Statutes to this Time. Also many New Titles, not in any other Work of the Kind. Originally compiled by Giles Jacob. Now corrected and greatly enlarged by Owen Ruffhead and J. Morgan, Esquires.",Giles Jacob,125,2,5,0,3,2,0,4,0,1,1,0,4,0,0,4,0,0,9,0,0,1,1,1,0,17,0,3,5,3,0,0,0,9,25,1,1,2,2,1,1,1,1,0,4,9,0,2,0,0,1773,1,1,"Dublin : printed for James Williams, at No. 5. in Skinner-Row, M,DCC,LXXIII. [1773].",Dublin,975,male,1686,1744,FALSE,"If a man takes A. S. to wite, per direfs, though marriage be solemnised in fade ecrleif, yet it is merely void; and they are not baron and feme , because there is nor any consent; and it cannot be a marriage without consent. I Roll. Abr. 340 II Ao"
0836700201_000581,"A new and complete law-dictionary, or general abridgment of the law, on a more extensive plan than any law-dictionary hitherto published: ... By T. Cunningham, Esq; The second edition, corrected. In two volumes. ...",Timothy Cunningham,114,0,13,0,2,0,0,1,0,7,1,1,0,0,5,1,2,1,8,1,0,1,1,3,0,12,0,8,2,5,1,0,0,3,2,1,0,1,0,0,2,4,3,1,0,21,0,0,0,0,1771,1,2,"London : printed by his Majesty's law printers, for W. Flexney; G. Kearsly; J. and F. Rivington; T. Longman and Robinson and Roberts, 1771.",London,896,male,,1789,FALSE,"the courtreaid'tthateii did nor; : f it, I's a lrvive if the huffhand outlives' the wife , he shall' nave hing in aaion, and' thereforb the plea is riot goboid Sty the benefit of it; and if the wife outlives the htriit 205..., i ftethall have the benefit of it;"
1064500103_000858,"A compleat body of conveyancing, in theory and practice. In two parts. Part I. Contains the Theory; wherein the various Ways and Methods of Acquiring, Forfeiting, Conveying, Limiting and Settling all Kinds of Estates, as well Real as Personal; and also the Nature, different Forms, Parts, Operations and Effects of all Kinds of Deeds and Common Assurances, Fines and Recoveries, are fully treated of. Part II. (in Two Volumes) Contains the Practice: Or, Precedents of Feoffments, Grants, Bargains and Sale, Leases, Releases, Declarations and Limitations of Uses and Trusts, Marriage Settlements, and Private Acts of Parliament, (made for Settling the most considerable Estates in Great Britain and Ireland;) Mortgages, Leases, Assignments, Deeds of Charter-Party and Copartnership, Bills, Bonds, Releases, Letters of Attorney, &c. Deeds for securing Annuities, &c. and of Bank, East-India, South-Sea Stocks, and other Public Funds; and in General all Deeds and Instruments any Ways requisite in Mercantile, Maritime and Plantation Affairs. With Observations and Opinions of the most Eminent Conveyancers. Selected from many Thousand Manuscript Precedents. The Whole digested in a Method intirely new, avoiding all Repetitions, and containing a greater Variety of Useful Precedents than all other Books upon the same Subject now extant. By Edward Wood, gent. deceased. The second edition, greatly improved in the Theory by the Addition of References to the latest Books of Authority; and in the Practical Part, by the Favour of a large Number of Original Manuscript Precedents. By able hands. In three volumes.","Wood, Edward, conveyancer",116,0,0,0,2,2,0,4,1,3,1,11,6,0,0,7,3,2,1,1,0,5,0,2,0,4,0,2,1,7,3,4,0,0,1,7,1,5,1,0,0,1,4,15,1,7,0,0,0,1,1762,3,3,"London : printed by H. Woodfall and W. Strahan, Law-Printers to the King's Most Excellent Majesty; for J. Worrall, T. Osborne, C. Hitch and L. Hawes, J. Beecroft, W. Strahan, J. Rivington, R. Baldwin, W. Johnston, T. Caslon, T. Longman, S. Crowder and Co. R. Withy, C. Ware and Co. W. Flexney, W. Bristow, T. Lownds, A. Shuckburgh, and P. Uriel, MDCCLXII. [1762].",London,895,male,,,FALSE,"for. 79 Receipt for Money raised by Sale of South Sea By Tenant for life , to enable the  Tenant i Stock. -573 Tail to susser a Recovery, provided the Te Settlement whereby the Wife's Father's Execu nant in Tail pays that Tenant for Life tors transfer 20001 Old"
0573600103_000848,"A compleat body of conveyancing, in theory and practice. In three volumes. ... . Contains the theory; wherein the various Ways and Methods of Acquiring, Forfeiting, Conveying, Limiting and Settling all Kinds of Estates, as well Real as Personal; and also the Nature, different Forms, Parts, Operations and Effects of all Kinds of Deeds and Common Assurances, Fines and Recoveries, are fully treated of. Volumes II. III. Contain the practice: Or Precedents of Feoffments, Grants, Bargains and Sale, Leases, Releases, Declarations and Limitations of Uses and Trusts, Marriage-Settlements, and Private Acts of Parliament, (made for Settling the most considerable Estates in Great Britain and Ireland;) Mortgages, Leases, Assignments, Deeds of Charter-Party and Copartnership, Bills, Bonds, Releases, Letters of Attorney, &c. Deeds for securing Annuities, &c. and of Bank, East-India, South-Sea Stocks, and other Publick Funds; and in general all Deeds and Instruments any Ways requisite in Mercantile, Maritime and Plantation Affairs. With Observations and Opinions of the most Eminent Conveyancers. Selected from many Thousand Manuscript Precedents. The Whole digested in a Method intirely new, avoiding all Repetitions, and containing a greater Variety of Useful Precedents than all other Books upon the same Subject now extant. By Edward Wood, Gent. deceased. The fourth edition, greatly improved in the Theory by the Addition of References to the latest Books of Authority; and in the Practical Part, by the Favour of a large Number of Original Manuscript Precedents. By able hands. ...","Wood, Edward, conveyancer",104,0,0,0,2,2,0,4,1,2,2,12,4,0,0,4,3,2,1,1,0,4,1,1,0,7,0,4,0,5,2,3,0,0,1,5,1,4,1,1,1,3,1,10,1,8,0,0,0,0,1777,3,3,"London : printed by his Majesty's law-printers; for J. Beecroft, W. Strahan, J. Rivington, and sons, P. Uriel, W. Owen, B. Law, T. Caslon, S. Crowder, T. Longman, W. Flexney, G. Robinson, T. Lowndes, R. Baldwin, E. Johnston, W. Stuart, W. Brown, R. Critchett, M. Hingeston, W. Fox, E. Brooks, J. Johnson, and J. Knox. M.DCC.LXXVII. [1777].",London,887,male,,,FALSE,"the surviving Executrix, reciting the Dearh of the Mortgagee and of the.,; other Executrix. 799 From an Executor to the Heir , in Coofideration  of a certain Sum of Money of a Term of seven Years devised by the Testator's Will to the Executor . : 799 survleenzc; t"
0172800600_000085,"Every man his own lawyer: or, a summary of the laws of England in a new and instructive method, ...",Giles Jacob,138,0,0,1,0,0,2,0,1,6,0,0,3,0,9,7,0,0,0,1,0,7,4,3,1,11,0,10,5,4,13,6,0,1,2,1,1,4,1,0,0,4,9,4,2,12,0,2,0,1,1757,1,1,"[London] : In the Savoy: printed by Henry Lintot; for C. Hitch and L. Hawes, J. Hodges, J. Fuller, J. Rivington, J. Rivington and J. Fletcher, [and 7 others in London], 1757.",London,481,male,1686,1744,FALSE,"ought to begin by the Issue, and be consummate by the Wife's Death ; and the Efate of Tenant by the Courtesy should avoid the immediate Difcent. Terms de Lay 206 I inji. 3o. Where Lands descend to the Wife , after Issue by her, the Husband [ hall be"
