PassageID,Title,Author,Total termFreq,termFreq(accompani),termFreq(act),termFreq(agreeabl),termFreq(air),termFreq(art),termFreq(band),termFreq(choru),termFreq(compos),termFreq(composit),termFreq(concert),termFreq(concerto),termFreq(effect),termFreq(express),termFreq(fugu),termFreq(grand),termFreq(handel),termFreq(happi),termFreq(harmoni),termFreq(hear),termFreq(heard),termFreq(heaven),termFreq(holi),termFreq(imit),termFreq(impress),termFreq(instrument),termFreq(italian),termFreq(joi),termFreq(manner),termFreq(measur),termFreq(movement),termFreq(music),termFreq(opera),termFreq(overtur),termFreq(part),termFreq(passion),termFreq(perform),termFreq(pleas),termFreq(power),termFreq(prais),termFreq(recit),termFreq(represent),termFreq(sing),termFreq(solo),termFreq(song),termFreq(sound),termFreq(time),termFreq(tone),termFreq(trumpet),termFreq(violin),termFreq(vocal),termFreq(voic),termFreq(word),termFreq(written),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
0992400100_000033,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,77,1,0,1,0,0,3,0,7,1,0,2,3,1,3,1,4,1,3,0,3,0,0,0,0,2,0,0,3,1,6,1,0,4,4,0,6,1,1,2,0,0,0,3,0,1,2,0,1,2,0,1,2,0,1785,1,1,"Dublin : printed for Messrs. Moncrieffe, Jenkin, White, H. Whitestone, Burton, and Byrne, MDCCLXXXV. [1785].",Dublin,233,male,1726,1814,TRUE,"to every one but their Majesties, and their suite, who arrived soon after Twelve; and on entering the box, prepared for their reception, pleasure and astonishment, at the sight of the company and disposition of the Orchefira and Performers , were painted so strongly in their countenances, as to be"
0730700200_000046,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,75,1,0,0,5,0,0,4,2,2,1,1,3,6,5,0,2,1,0,0,0,0,0,1,1,1,1,0,1,0,4,2,0,0,6,0,6,1,1,0,1,0,1,0,1,1,1,1,0,1,1,4,4,1,1785,1,1,"London : printed for the benefit of the Musical Fund; and sold by T. Payne and Son, at the Meuse-Gate; and G. Robinson, Pater-Noster-Row, MDCCLXXXV. [1785].",London,240,male,1726,1814,TRUE,"the ingenuity and merit of such contrivances; but the general effets of this Chorus want nothing in the ignorant, but attention and feeling, to as ford them unaccountable delight. "" Rejoice greatly, 0 daughter "" of Zion; Jhcut! 0 daughter of Jerufalcmi; behold! thy king ""cometh unto thee. Zechariah IX"
0992400100_000050,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,77,2,3,0,0,1,1,2,0,2,0,2,0,5,2,3,4,0,2,0,1,1,0,1,0,1,0,0,5,0,3,2,1,0,6,0,10,2,0,0,1,3,1,1,0,0,2,0,0,1,1,1,2,2,1785,1,1,"Dublin : printed for Messrs. Moncrieffe, Jenkin, White, H. Whitestone, Burton, and Byrne, MDCCLXXXV. [1785].",Dublin,233,male,1726,1814,TRUE,"indiscriminate acknowledgment of their excellence. The opening of this scene in the firtf Sacred Drama that was set to Music by HANDEL , bears all the marks of a grand and sublime genius. He was now arrived at the age of thirty six, when, after writing for the first performers"
1016800104_000085,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,99,10,2,2,20,0,0,2,2,2,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,3,2,0,0,2,2,1,5,1,7,0,3,2,1,0,3,0,1,1,3,0,2,0,0,4,1,3,4,1,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"writing for this pe! former, to ride Pegasus with a curb bridle. There is a passage in the second part of this air , of which he afterwards made a better ulfe in the first movement of the overture in Saul. The next air , M' adora  idol mio,"
1016800104_000102,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,98,2,3,1,15,0,0,0,1,2,0,0,1,2,3,2,8,0,1,0,1,0,0,0,1,0,0,0,0,0,2,2,15,1,6,0,7,2,1,1,1,1,0,2,2,1,3,0,1,1,0,2,1,3,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"on the ift of May following. And whereas the academy propose the acting fifty operas this season, they oblige themselves to allow a deduction proportionably, in cafe.fewer operas be performed , than that number."" This seems the origin of a general subscription, free from all risks of future demands. At"
0992400100_000039,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,94,5,0,0,6,2,0,1,10,1,0,6,1,0,4,2,8,0,2,0,1,0,0,1,1,1,0,0,0,0,10,0,1,1,8,0,4,2,1,1,0,0,0,1,1,2,3,0,0,0,0,5,0,2,1785,1,1,"Dublin : printed for Messrs. Moncrieffe, Jenkin, White, H. Whitestone, Burton, and Byrne, MDCCLXXXV. [1785].",Dublin,233,male,1726,1814,TRUE,"in the accompaniments , which only mark mark the accented parts of each bar, has excited an idea of fsiting, and of blows. And in the course of this close and regular double fugue , when he gives the infbruments more to do, he produces the same effets by short"
1016800104_000151,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,82,3,1,1,10,0,1,0,4,0,0,4,0,1,1,1,8,1,1,1,0,0,0,1,0,2,1,0,0,0,2,1,6,2,5,0,6,2,0,0,0,1,0,1,3,0,6,0,0,3,0,1,1,0,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"which time "" it was performed to a splendid audience."" When this was discontinued, Handel revived parnajio in fejta, March the 9th, as an oratorio, "" with concertos on several instruments (z).' This was performed three times ; Alexander's Feast twice; and, March 23d, IL TRIONFO DEL TEMPO, E DELLA"
0992400100_000047,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,73,2,0,0,1,1,0,4,1,1,0,0,1,1,4,0,3,0,4,2,1,0,0,2,0,1,1,1,1,1,4,3,0,2,4,0,3,2,3,0,0,0,3,0,0,2,2,0,0,2,1,1,8,0,1785,1,1,"Dublin : printed for Messrs. Moncrieffe, Jenkin, White, H. Whitestone, Burton, and Byrne, MDCCLXXXV. [1785].",Dublin,233,male,1726,1814,TRUE,"they were now performed . But (a) In the Allelujah, p. ro, of the printed feore, G, the fourth of the key, is founded and sustained during two entire bars. In the Dettingen 7e Detu, p. 30o, and in many other places, : llis sale concord, or interval, perpetually deforms"
1016800104_000142,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,95,5,0,2,17,1,0,1,3,0,1,0,0,1,2,0,6,1,0,0,1,0,0,2,0,1,0,0,3,0,3,0,4,1,8,1,4,7,0,0,0,0,1,2,1,0,1,1,2,3,0,4,2,3,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"that  His Royal Highness the Prince of with diamqnds and rubies, in which was Walcs was pleased to make a present of. a incloscd a pair of brilliant diamond knee buckles, 384 Careftini, immediately after the twentieth performance of Alcina Let off for Venice, where he was engaged to"
0962900100_000083,"Essays on philosophical subjects. By the late Adam Smith, LL. D. Fellow of the Royal Societies of London and Edinburgh, &c. &c. To which is prefixed, An account of the life and writings of the author; by Dugald Stewart, F. R. S. E.",Adam Smith,101,4,0,5,2,4,0,0,1,1,1,2,6,0,0,0,1,1,2,1,2,0,0,13,1,5,0,0,0,6,0,12,0,2,6,0,1,0,3,0,2,1,0,0,1,6,5,1,0,0,2,1,0,0,1799,1,1,"Basil : printed for the editor of the Collection of English Classics, sold by James Decker Printer and Bookseller, 1799.",Basel,430,male,1723,1790,TRUE,"the aceor, as well as of the fcene painter. The overture disposes the mind to that mood which fits it for the opening of the piece. The Music between the ads keeps up the impression which which the foregoing had made, and prepares us for that which the following is"
0730700200_000045,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,84,5,0,1,4,0,1,9,1,2,0,0,3,4,2,0,2,0,1,0,0,0,0,1,0,1,0,1,1,1,3,6,0,1,1,0,3,1,1,1,5,0,0,0,0,2,2,1,0,2,0,4,11,0,1785,1,1,"London : printed for the benefit of the Musical Fund; and sold by T. Payne and Son, at the Meuse-Gate; and G. Robinson, Pater-Noster-Row, MDCCLXXXV. [1785].",London,240,male,1726,1814,TRUE,"the accompanied Recitative , or Aria parlante, "" Consort ye my people,"" (Ifai. XL i.) seems to such as are not acquainted with the Oratorio, a preparation for the light minuet, gavot, or jig, with which Overtures are usually terminated; but how exquisitely are judicious ears disappointed! Indeed, I am"
0666900500_000020,"An essay on musical expression. By Charles Avison, Organist in Newcastle. With alterations and large additions. To which is added, a letter to the author, concerning the music of the ancients, and some Passages in Classic Writers, relating to that Subject. Likewise, Mr. Avison's Reply to the author of Remarks on the Essay on musical expression. In letter from Mr. Avison, to his friend in London.",Charles Avison,82,1,0,2,2,0,0,3,4,4,4,2,2,10,0,2,0,0,5,0,2,0,0,1,0,10,0,0,1,0,7,4,0,0,1,0,3,0,0,0,0,0,0,2,0,1,0,2,1,2,1,3,0,0,1775,1,1,"London : printed for Lockyer Davis, in Holborn. Printer to the Royal Society, MDCCLXXV. [1775].",London,235,male,1709,1770,FALSE,"inltrumenrs have also a different expression peculiar to them. Thus, the hautboy will best express the ccitabile, or tinging style, and may be used in all movements whatever under to every social and laudable purpose, so much es t!: i r. !ihttul intercourse with harmony . They wb!. : :"
0999300100_000159,"Essays. On the nature and immutability of truth, in opposition to Sophistry and Scepticism. On poetry and music, as they affect the Mind. On laughter, and ludicrous composition. On the utility of classical learning. By James Beattie, LL. D. Professor of Moral Philosophy and Logic in the Marischal College and University of Aberdeen.",James Beattie,111,5,0,3,1,0,0,0,1,0,1,1,0,10,1,0,2,0,2,1,0,0,0,24,0,5,0,0,0,0,1,12,0,0,3,3,2,0,1,0,0,0,2,0,9,6,1,1,0,1,2,6,4,0,1776,1,1,"Edinburgh : printed for William Creech, MDCCLXXVI. [1776].",Edinburgh,783,male,1735,1803,FALSE,"is nothing to lead the mind of the hearer to recognise the imitation , which, though both legitimate and accurate, would run the rifle of being overlooked and lost. If, a gain, it were so very exat, as to lead our thoughts instantly to the thing imitated , we should"
0730700200_000049,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,64,0,0,0,1,1,1,4,1,1,0,2,1,1,2,1,3,0,3,1,1,0,0,1,0,1,1,1,1,0,2,5,0,3,3,0,7,0,2,1,0,0,0,0,0,2,1,0,0,1,1,0,7,0,1785,1,1,"London : printed for the benefit of the Musical Fund; and sold by T. Payne and Son, at the Meuse-Gate; and G. Robinson, Pater-Noster-Row, MDCCLXXXV. [1785].",London,240,male,1726,1814,TRUE,"followed in reading and tinging poetry and lofty prose, set the words ol this Chorus thus: Blessing and honour, glory and power , be unto him. and this notation has been literally followed in all transcripts and editions of the Oratorio ever since. This little defect would certainly not have"
1282500100_000157,"Essays on the nature and immutability of truth in opposition to Sophistry and Scepticism; on poetry and music, as they affect the mind; on laughter, and ludicrous composition; on the utility of classical learning. By James Beattie, L L. D. Professor of Moral Philosophy and Logic in the Marischal College and University of Aberdeen.",James Beattie,103,5,0,3,1,0,0,0,1,0,1,1,1,6,1,0,2,0,2,1,0,0,0,24,0,4,0,0,0,0,1,11,0,0,2,1,2,0,1,0,0,0,1,0,9,7,1,1,0,1,2,6,4,0,1777,1,1,"Edinburgh : printed for the author: and sold by Edward and Charles Dilly, in London; and William Creech, Edinburgh, M.DCC.LXXVII. [1777].",Edinburgh,776,male,1735,1803,FALSE,"mind of the hearer to recognise the imitation , which, though both legitimate and accurate, would run the rifl of being overlooked and lost. If, again, it were so very exact, as to lead our thoughts instantly to the thing imitated , we should be apt to attend to the"
1016800104_000099,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,94,5,1,1,12,0,0,1,6,0,0,0,1,1,3,1,7,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,2,2,13,0,1,3,0,0,3,0,1,1,2,0,1,1,0,6,1,6,0,6,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"for the Royal Academy of Music , by P. A. ROLLI, who signs himself Segretario Italiano della medejina, Italian secretary of the said Academy. It: is dedicated to the King. The fingers were france/co Bernardi detto SENESINO, matteober felli, and Bofchi; with the Margarita Duratfanti, Mrs. Anastasia Robinson, Galerati, and"
0013904300_000162,A dictionary of music. Translated from the French of Mons. J. J. Rousseau. By William Waring.,Jean-Jacques Rousseau,84,6,0,2,2,2,0,0,2,2,0,3,1,2,0,0,0,0,1,0,0,0,1,2,0,5,4,0,1,0,1,8,0,0,3,0,0,1,0,2,3,0,4,2,6,3,2,0,0,1,1,6,4,1,1775,1,1,"London : printed for J. French, No. 47, opposite Hatton-Garden, Holborn, [1775?].",London,470,male,1712,1778,TRUE,"mode is transposed. jwe have, in Italy, a recueil of lessons to fol fa, called Solfeggi. This recueil, composed by the celebrated Leo, for the use of beginners, is very highly esteemed. SOLO . This Italian word is angliciled in music , and applied to a piece which is sung"
0730700200_000040,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,84,3,0,0,7,2,0,3,8,1,0,1,0,3,4,2,4,0,1,1,0,1,0,2,0,1,0,1,0,0,5,3,0,1,7,0,3,2,1,0,0,0,3,0,3,2,0,2,0,0,0,4,3,0,1785,1,1,"London : printed for the benefit of the Musical Fund; and sold by T. Payne and Son, at the Meuse-Gate; and G. Robinson, Pater-Noster-Row, MDCCLXXXV. [1785].",London,240,male,1726,1814,TRUE,"Jehovah's name."" This Chorus , unexpetedly bursting out of the second movement of the Overture , is of a very beautiful and singular kind. The first part , to the words , "" Let grateful Songs and Hymns to Hea y' en ascend,"" is lively and cheerful, without vulgarity, and"
1016800104_000133,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,89,4,1,1,2,0,0,2,7,2,0,0,0,0,3,0,9,0,1,0,0,0,0,0,0,1,1,0,4,0,2,3,6,2,4,0,15,0,0,0,2,1,0,1,1,0,7,0,0,2,0,2,1,2,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"and to be performed by a great num of voices and initruments. N. B. There will be no acting on the fiage, but the house will be fitted up in a decent manner , for the audience. The Music to be disposed after the manner of the coronation service. Tickets"
1016800104_000104,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,85,2,0,0,5,0,0,0,5,3,0,1,1,0,1,0,6,0,0,0,1,0,0,2,0,3,0,0,3,1,2,8,10,1,4,0,7,1,0,0,1,2,0,0,3,0,5,0,0,1,2,1,1,2,1776,4,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,711,male,1726,1814,TRUE,"Peia ad amare, long after they had done their duty at the opera houfe, were favourites with all the performers on the german flute in the kingdom, which about this time superseded the common flute, and became the fashionable gentleman's instrument . Del minacciar del vento (dj, and No, non"
0730700200_000041,"An account of the musical performances in Westminster-Abbey, and the Pantheon, May 26th, 27th, 29th; and June the 3d, and 5th, 1784. In commemoration of Handel. By Charles Burney, Mus. D. F. R. S.",Charles Burney,83,2,0,1,6,1,0,2,8,2,0,4,1,1,1,1,8,0,1,0,1,0,0,2,1,2,0,0,0,0,8,0,1,1,6,0,3,3,1,1,0,0,0,2,3,0,4,0,0,0,0,3,0,2,1785,1,1,"London : printed for the benefit of the Musical Fund; and sold by T. Payne and Son, at the Meuse-Gate; and G. Robinson, Pater-Noster-Row, MDCCLXXXV. [1785].",London,240,male,1726,1814,TRUE,"before and after publication. Indeed, no instrumental composition which I had ever heard during the long favour of this, seemed to me more grateful and pleasing , particularly, in subjet : the solo parts and divisions were not very new, at the time they occurred to HANDEL in this movement"
0856000300_000010,"A musical dictionary; being a collection of terms and characters, as well ancient as modern; including the historical, theoretical, and practical parts of music: ... The whole carefully abstracted from the best authors ... By James Grassineau, Gent.","Grassineau, James",85,0,0,1,3,0,0,4,2,3,3,1,0,0,3,3,0,0,1,0,0,0,0,2,0,2,3,0,2,2,0,8,0,0,16,0,1,1,0,0,1,0,3,0,6,2,0,2,0,1,1,2,6,0,1740,1,1,"London : printed [by C. Jephson] for J. Wilcox, 1740.",London,370,male,1715,1769,FALSE,"being the fall or conclusion of a series of harmony , proper to terminate the whole, or part . The French mifi cians call a shake a Cadence, but this is to confound terms. CAD E N Z A Fiortta, Sfrggita, d' Ingannem, r. See FIORITA, SFUGGITO, ING NNO, C."
1016800103_000187,"A general history of music, from the earliest ages to the present period. To which is prefixed, A dissertation on the music of the ancients. By Charles Burney, Mus.D. F.R.S. ...",Charles Burney,92,1,0,1,8,0,1,0,4,3,1,2,1,0,1,1,3,0,0,0,0,0,0,1,0,0,1,0,1,0,2,15,2,15,4,0,4,0,0,0,0,0,0,0,7,0,4,0,3,1,2,1,1,1,1776,3,4,"London : printed for the author: and sold by T. Becket, Strand; J. Robson, New Bond-Street; and G. Robinson, Paternoster-Row, MDCCLXXVI. [1776]-89.",London,679,male,1726,1814,TRUE,"will surprise by their multiplicity. Of those dramas which are called operas , and of which music was the principal allurement held out to the public, a more detailed account will be given in speaking of the origin and progress of the musical drama in England, previous to the use"
