PassageID,Title,Author,Total termFreq,termFreq(adventur),termFreq(ag),termFreq(apper),termFreq(author),termFreq(book),termFreq(charact),termFreq(design),termFreq(educ),termFreq(entertain),termFreq(event),termFreq(fabl),termFreq(fiction),termFreq(geniu),termFreq(happen),termFreq(heart),termFreq(hero),termFreq(histori),termFreq(human),termFreq(ill),termFreq(imagin),termFreq(interest),termFreq(judgement),termFreq(knowledg),termFreq(ladi),termFreq(languag),termFreq(life),termFreq(long),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(natur),termFreq(novel),termFreq(origin),termFreq(passag),termFreq(piec),termFreq(pleasur),termFreq(poetri),termFreq(probabl),termFreq(prose),termFreq(public),termFreq(read),termFreq(reason),termFreq(romanc),termFreq(romant),termFreq(scene),termFreq(sentiment),termFreq(speci),termFreq(stori),termFreq(tast),termFreq(think),termFreq(thought),termFreq(verac),termFreq(virtu),termFreq(work),termFreq(write),termFreq(writer),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0413600302_000031,"Essays, moral and literary.",Vicesimus Knox,76,0,2,0,0,4,0,0,0,4,0,0,0,3,0,2,0,1,1,0,0,0,1,2,0,2,1,1,1,0,1,1,2,2,2,4,1,0,0,4,1,1,0,2,7,0,2,1,3,2,0,0,4,0,0,0,3,3,3,1,1,1778,2,2,"London : printed for Edward and Charles Dilly, MDCCLXXVIII. [1778].",London,407,male,1752,1821,TRUE,"Weftmonafterienfes; such were many in the Mufce Etonenfes, and such are thousands that have never yet been offered to the public view. It is a known truth, that many of the boys, who were engaged in these useful sports of a fertile genius , afterwards became distinguished members of the"
0957800103_000020,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,80,2,0,0,3,0,1,1,0,1,0,1,4,2,0,2,0,1,2,0,6,1,0,0,0,3,1,1,0,0,2,3,0,1,6,3,4,0,1,0,11,0,6,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,2,3,0,1790,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1790.",London,418,male,1718,1800,TRUE,"performances which diicover the strength of the British genius . No fiction , in any language , was ever better supported than the Adventures of Robinson Crusoe. avthile it is carried on with that appearance of truth and simplicity, which takes a stronghold of the imagination of all Readers, it"
1441300600_000056,Essays on rhetorick: abridged chiefly from Dr. Blair's lectures on that science.,Solomon Southwick,82,1,1,0,1,2,3,0,0,1,0,1,0,1,0,0,0,2,2,0,5,1,0,1,3,1,2,2,1,0,3,1,2,2,2,5,1,0,0,0,6,0,3,0,0,0,7,0,0,0,2,0,0,0,0,0,0,2,10,5,0,1798,1,1,"Albany [N.Y.] : Printed by Barber & Southwick, and sold at their book-store, two doors north of the city-hall, Court-Street, and at Faust's statue, State-Street, M,DCC,XCVIII. [1798].",Albany,308,male,1773,1839,FALSE,"hand, are dressed out with too much ornament and finery. Among the ancients, philosophical writing assumed often the form of dialogue. Plato is eminent for the beauty of his dialogues. In richness of imagination , no philosophic writer , either ancient or modern , is equal to him. His only"
0417500103_000018,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,60,1,3,0,0,0,1,0,0,1,2,2,2,1,0,0,0,5,3,0,2,0,0,1,1,1,1,1,1,1,4,5,0,3,1,1,1,0,0,0,1,0,1,0,0,0,2,1,0,0,1,1,2,0,0,0,1,0,5,0,0,1796,3,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,390,male,1718,1800,TRUE,"any affetation, that they are justly inticled to high praise. The Letters of Lady Mary Wortley Montague are not unworthy of being named after those of Mad. de Sevigne. They have much of the French ease and vivacity; and retain more the charia&er of agreeable Epistolary Style, than perhaps any"
0036800101_000001,"The triumvirate: or, the authentic memoirs of A. B. and C. In two volumes. ...","Griffith, Richard",60,1,1,0,1,0,2,0,1,1,1,1,2,1,1,0,0,2,0,0,1,1,0,2,4,0,4,1,0,2,1,1,2,1,1,5,0,0,0,0,0,0,0,2,1,0,5,0,0,3,0,0,0,0,0,1,0,2,1,1,3,1764,1,2,"London : printed for W. Johnston, in Ludgate-Street, MDCCLXIV. [1764].",London,297,male,,,FALSE,"if THE TRIUMVIRATE, OR, THE Authentic Memoirs OF A. B. and C In qibus suit propositi, fjmper a Nugis Ad bona tran/ire feria. Unde Nescio. IN TWO VOLUMES. VOLUME I. LONDON: Printed for W. JOHNSTON, in ludgate jireet, M DCCLXIV. TO HIS G RACE THE Duke of Bedford. X.M L"
1291300102_000079,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...",Hugh Blair,74,2,0,0,3,0,2,1,0,1,0,1,2,2,0,2,0,1,2,0,5,1,0,0,0,2,1,1,0,0,1,2,0,1,5,3,3,0,1,0,11,0,6,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,3,3,0,1789,2,2,"Dublin : printed for Messrs. Colles, Moncrieffe, Gilbert, Walker, Exshaw, White and Byrne, M,DCC,LXXXIX [1789].",Dublin,412,male,1718,1800,TRUE,"sentiment , for ardour of passion, entitled to rank among the highest productions of fictitious history . In this kind of writing we are, it muss be confessed, in Great Britain, inferior to the French. We neither relate so agreeably, nor draw characters with bo mtuch delicacy; yet we are"
0039000500_000061,"Sentimental beauties from the writings of Dr. Blair. Selected with a view to refine the taste, rectify the judgment, and mould the heart to virtue.",Hugh Blair,74,3,6,0,1,1,3,0,0,0,0,3,2,1,0,1,0,2,3,0,1,1,0,1,0,1,3,1,1,1,6,0,0,4,4,5,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,1,1,4,3,0,1798,1,1,"London : printed for John Wallis, No. 16, Ludgate-Street; and Lee and Hurst, Pater-Noster-Row, MDCCXCVIII. [1798].",London,336,male,1718,1800,TRUE,"of his corrcipondence with others, we arc introduced into acquaintance with several of the principal peifoniagcs of Rome; and it is rem; arkable that nioft of Cicero's correspondents, as well as himfcif, are elegant and polite polite Writers ; which serves to heighten our idea of the taste and manners"
1189600101_000037,"The miscellaneous works of Tobias Smollett, M. D. with memoirs of his life and writings. By Robert Anderson, M. D. in six volumes. ... . Containing the life of Smollett. The adventures of Roderick Random.",Tobias Smollett,77,3,0,0,1,0,6,0,0,4,0,0,0,0,0,2,1,0,0,0,3,1,2,1,4,2,2,0,1,1,4,1,2,3,7,1,1,0,1,0,0,2,0,1,0,1,3,0,2,1,1,2,0,0,2,0,2,2,1,0,3,1800,1,6,"Edinburgh : printed by and for Mundell & Son; and sold in London by Otridge & Son, Vernor & Hood, J. Cuthell, J. Walker & Lackington, Allen & Co., 1800.",Edinburgh,624,male,1721,1771,TRUE,"nymph his master had accidentally picked up on the road, and afterwards introduced into company as a fine lady , is culpably obscene, though the story is well told, and the character well imagined . The behaviour of Pickle to Hornbeck is also highly unjustifiable; not satisfied with injuring the"
1107300202_000030,"The history of modern Europe. With an account of the decline and fall of the Roman Empire, and a view of the progress of society, from the fifth to the eighteenth century. In a series of letters from a nobleman to his son. ...",William Russell,68,0,2,0,1,0,1,1,0,0,0,3,1,2,0,1,1,0,3,0,2,2,1,0,1,1,0,1,2,0,4,0,10,0,0,0,2,0,2,0,5,0,2,0,0,2,5,2,2,0,2,0,0,0,0,0,1,0,2,1,0,1779,2,2,"London : printed for G. Robinson, Paternoster-Row; J. Robson, New Bond-Street; J. Walter, Charing-cross; and J. Sewell, Cornhill, MDCCLXXIX. [1779].",London,610,male,1741,1793,FALSE,"of religion, of injured beauty or opprcffcd innocence, he was further confirmed in this enthusiastic opinion, by his own heated imagrnarien. Strongly persuaded that the decision must be in his favour, he sought as if under the influence of divine infiiratio; i, rather than of military ardour. Thus the system"
0035501400_000034,"A comparative view of the state and faculties of man with those of the animal world. By John Gregory M. D. F. R. S. Professor of Medicine in the University of Edinburgh, and First Physician to His Majesty in Scotland.",John Gregory,72,2,0,0,1,0,5,0,0,0,3,0,0,1,1,0,1,0,1,0,10,2,0,0,0,1,0,1,0,4,3,0,1,2,7,2,0,0,1,1,2,2,0,0,1,3,3,0,2,2,0,1,2,0,0,0,1,2,1,0,0,1777,1,1,"London : printed for J. Dodsley in Pall-Mall, M.DCC.LXXVII. [1777].",London,308,male,1724,1773,FALSE,"the excursions of fancy at a distance, than to be continually checking all its little irregularities. Too much restraint and pruning is of more fatal consequence here than a little wildness and luxuri ancy. The * beauties of every work of Mufaum, vol. I. Taste [ 211 ] Taste are"
0937200403_000020,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,71,1,0,0,3,1,3,1,0,1,1,1,1,1,0,2,0,1,2,0,5,1,0,1,0,2,2,0,0,0,2,3,0,1,6,3,3,0,1,0,9,0,2,1,0,0,0,0,1,2,0,0,0,1,1,0,0,2,2,1,0,1793,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1793.",London,416,male,1718,1800,TRUE,"may atually occur in life ; by means of which, what is laudable or defecive in cha racer and conduct, may be pointed out, and placed in an useful light. Upon this plan, the French have produced some compositions of considerable merit. Gil Blas, by Le Sage, is a book"
0702600103_000020,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,80,1,0,0,3,0,2,1,0,1,0,1,2,1,0,2,0,1,2,0,6,1,0,0,0,2,1,2,0,0,2,3,0,1,7,2,5,0,1,0,14,0,5,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,2,3,0,1787,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1787.",London,415,male,1718,1800,TRUE,"are highly dist inguished for their humour, a humour which, if not of the most refined and delicate kind, is original , and peculiar to himself. The characters which he draws are lively and natural , and marked with the strokes of a bold pencil. The general scope of his"
0036900800_000057,Essays on rhetoric: abridged chiefly from Dr. Blair's lectures on that science.,Hugh Blair,76,1,2,0,1,2,3,0,0,1,0,1,0,1,0,0,0,2,2,0,5,1,0,1,3,1,2,0,1,0,2,1,2,2,2,5,0,0,0,0,5,0,3,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,9,5,0,1785,1,1,"London : printed for J. Murray, NO 32, Fleet-Street, MDCCLXXXV. [1785].",London,548,male,1718,1800,TRUE,"Plato is eminent for the beauty of his dialogues. In richness of imagination , no philosophic writer , either ancient or modern , is equal to him. His only fault is the excessive fertility of his imagination , which carries him into allegory, ficeion, enthusiasm, and the airy regions of"
0276700602_000019,"The observer: being a collection of moral, literary and familiar essays. ...",Richard Cumberland,78,1,0,0,3,5,4,1,2,1,1,3,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,2,2,2,2,8,10,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,4,0,2,1,0,0,2,2,1,4,1791,2,4,"Dublin : printed by Zachariah Jackson, for P. Byrne, R. Marchbank, J. Moore, and W. Jones, 1791.",Dublin,325,male,1732,1811,TRUE,"me in'his each to chat, And qufejion me of thirzand that; As "" frhat o'clock ?"" and "" How's the wind?"" - r Whose chariot'. that we left behind? Or gravely try to read the. lines; Writ undrneath. ihe: country igns; ort "" Have you nothing new today"" "" Pope,"
0713600202_000118,"Gleanings through Wales, Holland, and Westphalia. Fourth edition. To which is added, Humanity; a poem. Fifth edition. By Mr. Pratt. ...",Samuel Jackson Pratt,63,1,0,0,4,0,2,0,1,2,1,0,1,1,0,0,0,2,1,0,1,4,0,1,0,2,0,1,3,1,2,2,1,1,5,5,0,0,1,1,1,0,0,2,0,0,0,1,1,1,0,5,0,0,0,0,1,3,0,1,0,1798,2,3,"London : printed for T. N. Longman, Paternoster-Row, 1798.",London,513,male,1749,1814,TRUE,"in one refpea, an advantage over those lookss of Voyages and Travels which axe written on the spur of the occasion; for it abounds with matured reflections, and contains the travels of the writer's mind , together with his bodily peregrinations. We cannot take leave without expressing our admiration of"
1185300301_000006,"The younger brother: a novel, in three volumes, written by Mr. Dibdin. ...",Charles Isaac Mungo Dibdin,76,0,1,0,4,3,0,0,0,0,3,0,1,0,4,0,1,3,0,0,3,0,0,0,2,0,0,0,2,2,2,4,0,3,6,5,0,0,0,1,1,2,0,1,0,0,3,0,0,1,1,1,0,1,1,1,5,4,3,0,1,1793,1,3,"London : printed for the author, and sold at his warehouse, [1793].",London,285,male,1768,1814,TRUE,"ground of argument, I am so ambitious to merit. Having gone through the painful Fart of my dcuty for there is nothing so painful as that which is unavailing, arid there is nothing so unavailing ag giving advice to the incorrigible a few words will bring me to the end"
0411700201_000095,Dialogues concerning education. In two volumes ...,David Fordyce,71,1,2,0,0,3,1,0,1,1,0,5,3,2,1,0,1,0,2,0,0,0,0,1,1,0,1,0,3,0,3,1,8,1,5,2,0,0,0,0,0,0,0,0,3,0,4,2,2,0,1,0,5,3,2,0,0,0,0,0,0,1755,1,2,"Cork : printed for Phineas and G. Bagnell, 1755.",Cork,410,male,1711,1751,FALSE,"every Post filled up with Men of Probity and Parts. And were the Ladies educated upon the same Plan, with proper Allowance for the Diflincions of Character , we flould find the Britiij Fair as much dig tinguifhed by their Discretion, as natural Modesty,. and surpassing the Rest of the"
0325100200_000036,"Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone.",Hester Chapone,75,2,3,0,0,4,1,0,1,2,1,0,0,0,1,2,0,2,3,0,2,1,1,1,0,1,4,0,0,1,1,4,0,4,4,1,2,0,0,2,0,0,0,0,6,0,1,0,2,2,1,0,3,1,1,0,0,3,1,0,3,1793,1,1,"Edinburgh : printed for Silvester Doig, Royal-Echange, MDCCXCIII. [1793] [1794?].",Edinburgh,215,female,1727,1801,TRUE,"perfecdion is aimed at; but it can only he found in those of the Creator. The conten'plation of perfeion must produce ii!: t, and every natural object around you you would offer this delight, if it could attrat your attention: if you survey the earth, every leaf that trembles in"
0107600202_000001,"The works of Tobias Smollett, M.D. with memoirs of his life; to which is prefixed A view of the commencement and progress of romance, by John Moore, M.D. In eight volumes. ...",Tobias Smollett,58,3,1,0,3,0,3,0,1,2,1,1,1,2,0,1,1,0,1,0,1,1,1,0,0,0,5,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,0,0,0,6,0,2,1,0,2,2,0,1,0,4,1,0,0,0,1797,2,8,"London : printed for B. Law, J. Johnson, C. Dilly, G. G. and J. Robinson, R. Baldwin, T. Becket, F. and C. Rivington, A. Strahan, R. Faulder, W. Richardson, W. Lane, W. Lowndes, S. Hayes, G. and T. Wilkie, Ogilvy and Son, T. N. Longman, and Cadell jun. and Davies, 1797.",London,595,male,1721,1771,TRUE,"1 1 i .i J ·- /, 22/ S / THE WORKS or OF TOBIAS SMOLLETT, M.D.. WITH MEMOIRS OF HIS LIFE ; TO WHICII IS PREFIXED, A VIEW OF THE COMMENCEMENT AND PROGRESS OF ROMANCE , By JOHN MOORE, M.D.. IN EIGHT VOLUMES. VOL. II L O N D"
0504100102_000094,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In two volumes. ...",Hugh Blair,72,2,0,0,3,1,3,1,0,1,1,1,0,2,0,2,0,1,3,0,3,2,0,1,0,2,3,0,0,0,0,2,0,1,6,4,3,0,1,0,8,0,3,1,0,0,0,0,0,1,0,1,0,1,1,0,0,2,3,2,0,1783,2,2,"London : printed for W. Strahan; T. Cadell; and W. Creech, in Edinburgh, 1783.",London,553,male,1718,1800,TRUE,"nature , without the appearance oflmoral tend / s r excy, or useful infirution. Since that time, however, some D - better has been attempted, and a degree of reformation introduced into the spirit of Novel Writig. Imitations of life and charaaer have been made their principal object. Relations have"
0216600600_000035,"A comparative view of the state and faculties of man with those of the animal world. By John Gregory, M.D. F.R.S. Professor of Medicine in the University of Edinburgh, and First Physician to his Majesty in Scotland.",John Gregory,73,2,0,0,1,0,3,0,0,0,3,0,0,1,1,0,1,0,1,0,12,2,0,0,0,1,0,1,1,4,4,0,2,1,8,2,0,0,1,1,2,2,0,0,1,3,3,0,2,2,0,1,0,0,0,0,2,1,1,0,0,1778,1,1,"Dublin : printed for W. Sleater, D. Chamberlaine, J. Potts, J. Williams, and W. Colles, M.DCC.LXXVIII. [1778].",Dublin,260,male,1724,1773,FALSE,"Poetry one part may be confiruned according to the laws of unity and truth, whilst another directly contradidts them. The French, by their great attention to the general economy and unity of their sable, and the confirudion of their scenes , have universally obtained the character of superior corrednefs to"
1445201000_000029,"A plan for the conduct of female education, in boarding schools, private families, and public seminaries. By Erasmus Darwin, M.D. F.R.S. author of Zoonomia, and of The botanic garden. To which are added, Rudiments of taste, in a series of letters from a mother to her daughters. Embellished with an elegant frontispiece.",Erasmus Darwin,66,0,2,0,1,2,2,0,1,0,1,0,0,1,0,1,1,3,2,1,2,0,0,3,1,0,2,0,0,2,1,4,2,1,1,2,0,0,0,1,0,0,0,0,6,0,0,1,1,1,1,0,3,2,2,0,3,2,1,1,2,1798,1,1,"Philadelphia: : Printed by John Ormrod, no. 41, Chesnut-Street, 1798.",Philadelphia,303,female,1731,1802,TRUE,it is to do good. LETTER V BUT so exalted and refined a turn offentiment is never the production of ignorance. It is only in cultivated minds we must look for it; for the prime fruits of virtue grow not in the soil that has never been broken up by
1672800200_000268,"The Annual register, or A view of the history, politics, and literature, for the year 1781.",,48,1,2,0,1,1,2,1,0,0,2,2,2,1,0,1,1,1,0,0,1,1,0,1,1,1,2,0,0,0,2,0,0,0,1,1,2,0,1,1,2,1,0,0,3,1,1,1,0,0,1,1,0,0,1,0,0,0,0,3,0,1782,1,1,"London : Printed for J. Dodsley, in Pall-mall, 1782.",London,609,unknown,,,FALSE,"station and character As she conquered all nations with her arms, it matters not what were the triumphs of her eyes. Of what conee quence was the complexion of the Smiftrefs of the world? Not less vain of her person than her. politics, trs stately coquet, the guardian of the"
1226400104_000027,"Letters of Baron Bielfeld, secretary of legation to the King of Prussia; Preceptor to Prince Ferdinand; Chancellor of the Universities in the Dominions of his Prussian Majesty, F. R. A. B. &c. Author of the Political Institutes. containing original anecdotes of the Prussian court for the last Twenty Years. Translated from the German, by Mr. Hooper. In four volumes. Vol. I.","Bielfeld, Jacob Friedrich, Freiherr von",76,1,0,0,8,1,1,0,0,0,2,0,0,1,0,1,3,1,1,0,1,3,0,0,1,1,0,1,1,1,3,2,1,1,3,0,0,0,1,2,2,0,0,0,3,0,11,0,1,0,0,1,1,0,0,0,1,7,4,3,0,1770,4,4,"Dublin : printed by T. Ewing, in Capel-Street, M.DCC.LXX. [1770].",Dublin,171,male,1717,1770,FALSE,"appears to me to be quite in its proper place in romance . M. Crebiilon, in his Wanderings of the Heart and Mind , takes the mid way between these two; but in his other works he is altogether satirical, and sometimes not free from obscenity. The German romances (at"
