PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(ag),termFreq(alexandria),termFreq(ancient),termFreq(build),termFreq(built),termFreq(charact),termFreq(column),termFreq(countri),termFreq(cut),termFreq(egypt),termFreq(egyptian),termFreq(empir),termFreq(emploi),termFreq(figur),termFreq(granit),termFreq(height),termFreq(hieroglyph),termFreq(inhabit),termFreq(king),termFreq(knowledg),termFreq(languag),termFreq(long),termFreq(marbl),termFreq(monument),termFreq(nile),termFreq(peopl),termFreq(pharoah),termFreq(poster),termFreq(pyramid),termFreq(red),termFreq(rock),termFreq(roof),termFreq(ruin),termFreq(sepulchr),termFreq(sphinx),termFreq(stone),termFreq(strabo),termFreq(templ),termFreq(time),termFreq(travel),termFreq(upper),termFreq(variou),termFreq(wall),termFreq(work),termFreq(year),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0175500702_000008,"Letters on Egypt, containing, a parallel between the manners of its ancient and modern inhabitants, its Commerce, Agriculture, Government and Religion; with the descent of Louis IX. at Damietta. Extracted from Joinville, and Arabian authors. Translated from the French of M. Savary. In two volumes. ...","Savary, M. (Claude Étienne)",66,0,0,0,1,3,0,1,3,0,1,1,2,0,0,5,5,4,5,0,0,0,1,1,4,0,0,1,0,0,1,4,0,1,0,0,3,1,2,7,2,0,0,2,5,0,0,1787,2,2,"London : printed for G. G. J. and J. Robinson, Pater-Noster-Row, MDCCLXXXVII. [1787].",London,508,male,1750,1788,FALSE,"time , I hope the above description will fhpply the imperfedtion of mine. Thus guided, let us advance to the south of Car nak, where we find the remains of one of the four, principal temples mentioned by Diodorus Siculus. Here are eight entrances, three of which have each a"
1360000100_000286,"The new royal system of universal geography, Containing complete full particular and accurate histories and descriptions of Europe, Asia, Africa & America, as divided into empires, kingdoms, states, provinces, republics, governments, continents, islands, oceans, seas, rivers, gulphs, lakes &c. &c. Including all the new discoveries. Written & compiled by Michael Adams, Esqr. Assisted by many gentlemen eminent in the science of geography[.]","Adams, Michael, Esq., of Lincoln's Inn",61,0,1,1,7,0,0,0,0,1,1,6,3,0,1,2,1,1,5,0,3,0,3,3,2,0,2,1,0,0,3,0,3,2,0,0,1,2,0,1,0,1,1,2,1,0,0,1796,1,1,"London : published by Alexr. Hogg at the King's Arms, no. 16 Paternoster Row. And sold by all booksellers in Great Britain & Ireland, [1796?].",London,1006,unknown,,,FALSE,"the other Egylptian libraries of ineffim able value. With regard to.the architealre,, sculpture, and painting, ors the ancient Egyptians , flifficient specimens Still remain to convince us, that they excelled everything then knownl in the world; nor has thle grandeur of their designs been, ever equalled in anly age or"
0245200802_000014,"Letters on Egypt. With a parallel between the manners of its ancient and modern inhabitants, the present state, the commerce, the agriculture, and government of that country; and an account of the descent of St. Lewis at Damietta: extracted from Joinville, and Arabian authors. Illustrated with maps. By Mr. Savary, author of the life of mahomet, and translator of the coran. In two volumes. ...","Savary, M. (Claude Étienne)",68,0,0,0,1,2,2,1,2,0,0,0,3,0,0,6,4,5,5,0,0,0,1,2,4,1,0,1,0,0,0,3,0,1,2,0,3,2,1,7,2,1,0,0,5,1,0,1787,2,2,"Dublin : printed for Luke White, Dame-Street, and P. Byrne, Grafton-Street, MDCCLXXXVII. [1787].",Dublin,454,male,1657,1716,FALSE,"distant"" "" each rh!er, adorn the fides. These "" avenues are terminated by porticoes, the "" number ot which is indefinite. These porticoes lead to a mngnincent square in the front : ~.. Strabo , i. l""' ""' of the temple . Beyond is the sanctuary, which is smaller, and"
0313000100_000300,"The new royal geographical magazine; or, a modern, complete, authentic, and copious system of universal geography : containing a complete, ... history and description of all the several parts of the whole world; ... To which will be added, a new and easy guide to geography and astronomy, ... Carefully written and compiled from the late journals of the voyages and travels of Captains Phillips, King, Ball, Hunter, White, ... &c. By Michael Adams, ...","Adams, Michael, Esq., of Lincoln's Inn",59,0,0,1,2,0,0,0,0,2,1,6,2,0,1,3,1,1,6,0,3,0,2,3,3,0,2,1,0,0,3,0,3,2,0,0,1,3,0,1,0,0,2,1,3,0,0,1794,1,1,"London : printed for the proprietors: published and sold by Alex. Hogg ; sold also by Symonds, Parsons, &c. And may be had of all the booksellers and news-carriers in England, Wales, Scotland, and Ireland, [1794?].",London,1017,unknown,,,FALSE,"tle top to the bottom of it, there are but six ranges of marble , and the blocks which cover it are of a Ituplendous lengthl, ine of them sorn 4 C ilg 285 I -- -- -- - -- - ing.the roof , In the middle of the hall"
0722000101_000061,"The ancient history of the Egyptians, Carthaginians, Assyrians, Babylonians, Medes and Persians, Macedonians, and Grecians. By Mr. Rollin, late principal of the University of Paris, Professor of Eloquence in the Royal College, and member of the Royal Academy of Inscriptions and Belles-Lettres. Translated from the French. In eight volumes. ... . The ninth edition. Illustrated with copper-plates.",Charles Rollin,62,1,1,0,2,0,1,1,0,3,1,9,6,1,2,0,0,4,1,1,2,0,0,0,0,2,3,0,0,1,3,0,3,0,1,0,1,1,3,2,2,1,0,0,1,2,0,1800,1,8,"London : printed for G. G. and J. Robinson; W. Richardson and Co.; H. Gardner; W. Otridge and Son; R. Baldwin; J. Sewell; S. Hayes; D. Ogilvy and Son; W. Lowndes; F. and C. Rivington; Longman and Rees; C. Law; J. Nunn; J. Cuthell; Vernor and Hood; Darton and Harvey; R. Lea; G. Cawthorn; T. Hurst; J. Walker; and Lackington, Allen, and Co. By Darton and Harvey, Gracechurch-Street, M.DCCC. [1800].",London,452,male,1661,1741,TRUE,"Four walks extending farther than the eye can see, and bounded on each fide with sphinxes , composed of materials as rare and extraordinary as their size is remarkable, serve for avenues to four porticoes, whose height is amazing to behold. Betides, they who give us the description of this"
1268600101_000038,"Travels through Arabia and other countries in the east, performed by M. Niebuhr, now a captain of engineers in the service of the King of Denmark. Translated by Robert Heron. With notes by the translator; and illustrated with engravings. In two volumes. ...",Carsten Niebuhr,66,0,0,0,2,1,2,1,0,3,0,3,2,0,2,1,1,2,1,0,0,2,1,1,1,2,1,2,0,1,11,0,2,1,0,0,2,5,0,0,2,6,0,1,0,2,2,1799,1,2,"Perth : printed by and for R. Morison junior, M,DCC,XCIX. [1799].",Perth,377,male,1733,1815,FALSE,"of tllief pyramids already, and I ilall not encrealf the number. I shall only mention fiome observations in which I am obliged to differ from tlhofe who have gone before me. The pyramids stand upon the first hill be vween Cairo and the western bank of the Nile . In"
0564702400_000009,"Constitutions of the antient fraternity of free and accepted masons, containing their history, charges, regulations, &c. First compiled by Order of the Grand Lodge, From their old Records, and Traditions, by James Anderson, D.D. A new edition revised, enlarged, and brought down to the year 1784, under the direction of the Hall Committee, by John Noorthouck.",James Anderson,55,1,1,0,3,1,1,0,1,0,2,0,2,1,0,1,2,1,1,0,3,0,0,1,0,0,4,0,0,1,8,0,3,0,0,0,3,5,0,1,0,4,1,2,0,0,1,1784,1,1,"London : printed by J. Rozea, printer to the Society, No. 91, Wardour Street, Soho, MDCCLXXXIV. [1784].",London,483,male,1680,1739,FALSE,"in ages too remote to be ascertained: and indeed their form and solidity, as beginning from a broad square base, tapering as they rose, up to a narrow apex, and with few interior cavities, were the best security that could be conceived for durability. They are described by various writers"
0171101101_000062,"Travels in Egypt and Nubia. By Frederick Lewis Norden. F.R.S. Captain of the Danish navy. Translated from the original Published by command of his Majesty the King of Denmark: and enlarged with observations from ancient and modern authors, that have written on the antiquities of Egypt, By Dr. Peter Templeman.",Frederic Louis Norden,77,2,0,0,2,1,7,1,0,0,0,0,3,0,1,2,4,1,4,0,1,1,0,0,3,1,0,0,0,0,20,0,0,1,5,5,0,0,1,2,7,0,0,0,1,1,0,1757,1,2,"London : printed for Lockyer Davis and Charles Reymers in Holborn; Printers to the Royal Society, MDCCLVII. [1757].",London,197,male,1708,1742,FALSE,"is an hundred and fifty feet high. By what I could judge from the present shape of it, I concluded that it was built with five degrees, like the pyramid at Saccara, each being about ten feet broad, and thirty deep; so that the ascent to it is easy, as"
1365700100_000797,"A new, royal, authentic, complete, and universal system of geography; or, A modern history and description of the whole world. Containing new, full, accurate, authentic, and interesting accounts and descriptions of Europe, Asia, Africa, and America, as consisting of continents, islands, oceans, seas, rivers, lakes, promontories, capes, bays, peninsulas, isthmusses, gulphs, &c. And as divided into empires, kingdoms, states, and republics. Together with a description of their limits, boundaries, climate, soil, natural and artificial curiosities and productions, religions, laws, government, revenues, forces, antiquities, &c. Also the provinces, cities, towns, villages, forts, castles, harbours, sea-ports, aqueducts, mountains, mines, minerals, fossils, roads, public and private edifices, universities, &c. contained in each: and all that is interesting relative to the customs, manners, genius, tempers, habits, amusements, ceremonies, comemrce, arts, sciences, manufactures, and language of the inhabitants. Together with an accurate and lively description of all the various kinds of birds, beasts, reptiles, fishes, amphibious creatures, insects, &c. Including the substance and essence of the most remarkable voyages and travels, which have been performed by the navigators and travellers of different countries, particularly the late discoveries in the south seas, and towards the North pole; with every curiosity that has hitherto appeared respecting the different parts of the universe. Comprising every interesting discovery and circumstances in the narratives of Captain Cook's voyages round the world. Together with all the recent discoveries made in the Pelew Islands, New Holland, New South Wales, Botany Bay, Port Jackson, Norfolk Island, north and west coasts of America, the interior parts of America, Africa, China, Caffraria, India East and West, Arabia, Madagascar, Russia, &c. &c. Carefully written and compiled from the late journals of the voyages and travels of Captains Phillips, King, Ball, Hunter, White, Dixon, Portlock, Mears, Patterson, Bruce, Anbury, Rochon, Morse, Blyth, Ross, Imlay, Keate, Brissot, Hodges, &c. &c. Also compendious histories of every empire, kingdom, state, &c. with their various revolutions. To which will be added a new, complete, and easy guide to geogrphy, astronomy, the use of the globes, &c. With an account of the rise and progress of navigation, its improvements and utility to mankind. The whole embellished and and enriched with upwards of an hundred most elegant and superb copper-plates, engraved in such a manner as to do infinite honour to the respective artists by whom they are executed. These embellishments consist of views, maps, land and water perspectives; birds, beasts, fishes, &c. as also the various dresses of the inhabitants of different countries, with their strange ceremonies, customs, amusements, &c. &c. By George Augustus Baldwyn, Esq. Assisted by many gentlemen eminent for their knowledge in the science of geography; particularly by Charles Andrew Robertson, Esq.-Clement Walley Oulion, Esq.-and Henry Hogg, M.A. author of the New universal letter writer, and teacher of geography, astronomy, navigation, &c.","Baldwyn, George Augustus",76,3,0,2,8,2,3,0,0,3,0,4,2,0,0,0,5,2,1,0,0,0,0,2,0,1,3,1,0,0,0,3,4,0,3,1,0,4,3,4,4,1,1,0,1,2,3,1794,1,1,"London : Sold by Alex. Hogg, at (No. 16) Pater-Noster-Row, and by all the booksellers of Bristol, Bath, Birmingham, Cambridge, Coventry, Canterbury, Chester, Derby, Exeter, Gloucester, Hull, Hereford, Ipswich, Liverpool, Leeds, Leichester, Manchester, Norwich, Newcastle, Northampton, Nottingham, Oxford, Reading, Sherborn, Salisbury, Sheffeild, Shrewsbury, Winchester, Worcester, York; and by all other booksellers in England, Wales, Scotland, and Ireland, [1794?].",London,1036,unknown,,,FALSE,"a great faith he had con(tantly placed in a prophecy of Efaias, who, six hundred years before, had foretold that a temple thould be built in Egypt by a Jew, to the honour of the most high God. Mount Callus flood at a small difiance from there cities; and here,"
0145800400_000008,"Report of the Commission of Arts to the First Consul Bonaparte, on the antiquities of Upper Egypt, and the present state of all the temples, palaces, obelisks, statues, tombs, pyramids &c. Of philoe, syene, thebes, tentyris, latopolis, memphis, heliopolis, &c. &c. From the cataracts of the nile to cairo: with an accurate description of the pictures with which they are decorated, and The Conjectures that may be drawn from them, respecting the Divinities to whom they were consecrated. Translated from the French of Citizen Ripaud, Librarian to the Institute of Egypt.",Louis Ripault,70,0,1,0,1,2,2,0,4,1,2,1,5,0,2,3,5,2,0,1,0,0,0,0,0,2,5,1,0,0,0,0,3,0,2,1,1,4,1,15,1,0,0,0,2,0,0,1800,1,1,"London : printed for J. Debrett [by S. Gosnell], opposite Burlington House, Piccadilly, 1800.",London,109,male,1775,1823,FALSE,"This city has occupied three different situations. The Syene of the Egyptians , of the Greeks, and of the Romans, was situated on the height which actually commands the present city, that is built on the banks of the river: that of the middle age was placed to the south"
1014700103_000070,"The wonders of nature and art; being an account of whatever is most curious and remarkable throughout the world; Whether relating to its Animals, Vegetables, Minerals, Volcano's, Cataracts, Hot and Cold Springs, And other Parts of Natural History; Or to the Buildings, Manufactures, Inventions, and Discoveries of its Inhabitants. The whole collected from the writings of the best historians, travellers, geographers, and philosophers, among which are some Original Manuscripts; interspersed with pious Observations and Reflections; illustrated with Notes, and adorn'd with Copper-Plates. ...",,52,1,0,0,4,3,2,0,1,2,1,2,3,0,0,0,1,0,0,0,2,0,0,1,3,1,2,1,0,0,3,1,0,1,3,1,0,3,2,3,1,0,1,1,1,0,1,1750,3,4,"Reading : printed, and sold by C. Corbett, at Addison's Head opposite St. Dunstan's Church in Fleetstreet, London; and C. Micklewright and Comp. in Reading; and by most booksellers and country printers in Great Britain, MDCCL. [1750].",Reading,482,unknown,,,FALSE,"sometimes pawned the Bodies of their Parents or Brothers for Money, but Diodorus says it was reckoned the greatest Reproach not to redeem them, and those who neglected to do it were themselves deprived of Burial. THE Method of Embalming above described was the mois cosily of any; but those"
0642900404_000085,"The wonders of nature and art; being an account of whatever is most curious and remarkable throughout the world; Whether relating to its Animals, Vegetables, Minerals, Volcanoes, Cataracts, Hot and Cold Springs, and Other Parts of Natural History; or, to the Buildings, Manufactures, Inventions, and Discoveries of its Inhabitants. The whole collected from the writings of the best historians, Travellers, Geographers, and Philosophers, among which are some Original Manuscripts; interspersed with pious Observations and Reflections; illustrated with Notes, and adorned with Copper-Plates. The second edition. ...",,61,1,0,0,0,3,5,0,1,0,1,2,5,0,2,6,0,4,1,0,0,0,0,3,0,2,0,0,0,0,6,0,1,0,0,3,2,4,1,2,1,0,1,1,0,0,3,1768,4,6,"London : printed for Newberry and Carnan, sons and successors to the late Mr. John Newberry, at the Bible and Sun, No. 65. the North Side of St. Paul's Church-Yard, MDCCLXVIII. [1768].",London,314,unknown,,,FALSE,"Egypt ;. (which yet does not appear improbable) we must grant them to be above three thousand years old; for Herodotus, who.lived two thousand two hun dred years ago, - could find little satisfaction in his inquiries concerning them; and Diodorus, who -' lived before the birth of Christ, supposes"
0086700109_000050,"Beauties of nature and art displayed, in a tour through the world; ... Illustrated and embellished with copper plates.",,54,0,0,0,5,3,2,1,1,3,0,2,2,0,0,1,1,0,0,0,2,0,0,1,4,1,3,0,0,0,3,1,0,1,3,1,0,3,2,4,1,0,1,1,0,0,1,1774,9,13,"London : printed for G. Robinson, in Pater-Noster-row,  1774-75.",London,229,unknown,,,FALSE,"met with. The pyramids and catacombs are perhaps the most remarkable curiosities of Egypt , and therefore we have been the more particular in describing them; but there are several other noble remains of antiquity which must not be paifed over in silence. Near the southern part of the lake"
0161700115_000016,"The habitable world described, or the present state of the people in all parts of the globe, from north to south; shewing the situation, extent, climate, ... including all the new discoveries: ... With a great variety of maps and copper-plates, ... By the Rev. Dr. John Trusler. ...",John Trusler,55,2,0,0,1,2,0,0,2,1,2,2,1,0,0,3,2,5,2,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,3,0,2,2,1,9,0,0,2,1,3,1,0,1788,15,20,"London : printed for the author, at the Literary-Press, no. 62, Wardour-Street, Soho; and sold by all booksellers, 1788-97.",London,408,male,1735,1820,TRUE,"statue of Memnon gave a certain sound, at the rising of the fun, I was curious to firike with a key, upon what remains of this cololfal figure ; but as the whole is solid, it does not give any more sound than another block of granite which is sunk"
0334200602_000008,"Letters on Egypt, containing, a parallel between the manners of its ancient and modern inhabitants, its Commerce, Agriculture, Government, and Religion; with the descent of Louis IX. at Damietta, extracted from Joinville, and Arabian authors. Translated from the French of M. Savary. In two volumes. ...","Savary, M. (Claude Étienne)",66,0,0,0,1,3,0,1,4,0,0,1,5,0,0,6,5,3,6,0,0,0,0,1,3,1,0,1,0,0,0,3,0,1,2,0,2,0,2,7,1,0,0,3,4,0,0,1799,2,2,"London : printed for G. G. and J. Robinson, Paternoster-Row, 1799.",London,477,male,1750,1788,FALSE,"granite , perfecly (y) Strabo , lib XVII D 2 polished poliffied. Without are four rows of hieroglyphics , within only three. On each of the latter, I remarked two human figures , larger than life, and sculptured with great art. Colossal figures , rising fifteen feet above the bottom"
1101700301_000056,"Letters on Egypt, with a parallel between the manners of its ancient and modern inhabitants, the present State, the Commerce, the Agriculture, and Government of that Country; and an account of the descent of St. Lewis at Damietta: extracted from Joinville, and Arabian authors. Illustrated with maps. By Mr. Savary, Author of the Life of Mahomet, and Translator of the Coran. In two volumes. ...","Savary, M. (Claude Étienne)",64,2,2,0,4,2,5,2,0,2,0,3,4,0,0,0,0,1,3,0,0,2,1,1,6,1,0,0,0,0,11,0,1,0,1,0,1,1,2,0,2,1,1,0,0,2,0,1786,1,2,"London : printed for G. G. J. and J. Robinson, Pater-Noster-Row, MDCCLXXXVI. [1786].",London,593,male,1750,1788,FALSE,"of the Arabian historians, everything proves the truth of this opinion. I know that Mr. Paw, (e) who, from the reccfles of his closet sees everything better than all the travellers , tells them, that this pyramid was the tomb of Oiris. But he stands tingle in this opinion, which"
0130400303_000025,"Indian antiquities: or, dissertations, relative to the ancient geographical divisions, the pure system of primeval theology, the grand code of civil laws, the original form of government, and the various and profound literature, of Hindostan. Compared, throughout, with the religion, laws, government, and literature, of Persia, Egypt, and Greece. The whole intended as introductory to the history of Hindostan, upon a comprehensive scale. ...",Thomas Maurice,56,4,0,0,1,2,1,1,5,0,1,2,1,0,0,2,3,3,4,0,0,0,0,1,3,2,0,0,0,0,2,1,1,1,3,0,0,2,0,2,3,1,0,0,3,1,0,1794,3,5,"London : printed for the author, and sold by W. Richardson, under the Royal-Exchange, M.DCC.XCIV. [1794].",London,269,male,1754,1824,FALSE,"terminate these colonnades. ""From this point the astonished eye surveys the temple , the height of which is most surprising, in all its immencity. Its walls of marble appear everlasting. Its roof , which rites in the centre, is sustained by eighteen rows of columns . Those ilanding under the"
