PassageID,Title,Author,Total termFreq,termFreq(advantag),termFreq(africa),termFreq(america),termFreq(american),termFreq(britain),termFreq(british),termFreq(carri),termFreq(claim),termFreq(coast),termFreq(coloni),termFreq(commerc),termFreq(commod),termFreq(compani),termFreq(consider),termFreq(control),termFreq(countri),termFreq(cultiv),termFreq(cultur),termFreq(dutch),termFreq(east),termFreq(empir),termFreq(europ),termFreq(exclus),termFreq(foreign),termFreq(govern),termFreq(grant),termFreq(hold),termFreq(holland),termFreq(increas),termFreq(indi),termFreq(india),termFreq(inhabit),termFreq(island),termFreq(land),termFreq(law),termFreq(manner),termFreq(nation),termFreq(nativ),termFreq(navig),termFreq(negro),termFreq(parliament),termFreq(peopl),termFreq(place),termFreq(plantat),termFreq(planter),termFreq(price),termFreq(produc),termFreq(regul),termFreq(servant),termFreq(settlement),termFreq(ship),termFreq(slave),termFreq(sold),termFreq(subject),termFreq(territori),termFreq(time),termFreq(tobacco),termFreq(trade),termFreq(traffic),termFreq(west),termFreq(work),termFreq(year),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0155903200_000002,"Reasons against giving a territorial grant to a company of merchants, to colonize and cultivate the peninsula of Sierra Leona [sic], on the coast of Africa.",,114,1,1,2,0,1,1,0,1,1,8,0,0,0,2,1,14,3,0,0,0,0,2,1,1,0,3,1,0,2,1,5,1,8,12,0,0,5,2,3,1,2,1,0,1,0,0,4,0,0,4,1,0,3,1,1,1,0,6,0,4,1,0,1791,1,1,"London : printed in the year, 1791.",London,16,unknown,,,FALSE,"landlocked, and can take off goods in finooth water for one thousand six hundred miles of coast , where the ships going to Africa call for wood and water, and likewise get provisions, rice, dying wood, gums, and other articles of trade , which have always been enjoyed Iby the"
1267500103_000059,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, L L. D. And F. R. S. Of London And Edinburgh: One Of The Commissioners Of His Majesty's Customs In Scotland; And Formerly Professor Of Moral Philosophy In The University Of Glasgow. ...",Adam Smith,148,1,7,4,1,0,0,4,0,2,6,0,0,6,4,0,7,0,0,3,19,0,5,4,0,2,0,0,0,0,17,3,6,4,1,0,1,7,4,1,0,0,1,0,1,0,2,2,0,0,7,4,0,0,1,1,3,0,7,0,0,0,0,1791,3,4,"Basil : printed [by J. J. Tourneisen] for J. J. Tourneisen; and J. L. Legrand, MDCCXCI. [1791].",Basel,368,male,1723,1790,TRUE,"a nation , therefore, is ripe for the East - india trade , a certain portion of its capital will naturally divide itself among all the different branches of that trade . Some of its mer. chants will find it for their interest to reside in the East Indies ,"
0116400302_000074,"The present state of all nations. Containing a geographical, natural, commercial, and political history of all the countries in the known world. ... . By T. Smollett, M.D.",Tobias Smollett,102,6,1,3,0,6,1,2,0,2,3,8,1,6,4,0,4,0,0,1,0,0,0,1,2,2,2,0,1,0,0,3,0,1,0,1,1,4,0,1,1,1,0,0,3,0,0,3,1,1,1,1,2,0,0,0,3,2,12,4,0,0,0,1768,2,8,"London : printed for R. Baldwin, No. 47, Paternoster-Row; W. Johnston, No. 16, Ludgate-Street; S. Crowder, No. 12; and Robinson and Roberts, No. 25, Paternoster-Row, MDCCLXVIII. [1768]-69.",London,492,male,1721,1771,TRUE,"if they were not, the profits arising from the trade would not indemnify the kingdom for the expense of fleets and armies maintained by the public for the defence of the settlements belonging to this monopoly: but, if the truth must be owned, the company is an engine of state,"
0004900300_000002,"The history civil and commercial, of the British colonies in the West Indies. To which is added, an historical survey of the French colony in the island of St. Domingo. Abridged from The history written by Bryan Edwards Esq. Illustrated With A Map.",Bryan Edwards,104,0,2,0,0,5,2,1,1,4,5,1,1,1,0,0,0,6,0,0,0,0,2,0,0,2,2,0,0,0,5,1,2,9,1,0,2,3,6,1,12,0,1,0,3,2,0,3,3,0,2,0,3,0,0,0,3,0,3,0,4,0,0,1798,1,1,"London : printed for B. Crosby, Stationer's Court; for Mundell & Son, Edinburgh; and J. Mundell, College, Glasgow, 1798.",London,442,male,1743,1800,FALSE,"CHARA.BEE ISLANDS . CHAPTER I. BARBADOS. Firt Arrival of the English on this Island . Origin, Progress, and Termination of the Proprietary Government . Revenue granted to the Crown. Orighi of the A of Navigation . Situation and Extent of the Island . Soil and Produce . Population. Its Decline."
1010400100_000113,"A new dictionary of trade and commerce, compiled from the information of the most eminent merchants, and from the works of the best writers on commercial subjects, in all languages. Containing, among other Things, I. An Account of all the natural Productions, which are conducive to Trade, throughout the World. II. The different Manufactures established in each particular Country. III. Explanations of all the Terms used in Commerce. IV. Explanations of the principal Terms of Geography, Astronomy, and Navigation, so far as they are connected with Trade. V. An exact Account of the Coins, Weights, and Measures in use throughout the World, reduced to the English Standard. VI. A Description of the Established Banks, Trading Companies, and Staple Commodities, of different Countries. Vii. The State of the British Trade, National Debt, Funds, Customs, Excise, and other Taxes. Viii. The Laws relative to Trade and Commerce. For the Use of the Merchants and Tradesmen of Great Britain, as well as of private Gentlemen. By Mr. Rolt, with the assistance of several eminent merchants. The second edition, with the addition of a new and accurate set of maps of the world, Europe, Asia, Africa, and North and South America, by Mr. Bowen.",Richard Rolt,109,4,1,0,2,17,7,2,0,1,1,2,8,3,4,0,1,0,0,1,3,0,0,1,0,0,1,0,1,0,2,6,1,1,0,0,0,3,1,1,1,1,0,0,3,0,0,2,1,0,1,0,1,0,0,0,0,6,12,2,1,1,2,1761,1,1,"London : printed for G. Keith, at the Bible and Crown, in Grace-Church-Street; S. Crowder, at the Looking-Glass, and H. Woodgate and S. Brooks, at the Golden Ball, in Pater-Noster-Row, MDCCLXI. [1761].",London,926,male,1724,1770,FALSE,"already manufactured, such as those brought from the Eafl Indies , and buying such commodities as are brought from Turkey to keep the poor at work . The Eafl India trade has been eremed to be of little advantage to the British nation ; for though great quantities of cloth,"
1212500202_000129,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, LL.D. and F.R.S. of London and Edinburgh: one of the commissioners of His Majesty's Customs in Scotland; and formerly professor of moral philosophy in the University of Glasgow. In three volumes. ...",Thomas Dobson,132,1,7,4,1,0,0,4,0,2,5,0,0,5,4,0,6,0,0,3,14,0,4,3,0,3,0,0,0,0,15,1,6,6,1,0,1,5,5,1,0,0,1,0,1,0,2,3,0,0,6,4,0,0,1,1,2,0,4,0,0,0,0,1796,2,3,"Philadelphia : Printed by Thomas Dobson, at the stone house, no. 41, S. Second Street, 1796.",Philadelphia,440,male,1751,1823,FALSE,"be a proof that, at that particular time , that country was not ripe for that trade , and that it would do better to buy for some time , even at a higher price , from other European nations , the East - india goods it had occasion for,"
0729401400_000003,The state of the sugar-trade; shewing the dangerous consequences that Must attend any additional duty thereon.,,87,3,2,3,1,1,0,3,0,1,5,6,0,1,2,0,0,0,0,0,0,0,0,0,1,2,1,0,1,3,1,1,0,8,1,2,0,1,0,4,1,0,2,0,3,3,2,0,1,0,0,2,0,1,0,2,3,1,8,1,2,0,1,1747,1,1,"London : printed by E. Say, in Avemary-Lane, for R. Willuck[sic], at Sir Isaac Newton's-Head in Cornhill, 1747.",London,23,unknown,,,FALSE,"or ."" any other of the Englii/, Sugar Islands , particularly Col. G - ij, Judge g e, ""Mr. D er, Major G -- ey C -- ke, Capt. B -- t, and many others. WHETHER -9 W H E H E It the great Increase of the Frenck in"
0800701200_000023,"Remarks on a pamphlet, entitled Bengal sugar; and on the manner in which the trade of the East-India Company is carried on in the East-Indies by foreign shipping, In Violation Of The Laws Enacted for the Support of the Commerce and Navigation of Great Britain. By Gilb. Francklyn, Esq.","Francklyn, Gilbert",94,1,0,2,2,5,5,4,0,0,2,2,2,7,1,0,1,1,0,1,1,0,3,0,5,0,0,2,0,1,3,12,0,1,1,0,1,3,0,4,0,0,0,1,2,2,0,4,0,1,2,5,0,0,0,2,1,0,0,0,1,0,0,1795,1,1,"London : printed for John Stockdale, Piccadilly, [1795].",London,118,unknown,,,FALSE,"The Dutch , sensible of the circumstance, do not, as formerly, carry their own Sugar to the places ""of consumption. They oblige the Sugar ""merchants of other settlements , to come ""to Batavia for it, and to pay for it in fpe  cie; absolutely refusing to take merchan "
1236701302_000064,"The history of America containing the geographical, political, and commerical [sic] state of that continent: in which is given a succinct account of the trade, customs and policy of the French nation, and the foundation they have laid for obtaining the sole dominion in those colonies. Translated from the French of Mons. du Bosque late Historographer to the French King. In two volumes. ...",Malachy Postlethwayt,85,1,4,1,1,0,1,3,0,0,3,2,0,1,1,0,5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,1,1,1,1,5,0,6,0,2,1,1,3,0,2,1,3,4,1,0,0,1,1,14,3,0,2,0,1771,2,2,"London : printed by James Lowndes in Paternoster-Row, MDCCLXXI. [1771].",London,391,male,1707,1767,FALSE,"of being made secure by fortifications; but no shipping , no trade , no merchants, even where there [ 1i8 3 there is plenty of merchandises. In flort, Africa , though a full quarter of the globe, stored with an inexhaustible treasure, and capable, under properim provements, of producing so"
0800701200_000019,"Remarks on a pamphlet, entitled Bengal sugar; and on the manner in which the trade of the East-India Company is carried on in the East-Indies by foreign shipping, In Violation Of The Laws Enacted for the Support of the Commerce and Navigation of Great Britain. By Gilb. Francklyn, Esq.","Francklyn, Gilbert",105,0,0,2,0,3,1,1,0,0,2,7,2,16,0,1,5,1,0,0,0,0,1,1,13,3,0,0,1,0,2,11,0,1,0,2,2,2,2,3,0,1,0,0,0,0,0,1,2,2,1,4,0,0,3,2,0,1,2,0,1,0,0,1795,1,1,"London : printed for John Stockdale, Piccadilly, [1795].",London,118,unknown,,,FALSE,"is particularly provided by the last adt, that no subject of Great Britain shall ship any merchandise, but in the Company's ships , or ships provided by them bound to the port of London: nor are the private traders permitted to export certain enumerated commodities , even in those ships"
0800701200_000006,"Remarks on a pamphlet, entitled Bengal sugar; and on the manner in which the trade of the East-India Company is carried on in the East-Indies by foreign shipping, In Violation Of The Laws Enacted for the Support of the Commerce and Navigation of Great Britain. By Gilb. Francklyn, Esq.","Francklyn, Gilbert",89,1,1,2,1,5,3,1,0,0,5,3,2,0,1,0,1,2,0,1,2,0,2,1,1,0,0,0,0,0,6,5,3,3,2,0,1,0,1,0,5,0,1,2,0,1,1,5,0,0,0,1,2,0,1,1,1,0,1,0,10,0,1,1795,1,1,"London : printed for John Stockdale, Piccadilly, [1795].",London,118,unknown,,,FALSE,"than we at present possess. It cannot be too firongly inculcated, that the first principle of commerce is barter; the exchange of one commodity for another. Thus, if the produce of the West Indies is worth four millions sterling, these four millions are exchanged for the produce and manufactures of"
0432500700_000677,"Report of the Lords of the Committee of Council appointed for the consideration of all matters relating to trade and foreign plantations; submitting to His Majesty's consideration the evidence and information they have collected in consequence of His Majesty's order in council dated the 11th of February 1788, concerning the present state of the trade to Africa, and particularly the trade in slaves; ...",Great Britain. Board of Trade,136,1,3,5,0,3,9,0,0,1,2,0,4,0,0,0,1,1,0,0,0,0,1,0,8,1,0,0,1,0,8,5,2,20,1,1,0,0,0,0,8,1,0,0,4,3,7,0,0,0,1,1,6,0,1,0,0,0,4,0,9,0,13,1789,1,1,"[London], 1789.",London,890,unknown,,,FALSE,"Export Trade ; fcondly, the Import Trade . 3 T ihe I 3 The Number of Ships , with their Tonnage, which are annually employed in the Trade between the British Islands in the West Indies , and the remaining British Colonies in North America , including Newfoundland, since the"
0190900402_000126,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, L L. D. and F. R. S. of London and Edinburgh: One of the Commissioners of his Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow.",Adam Smith,139,1,7,4,1,0,0,4,0,2,6,0,0,6,4,0,7,0,0,3,17,0,5,5,0,2,0,0,0,0,16,2,6,4,1,0,1,6,4,1,0,0,1,0,1,0,2,2,0,0,6,3,0,0,0,1,3,0,5,0,0,0,0,1784,2,3,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXXIV. [1784].",London,528,male,1723,1790,TRUE,"and T > employ their capitals there in providing goods sir the fn.is wz: ch are to be Lent out by other; nerchants viho re: de in Europe . The settler rnts, hich different European nations have ob: .ind in tile East Indies , if they were taken from the"
0026600202_000126,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, LL. D. and F. R. S. of London and Edinburgh: One of the Commissioners of his Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow. In three volumes. ...",Adam Smith,140,1,7,4,1,0,0,4,0,2,6,0,0,6,4,0,7,0,0,3,18,0,4,5,0,2,0,0,0,0,16,2,6,5,1,0,1,6,4,1,0,0,1,0,1,0,2,2,0,0,7,2,0,0,0,1,3,0,5,0,0,0,0,1793,2,3,"London : printed for A. Strahan; and T. Cadell, in the Strand, MDCCXCIII. [1793].",London,528,male,1723,1790,TRUE,"which different European nations have obtained in the East Indies , if they were taken from the exclusive companies to which they at present belong, and put under the immediate protection of the sovereign, would render this re ffldence both safe and easy, at least to the merchants chants of"
1478900601_000113,"The history of America: containing the geographical, political, and commercial state of that continent; in which is given a succinct account of the trade, customs and policy of the French nation, and the foundation they have laid for obtaining the sole dominion in those colonies. Translated from the French of Mons. Du Bosque, late historographer to the French King. In two volumes.",Malachy Postlethwayt,92,2,2,7,1,2,6,2,0,0,8,4,4,1,1,0,0,0,0,2,0,0,1,0,4,0,0,0,0,3,1,1,0,2,4,0,0,2,0,2,0,1,1,2,3,0,0,2,0,0,0,4,0,0,2,1,1,2,8,1,2,0,0,1770,1,2,"London : printed by George Cave and William Jordon, in St. Paul's Church Yard, MDCCLXX. [1770]",London,390,male,1707,1767,FALSE,"that follows. Ir the French shall grow so powerful in America , as to be able to intercept, or engross the trade with the Indians, or fubjet or ruin our plantations , there is an end of our home produce and manufatures in America , of all our fhipping trade"
0684801700_000003,"Considerations on the present peace, As far as it is relative to the colonies, and the African trade.","Roberts, John, governor of Cape Coast Castle",82,2,2,3,0,3,6,2,0,1,6,2,1,0,2,0,2,0,1,0,2,0,1,0,3,0,0,0,0,4,1,2,0,5,0,0,3,2,0,2,1,0,1,0,3,2,1,2,0,0,0,1,0,1,0,0,0,1,7,1,1,0,2,1763,1,1,"London : printed for W. Bristow, at the West End of St. Paul's Church-Yard, MDCCLXIII. [1763].",London,79,unknown,,,FALSE,"barter for the same, it would make the balance of that [ 5.) that trade for the future much more in our: favou. than it has. been against us becaufe.we having so greatly extended the British dominion on. the continent of America , the French in. their sugar islands cannot"
0442900201_000073,"An account of the European settlements in America. In six parts. I. A short History of the Discovery of that Part of the World. II. The Manners and Customs of the original Inhabitants. III. Of the Spanish Settlements. IV. Of the Portuguese. V. Of the French, Dutch, and Danish. VI. Of the English. Each Part contains An accurate Description of the Settlements in it, their Extent, Climate, Productions, Trade, Genius and Disposition of their Inhabitants: the Interests of the several Powers of Europe with respect to those Settlements; and their Political and Commercial Views with regard to each other. In two volumes. ...",Edmund Burke,97,4,5,3,1,0,0,2,2,5,4,1,2,0,5,0,3,1,0,1,0,1,1,0,0,1,0,1,0,2,0,0,1,0,0,0,0,4,3,0,0,0,3,3,2,0,1,1,0,0,4,1,6,0,1,2,2,1,11,0,0,2,4,1758,1,2,"London : printed for R. and J. Dodsley in Pall-Mall, MDCCLVIII. [1758].",London,341,male,1729,1797,TRUE,"dying red, but not a red of the ber kind; and it has some place in medicine as a stomachic and reftringent. C H A P. III The trade of Brazil. Its intercourse with Africa . The settlement of the river Amazons and Rio Janeiro. The gold mines. The commonwealth"
1408602500_000003,"The Legal claim of the British sugar-colonies to enjoy an exclusive right of supplying this kingdom with sugars, in return for sundry restrictions laid upon these colonies in favour of the products, manufactures, commerce, revenue, and and navigation, of Great Britain; demonstrated by proofs extracted from the statute-book.",,104,1,3,5,2,0,2,0,3,0,9,1,0,12,0,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,5,4,0,3,2,3,3,0,2,1,1,0,0,3,11,0,0,0,0,0,3,0,0,0,0,4,0,0,11,2,0,0,1,1792,1,1,"[London : s.n., 1792].",London,17,unknown,,,FALSE,"Alia was uznder a company , and the aa in queffion is declared to be r: an a to settle the "" trade (that: is the whole trade ) to Africa ;  which being defcribedu as solely reprreaing this kingdom and its plantations , fach plantations could only be"
0083200701_000073,"An account of the European settlements in America. In six parts. I. A short History of the Discovery of that Part of the World. II. The Manners and Customs of the original Inhabitants. III. Of the Spanish Settlements. IV. Of the Portuguese. V. Of the French, Dutch, and Danish. VI. Of the English. Each Part contains An accurate Description of the Settlements in it, their Extent, Climate, Productions, Trade, Genius and Disposition of their Inhabitants: the Interests of the several Powers of Europe with respect to those Settlements; and their Political and Commercial Views with regard to each other. In two volumes. ...",Edmund Burke,81,3,2,2,1,0,0,2,1,3,2,1,2,1,4,0,3,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,3,4,0,0,0,3,2,2,1,1,1,1,0,4,2,5,0,0,1,2,1,8,0,0,2,3,1777,1,2,"London : printed for J. Dodsley, in Pall-Mall, M.DCC.LXXVII. [1777].",London,343,male,1729,1797,TRUE,"and in the country ; where several numerous nations acknow 7 ledg ledge, .themselves their dependants or, fubjecs., This is not only of great advantage to them, as it increases their shipping and seamen, and strengthens their commercial reputation, but as it leaves them a large field for their slave"
0026700102_000130,"An inquiry into the nature and causes of the wealth of nations. By Adam Smith, L L. D. and F. R. S. of London and Edinburgh: One of the Commissioners of his Majesty's Customs in Scotland; and Formerly Professor of Moral Philosophy in the University of Glasgow. In three volumes. ...",Adam Smith,110,1,7,4,1,0,0,4,0,2,6,0,0,5,3,0,5,0,0,3,6,0,2,3,0,2,0,0,0,0,13,1,6,5,1,0,1,5,5,1,0,0,0,0,1,0,2,3,0,0,5,2,0,0,1,1,0,0,3,0,0,0,0,1786,2,3,"London : printed for A. Strahan, and T. Cadell, in the Strand, MDCCLXXXVI. [1786].",London,531,male,1723,1790,TRUE,"higher price , from other European nations , the East - india goods it had occasion for, than to import them itself direfly from the Eall Indies . What it might lose by the high price of those goods could seldom be equal to the loss which it would sustain"
