PassageID,Title,Author,Total termFreq,termFreq(afternoon),termFreq(air),termFreq(anchor),termFreq(bear),termFreq(blow),termFreq(breez),termFreq(calm),termFreq(caus),termFreq(clear),termFreq(clock),termFreq(cloud),termFreq(cloudi),termFreq(cold),termFreq(continu),termFreq(cours),termFreq(dark),termFreq(dry),termFreq(east),termFreq(fail),termFreq(fall),termFreq(fine),termFreq(fleet),termFreq(fun),termFreq(gale),termFreq(gener),termFreq(heat),termFreq(hot),termFreq(inch),termFreq(land),termFreq(latitud),termFreq(leagu),termFreq(light),termFreq(littl),termFreq(mean),termFreq(moder),termFreq(month),termFreq(morn),termFreq(mountain),termFreq(night),termFreq(noon),termFreq(north),termFreq(observ),termFreq(rain),termFreq(reason),termFreq(rock),termFreq(run),termFreq(sail),termFreq(sea),termFreq(season),termFreq(set),termFreq(small),termFreq(snow),termFreq(south),termFreq(trade),termFreq(warm),termFreq(water),termFreq(weather),termFreq(weft),termFreq(wind),termFreq(winter),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0779600102_000088,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution. In which is included, Captain Furneaux's Narrative of his Proceedings in the Adventure during the Separation of the Ships. In two volumes. Illustrated with Maps and Charts, and a Variety of Portraits of Persons and Views of Places, drawn during the Voyage by Mr. Hodges, and engraved by the most eminent Masters. ...",James Cook,125,5,4,0,0,0,4,4,0,5,0,1,1,4,6,1,0,0,6,0,1,0,2,0,4,1,0,0,0,1,11,0,3,3,1,0,0,5,0,6,6,2,2,0,0,0,0,1,2,0,1,1,7,4,0,0,3,7,1,9,0,1779,2,2,"London : printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXIX. [1779].",London,440,male,1728,1779,FALSE,"After sunrise, being then in the latitude of 58° 3o' S., longitude IS 14' vwel; the variation, by the mean results of two compaltes, was O 43' East . These observations were more to be depended on than those made the night before, there being mucih less sea now than"
1125500700_000077,"Voyages made in the years 1788 and 1789, from China to the North West Coast of America. To which are prefixed, an introductory narrative of a voyage performed in 1786, from Bengal, in the Ship Nootka; observations on the probable existence of a North West Passage; and Some Account of the Trade Between the North West Coast of America and China; and the Latter Country and Great Britain. By John Meares, Esq,",John Meares,119,1,0,0,1,1,0,0,0,3,0,1,1,4,5,5,0,0,6,0,0,0,0,2,3,0,1,0,0,3,7,4,1,0,0,3,1,3,2,2,6,10,2,2,2,1,5,2,4,0,2,0,0,5,0,0,2,11,0,5,0,1790,1,1,"London : printed at the Logographic Press; and sold by J. Walter, No 169, Piccadilly, Opposite Old Bond Street, M.DCCXC. [1790].",London,641,male,1756,1809,FALSE,"desirable circutiitance, as, among other pressing reasons , the hip was become extremely light , from the great expenditure ofproviiions and water . We had, indeed, been of late extremely fortunate in our winds , but much more so in the health of the crew, who felt no other inconvenience"
0944200103_000058,"A voyage to the Pacific Ocean. Undertaken, by the command of His Majesty, for making discoveries in the Northern hemisphere. ... In three volumes. Vol. I and II. written by Captain James Cook, F.R.S. Vol. III. by Captain James King, ...","King, James",97,2,0,0,1,1,1,0,0,3,0,1,0,4,4,0,0,0,3,0,2,1,2,0,1,2,1,1,0,7,4,5,1,0,0,2,1,3,2,1,3,7,0,0,0,1,2,4,2,0,1,0,3,3,0,1,1,8,0,5,0,1785,3,3,"London : printed by H. Hughs, for G. Nicol; and T. Cadell, 1785.",London,572,male,1750,1784,FALSE,"the i9th, 180 lath, the thermometer, in the daytime, remained at the 1779 freezing point, and at four in the morning fell to 29°. If the reader will take the trouble to compare the degree of Monday 19 heat , during the hot sultry weather we had at the beginning"
1545500100_000049,"A voyage round the world; but more particularly to the north-west coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, Captains Portlock and Dixon. ... By Captain George Dixon.","Dixon, George",141,4,1,0,0,0,2,0,0,3,0,0,2,1,2,0,2,0,4,2,0,1,2,0,5,2,0,0,0,4,10,1,3,3,2,6,0,5,0,4,8,10,2,5,0,0,0,6,1,1,0,0,1,10,0,0,0,14,0,12,0,1789,1,1,"London : printed for John Stockdale, and Geo. Goulding, 1789.",London,475,unknown,,,FALSE,"at Onee how how with ease; and as a supply of yams, which we; were morally 1787 certain of procuring there, would have been highly serviceable, it March. may seem strange that Captain Portlock should stand to the Northward at the moment when his every with appeared easy to be"
0718900700_000017,"A voyage round the world; but more particularly to the north-west coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, Captains Portlock and Dixon. Dedicated, by Permission, to Sir Joseph Banks, Bart. By Captain George Dixon.","Beresford, William, Supercargo of the ""Queen Charlotte""",117,4,0,1,3,0,4,1,0,1,0,0,2,1,0,2,0,1,6,0,0,2,1,0,4,1,0,0,0,10,8,5,1,1,0,3,0,5,0,2,4,1,2,2,0,2,0,2,1,1,0,0,0,17,0,0,3,8,0,5,0,1789,1,1,"London : published by Geo. Goulding, Haydn's Head, No. 6, James Street, Covent Garden, 1789.",London,464,unknown,,,FALSE,"The i 6th, being moderate and fine , we had a great quantity of spermaceti whales about the flnip, latitude 41 deg. South . On the 21il, we had a very heavy gale of wind , which obliged us to hand our topsails, and reef our courses : we also"
1545500100_000107,"A voyage round the world; but more particularly to the north-west coast of America: performed in 1785, 1786, 1787, and 1788, in the King George and Queen Charlotte, Captains Portlock and Dixon. ... By Captain George Dixon.","Dixon, George",127,3,0,3,2,0,10,1,0,3,0,0,2,0,0,2,0,0,5,2,0,2,0,0,0,2,1,1,0,3,9,2,3,1,0,2,1,3,0,3,9,8,0,4,0,3,0,2,1,0,1,0,0,18,0,0,2,7,0,6,0,1789,1,1,"London : printed for John Stockdale, and Geo. Goulding, 1789.",London,475,unknown,,,FALSE,"we weighed and mnade fail , with a fresh Westerly breeze and cloudy weather . At noon , the extremes of Prince's Island bore from West North West to South 65 deg. West; a bluff point on Java bearing South Welt by South , about four leagues distant ~ the"
0785700102_000079,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution. In which is included, Captain Furneaux's Narrative of his Proceedings in the Adventure during the Separation of the Ships. In two volumes. Illustrated with Maps and Charts, and a Variety of Portraits of Persons and Views of Places, drawn during the Voyage by Mr. Hodges, and engraved by the most eminent Masters. ...",James Cook,111,5,3,0,0,0,3,3,0,6,0,1,1,2,4,3,0,0,6,1,3,0,2,0,2,1,0,0,0,1,8,0,2,0,1,0,0,5,0,7,3,1,2,0,2,0,0,1,2,0,0,1,7,3,0,0,3,6,1,9,0,1784,2,2,"London : printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXXIV. [1784].",London,407,male,1728,1779,FALSE,"coming out in an ice island. The islands and floats on the coast, the great falls from the ice cliffs in the port, or a heavy fiow storm attended with a sharp frost, would be equally fatal. After such an explanation as this, the Reader must not ex pectt to"
1075700300_000006,"A voyage to the River Sierra-Leone, on the coast of Africa; containing an account of the trade and productions of the country, and of the civil and religious customs and manners of the people; in a series of letters to a friend in England. By John Matthews, ... With an additional letter on the subject of the African slave trade. ... To which are added, eight plates ...","Matthews, John, lieutenant in the Royal Navy",129,0,5,0,0,3,5,2,0,3,0,0,1,1,1,1,1,1,0,2,1,0,1,3,0,4,0,1,0,6,1,2,5,3,1,3,15,6,0,1,1,5,0,9,0,0,0,0,5,5,1,0,0,4,3,0,1,8,0,8,0,1791,1,1,"London : printed for B. White and Son; and J. Sewell, 1791.",London,206,unknown,,,FALSE,"eye can reach, the trees seem to float upon the waving surface of the water ; or, to a lively imagination, may appear like a fleet of ships. The natives at and about Sierra leone are not remarkable for their industry or their honesty; they cultivate little more rice than"
0785700101_000024,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution. In which is included, Captain Furneaux's Narrative of his Proceedings in the Adventure during the Separation of the Ships. In two volumes. Illustrated with Maps and Charts, and a Variety of Portraits of Persons and Views of Places, drawn during the Voyage by Mr. Hodges, and engraved by the most eminent Masters. ...",James Cook,113,5,0,0,0,0,2,2,0,4,0,0,1,0,3,7,1,0,6,1,1,0,2,1,6,0,0,0,0,3,6,0,0,3,1,0,0,6,0,3,3,2,3,3,0,1,2,3,5,0,2,1,4,3,0,0,0,10,0,7,0,1784,1,2,"London : printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXXIV. [1784].",London,437,male,1728,1779,FALSE,"better to discover anything that might lie in our way. We continued to fail in this manner till six o'clock in the evening, when hazy weather , and snow showers, made it necessary for us to join. We kept our course to N. E. till eight o'clock in the morning"
0082100101_000030,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution. ...",James Cook,101,5,1,0,0,0,2,2,1,2,0,0,1,2,7,1,1,0,1,0,0,0,2,3,4,1,0,0,0,1,7,1,0,2,1,0,1,5,0,2,4,4,1,2,0,0,0,4,2,0,2,1,1,5,0,1,0,9,0,9,0,1777,1,2,"London : printed for W. Strahan; and T. Cadell, 1777.",London,454,male,1728,1779,FALSE,"eight in the morning of the 26th, and noon the next day, we fell in among several islands of ice; from whence such vail quantities had broken as to cover the sea all round us, and render sailing rather dangerous. However, by noon , we were clear of it all."
1559800400_000462,"A New, authentic, and complete collection of voyages round the world, undertaken and performed by royal authority. Containing a new, authentic, entertaining, instructive, full, and complete historical account of Captain Cook's first, second, third and last voyages, undertaken by order of His Present Majesty, for making new discoveries in geography, navigation, astronomy, &c. in the southern and northern hemispheres, &c. &c. &c. And successively performed in the years 1768, 1769, 1770, 1771-1772, 1773, 1774, 1775-1776, 1777, 1778; 1779, 1780. His first voyage-being professedly undertaken in His Majesty's ship the endeavour, for observing the transit of Venus, and for making discoveries in the Southern Hemisphere, and round the world. His second-in the resolution and adventure, for making further discoveries towards the south pole, and round the world. His third and last-in the resolution and discovery, to the Pacific Ocean, for making discoveries in the Northern Hemisphere, and to determine the position and extent of the west side of North America; its distance from Asia; and the practicability of a northern passage to Europe. Comprehending, among the greatest variety of the most interesting transactions, a faithful account of all the particulars relative to the unfortunate death of Capt. Cook, with his life, &c. &c. Including likewise all the curious remarks communicated to this country by Capt. Cook's principal assistants in performing and conducting these celebrated voyages, viz. Sir Joseph Banks, Dr. Solander, Dr. King, Dr. Hawkesworth, Dr. Forster, Mr. Forster, Capt. Clerke, Capt. Gore, Mr. Ellis, &c. &c. Together with a narrative of Capt. Furneaux's proceedings in the adventure during the separation of the ships in the second voyage, during which period several of his people were destroyed by the natives of Queen Charlotte's sound. To which will be added, complete and genuine narratives of other voyages of discovery round the world, &c. undertaken, performed, and written by English circum-navigators, &c. under the sanction of government, viz. those of Lord Byron, Capt. Wallis, Capt. Carteret, Lord Mulgrave, Lord Anson, Mr. Parkinson, Capt. Lutwidge, Mess. Ives, Middleton, Smith, Moore, &c. &c. &c. Including a faithful relation of the substance of all the most remarkable and important travels and journeys, which have been undertaken at various times to the different quarters of the world; particularly those of Hanway, Hamilton, Herbert, Drummond, Pocock, Shaw, Stuart, Kalm, Carver, Dalrymple, Burnet, Addison, Barretti, Keysler, Thickness, Twiss, Brydone, Chandler, Johnson, Smollet, Moore, Wraxall, &c. The whole comprehending a full account, from the earliest period to the present time, of whatever is curious, entertaining, and useful, both by sea and land, in the various countries of the known world, faithfully extracted from the original journals of the respective voyagers, &c. &c. &c. Being the most accurate, elegant, and perfect edition, of the whole of Capt. Cook's voyages and discoveries; &c. Ever published, and written in a more pleasing and elegant stile than any other work of the kind. Illustrated with (besides the curious and interesting cuts for Capt. Cook's first and second voyages, &c. &c. &c.) all the elegant, splendid, and fine large folio copper-plates, belonging to his third and last voyage, being views of places, portraits of persons, and historical representations of remarkable incidents during this celebrated navigator's voyage to the Pacific Ocean; together with all the necessary maps, charts, plans, draughts, &c. Shewing the tracks of the ships, and relative to countries now first discovered, or hitherto but imperfectly known; the whole (amounting to upwards of one hundred and fifty copper-plates, containing about two hundred and twenty most elegant and superb engravings) sinely engraved and accurately copied from the originals by the most eminent masters. It is proper to observe, that some other editions of these works (unnecessarily extended to many large volumes, by loose printing, blank paper, and other artisices practised by mercenary persons) would cost a purchaser the enormous sum of upwards of twenty guineas; so that many thousands of persons who would with to peruse the valuable discoveries so partially communicated to the world, and view the astonishing fine copper-plates, have hitherto been excluded from gratifying their eager curiosity; but this edition, by being published in only eighty six-penny numbers, (making, when completed, either one or two very large handsome volumes in folio) enables every person, whatever may be his circumstances, to become familiarly acquainted with those extraordinary and important voyages and discoveries, in the performance and prosecution of which such vast sums of the public money have been expended. Therefore as the price of this work is rendered so moderate and easy, the whole of Capt. Cook's voyages, &c. will be more universally read, and the obvious intention of the King and government, that the improvements and discoveries in these celebrated voyages might be communicated to the whole world, will of course be more fully answered. The whole of these voyages of Capt. James Cook, &c. being newly written by the editors from the authentic journals of several principal officers and other gentlemen of the most distinguished naval and philosophical abilities, who sailed in the various ships; and now publishing under the immediate direction of George William Anderson, Esq. assisted, very materially, by a principal officer who sailed in the resolution sloop, and by many other gentlemen of the Royal Navy.",,84,1,1,1,0,0,2,1,0,3,0,0,2,4,0,2,1,0,1,0,0,0,2,0,1,2,1,1,0,4,8,4,2,1,1,1,0,5,2,0,2,2,3,2,1,1,0,1,3,2,0,0,4,0,0,0,2,7,0,0,0,1786,1,1,"London : Printed for Alex. Hogg, at the original King's-Arms, No. 16, Pater-Noster-Row, [1786?].",London,975,unknown,,,FALSE,"are here in no great plenty, and few hips appear. in the open sea in pur fuirof.them. They generally at this season frequent the. bays and creeks near the shore, and only break away when they are pursued or wounded.. .- p - . On Thurfdiay the 24th, the coimmodore"
0082100101_000025,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the Resolution and Adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the Resolution. ...",James Cook,116,3,0,0,1,0,2,2,0,4,0,0,0,1,5,3,1,0,4,2,0,0,5,1,5,0,0,0,0,4,5,1,0,2,1,1,0,7,0,4,2,4,2,1,1,0,0,2,4,0,2,0,6,5,0,0,2,11,0,10,0,1777,1,2,"London : printed for W. Strahan; and T. Cadell, 1777.",London,454,male,1728,1779,FALSE,"search of the land lately discovered by the French. And, as the winds still continued at E. by S., I was obliged to return to the North , over some part of the sea I had already made myself acquainted with, and, for that reason , wished to have avoided."
0180700200_000009,"The journal of a voyage undertaken by order of His present Majesty, for making discoveries towards the North Pole, by the Hon. Commodore Phipps, and Captain Lutwidge, In His Majesty's Sloops Racehorse And Carcase. To which is prefixed, an account of the several voyages undertaken for the discovery of a north-east passage to China and Japan.",,95,1,2,1,1,0,3,1,0,2,0,0,2,3,0,2,1,0,5,0,0,0,1,1,0,1,1,0,0,5,10,5,4,1,1,1,0,4,1,0,1,7,2,1,1,1,0,2,4,1,0,0,4,1,0,0,2,7,0,1,0,1774,1,1,"London : printed for F. Newbery, at the Corner of St. Paul's Church Yard, MDCCLXXIV. [1774].",London,126,unknown,,,FALSE,"rainfleet, and, snow ; at seven id the. morning clear weather and: an open sea . Sunday 27, light airs from the southward, and cloudy weather ; much warmer than the preceding day. It is remarkable, that the vicissitudes of heat and cold are more frequent here than in the"
0506100402_000059,"Travels through France and Italy. Containing observations on Character, Customs, Religion, Government, Police, Commerce, Arts, and Antiquities, With a particular description of the town, territory, and climate of Nice: to which is added, a register of the weather, kept during a residence of eighteen months in that city. By T. Smollett, M.D. In two volumes. ...",Tobias Smollett,141,3,8,0,0,5,0,5,0,5,0,1,7,5,0,0,0,2,6,0,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,2,2,3,3,10,0,10,0,3,0,0,1,0,0,1,2,6,0,3,3,20,0,14,1,1766,2,2,"Dublin : printed for J. Hoey, sen. A. Leathly, P. Wilson, J. Exshaw, E. Watts, D. Chamberlain, J. Murphy, W. Sleator, H. Saunders, J. Hoey, Jun. J. Potts, S. Watson, and J. Williams, M.DCC.LXVI. [1766].",Dublin,245,male,1721,1771,TRUE,"7 im Kept atlice from November 1.763 to March. tr6 .' THE RMOMETERS ufedin keeping the following RE GITE G R. N E of mercury, conltruded after the manner of Reaumur, having on the scale to degrees from ice to temperate, zo degrees silkworm heat , boiling water 8o degrees."
1390600702_000059,"A voyage towards the South Pole, and round the world. Performed in His Majesty's ships the resolution and adventure, in the years 1772, 1773, 1774, and 1775. Written by James Cook, commander of the resolution. In which is included, Captain Furneaux's narrative of his proceedings in the adventure during the separation of the ships. In two volumes. Illustrated with maps and charts, and a variety of portraits of persons and views of places, drawn during the voyage by Mr. Hodges, and engraved by the most eminent masters.",James Cook,136,4,0,0,0,0,7,3,0,2,0,0,3,0,2,4,0,0,4,0,0,5,0,0,11,0,0,0,0,1,15,2,1,0,0,3,0,7,1,2,13,6,3,0,0,1,1,3,1,0,2,0,0,5,0,0,0,11,3,10,0,1777,2,2,"London : Printed for W. Strahan; and T. Cadell in the Strand, MDCCLXXVII. [1777].",London,447,male,1728,1779,FALSE,"of its having risen two feet higher than it ever did in the course of his experiments. Y A TOWARDS THE SOUTH POLE, AND RO U ND THE WORLD, BOOK IV From leaving New Zealand to our Return to England. CHAP. I. Te Run from New Zealand to Terra del"
