PassageID,Title,Author,Total termFreq,termFreq(air),termFreq(appear),termFreq(appli),termFreq(attend),termFreq(begin),termFreq(bleed),termFreq(blood),termFreq(bodi),termFreq(cafe),termFreq(caus),termFreq(cold),termFreq(continu),termFreq(cure),termFreq(danger),termFreq(degre),termFreq(differ),termFreq(diseas),termFreq(disord),termFreq(drink),termFreq(fever),termFreq(follow),termFreq(frequent),termFreq(gener),termFreq(happen),termFreq(head),termFreq(heat),termFreq(increas),termFreq(inflamm),termFreq(kind),termFreq(littl),termFreq(matter),termFreq(mean),termFreq(medicin),termFreq(method),termFreq(natur),termFreq(observ),termFreq(occas),termFreq(open),termFreq(oper),termFreq(pain),termFreq(patient),termFreq(person),termFreq(physician),termFreq(prevent),termFreq(produc),termFreq(proper),termFreq(purg),termFreq(quantiti),termFreq(remedi),termFreq(remov),termFreq(sever),termFreq(small),termFreq(sometim),termFreq(symptom),termFreq(taken),termFreq(ulcer),termFreq(urin),termFreq(violent),termFreq(warm),termFreq(water),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0958600500_000113,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a dispensatory for the Use of Private Practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,123,2,0,0,5,0,2,9,1,5,2,1,0,1,4,1,2,7,2,3,2,1,1,1,0,0,1,2,3,0,0,1,1,2,0,1,0,7,2,1,4,7,1,0,1,2,0,5,2,1,0,0,2,4,2,3,4,7,2,0,3,1774,1,1,"London : printed for W. Strahan; T. Cadell in the Strand; and J. Balfour, and W. Creech, at Edinburgh, MDCCLXXIV. [1774].",London,781,male,1729,1805,FALSE,fainting fits. THIS disease is sometimes periodical; in which cafe it is less dangerous . It often proceeds fi-om an obftrution of the menes in women; and sometimes from the slopping of the hlnmorrhoid.ll flux in men. It may be occafonecl by anything that grcadly LI imu lates or wounds
0257500300_000072,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a display of their medicinal and occult properties, ... Forming a complete family dispensatory, ... Beautified and enriched with engravings ... Th medical part. By E. Sibly, ...",Nicholas Culpeper,130,2,6,2,1,2,6,1,4,4,0,2,3,4,4,0,0,6,0,2,12,0,2,7,0,0,3,1,5,2,0,1,1,3,0,1,0,2,1,0,1,10,0,0,1,0,2,3,1,0,2,0,3,1,7,0,2,1,3,2,1,1795,1,1,"London : printed for the author, and sold at the British Directory-Office; and by Champante and Whitrow, [1795?].",London,264,male,1616,1654,FALSE,"a running at the nose. There is an inflammation and heat in the eyes, with a defluxion of harp tears, vomiting, and great acuteness of sensation, so that the patient cannot bear the light without pain . About the fourth day, small spots, resembling flea bites, appear , first upon"
0580300500_000116,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a dispensatory for the use of private practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,129,0,0,0,5,0,2,11,4,4,2,1,1,1,6,1,2,5,2,2,2,1,4,2,0,0,1,0,2,0,0,1,2,3,0,1,0,7,2,1,5,5,0,0,1,1,0,5,4,1,0,0,3,4,1,4,3,7,3,0,4,1792,1,1,"London : printed for A. Strahan; T. Cadell in the Strand; and J. Balfour, and W. Creech, at Edinburgh, MDCCXCII. [1792].",London,780,male,1729,1805,FALSE,the spirit of vitriol; or he may take frequently a cup of the tincture of roses. Bathing the feet and legs in lukewarm water has liktwile a very good effec in this direafe. Opiates too are sometimes beneficial; but thefemuf be administered with caution. Ten or twelve drops of of
0274500300_000118,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a dispensatory for the Use of Private Practitioners. To which are added, observations on the diet of the common people; Recommending a Method of Living Less Expensive, and more Conducive to Health, than the Present. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,131,0,0,0,5,0,2,11,4,3,1,1,1,1,6,1,2,4,2,4,1,1,4,2,0,0,1,0,3,0,1,1,2,3,0,1,0,7,2,1,5,4,0,0,1,1,0,5,4,1,0,0,4,5,2,5,1,7,3,0,5,1798,1,1,"London : printed for A. Strahan, and T. Cadell jun. and W. Davies (successors to Mr. Cadell,) in the Strand; and J. Balfour, and W. Creech, Edinburgh, 1798.",London,821,male,1729,1805,FALSE,"of use; a scruple or half a drachm of nitre may be taken in a cup of his ordinary drink twice or thrice a day. His drink may iikewife be sharpened with acids, as juice of lemon, or a few drops of the spirit of vitriol; or he may take"
0257500300_000074,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a display of their medicinal and occult properties, ... Forming a complete family dispensatory, ... Beautified and enriched with engravings ... Th medical part. By E. Sibly, ...",Nicholas Culpeper,124,0,3,3,2,0,6,2,2,2,1,1,2,4,5,1,0,8,1,3,3,0,2,3,0,1,2,1,10,0,1,0,2,3,0,1,0,0,4,3,5,8,1,0,0,1,1,1,1,0,1,3,1,2,5,2,0,1,4,2,3,1795,1,1,"London : printed for the author, and sold at the British Directory-Office; and by Champante and Whitrow, [1795?].",London,264,male,1616,1654,FALSE,"the space of twenty-four hours. If the disease proves obstinate, and does not yield to the medicines , it will be necessary to apply a blistering plaster to the whole head . OF THE INFLAMMATION OF THE EYES. THIS disorder is attended with acute pain , heat , redness, and"
0257500300_000073,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a display of their medicinal and occult properties, ... Forming a complete family dispensatory, ... Beautified and enriched with engravings ... Th medical part. By E. Sibly, ...",Nicholas Culpeper,128,1,1,5,2,0,8,6,5,3,1,1,3,3,2,1,0,5,1,3,4,1,2,3,1,7,3,0,7,1,0,0,2,3,0,2,0,3,3,2,2,7,0,0,0,0,1,1,4,0,0,0,4,4,2,2,0,1,1,2,2,1795,1,1,"London : printed for the author, and sold at the British Directory-Office; and by Champante and Whitrow, [1795?].",London,264,male,1616,1654,FALSE,"paffons or affections of the mind; as, fear, anger, c. When the body has been heated to a great degree , and is immediately exposed to the cold air , so that the'perfpiration is suddenly checked, an erysipelas will often ensue. It may also be occasioned by drinking to excess,"
0239600200_000113,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With An Appendix, containing a Dispensatory for the Use of Private Practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,126,0,0,1,4,0,4,9,4,3,1,1,1,1,5,1,2,5,2,4,1,1,4,2,0,0,1,1,2,0,1,1,1,2,0,1,0,6,2,1,5,5,0,0,1,1,0,4,4,1,0,0,4,4,0,6,2,6,3,0,5,1781,1,1,"Dublin : printed by D. Graisberry, for Messrs. Sleater, Whitestone, Chamberlaine, Williams, and Moncrieffe, M,DCC,LXXXI. [1781].",Dublin,590,male,1729,1805,FALSE,"for reltraining it. The body Should be kept gently open by laxative diet; as roasted apples, stewed prunes, c. If these should not have the effect, a teaspoonful of the lenitive ele&u ary may be taken twice or thrice a day, as is found necessary. If the bleeding proves violent"
0758900400_000265,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a Display of their Medicinal and Occult Properties, Physically Applied to The Cure of all Disorders incident to Mankind. To which are Annexed, Rules for Compounding Medicine according to the True System of Nature: Forming a complete family dispensatory, and natural system of physic. Beautified and enriched with engravings of upwards of Four Hundred and Fifty different Plants, And a Set of Anatomical Figures. Illustrated with notes and observations, Critical and Explanatory. By E. Sibly, M. D. Fellow of the Harmonic Philosophical Society at Paris; and Author of the Complete Illustration of Astrology.",Nicholas Culpeper,122,1,5,2,2,2,4,1,2,4,0,2,3,2,5,0,0,8,0,3,10,0,2,6,0,1,2,1,4,1,0,1,2,3,1,4,0,1,0,0,1,10,0,0,1,0,2,3,1,0,1,0,4,1,6,0,2,1,2,1,1,1794,1,1,"London : printed for the author, and sold at the British Directory Office, Ave-Maria-Lane; and by Champante and Whitrow, Jewry-Street, Aldgate, [1794?].",London,711,male,1616,1654,FALSE,"precedes and attends the eruption. Hence the chief secret of inoculation consists in regulating the eruptive fever , which generally may be kept sufficiently low by the methods mentioned above. The regimen during the disease is in all respects the same as under the natural small pqox The patient must"
1700800400_000025,"The Best and easiest method of preserving uninterrupted health to extreme old age: Established upon the justest laws of the animal oeconomy, and confirmed by the suffrages of the most celebrated practitioners among the antients and moderns. From a manuscript found in the library of an eminent physician lately deceased, and by him intended as a legacy to the world.",,120,0,1,1,3,1,1,1,2,1,3,2,0,2,2,2,0,1,10,2,5,0,2,4,1,0,1,1,15,2,0,5,1,1,1,2,0,0,0,0,6,2,0,0,0,4,6,1,2,0,2,0,4,1,2,4,1,3,2,3,1,1748,1,1,"London : Printed by order of his executors, and sold by M. Cooper at the Globe in Pater-noster-Row, MDCCXLVIII. [1748].",London,216,unknown,,,FALSE,"Liver. One of the most considerable remote and secondary Causes of this Misfortune is excessive Fatness, for we often find that Cattle fatted on rich Pasturage F 4 die die suddenly after violent Exercise, or being driven far to Markets; and upon diffe&ing such we always find the Liver inflamed"
0306500500_000072,"The practical physician; or, medical instructor. Pointing out remedies for the various diseases of mankind: With Directions for the Preservation of Health. Specifying the Causes, Symptoms, proper Regimen, and Method of Cure of the Different Disorders incident to the Human Body. Adapted to the use of private families; Though conveying equal Information to the Scientific. Together with observations on diet, air, and exercise. The Effects of the Passions, And their Influence on the Production and Prevention of Disease. Including, Medical Advice to Women, on Pregnancy, Child-Birth, &c. And Ample Instructions to Parents and Nurses, Respecting the Disorders of Children. By Lewis Mansey, M. D. Assisted by Communications from the most respectable Practitioners, and the Productions of the most celebrated Medical Writers, whose Names are cited.","Mansey, Lewis",107,1,0,1,2,1,2,3,2,4,2,1,3,1,1,2,0,7,4,2,1,0,7,3,0,0,1,3,7,1,1,2,1,3,0,0,1,1,1,0,8,4,0,1,1,0,1,1,2,0,1,0,1,2,2,1,0,2,5,2,1,1800,1,1,"London : printed by W. Stratford. Crown Court, Temple Bar. For J. Stratford, No. 112, Holborn-Hill, [1800].",London,641,unknown,,,FALSE,"the pain is less, but the licknefs, anxiety, and thirst, are greater. This disease may be diftinguilhed from the pleurisy, by the pain being less violent , and in general by its seat; by the dimculty and pain that always attends lying on the left fide by the pulse being"
0758900400_000267,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a Display of their Medicinal and Occult Properties, Physically Applied to The Cure of all Disorders incident to Mankind. To which are Annexed, Rules for Compounding Medicine according to the True System of Nature: Forming a complete family dispensatory, and natural system of physic. Beautified and enriched with engravings of upwards of Four Hundred and Fifty different Plants, And a Set of Anatomical Figures. Illustrated with notes and observations, Critical and Explanatory. By E. Sibly, M. D. Fellow of the Harmonic Philosophical Society at Paris; and Author of the Complete Illustration of Astrology.",Nicholas Culpeper,132,0,2,5,2,0,9,3,3,2,1,1,2,4,6,1,0,7,1,3,2,0,3,4,1,2,2,1,9,0,1,0,2,3,0,2,0,1,4,3,5,10,1,0,0,0,0,2,2,0,1,3,1,1,4,1,0,0,4,2,3,1794,1,1,"London : printed for the author, and sold at the British Directory Office, Ave-Maria-Lane; and by Champante and Whitrow, Jewry-Street, Aldgate, [1794?].",London,711,male,1616,1654,FALSE,"bleeding at the nose does not happen spontaneously, it may be provoked by putting a straw, or any other iharp body , up the nostril. Bleeding in the temporal arteries greatly relieves the head : but, as this operation cannot always be performed, we would recommend in its stead bleeding"
0206200900_000118,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a dispensatory for the use of private practitioners. To which are added, observations on the diet of the common people; Recommending a Method of Living Less Expensive, and More Conducive to Health, than the Present. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,130,0,0,0,4,0,4,11,3,4,1,1,1,0,6,1,1,3,1,4,1,1,4,2,0,0,1,1,2,0,1,1,3,4,0,1,0,6,2,0,5,5,0,0,1,1,1,4,4,1,0,0,4,5,1,6,2,6,4,0,5,1800,1,1,"London : printed by A. Strahan, Printers Street; for A. Strahan; T. Cadell Jun. and W. Davies, Strand; and J. Balfour, and W. Creech, Edinburgh, 1800.",London,825,male,1729,1805,FALSE,"voice. medicine . this, like the other involuntary discharges of blood , ought not to be suddenly stopped by astringent medicines . More mischief is often done by these than if it were fuffred to go on. It may however proceed lb far as to weaken the patient , and"
0257500300_000075,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a display of their medicinal and occult properties, ... Forming a complete family dispensatory, ... Beautified and enriched with engravings ... Th medical part. By E. Sibly, ...",Nicholas Culpeper,112,1,3,1,2,2,1,1,2,1,0,8,1,1,2,3,2,8,0,2,3,0,4,4,1,1,1,0,3,2,2,0,1,4,0,1,1,2,1,0,2,7,2,0,2,1,1,3,2,0,1,0,1,1,4,2,5,0,0,4,2,1795,1,1,"London : printed for the author, and sold at the British Directory-Office; and by Champante and Whitrow, [1795?].",London,264,male,1616,1654,FALSE,"the patient will be n danger of a relapse. When a difficulty of swallowing is not attended with an acute pain or inflammation , it only requires that the part be kept warm , and the throat frequently gargled with something that may gently stimulate the glands, as a deco&tion"
0264600200_000031,"The modern family physician, or the art of healing made easy; being a plain description of diseases to which Persons of every Age are most liable, with the methods of cure. Extracted from the Writings of Sydenham, Mead, Sloane, Boerhaave, Buchan, Tissot, and other eminent physical writers, and Adapted to the Use of private Families.",,134,0,3,3,2,3,0,2,1,3,2,2,3,2,2,0,2,2,4,6,2,2,0,3,0,2,3,2,0,3,3,1,0,3,2,1,0,0,0,1,6,9,2,0,1,1,3,3,0,4,1,2,0,1,4,2,0,1,5,11,8,1775,1,1,"London : printed for F. Newbery, the Corner of St. Paul's Church-Yard, 1775.",London,287,unknown,,,FALSE,"and any person by keeping on his guard may easily prevent it. Upon the whole, the bite of a mad dog, though extremely dangerous , and sometimes fatal, yet may be easily cured , if taken care of in time, before the strength of the malady arises to such a"
0195700100_000112,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. By William Buchan, M.D. Of the Royal College of Physicians, Edinburgh.",William Buchan,125,0,0,1,4,0,4,9,2,3,2,1,1,1,5,1,2,6,2,4,1,1,4,2,0,0,0,1,2,0,1,1,1,2,0,1,0,6,2,1,5,4,0,0,1,1,0,4,4,1,0,0,3,5,0,6,2,6,4,0,5,1772,1,1,"London : printed for W. Strahan; T. Cadell in the Strand; and A. Kincaid & W. Creech, and J. Balfour, at Edinburgh, MDCCLXXII. [1772].",London,794,male,1729,1805,FALSE,"thu belly ffould be kept gently open by laxative diet X as roasted apples, fiewed prunes, c. If these should not have the effec, a teaspoonful of the lenitive elecuary may be taken twice or thrice a day, as is found necessary. If the bleeding proves violent , ligatures may"
0905000200_000028,"The modern family physician, or the art of healing made easy; being a plain description of diseases to which Persons of every Age are most liable, with the methods of cure. Extracted from the Writings of Sydenham, Mead, Sloane, Boerhaave, Buchan, Tissot, and other eminent physical writers, and Adapted to the Use of private Families.",,134,0,1,3,3,1,2,0,1,6,2,3,2,4,1,0,1,4,3,5,1,2,2,8,2,1,0,1,3,0,1,0,0,2,0,0,0,2,0,1,10,11,4,1,0,3,4,1,3,5,2,0,3,2,3,4,0,0,4,2,4,1776,1,1,"Dublin : printed by W. Kidd, No. 29, Skinner-Row, MDCCLXXVI. [1776].",Dublin,261,unknown,,,FALSE,"patient enjoys rest, he begins to imagine that the malady is cured ; but such symptoms are very deceitful, nor ought any trust to be placed in them, at Icaft for some time. To discover that the malady is not removed , the patient must attend to the slate of"
1508101402_000074,"Culpeper's English physician; and complete herbal. To which are now first added upwards of one hundred additional herbs, with a display of their medicinal and occult properties, physically applied to the cure of all disorders incident to mankind. To which are annexed, rules for compounding medicine according to the true system of nature: forming a complete family dispensatory, and natural system of physic. Beautified and enriched with engravings of upwards of four hundred and fifty different plants, and a set of anatomical figures. Illustrated with notes and observations, critical and explanatory. By E. Sibly, M.D. Fellow of the Harmonic Philosophical Society at Paris; author of the Complete illustration of astrology.",Nicholas Culpeper,129,3,5,2,1,1,6,2,5,5,1,3,4,4,4,1,0,2,1,3,11,1,3,6,0,1,5,0,4,2,0,1,0,2,0,2,0,2,1,0,1,8,0,0,1,0,2,4,1,0,1,0,0,3,5,0,2,0,3,3,1,1805,2,2,"London : Printed by Lewis and Roden, Paternoster-Row, for the proprietor; and sold at the British Directory Office, Ave-Maria-Lane; and by Champante and Whitrow, Jewry-Street, Aldgate, M.DCCC.V. [1805].",London,271,male,1616,1654,FALSE,"and difficulty of swallowing. Purple or black spots appearing among the measles are very unfavourable. When a continual cough, with hoarseness, facceeds the dileafe, there is reason to furpeet an approaching consumption of the lungs, cure . our bulinefs in this disease is to allift nature by proper cordials, in"
0580300600_000120,"Domestic medicine: or, a treatise on the prevention and cure of diseases by regimen and simple medicines. With an appendix, containing a dispensatory for the use of private practitioners. By William Buchan, M. D. Fellow of the Royal College of Physicians, Edinburgh.",William Buchan,117,3,1,0,6,1,2,11,2,4,2,1,0,1,2,1,2,4,2,3,2,1,1,2,0,0,1,1,3,0,0,1,0,2,0,1,0,6,1,1,5,8,1,0,0,1,0,3,2,1,0,0,3,2,1,2,4,7,3,0,3,1794,1,1,"London : printed for A. Strahan and T. Cadell, London; and J. Balfour, and W. Creech, Edinburgh. Sold also by T. Cadell Junr, and W. Davies, (successors to Mr. Cadell,) in the Strand, MDCCXCIV. [1794].",London,788,male,1729,1805,FALSE,"till the discharge is Ropt, otherwise they will irritate the stomach, and increase the disorder . All the food and drink mul be of a mild cooling nature , and taken in small quantities . Even drinking cold water has fomte times proved a remedy , but it will succeed"
