PassageID,Title,Author,Total termFreq,termFreq(art),termFreq(believ),termFreq(better),termFreq(bring),termFreq(brother),termFreq(care),termFreq(death),termFreq(enter),termFreq(exit),termFreq(faith),termFreq(father),termFreq(fear),termFreq(fellow),termFreq(friend),termFreq(gentleman),termFreq(god),termFreq(hand),termFreq(head),termFreq(heart),termFreq(hold),termFreq(honour),termFreq(hope),termFreq(hous),termFreq(king),termFreq(know),termFreq(ladi),termFreq(leav),termFreq(letter),termFreq(life),termFreq(littl),termFreq(live),termFreq(love),termFreq(madam),termFreq(marri),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(natur),termFreq(night),termFreq(noth),termFreq(old),termFreq(plai),termFreq(pleas),termFreq(poor),termFreq(prai),termFreq(run),termFreq(self),termFreq(servant),termFreq(speak),termFreq(sure),termFreq(think),termFreq(thought),termFreq(true),termFreq(wife),termFreq(woman),termFreq(word),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpt
0331900107_000092,"The works of Dr. Jonathan Swift, Dean of St. Patrick's Dublin. Accurately corrected by the best editions. With the author's life and character; notes historical, critical, and explanatory; tables of contents, and indexes. More complete than any preceding edition. In nine volumes. ...",Jonathan Swift,123,0,1,2,1,0,1,0,0,0,2,0,1,7,0,1,1,0,2,2,1,0,4,2,0,6,18,2,0,0,0,2,4,8,6,0,0,1,0,0,3,8,2,0,1,3,2,0,2,1,0,4,2,0,8,5,0,2,5,1758,7,9,"Dublin : printed for G. and A. Ewing, 1758.",Dublin,412,male,1667,1745,TRUE,"has been ihod round. Col Why, you mutll know , fle had a month's mind to Dick frontlefo, and thought to run away with him; but her parents forced her to take the old fellow for a good settlement. Ld Spaskijb. So the man got his mare again. Lady Smart..i'm"
0107301309_000051,Miscellanies. The ninth volume. By Dr. Swift.,Jonathan Swift,120,0,1,1,1,0,1,0,0,0,1,0,1,7,0,1,1,0,2,1,1,0,3,3,0,7,19,2,0,0,1,1,2,8,7,1,0,1,0,0,3,8,2,0,1,2,3,0,2,1,0,4,2,0,7,4,0,2,5,1748,9,9,"London : printed for C. Davis, against Gray's-Inn Gate, Holborn; and C. Bathurst, opposite St. Dunstan's Church, Fleetstreet, MDCCXLVIII. [1748].",London,278,male,1667,1745,TRUE,"A Child comes inj creaming. Misi * ifs. Well, if that Child was mine, I'd whip it till the Blood came; Peace, you little Vixen! if I were near you, I would not be far from you. Lady Smart. Ay, ay; Bachelors Wives and Maids Children are finely tutored. Lady"
0072801300_000006,"The dramatic works of Sir Richard Steele, Knt. Containing The funeral. The tender husband. The lying lover. The conscious lovers.",Richard Steele,81,1,4,0,1,0,0,1,4,3,0,0,2,1,1,3,0,0,0,0,0,1,1,1,0,2,2,0,0,0,3,2,1,10,5,2,2,2,1,0,0,3,1,3,1,1,0,0,1,1,4,2,1,2,1,2,0,1,1,1760,1,1,"London : printed for J. and R. Tonson, S. Crowder, T. Caslon, T. Lownds, and S. Bladon, MDCCLX. [1760] [1771].",London,302,male,1672,1729,TRUE,"for natural Infirmities; wilt remember your Face in its Distortion, and not value your Return of Beauty. Tat. Tat. 0 rare Madam ! your Ladyship's a great Headpiece; but now, dear Madam , is the hard Talk, if I may take the Liberty to say it to enjoyall Freedoms, and"
0295600110_000051,"The works of Jonathan Swift, D.D: D.S.P.D. with notes historical and critical, by J. Hawkesworth, L.L.D. and others. Vol. I.",Jonathan Swift,114,0,1,2,1,0,2,0,0,0,2,0,1,3,0,1,3,0,2,2,1,0,4,3,0,3,19,2,0,0,0,2,4,8,7,0,0,0,0,0,2,6,2,1,1,3,1,0,2,1,0,3,1,1,8,4,0,1,4,1778,10,18,"Edinburgh : printed by Mrs Mundell, Old Excise-Office; by David Willison, Craig's Close; and by Churnside and Wilson, Royal Bank Close; the publishers, 1778.",Edinburgh,432,male,1667,1745,TRUE,"I know he's devilish old , and The's very young . Lady Anfw. Why, they call that a match of the world's making. Miss. What if he had been young , and lhe old ? Neverout. Why, Miss, that would have been a match of the devil's making 3 but"
1199000107_000091,"The works of Jonathn. Swift, D.D.: D.S.P.D. with notes historical and critical. By J. Hawkesworth, L.L.D. and others. Vol. I.",Jonathan Swift,116,0,1,3,0,0,1,0,0,0,3,0,1,3,0,1,2,0,2,2,1,0,4,3,1,2,22,2,0,0,0,2,4,9,7,0,0,0,0,0,3,3,2,2,1,3,2,0,2,1,0,3,1,1,8,5,0,2,1,1774,7,15,"[Dublin] : Printed for J. Williams, Dublin, 1774.",Dublin,413,male,1667,1745,TRUE,"shall be to an old man; they always make the best husbands; and it is better to be an old man's darling, than a young man's warling. Neverout. Neverout. Faith , Miss, if you speak as you think , 1'11 give you my mother for a maid. Lady Smart rings"
0098000206_000075,"The works of Jonathan Swift, D.D, D.S.P.D. in eight volumes. Containing, I. His miscellanies in prose. II. His poetical writings. III. The travels of Capt. Lemuel Gulliver. IV. Papers relating to Ireland, and the Drapier's letters. V. The conduct of the allies, and the Examiners. VI. The publick spirit of the Whiggs, &c. with Polite conversation. VII. Letters to and from Dr. Swift. VIII: Directions to servants, sermons, poems, &c.",Jonathan Swift,117,0,2,2,0,0,1,0,0,0,4,0,0,3,1,1,2,0,2,2,1,0,4,3,1,2,23,2,0,0,0,2,4,9,7,0,0,0,0,0,3,1,2,2,1,4,2,0,2,1,1,3,1,1,9,4,0,2,0,1741,6,8,"Dublin : printed by George Faulkner, in Essex-Street, M,D,CC,XLVI. [1741-1746].",Dublin,378,male,1667,1745,TRUE,"Man's Warling. Nev. Faith , Miss, if you speak , as you think , I'll give you my Mother for a Maid. [ Lady Smart rings the Bell.] [Footman comes in.] Lady Sm. Harkee, you Fellow , run to my Lady Match, and desire he will remember to be here"
1734300400_000008,"The dramatic works of Sir Richard Steele, Knt. Containing, the funeral. The tender husband. The lying lover. The conscious lovers. To which is prefixed, an account of his life and writings.",Richard Steele,73,2,3,0,1,0,1,1,3,3,0,1,0,1,1,1,0,0,0,0,1,1,2,1,0,4,3,0,0,0,3,1,1,5,4,2,3,3,0,0,0,3,1,1,1,1,0,0,1,2,1,2,0,3,1,1,2,1,0,1761,1,1,"London : Printed for J. and R. Tonson, S. Crowder, T. Caslon, T. Lownds, H. Woodgate, and S. Brookes, MDCCLXI. [1761].",London,340,male,1672,1729,TRUE,"we grant em faill, they'll grow Tyrants to us; if we discard em, the Chaste and Innocent will not believe we could have Confidence to do it, were it so; and the Wife , if they believe it, will applaud our Prudence. at.ay, madamt ibelieve, Madam i speak , Madam"
0475300106_000039,"The works of Jonathan Swift, D.D. Dean of St. Patrick's, Dublin, accurately revised in six volumes, adorned with copper-plates; with some account of the author's life, and notes historical and explanatory, by John Hawkesworth.",Jonathan Swift,115,0,1,2,0,0,1,0,0,0,4,0,1,3,1,1,2,0,2,2,1,0,4,3,1,2,23,0,0,0,0,2,4,9,7,0,0,0,0,0,3,2,2,2,1,3,2,0,2,1,0,3,1,1,8,5,0,2,1,1755,6,6,"London : printed for C. Bathurst, C. Davis, C. Hitch and L. Hawes, J. Hodges, R. and J. Dodsley, and W. Bowyer, MDCCLV. [1755].",London,429,male,1667,1745,TRUE,"to be an old man's darling, than a young man's warling. Neverout. Faith , miss, if you speak as you think , I'll give you my mother for a maid. Lady Smart riugs the bell. Footman comes in. Lady Smart. Harkee, you fellow ; run to my lady Match, and"
0041900200_000005,"The funeral: or, grief a-la-mode. A comedy. Written by Mr. Steele.",Richard Steele,75,1,4,0,1,0,1,1,4,1,0,0,2,1,1,2,0,0,1,0,0,1,1,1,0,2,2,0,0,0,3,1,1,8,5,1,1,2,1,0,0,4,1,3,1,1,0,0,1,2,2,2,1,2,1,2,0,1,1,1721,1,1,"London [i.e. The Hague] : printed for T. Johnson, M.DCC.XXI. [1721].",The Hague,91,male,1672,1729,TRUE,"care of em He'll hate you for natural infirmities, will remember your face in it's diftorion, and nor value your return of bclauv. Tat. Oh rare Madam i Your Ladilhip's a great head pelce. But now dear Madam , is the hard task, if I may take the liberty to"
0345601400_000005,"The funeral: or, grief a-la-mode. A comedy. Written by Sir Richard Steele.",Richard Steele,79,1,4,0,1,0,0,1,4,2,0,0,2,1,1,3,0,0,0,0,0,1,2,1,0,2,2,0,0,0,3,2,1,9,5,2,1,2,0,0,0,4,1,3,1,1,0,0,1,1,4,2,1,2,1,2,0,1,1,1725,1,1,"Dublin : printed by S. Powell, for George Risk, at the Corner of Castle-Lane, in Dame's-Street, near the Horse-Guard, MDCCXXV. [1725].",Dublin,79,male,1672,1729,TRUE,"piece; but now, dear Madam , is the hard Task, if I may take the Liberty to say it to enjoy all Freedoms, and seem to abifain, to manage the Number ot Pretenders, and keep the Disoblige from prating Wid. Never fear , Tattleaid while you have Riches, if you"
0104600106_000074,"The works of the Reverend Dr. Jonathan Swift, Dean of St. Patrick's, Dublin. In twenty volumes. Containing, I. His Miscellanies in prose. II. His poetical writings. III. Gulliver's Travels. IV. Papers relating to Ireland, and the Drapier's Letters. V. The conduct of the allies and the examiners. VI. The publick spirit of the whigs, &c. and polite conversation. VII. Letters to and from Dr. Swift. VIII. Directions to servants, sermons, poems, &c. IX. Letters; the history of the last session of Parliament, and the peace of Utrecht, &c. X. Sermons and other Pieces. XI. Letters, &c. the author's life and poems. XII. History of the four last years of Queen Anne's Reign; Letters; and Sermons, &c. Collected by Deane Swift, Esq. XIII. Letters to and from several very eminent persons; poems on various occasions. Collected by Deane Swift, Esq. XIV. XV. and XVI. Letters to and from Dr. Swift. With notes by the Rev. T. Birch, D.D.F.R.S. John Hawkesworth, L.L.D. and others. With many original pieces. XVII. XVIII. and XIX. Letters to & from Dr. Swift. Collected by D. Swift, Esq. with several originals. XX. Tale of a tub.",Jonathan Swift,122,0,1,1,1,0,1,0,0,0,1,0,0,7,0,1,1,0,2,2,3,0,3,3,0,7,21,2,0,0,1,1,2,7,7,0,0,1,0,0,3,8,2,0,1,2,3,0,2,0,0,4,3,0,8,2,0,3,5,1772,6,20,"Dublin : printed by George Faulkner, MDCCLXXII. [1772].",Dublin,502,male,1667,1745,TRUE,"and I'gad cried Bo full in his Face. We all thought we ( hold break our Hearts with laughing. Lord Sp. That was cutting with a Vengeance. And, prithee how did the Fool look? Col. Look: I'gad, he looked for all the World , like an Owl in an Ivy"
1227700700_000020,"The relapse; or, virtue in danger: being the sequel of The fool in fashion. A comedy acted at the Theatre-Royal in Drury-Lane. Written by Sir John Vanbrugh.",John Vanbrugh,84,0,0,1,1,0,4,0,3,2,1,3,1,0,0,1,1,0,2,1,0,3,2,0,0,2,2,2,0,0,1,0,7,2,5,2,0,1,0,0,0,4,1,2,3,3,1,0,1,2,1,4,2,0,2,4,2,0,2,1727,1,1,"London : printed for Richard, James, and Bethel Wellington; and sold by A [sic] Bettesworth, R. Caldwell, and F. Clay, 1727.",London,108,male,1664,1726,TRUE,"that is to be iafs. 0 Lord, Nurcf, I'm so overjoyed, I can scarce contain my felt' Aurfe. 0 but you murl have a care of being too fond, for Men now a days hate a Woman that loves em. Ahlifs. Love him! Why do you think I love him,"
1601900500_000033,"The dramatick works of the Late Sir Richard Steele. Containing, conscious lover. Funeral. Tender husband. Lying lover.",Richard Steele,81,1,4,0,1,0,1,1,4,3,0,0,2,1,0,3,0,0,0,0,0,1,1,1,0,4,2,0,0,0,3,2,1,9,5,2,0,2,3,0,0,2,1,3,1,1,0,0,1,2,4,2,1,0,1,3,0,1,1,1736,1,1,"London : Printed for W. Feales, at Rowe's-Head, over-against St. Clement's Church in the Strand, M,DCC,XXXVI. [1736].",London,339,male,1672,1729,TRUE,"attfy, you must know my late Lord how prettily that sounds, my late Lord! But I say, my late Lord Frible was Generosity. I pressed him there, and whenever you, by my Order, had told him Stories to my son-in-law's Disadvantage, in his Rage and Resentment, I (whose interft lay"
1328600107_000092,"The works of Dr. Jonathan Swift, dean of St. Patrick's Dublin. Accurately corrected by the best editions. With the author's life and character, notes historical, critical, and explanatory; tables of contents and indexes. More complete than any preceding edition. In eight volumes.",Jonathan Swift,112,1,1,1,1,0,1,0,0,0,1,0,1,7,0,1,1,0,1,2,0,0,3,3,0,6,13,2,0,0,1,1,1,6,7,0,0,1,0,0,3,8,2,0,1,2,3,0,2,1,0,4,3,0,8,4,0,3,5,1757,7,8,"Edinburgh : Printed for G. Hamilton, J. Balfour, & L. Hunter, M,DCC,LVII. [1757].",Edinburgh,410,male,1667,1745,TRUE,"in his face. We all thought we should break our hearts with laughing. Ld Sparkibh. That was cutting with a vengeance: and. prithee how did the fool look? CC z Col.. Co!. Look! egad, he looked for all the world like an owl in an ivy buih. A child comes"
1161500400_000006,The funeral; and The tender husband: comedies. Written by Mr. Steele.,Richard Steele,79,1,4,0,1,0,1,1,3,1,0,0,2,1,1,3,0,0,0,0,0,1,1,1,0,4,2,0,0,0,3,2,1,10,5,2,1,2,3,0,0,2,1,1,1,1,0,0,1,2,3,2,1,0,1,3,0,1,2,1712,1,1,"[The Hague] : Printed for Henry Scheurleer at Erasmuns's Head in the Market-Place at the Hague, MDCCXII. [1712].",The Hague,180,male,1672,1729,TRUE,"Jewel, then goes to Bed so wise, so satisfied, and so deceived! tat Tat. But I protest, Madam , I've always wondered how you could accomplish my young Lord's being diiinherited. sld. Why Tatty, you mufi know my late Lord -- how prettily that sounds, my Late Lord! But I"
1346800201_000022,"The New English Theatre in eight volumes, Containing the most valuable plays which have been acted on the London stage Vol. I. Busy body by Mrs. Centlivre. - A bold stroke for a wife by Do. Conscious lovers by Sir Richard Steele. The miser by Hen. Fielding Esq. Suspicious husband Dr. Hoadly. Revised by Mr. R. Johnson.",,87,2,1,1,1,0,1,2,3,1,1,4,1,1,2,5,0,1,3,5,5,0,0,3,0,2,1,1,0,5,1,0,2,5,2,0,1,1,0,0,1,0,1,1,0,7,4,0,2,2,2,1,0,0,0,0,1,0,1,1776,1,1,"London : Printed for J: Rivington & Sons, W: Strahan, W: Johnston, C: Bathurst, J: Davies L: Davis, J: Dodsley, J: Longman, T: Lowndes, B: Law, J: Caslon, J: Becket, W: Nicoll, R: Horsfield, J. Bladon, B. White, E. Dilly, R. Baldwin: G. Robinson, J: Cadell, W. Flexney, W. Woodfall & J: Bew, M.DCC.LXXVI. [1776].",London,392,unknown,,,FALSE,"provoke me, for by St. ligo I shall beat you, housewife. Cha. Heaven forbid! for I shall infallibly discover myself if he thould. Sir Geo. Have patience, Madam . and look at him: Why will ye prepossess yourself again if a man that is master of all the charms you"
0761301100_000012,"The capricious lady: a comedy, (altered from Beaumont and Fletcher) as it is now performing at the New Theatre-Royal, in Covent-Garden.","Cook, William",103,0,0,2,1,0,1,0,2,5,2,0,1,1,1,4,0,1,0,0,2,0,1,1,0,5,23,7,0,0,0,2,5,2,2,1,1,3,0,0,1,2,0,1,1,3,0,2,0,0,2,1,0,0,1,4,1,2,6,1783,1,1,"London : C. Dilly, in the Poultry, M.DCC.LXXXIII. [1783].",London,62,unknown,,1824,FALSE,"is a sudden passion: Heaven hold it! This) fellow out of his fear , sure , has persuaded her. I'll give him a new suit on't. (aide.) Lady . Hum! You look as if you wished to kifs my hand : You shall, Sir. You now know my mind ,"
0885701100_000022,"The funeral, or grief a-la-mode, a comedy. As it is acted at the Theatre-Royal in Drury-Lane, by His Majesty's servants. Written by Sir Richard Steele.",Richard Steele,77,1,3,1,2,2,0,1,3,2,0,1,1,3,3,3,0,1,2,0,0,0,0,1,0,1,7,4,0,0,1,1,0,7,0,2,1,0,1,0,0,0,1,0,1,2,3,0,3,2,1,3,2,0,2,1,0,0,1,1755,1,1,"Edinburgh : printed for G. Hamilton, and J. Balfour, M,DCC,LV. [1755].",Edinburgh,81,male,1672,1729,TRUE,"secretly aprlrove, which is our or dinuny common cale now, luppol a coxcomb dancing, prating and playing his tricks before me to move me -- without pleasure or diftalle in my coun tuan: lce tenance I look at him juft thus but ha! ha! ha! I have found out a"
0112900209_000051,Miscellanies. The eighth volume. By Dr. Swift.,Jonathan Swift,121,0,1,2,1,0,2,0,0,0,2,0,1,6,0,0,2,0,2,1,1,0,4,3,0,5,19,2,0,0,0,2,4,9,6,0,0,0,0,0,3,8,2,1,1,3,2,0,2,1,0,4,1,0,8,4,0,1,5,1751,9,11,"London : printed for C. Davis, against Grays-Inn Gate, Holborn; and C. Bathurst, opposite St. Dunstan's-Church, Fleetstreet, MDCCLI. [1751].",London,278,male,1667,1745,TRUE,"again. Ld. Smart. I'm told he said a very good thing to Dick; said he, You think us old Fellows are Fools; but we old Fellows know young Fellows are Fools. Col. I know nothing of that; but I know , he's devilifi old , and she's very young ."
0187301300_000021,"A complete collection of genteel and ingenious conversation, according to the most polite mode and method now used at court, and in the Best Companies of England. In three dialogues. By Simon Wagstaff, Esq;",Jonathan Swift,124,0,1,1,1,0,1,0,0,0,1,0,1,7,0,1,1,0,2,2,1,0,4,3,0,7,22,2,0,0,0,0,4,8,5,0,0,1,0,0,3,8,2,0,1,2,3,0,2,1,0,4,2,0,9,4,0,2,5,1738,1,1,"London : printed for B. Motte, and C. Bathurst, at the Middle Temple-Gate in Fleet-Street, M.DCC.XXXVIII. [1738].",London,305,male,1667,1745,TRUE,"a Sugar Plumb. Why, Miss, you forgot that ever you was a Child yourself. [ She gives the Child a Lump of Sugar.] I have heard em say, Boys will long. Col. My Lord, I suppose you know , that Mr. Buzzard has mar: ried again? Lady Smart. This is"
0023500801_000017,"The history of Lord Belford, and Miss Sophia Woodley. In a series of letters. ...",,89,1,2,2,0,2,1,1,1,0,0,1,0,0,4,5,0,2,1,3,1,1,0,1,0,3,9,2,2,1,1,1,2,4,0,0,0,1,0,2,2,3,1,0,7,0,2,0,2,0,2,3,2,1,1,0,2,0,4,1784,1,3,"London : printed for Francis Noble, opposite Gray's Inn Gate, Holborn, 1784.",London,238,unknown,,,FALSE,"About two o'clock my lady re. turned, and ran upstairs, as usual, into Miss Woodley's apartment. Her surprise was great not to find her; but when night arrived, the was quite like a diftrated thing. My poor old master sat in such concern for he loved her as his own"
1609500609_000051,Miscellanies. The ninth volume. By Dr. Swift.,Jonathan Swift,113,0,1,3,0,0,1,0,0,0,2,0,1,3,1,1,2,0,2,2,1,0,4,2,0,2,23,1,0,0,0,2,4,9,8,0,0,0,0,0,2,3,2,2,1,3,2,0,2,0,0,3,1,1,8,5,0,2,1,1751,9,9,"London : Printed for C. Davis, against Gray's-Inn Gate, Holborn; and C. Bathurst, opposite St. Dunstan's Church, Fleetstreet, MDCCLI. [1751]",London,282,male,1667,1745,TRUE,"and if I ever be married , it shall be to an old Man; they always make the bell Husbands; and it is better to be an old Man's Darling, than a young Man's Warling. Ne'verout. Faith , Miss, if you fpcak as you think , I'll give you my"
