PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(author),termFreq(bishop),termFreq(brother),termFreq(canon),termFreq(cardin),termFreq(caus),termFreq(church),termFreq(citi),termFreq(clergi),termFreq(council),termFreq(court),termFreq(crown),termFreq(death),termFreq(declar),termFreq(duke),termFreq(emperor),termFreq(empir),termFreq(england),termFreq(faith),termFreq(father),termFreq(follow),termFreq(forc),termFreq(franc),termFreq(gave),termFreq(gener),termFreq(god),termFreq(grant),termFreq(hand),termFreq(head),termFreq(held),termFreq(holi),termFreq(itali),termFreq(king),termFreq(kingdom),termFreq(latin),termFreq(law),termFreq(legat),termFreq(letter),termFreq(life),termFreq(matter),termFreq(mean),termFreq(oblig),termFreq(order),termFreq(peopl),termFreq(person),termFreq(pope),termFreq(power),termFreq(present),termFreq(princ),termFreq(reason),termFreq(receiv),termFreq(return),termFreq(roman),termFreq(rome),termFreq(sever),termFreq(taken),termFreq(took),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0091400105_000416,"General biography; or lives, critical and historical, of the most eminent persons of all ages, countries, conditions, and professions, arranged according to alphabetical order. Chiefly composed by John Aikin, M.D. and the late Rev. William Enfield, LL.D. Volume the First.",John Aikin,113,1,0,4,1,0,12,1,1,3,2,5,0,2,2,2,3,2,0,1,0,0,2,0,4,0,1,0,1,1,1,4,1,2,9,1,0,3,0,0,0,0,0,3,0,1,2,11,2,0,2,0,4,4,1,5,3,0,3,0,1799,5,10,"London : printed for G. G. and J. Robinson, Pater-Noster-Row; G. Kearsley, Fleet-Street; R. H. Evans (successor to Mr. Edwards), Pall-Mall; and J. Wright, Opposite Bond-Street, Piccadilly. - Also at Edinburgh for Bell and Bradfute, 1799-[1815].",London,647,male,1747,1822,FALSE,"recommended him to pope Urban II who promoted him to the sacred college by the title of cardinal of St. Angelo. When pope Gelasius II was obliged to retire to France , he was one of the cardinals who accompanied him; and he was employed by popes Callixtus 1 and"
0444700105_000062,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Esq; Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,91,2,1,7,1,3,1,0,6,2,5,4,0,3,1,1,2,5,0,0,1,0,1,0,3,1,0,0,0,0,0,0,1,2,8,0,2,0,3,1,0,0,0,0,0,7,1,6,1,0,1,0,1,2,1,3,0,0,1,0,1748,5,7,"London : printed for the author: and sold by A. Millar, over-against Catharine-Street in the Strand: and by W. Sandby, opposite to St. Dunstan's Church, Fleet-Street, M.DCC.XLVIII. [1748].",London,594,male,1686,1766,FALSE,"appear he should return to me1rsburg. It was added in that Canon , that if it could be proved, that he had been induced by Motives of Ambition or Avarice to exchange the one Church for the other., he should keep neither. The Fifth Canon related to the Church of"
0788400105_000010,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,125,0,4,6,1,0,0,1,3,0,2,6,0,3,3,4,0,7,0,0,0,0,0,0,4,1,4,0,0,1,0,0,2,1,7,6,4,3,9,9,0,1,1,0,1,0,0,10,0,5,2,0,3,4,1,2,1,3,0,0,1749,5,7,"Dublin : printed by George Faulkner, in Essex-Street, MDCCXLIX. [1749]-68.",Dublin,563,male,1686,1766,FALSE,"Right to ordain in the Dominions of our Prince ; and we therefore declare , that the Country of the' Bulgarians, which was formerly subject to the Greeks, and had Greek Biflops and Priests, ought, upon its Return to Christianity, to be restored to the Church of Conlfantinople, from which"
1372000302_000053,"The works of M. De Voltaire. Translated from the French. With notes, historical and critical. By T. Smollett, M.D. T. Francklin, M.A. and others. Volume the second.",Voltaire,117,1,2,5,2,0,1,0,0,0,1,2,2,2,1,3,0,3,3,1,0,0,0,2,7,0,2,0,1,2,1,0,3,2,16,5,0,1,2,0,0,1,0,2,9,0,1,15,1,3,1,0,2,0,0,8,1,0,0,0,1771,2,2,"London : Printed for W. Johnston, S. Crowder, T. Longman, Carnan and Newbery, Robinson and Roberts, R. Baldwin, and B. Collins, at Salisbury, MDCCLXXI. [1771].",London,316,male,1694,1778,TRUE,"his disputes with the king of France , he invited Charles of Valois, brother to  Philip, over to Italy , who arrived there with some few horsemen. The pope soon afterwards made him marry the granddaughter of Baldwin II emperor of Constantinople, who had been dispossessed of his dominions,"
0444800106_000067,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Esq; Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,94,0,1,2,0,1,3,3,5,5,1,1,2,2,5,1,0,5,1,2,1,0,1,0,0,1,0,1,0,1,4,0,1,0,5,0,0,1,5,2,3,0,1,2,2,0,0,8,2,3,0,0,1,2,1,6,0,0,0,0,1748,6,7,"London : printed for the author: and sold by A. Millar, over-against Catharine-Street in the Strand: and by W. Sandby, opposite to St. Dunstan's Church, Fleet-Street, M.DCC.XLVIII. [1748].",London,495,male,1686,1766,FALSE,"incurred by being in some Chis ir.. acceitory to the Death of the Archbishop. All this happened And is ab on the Sunday preceding the ferival of the Ateion 1i72, and the olved' by the. King , as well as his Son, renewed the same Oath and the same Pio"
0360700103_000048,"A compendious history of the Church, from the beginning of the world to this present time. Written in French by Lewis Ellis Dupin, Doctor of Sorbonne, and Regius-Professor of Divinity at Paris. ...",Louis Ellies Dupin,118,0,0,6,0,0,4,3,2,1,1,9,0,4,4,5,0,14,3,0,0,3,0,1,1,1,1,0,4,0,0,6,2,3,1,0,0,0,2,0,0,0,0,1,3,1,0,16,0,1,3,0,0,1,1,7,2,0,1,0,1715,3,4,"London : printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates, M.DCC.XVI. 1715- [1716.].",London,353,male,1657,1719,FALSE,"Empire , with relation to invejii tures. Q:) RA Y enter into a Detail of those Sass. 1 A. I fall begin with giving you a short Account of the Differences which the Popes had with tie Emperors upon the account of Investitures; Differences which had confiderab!e Consequences. Paschal 11"
1667200109_000595,"The Modern part of the universal history. Compiled from original writers. By the authors of the antient. Which will perfect the work, and render it a complete body of history, from the earliest account of time, to the present. Vol. XIV.",,93,1,1,3,1,0,1,0,5,1,3,3,0,1,2,2,2,2,0,1,3,0,2,0,2,0,3,0,0,0,0,4,4,2,6,2,0,0,5,4,1,0,3,2,1,0,0,4,1,0,4,0,3,0,1,5,0,2,0,0,1763,9,16,"London : Printed for T. Osborne, C. Hitch and L. Hawes, A. Millar, J. Rivington, S. Crowder, B. Law and Co. T. Longman, C. Ware, and S. Bladon, M.DCC.LXIII. [1763].",London,721,unknown,,,FALSE,"assembly, the bishops and cardi *  (' 1 nals in the interest of Clemaent likewise held a council at Rome , in which they composed a letter , i, 7, ljar addressed to all the faithful , declaring , that they had labouredi for sixteen years to destroy the"
0091500109_000514,"General biography; or lives, critical and historical, of the most eminent persons of all ages, countries, conditions, and professions, arranged according to alphabetical order. Chiefly composed by John Aikin, M.D. and the late Rev. William Enfield, LL.D. Volume the First.",John Aikin,96,1,4,3,0,1,2,2,6,0,2,8,1,0,1,0,2,6,1,0,0,0,2,1,1,0,4,0,0,0,0,4,0,1,1,0,1,1,2,3,1,0,0,0,0,1,3,9,2,3,2,0,0,1,2,9,1,0,1,0,1799,9,10,"London : printed for G. G. and J. Robinson, Pater-Noster-Row; G. Kearsley, Fleet-Street; R. H. Evans (successor to Mr. Edwards), Pall-Mall; and J. Wright, Opposite Bond-Street, Piccadilly. - Also at Edinburgh for Bell and Bradfute, 1799-[1815].",London,651,male,1747,1822,FALSE,"brethren, and excluded them from ( 593) all fellowship with the church of Rome . He at the same time, by letters to the other bishops endeavoured to cut them off from communion with the whole church , but without effect, since his violence was generally disapproved, and he incurred"
1376200301_000068,"The history of France: From the establishment of that monarchy under Pharamond, to the death of Lewis XIII. Interspers'd with relations of the most memorable events which have happened in the several kingdoms and states of Europe, in the course of that period. Written at the request and under the direction of M. Harlay, first president of the Parliament of Paris, by M. Chalons.","Châlons, Vincent-Claude",105,0,0,0,3,0,1,1,1,1,0,2,0,2,0,4,2,11,2,0,0,2,0,0,2,4,0,1,1,2,0,0,2,4,7,4,0,2,3,1,1,0,2,3,1,0,0,18,1,0,4,1,1,1,2,2,0,2,1,0,1752,1,2,"London : Printed for R. Dodsley, at Tully's Head in Pallmall, MDCCLII. [1752].",London,568,male,1642,1694,FALSE,"cowardice and infidelity to the vow he had made to God , and thereupon excommunicated him. The emperor having recovered his health, set out again against the infidels; but that no one might think it was the pope or his excommunication which obliged him to this, he departed without being"
0444800107_000207,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Esq; Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,85,0,0,3,1,0,4,2,3,1,1,9,1,0,0,1,1,4,1,0,0,2,4,0,3,1,1,0,1,2,0,1,3,0,3,0,0,1,4,1,0,1,1,0,1,1,1,5,0,3,2,2,1,0,2,1,2,0,1,2,1748,7,7,"London : printed for the author: and sold by A. Millar, over-against Catharine-Street in the Strand: and by W. Sandby, opposite to St. Dunstan's Church, Fleet-Street, M.DCC.XLVIII. [1748].",London,521,male,1686,1766,FALSE,"Milan, which he'offered to purchase for Ocavizzs Farnese, his own Grand son, and the Emperor's son-in- law . He engaged to pay him for it 5000ooo Ducats, to enter into an Alliance with him against France , to create a certain Number of Cardinals at his Nomination, and to leave"
0360700103_000040,"A compendious history of the Church, from the beginning of the world to this present time. Written in French by Lewis Ellis Dupin, Doctor of Sorbonne, and Regius-Professor of Divinity at Paris. ...",Louis Ellies Dupin,107,1,0,7,0,1,3,1,3,2,0,6,0,0,0,3,3,3,3,0,1,0,0,1,0,1,1,0,0,2,1,4,2,4,5,0,0,1,4,1,0,1,1,2,4,0,1,20,0,1,6,0,0,0,0,4,2,0,1,0,1715,3,4,"London : printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates, M.DCC.XVI. 1715- [1716.].",London,353,male,1657,1719,FALSE,"Son to Alberick Preset of Rome , interrupted the Progress of that Affair for omre time. Gregory excommunicated Cincisi, and caused him to be apprehended. Cincius, getting out of Prison, plotted againll the Pope ; and having got together some rmned Men, he attacked him unawares on Chrijfmas dav, while"
1555500126_000005,"The modern part of an universal history, from the earliest account of time. Complied from original writers. By the authors of the antient part.",,98,0,1,1,1,2,2,0,2,3,0,3,1,3,2,2,1,12,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,1,11,5,1,1,1,1,0,0,0,2,2,0,0,12,1,1,3,0,3,3,0,4,3,0,1,0,1759,26,44,"London : printed for S. Richardson, T. Osborne, C. Hitch, A. Millar, John Rivington, S. Crowder, P. Davey and B. Law, T. Longman, and C. Ware, M.DCC.LIX. [1759].",London,506,unknown,,,FALSE,"their poff'efliozs in Castille, arragon, Portugal, and Majorca, were given to other orders of knights in those kingdoms , who wvere employed against the Moors.s The king of Franzce likewise obtained from the council the tithes of his kingdom for fix~years, having engaged to take the crofrs within that time,"
0788400106_000078,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,93,1,0,4,0,1,2,0,4,1,2,0,0,0,0,2,1,1,1,3,0,1,2,1,3,2,0,0,0,1,1,0,3,0,9,5,0,1,4,1,0,0,0,1,0,4,1,7,1,3,4,0,1,1,6,4,0,1,2,0,1749,6,7,"Dublin : printed by George Faulkner, in Essex-Street, MDCCXLIX. [1749]-68.",Dublin,662,male,1686,1766,FALSE,"to the Apostolic See. V That the Tolls and all other public Revenues should be at the Pope's Disposal, upon Condition that he expended one third of them for the Use of the Roman People . VI That the Senate and the Roman People should reverence the Majesty and maintain"
0788400105_000042,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,98,0,0,3,1,1,0,0,9,3,1,2,0,2,1,0,1,7,0,0,1,0,2,0,0,0,1,0,0,1,2,2,2,1,3,1,0,2,3,1,1,0,2,0,0,1,2,14,1,3,4,0,2,1,2,6,2,1,2,1,1749,5,7,"Dublin : printed by George Faulkner, in Essex-Street, MDCCXLIX. [1749]-68.",Dublin,563,male,1686,1766,FALSE,"13 related Yearof related above, the present Pope promised to crown Christ 9i4. -. --.. him anew, and get him acknowledged by all for lawful Emperor , provided he joined the rest of the 7talia; z Princes in the intended Expedition against the Saracens, who plundered the Roman Church of"
0514900105_000075,"A complete history of England, from the descent of Julius Cæsar, to the Treaty of Aix la Chapelle, 1748. Containing the Transactions of One Thousand Eight Hundred and Three Years. By T. Smollett, M.D.Volume the first.",Tobias Smollett,88,0,2,3,1,0,3,1,3,0,5,11,1,0,1,1,1,1,0,4,0,2,0,0,2,0,3,0,4,1,0,3,2,2,3,1,1,0,2,0,2,0,0,0,1,1,2,9,0,0,2,1,0,0,1,2,1,0,0,2,1758,5,11,"London : printed for James Rivington and James Fletcher, at the Oxford-Theatre; and R. Baldwin, at the Rose, in Paternoster-Row, MDCCLVIII. [1758]-60.",London,485,male,1721,1771,TRUE,"in the statute of premunire should be expunged. It was enaced in the statute'   if any purchase, or pursue, or cause to be purchased or pursued, in the church of Rome , Or  Elsewhere,"" any such translations, processes, sentences of excommunication, bulls, infiruments, or anything affecing the"
0091300201_000056,"General biography; or lives, critical and historical, of the most eminent persons of all ages, countries, conditions, and professions, arranged according to alphabetical order. Chiefly composed by John Aikin, M.D. and the late Rev. William Enfield, LL.D. Volume the First.",John Aikin,113,0,4,3,1,0,0,1,6,3,2,8,0,1,3,0,1,9,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,2,8,2,4,0,2,1,1,0,0,1,2,1,0,16,2,3,2,0,0,1,6,7,1,2,1,0,1799,1,10,"London : printed for G. G. and J. Robinson, Pater-Noster-Row; G. Kearsley, Fleet-Street; R. H. Evans (successor to Mr. Edwards), Pall-Mall; and J. Wright, Opposite Bond-Street, Piccadilly. - Also at Edinburgh for Bell and Bradfute, 1799-[1815].",London,569,male,1747,1822,FALSE,"little proof of literary talents or erudition. It is recorded, to his honour, that he expended vast sums in repairing and adorning churches , and in rebuilding the walls, and restoring the ancient aqueducts of the city . Adrian presented to the Vatican basilic a chandelier of curious workmanship and"
0365200103_000037,"A compendious history of the church, from the beginning of the world to this present time. Written in French by Lewis Ellis Dupin, Doctor of Sorbonne, and Regius-Professor of Divinity at Paris. ...",Louis Ellies Dupin,118,1,0,9,0,0,3,5,4,0,1,5,1,0,6,0,1,7,0,1,0,0,1,3,2,1,0,0,0,0,0,5,7,1,2,0,0,1,1,1,2,0,1,0,1,3,0,12,2,1,3,0,1,2,2,12,3,0,4,0,1713,3,4,"London : printed for Bernard Lintott, at the Cross-Keys, between the Two Temple-Gates, MDCCXIII. [1713].",London,335,male,1657,1719,FALSE,"of the Holy See; - but the People of Rome sent Hildebrand to the Emperor to ask a Pope of him. He named Ebebard Bishop of Eicfsiat, who was e leed and proclaimed by the Name of Vitor II This Pope held a Council at Florence, in which he deposed"
0788400106_000012,"The history of the popes, from the foundation of the See of Rome, to the present time. ... . By Archibald Bower, Heretofore Public Professor of Rhetoric, History, and Philosophy, in the Universities of Rome, Fermo, and Macerata, And, in the latter Place, Counsellor of the Inquisition.",Archibald Bower,87,0,0,4,0,3,9,2,5,0,6,6,0,2,3,0,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,3,5,2,0,1,3,1,1,0,1,2,0,2,0,5,1,1,1,0,1,1,2,2,3,0,1,0,1749,6,7,"Dublin : printed by George Faulkner, in Essex-Street, MDCCXLIX. [1749]-68.",Dublin,662,male,1686,1766,FALSE,"had been performed by the other Dukes his Predecefors. To there Terms the Pope was forced to agree; and meeting Roger,. at a mall Distance from Benevento, three Days after he had signed them, he first received his Oath of Allegiance, and then invested him, with great Solemnity, and the"
0091400105_000473,"General biography; or lives, critical and historical, of the most eminent persons of all ages, countries, conditions, and professions, arranged according to alphabetical order. Chiefly composed by John Aikin, M.D. and the late Rev. William Enfield, LL.D. Volume the First.",John Aikin,87,0,1,6,0,2,0,0,3,2,2,6,0,0,2,1,1,4,1,1,0,1,1,1,1,1,0,1,0,2,0,5,1,2,1,0,0,0,2,1,3,0,2,2,1,1,1,12,0,0,1,0,0,0,4,6,1,0,1,0,1799,5,10,"London : printed for G. G. and J. Robinson, Pater-Noster-Row; G. Kearsley, Fleet-Street; R. H. Evans (successor to Mr. Edwards), Pall-Mall; and J. Wright, Opposite Bond-Street, Piccadilly. - Also at Edinburgh for Bell and Bradfute, 1799-[1815].",London,647,male,1747,1822,FALSE,"new tyranny which th -- ztened its destruction. Otho having sent an answer to the pope , that if necessary he would comne with his whole army, and support the aposolic see with the same zeal which his father and grandfather had displayed; John took care to inform Crescentius of"
