PassageID,Title,Author,Total termFreq,termFreq(accent),termFreq(ancient),termFreq(art),termFreq(author),termFreq(beauti),termFreq(church),termFreq(composit),termFreq(forc),termFreq(form),termFreq(geniu),termFreq(god),termFreq(greek),termFreq(harmoni),termFreq(heart),termFreq(hymn),termFreq(iambic),termFreq(imag),termFreq(imagin),termFreq(imit),termFreq(italian),termFreq(kind),termFreq(languag),termFreq(littl),termFreq(lord),termFreq(lyre),termFreq(lyric),termFreq(manner),termFreq(measur),termFreq(melodi),termFreq(modern),termFreq(music),termFreq(natur),termFreq(number),termFreq(od),termFreq(open),termFreq(opera),termFreq(part),termFreq(peopl),termFreq(pleasur),termFreq(poem),termFreq(poetri),termFreq(public),termFreq(rule),termFreq(sacr),termFreq(sentiment),termFreq(short),termFreq(sing),termFreq(song),termFreq(sound),termFreq(speak),termFreq(spiritu),termFreq(stroph),termFreq(style),termFreq(sublim),termFreq(sung),termFreq(syllabl),termFreq(thought),termFreq(time),termFreq(varieti),termFreq(vers),termFreq(vocal),termFreq(voic),termFreq(word),termFreq(wrote),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0773200301_000002,Melopeia sacra or A Collection of Psalms and hymns by Mr. Addison and Sr. John Denham &c. set to musick in a new method by Andrew Roner Gent. ...,"Roner, Andrew",80,0,0,0,2,1,2,2,0,1,0,0,1,5,2,4,0,0,0,0,3,0,8,0,0,0,1,0,2,0,1,7,2,0,0,0,0,1,0,0,0,1,1,0,2,1,2,0,3,4,0,1,0,0,0,1,1,1,1,3,2,1,1,9,0,1721,1,2,"London : printed for the author. By Wm. Smith, musick printer & seller at ye Orange-tree near St. Clement's Church. in the Strand, [1721].",London,51,unknown,,,FALSE,"manyvoices and Hands, and are therefore the less fit for private Use and Devotion, which is the chief End I had in view in this Undertaking. It mull be remarked too, that they conift commonly of few and folenn Words in Prose, to give an Opportunity to the Composer to"
0504100102_000098,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In two volumes. ...",Hugh Blair,111,1,3,4,1,0,0,2,2,3,1,0,4,1,1,0,0,0,2,1,0,1,2,0,0,2,0,1,2,4,1,14,1,4,0,0,0,1,0,0,0,9,0,0,0,0,3,0,5,3,0,0,0,0,0,3,9,0,5,0,9,0,2,4,0,1783,2,2,"London : printed for W. Strahan; T. Cadell; and W. Creech, in Edinburgh, 1783.",London,553,male,1718,1800,TRUE,"early Bard arose and sung . He sung indeed in wild and dif 5 orderly orderly firains; but they were the native effusions of his heart ; L E C T. XXXVIII they were the ardent conceptions of admiration or resentment _ sorrow or friendship, which he poured forth. It"
1128700103_000029,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,113,1,4,6,1,0,0,2,2,4,0,0,3,1,1,0,0,0,3,1,0,1,2,0,0,2,0,1,3,4,2,13,1,3,0,0,0,1,0,0,0,11,0,0,0,0,3,1,5,2,0,0,0,0,0,2,10,0,4,0,9,0,2,2,0,1783,3,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert, Walker, Exshaw, White, Beatty, Burton, Byrne, Parker, and Cash, M,DCC,LXXXIII. [1783].",Dublin,426,male,1718,1800,TRUE,"Poetry became now a separate art , calculated chiefly to please, and confined generally to such sub jccas jeets as related to the imagination and paiions. L r C r. Even its earliest companion. Music , was in axl great measure divided from it. THESE reparations brought all the literary"
0013904300_000162,A dictionary of music. Translated from the French of Mons. J. J. Rousseau. By William Waring.,Jean-Jacques Rousseau,89,0,1,2,1,0,1,2,0,2,0,2,2,1,0,0,0,3,0,2,4,6,1,0,0,2,2,1,0,0,0,8,1,0,0,0,0,3,0,1,1,2,0,0,1,2,1,4,6,3,2,0,0,0,0,6,0,0,2,0,0,1,6,4,0,1775,1,1,"London : printed for J. French, No. 47, opposite Hatton-Garden, Holborn, [1775?].",London,470,male,1712,1778,TRUE,"mode is transposed. jwe have, in Italy, a recueil of lessons to fol fa, called Solfeggi. This recueil, composed by the celebrated Leo, for the use of beginners, is very highly esteemed. SOLO. This Italian word is angliciled in music , and applied to a piece which is sung with"
0062600800_000014,"Appendix to Grassineau's Musical dictionary, selected from the Dictionnaire de musique of J. J. Rousseau.",Jean-Jacques Rousseau,79,2,1,6,1,0,0,0,1,0,2,1,2,4,1,1,0,0,0,0,0,0,5,1,0,1,4,2,0,3,1,8,2,0,0,0,3,2,2,2,1,5,0,0,0,3,0,0,1,1,1,0,0,0,0,1,0,0,3,0,1,0,3,1,0,1769,1,1,"London : printed for J. Robson, Bookseller, at the Feathers in New Bond Street, MDCCLXIX. [1769].",London,54,male,1712,1778,TRUE,"of music is confinad t.the sensations, ..t .the natural . pleasure which rfultp f~om melody , harmony , and time . But as an effiental part of the lyric scene, whose principal objet is imitatiop% imfic becomes oge of the fine arts , capable of, paintng 41 objets, of exciting"
0875200200_000016,"Antiquities sacred and profane: or, a collection of Curious and Critical Dissertations on the Old and New Testament. Necessary for all those who desire to have a thorough Knowledge of the Holy Scriptures. Done into English from the French, with Notes, by a Clergyman of the Church of England. Illustrated with copper plates.",Antoine Augustin Calmet,97,1,4,6,0,0,1,0,0,2,2,1,4,0,0,3,0,1,0,0,0,0,2,1,0,0,0,5,5,0,1,3,1,1,0,0,0,0,1,0,4,10,1,5,0,1,0,3,4,0,0,0,0,3,3,3,0,3,2,0,7,0,1,2,0,1724,1,1,"London : printed for J. Roberts, near the Oxford-Arms, in Warwick-Lane; S. Wilmot, in Oxford; and C. Crownfield, in Cambridge, M.DCC.XXIV. [1724].",London,42,male,1672,1757,FALSE,"of the Holy Ghost causes no Change in the naturalor acquired Habits of those who are inspired. Their Minds are raised, illuminated, enlivened: But as he, who was eloquent before he was inspired, maintains the same charaeter after his Inspiration; so those, whose Understandings were less cultivated and improved, become"
0062600900_000071,"A musical dictionary: containing a full explanation of all the terms made use of in the historical, theoretical, and practical parts of music: Also Explanations of the Doctrines of Ancient Music, and Mathematical and Philosophical Inquiries into the Nature of Sound with regard to Intervals, Concords, and Discords: Together with A full Description of all the various Kinds of Musical Instruments (not contained in any other Dictionary). The whole carefully abstracted from the best Authors in the Greek, Latin, Italian, French, and English Languages, By James Grassineau, Gent. A New Edition, to which is added An Appendix, selected from the Dictionnaire de Musique of M. Rousseau: Containing All the New Improvements in Music since the first Publication of this Dictionary.","Grassineau, James",86,0,5,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,1,2,1,2,5,2,4,8,0,3,3,0,1,0,0,0,0,0,0,2,2,3,1,1,1,1,0,0,4,4,0,4,3,5,2,2,2,0,1769,1,1,"London : printed for J. Robson, Bookseller, at the Feathers in New Bond Street, MDCCLXIX. [1769].",London,379,male,1715,1769,FALSE,"of the sirs species of fourth and fifth, and is the Mixolydian Mode, e. But Martianus Capela is of another opinion, and says there are eight species of scave, which he proeeds to enumerate in the following manner : The. first is from Proflambanemenos to Mefe; the second is from"
0366000400_000003,"The odes, epodes, and carmen seculare of Horace, translated into English prose, as near the original as the different idioms of the Latin and English languages will allow. With the Latin text and order of construction in the opposite page, and Critical, Historical, Geographical, and Classical notes, in English; from the best commentators both ancient and modern. And a Preface to each Ode, illustrating its Difficulties, and shewing its several Ornaments and Design. Also The Method of Scanning the several Sorts of verse made use of by Horace, and a Table shewing at one View of what Sort of Verse each Ode consists. For the Use of Schools as well as of Private Gentlemen.",Horace,93,0,1,0,0,1,0,0,0,1,4,2,6,1,0,0,5,0,0,7,0,3,2,1,0,1,13,0,0,0,0,2,3,1,4,1,0,0,2,0,3,12,1,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,3,2,2,0,1,0,2,1746,1,1,"London : printed for Joseph Davidson, at the Angel in the Poultry, Cheapside, MDCCXLVI. [1746] [1747].",London,550,male,,,FALSE,"knowing what becomes of them. The Romans, like the Greeks , owed to nothing else but their own natural Genius the Origin of all kinds of Poetry . And their first Essays were allb nothing but the Efforts of pure Nature . Among them too Poetry was soon divided into"
0937200403_000024,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,110,1,2,3,1,0,0,2,2,4,1,0,4,1,0,0,0,0,2,1,0,3,2,0,0,2,0,1,2,4,1,16,1,4,0,0,0,1,0,0,0,7,0,0,0,0,2,0,5,3,0,0,0,0,0,1,11,0,5,0,9,0,2,4,0,1793,3,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1793.",London,416,male,1718,1800,TRUE,"mind. In after ages, when Poetry became a regular art , studied for reputation and for gain, Authors began to affeet what they did not feel. Comporing coolly in their closets, they endeavoured to imitate passion, rather than to express it; they tried to force their imagination into raptures, or"
0797500102_001487,"An universal history of arts and sciences: ... The whole extracted from the best authors in all languages, ... By ... Dennis De Coetlogon, ...","De Coetlogon, Dennis",88,0,4,0,1,1,0,1,0,1,0,3,5,0,0,0,0,0,1,0,0,3,0,0,0,1,5,2,2,0,4,2,5,1,8,0,0,0,0,0,4,5,1,1,0,0,0,2,5,0,0,0,4,0,0,0,3,1,0,2,6,1,0,2,1,1745,2,2,"London : printed and sold by John Hart, 1745.",London,1346,unknown,,,FALSE,"Silts of \ cric, but was also interlarded with Prose, and Greek anil latin Seneca's Poem on tlhe Death of lar (il, l)'c(ti.iua's Satyricon, Lciian's ii; logetes, tile (""Ihlell ais of ilpui'iis, and tile Crtrs of the lempe o1 Ytiliani, arc tso mlay Salyrs in the Jlarronian Tall. T) tile"
0875200200_000005,"Antiquities sacred and profane: or, a collection of Curious and Critical Dissertations on the Old and New Testament. Necessary for all those who desire to have a thorough Knowledge of the Holy Scriptures. Done into English from the French, with Notes, by a Clergyman of the Church of England. Illustrated with copper plates.",Antoine Augustin Calmet,79,0,2,1,0,3,0,1,0,1,0,4,1,1,0,4,0,0,1,1,0,3,0,0,0,0,0,5,1,0,1,2,2,2,1,0,0,1,0,0,4,5,1,1,1,1,0,2,3,0,3,0,0,1,0,1,3,1,3,1,5,1,0,4,0,1724,1,1,"London : printed for J. Roberts, near the Oxford-Arms, in Warwick-Lane; S. Wilmot, in Oxford; and C. Crownfield, in Cambridge, M.DCC.XXIV. [1724].",London,42,male,1672,1757,FALSE,"as well as of all the other dead Tongues being entirely lost, we can have no Notion of the Harmony of the Words and Quantity of the Syllables , wherein the whole Beauty of Verses consists. We have not so much as any Rules , as we have for the"
1282300102_000083,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. & F.R.S. Ed. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University of Edinburgh. In two volumes. ...",Mathew Carey,100,1,5,6,1,0,0,0,2,3,0,0,3,1,1,0,0,0,3,1,0,1,2,0,0,2,0,1,1,3,2,10,1,2,0,0,0,1,0,0,0,11,0,0,0,0,3,0,3,3,0,0,0,1,0,3,7,0,4,0,7,0,2,2,1,1793,2,2,"Philadelphia : From the press of Mathew Carey, March 19 --M.DCC.XCIII. [1793].",Philadelphia,464,male,1760,1839,FALSE,"upon the affairs of life; and were interefed by what was real, not fabulous, in pail transactions. The historian, therefore, now laid aside the bufslins of poetry ; he wrote in prose, and attempted to give a faithful and judicious relation of former events. The philosopher addressed himself chiefly to"
0154300203_000063,The works of Willm. Congreve |...,William Congreve,79,0,0,2,1,5,0,1,2,0,0,2,1,3,0,1,0,0,0,3,1,0,0,1,0,3,0,0,3,0,0,2,1,6,17,0,0,3,0,1,1,2,0,0,0,0,1,2,2,1,1,0,2,1,2,1,0,0,1,0,1,1,1,0,0,1773,3,3,"Dublin : Thomas Ewing, 1773.",Dublin,366,male,1670,1729,TRUE,"am sensible that I am as distant from the Force and Elevation of Pindar, as others have hitherto been from the Harmony and Regularity of his Numbers . Again, we having no Chorus to ling our Odes , the Titles, as well as Use, of Strophe , Antistrophe and Epode,"
0384600600_000015,"A comparative view of the state and faculties of man, with those of the animal world.",John Gregory,103,0,1,3,0,0,2,3,2,0,6,0,1,3,3,0,0,0,0,4,1,3,2,2,0,0,0,2,1,3,1,24,2,0,0,1,0,1,0,0,0,2,0,0,0,6,0,1,5,1,0,0,0,2,2,0,0,0,1,6,0,4,1,1,0,1766,1,1,"London : printed for J. Dodsley in Pall-Mall., MDCCLXVI. [1766].",London,209,male,1724,1773,FALSE,"the ear receives here from the Music , there is another which arises from the perception of the contrivance and ingenuity of the Com pofer. the enjoyment, it must be owned, is not of that heartfelt kind which simple Music can only give, but of a more sober and sedate"
0158401100_000039,"An introduction to the English language and learning. In three parts. Part I. A Spelling-Book of Arts and Sciences; Containing Alphabets of all the Words in the following Sciences, viz. Theology, Ethics, Grammar, Rhetoric, Logic, Poetry, Mythology, Phylosophy, Geography, Astronomy, Arithmetic, Algebra, Geometry, Mathematics, Mechanics, Anatomy, Physic, Chemistry, Pharmacy, Botany, Jurisprudence, Heraldry. Disposed in a Method entirely New; With the Rules of True Pronunciation and Spelling. Part II. The Rudiments of English Grammar. With the Rules of Orthography, Construction, Emphasis, and a Just Elocution. Part III. Lessons on all the above-mentioned Sciences; Containing a particular Description of each, by Way of Exercise, or Praxis, to enable the Scholar to read justly and judiciously on any Subject whatsoever. With a Preface, shewing, that nothing short of the Method here taken can be sufficient for a Plan of Genuine English Education. By Benjamin Martin.",Benjamin Martin,77,1,1,4,0,1,0,2,0,5,1,3,1,1,0,1,1,0,0,0,0,2,0,2,0,1,2,1,0,0,0,0,4,3,2,0,0,6,0,0,3,5,0,0,0,0,3,0,2,1,0,1,0,0,1,1,6,0,0,0,5,0,1,3,0,1754,1,1,"London : printed for W. Owen, at Homer's Head, in Fleet-Street, MDCCLIV. [1754].",London,248,male,1705,1782,TRUE,"represents the TRUE or real State of Things; as, Birds have mings. 8 False, as Angels have jings; Brutes are mere Machines. 9 Dubious; as the Planets art supposed to be inhabited, c. ARGUMENTATIO, or REASONING, is the third great Part of Logic; and here the Logician has Recourse to"
0035501400_000030,"A comparative view of the state and faculties of man with those of the animal world. By John Gregory M. D. F. R. S. Professor of Medicine in the University of Edinburgh, and First Physician to His Majesty in Scotland.",John Gregory,109,0,1,4,0,1,2,3,1,0,5,0,1,2,1,0,0,0,0,7,1,1,2,2,0,0,0,1,1,0,1,25,2,0,0,1,0,1,1,0,0,2,0,0,0,7,0,1,7,1,0,0,0,4,2,0,0,0,3,5,0,4,3,3,0,1777,1,1,"London : printed for J. Dodsley in Pall-Mall, M.DCC.LXXVII. [1777].",London,308,male,1724,1773,FALSE,"and pathetic manner , without any view of showing the dexterity of his own execution. But though all these circumstances of composition and performance should concur in any piece of Music , yet it must always fail in affecing the passions, N 3 unless [ i82 ] unless its meaning"
0250700701_000098,"Critical reflections on poetry, painting and music. With an inquiry into the rise and progress of the theatrical entertainments of the ancients. Written in French by the Abbé Du Bos, ... Translated into English by Thomas Nugent, gent. From the fifth edition revised, corrected, and inlarged by the author.",Jean-Baptiste Dubos,99,2,0,2,0,2,0,0,2,2,2,0,0,2,2,0,0,5,0,1,0,1,0,2,0,0,2,1,0,2,0,10,7,0,0,1,5,0,1,3,2,3,0,0,0,7,1,2,1,1,3,0,0,0,1,0,0,1,1,0,13,0,2,2,2,1748,1,3,"London : printed for John Nourse, 1748.",London,415,male,1670,1742,FALSE,"pleurs i la Grece afemblee, Due dans rheureux fpet7acle a nos yeux etale, En a fait fous son noai verser la Chanmele "", At a4uis, when fair Iphigenia bled, Not half so many tears the Grecians Shed, As when Chanmele, with her name disguise, Was in thy Iphlgeniafacrific'd. a In"
0615300600_000014,"The alliance of musick, poetry and oratory. Under the head of poetry is considered the alliance and nature of the epic and dramatic poem, as it exists in the Iliad, Æneid and Paradise Lost. By Anselm Bayly, ...","Bayly, Anselm",90,8,4,4,0,1,0,2,0,2,2,0,3,1,0,0,0,0,3,1,1,2,2,0,2,0,0,2,1,2,4,7,4,2,0,0,0,1,0,0,1,3,0,0,0,0,1,8,0,1,0,0,0,0,0,0,3,0,2,1,2,3,4,0,0,1789,1,1,"London : printed for John Stockdale, 1789.",London,387,unknown,,,FALSE,"invention, and absurdity of application, that they make a hearer of taste sick before they are half finished. The student to.make every grace his own, as well as to acquire an easy delivery of the voice , and freedom of throat, will do well to practice any full notes, with"
0081500129_000033,"The works of the English poets. With prefaces, biographical and critical, by Samuel Johnson. ...",Samuel Johnson,70,0,0,2,1,5,0,0,1,1,0,2,0,2,0,1,0,0,0,3,1,0,0,1,0,2,0,0,2,1,0,2,0,4,11,0,0,3,0,1,1,2,0,0,0,1,0,3,3,4,1,0,1,1,2,1,0,0,1,0,1,1,1,0,0,1779,29,58,"London : printed by H. Hughs; for C. Bathurst, J. Buckland, W. Strahan, J. Rivington and Sons, T. Davies, T. Payne, L. Davis, W. Owen, B. White, S. Crowder, T. Caslon, T. Longman, B. Law, E. and C. Dilly, J. Dodsley, H. Baldwin, J. Wilkie, J. Robson, J. Johnson, T. Lowndes, T. Becket, G. Robinson, T. Cadell, W. Davis, J. Nichols, F. Newbery, T. Evans, J. Ridley, R. Baldwin, G. Nicol, Leigh and Sotheby, J. Bew, N. Conant, J. Murray, W. Fox, J. Bowen, MDCCLXXIX. [1779]-80.",London,336,male,1709,1784,TRUE,"more appetite than he could do, if always cloyed with the same quantities and measures ; I cannot see why some use may not be made.of Pindar's example, ample, to the great improvement of the Englifll Ode . There is certainly a pleasure in beholding anything that has art and"
0447000700_000005,Essays on song-writing: with a collection of such English songs as are most eminent for poetical merit.,John Aikin,88,0,1,0,0,2,0,3,0,2,0,1,0,1,3,0,0,0,1,0,0,0,1,1,0,1,2,0,3,2,1,14,4,2,2,0,0,0,0,1,1,14,0,0,1,2,1,0,5,2,0,0,0,0,0,3,0,2,0,2,0,2,0,5,0,1777,1,1,"Dublin : printed for Thomas Armitage, No. 4, College-Green, MDCCLXXVII. [1777].",Dublin,307,male,1747,1822,FALSE,"He will not value fen. timent as the real offspring of an emotion, but as susceptible of ingenious turns, striking triking contrasts and pleasing allusions. He will not compose from the heart but the head, and will consult his imagination rather than his sensations. This quality is peculiarly termed wit,"
