PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(amen),termFreq(angel),termFreq(apostl),termFreq(baptiz),termFreq(believ),termFreq(bless),termFreq(blood),termFreq(bodi),termFreq(christ),termFreq(christian),termFreq(church),termFreq(command),termFreq(death),termFreq(divin),termFreq(earth),termFreq(end),termFreq(etern),termFreq(faith),termFreq(father),termFreq(ghost),termFreq(glori),termFreq(gospel),termFreq(grace),termFreq(grant),termFreq(hall),termFreq(hand),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(jesu),termFreq(king),termFreq(know),termFreq(law),termFreq(life),termFreq(live),termFreq(love),termFreq(manner),termFreq(mean),termFreq(merci),termFreq(mind),termFreq(natur),termFreq(offer),termFreq(order),termFreq(peopl),termFreq(person),termFreq(power),termFreq(prayer),termFreq(reason),termFreq(receiv),termFreq(saviour),termFreq(scriptur),termFreq(sin),termFreq(spirit),termFreq(true),termFreq(truth),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1039700100_000056,"A scriptural exposition of the Church-Catechism; containing the young Christian's account of the doctrines and duties of his religion, and of those divine Authorities, upon which he builds his Faith and Practice. With Sacramental and other Devotions, Gathered out of Holy Writ, and the Offices of the Church. The fourth edition. For the use of the parish of Cirencester. By the minister of that parish.","Harrison, Joseph",120,1,6,0,2,0,2,4,4,2,10,0,1,1,2,1,0,4,1,5,1,1,2,0,1,4,0,1,3,2,8,7,0,0,0,4,1,2,1,0,2,1,0,2,2,2,1,2,2,0,5,4,0,3,3,1,1,1,0,4,1797,1,1,"Cirencester : printed for the trustees of the charity, MDCCXCVII. [1797].",,225,male,1669,1753,FALSE,"thy cross and precious blood hast redeemed us, save us and help us, we humbly beseech thee,  0 Lord. At the end of the prayer of consecration, to your Amen , immediately add, O let the bread which we break, be unto us the communion of the body of"
0399901100_000012,"A new companion to the alter [sic], for the Holy Communion of our Lord's supper, fit to be bound up with the Common Prayer. Collected from the Holy Scriptures, and taken from the writings of Bp. Kenn, ... Mr. Nelson, &c.",,123,0,3,0,0,0,4,4,2,1,6,1,2,1,2,1,3,1,1,5,9,1,4,1,5,0,0,0,3,1,11,2,2,0,0,4,2,4,0,0,2,3,1,1,2,3,1,0,2,0,2,3,0,2,3,4,3,0,2,3,1755,1,1,"London : printed for J. Schofield, in Manchester, 1755.",London,64,unknown,,,FALSE,"Defender: That thus believing , and confessing, through' thy Son Christ , I may become an Heir of everlasting Life . And as 0.1 thus believe and confess to thee: So give me Grace to show forth my Faith by a godly Conversation, and virtuous Living , that Men feeing"
1071801700_000066,"The great necessity and advantage of publick prayer and frequent communion; designed to revive primitive piety: with meditations, ejaculations and prayers, before, at, and after the sacrament. The sixth edition. By the Right Reverend Father in God, William Beveridge, Late Lord Bishop of S. Asaph.",William Beveridge,132,2,12,1,0,0,3,5,6,8,4,1,1,1,4,0,3,2,1,4,1,0,3,2,4,2,1,0,0,2,9,7,1,0,2,5,1,3,0,1,1,2,0,2,0,0,1,0,1,0,7,2,0,6,2,1,0,2,1,2,1724,1,1,"London : printed for W. Taylor, at the Ship in Pater-Noster-Row, M.DCC.XXIV. [1724].",London,180,male,1637,1708,FALSE,"Benefits of his most precious Death and Resurrection from the Earth , and glorious Ascension into Heaven , who liveth and reigneth with thee and the Holy Spirit , ever one God, World without End . Amen . E pleased, 0 God, to accept this our bounden Duty and Service,"
0672301900_000100,"A treatise of the church catechism, consisting of lectures, delivered in the parish church of Chiswick, During The Seasons of Lent, And Dedicated To The Right Reverend The Dean, And The Rev. The Canons Residentiary Of ST. Paul's Cathedral, London. By the Rev. James Trebeck, A. M. Vicar Of Chiswick, Rector Of ST. Michael's Queenhithe, And Holy Trinity, And Chaplain In Ordinary To His Majesty.","Trebeck, James",124,0,7,0,1,0,0,6,0,1,5,1,3,2,1,2,3,0,2,3,6,4,1,0,4,3,0,1,2,6,9,5,0,0,4,6,1,3,0,2,4,2,0,1,0,0,0,1,4,0,5,1,0,0,3,0,2,1,2,4,1798,1,1,"London : printed for F. and C. Rivington, ST. Paul's Church-Yard; R. Faulder, New Bond-Street; and D. Davies, at Chiswick, [1798].",London,305,male,1727,1808,FALSE,"account of my miniiterial stewardship to my Lord, with Joy. I have not kept back thy Word , 0 God, from the Congregation, nor from this little Flock. Withdraw not then, O Lord, the Light of thy Grace from us; but ihed it's Dew on these thy Children, among other"
0326700800_000025,"A short and plain instruction for the better understanding of the Lord's supper; with the necessary preparation requir'd: for the benefit of young communicants, and Of such as have not well Consider'd this Holy Ordinance. To which is annex'd, the office of the Holy Communion, With proper Helps and Directions for joining in every Part thereof with Understanding and Benefit. By the Right Reverend Father in God, Thomas, Lord Bishop of Sodor and Man.",Thomas Wilson,100,2,2,4,1,0,2,0,4,4,5,1,1,1,3,1,0,0,2,1,4,4,2,2,2,1,0,2,1,1,6,6,0,0,0,2,0,1,1,1,5,0,0,0,2,2,2,1,2,0,4,1,1,3,3,2,1,0,0,1,1736,1,1,"London : printed for Charles Rivington, at the Bible and Crown in St. Paul's Church-Yard, MDCC.XXXVI. [1736].",London,213,male,1663,1755,FALSE,"might alfb ascend, and reign with him in Glory . Therefore with Anrgels, c. 7whitfunday, six Days as RO' chri(t Jcfus our Lord; according to whose most TRUE Promise, the Holy Ghost came down as at this Time from Heaven , with a sudden great Sound as it had been"
0476501100_000025,"A short and plain instruction for the better understanding of the Lord's Supper; with the necessary preparation required: for the benefit of young communicants, and Of such as have not well Considered This Holy Ordinance. To which is Annexed, The Office of the Holy Communion. With proper Helps and Directions, for joining in every Part thereof with Understanding and Benefit. By the late Right Reverend Father in God, Thomas, Lord Bishop of Sodor and Man.",Thomas Wilson,105,2,2,5,0,0,2,1,4,4,3,1,1,1,3,1,0,0,3,2,4,2,2,3,2,2,0,1,2,2,8,7,0,0,0,3,1,1,0,1,7,0,0,2,1,0,2,1,3,0,2,1,0,3,3,2,1,0,0,1,1779,1,1,"London : printed for J. F. and C. Rivington, Booksellers to The Society for Promoting Christian Knowledge, at the Bible and Crown (no. 62) in St. Paul's Church-Yard, 1779.",London,226,male,1663,1755,FALSE,"Sight afeended up into Heaven , to prepare a Place for us; that where .he is, thither we might also ascend, and reign with him in Glory . Therefore with Angels , cdijc. Devofions. St. John XII 26 Where I am, there also Jflal my Sercvant be. G ive me,"
0193301500_000064,"Devotion reviv'd: or, safe and easie directions for a truly religious life. With a character of the principal vertues necessary for a Christian. By a divine of the Church of England.",Divine of the Church of England,122,0,2,3,1,0,1,5,0,3,1,2,2,0,2,2,2,3,4,1,4,3,5,2,2,0,0,3,1,6,12,4,0,2,0,3,2,2,0,0,11,3,0,1,0,1,0,2,0,1,3,1,0,6,2,1,0,0,1,4,1716,1,1,"London : printed for R. Smith, at Bishop Beveridge's Head, in Pater-Noster-Row, 1716.",London,386,male,,,FALSE,"Son. Atnen, Let Let not thy Justice so remember my Sins , as to forget thy tender Mercies . I know I have committed those Evils, for which I ought to be condemned; yet thou; 0 Gracious God, canst not lore that glorious Attribute of Mercy , from whence flows"
0913600800_000069,"The grounds and principles of the Christian religion, explain'd in a catechetical discourse for the instruction of young people. Written in French by J.F. Ostervald, Pastor of the Church of Neufchatel, and Author of a Book, entituled, A Treatise concerning the Causes of the present Corruption of Christians, and the Remedies thereof. Rendred into English by Mr. Hum. Wanley: and revised by Geo. Stanhope, D. D. Recommended as proper for Publick Examinations in Charity Schools.",Jean-Frédéric Osterwald,116,0,6,1,0,0,1,2,0,0,5,2,2,1,0,0,2,3,1,2,6,1,5,1,4,3,1,0,4,3,6,7,3,1,1,5,3,1,2,1,7,0,0,1,1,5,0,1,1,0,1,2,0,2,2,0,1,1,1,4,1719,1,1,"London : printed and sold by J. Downing, in Bartholomew-Close near Smithfield, 1719.",London,408,male,1663,1747,FALSE,"order to make a Confession ot your Sins ; saying' with me from a iincere and humble Heart : - I iconfefs before Thee, my God and Creator, I that am a poor Sin per, that I have offended Thee in sundry Manners , by my Thoughts,, Words , and"
0847700100_000199,"The new whole duty of man, containing the faith as well as practice of a Christian: made easy for the practice of the present age, As the Old Whole Duty of Man was design'd for those unhappy Times in which it was written; And Supplying the Articles of The Christian Faith, Which are Wanting in that Boolt. Tho' Essentially necessary to Salvation. Necessary for All Families. And Authorised by the King's most Excellent Majesty. With Devotions proper for several Occasions. Also A Help to Reading the Scriptures.",,108,3,4,2,0,0,0,2,0,1,3,3,2,1,1,2,2,3,1,3,2,2,6,4,2,3,1,0,5,3,11,3,0,0,1,1,3,4,0,1,0,0,0,2,0,2,1,1,5,0,2,0,0,1,0,1,1,4,2,1,1795,1,1,"London : printed only for W. Bent, at the King's Arms, in Pater-Noster-Row, [1795].",London,567,unknown,,,FALSE,"thy glory , and to i edify thy people . For which end , I humbly pray that they may make thy word the chief subject of their studies; that they may from thence infftrut thy people committed to their charge, and silence gainsayers; that they may faithfully and diligently"
0288100101_000195,"The works of the Right Reverend Father in God Thomas Wilson, D.D. Lord Bishop of Sodor and Man. In two volumes. With his life, compiled from authentic papers by C. Cruttwell. ...",Thomas Wilson,127,0,4,1,1,0,2,1,1,2,9,1,1,0,3,1,1,1,1,5,0,2,2,1,1,2,0,3,5,1,6,8,2,2,0,1,1,4,0,1,8,0,0,7,0,3,1,1,3,0,5,0,0,8,8,2,0,0,2,2,1781,1,2,"Bath : printed for C. and R. Cruttwell; and sold in London by C. Dilly; J. F. and C. Rivington, and J. Johnson, St. Paul's Church-Yard; J. Phillips, George-Yard, Lombard-Street; and James Fox, Westminster, Westminster, MDCCLXXXI. [1781].",Bath,648,male,1663,1755,FALSE,"bij7ops are called Angels in the Revelations, intimating that they should have no interest on earth at heart so much as that of the good of the Church , and the honour of God. Intercession for my Flock. He who bewails not the sins of his people , and does"
0319001800_000026,"A sermon preach'd at the ordination of Mr. Thomas Morgan, at Frome, in the County of Somerset, on Thursday, Sept. 6th, 1716. By Nicholas Billingsley. With Mr. Morgan's confession of faith; the Questions and his Answers on that Occasion: And The Exhortation to him at the Close. By the Reverend Mr. John Bowden. Publish'd at the request of the ministers present at the assembly. With a preface by the Reverend Mr. Henry Chandler of Bath.","Billingsley, Nicholas, Minister at Ashwick",109,3,0,2,1,0,4,0,4,1,7,3,4,0,5,2,0,4,1,2,3,1,1,4,5,0,0,1,1,1,3,3,1,0,3,3,2,2,0,1,0,0,4,0,3,1,1,3,1,0,1,2,1,2,2,2,1,1,4,2,1717,1,1,"London : printed for John Clark, at the Bible and Crown in the Poultry, near Cheapside, [1717].",London,98,unknown,,,FALSE,"and. Men under his Jurisdiction; nnd .thereby conlittuted him Supream.regent, Govmenoirmand Judge in the .Mediatorial .Kingdom; or given him an absolute legislative and executive Power , in order effe&tu ally to obtain the Ends of his Death and Sufter mags.. 1 BE I. Ir,, Jesus . Christ having by the"
0841000400_000053,"A common prayer-book, according to the plan of the liturgy of the Church of England, with suitable services.","Morgan, Thomas, LL.D.",134,1,5,2,1,0,1,5,0,1,10,0,0,1,4,1,5,0,3,1,5,0,7,2,1,3,2,2,1,10,11,10,1,0,1,7,2,1,1,1,1,1,1,3,0,1,0,2,1,2,1,0,0,6,1,2,1,0,0,2,1791,1,1,"Exeter : printed by T. Brice; and sold by J. Johnson, No. 72, St. Paul's Church-Yard, London, MDCCXCI. [1791].",Exeter,401,unknown,,,FALSE,"who, by his death , hath destroyed death , and, by his rising to life again, hath raised us to the hope of everlasting life . Accpord ing to whose gracious promise, thy spirit was poured forth upon the apostles to lead them into all truth , granting thenm both"
1186600100_000197,"The new whole duty of man, containing the faith as well as practice of a Christian: made easy for the practice of the present age, as the Old Whole Duty of Man Was designed for those unhappy Times in which it was written; and supplying The Articles of the Christian Faith, which are wanting in that Book, though essentially Necessary to Salvation. Necessary for all Families. With Devotions proper for Several Occasions. Also a help to reading the Scriptures.",,113,2,4,2,0,0,0,3,0,1,5,2,2,1,2,2,2,3,1,4,2,3,6,3,3,2,2,0,5,3,10,6,0,0,1,2,3,3,0,1,0,1,0,2,0,0,0,1,6,0,2,0,0,1,0,2,1,3,2,1,1793,1,1,"Newcastle upon Tyne : printed by M. Brown, MDCC.XCIII. [1793].",Newcastle upon Tyne,607,unknown,,,FALSE,"becaute they have a peculiar relation to thee; that I may sincerely love them, because of the benefits I receive by their administrations; that I may readily and chleafully provide for their maintenance, because the Lord hath ordained that they who preach the gospel flhould live of the gospel ,"
0287900500_000033,"A select manual of divine meditations and prayers suited to the most necessary and solemn occasions. And fitted for Morning and Evening Service for every Day in the Week. To which is added, A short Office to be used Before, At, and After the Receiving of the Holy Sacrament. The whole design'd To Purify the Heart and to kindle up the Fervor of Devotion in the Minds of all Serious Christians. Being the last work of the Revd. and learned Mr. Joshua Smith, Late Minister of St. Mary Aldermanbury, and Lecturer of St. Mary le Bow.","Smith, Joshua           1731",113,0,4,2,0,0,0,4,1,1,2,0,0,0,1,3,2,1,6,1,3,1,4,1,3,3,0,0,2,3,8,4,0,2,3,5,4,5,0,1,5,0,2,0,0,1,0,2,2,0,1,4,1,6,3,0,2,2,1,1,1733,1,1,"London : printed; and sold by C. Rivington, in St. Paul's Church-Yard; and J. Leake, at Bath, M.DCC.XXXIII. [1733].",London,193,unknown,,,FALSE,"ourselves. Keep nie, 0 Lord, this day under thy guidance and direction Preserve me .out, , wardly in my body , and inwardly in my soul, that no casualty or accident may hurt the one, nor any evil approach the other. Defend me from the power and malice of the"
0230301600_000027,"The posey of prayers; or the key of heaven : being a magazine of devotion, collected from Catholic authors, and adapted to all persons and occasions.",,117,0,4,1,3,0,3,4,0,0,4,1,4,1,0,3,3,0,6,2,2,0,3,2,7,2,0,2,2,4,11,3,0,0,0,4,4,0,1,1,1,0,0,5,0,2,0,2,3,2,2,1,0,1,1,1,4,4,0,1,1799,1,1,"London : printed for E. Booker, Bookseller And Stationer, NO 56, New Bond Street, 1799.",London,419,unknown,,,FALSE,"always with us, 0 my God, and let thy grace never depart from Here ihre the Priejf says the Colles or Prayerfor the Day, say then, ALMIGHTY and eternal God, we humbly beseech thee, mercifully to give ear to the prayers of thy servant, which he offers thee in the"
1278000100_000063,"Devotion reviv'd: or, safe and easie directions for a truly religious life. With a character of the principal virtues necessary for a Christian. By a divine of the Church of England. Composed at First for his own Private Use, and now Publish'd for the common Good.",Divine of the Church of England,106,0,3,1,1,0,1,5,0,4,3,3,1,0,2,2,1,2,2,1,4,2,5,2,2,0,0,3,1,3,6,6,0,2,0,4,2,1,0,0,8,3,0,1,0,0,0,1,1,1,3,2,0,4,1,1,0,0,2,3,1729,1,1,"London : printed for Mary Smith, and sold by C. Rivington, at the Bible and Crown in St. Paul's Church-Yard, M.DCC.XXIX. [1729].",London,421,male,,,FALSE,"the broad sea. Thou v/itteft the earth , and bleffeft it; thou makefi it very plenteous. Thou crowneft the year with thy good we; and thy clouds drop fatness. Ihougivef fodder unto the cattle; and feedefi the young ravens that call upon thee. 0 Lord, do thou put joy in"
1078900400_000016,"The universal week's preparation, for a worthy receiving of the Holy Sacrament of the Lord's supper; recommended and enjoined by the Church of England. In two parts. Part I. Containing the Nature and Institution of the Lord's Supper, with an earnest Invitation to that Blessed Ordinance. Also, Suitable Meditations and Prayers for every Day (morning and Evening) throughout the Week; and necessary Forms of Self-Examination and Confession of Sins. To Which is Added, A New Companion at the Altar, Affording salutary Instructions to the Communicant while engaged in the most solemn. Act of his Devotions; likewise Meditations and Prayers to be used on Sunday Evening after partaking of the Sacrament. Part II. Containing necessary Remarks, Meditations, Prayers, Thanksgivings and Ejaculations for every Day in the Week, following the Celebration of the Holy Communion at the Lord's Table. Together with An Epitome of the Wholeduty of Man Under the different Heads: and The Thirty-Nine Articles of Religion, Which are entirely omitted in every other Book of this Kind, though absolutely necessary for all Pious Christians. In this New Book of Sacramental Exercises, those Fears and Scruples which too frequently disturb the Minds of some sincere and devout Christians are entirely removed; and the Necessity of commemorating the Death of our Lord and Saviour Jesus Christ is proved by the most Rational and Scriptural Arguments. By the Rev. J. Worthington, LL. D. Author of the Universal Prayer Book, Dedicated to the Rev. Dr. Horne, Vice Chancellor of the University of Oxford.","Worthington, Joseph",116,3,2,6,2,0,2,2,4,2,10,0,0,1,7,0,1,0,1,1,4,2,4,1,0,2,0,1,1,4,8,5,0,0,0,2,1,0,0,0,7,2,0,2,1,2,1,0,4,0,3,2,0,6,0,2,1,1,1,2,1780,1,1,"London : printed for Alex. Hogg, No. 16, Pater-Noster Row; and Richardson and Urquhart at the Royal Exchange, [1780?].",London,146,male,,,FALSE,"our bounden duty, that we should at all times, and in all places, give thanks to thee,.. bsord ( Holy olord, * holyfather, Al Father ) mu eomitted mighty, everlasting God. 0n Efrnity Snda'y, [Part I. he re fhallfollowe the proper Preface, according to the Time, f' there be any"
0871900800_000081,"A manual of devout prayers, and devotions For every Day in the Week, morning and evening; fitted for all persons and occasions. In which are contained an explanation of the principal festivals throughout the year; the Profession of Faith; the Order of the Holy Mass in Latin and English, the method of saying the rosary, &c.",,134,4,6,0,1,0,0,3,4,2,5,0,3,0,0,0,1,2,0,2,6,2,7,2,3,5,0,2,4,4,8,4,1,1,1,5,4,0,0,0,12,1,0,2,0,3,1,1,4,0,4,1,0,6,1,2,0,0,0,4,1750,1,1,"London : printed, and sold by J. Marmaduke, Bookseller, in May's-Buildings, St. Martin's-Lane, MDCCL. [1750].",London,532,unknown,,,FALSE,"Knees of my Soul, and detesting my own Sinfulness , thus humbly, with the penitent Publican, implore thy Mercy , [fay this thrice] 0 God, be merciful to me a Sinner. Deal not with me according to my Iniquities, nor reserve me for everlarfing Punishments, but according to the Multitude"
