PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(answer),termFreq(appear),termFreq(argument),termFreq(author),termFreq(believ),termFreq(bodi),termFreq(cafe),termFreq(caus),termFreq(certain),termFreq(christ),termFreq(christian),termFreq(church),termFreq(concern),termFreq(confid),termFreq(differ),termFreq(divin),termFreq(end),termFreq(evid),termFreq(faith),termFreq(gener),termFreq(god),termFreq(ground),termFreq(holi),termFreq(human),termFreq(idea),termFreq(judg),termFreq(know),termFreq(knowledg),termFreq(law),termFreq(learn),termFreq(life),termFreq(light),termFreq(love),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(moral),termFreq(natur),termFreq(noth),termFreq(opinion),termFreq(person),termFreq(power),termFreq(principl),termFreq(proof),termFreq(prove),termFreq(reason),termFreq(receiv),termFreq(religion),termFreq(rule),termFreq(scriptur),termFreq(sens),termFreq(spirit),termFreq(suppos),termFreq(think),termFreq(true),termFreq(truth),termFreq(word),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0507702200_000001,"Common sense; or, the plain man's answer to the question, whether Christianity be a religion worthy of our choice in this age of reason? In two letters to a deistical friend. By Philalethes.",Philalethes,115,1,5,0,0,1,1,1,1,0,1,1,1,0,0,1,1,2,2,1,0,3,8,0,0,3,4,2,1,0,3,1,1,0,2,1,4,4,7,7,2,1,0,8,2,0,0,4,0,10,2,0,3,1,1,2,2,2,0,4,1796,1,1,"London : printed for the author; and sold by T. Knott, No. 47, Lombard Street; and J. Marsom, No. 187, High Holborn, London, [1796?].",London,30,male,,,FALSE,"- I. -, 1 /. i  COMMON- SENSE ; OR, SHE PLAIN man's ANSWER TO THE QUESTION, WHETHER CHRISTIANITY Be a Religion worthy of our Choice in this AGE of REASON ? TWO LETTERS TO A DEISTICAL FRIEND. BY PHILALETHES. PRINTED FOR THE AUTHOR ; AND SOLD BY T."
0116200400_000060,"The laws and liberties of the Gospel: or, the duties and privileges common to all Christians, explained and recommended in several practical discourses. Designed To promote Christian Truth and Charity, Peace and Unity. By Gilbert Michell, M. A. Rector of Bredsall, near Derby.","Michell, Gilbert",96,3,1,1,1,3,1,0,0,0,2,3,2,1,2,0,0,1,0,2,1,0,1,0,1,2,0,6,4,2,4,6,0,1,0,3,1,0,0,5,3,2,6,1,3,2,0,2,0,2,2,1,1,0,0,3,1,3,2,2,1737,1,1,"London : printed for John Noon, at the White Hart in Cheapside, near Mercers Chapel, M.DCC.XXXVII. [1737].",London,387,male,1687,1758,FALSE,"And, what that sort of learning is in which a Christian must excel? A thousand other difficulties must be answered before a man can know , whether he is one of of those who may fifely stand to the determination of his own judgement, after the use of all those"
1240601800_000005,"A catalogue of the printed and unprinted works of the Hon. Emanuel Swedenborg. To which are added, Some observations recommending The Perusal of his Theological Writings.",,93,5,0,4,1,2,0,2,0,0,0,2,2,1,0,0,3,5,0,2,1,0,4,1,3,1,0,1,1,1,0,0,1,3,2,1,2,2,0,1,2,2,2,0,2,1,0,3,2,1,1,3,2,2,0,1,1,7,3,4,1785,1,1,"London : printed by Robert Hindmarsh, No. 32, Clerkenwell-Close, MDCCLXXXV. [1785].",London,29,unknown,,,FALSE,"mere Formalist in Religion , the felf righteous Pharisee, and all such as live according to the Course of this World , with Minds and Hearts directed thereto, however decent they may appear externally, will D all all join in Opposition to so spiritual a Messenger, who irrenuoufly insists on"
1085201100_000074,"Logic: or, the right use of reason in the inquiry after truth. With A Variety Of Rules To Guard Against Error In The Affairs Of Religion And Human Life, AS Well AS In The Sciences. By Isaac Watts, D.D.",Isaac Watts,101,0,1,0,2,1,4,0,1,0,0,1,2,0,0,0,1,2,0,8,2,1,8,1,0,1,1,2,3,1,0,0,3,2,0,1,0,3,3,1,0,2,1,3,10,1,1,7,4,1,2,1,2,0,1,0,1,5,0,3,1792,1,1,"London : printed for John Cuthell, 1792.",London,333,male,1674,1748,TRUE,"Thummin were, nor how God gave answers to his people by them. 3 When revelation, in plain and express language, declares feme ido(lrine which our re.ifon at present knows with evidence and certainty, how or in what sense to reconcile to form of its own principles : as, that the"
0025700100_000390,"Observations on man, his frame, his duty, and his expectations. In two parts. Part. I. Containing Observations on the Frame of the Human Body and Mind, and on their Mutual Connexions and Influences. Part. II. Containing Observations on the Duty and Expectations of Mankind. By David Hartley, M.A. Reprinted from the author's edition in 1749. To which are now added, notes and additions to the Second part; translated from the German of the Rev. Herman Andrew Pistorius, Rector of Poseritz in the Island of Rugen. Also a Sketch of the life and Character, and a Head of the author.",David Hartley,115,2,0,0,2,4,0,0,6,0,2,2,1,0,0,3,2,6,0,2,8,2,5,3,0,3,3,2,0,1,0,0,1,1,0,0,1,2,6,1,0,1,0,1,1,1,1,20,0,0,1,1,1,0,3,2,0,7,2,2,1791,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, MDCCXCI. [1791].",London,806,male,1705,1757,TRUE,"the rules of sound criticism, and all the knowledge he has of the monarch's character, notions, and designs. If he be actually a wife and good king, he will not be displeased with his vicegerent for explaining passages that feem'to him obscure, contradictory to other passages, incompatible with the known"
0215900202_000057,"Observations on man, his frame, his duty, and his expectations. In two parts. Part the First: Containing Observations on the Frame of the Human Body and Mind, and on Their Mutual Connexions And Influences. By David Hartley, M.A.",David Hartley,116,0,0,6,2,3,2,0,2,0,1,2,5,3,0,1,2,4,0,4,0,0,1,1,0,3,0,2,1,4,0,0,1,4,0,0,1,0,1,7,0,2,2,3,0,0,3,4,3,12,0,6,1,0,5,0,5,2,0,5,1791,2,3,"London : first printed in MDCCXLIX. Reprinted by J. Johnson, St. Paul's Church-Yard, MDCCXCI. [1791].",London,469,male,1705,1757,TRUE,"upon them erroneous doctrines, established by the authority of creeds, councils, and particular churches . But this is a manner of proceeding highly unreasonable. The unbeliever, who pays so little regard to the opinions of others, as to reject what all churches receive , the divine mission of Christ ,"
0230100300_000054,"The doctrin of faith and justification set in a true light. In three parts: I. Of the Nature of Faith, consider'd in it's I. Essential Parts. 2. Opposites. And 3. Effects. II. Of Justification by Faith alone. Where is amply Defended the lately Exploded Doctrin of the Imputation of our Sins to Christ, and of his Righteousness to us. III. Of the way how to Reconcile the two Apostles about the Doctrin of Justification. Being the second part of the theological treatises, which are to compose a large Body of Christian divinity. By John Edwards, D.D.",John Edwards,99,2,3,0,1,1,3,2,0,0,1,0,1,0,2,2,0,3,0,5,7,1,2,0,4,1,0,0,4,2,0,0,2,1,1,7,1,0,1,4,0,0,1,0,2,2,4,9,1,3,0,4,1,1,0,1,1,3,2,0,1708,1,1,"London : printed for Jonathan Robinson, John Lawrence, and John Wyat, MDCCVIII. [1708].",London,474,male,1637,1716,FALSE,"pracice of this Vice hurts their Bodies , impairs their Health, exhaufts'their Purses, hinders them in their Callings, and on several accounts. is mischievous to them? Have they not over and over again, many Months and Years together, found by Experience, that this Vice hath been very prejudicial to them,"
1082300500_000002,"The reasonableness of our belief in the doctrines of Christianity asserted. Two sermons preached before the University of Oxford, at St. Mary's, on Sunday, Oct. 12. 1755. and Jan. 25. 1756. By William Hawkins, M.A. Professor of Poetry in the University of Oxford, Rector of Little Casterton in Rutlandshire, and late Fellow of Pembroke College. Published at the Request of the Vice-Chancellor and Heads of Houses.",William Hawkins,95,2,0,1,2,1,1,0,2,2,1,1,2,1,0,0,4,4,0,1,2,2,2,2,4,2,3,0,0,2,0,0,0,0,0,0,0,2,0,5,1,2,0,0,4,1,0,4,1,6,3,6,0,0,1,0,1,7,3,4,1756,1,1,"Oxford : printed at the Theatre for S. Parker, and sold by J. Rivington in St. Paul's Church-Yard, London; and S. Farley at Bristol, MDCCLVI. [1756].",Oxford,48,male,1722,1801,FALSE,"where the import of the words themselves, or the nature and force of the context evidently require a figurative one. 2dly, -- That in the explanation of particular pafiages a proper regard is to be had to the visible tenor of the whole. 3dly, That obscure and difficult places, are"
1081900103_000010,"A defence of natural and revealed religion: being an abridgment of the sermons preached at the lecture founded by the Honble Robert Boyle, Esq; by Dr. Bentley Bp. Kidder Bp. Williams Bp. Gastrell Dr. Harris Bp. Bradford Bp. Blackhall Dr. Stanhope Dr. S. Clarke Dr. Hancock Mr. Whiston Dr. Turner Dr. Butler Dr. Woodward Mr. Derham Dr. Ibbot Bp. Leng Dr. J. Clarke Archd. Gurdon Dr. Burnet Dr. Berriman. In four volumes. With a general index. By Gilbert Burnet, Vicar of Coggeshall, Essex.",,118,0,1,1,1,0,0,2,2,1,3,0,9,0,1,0,3,2,3,3,1,2,5,1,2,3,0,1,3,3,0,2,0,0,0,6,4,0,0,3,4,3,1,0,6,0,1,4,0,14,0,5,0,3,0,0,1,5,1,2,1737,3,4,"London : printed for Arthur Bettesworth and Charles Hitch, at the Red-Lion in Pater-Noster Row, MDCCXXXVII. [1737].",London,536,unknown,,,FALSE,"on Foot, different from the Truth , either their Eyes will be blinded, or else they will handle the Word of God deceitfully, and pervert the meaning of the Text into the Service of that Cause which they have already espoused. Betides, where Men read the Scriptures not to find"
1100202100_000002,"An inquiry into the nature and extent of the inspiration of the Apostles, and other writers of the New Testament: conducted with a view to some late opinions on the subject. By William Parry.","Parry, William",94,0,0,0,2,0,2,0,3,1,2,1,7,1,2,2,2,6,0,2,2,3,5,1,1,0,2,0,2,1,1,0,0,0,0,1,0,3,1,6,1,2,0,4,0,0,1,5,2,1,0,3,0,1,3,1,1,1,3,3,1797,1,1,"London : printed for the Author, and sold by T. Conder, Bucklersberry; J. Johnson, St. Paul's Church-Yard; W. Button, Pater-Noster-Row; and T. Knott, Lombard-Street, 1797.",London,70,male,1754,1819,FALSE,"promoting the moralgood of his erring and fallible creatures. It is therefore neither irrational, nor unphilosophical, to suppose , that God can, by his immediate agency, influence the minds of men. The difficulty of conceiving of the m; ode, in which such divine influence takes place, is not a .solid"
0673700300_000012,"Free thoughts on the subject of a farther reformation of the Church of England; in six numbers: to which are added, the remarks of the editor. By the author of A short and safe expedient for terminating the present debates about subscription. Published by Benjamin Dawson, L.L.D. Rector of Burgh, in Suffolk.","Jones, John",96,1,0,0,1,5,2,0,0,0,0,2,6,3,2,0,6,1,0,1,3,0,4,0,1,2,0,2,0,1,1,0,1,1,2,1,0,4,1,2,0,7,0,0,3,0,0,2,0,5,3,4,2,3,1,1,2,2,2,3,1771,1,1,"London : printed for J. Wilkie, No 71, St. Paul's-Church-Yard, M.DCC.LXXI. [1771].",London,229,male,1700,1770,FALSE,"God , as will enable him by this rule to judge and determine for himself, in all controversies of religion , as far as is needful, or necessary, in order to his acceptance with God , and his final happiness. One private Christian hath certainly as good authority and right"
1704700102_000037,"A preservative against Schism and rebellion, in the most trying times. Or, A resolution of the most important cases of conscience, relating to the government both in church and state; in a course of lectures read in the Divinity School at Oxford, in the time of the great rebellion. By Robert Sanderson, D.D. regius professor, and afterwards Lord Bishop of Lincoln. In three volumes. The first volume concerning the obligation of promissory oaths: translated by the special command of His Most Sacred Majesty, King Charles the First, and afterwards revised and approved under His Majesty's own hand. To which is added, the judgment of the University of Oxford, concerning the Solemn League and Covenant. The second and third volumes explaining the most difficult cases of conscience relating to government, ecclesiastical and civil. Translated by Mr. Lewis. With the life of the author.","Sanderson, Robert",102,1,2,0,2,2,2,1,1,0,1,1,1,10,1,0,1,2,1,0,4,1,10,0,2,2,0,1,0,1,9,1,0,0,0,2,0,0,2,1,1,2,1,0,2,0,0,1,0,1,8,10,1,1,3,1,0,0,3,2,1722,2,3,"London : Printed for Charles Rivington at the Bible and Crown in St. Paul's-Church-Yard, M.DCC.XXII. [1722].",London,364,male,1587,1663,FALSE,"have long afflited the Chr if/an Church , and had their Rise from a Misapplication of what is intended by the Per feflion of Scripture ; for Men of no ordinary Name and chara6er have fatally applied this Docrine, and concluded from it, that nothing could lawfully be done or"
0010800101_000025,"The history of religion: particularly of the principal denominations of Christians, viz. Of the Church of Rome, --- England, --- Scotland, - Nonjurors, - Lutherans, - Presbyterians, Of the Independents, - Baptists in general, - Quakers, -- Antinomians, - Moravians, - Methodists in general. Containing a succinct and genuine account of their original and present constitution, discipline, doctrines, worship, and ceremonies: With a general Account of the various Sectaries of less Note, since the first Establishment of Christianity. Including a general History of the Reformation, and so much of Civil and Ecclesiastical History as is connected with, or necessary to explain and illustrate the Work. To which is added, A Dictionary of the principal Religious Orders, Offices, Days, Rites, Customs, Habits, and Characters; the most important Transactions of Ecclesiastical Councils, Synods, &c. explaining all such ambiguous Words and Phrases as have a proper Connexion with the Subjects of this History. By an impartial hand.",James Murray,81,1,0,3,2,1,2,0,2,0,1,3,1,3,2,0,1,0,0,1,2,4,8,0,1,1,1,1,0,1,0,3,1,1,0,2,0,0,3,2,0,1,1,1,1,1,0,2,0,2,1,8,1,0,1,0,3,3,1,0,1764,1,4,"London : printed for C. Henderson, at the Royal Exchange; W. Nicoll, in St. Paul's Church Yard; and J. Johnson, opposite the Monument, MDCCLXIV. [1764].",London,507,male,1732,1782,FALSE,"and this has led the pious and well difpofed of every denomination, as well as those eminent in learning , to place the essentials or fundamentals of religion in a few necessary articles, of which we hall take notice. However, this is certain , that Jesus Christ hath provided no"
0297300106_000054,"The works of the late reverend and learned Isaac Watts, D.D. published by himself, and now collected into six volumes. In which are also inserted the second part of the Improvement of the mind, An essay on education, and some additions to his Miscellaneous thoughts in prose and verse. Now first published from his manuscripts, and, the Direction of his Will, revised and corrected by D. Jennings, D.D. and the late P. Doddridge, D.D. ...",Isaac Watts,101,1,0,0,1,0,8,1,0,0,2,5,2,6,0,1,0,5,0,0,2,1,6,0,2,4,0,1,0,1,1,1,0,2,0,0,2,0,1,4,3,3,7,2,1,0,0,2,0,2,2,5,4,2,1,0,2,2,3,0,1753,6,6,"London : printed for T. and T. Longman at the Ship, and J. Buckland at the Buck, in Pater-Noster-Row; J. Oswald at the Rose and Crown in the Poultry; J. Waugh at the Turk's-Head in Lombard-Street; and J. Ward at the King's-Arms in Cornhill, MDCCLIII. [1753].",London,869,male,1674,1748,TRUE,"so wide, thathalfthe children dren in a parili may go into the church at once, and it opens so calfly, that a child or a fool can manage it. SECTION V A fourth argument againf: this test of communion is this. Ifa mere assent to the express words of scripture"
0323100302_000046,"An essay concerning human understanding. Written by John Locke, Gent. The nineteenth edition. To which are now first added, I. An analysis of Mr. Locke's doctrine of ideas, on a large Sheet. II. A defence of Mr. Locke's opinion concerning Personal Identity, with an Appendix. III. A Treatise on the Conduct of the Understanding. IV. Some Thoughts concerning Reading and Study for a Gentleman. V. Elements of Natural Philosophy. VI. A new method of a common-place-book. Extracted from the author's works. ...",John Locke,124,0,3,0,1,1,1,7,2,0,1,0,0,0,0,1,1,1,2,2,4,0,5,2,0,1,4,0,1,1,0,0,1,0,0,7,0,1,0,8,1,1,0,4,2,3,5,12,3,1,1,1,5,5,1,12,1,2,6,0,1793,2,2,"London : printed for T. Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. J. and J. Robinson, T. Cadell, W. Richardson, W. Otridge, J. Sewell, F. and C. Rivington, W. Goldsmith, S. Hayes, Leigh and Sotheby, T. Payne, W. Lowndes, R. Faulder, B. and J. White, G. and T. Wilkie, Scatcherd and Whitaker, R. Ryan, and E. Jefferey, 1793.",London,493,male,1632,1704,TRUE,"very little Short of this, with due reverence he it spoken, that God is less to be believed when he affirms a proposition that cannot be proved by natural reason , than when he proposes what can be proved by it. The dire&c contrary to which is my opinion ,"
0255800700_000072,"Dæmoniacs. An enquiry into the heathen and the Scripture doctrine of dæmons. In which the hypotheses of the Rev. Mr. Farmer, ... are particularly considered. By John Fell.","Fell, John",103,2,1,1,2,1,0,0,6,3,0,0,5,0,4,0,1,4,0,0,0,1,4,1,2,6,3,0,2,1,0,0,0,1,0,1,0,2,7,8,2,2,2,2,3,0,1,2,2,2,0,5,0,1,3,0,0,1,0,6,1779,1,1,"London : printed for Charles Dilly, 1779.",London,447,male,1735,1797,FALSE,"account of their ideas , concerning the entrance of sin and death into this world , and to let us know , whether they ascribe it to the agency of the devil or not; for till this is done, those arguments that have been advanced against the received opinion ,"
0241000400_000021,"An introduction to logick, scholastick and rational.",Edward Bentham,101,2,1,0,0,1,0,2,0,2,2,0,1,0,1,0,0,3,2,6,7,1,9,0,0,3,1,3,2,1,0,0,1,1,0,2,1,1,2,8,0,0,1,1,2,2,1,5,0,8,2,1,1,0,1,0,3,4,0,3,1773,1,1,"Oxford : printed by W. Jackson, and J. Lister, MDCCLXXIII. [1773].",Oxford,144,male,1707,1776,FALSE,"nature ; such as the particular conclusions in Natural Phi lfosphy, matters oj fasi concerning times, places, persons , acions, which depend on Story, and the relations of others: It will be fatisfatory to any reasonable man that they are made out by such proof , as they are capable"
0025900802_000026,"Alciphron: or, the minute philosopher. In seven dialogues. Containing an apology for the Christian religion, against those who are called free-thinkers. ...",George Berkeley,98,0,0,2,2,1,3,0,0,1,1,2,2,1,0,0,0,0,0,3,8,0,1,5,0,1,0,0,2,6,2,1,0,4,0,2,0,1,4,5,3,0,0,2,5,6,1,4,0,1,2,0,3,1,2,1,0,4,0,3,1732,2,2,"Dublin : printed for G. Risk, G. Ewing, and W. Smith, Booksellers in Dame-Street, MDCCXXXII. [1732].",Dublin,251,male,1685,1753,TRUE,"is a clear point, that this was not effected by humane Learning , Politics, or Power . It is a clear point, that in the early times of the Church there wvere several men of Knowledge and Integrity, who embraced this Faith not from any, but against all, temporal motives."
0210201000_000002,"A sermon preached in the cathedral church of Salisbury, at the triennial visitation of The Lord Bishop of Sarum, on Thursday, July 23, 1789; and published by his Lordship's command. By George Isaac Huntingford, A. M. Rector of Corsley, Wilts, and Fellow of Winchester College.",George Huntingford,114,2,1,0,0,0,2,0,0,0,0,1,4,0,1,3,1,6,0,0,0,1,17,0,3,3,1,1,1,2,2,0,4,1,0,3,0,2,9,5,2,1,1,4,5,1,2,2,0,3,3,0,9,0,1,1,1,1,0,1,1789,1,1,"London : printed for J. Burdon, Winchester; and sold by Messrs. Robinson and B. Law, London, E. Easton and B. C. Collins, Salisbury, 1789.",London,37,male,1748,1832,FALSE,"by experiment: apply this maxim to Religious Knowledge , and the proof will be, that where Revelation has not been known, the systems of Deilin have been grossly mixed with error: but where Revelation has been publicly taught, the Systems of Deism have been admirably pure. In truth , Revelation"
