PassageID,Title,Author,Total termFreq,termFreq(bacon),termFreq(bake),termFreq(beat),termFreq(beef),termFreq(boil),termFreq(bone),termFreq(bread),termFreq(brown),termFreq(butter),termFreq(clean),termFreq(close),termFreq(cold),termFreq(cover),termFreq(cream),termFreq(cut),termFreq(dish),termFreq(egg),termFreq(fat),termFreq(fine),termFreq(flour),termFreq(fry),termFreq(gravi),termFreq(half),termFreq(herb),termFreq(hot),termFreq(hour),termFreq(lai),termFreq(larg),termFreq(lemon),termFreq(littl),termFreq(mace),termFreq(meat),termFreq(mix),termFreq(nutmeg),termFreq(onion),termFreq(pan),termFreq(pepper),termFreq(pickl),termFreq(piec),termFreq(pint),termFreq(pot),termFreq(pound),termFreq(quarter),termFreq(roll),termFreq(round),termFreq(salt),termFreq(sauc),termFreq(season),termFreq(serv),termFreq(slice),termFreq(small),termFreq(spoon),termFreq(sugar),termFreq(sweet),termFreq(togeth),termFreq(veal),termFreq(water),termFreq(white),termFreq(wine),termFreq(yolk),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0264201200_000051,"The london art of cookery, and housekeeper's complete assistant. On a new plan. Made plain and easy to the understanding of every housekeeper, cook, and servant in the kingdom. Containing, Proper Directions for the Choice of all Kinds of Provisions. Roasting and Boiling all Sorts of Butchers Meat, Poultry, Game, and Fish. Sauces for every Occasion. Soups, Broths, Stews, and Hashes. Made Dishes, Ragoos, and Fricassees. All Sorts of Pies and Puddings. Proper Instructions for dressing Fruits and Vegetables. Pickling, Potting, and Preserving. The Preparation of Hams, Tongues, and Bacon. The whole Art of Confectionary. The Preparation of Sugars. Tarts, Puffs, and Pasties. Cakes, Custards, Jams, and Jellies. Drying, Candying, and Preserving Fruits, &c. Made Wines, Cordial Waters, and Malt Liquors. To which is added, an appendix, Containing Considerations on Culinary Poisons; Directions for making Broths, &c. for the Sick; a List of Things in Season in the different Months of the Year; Marketing Tables, &c. &c. Embellished with a Head of the Author, and a Bill of Fare for every Month in the Year, elegantly engraved on Thirteen Copper-Plates. By John Farley, Principal Cook at the London Tavern.","Farley, John",180,3,2,1,5,8,3,3,3,10,2,2,2,6,1,3,2,1,4,1,2,0,7,5,4,2,4,12,4,1,6,2,2,1,2,2,3,2,0,5,3,1,3,3,2,2,4,2,3,2,5,1,3,2,1,2,4,3,3,2,1,1787,1,1,"London : printed for J. Scatcherd and J. Whitaker, No 12, B. Law, No 13, Ave-Maria-Lane; and G. and T. Wilkie, St. Paul's Church-Yard, [1787].",London,492,unknown,,,FALSE,"with a veal caul, or buttered paper. Roast it, balte it with butter , and dill it up. Take tome good gravy , a little meited butter , the juice of an orange or lemon , and some grated nutmeg . Give it a boil , and pour it into"
0849700100_000034,"The experienced English housekeeper, for the use and ease of ladies, housekeepers, cooks, &c. ... The ninth edition. ... By Elizabeth Raffald.",Elizabeth Raffald,204,4,2,2,7,5,2,1,7,4,2,2,1,2,0,7,5,3,7,2,6,1,9,12,0,4,5,7,1,10,6,2,1,0,2,2,3,3,6,2,5,2,0,1,4,4,2,1,1,5,4,2,6,0,1,0,3,4,1,8,3,1784,1,1,"London : printed for R. Baldwin, 1784.",London,411,female,1733,1781,FALSE,"out, if you want to eat it hot , skim the fat off the gravy , and add half an ounce of morels, a spoonful of pickled mufli rooms, thicken it with flour and butter , dish up your beef and pour on your gravy ; lay round it forcemeat"
0580100500_000034,"The lady's, housewife's, and cookmaid's assistant: or, the art of cookery explained and adapted to the meanest capacity. Containing, I. How to roast and boil to perfection every thing necessary to be sent up to table. II. Of made-dishes. III. To make a number of pretty little dishes for a supper or side-dish, and little corner-dishes for a great table. IV. To dress fish. V. Of soups and broths. VI. Of puddings. Vii. Of pies. Viii. Of hogs puddings, sausages, &c. IX. To pot and make hams, &c. X. Of pickling. XI. Of making cakes, &c. XII. Of cheese cakes, creams, jellies, whip-syllabubs, &c. XIII. Of made-wines, brewing, French bread, mussins, &c. XIV. Jarring cherries, preserves. XV. To dress turtle, and make mock turtle. The whole designed to fit out an Entertainment In an Elegant Manner, and at a Small Expence. By E. Taylor.","Taylor, E.",211,1,0,1,1,5,4,3,2,4,0,4,1,5,3,13,5,2,8,4,4,5,6,3,2,0,2,4,1,5,11,2,3,2,5,3,12,5,3,7,5,1,2,2,7,0,6,8,3,0,2,8,1,0,2,1,2,3,1,5,1,1769,1,1,"Berwick upon Tweed : printed by H. Taylor, for R. Taylor, bookseller, MDCCLXIX. [1769].",Berwick-upon-Tweed,299,unknown,,,FALSE,"it over the tongue in the dish . Garnish with horse radish and barberries. To fricasee S O L ES white . SKI N, gut, and wash them well, cut off the heads, dry them, cut off the sins, take the fish from the bones as whole as possible; cut"
0094700400_000038,"Domestic economy; or, a complete system of English housekeeping: containing the most approved receipts, confirmed by Observation and Practice, in every reputable English book of cookery now extant; besides a great Variety of others which have never before been offered to the Public. Also a valuable Collection, translated from the Productions of Cooks of Eminence who have published in France, with their respective Names to each Receipt; which, together with the Original Articles, form the most complete System of Housekeeping ever yet exhibited, under the following Heads, viz. Roasting, Boiling, Made-Dishes, Frying, Broiling, Potting, Fricasses, Ragouts, Soups, Sauces, Gravies, Hashes, Stews, Puddings, Custards, Cakes, Tarts, Pies, Pasties, Cheesecakes, Jellies, Pickling, Preserving, and Confectionary. To which is prefixed, in order to render it as complete and perfect as possible, An Elegant Collection of Light Dishes for Supper, Adapted for Every Month in the Year. Also the complete brewer; Containing Familiar Instructions for brewing all Sorts of Beer and Ale; including the proper Management of the Vault or Cellar. Likewise the family physician; being a collection of the most valuable and approved prescriptions by Mead, Sydenham, Tissot, Fothergill, Elliot, Buchan, and Others. By Maximilian Hazlemore.",,197,3,2,3,4,10,3,1,1,6,3,1,0,1,2,5,6,6,3,2,2,0,8,11,3,0,3,9,4,5,7,2,8,4,3,1,6,5,3,2,4,1,3,0,3,1,6,1,1,1,2,5,2,0,3,2,1,2,3,3,5,1794,1,1,"London : printed for J. Creswick, and Co, 1794.",London,423,unknown,,,FALSE,"mace , a bundle of sweet herbs , an anchovy, two spoonfuls of walnut and muihroom catchup, the same quantity of lemon pickle , a little salt and pepper ; lay a coarse paste over it to keep in the steam, and put it for two hours and an half"
0492800300_000026,"The family magazine: in two parts. Part I. Containing useful directions in all the branches of house-keeping and cookery. Particularly Shewing How to Buy-in the Best of all Sorts of Provisions; As Poultry-Ware, Butchers-Meat, Fish, Fruit, &c. With several Hundred Receipts in Cookery, Pastry, Pickling, Confectionary, Distilling, Brewing, Cosmeticks, &c. Together with the Art of Making English Wines, &c. Part II. Containing, a compendious body of physick; explaining the virtues and properties of all sorts of meats, drinks, Herbs, Plants, Roots, Seeds, &c. used either as Food or Physick. And succinctly Treating of All the Diseases and Accidents incident to Men, Women and Children: With Practical Rules and Directions for the Preserving and Restoring of Health and Prolonging of Life. As also how to make All Kinds of Balsams, Salves, Ointments, Elixirs, Cordials, Diet-Drinks, Syrups, Electuaries, Powders, &c. In a Method intirely New and Intelligible; in which every Disease is rationally and practically considered, in its several Stages and Changes; and approved Recipe's inserted under every Distemper, in Alphabetical Order. Being principally the Common-Place Book of a late able Physician, by which he successfully, for many Years, regulated his Practice. To which is Added, An Explanation of such Terms of Art used in the Work, as could not be so easily reduced to the Understanding of common Readers. The third edition, revised, corrected, and greatly inlarged. To which is prefixed, a brief account of the great efficacy of tar-water in most Distempers; Directions for Making it, &c.",,202,6,5,3,2,7,4,2,4,11,2,3,1,8,3,4,1,4,1,1,0,3,5,2,4,1,1,5,2,7,1,3,6,5,4,9,7,4,0,2,1,7,5,2,4,0,4,2,7,4,2,2,0,0,3,6,1,2,4,1,2,1747,1,1,"London : printed for J. Osborn, at the Golden-Ball in Pater-Noster Row, MDCCXLVII. [1747].",London,472,unknown,,,FALSE,"and sliced lemon . In the same manner you may garnish most made difles. A Pompeton of Pigeons. you must butter your pan , slice some streaky bacon , and put next the pan , in order; then cover all the inside of your pan with forced meat . Take"
0549000100_000076,"The new art of cookery, according to the present practice; being a complete guide to all housekeepers, on a plan entirely new; consisting of thirty-eight chapters. ... By Richard Briggs, many years cook at the Globe Tavern Fleet-Street, the White Hart Tavern, Holborn, an now at the Temple Coffee-House, London.","Briggs, Richard",214,7,1,1,1,4,2,2,4,6,1,2,0,6,2,14,4,4,3,12,5,1,8,7,5,4,2,5,1,6,7,2,7,4,2,1,4,5,0,3,6,0,6,0,2,5,4,2,2,0,2,3,2,1,3,0,14,0,2,2,3,1792,1,1,"Philadelphia : Printed for W. Spotswood, R. Campbell, and B. Johnson, M,DCC,XCII. [1792].",Philadelphia,578,unknown,,,FALSE,"flour them; put half a pound of butter into a stew pan , and fry them of a fine brown all round ; pour out the butter , and put in a pint of gravy , half a pint of red wine , four Ihallots chopped fine , half a"
0378000800_000020,"The compleat family companion: or, the whole art of cookery made plain and easy; ... By a gentlewomen, ...",Gentlewoman,200,10,2,3,1,5,0,2,4,9,1,1,1,1,1,8,4,7,0,0,3,8,4,3,5,1,1,3,1,5,9,3,4,2,4,1,5,4,0,2,3,1,4,5,1,1,4,5,4,3,5,5,0,3,6,6,9,0,2,2,3,1753,1,1,"London : printed for the author, 1753.",London,128,female,,,FALSE,"Broth, with two Blades of Mace , some Salt , and Nutmeg ; stove it an Hour , and take it off; put in the Yolks of six Eggs , and a Pound of Butter , then put your. Lamb in Joints in the Dish , and the Rice over"
1284300500_000007,"English housewifery, exemplified in above four hundred and fifty receipts, giving directions in most parts of cookery; And how to prepare various Sorts of Soups, Made-Dishes, Pastes, Pickles, Cakes, Creams, Jellies, Made Wines, &c. With cuts, for the orderly placing the dishes and courses; also Bills of Fare for every Month in the Year; and an alphabetical Index to the Whole. A Book necessary for Mistresses of Families, higher and lower Women Servants, and confined to Things Useful, Substantial, and Splendid, and calculated for the Preservation of Health, and upon the Measures of Frugality, being the Result of Thirty Years Practice and Experience. By Elizabeth Moxon. With an appendix, Containing upwards of Seventy Receipts, of the most valuable Kind, (many never before printed) communicated to the Publisher by several Gentlewomen in the Neighbourhood, distinguished by their extraordinary Skill in Housewifery. To this Edition is now added, an Introduction, giving an Account of the Times when River Fish are in Season; and a Table, shewing at one View the proper Seasons for Sea Fish.",Elizabeth Moxon,242,5,2,1,1,7,3,6,6,4,0,2,0,1,2,14,11,4,4,2,4,2,10,2,2,0,3,9,0,12,15,1,7,2,6,0,4,7,5,2,3,0,1,1,3,3,6,4,5,2,7,0,3,0,5,1,22,3,2,2,1,1785,1,1,"Leeds : printed by Thomas Wright, for William Fawdington; and sold by Scatcherd and Whitaker , Ave-Mary Lane ; William Bent, Pater-Noster-Row, London ; and by most Booksellers in Great Britain, 1785.",Leeds,215,female,,,TRUE,"sweet bread cut in pieces , and lay over the veal , or fred oysters; when you fry your 1-9) your oysters you must dip them in egg and flour mixed . Garnish your dish with lemon and pickles .. 28 A Herico of a BR AST 0f VEAL ,"
0541600200_000019,"The compleat housewife: or accomplish'd gentlewoman's companion. Being A Collection of upwards of Six Hundred of the most approved Receipts in Cookery, Pastry, Confectionary, Preserving, Pickles, Cakes, Creams, Jellies, Made Wines, Cordials. With Copper Plates, curiously engraven, for the regular Disposition or Placing of the various Dishes and Courses. And also Bills of Fare for every Month in the Year. To which is added, A Collection of above Three Hundred Family Receipts of Medicines; viz. Drinks, Syrups, Salves, Ointments, and various other Things of sovereign and approved Efficacy in most Distempers, Pains, Aches, Wounds, Sores, &c. particularly Mrs. Stephens's Medicine for the Cure of the Stone and Gravel, and Dr. Mead's famous Receipt for the Cure of a Bite of a mad Dog; with several other excellent Receipts for the same, which have cured when the Persons were disordered, and the salt Water fail'd; never before made publick; fit either for private Families, or such publick-spirited Gentlewomen as would be beneficent to their poor Neighbours. With Directions for Marketing. By E. Smith.",Eliza Smith,179,3,0,1,3,3,3,1,1,10,2,2,2,4,1,7,4,4,2,2,1,3,2,2,5,0,2,3,2,5,5,1,4,2,5,2,9,5,2,6,4,1,1,3,1,2,4,2,1,1,9,1,1,0,2,6,7,3,3,3,3,1753,1,1,"London : Printed for R. Ware, S. Birt, T. Longman, C. Hitch, J. Hodges, J. and J. Rivington, J. Ward, W. Johnston, and M. Cooper, M.DCC.LIII. [1753].",London,430,female,,,FALSE,"it with sliced orange and a little tansy. Made in a dih; cut as you please. Scotch Collops. C U T your collops of a fillet of veal ; cut them thin, hack them and fry them in frefl butter ; rjlcn then take them out and brown your pan"
1378000200_000025,"The art of cookery, made plain and easy; Which far exceeds any thing of the kind yet published. Containing, I. How to roast and boil to perfection every thing necessary to be sent up to table. II. Of made-dishes. III. How expensive a French cook's sauce is. IV. To make a number of pretty little dishes for a supper or side-dish, and little corner-dishes for a great table. V. To dress fish. VI. Of soops and broths. VII. Of puddings. VIII. Of pies. IX. For a lent dinner; a number of good dishes, which you may make use of at any other time. X. Directions to prepare proper food for the sick. XI. For captains of ships; how to make all useful things for a voyage; and setting out a table on board a ship. XII. Of hogs-puddings, sausages, &c. XIII. To pot and make hams, &c. XIV. Of pickling. XV. Of making cakes, &c. XVI. Of cheese-cakes, creams, jellies, whip-syllabubs, &c. XVII. Of made wines, brewing, French bread, muffins, &c. XVIII. Jarring cherries and preserves, &c. XIX. To make anchovies, vermicella, catchup, vinegar, and to keep artichokes, french beans, &c. XX. Of distilling. XXI. How to market; the seasons of the year for butchers meat, poultry, fish, herbs, roots, and fruit. XXII. A certain cure for the bite of a mad dog. By Dr. Mead. XXIII. A receipt to keep clear from buggs. To which are added, by way of appendix, one hundred and fifty new and useful receips, and a copious index. By a lady.",Hannah Glasse,228,1,1,4,6,2,2,1,1,8,0,2,1,4,1,13,4,3,6,4,3,7,7,8,1,1,4,9,3,3,19,1,6,2,5,2,9,8,1,4,7,0,4,3,6,0,5,6,2,1,1,6,2,0,1,7,2,1,0,4,3,1765,1,1,"London : Printed for A. Millar, J. and R. Tonson, W. Strahan, T. Caslon, T. Durham, and W. Nicoll, M.DCC.LXV. [1765].",London,418,female,1708,1770,TRUE,"the fat , firain the sauce they were stewed in, and' pour into the pan : toss it all up together till the sauce is quite hot and thick. If you add a quarter of a pint of oysters, it will make it the better. Lay the steaks into the"
0490400600_000017,"The compleat housewife: or, accomplish'd gentlewoman's companion: being a collection of upwards of six hundred of the most approved receipts in Cookery, Pastry, Confectionary, Preserving, Pickles, Cakes, Creams, Jellies, Made Wines, Cordials. With copper plates curiously engraven for the regular Disposition or Placing the various Dishes and Courses. And Also Bills of Fare for every Month in the Year. To which is added, A Collection of above Three Hundred Family Receipts of Medicines; viz. Drinks, Syrups, Salves, Ointments, and various other Things of sovereign and approved Efficacy in most Distempers, Pains, Aches, Wounds, Sores, &c. never before made publick; fit either for private Families, or such publick-spirited Gentlewomen as would be beneficent to their poor Neighbours. By E. Smith.",Eliza Smith,190,4,0,3,4,6,1,5,5,10,0,1,1,2,1,2,3,6,0,2,2,7,4,5,8,1,2,6,0,6,5,2,13,4,3,2,4,2,2,4,4,1,2,1,4,1,5,5,1,1,3,1,1,0,2,3,4,1,6,3,3,1739,1,1,"London : printed for J. and J. Pemberton, at the Golden Buck, against St. Dunstan's Church in Fleetstreet, [1739].",London,421,female,,,FALSE,"oyflers chopped, two anchovies, an eschalot, a little grated bread , some fweet herbs ; hred all there very well, and mix them, and make it up with yolks of eggs ; so put all there ingredients on the bones again, and draw the skin over again; few up the"
0657300100_000014,"The lady's assistant in the oeconomy of the table: a collection of scarce and valuable receipts, taken from the manuscripts of divers persons of the most refin'd Taste and greatest Judgment in the Arts of Cookery, Preserving, &c. To which is added, the author's own method of pickling, together with Directions for making several Sorts of Wines, Mead, Sherbet, Punch, &c. after the most approved Manner. Also Directions for Marketing, Instructions for Carving, Bills of Fare for every Month in the Year, &c. Concluding with many excellent Prescriptions, of singular Efficacy in most Distempers incident to the Human Body. Originally published, by the late Mrs. Anne Battam. from several Ladies, never before published.","Battam, Anne",212,5,0,8,1,5,0,2,4,9,1,0,0,0,7,4,4,9,2,2,4,8,3,10,2,2,3,3,1,5,10,3,7,2,5,3,7,3,0,3,3,1,6,2,0,0,3,4,1,0,5,3,7,2,3,5,6,1,8,3,2,1759,1,1,"London : printed for R. and J. Dodsley, in Pall-Mall, [1759].",London,312,female,,,FALSE,"upon a ihilling, then cut some fat bacon very thin, and mince it very small , bruise it with a knife among your claret to relish the collops, then put some skirts and other pieces of your leg of veal into a tofiiig pan with some bits of bacon ,"
0657400802_000031,"The ladies' library: or, encyclopedia of female knowledge, in every branch of domestic economy: comprehending, in alphabetical arrangement, distinct treatises on every practical subject, ... In which is included a vast fund of miscellaneous information, ... In two volumes. ...",Richard Steele,203,1,1,3,2,10,3,2,3,5,3,1,0,3,1,13,6,4,1,4,3,5,6,4,2,1,4,9,2,7,13,3,6,6,3,1,0,5,1,1,3,1,3,1,1,7,4,7,2,2,1,2,2,0,1,5,1,3,5,2,2,1790,2,2,"London : printed for J. Ridgway, 1790.",London,519,male,1672,1729,TRUE,"part of the liver; chop and flour them, and toss hem up in a saucepan, with some gravy , ketchup, a little pepper , salt , lemon juice, and a spoonful of cream boil the head very white , lay it in the middle of the difih, the mince meat"
0239700300_000012,"The house-Keeper's pocket-book, and compleat family cook. Containing above three hundred curious and uncommon receipts in Cookery, Pastry, Preserving, Pickling, Candying, Collaring, &c. With Plain and Easy Instructions for preparing and dressing every thing suitable for an Elegant Entertainment, from Two Dishes to Five or Ten, &c. And Directions for placing them in their proper Order. Concluding With many Fxcellent Prescriptions of the most Eminent Physicians, of singular Efficacy in most Distempers incident to the Human Body: And to the whole is prefix'd, Such a copious and useful Bill of Fare of all manner of Provisions in Season for every Month of the Year, that no Person need be at a Loss to provide an agreeable Variety of Dishes. By Mrs. Sarah Harrison of Devonshire.","Harrison, Sarah",214,3,5,2,1,2,1,5,0,13,0,2,0,1,2,8,3,10,4,0,4,3,2,5,2,10,1,7,2,6,9,2,1,5,5,2,3,6,1,5,7,0,2,0,2,0,8,1,2,8,7,5,3,5,3,6,1,4,2,2,3,1733,1,1,"London : printed for T. Worrall, at Judge Coke's Head, over against St. Dunstan's Church, Fleetstreet, [1733].",London,233,female,1733,1777,FALSE,"bake it; serve it hot with Lemon sliced , it is best to put some pulp of Oranges into the Pudding before youw. bake it. Go Bake a Salnon whole. RAW your Salmon at the Gills,, ID Jwaih it and dry it, lard it with a fat Eel, then take"
0094600500_000115,"The lady's complete guide; or cookery in all its branches. Containing The most approved Receipts, confirmed by Observation and Practice, in every reputable English Book of Cookery now extant, besides a great Variety of others which have never before been offered to the Public. Also several translated from the Productions of Cooks of Eminence who have published in France, particularly M. Commo's Histoire de Cuisine, M. Disang's Maitre D'hotel, M. Dupont and M. Valois, M. Troas, and M. Delatour, with their respective Names to each Receipt; which, with the Original Articles, will form the most complete System of Cookery ever yet exhibited, under the following Heads, viz. Roasting, Boiling, Made-Dishes, Frying, Broiling, Potting, Fricassees, Ragouts, Soups, Sauces, Gravies, Hashes, Stews, Puddings, Custards, Cakes, Tarts, Pies, Pasties, Cheesecakes, Jellies, Pickling, Preserving, Confectionary, &c. To which is added, In order to rander it as complete and perfect as possible, the complete brewer; Containing Familiar Instructions for brewing all Sorts of Beer and Ale; including the proper Management of the Vault or Cellar. Also the family physician; Consisting of a considerable Collection of approved Prescriptions by Mead, Sydenham, Tissot, Fothergil, Elliot, Buchan, and others, including a certain Remedy for that formidable Disorder, the Dropsy, recommended by Persons respectable in the highest Degree. By Mrs. Mary Cole, Cook to the Right Hon. the Earl of Drogheda.","Cole, Mary, cook",227,0,0,3,0,6,1,1,4,11,1,2,0,4,5,10,2,6,0,1,6,3,7,8,5,2,5,2,0,6,15,5,3,2,4,7,6,7,2,7,4,1,0,1,2,1,7,2,4,1,4,5,4,0,5,3,2,2,8,6,6,1788,1,1,"London : printed for G. Kearsley, No. 46, Fleet-Street, MDCCLXXXVIII. [1788].",London,595,female,,,FALSE,"it gently over the fire. Be careful it does not scorch, then put in a quartos milk, and half a pint of cream ; slew it gently for an hour , thicken it with a little flour and milk, season it with salt , and a very little chyan pepper"
0491900600_000013,"The modern art of cookery improved: or, elegant, cheap, and easy methods, of preparing most of the dishes now in vogue; In the Composition whereof Both Health and Pleasure have been consulted. By, Mrs. Ann Shackleford, of Winchester. To which is added, an appendix; containing a dissertation on the different kinds of food, their nature, quality, and various uses. By a physician. And a marketing manual, And other useful Particulars. By the editor.","Shackleford, Ann",189,5,2,2,1,4,0,5,1,7,4,4,0,3,1,3,8,4,2,6,4,1,5,2,2,1,3,5,0,5,8,5,1,0,4,3,7,6,0,6,1,0,1,2,3,2,5,5,6,1,4,2,5,1,2,1,7,4,2,2,3,1767,1,1,"Dublin : printed for William Colles, in Dame-Street, [1767?].",Dublin,312,female,,,FALSE,"of the juice of sorrel, a spoonful of white wine , a little nutmeg grated, and ome grated bread ; boil this over a gentle fire, and sweeten it with pounded sugar to your taste; let your goose have a fine froth on it before you take it up; let"
0268800700_000049,"The housekeeper's instructor; or, universal family cook. Being an ample and clear display of the art of cookery In All Its Various Branches. Containing Proper Directions for Dressing all Kinds of Butcher's Meat, Poultry, Game, Fish, &c. Also, The Method of preparing Soups, Hashes, and Made Dishes; With The Whole Art of Confectionary, Pickling, Preserving, &c. Likewise The making and keeping in Persection British Wines; And Proper Rules For Brewing Malt Liquor, As well for Family Consumption as the Regale of private Visitants. To Which IS Added, The Complete Art of Carving, Illustrated With Engravings, Explaining, by proper References, the Manner in which the Young Practitioner may acquit himself at Table with Elegance and Ease. Also, bills of fare for every month in the year; With Copper-Plates, displaying The Best Manner of decorating a Table; Whereby every Person will be enabled to add to the Art of Cookery the proper Disposition of each Article in its respective Season. Together with directions for marketing, and the management of the kitchen and fruit-garden. The Whole formed on so New a Plan, that the Inexperienced will be instructed, and the professed Cook receive that Information which has never been made known by any preceding Publication. By William Augustus Henderson, Who has made the Culinary Art his Study for upwards of Forty Years.","Henderson, William Augustus",190,1,2,2,7,5,1,2,1,4,1,3,4,2,1,12,0,3,5,5,2,2,5,5,2,2,1,2,2,7,9,0,11,3,3,3,4,5,5,5,4,0,5,2,3,2,7,1,1,2,2,1,1,2,1,3,3,3,1,4,3,1790,1,1,"London : printed and sold by W. and J. Stratford, Holborn-Hill, [1790?].",London,491,unknown,,,FALSE,"observe not to touch either ends or fides. Hash the meat in the R 2 following following manner: cut it into pieces about the size of a crown piece , put half a pint of gravy into a flew pan , an onion chopped fine , two spoonsful of catchup,"
0492301500_000035,"The modern cook; and frugal housewife's compleat guide to every branch in displaying her table to the greatest advantage, viz. The Judgment of Meat at Market; With Directions for Roasting. Boiling. Hashing. Stewing, Broiling, Frying, Tricassdying, and Baking; Also for Making Puddings, Custards, Cakes, Cheese Cakes, Pils, Tarts, Ragouts, Soups, Creams, Jellies, Syllabues, Wines, &c. &c. And several select Papers by a Lady of Distinction, lately deceased, of New and in infallible Rules to be observed in Pickling, Preserving, Brewing, &c. By E. Spencer, Late Principal Cook to a Capital Tavern in London.","Spencer, E.",203,1,4,4,1,4,1,4,2,9,0,1,1,2,2,6,6,4,3,4,7,2,7,6,4,3,2,2,2,3,12,5,0,1,4,3,10,7,1,4,2,4,5,2,1,3,8,1,6,4,0,3,4,1,2,4,0,3,3,1,2,1782,1,1,"Newcastle upon Tyne : printed for the author, 1782.",Newcastle upon Tyne,169,unknown,,,FALSE,"as you do for eating, when they are cold cut offall the lantern part from the fleli, in pieces about an inch long, and about the breadth of your finger.; put it into a ftenw. pan with a little white gravy , twenty oysters cut in two or three pieces"
1039400300_000034,"The art of cookery, made Plain and Easy; which far exceeds any thing of the kind ever yet published. Containing, I. Of Roasting, Boiling, &c. II. Of Made-Dishes. III. Read this Chapter, and you will find how Expensive a French Cook's Sauce is. IV. To make a Number of pretty little Dishes fit for a Supper, or Side-Dish, and little Corner-Dishes for a great Table; and the rest you have in the Chapter for Lent. V. To dress Fish. VI. Of Soops and Broths. Vii. Of Puddings. Viii. Of Pies. IX. For a Fast-Dinner, a Number of good Dishes, which you may make use of for a Table at any other Time. X. Directions for the Sick. XI. For Captains of Ships. XII. Of Hog's Puddings, Sausages, &c. XIII. To Pot and Make Hams, &c. XIV. Of Pickling. XV. Of Making Cakes, &c. XVI. Of Cheescakes, Creams, Jellies, Whip Syllabubs, &c. XVII. Of Made Wines, Brewing, French Bread, Muffins, &c. XVIII. Jarring Cherries, and Preserves, &c. XIX. To Make Anchovies, Vermicella, Catchup, Vinegar, and to keep Artichokes, French-Beans, &c. XX. Of Distilling. XXI. How to Market, and the Seasons of the Year for Butcher's Meat, Poultry, Fish, Herbs, Roots, &c. and Fruit. XXII. A certain Cure for the Bite of a Mad Dog. By Dr. Mead. XXIII. A Receipt to keep clear from Buggs. By H. Glasse.",Hannah Glasse,217,4,4,4,1,3,1,3,3,9,0,0,0,2,2,9,6,6,1,4,6,2,8,7,8,1,3,6,1,8,11,5,7,1,4,3,2,5,1,7,5,0,5,3,2,0,4,1,5,0,2,0,1,0,6,6,9,0,3,2,5,1748,1,1,"London : printed for the author, and sold at Mrs. Wharton's Toy-Shop, the Bluecoat-Boy, near the Royal-Exchange; at Mrs. Ashburn's China-Shop, the Corner of Fleet-Ditch; at Mrs. Condall's Toy-Shop, near Gray's-Inn-Gate, Holborn; at the author's, at the Prince of Wales's Arms, in Tavistock-Street, Covent-Garden; and at all the great towns in England, [1748].",London,369,female,1708,1770,TRUE,"in Flour , pour the Sauce into the Difi, lay the Meat in, and garnifli with Lemon . Scotch 3 Scotch Collops Larded. pr EPAR E a Fillet of Veal , cut it into thin Slices , cut offthe Skin and Sit, lard them with Bacon , fry them Brown"
0491900600_000022,"The modern art of cookery improved: or, elegant, cheap, and easy methods, of preparing most of the dishes now in vogue; In the Composition whereof Both Health and Pleasure have been consulted. By, Mrs. Ann Shackleford, of Winchester. To which is added, an appendix; containing a dissertation on the different kinds of food, their nature, quality, and various uses. By a physician. And a marketing manual, And other useful Particulars. By the editor.","Shackleford, Ann",186,0,2,4,2,5,1,4,5,5,8,2,1,2,1,6,7,5,2,8,7,8,3,6,2,1,2,3,2,4,7,4,4,3,3,1,3,4,0,5,2,0,1,2,3,0,3,3,2,1,3,2,1,1,2,4,5,4,2,0,3,1767,1,1,"Dublin : printed for William Colles, in Dame-Street, [1767?].",Dublin,312,female,,,FALSE,"enough when it boils , hake in a little more flour . When you find it thick en, pour it into the jug to your hare, hake it about, en turn your hare and gravy into a warm dish , - and'fehd it to table garnished with sliced lemon ."
0094600100_000097,"The English art of cookery, according to the present practice; being a complete guide to all housekeepers, ... With bills of fare for every month in the year. Neatly and correctly engraved on twelve copper-plates. The third edition. By Richard Briggs, ...","Briggs, Richard",197,5,1,1,1,9,4,2,3,5,1,2,0,2,0,6,7,6,5,8,4,1,9,10,5,4,4,3,1,7,3,2,4,4,3,1,4,5,4,5,4,0,4,2,1,1,4,3,3,0,2,0,1,0,5,2,4,1,1,4,4,1794,1,1,"London : printed for G.G. and J. Robinson, 1794.",London,605,unknown,,,FALSE,"fat , put it to a pint of good brown cullis, with a sweetbread cut in pieces , some truffles and morels, cocks combs, two or three fowls livers if you can get them, tw6 artichoke bottoms cut in pieces , asparagus tops boiled , and mushrooms, fresh or pickled"
