PassageID,Title,Author,Total termFreq,termFreq(ag),termFreq(appear),termFreq(art),termFreq(band),termFreq(beauti),termFreq(bosom),termFreq(bright),termFreq(brocad),termFreq(buckl),termFreq(charm),termFreq(coat),termFreq(corset),termFreq(curl),termFreq(dress),termFreq(embroid),termFreq(face),termFreq(fashion),termFreq(femal),termFreq(fine),termFreq(flow),termFreq(form),termFreq(gentlemen),termFreq(glass),termFreq(glitter),termFreq(gold),termFreq(hair),termFreq(handsom),termFreq(hat),termFreq(head),termFreq(hoop),termFreq(human),termFreq(lace),termFreq(ladi),termFreq(linen),termFreq(lip),termFreq(long),termFreq(loos),termFreq(manner),termFreq(paint),termFreq(powder),termFreq(preciou),termFreq(ribbon),termFreq(ruffl),termFreq(show),termFreq(silk),termFreq(silver),termFreq(size),termFreq(sleev),termFreq(ti),termFreq(vain),termFreq(velvet),termFreq(waist),termFreq(wig),termFreq(wore),termFreq(wrought),termFreq(young),termFreq(youth),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0922300600_000094,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A Description of the Figure and Motion of the Earth. II. Geographical Definitions and Problems, being a necessary Introduction to this Study. III. A general Division of the Globe into Land and Water. IV. The Situation and Extent of the several Countries contained in each Quarter of the World; their Cities, Chief Towns, History, Present State, respective Forms of Government, Forces, Revenues, Taxes, Revolutions, and memorable Events. Together With An Account of the Air, Soil, Produce, Traffic, Curiosities, Arms, Religion, Language, Universities, Bishoprics, Manners, Customs, Habits, and Coins, in Use in the several Kingdoms and States described. By Mr. Salmon. Illustrated with a set of twenty-two new maps of the Several Countries drawn by the Direction of Mr. Salmon, and ingraved from the Copies of Mr. Jefferys, Geographer to his Royal Highness the Prince of Wales.",Thomas Salmon,97,3,3,0,0,0,0,0,0,0,0,6,0,0,6,0,1,2,0,1,0,4,6,0,0,2,6,0,1,5,9,0,3,12,0,0,6,0,0,0,0,0,3,1,0,2,0,0,0,4,0,0,1,7,1,0,2,0,1752,1,1,"Dublin : printed for P. Wilson, J. Exshaw, J. Esdall, R. James, S. Price and M. Williamson, MDCCLII. [1752].",Dublin,596,male,1679,1767,FALSE,"to hiand perpendicularly above their [oreheads, dropped down and were plantcd horizolsally, in which *l'apt)( they seemed more lil: cly to do Execution, as every Face was re ducrdl to its natural round or oval Form . Anmollg the young ladies , long and (ilort rulnlel imohs were much a""fflcd,"
0138200200_000087,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A description of the figure and motion of the earth. II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respective forms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopries, manners, customs, habits, and coins, in use in the several kingdoms and states described. By Mr. Salmon. Illustrated with a set of twenty-two new maps of the several countries; drawn, by the direction of Mr. Salmon, and ingraved by Mr. Jefferys, geographer to his royal highness the Prince of Wales.",Thomas Salmon,94,3,4,0,0,0,0,0,0,0,0,4,0,1,4,0,0,1,0,1,0,4,8,0,0,3,6,0,1,4,5,0,5,9,2,0,5,0,0,0,1,0,4,0,0,1,1,0,0,4,0,1,0,10,1,0,1,0,1749,1,1,"London : printed for William Johnston, at the Golden-Ball in St. Paul's-Church-Yard, MDCCXLIX. [1749].",London,647,male,1679,1767,FALSE,"hen they appeared like a Fan reversed. At present they wear Hoops of fifteen or sixteen Feet Circumference at Bottom,. and a! most as much on the Top, and Hoops seem to be approaching to a round Form again O: er the Hoop they have a Fly coat (quilted Coats"
1585200152_000383,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,95,0,2,0,0,1,7,0,0,0,0,0,0,1,24,4,1,3,0,1,1,2,0,0,0,2,1,0,2,0,0,0,12,2,0,0,5,2,2,0,0,0,3,0,0,6,1,0,5,0,0,0,5,0,0,0,0,0,1783,52,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,1047,unknown,,,FALSE,"bosomi is onametteai in the Ksame manner ; a belt of embroidered ribbon round the waist , and a gold clasp in front. "" a'?binnei of the same materials as the pelisse, crown a helmet shape, front .very small al and~wreath of laurel round it; three .white feaibers are placed"
1269500102_000003,Selections from the most celebrated foreign literary journals and other periodical publications. ...,William Tooke,73,0,2,0,0,3,0,0,0,3,0,0,0,0,2,1,1,1,0,5,0,5,0,0,0,3,3,0,0,3,0,0,9,5,3,0,1,0,1,0,0,0,4,0,1,1,3,1,7,1,0,3,1,0,0,0,0,0,1798,2,2,"London : printed for J. Debrett, opposite Burlington House, Piccadilly, 1798.",London,534,male,1744,1820,FALSE,"to the ankle hangs a fine lace set round the fuftan. Through this lace one sees the ends of the garters hanging, which /hine with gold and silver , and are Sometimes set with pearls. The winter garment is of velvet or rich fluff, covered no less with ornaments, and"
1585100150_000128,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,69,0,1,0,4,0,2,0,0,0,0,0,0,1,7,2,0,3,0,0,0,2,0,0,0,6,1,0,2,4,0,0,8,1,0,0,1,0,1,0,0,1,3,0,0,2,5,0,2,1,0,6,1,0,1,1,0,0,1783,50,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,1067,unknown,,,FALSE,"open, tied with ribbon ; the cloak was lined with pink Persian, and ornamented at the cdges with a satin vandyke ribbon . The bonnet to correspond. On another, a mantle of drab coloured velvet , lined with pink, and a plain satin ribbon round the edge. And on a"
1124400102_000517,"A new and complete system of geography. Containing a full, accurate, authentic and interesting account and description of Europe, Asia, Africa, and America; ... The whole embellished ... with copper plates. By Charles Theodore Middleton, Esq. assisted by several gentleme ...","Middleton, Charles Theodore",54,1,1,0,0,0,0,0,1,1,0,0,0,0,8,1,2,4,1,0,0,1,0,0,1,2,4,0,4,1,0,1,4,4,0,0,2,1,1,0,1,0,0,1,0,3,1,0,0,0,0,1,0,1,0,0,0,0,1778,2,2,"London : printed for J. Cooke, 1778-1779.",London,604,unknown,,,FALSE,"produces his comb, his fcitfars, and pomatum, and sets it to rights, with the dexterity of a professed frizeur. He Iquires her to every place the visits, either on business orpleafure, and by dedicating his whole time to her renders himself necessary to her occasions. In short, of all the"
0091701302_000020,"A voyage to South America. Describing at large, the Spanish cities, towns, provinces, &c. on that extensive Continent. Interspersed throughout with reflexions on whatever is peculiar in the religion and civil policy; in the Genius, Customs, Manners, Dress, &c. &c. of the several Inhabitants; whether Natives, Spaniards, Creoles, Indians, Mulattoes, or Negroes. Together with the natural as well as commercial history of the country. And an account of their Gold and Silver Mines. Undertaken by Command of the King of Spain, By Don George Juan, and Don Antonio de Ulloa, oth Captains of the Spanish Navy; and Members of the Royal Societies of London and Berlin; and of the Royal Academy at Paris. Translated from the original Spanish. Illustrated with copper plates. In two volumes.",Antonio de Ulloa,69,0,4,0,0,0,0,0,0,4,0,0,0,1,8,2,0,1,0,3,0,4,0,0,0,2,2,0,0,1,0,0,7,2,0,0,1,1,5,0,0,0,2,0,0,2,2,2,6,2,0,3,2,0,0,0,0,0,1760,2,2,"London : printed for L. Davis and C. Reymers, against Gray's-Inn-Gate, Holbourn; Printers to the Royal Society, MDCCLX. [1760].",London,441,male,1716,1795,FALSE,"this dress and that worn at Quito, though consisting of the same pieces is, that at i.i ma it is much florter, the petticoat which is usually tied below the waist , not reaching lower than the calf of the leg, from whence, nearly to the ankle, hangs a border"
0632800300_000010,"The new Bath guide: or, memoirs of the Brd family. In a series of poetical epistles.",Christopher Anstey,53,0,2,0,0,4,1,2,0,1,4,2,0,2,1,1,1,2,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,5,0,1,1,0,2,0,0,0,1,1,4,2,0,0,0,2,0,0,1,2,0,0,2,0,1771,1,1,"Dublin : printed by James Potts, at Swift's-Head, in Dame-Street, MDCCLXXI. [1771].",Dublin,95,male,1724,1805,FALSE,"Show they have much better sense Than their fathers who raised it by Ihillings and pence. What sends Peter Tewk bury every night To the play with such. infinite joy and delight? Why, Peter's a critic, with TRUE Attic salt, Can damn the performers, can hiss, and find fault And"
0559200900_000010,"The new Bath guide: or, memoirs of the B-n-r-d family. In a series of poetical epistles.",Christopher Anstey,53,0,2,0,0,6,1,3,0,1,4,2,0,2,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,4,0,1,1,0,2,0,0,0,1,1,3,2,0,0,0,2,0,0,1,2,0,0,2,0,1797,1,1,"London : printed for the Associated Booksellers, Vernor and Hood, J. Cuthell, Oglivy and Son, J. Walker, Lackington, Allen, and Co. and J. Nunn, 1797.",London,182,male,1724,1805,FALSE,"every night To the play with such infinite joy and delight? Why, Peter's a critic, with TRUE Attic salt, Can damn the performers, can hiss, and find fault, And tell when we ought to express approbation, By thumping, and clapping, and vociferation; So he gains our attention, and all must"
1585200152_000199,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,72,0,4,2,1,4,2,1,0,0,0,0,0,0,14,1,0,3,2,3,0,5,0,0,0,2,3,0,2,3,0,0,6,0,0,0,4,0,0,0,1,0,1,1,0,1,0,0,4,0,0,1,1,0,0,0,0,0,1783,52,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,1047,unknown,,,FALSE,"Testament of Cardinal Aberoni : "" being in want of money he sold the copy to Maubert, ex capuchin. He wrote also other works, which were secretly printed. FASHIONS FOR JUNE. [From La Belle Assemblee.] MORNING DISHABILLE. A N high dress of fine French cambric or plain India mu lin,"
1584800145_000085,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,83,0,2,0,2,2,2,0,0,0,0,0,0,0,13,4,0,2,1,2,0,3,2,0,0,7,3,0,5,2,0,0,1,3,0,0,3,0,0,0,0,0,1,0,0,0,4,1,1,1,0,11,0,0,4,0,1,0,1783,45,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,1048,unknown,,,FALSE,"addition to the illumination of the lullres, by hundreds of silver double~branched can diefficks, and the floors were all covered, with fine matting. The whole of the tables were capable of accommodating about four hundred guests;; the general efferl of them, when lighted up, and filled with the iplendid assemblage"
0919100200_000010,"The new Bath guide: or, memoirs of the B-n-r-d family. In a series of poetical epistles.",Christopher Anstey,49,0,2,0,0,4,1,1,0,1,4,2,0,2,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,3,0,1,1,0,1,0,0,0,1,1,5,2,0,0,0,2,0,0,1,2,0,0,2,0,1797,1,1,"London : printed for the Associated Booksellers, Vernor and Hood, J. Cuthell, J. Walker, Lackington, Allen and Co. and J. Nunn, 1797.",London,182,male,1724,1805,FALSE,"in taste the Ap lecks can excel The Duchess of Truffles, and Lady Morell; Had never been adored by Sir Pie Macaroni, And Count Vermicelli, his intimate crony; Both men of such taflc, their opinions are taken From an ortolan down to a rather of bacon. What makes Kitty Spicer,"
0262900902_000100,The guardian. ...,,55,1,2,0,0,1,1,0,1,0,0,1,0,1,12,1,4,2,0,1,1,1,0,0,1,1,1,0,0,2,0,0,3,5,0,0,1,0,1,0,0,0,3,0,3,0,1,0,1,0,0,0,1,1,0,0,0,0,1789,2,2,"London : printed by J. Nichols; for Messrs. Rivington, Longman, White, Law, Johnson, Nichols, Dilly, Robinson, Cadell, R. Baldwin, Goldsmith, Otridge, Bew, Hayes, Wilkie, and Lowndes, 1789.",London,600,unknown,,,FALSE,"a pinch of fnuffju dicioufly taken will display the glittering ornament of her little finger; by the new modelling her Tucker, at one view present you with a fine turned hand, and a rising bosom . In order to be a proficient in Ation, I cannot sufficiently recommend the science"
0394600103_000030,A collection of poems in six volumes. By several hands. With notes.,Robert Dodsley,61,0,0,6,1,6,1,4,0,1,5,0,0,1,5,0,0,0,0,2,1,3,0,0,2,1,0,0,0,0,1,0,2,0,0,1,1,0,0,2,1,0,0,1,2,1,0,1,0,1,1,1,1,1,0,1,0,3,1782,3,6,"London : printed for J. Dodsley, in Pall-Mall, MDCCLXXXII. [1782].",London,368,male,1703,1764,TRUE,"difplay'd, Then every heart adores the lovely maid: This sets her beauty in the fairest light, And shows each grace in full perfecion bright ; Then, as Ihe turns around, from every part, Like porcupines she sends a piercing dart; In vain , alas! the fond spectator tries To shun"
1585100150_000090,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,64,0,2,0,4,1,3,0,0,0,1,0,0,1,9,2,2,3,2,4,0,3,0,0,0,3,2,0,0,3,0,0,4,1,0,0,1,0,0,0,0,0,1,0,2,2,1,0,2,1,0,4,0,0,0,0,0,0,1783,50,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,1067,unknown,,,FALSE,"was. preferred by Mr. Guy, master. of the Horse and Groom Inn, leath.er hue, and Guy's Tavern, lwolborn,, against thl de.f<n dan.ts, Mr. thomas Fagg, an.emjneni and opulent coach. masier, uat the. Bell and Cr; oy.n Holborp,; one Simmons, a pan; broker,, the corner of leather lane, Holborn; and. others,"
1372700101_000426,"A new system of geography: or, A general description of the world. Containing a particular and circumstantial account of all the countries, kingdoms, and states of Europe, Asia, Africa, and America. Their situation, climate, mountains, seas, rivers, lakes, &c. The religion, manners, customs, manufactures, trade, and buildings of the inhabitants. With the birds, beasts, reptiles, insects, the various vegetables, and minerals, found in different regions. Embellished with a new and accurate set of maps, by the best geographers; and great variety of copper-plates, containing perspective views of the principal cities, structures, ruins, &c. By D. Fenning, (Author of the Royal English dictionary, the use of the globes, the young algebraist's companion, &c.) J. Collier, (Author of the Letters from Pelicia to Charlotte; and translator of the Messiah, from the German of Mr. Klopstock.) and others.",Joseph Collyer,59,0,1,0,0,1,1,0,1,0,0,1,0,0,1,3,0,1,0,2,0,0,0,0,0,7,3,0,0,3,0,0,0,6,1,1,5,1,2,0,1,1,1,0,0,3,4,0,4,1,0,2,1,0,0,0,0,0,1764,1,2,"London : Printed for S. Crowder, at the Looking-Glass, in Pater-noster-Row; and sold by Mr. Jackson, at Oxford; Mr. Merril, at Cambridge; Mess. Smith, in Dublin; and all other booksellers in Great Britain and Ireland, MDCCLXIV. [1764].",London,584,male,1748,1827,FALSE,"gold or silver ring through the external cartilage of their right noltril; and some of there rings are at leans an inch and a half in diameter. It is likewise usual for these people to mark their under lip , and sometimes their breasts and arms, with a blue colour,"
1384200100_001213,"By the King's royal license and authority. A new royal authentic and complete system of universal geography antient and modern: Including all the late important discoveries made by the English, and other celebrated navigators of various nations, in the different hemispheres, and containing a complete genuine history and description of the whole world, as consisting of empires, kingdoms, states, republics, provinces, continents, islands, oceans, &c. With the various countries, cities, towns, promontories, capes, bays, peninsulas, isthmusses, gulphs, rivers, harbours, lakes, aqueducts, mountains, volcanos, caverns, deserts, &c.&c. throughout Europe, Asia, Africa and America: together with their respective situatuions, extent, latitude, longitude, boundaries, climates, soil, natural and artificial curiosities, mines, metals, minerals, trees, shrubs, the various kinds of fruits, flowers, herbs and vegetable productions. With an account of the religion, laws, customs, manners, genius, tempers, habits, amusements, and singular ceremonies of the respective inhabitants: their arts, sciences, manufactures, learning, trade, commerce, govermnents, &c. Also exact descriptions of the various kinds of beasts, birds, fishes, amphibious creatures, reptiles, insects, &c. peculiar to each country; including every thing curious, as related by the most eminent travellers and navigators, from the earliest accounts to the present time. Likewise the essence of the voyages-of the most enterprising navigators of different nations and countries, from the celebrated Columbus, the first discoverer of America, to the death of our no less celebrated countryman Captain Cook, &c. &c. Together with a concise history of every empire, kingdom and state. Including an account of the most remarkable discoveries, settlements, battles, sieges, sea-fights, and various revolutions that have taken place in different parts of the world. The whole forming an authentic and entertaining account of every thing worthy of notice throughout the whole face of nature, both by land and water. With a great variety of curious articles, communicated by gentlemen who have travalled in various parts, and by captains of ships, &c. none of which ever appeared in print before. To which is added, A complete guide to geography, astronomy, the use of the globes, maps, &c. With an account of the rise, progress, and present state of navigation throughout the known world. Published by the royal licence and authority of His Britannic Majesty King George III. And containing every important, interesting, valuable and entertaining discovery throughout the whole of Captain Cook's voyages round the world. Together with those of all other modern at well as antient circumnavigators round the globe, particularly those of Byron, Mulgrave, King, Clerke, Gore, Carteret, Wallis, Bougainville, &c. (Performed by order of his Britannic Majesty) as well as all other modern navigations and travellers who have published their discoveries in the various language throughout the world. By the Reverend Thomas Bankes, Vicar of Dixton in Monmouthshire, and author of the Christian family Bible. Edward Warren Blake, Esq. and [blank] Alexander Cook, A.M. Teacher of Geography, Astronomy, and Navigation. Enriched with upwards of one hundred and fifty beautiful engravings, consisting of views, whole-sheet maps, plans, charts, antiquities, quadrupeds, birds, fishes, reptiles, vegetables, men, manners, customs, ceremonies, &c. The whole executed in a superior stile, by the first artists in the kingdom.","Bankes, Thomas",48,1,0,0,0,0,0,0,1,1,1,0,0,0,7,1,1,6,0,0,0,1,0,0,0,2,2,0,3,1,0,1,3,4,0,0,0,1,2,0,1,0,0,1,1,3,1,0,0,0,0,1,0,1,0,0,0,0,1790,1,1,"London : printed for C. Cooke, No. 17, Pater-Noster-Row, [1790?].",London,1069,unknown,,,FALSE,"corner of a street, has a tail of this kind hanging down to his rump; and the beggar, who drives an als through the fireets of Paris, to pick up a miserable livelihood, wears his hair en queue, though, perhaps, he has no shirt."" Though the French change many of"
