PassageID,Title,Author,Total termFreq,termFreq(answer),termFreq(believ),termFreq(better),termFreq(brother),termFreq(captain),termFreq(colonel),termFreq(cry),termFreq(daughter),termFreq(differ),termFreq(end),termFreq(famili),termFreq(father),termFreq(form),termFreq(friend),termFreq(girl),termFreq(god),termFreq(govern),termFreq(hand),termFreq(happi),termFreq(heart),termFreq(herself),termFreq(honour),termFreq(hope),termFreq(hous),termFreq(kind),termFreq(know),termFreq(ladi),termFreq(letter),termFreq(life),termFreq(light),termFreq(littl),termFreq(love),termFreq(madam),termFreq(marri),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(miss),termFreq(morn),termFreq(mother),termFreq(near),termFreq(oblig),termFreq(old),termFreq(opinion),termFreq(person),termFreq(poor),termFreq(prai),termFreq(receiv),termFreq(return),termFreq(set),termFreq(suppos),termFreq(sure),termFreq(taken),termFreq(think),termFreq(thought),termFreq(turn),termFreq(woman),termFreq(word),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0127702900_000159,"The life of Pamela. Being a full and particular relation of the birth and advancement of that fortunate and beautiful young damsel, who, from the lowest Degree of Rural Life, came to be the Mistress of a most splendid House and Fortune, by her steady Adherence to the Principles of Virtue and Honour. Shewing The various Arts that were used to seduce and betray her; and in what Manner she triumph'd in her Innocence and Chastity: With what Decency and Propriety she supported the exalted Station to which she was raised; and with what exemplary Piety she finished a Life that was attended with so many hazardous Attacks upon her Constancy and Virtue. Illustrated with a great Number of Copper-Plates describing her in the different Stations of Life.",Samuel Richardson,96,2,0,1,17,0,8,0,5,1,0,0,2,0,0,1,0,0,0,3,2,2,2,1,2,1,2,5,0,0,0,0,4,2,1,0,1,0,5,1,0,0,0,2,4,0,0,3,0,1,2,0,1,0,7,1,0,1,0,0,3,1741,1,1,"London : printed for C. Whitefield, in White Fryers, MDCCXLI. [1741].",London,508,male,1689,1761,TRUE,"his younger Son, and cut off the eldelr with a bare Shilling: Within a Fortnight after this Will was made, which, it is very likely, he would have cancelled, when the Heat of his Resent: : was over, the old Man broke his Neck in a lvo; Chase. o0 :"
0073200103_000007,"The history of Sir Charles Grandison; in a series of letters. By Mr. Samuel Richardson, author of Pamela and Clarissa. In seven volumes. ...",Samuel Richardson,98,0,1,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,1,1,4,2,0,2,1,0,5,4,5,1,0,4,7,2,0,1,0,0,7,2,2,0,1,0,2,2,4,1,1,1,0,0,4,1,7,3,0,2,2,0,6,1781,3,7,"London : printed for W. Strahan, J. Rivington and Sons, T. Caslon, S. Crowder, T. Longman, B. Law, T. Cadell, G. Robinson, T. Lowndes, W. Domville, J. Bew, W. Goldsmith, S. Bladon, T. Evans, W. Fox, J. Johnson, and M. Davenhill, 1781.",London,376,male,1689,1761,TRUE,"But I am of my Aunt Selby's opinion , that their generait gnerorus brother would not have given them thanks for their raillery to the poor frighted Harriet. I am very happy , however, that my behaviour and frankr netss on the occasion are not disapproved at Selby house ,"
1605900901_000022,"Orwell Manor. A novel, by Mary Elizabeth Parker, in three volumes, ...",Mary Elizabeth Parker,78,0,0,1,1,1,3,0,1,0,0,2,1,1,1,3,0,0,2,0,0,3,1,1,1,0,0,16,1,0,0,4,3,0,0,1,1,1,2,2,4,0,1,1,1,2,0,1,1,0,3,0,1,1,1,2,0,1,0,1,3,1795,1,3,"London : printed for the author, at the Minerva Press, Leadenhall-Street, M.DCC.XCV. [1795].",London,280,female,,,FALSE,"far yielded, as to consent to stay two days longer; but she declared ihe would not go to the rooms. "" Will you allow your daughters to go,"" said his Lordflip, "" with my mother ? If you will, my sister shall wait upon them tomorrow, -- and I will"
0352200700_000021,"Orwell Manor. A novel, by Mary Elizabeth Parker.",Mary Elizabeth Parker,79,0,0,1,1,2,3,0,1,0,0,2,1,1,1,2,0,0,3,0,0,2,1,1,1,0,0,18,1,0,0,3,3,0,0,1,1,1,2,2,4,0,1,1,1,2,0,1,1,0,3,0,1,1,1,2,0,1,0,1,3,1795,1,1,"Dublin : printed for P. Wogan, P. Byrne, W. Jones, and J. Rice, 1795.",Dublin,349,female,,,FALSE,"tell the goddess of her attributes, and dreaded the lightning of her eye would cruflh him for presumption. The The play being over, Lord Maldown presented his hand to Gertrude; and when they reached the lobby, offered the other to Armenia. George Gordon took charge of Mrs. Byron and Annette;"
0292100121_000005,"Bell's British Theatre. Consisting of the most esteemed English plays. .. . Containing Comus,..,[sic]....... By Milton. Alchymist, ....... - Ben Jonson. Love for Love, ..... - Congreve. Rival Queens, ..... - Lee.",,79,0,3,2,0,0,1,0,3,0,0,2,2,0,1,1,0,0,1,4,0,0,1,2,1,1,1,3,1,0,0,3,0,8,2,2,1,2,1,0,0,0,5,1,0,2,2,1,0,1,1,1,6,0,3,2,0,1,2,1,1,1797,21,34,"London : printed for, and under the direction of, George Cawthorn, British Library, Strand, 1797.",London,374,unknown,,,FALSE,"are, pining yourself to death. 380 Clar. Jenny, you are a good girl , and I am very much obliged to you for feeling so much on my account; but in a little time, I hope I shall be easier. Jen. Why, now, here today, Madam , for sartain you"
0201000202_000030,"Georgina: or, memoirs of the Bellmour family. By a young lady. In four volumes. ...","Bouverie, Georgina",80,1,1,0,2,0,4,0,1,0,1,6,3,0,1,1,0,0,1,3,3,1,4,2,2,1,1,8,3,0,0,2,1,1,0,0,0,1,2,2,1,0,0,0,2,1,2,0,7,1,1,0,1,0,0,1,0,0,1,0,3,1787,2,4,"London : printed for the author; and sold by R. Baldwin, Pater-Noster Row ; J. Robson New Bond-Street ; P. Elmsly, Strand ; and J. Walter, Charing-Cross, MDCCLXXXVII. [1787].",London,253,female,,,FALSE,"should add, that he, td Edward would undoubtedly set off for Rome in the course of fourteen days."" The Dowager nodding her assent to this, the company received an additional degree of spirits, from a certainty of enjoying the society of these two favourite young men, even for so short"
0314600108_000003,"Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life. And particularly shewing, The Distresses that may attend the Misconduct Both of Parents and Children, In Relation to Marriage. ...",Samuel Richardson,83,1,0,2,7,0,3,1,3,1,0,4,7,0,1,0,2,0,3,1,4,0,0,4,2,0,3,1,0,0,0,0,0,3,0,2,1,0,2,0,4,1,2,0,0,1,1,1,0,2,1,1,0,0,3,0,3,1,1,1,2,1774,8,8,"London : printed for J. and F. Rivington, W. Johnston, S. Crowder, T. Lowndes, W. Griffin, T. Becket, F. Newbery, T. Cadell, G. Robinson, R. Baldwin, W. Goldsmith, T. Evans, and J. Knox, M.DCC.LXXIV. [1774].",London,395,male,1689,1761,TRUE,"said your poor Mother . I cannot think of parting with my Clary with all her faults, lhe is my child her reasons for her conduct are not heard. It would break' my heart to lose her. i think , my Dear,. to your Father , none To sit as"
0345500108_000012,"Clarissa. Or, the history of a young lady: comprehending the most important concerns of private life. By Mr. Richardson, Author of Pamela and Sir Charles Grandison. In eight volumes. ...",Samuel Richardson,78,1,0,0,1,0,1,1,1,0,1,1,1,0,2,0,1,0,2,1,1,4,2,0,2,1,2,10,6,1,2,2,1,0,0,1,0,0,2,0,4,1,0,2,0,1,2,1,1,2,1,0,1,1,1,1,0,1,1,0,6,1768,8,8,"London : printed for J. Rivington, R. Baldwin, W. Johnston, S. Crowder, C. Rivington, T. Lownds, T. Davies, J. Johnson and J. Payne, W. Griffin, T. Becket, F. Newbery, T. Cadell, and J. Knox, M.DCC.LXVIII. [1768]-69.",London,308,male,1689,1761,TRUE,"carried down for her with her son (a fine youth); who when he heard the fatal news, burst out into a flood of tears firft lamenting the Lady's death, and then crying out, What, what, would become of his poor Mother How would he support herself , when ihe should"
0012800601_000060,"The novelist: or, a choice selection of the best novels. By J. H. Emmert. ... . Containing Sir Charles Grandison and Tom Jones.","Emmert, J. H. (Johann Heinrich)",83,1,0,0,2,0,0,0,3,2,0,3,5,0,1,2,0,0,1,1,1,1,6,0,1,0,2,6,1,2,0,0,5,0,6,1,1,1,2,1,2,0,2,2,0,2,2,0,1,0,0,0,0,1,1,1,1,5,0,1,4,1792,1,2,"Gottingen : printed for Vandenhoeck and Ruprecht, 1792-93.",Göttingen,359,unknown,,,FALSE,"retain, but it shall be in silence; it shall be in some foreign land, from whence no voice, no sighs of my despair, shall ever reach and disturb your ears. He was here flopped by Soplia's tears; he kissed them from her cheeks. But she then, recolleting herself , withdrew"
0709800602_000001,"The errors of education. In three volumes. By Mrs. Parsons, ...",Eliza Parsons,83,2,0,1,0,0,1,0,1,0,0,2,0,0,2,3,0,0,1,2,0,1,2,5,0,3,1,11,3,0,0,1,1,2,1,0,0,2,10,2,4,0,1,0,0,2,1,0,5,0,1,0,1,1,1,1,0,1,1,0,3,1791,2,3,"London : printed for William Lane, at the Minerva Press, 1791.",London,228,female,1738,1811,TRUE,"- -, -  J -1 E R R 0 R o p E D U C A T ION. THE E R R 0 R S ERRORS O F E D U C A T IO N. IN THREE VOLUMES. BY MRS. PARSONS, DEDICATED (BY PERMISSION) TO THE RIGHT"
0341901101_000022,"Plays, written by Sir John Vanbrugh. In two volumes. ... . Containing, The Relapse; Or, Virtue in Danger. The Provok'd Wife, with a new Scene. Aesop, in two Parts. The False Friend.",John Vanbrugh,88,1,0,2,0,0,0,0,1,0,0,1,3,0,0,3,1,0,0,2,1,1,3,3,0,2,4,3,0,0,0,1,4,3,4,2,0,1,5,2,0,0,1,4,0,0,4,4,0,0,0,1,1,0,2,2,1,3,1,0,11,1776,1,2,"London : printed for J. Rivington, T. Longman, T. Lowndes, S. Caslon, C. Corbett, S. Bladon, W. Nicoll, T. Evans, and M. Waller. MDCCLXXVI. [1776].",London,379,male,1664,1726,TRUE,"Sola. These old Women are so wise when they get a poor Girl into their Clutches; but ere it he long, I. hall know what's what, as well as the belt of'em. Enter Young Fashion. Young fzfli Your Servant, Madam , I'm glad to find you alone; for I have"
0737800500_000006,"A word to the wise, a comedy, as it was performed at the Theatre Royal, in Drury-Lane. By Hugh Kelly, Esq. of the Middle-Temple, Author of False Delicacy.",Hugh Kelly,81,1,0,1,0,5,0,0,5,0,0,4,4,0,0,1,0,0,0,2,0,1,3,0,2,1,3,1,0,1,0,2,2,4,4,2,0,0,6,1,1,0,0,2,0,0,4,1,0,0,0,1,1,0,5,0,1,6,0,1,2,1773,1,1,"London : printed for Edward and Charles Dilly, MDCCLXXIII. [1773].",London,108,male,1739,1777,TRUE,"what must become of poor mifswilloughby? DO M E R. Why I fhou'd'nt like to be a rascal there neither, yet what can one do; - where a woman's , weak enough to encourage the addresses of a man whopl he. knows to be pre engaged, he gives him a"
0828900106_000011,"The history of Sir Charles Grandison. In a series of letters. By Mr. Samuel Richardson, Author of Pamela and Clarissa. In seven volumes. ...",Samuel Richardson,86,1,2,0,2,0,0,3,0,0,0,0,1,0,0,6,5,0,0,2,2,3,0,1,0,0,2,4,3,1,0,1,6,8,3,2,0,0,7,0,3,0,1,1,0,0,3,2,2,0,2,0,0,0,3,1,1,1,1,0,0,1770,6,7,"London : printed for J. and F. Rivington, R. Baldwin, S. Crowder, T. Longman, W. and J. Richardson, W. Griffin, W. Davenhill, W. Domville, T. Cadell, G. Pearch, T. Davies, and T. Becket, MDCCLXX. [1770].",London,375,male,1689,1761,TRUE,"felf denying receiver rather than conferrer of an obligation ? -- Lord, how we ram ble headed creatures break in upon ourselves !] with a good grace he told us of his intention to marry ; of his apparition to Mrs. Shirley; of his sudden vanishing; and all that and"
0022000106_000011,"The history of Sir Charles Grandison. In a series of letters. By Mr. Samuel Richardson, Author of Pamela and Clarissa. In seven volumes. ...",Samuel Richardson,89,1,3,0,2,0,0,3,0,0,0,0,1,0,0,6,5,0,0,2,2,3,0,1,0,0,2,4,3,0,0,1,5,9,3,2,0,0,8,0,5,0,1,1,0,0,4,2,1,0,1,0,0,0,3,1,2,1,1,0,0,1766,6,7,"London : printed (by assignment from Mr. Richardson's executors) for J. Rivington, in St. Paul's Church-Yard; R. Baldwin, S. Crowder, J. Coote, and M. Richardson, in Pater-Noster-Row, MDCCLXVI. [1766].",London,373,male,1689,1761,TRUE,"an obligation Lord, how we ram ble headed creatures break in upon ourselves !] with a good grace he told us of his intention to marry ; of his apparition to Mrs. Shirley; of his sudden vanishing; and all that and then he produced Mrs. Shirley's Letter , but just"
0728000101_000022,"Anna, or, memoirs of a Welch heiress. By Mrs. Bennett, Author of Ellen Countess of Castle Howell, &c. &c. Fourth edition. In four volumes. ...",Anna Maria Bennett,66,1,1,1,1,0,6,0,4,0,0,4,2,0,3,1,0,0,0,1,0,1,3,0,1,1,2,5,0,0,0,1,0,1,0,0,0,0,4,1,2,1,1,2,1,3,1,0,1,1,0,1,1,0,0,2,0,1,0,0,3,1796,1,4,"London : printed for William Lane, at the Minerva-Press, Leadenhall-Street, M.DCC.XCVI. [1796].",London,242,female,1760,1808,FALSE,"the motive called for thanks and acknow iedgmnents; yet, though they did not refuse, neither did they court, the good offi -- ces of their officious friend on an occasion about which they were perfectly indifferent.. However,. tle following morning Colo -- nel Gorget's servant was sent with the joy"
0415900101_000003,Anna: a sentimental novel. In a series of letters. In two volumes. ...,,80,1,2,1,0,0,0,0,1,2,0,0,6,0,4,3,1,0,1,3,1,2,1,3,2,0,1,3,9,1,0,1,1,1,1,1,4,1,2,1,0,0,1,1,1,1,2,0,0,1,1,1,2,1,4,0,1,0,0,0,2,1782,1,2,"Dublin : printed by P. Higly, for Messrs. Price, Whitestone, R. Cross, Walker, Gilbert, Higly, Beatty, Burton, and Parker, M.DCC.LXXXII. [1782].",Dublin,140,unknown,,,FALSE,"LETTER ( 3) L E T T E R III Farmer HOWARD, to Lady MIRA CECIL;  Honoured Madam , THIS comes with my humble duty, hoping your Ladyship will excuse my boldness in writing to you, but I think it is fitter for me to answer your letter to"
0128703201_000006,The life and adventures of Mr. Francis Clive. In two volumes. ...,"Gibbes, Phoebe",78,0,1,0,1,0,0,0,1,0,0,3,3,0,3,1,1,0,1,0,4,0,2,1,2,1,1,6,0,1,2,1,1,3,0,0,1,2,4,0,1,0,2,2,2,0,2,1,1,6,0,1,0,2,4,1,1,1,1,0,3,1764,1,2,"Dublin : printed for E. Watts, J. Potts, A. M'culloh, and J. Williams, M,DCC,LXIV. [1764].",Dublin,127,female,,,FALSE,"already seen the lady ,"" and your heart remains untouched, retorted Mr. Spranger; Mr. Clive hesitated exceedingly in shifting about for a reply; "" well, well, continued his friend , you are not at a confession, so consequently not under a necessity of revealing your sentiments, but if you have"
0290600604_000048,"The history of Sir Charles Grandison. In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. Vol. IV.",Samuel Richardson,87,1,1,2,2,0,0,1,3,1,1,0,1,1,4,1,0,0,1,1,1,4,0,0,0,3,1,10,1,0,0,0,8,0,2,0,1,2,1,0,0,0,3,0,0,2,1,0,0,1,2,2,1,0,4,2,0,3,0,1,10,1754,4,7,"London : printed for S. Richardson; and sold by C. Hitch and L. Hawes, in Pater-Noster-Row; by J. and J. Rivington, in St. Paul's Church-Yard; by Andrew Millar, in the Strand; by R. and J. Dodsley, in Pall-Mall; and by J. Leake, at Bath, M.DCC.LIV. [1754].",London,303,male,1689,1761,TRUE,"happy , avoid compelling them to give their hands to a man who has no share in their hearts ? But would you allow young Ladies to be their own choosers, Sir Charles? said Mr. Reeves. Daughters , replied he, who are earnef to choose for themselves, should be doubly"
1591600108_000045,"The history of Clarissa Harlowe, in a series of letters. By S. Richardson.",Samuel Richardson,69,1,0,0,1,0,3,0,1,0,1,1,1,1,1,0,2,0,2,1,1,1,2,1,2,1,3,5,5,1,2,2,1,0,0,1,0,0,1,0,4,1,1,1,0,1,3,1,1,1,0,0,1,1,1,1,0,0,2,0,4,1792,8,8,"Basil : printed for J. L. Legrand, MDCCXCII. [1792].",Basel,485,male,1689,1761,TRUE,"came to see what ailed her; and was herself so struck with the communication, that she was forced to sit down in a chair: O the sweet creature! said the - And is it come to this! - O my poor Nancy! - How shall I be able to break"
0201200301_000022,"Emmeline, the orphan of the castle. By Charlotte Smith. In four volumes. ...",Charlotte Turner Smith,68,1,2,0,0,0,2,0,0,1,1,3,2,1,3,0,0,0,1,2,3,1,3,1,0,1,3,4,1,1,0,1,2,4,3,0,1,0,5,0,2,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,2,1788,1,4,"London : printed for T. Cadell, in the Strand, 1788.",London,297,female,1749,1806,TRUE,"Emmeline, - was put into the next day's post; and the two ladies set out for their walk at a very early hour, flattering themselves they should return before Delamere and and Fitz edward (who was lately raised to the rank of lieutenant- colonel ) were abroad. But in this"
0953300104_000049,"The history of Sir Charles Grandison. In a series of letters. By Mr. Samuel Richardson, Author of Pamela and Clarissa. In seven volumes. ...",Samuel Richardson,89,1,1,2,2,0,0,1,3,1,1,0,1,1,4,1,0,0,1,1,1,4,0,1,0,3,1,10,1,0,0,0,9,0,2,0,1,2,1,0,1,0,3,0,0,2,1,0,0,0,2,2,1,0,5,1,0,4,0,1,9,1780,4,7,"Dublin : printed for Thomas Walker, (no. 79) Dame-Street, MDCCLXXX. [1780].",Dublin,319,male,1689,1761,TRUE,"inclinations in wedlock: Tyranny and ingratitude, said Sir Charles, from a man beloved, will be more supportable to a woman of strong passions, than even kindness from a man he loves not: Shall not parents then, who hope to see their children happy , avoid compelling them to give their"
1449000108_000012,"Clarissa. Or, The history of a young lady: Comprehending the most important concerns of private life. In eight volumes.",Samuel Richardson,79,1,0,0,1,0,1,0,1,0,1,1,1,0,2,0,2,0,2,1,2,3,2,0,2,1,3,8,6,1,1,2,1,0,0,2,0,0,3,0,4,1,1,2,0,1,3,1,1,2,1,0,0,1,1,1,0,1,1,0,6,1759,8,8,"London : Printed for S. Richardson: and sold by C. Hitch and L. Hawes, in Pater-noster Row; A. Millar, over-against Catharine-street in the Strand; John Rivington, in St. Paul's Church yard; J. Rivington and J. Fletcher, in Pater-noster Row; and by J. Leake, at Bath, M.DCC.LIX. [1759].",London,309,male,1689,1761,TRUE,"was so deservedly the darling of her heart , was no more! He proceeded to Miss Howe's, with the Letter for her. That Lady , he was told, had just given orders for a young man, a tenant's son, to pofl to London., to bring her news of her dear"
0290600503_000007,"The history of Sir Charles Grandison. In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. Vol. III.",Samuel Richardson,96,0,1,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,1,1,4,2,0,2,0,0,5,5,5,1,0,4,7,2,0,1,1,0,7,1,2,0,1,0,2,2,4,1,1,1,0,0,4,1,7,3,0,1,1,0,6,1754,3,7,"London : printed for S. Richardson; and sold by C. Hitch and L. Hawes, in Pater-Noster Row; by J. and J. Rivington, in St. Paul's Church-Yard; by Andrew Millar, in the Strand; by R. and J. Dodsley, in Pall-Mall; by James Leake, at Bath. And by R. Main, in Dublin, M.DCC.LIV. [1754].",London,381,male,1689,1761,TRUE,"difficult things to rein in. They are ever curveting like a prancing horse; and they will often throw the rider who depends more upon his skill in managing them, than he has reason to do. My Uncle was charmed with the scene; and thinks the two Ladies did just as"
0797200122_000248,The novelist's magazine. ...,,78,2,3,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,3,1,2,0,1,6,3,2,0,1,2,3,2,3,1,0,1,2,1,12,0,1,1,1,1,0,0,3,0,0,0,4,0,3,1,1,1,1,1,2,1787,22,23,"London : printed for Harrison and Co., 1780-88.",London,699,unknown,,,FALSE,"uncommon pains to debauch her when fly became the wife of his friend . Had Mr. Faulkland fb behaved, what a wretch would it have made me! You know I have not a grain of jealouyv in my composition, yet I am sure a neg.e6 of this kind would make"
