PassageID,Title,Author,Total termFreq,termFreq(art),termFreq(belong),termFreq(bishop),termFreq(borough),termFreq(cafe),termFreq(church),termFreq(citi),termFreq(countri),termFreq(court),termFreq(crown),termFreq(declar),termFreq(dioces),termFreq(elect),termFreq(famili),termFreq(follow),termFreq(gener),termFreq(god),termFreq(ground),termFreq(half),termFreq(hall),termFreq(held),termFreq(hill),termFreq(hous),termFreq(inhabit),termFreq(judg),termFreq(king),termFreq(kingdom),termFreq(knight),termFreq(land),termFreq(larg),termFreq(law),termFreq(littl),termFreq(london),termFreq(manor),termFreq(mayor),termFreq(mean),termFreq(member),termFreq(near),termFreq(offic),termFreq(old),termFreq(order),termFreq(parliament),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(prison),termFreq(receiv),termFreq(reign),termFreq(return),termFreq(river),termFreq(sever),termFreq(small),termFreq(town),termFreq(true),termFreq(villag),termFreq(vote),termFreq(war),termFreq(wind),termFreq(yard),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0189401202_000033,"An entire and complete history, political and personal, of the boroughs of Great Britain; to which is prefixed, an original sketch of constitutional rights, ... In two volumes octavo. ...","Oldfield, T. H. B. (Thomas Hinton Burley)",69,0,1,0,2,0,3,1,2,2,1,0,1,4,1,1,5,0,0,0,0,2,2,2,1,2,4,1,1,0,1,0,0,1,0,1,0,1,3,2,2,0,2,0,0,0,1,0,2,0,0,3,2,0,6,0,0,3,0,0,0,1792,2,3,"London : printed for G. Riley; and sold by J. Debrett; Messrs. Egertons; Messrs. Whieldon and Butterworth; and Richardson, 1792.",London,556,male,1755,1822,FALSE,"at Westminster, and takes cognizance of all causes tha: any way concern the revenue belonging to that duchy; the chief judge of which is the chancellor of the duchy, who is assisied and attended by the attorney- general , the receiver - general , the auditor of the north and"
0189500103_000004,"An entire and complete history, political and personal, of the boroughs of Great Britain; to which is prefixed, an original sketch of constitutional rights, ... In two volumes octavo. ...","Oldfield, T. H. B. (Thomas Hinton Burley)",86,0,1,1,11,0,4,0,0,6,0,0,0,3,0,0,0,0,1,0,1,2,1,5,2,0,3,0,0,0,0,1,0,1,3,4,0,3,1,6,0,2,5,0,1,1,1,0,0,3,5,0,1,1,3,0,0,3,0,0,0,1792,3,3,"London : printed for G. Riley; and sold by J. Debrett; Messrs. Egertons; Messrs. Whieldon and Butterworth; and Richardson, 1792.",London,566,male,1755,1822,FALSE,"twenty six, a new one being chosen to govern that borough . Hence Southwark has ever since been considered as subject to the lord mayor , who has under him a steward and bailiff the former of whom regularly holds a court of record, in the hall on St. Iargaret's"
0189401202_000056,"An entire and complete history, political and personal, of the boroughs of Great Britain; to which is prefixed, an original sketch of constitutional rights, ... In two volumes octavo. ...","Oldfield, T. H. B. (Thomas Hinton Burley)",78,0,1,1,5,1,2,0,1,0,0,2,0,1,2,0,0,0,0,0,0,1,0,2,4,0,6,1,0,1,4,1,0,1,0,8,0,3,0,3,3,1,2,0,0,1,2,0,0,2,3,1,0,1,7,0,1,1,2,0,0,1792,2,3,"London : printed for G. Riley; and sold by J. Debrett; Messrs. Egertons; Messrs. Whieldon and Butterworth; and Richardson, 1792.",London,556,male,1755,1822,FALSE,"of its inhabitants . Here is, however, an hospital for twelve poor men, and an almshouse fortwennty four poor widows, both founded by the family of the Howards. In the neighbourhood of the town is a large chase, with the privileges of a forest. This town , and fomne of"
0712200100_000041,"The complete English traveller; or, a new survey and description of England and Wales. Containing A full Account of whatever is Curious and Entertaining In The Several Counties of England and Wales, The Isles of Man, Jersey, Guernsey, And other Islands adjoining to, and dependant on the Crown of Great Britain; Under the following Heads; I. The Ancient and Present State of each County with respect to Agriculture, Manufactures, Trade and Commerce, &c. II. Account of the Air, Soil, Rivers, Lakes, and Mineral Waters. III. A particular Description of all that is curious in the Cities, Corporations, Towns and Villages; with the various Fairs, Markets, and Distances from London. IV. Account of the Cathedrals, Collegiate, and Parish Churches; together with the Remains of Abbys, Priories, Nunneries, and other Religious Houses. V. Description of the Palaces, Houses, Gardens and Parks, belonging to several of the Nobility, Gentry, &c. VI. Account of all the remarkable Battles, Sieges, Castles and Forts, whether Roman, Saxon, Danish, or Norman. Vii. Account of all the Ancient Monuments, with the Reasons for which they were first erected. Viii. Descriptions of every natural Curiosity, whether Mines, Rocks, Caves, Caverns, Grottos, or Fossils. IX. Abstract of the Lives of such Persons, as have done Honour to the Counties where they were born, whether Kings, Princes, Peers, Generals, Admirals, Divines, Lawyers, Physicians, Philosophers, Poets, Historians, &c. To which is added, a concise and accurate description of that part of Great Britain called Scotland; Ancient and Present State, Antiquities and Natural Curiosities: To Gether With The Manners and Customs of the Inhabitants, &c. By Nathaniel Spencer, Esq;","Sanders, Robert",70,1,1,1,2,1,3,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,1,0,0,5,1,1,0,2,1,2,0,1,4,2,1,1,3,1,0,2,1,0,1,3,1,4,1,2,7,0,2,0,3,0,1,1771,1,1,"London : printed for J. Cooke, at Shakespear's-Head, in Pater-Noster-Row, MDCCLXXI. [1771].",London,781,male,1727,1783,FALSE,"Dodbrook, which stands in the neighbourhood of Kingffridge, is a small market town situated on a rivulet, called the Dod, which falls into the Salcomb, near this place. Here we saw nothing remarkable, only a charity school where the children of the poorer people are educated gratis. It was formerly"
0079200400_000037,"Rural beauties; or, the natural history of the four following western counties, viz. Cornwall, Devonshire, Dorsetshire, and Somersetshire. With additional remarks. By Theophilus Botanista, M.D.","Botanista, Theophilus",81,0,2,1,2,0,2,0,0,4,1,0,0,3,0,0,1,0,1,0,0,1,1,3,2,0,9,0,1,1,0,0,0,4,4,3,0,3,1,1,1,0,3,0,0,1,0,1,0,4,2,4,0,0,13,0,0,0,1,0,0,1757,1,1,"London : printed for, and sold by William Fenner, at the Angel and Bible in Pater-Noster-Row; and C. Henderson, under the Royal Exchange, Cornhill, MDCCLVII. [1757].",London,363,unknown,,,FALSE,"London , is situate near the river Tamar, and is a very ancient borough by prefeription. It never was incorporated, but is governed by a Port reeve, who is elected annually on Michaelmas day by twenty-four freeholders at the court of the lord of the manor , now the duke"
0971100301_000045,"A new description of Berkshire, Buckinghamshire, Cambridgshire, Cheshire, Cornwal, Cumberland, The Isle of Man, Derbyshire, Devonshire, Dorsetshire, Durham, Essex. Containing, I. A particular survey, both geographical and historical of each county. II. An ample and accurate Account of all the Boroughs, Market-Towns, Villages, Rivers, Royal-Palaces, Noblemen's and Gentlemen's Seats. III. The Fairs, Trade, Commerce, and Product of each County. IV. Of the Rarieties both Natural and Artificial. V. Of the eminent Persons Born, or who have resided in them, and of the extraordinary Events that have happen'd in the same.",,82,0,3,0,7,0,2,0,0,2,1,0,0,4,1,0,1,0,0,1,0,0,1,3,3,0,8,1,1,0,2,1,0,0,3,5,0,5,1,1,0,2,6,0,1,0,1,0,0,0,4,1,1,0,7,0,0,1,1,0,0,1749,1,3,"London : printed for James Coreett, near West-Smith-Field, [i.e. Corbett], and sold by the booksellers in town and country, 1749.",London,564,unknown,,,FALSE,"Son of the Black Prince, was not Duke of Corwwal by Virtue of the former Law , or Settlement, because he was not eldest Son of the King , but his Grandson, and therefore he was created by a particular Patent; but Henry, the eldest Son of King Henry IV"
0189401202_000034,"An entire and complete history, political and personal, of the boroughs of Great Britain; to which is prefixed, an original sketch of constitutional rights, ... In two volumes octavo. ...","Oldfield, T. H. B. (Thomas Hinton Burley)",91,0,3,0,5,2,1,2,2,2,0,0,0,3,1,0,2,0,0,1,0,1,0,7,9,0,8,0,1,2,4,0,0,0,0,4,1,3,3,3,0,2,1,1,1,0,1,0,0,1,3,1,0,1,8,0,1,0,0,0,0,1792,2,3,"London : printed for G. Riley; and sold by J. Debrett; Messrs. Egertons; Messrs. Whieldon and Butterworth; and Richardson, 1792.",London,556,male,1755,1822,FALSE,"probably have more trade, if the country about it was not so thinly peopled , on account of its barrenness, which oc. cafions the demand for sugars and other commodities brought back from America to be but small . Camden informs us, that, in his time, the town was not"
0435800102_000769,"A new system of geography: or, a general description of the world. Containing A Particular and Circumstantial Account of all the Countries, Kingdoms, and States of Europe, Asia, Africa, and America. Their Situation, Climate, Mountains, Seas, Rivers, Lakes, &c. The Religion, Manners, Customs, Manufactures, Trade, and Buildings of the Inhabitants. With The Birds, Beasts, Reptiles, Insects, the various Vegetables, and Minerals, found in different Regions. Embellished with a new and accurate set of maps, by the best Geographers; and great variety of copper-plates, containing Perspective Views of the Principal Cities, Structures, Ruins, &c. By D. Fenning, (author of the Royal English Dictionary, the Use of the Globes, the Young Algebraist's Companion, &c.) J. Collyer, (author of the Letters from Felicia to Charlotte; and Translator of the Messiah, from the German of Mr. Klopstock.) and others.",Joseph Collyer,77,0,0,0,2,0,2,1,2,0,0,0,1,1,0,2,2,0,0,1,1,3,3,2,2,0,2,0,1,1,4,0,2,4,0,3,0,1,7,0,2,0,2,0,0,0,1,0,1,0,0,6,2,0,10,0,1,0,1,0,1,1765,2,2,"London : printed for S. Crowder, at the Looking-Glass, in Pater-Noster-Row; and sold by Mr. Jackson, at Oxford; Mr. Merril, at Cambridge; Mess. Smith, in Dublin; and all other Booksellers in Great Britain and Ireland, MDCCLXVI. [1765].",London,840,male,1748,1827,FALSE,"great bravery. Near this town were fought two bloody battles be. tween the army of king Charles 1 and the parliament's forces, the king hinifell being present at both. Maidenhead is an ancient town , twelve miles from Reading, and twenty-eight from London , under the go. vernment ofa high"
0669500103_000146,"A new system of geography: in which is given, a general account of the situation and limits, the manners, history, ... of the several kingdoms and states ... By A. F. Busching, ... Carefully translated from the last edition of the German original. ... Illustrated with thirty-six maps, ... In six volumes. ...",Anton Friedrich Büsching,101,0,1,2,6,0,5,2,1,1,0,0,0,0,1,1,0,0,1,0,0,1,2,2,4,0,2,0,0,1,3,0,3,0,1,2,3,6,3,1,3,0,9,0,0,0,1,0,2,0,0,9,1,0,18,0,2,0,1,0,0,1762,3,6,"London : printed for A. Millar, 1762.",London,852,male,1724,1793,FALSE,"140, 0 acres, three hundred and feventy two* parishes, seventeen t boroughs and towns , and sends twenty + members to parliament . lthe principal places in it are the following : viz. chiche/ler, in Latin cice/tria, the county town , seated on the river Lavant, which, though not populous,"
0971100301_000046,"A new description of Berkshire, Buckinghamshire, Cambridgshire, Cheshire, Cornwal, Cumberland, The Isle of Man, Derbyshire, Devonshire, Dorsetshire, Durham, Essex. Containing, I. A particular survey, both geographical and historical of each county. II. An ample and accurate Account of all the Boroughs, Market-Towns, Villages, Rivers, Royal-Palaces, Noblemen's and Gentlemen's Seats. III. The Fairs, Trade, Commerce, and Product of each County. IV. Of the Rarieties both Natural and Artificial. V. Of the eminent Persons Born, or who have resided in them, and of the extraordinary Events that have happen'd in the same.",,73,1,1,0,5,0,3,0,0,0,1,0,0,2,1,0,0,0,0,1,0,2,1,2,2,0,11,0,0,2,1,0,0,0,4,4,2,4,2,0,0,0,3,0,0,0,1,0,0,3,1,1,0,1,7,1,1,1,0,1,0,1749,1,3,"London : printed for James Coreett, near West-Smith-Field, [i.e. Corbett], and sold by the booksellers in town and country, 1749.",London,564,unknown,,,FALSE,"have Liberty to choose a Recorder, elea the Members of Parliament , which it sirs sent in King Edward IV Days. King Edward III fettled this Town Part of the Manor of Trimaton, and Park thereunto belonging , upon the Black Prince, and his Heirs, Dukes of Cermwal, and eldest"
0988900101_000057,"The agreeable historian, or the compleat English traveller: giving a geographical description of every county in that part of Great-Britain, call'd England. Together with the antiquities of the same. With a Full and particular Account of all the Cities, Market Towns, Villages, Royal Palaces, and Gentlemen's Seats; of the Sea Ports and Fortifications, the Course of the Rivers and the Inland Navigation; of all the Fairs, and Market Days; and of the Trade, Commerce, and Product; with a map of every country [sic] prefix'd to each, from the best and latest Observations, after the designs of Herman Moll, and others. ... . Containing the following Counties, Bedfordshire, Berkshire, Buckinghamshire, Cambridgeshire, Cheshire, Cornwall, Cumberland, and the Isle of Man, Derbyshire, Devonshire, Dorsetshire, Durham, and Essex. Compiled from Camden, Leland, Dugdale, Ogilby, Morgan, and other authors, by Samuel Simpson, gent.","Simpson, Samuel",90,0,2,3,10,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,1,1,7,0,6,0,0,1,1,0,2,2,3,5,0,6,1,1,0,1,8,1,0,1,0,1,0,0,1,1,2,1,12,0,0,1,0,0,0,1746,1,2,"London : printed by R. Walker, in Fleet Lane; and sold by the booksellers in town and country, 1746.",London,571,male,,,FALSE,"little Town of St. Michael, or mold/hole, as it is called 30 ed vard I. neither is it known that there ever was. It is not to be discovered that it was ever incorporated, hut it ent Members to Parliament the 6th of Edward VI in which Return it is"
1372700102_000300,"A new system of geography: or, A general description of the world. Containing a particular and circumstantial account of all the countries, kingdoms, and states of Europe, Asia, Africa, and America. Their situation, climate, mountains, seas, rivers, lakes, &c. The religion, manners, customs, manufactures, trade, and buildings of the inhabitants. With the birds, beasts, reptiles, insects, the various vegetables, and minerals, found in different regions. Embellished with a new and accurate set of maps, by the best geographers; and great variety of copper-plates, containing perspective views of the principal cities, structures, ruins, &c. By D. Fenning, (Author of the Royal English dictionary, the use of the globes, the young algebraist's companion, &c.) J. Collier, (Author of the Letters from Pelicia to Charlotte; and translator of the Messiah, from the German of Mr. Klopstock.) and others.",Joseph Collyer,68,0,3,7,1,1,4,0,4,1,0,0,4,1,0,1,2,0,0,0,3,2,0,0,2,1,0,0,0,1,2,0,0,0,1,0,0,1,3,1,2,0,0,0,1,0,1,0,0,0,2,1,1,0,8,0,2,2,1,0,1,1764,2,2,"London : Printed for S. Crowder, at the Looking-Glass, in Pater-noster-Row; and sold by Mr. Jackson, at Oxford; Mr. Merril, at Cambridge; Mess. Smith, in Dublin; and all other booksellers in Great Britain and Ireland, MDCCLXIV. [1764].",London,833,male,1748,1827,FALSE,"Its exports consist of corn, sheep, wool, hops, salt, thread, and linen. The arms of this see are party per pale gules and argent. The bishop of Hildesheim sits in the diet between the bishops of Augsburg nd Paderborn, and votes among the princes in the diet of Lower Saxony."
0189401202_000059,"An entire and complete history, political and personal, of the boroughs of Great Britain; to which is prefixed, an original sketch of constitutional rights, ... In two volumes octavo. ...","Oldfield, T. H. B. (Thomas Hinton Burley)",84,0,1,2,2,3,0,1,2,0,0,0,1,4,0,0,1,1,0,0,0,0,0,7,2,0,3,1,1,0,0,1,0,0,0,2,0,3,1,1,0,3,5,0,4,1,3,0,7,2,2,1,2,0,9,0,0,5,0,0,0,1792,2,3,"London : printed for G. Riley; and sold by J. Debrett; Messrs. Egertons; Messrs. Whieldon and Butterworth; and Richardson, 1792.",London,556,male,1755,1822,FALSE,"had a castle, which is now in ruins; but has frill a wall round it built by order of queen Elizabeth; and is farther strengthened by its situation, it being almost encompassed by the river and the sea. SIR John Grey founded a convent of White friars at Berwick in"
0617300100_000088,"A description of the country from thirty to forty miles round Manchester; The materials arranged, and the work composed by J. Aikin, M.D. Embellished and illustrated with seventy-three plates.",John Aikin,75,0,2,0,1,0,7,0,0,1,0,1,0,2,8,0,1,0,1,0,5,0,0,5,1,0,1,1,1,2,1,0,2,0,4,2,0,1,5,0,2,1,1,0,0,2,1,0,0,0,0,1,2,3,3,0,2,0,1,0,1,1795,1,1,"London : printed for John Stockdale, Piccadilly, June 4. 1795. [1795].",London,723,male,1747,1822,FALSE,"alum. These, and other mineral treasures, will obtain a ready conveyance from the intended canals which are to pass through them. The population and trade of this town and neighbourhood have been greatly increased of late years. from the church regiller Chr.l Burr. Mawr. 101 39 II 96 62 17"
0988900101_000104,"The agreeable historian, or the compleat English traveller: giving a geographical description of every county in that part of Great-Britain, call'd England. Together with the antiquities of the same. With a Full and particular Account of all the Cities, Market Towns, Villages, Royal Palaces, and Gentlemen's Seats; of the Sea Ports and Fortifications, the Course of the Rivers and the Inland Navigation; of all the Fairs, and Market Days; and of the Trade, Commerce, and Product; with a map of every country [sic] prefix'd to each, from the best and latest Observations, after the designs of Herman Moll, and others. ... . Containing the following Counties, Bedfordshire, Berkshire, Buckinghamshire, Cambridgeshire, Cheshire, Cornwall, Cumberland, and the Isle of Man, Derbyshire, Devonshire, Dorsetshire, Durham, and Essex. Compiled from Camden, Leland, Dugdale, Ogilby, Morgan, and other authors, by Samuel Simpson, gent.","Simpson, Samuel",81,1,0,3,10,0,4,0,0,2,1,0,0,2,3,0,1,0,1,1,0,1,1,3,0,0,9,0,1,1,2,1,0,0,3,0,0,1,1,3,0,0,4,0,1,0,0,0,1,3,3,2,3,1,6,0,0,0,0,0,1,1746,1,2,"London : printed by R. Walker, in Fleet Lane; and sold by the booksellers in town and country, 1746.",London,571,male,,,FALSE,"Purpose. This Borough is no Corporation, but governed, as the Borough of 4hbrtan, and others, by a Portreve chosen annually at the Lord's Court , and he is the Returning Officer , when the Members to serve in Parliament are chosen. The Right of electing their Burgesses is in all"
