PassageID,Title,Author,Total termFreq,termFreq(acid),termFreq(air),termFreq(alkali),termFreq(appear),termFreq(arsen),termFreq(becom),termFreq(bodi),termFreq(calx),termFreq(colour),termFreq(combin),termFreq(contain),termFreq(copper),termFreq(crystal),termFreq(differ),termFreq(dissolv),termFreq(distil),termFreq(earth),termFreq(experi),termFreq(form),termFreq(grain),termFreq(heat),termFreq(iron),termFreq(lead),termFreq(lime),termFreq(liquor),termFreq(marin),termFreq(mercuri),termFreq(metal),termFreq(miner),termFreq(mix),termFreq(mixtur),termFreq(muriat),termFreq(nitr),termFreq(nitrou),termFreq(obtain),termFreq(oil),termFreq(oxygen),termFreq(precipit),termFreq(principl),termFreq(process),termFreq(produc),termFreq(properti),termFreq(proport),termFreq(pure),termFreq(quantiti),termFreq(red),termFreq(salt),termFreq(separ),termFreq(silver),termFreq(solut),termFreq(spirit),termFreq(substanc),termFreq(sulphur),termFreq(tartar),termFreq(tin),termFreq(unit),termFreq(veget),termFreq(vitriol),termFreq(volatil),termFreq(water),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0223400102_000061,"The economy of nature explained and illustrated on the principles of modern philosophy. By G. Gregory, D. D. Joint Evening Preacher at the Foundling Hospital, Author of Essays Historical and Moral, &c. In three volumes. With forty-six plates. ...",George Gregory,187,20,0,9,1,0,1,0,6,1,3,3,0,0,0,3,1,1,0,10,1,6,1,1,3,1,2,16,12,0,3,0,4,0,8,2,0,5,13,2,1,3,1,0,2,9,3,7,1,0,1,0,3,1,1,0,3,2,3,4,3,1796,2,3,"London : printed for J. Johnson, No 72, St. Paul's Church Yard, 1796.",London,620,male,1754,1808,FALSE,"calx combined with carbonic acid . The volatile alkali precipitates the mercury in the form cfa dark grey powder. When this precipitate is examined, it is found to contain a quantity of mercury in its metallic fate. If this matter is dried and rubbed on pure gold, it turns white,"
0570000101_000015,"A dictionary of chemistry. Containing the theory and practice of that science; Its Application To Natural Philosophy, Natural History, Medicine, And Animal Economy: With Full Explanations of the Qualities and Modes of Acting of Chemical Remedies: And The Fundamental Principles of the Arts, Trades, and Manufactures, dependent on Chemistry. Translated from the French. With plates, notes, and additions, by the translator.",Pierre Macquer,221,34,2,4,0,1,0,0,0,0,5,1,3,2,4,6,0,6,1,11,1,3,3,4,0,2,3,4,17,1,0,0,0,12,19,0,3,0,1,2,0,2,3,3,2,3,1,10,0,3,2,4,4,3,0,5,4,1,9,4,3,1771,1,2,"London : printed for T. Cadell, and P. Elmsly, in the Strand; J. Robson, in Bond-Street; and S. Bladon, in Pater-Noster-Row, M,DCC,LXXI. [1771].",London,463,male,1718,1784,FALSE,"then does the nitrous acid , in this state of heat and dryness, combine itself intimately with the phlogiston, and form with it a kind of sulphur or nitrous phosphorus, which is inftananeoufly inflamed and decomposed in such a manner, that not only the pllogifton, but also the nitrous acid"
0662201700_000019,"Heads of lectures on a course of experimental philosophy, particularly including chemistry, delivered at the New College in Hackney. By Joseph Priestley LL. D. F. R. S.",Joseph Priestley,178,10,14,4,0,3,5,1,2,2,6,2,1,0,0,3,0,0,0,5,1,9,4,3,0,1,3,22,9,2,2,1,0,0,5,0,1,0,7,0,3,0,2,1,4,2,5,1,0,5,3,0,5,5,0,3,3,1,4,1,2,1794,1,1,"Dublin : printed for Wm. Jones, No. 86, Dame-Street, and J. Rice, No. 2, College-Green, 1794.",Dublin,239,male,1733,1804,TRUE,"it ought to be made only in very small quantities , and managed with the greatest caution. Most of the metals precipitate silver . That by mercury may be made to assume the form of a tree, called arbour Diana. Silver is found native in Peru; and the ores cfrquent!l"
0197800800_000022,"Heads of lectures on a course of experimental philosophy, particularly including chemistry, delivered at the New College in Hackney. By Joseph Priestley, LL.D. F. R. S.",Joseph Priestley,176,15,5,2,1,10,3,0,8,4,4,2,6,1,0,2,3,0,0,4,0,6,2,3,0,5,2,2,13,3,1,1,0,2,8,0,0,0,3,0,0,5,1,0,2,0,2,1,1,1,6,0,4,11,0,9,3,0,5,1,3,1794,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, 1794.",London,211,male,1733,1804,TRUE,"tinfures, so as to produce a bright scarlet in dying wool. A transparent liquor , which emits very copious fumes, called, from the inventor, thefmoking liquor of Libavius, is made by distilling equal parts of amalgam of tin and mercury with corrosive foblimate, triturated together. A colourless liquor comes over"
0185100203_000007,"Elements of natural history, and of chemistry: being the second edition of the elementary lectures on those sciences, first published in 1782, and now greatly enlarged and improved, by the author, M. de Fourcroy, Doctor of the faculty of medicine at Paris, of the Royal academy of sciences, &c. &c. &c. Translated into English. With occasional notes, and an historical preface, by the translator. ...","Antoine François, comte de Fourcroy",190,17,1,12,4,2,5,1,19,13,3,6,0,1,0,6,3,1,1,3,0,4,3,0,1,0,1,0,11,1,0,0,4,5,2,2,0,0,5,8,1,0,3,3,0,1,1,4,0,0,6,2,2,2,0,0,2,2,5,7,4,1788,3,4,"London : printed for G. G. J. and J. Robinson. Pater-Noster-Row, MDCCLXXXVIII. [1788].",London,517,male,1755,1809,FALSE,"susceptible of a great number of modifications, but easily destroyed by the acion of combustible fubitances. Scheele has made a great number of ingenious experiments on this head. The manner in which fixed alkalies at on manganese, is not known; but the calx of this semi metal combines with the"
1115600104_000276,"Encyclopaedia; or, A dictionary of arts, sciences, and miscellaneous literature ... Compiled from the writings of the best authors, in several languages ... Illustrated with five hundred and forty-two copperplates. ...",,167,41,2,3,0,4,1,0,2,4,3,3,2,1,1,7,4,2,5,1,0,2,1,4,0,0,5,2,8,2,0,0,0,2,5,1,2,0,2,1,1,0,2,0,2,0,1,5,1,1,4,4,1,1,4,2,2,2,8,1,2,1798,4,18,"Philadelphia : Printed by Thomas Dobson, at the stone house, no 41, South Second Street, M.DCC.XCVIII. [1798] (Copy-right secured according to law).",Philadelphia,401,unknown,,,FALSE,"of linme capable of decompofiug vicious of all metals , 2o8 Shiect triolic salts , 1055 Dissolved by lead , how cast, 1o09 Milled lead the colouring matter of ipruffian scarce to be prefer to this 3kild, blue, rt89. How prevented from t2ro Rendered sonorous by be sticking to the"
1115600104_000097,"Encyclopaedia; or, A dictionary of arts, sciences, and miscellaneous literature ... Compiled from the writings of the best authors, in several languages ... Illustrated with five hundred and forty-two copperplates. ...",,174,20,10,13,1,1,0,0,0,1,4,1,0,2,0,2,3,0,0,7,1,1,2,1,2,1,6,1,1,2,0,1,4,3,4,4,1,0,2,0,1,4,1,0,4,5,1,22,2,1,6,5,0,0,3,0,1,3,6,4,3,1798,4,18,"Philadelphia : Printed by Thomas Dobson, at the stone house, no 41, South Second Street, M.DCC.XCVIII. [1798] (Copy-right secured according to law).",Philadelphia,401,unknown,,,FALSE,"wathed, a pure solution of corrosive fiblimate was obtained ; but fitlphur was not changed. 5 Green vitriol became red and deliquescent; but white and blue vitriol remained unchanged. 6.. Iron filings were dissolved ; and on evaporating the solution to dryness, common muriatic acid was obtained by distillation with"
0062500202_000024,"The British manufacturers companion, and callico printers assistant; being a treatise on callico printing, in all its branches, theoretical and practical; with an essay on genius, invention and designing; Rules for Drawing, Cutting, Printing, Engraving, Colour-Making, Bleaching, &c. Suggestions for the Advantage of Manufactures: And many valuable Hints on the Proprietors of Print-Fields. By Charles Obrien, callico printer.","O'Brien, Charles, callico printer",157,15,2,3,2,4,0,3,3,3,1,3,5,1,2,4,1,1,0,5,0,5,3,1,0,0,2,0,10,3,2,1,0,3,5,0,4,0,6,0,0,5,2,0,0,2,4,2,1,1,2,2,3,6,0,2,6,1,7,2,6,1795,2,2,"London : printed for the author; and sold by Hamilton and Co at the Bust of Shakspeare, Beech-Street, Near Finsbury-Square ; and Vernor and Hood, Birchin-Lane, Cornhill, 1795.",London,293,unknown,,,FALSE,"reduce it to a kind of calx :. The proper solvent (as mentioned more fully further on) is aqua regia, and has even a greater affinity with it than with gold; Gold precipitated by this method is a most beautiful colour , and used as a red for porcelain and"
0038200400_000008,"Analysis of a course of lectures on natural and experimental philosophy, ... Ninth edition. By A. Walker.",Adam Walker,204,20,7,12,1,0,7,2,1,4,5,3,9,0,0,8,2,3,0,9,2,10,3,1,0,0,1,0,15,2,0,1,0,3,5,2,3,2,3,2,0,3,1,0,1,0,0,12,0,7,3,0,1,2,0,2,1,7,3,4,9,1795,1,1,"[London] : Sold by the author, printed by C. Buckton Great Pulteney-Street, Golden-Square, [1795?].",London,88,male,1730,1821,FALSE,"out of the bottle's neck a quarter of an hour, remove it by degrees, an.l cork up the bottle as soon as it will not burn it, or decant the pyrophorus into a dry bottle, well stopped from air , A little of this powder ex pored to inoift air"
0185100203_000080,"Elements of natural history, and of chemistry: being the second edition of the elementary lectures on those sciences, first published in 1782, and now greatly enlarged and improved, by the author, M. de Fourcroy, Doctor of the faculty of medicine at Paris, of the Royal academy of sciences, &c. &c. &c. Translated into English. With occasional notes, and an historical preface, by the translator. ...","Antoine François, comte de Fourcroy",194,20,2,4,1,2,0,0,2,5,1,2,1,2,2,3,5,0,1,9,0,5,0,0,0,0,0,4,8,0,1,1,6,4,17,2,0,0,11,0,2,5,0,0,3,3,1,5,5,22,8,1,2,0,0,0,2,1,7,1,5,1788,3,4,"London : printed for G. G. J. and J. Robinson. Pater-Noster-Row, MDCCLXXXVIII. [1788].",London,517,male,1755,1809,FALSE,"vapours. It detonates on heated charcoal, and leaves a white powder, which is pure silver . It is very fusible: if it be exposed to heat in a crucible, it first swells up and loses the water of crystallisation, after which it remains in fusion; and if suffered to cool"
0570000101_000019,"A dictionary of chemistry. Containing the theory and practice of that science; Its Application To Natural Philosophy, Natural History, Medicine, And Animal Economy: With Full Explanations of the Qualities and Modes of Acting of Chemical Remedies: And The Fundamental Principles of the Arts, Trades, and Manufactures, dependent on Chemistry. Translated from the French. With plates, notes, and additions, by the translator.",Pierre Macquer,220,33,3,6,1,1,1,0,1,0,6,1,11,3,2,10,0,3,4,7,0,2,11,2,0,0,2,4,14,0,1,1,0,2,2,0,2,0,2,3,0,1,4,0,0,2,1,12,3,2,5,0,2,1,1,2,1,1,32,6,3,1771,1,2,"London : printed for T. Cadell, and P. Elmsly, in the Strand; J. Robson, in Bond-Street; and S. Bladon, in Pater-Noster-Row, M,DCC,LXXI. [1771].",London,463,male,1718,1784,FALSE,"these words, and ALKALI ( VEGETABLE .) With the alkaline bails of sea falt, called'marine or fossil alkali , the vitriolic acid forms a neutral, cryftalizable fait, called Glauber's salt , which differs front. vitriolated tartar in the figure of its cryftals, its greater solubility in water , the quantity"
1750300102_000067,"The economy of nature explained and illustrated on the principles of modern philosophy. By G. Gregory, D.D. author of Essays Historical and Moral, &c. In three volumes. With fifty-six plates.",George Gregory,158,22,2,3,3,0,2,1,3,1,0,4,3,1,1,4,1,1,2,5,1,3,1,1,1,0,0,1,7,0,1,2,5,1,12,2,0,1,6,0,2,4,0,0,0,4,0,4,3,14,6,0,2,0,0,1,1,1,4,2,6,1798,2,3,"London : printed for J. Johnson, No 72, St. Paul's Church Yard, 1798.",London,552,male,1754,1808,FALSE,"at firfit quite white, .and will continue so if kept in a dark place, place, but if exposed to the light they soon become black; i f that if a quantity of this mixture is put into a glars phlial sealed up, any marks or letters may be macle to"
0090302001_000023,"A dictionary of chemistry, Exhibiting the present State of the Theory and Practice of that Science, its Application to Natural Philosophy, the Processes of Manufactures, Metallurgy, and numerous other Arts dependant on the Properties and Habitudes of Bodies, in the Mineral, Vegetable, and Animal Kingdoms. With a considerable number of tables, Expressing the Elective Attractions, Specific Gravities, Comparative Heats, Component Parts, Combinations, and other Affections of the Objects of Chemical Research. Illustrated with engravings. By William Nicholson. In two volumes. ...",William Nicholson,192,33,3,6,2,4,2,0,0,4,2,0,1,0,0,4,4,4,0,6,0,7,2,3,1,0,5,1,3,1,0,3,0,4,9,0,0,0,12,0,2,1,1,1,2,6,2,7,0,1,10,0,3,6,3,1,0,1,9,3,7,1795,1,2,"London : printed for G. G. and J. Robinson, Paternoster-Row, M.DCC.XCV. [1795].",London,583,male,1753,1815,FALSE,"air , and the heavy inflammable air . A coal remains in the retort. ACID OF MOLYBDENA. Molybdena is a substance which greatly resembles plumbago or black lead ; but its texture is scaly, and it is not easily pulverised, on account of a degree of flexibility which its lamine"
1063600100_000008,"Analysis of a course of lectures in natural and experimental philosophy. Viz. 1. Properties of matter, 2. Mechanics, 3. Chemistry, 4 & 5. Pneumatics, 6. Hydrostatics, 7. Electricity, 8. Electricity, 9. Optics, 10. Use Of The Globes, 11 & 12. Astronomy, &c. By A. Walker.",Adam Walker,182,17,6,11,1,0,7,2,1,3,5,3,6,0,0,6,2,2,0,9,2,10,3,1,0,0,2,0,13,2,0,1,0,2,4,2,3,2,3,2,0,2,1,0,1,0,1,5,0,8,2,0,2,2,0,1,1,7,3,3,10,1799,1,1,"[London] : Sold by the author, [1799?].",London,88,male,1730,1821,FALSE,"pow, * der, and put, it into a long lecked bottle, and the bottle into a crucible filled witl dry sand then place the crucible in a gradual fire, till the whole becomes red hot, and jkeep it so aln hour, or till a weak tulphurbus flame 23 3 .has"
0029600900_000016,"An account of the nature and medicinal virtues of the principal mineral waters of Great Britain and Ireland; and those most in repute on the continent. To which are prefixed directions for impregnating water with fixed air, in order to communicate to it the peculiar Virtues of Pyrmont Water, and other Mineral Waters of a similar Nature, extracted from Dr. Priestley's Experiments on air. With an appendix, Containing a Description of Dr. Nooth's Apparatus, with the Improvements made in it by others. And a Method of Impregnating Water with Hepatic Air, so as to imitate the Aix-la-Chapelle and other Sulphureous Waters. By John Elliot, M.D.","Elliot, John, Sir",175,17,1,3,1,1,1,0,0,1,1,4,5,2,1,7,3,3,0,6,0,1,2,0,1,0,6,1,3,4,4,0,2,0,2,4,0,0,11,1,3,3,0,2,4,7,1,13,3,1,3,4,0,1,2,0,2,2,9,1,15,1789,1,1,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, MDCCLXXXIX. [1789].",London,301,male,1736,1786,FALSE,"VEGETABLE ALKALI precipitates all earths , except barytes and metals . M. de Fourcroy recommends it to be perfectly pure , or caustic; but observes, that it will in that state precipitate any less soluble neutral fait with an alkaline base. VOLATILE ALKALI . This, if perfectly pure , decomposes"
0205301701_000051,"Synopsis of the natural history of Great-Britain and Ireland. Containing a systematic arrangement and concise description of all the animals, vegetables, and fossils, which have hitherto been discovered in these Kingdoms. By John Berkenhout, M.D. Being a third edition of the Outlines, &c. corrected and considerably enlarged. ... . Comprehending the animal and fossil Kingdoms.","Berkenhout, John",185,20,2,7,1,1,0,0,1,3,3,4,3,4,1,5,2,8,0,12,0,3,5,2,1,0,1,1,6,5,5,0,2,0,2,7,2,0,2,0,0,2,1,1,1,3,2,12,1,1,1,2,0,2,0,4,3,4,9,3,12,1795,1,2,"London : printed for T. Cadell, and sold by T. Cadell, junior, and W. Davies, (successors to Mr. Cadell) in the Strand, MDCCXCV. [1795].",London,342,male,1730,1791,FALSE,"4, Granatus. Garnet. Diaphanous, dark bluifh red , Ipherical, with an indeterminate number of tacets, or fides, containing a small portion R 4 of 247 of iron or tin . Frequent, though fnmal in micaceous stones, particularly in Scot * Cost on .Cronji. 84 Wall. vol. I. 223 5 Basaltes"
0185100203_000030,"Elements of natural history, and of chemistry: being the second edition of the elementary lectures on those sciences, first published in 1782, and now greatly enlarged and improved, by the author, M. de Fourcroy, Doctor of the faculty of medicine at Paris, of the Royal academy of sciences, &c. &c. &c. Translated into English. With occasional notes, and an historical preface, by the translator. ...","Antoine François, comte de Fourcroy",228,25,2,6,1,0,4,0,6,5,2,2,0,0,3,2,1,1,1,11,1,4,1,0,1,0,4,25,6,1,1,0,7,8,16,1,0,0,17,2,0,2,1,1,1,6,3,10,1,0,9,1,1,1,0,0,0,1,15,1,7,1788,3,4,"London : printed for G. G. J. and J. Robinson. Pater-Noster-Row, MDCCLXXXVIII. [1788].",London,517,male,1755,1809,FALSE,"this experiment , made with the greatest accuracy, that Mr. Lavoisier has succeeded in proving the composition of the nitrous acid , as we have observed in the history of that saline fubltance, Mercurial nitre becomes yellowish on exposure to air , and is very slowly decomposed. It is soluble"
1743300202_000065,An introduction to natural philosophy. Illustrated with copper plates. By William Nicholson.,William Nicholson,147,7,5,2,1,0,1,0,4,3,4,2,5,1,0,2,1,1,0,5,1,5,2,0,0,2,2,7,11,1,1,1,0,2,3,2,1,0,5,0,1,3,2,0,6,2,2,0,3,15,4,0,1,7,0,1,0,0,3,3,4,1796,2,2,"London : printed for J. Johnson, No. 72, St. Paul's Church-Yard, MDCCXCVI. [1796].",London,394,male,1753,1815,FALSE,"For by dropping the solution of silver in nitrous acid into such waters , a cloud, of a curd like appearance , will be immediately formed by the combination of the calx L of hiver \vith the marine acid , if present. This property also affords a method of purifying"
1389000100_000303,"A System of chemistry: comprehending the history, theory, and practice of the science, according to the latest discoveries and improvements. Illustrated with copper plates.",Thomas Dobson,165,28,1,2,1,4,0,0,0,4,2,2,1,1,3,2,2,1,1,4,1,1,0,2,1,3,1,1,7,2,0,1,0,2,6,3,4,0,9,0,2,1,1,1,2,7,1,3,1,0,10,3,0,1,7,9,0,3,6,2,2,1791,1,1,"[Philadelphia] : Extracted from the American edition of the Encyclopedia now publishing, by T. Dobson, at the stone-house, in Second-Street, Philadelphia, MDCCXCI. [1791].",Philadelphia,274,male,1751,1823,FALSE,"of sorrel, 2d 903 Aicid of apples kcalies of all kinds whether fixed, vo rays, 95 His lighte blkens ec quanltityt of dilatationl of Spirit of procured from sugar by maeins of latile, or phlogifticated, as well as by precipitates of fedutiori of fil er, atitre, 425 Solution of mercury"
