PassageID,Title,Author,Total termFreq,termFreq(church),termFreq(civil),termFreq(conscienc),termFreq(equiti),termFreq(exercis),termFreq(fear),termFreq(god),termFreq(govern),termFreq(law),termFreq(mind),termFreq(opinion),termFreq(ought),termFreq(passion),termFreq(peac),termFreq(persecut),termFreq(pretenc),termFreq(pretend),termFreq(privat),termFreq(public),termFreq(reason),termFreq(religion),termFreq(soul),termFreq(state),termFreq(toler),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0319200102_000201,The works of Iohn Locke in four volumes Volume I.,John Locke,48,5,8,0,1,0,1,4,1,3,0,0,3,1,2,1,3,2,0,2,1,5,4,0,1,1768,2,4,"London : printed for H. Woodfall, A. Millar, I. Beecroft, I. and F. Rivington, I. Whiston S. Baker, T. Payne, L. Davis and Co. R. Baldwin, Hawes Clarke and Collins, B. White, W. Iohnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, I. Shuckburgh, and T. Cadell. [and 18 others in London], MDCCLXVIII. [1768].",London,714,male,1632,1704,TRUE,"let iich a one talk ever so much of the church , he plainly demonstrates by his actions, that it is another kingdom he aims at, and not the advancement of the kingdom of God . THAT' any man should think fit to cause another man, vwhole salvation lie heartily"
1645703300_000005,"A sermon against persecution on account of religion: Preached before His Grace Charles Duke of Grafton, Lord Lieutenant: and the Rt. Honble. the House of Lords of Ireland; in Christ's-Church, Dublin: on Monday, October, the 23d. 1721. Being an anniversary day of Thanksgiving appointed by act of Parliament, for the deliverance vouchsafed by almighty God to the protestants of this kingdom, in the year 1641. By Edward, lord archishop of Tuam. Published by order.",Edward Synge,56,1,3,3,0,2,0,4,1,11,0,1,2,0,4,3,2,0,1,3,1,10,0,3,1,1721,1,1,"Dublin : Printed by J. Carson, for Jer. and Sil. Pepyat in Skinner Row, booksellers, MDCCXXI. [1721].",Dublin,30,male,1659,1741,FALSE,"Dcree of the Council of Lateran, has all thle Force that any Law of the church of n.mre can hiate; Ibeing; supported jy there Authiority of an approvcclge nieral coulc~il, II · taklen into the rnoft Authenrickr part of thle Popes Canon Law C E.: comrmu~iniuma Le we Mre: cis,"
0907101000_000011,"The case of toleration consider'd with respect both to religion and civil government, in a sermon preach'd in St. Andrew's, Dublin, before the honourable House of Commons; on Saturday, the 23d of October, 1725. Being the anniversary of the Irish rebellion. By Edward Synge, M. A. Prebendary of St. Patrick's, Dublin; and Chaplain to his Excellency, the Lord Lieutenant. Published by Order of the House of Commons.","Synge, Edward",52,0,4,5,0,1,0,2,2,1,0,8,2,0,1,2,1,1,0,4,7,6,0,2,3,1726,1,1,"Dublin : printed by A. Rhames, for Robert Owen, Bookseller in Skinner-Row, MDCCXXVI. [1726].",Dublin,40,male,,,FALSE,"Limitation be for the Public -- *~- ~ Good I 223 Good: And by doing this, he injures no Man, because he deprives no Man of anything, to which he has, properly speaking, a Right. But every Man whose Principles in Religion do not tend tohurt the Public , has"
0266800100_000073,"A vindication of the rights and privileges of the Christian church. In which are Defended The Divine Charter of its Incorporation. The Divine Institution of its Ministry. Its Authority in Ordination, Discipline and Censures. And the Consistency of all these with the Supremacy of the Civil Magistrate. In answer to a late book intitul'd The rights of the Christian Church asserted, &c. By John Turner, D. D. Vicar of Greenwich, and Chaplain to the Right Honourable the Earl of Scarbrough.","Turner, John",51,3,1,2,0,0,2,4,3,4,0,2,0,0,0,8,1,1,1,1,3,8,1,3,3,1707,1,1,"London : printed for John Wyat, at the Rose in St. Paul's Church-Yard, 1707.",London,317,male,1660,1720,FALSE,And if the Persons so Favoured and Spared can be content to enjoy their Private Sentiments to themselves: this I think will effectually prevent all Cruelty and Persecution . But ifperfons of a Different Religion from that Eftablifl'd in any Country shall think themselves under an Indispensable Obligation of Conscience
0256200102_000184,The works of John Locke Esq; In three volumes. ... With alphabetical tables. ...,John Locke,45,5,7,0,1,0,1,4,1,3,0,0,3,1,2,1,3,2,0,1,1,5,3,0,1,1727,2,3,"London : printed for Arthur Bettesworth; Edmund Parker; John Pemberton; and Edward Symon, 1727.",London,676,male,1632,1704,TRUE,"to such Iniquities and Immoralities as are unbecoming the Name of a Christian, let such a one talk never so much of the Church he plainly demonstrates by his Ations, that tis another Kingdom he aims at, and not the Advancement of the Kingdom of God . That any Man"
0746000100_000036,"Tracts on the liberty, spiritual and temporal, of Protestants in England. Addressed to J.N. Esq; at Aix-la-Chapelle. In two parts. By Anthony Ellys, D. D. Late Lord Bishop Of ST. David's.",Anthony Ellys,57,5,6,0,0,1,2,4,1,8,0,2,9,1,2,1,0,1,1,3,4,4,0,1,1,1767,1,1,"London : printed for J. Whiston at Boyle's Head in Fleet-Street; B. White at Horace's Head in Fleet-Street; and S. Hooper at the East Corner of the New Church in the Strand, MDCCLXVII. [1767].",London,585,male,1690,1761,FALSE,"as being generally useful, and even sometimes necessary to preserve the purity, credit, order, and peace of such a society as the church of Christ. And, therefore, the governors of it in every age are authorised to exercise , in a proper way, this method of discipline. They may, if"
0691303000_000003,"A letter concerning toleration. By John Locke, Esq.",John Locke,48,4,8,0,1,0,1,4,1,3,2,0,2,0,2,1,3,2,0,2,1,6,4,0,1,1796,1,1,"Huddersfield : printed for the editor, by J. Brooke, 1796.",Huddersfield,71,male,1632,1704,TRUE,"and conform to this or that exterior worship, without any regard had to their morals; if any one endeavour to convert those that are erroneous unto the faith, by forcing them to profess things that they do not believe, and allowing them to pratife things that the gospel does not"
0498300300_000012,"The state-Anatomy of Great Britain. Containing a particular account of its several interests and parties, their bent and genius; and what each of them, with all the rest of Europe, may hope or fear from the Reign and Family of King George. Being a memorial Sent by an intimate friend to a Foreign Minister, lately nominated to come for the Court of England.",John Toland,58,6,2,16,1,2,0,0,3,1,0,2,1,0,0,0,1,1,2,2,2,12,0,2,2,1717,1,1,"London : printed for John Philips, and sold by J. Brotherton at the Black Bull in Cornhill, and J. Roberts, at the Oxford-Arms in Warwick-Lane, [1717].",London,113,male,1670,1722,TRUE,"under the next Head speak of them by themselves. You are also so intimately skilled in the nature of Society, and so great a lover of Order, that you like us not the worse for having a National Church : nay, I dare promise for you, that you'll own no"
0038500700_000004,"The palladium of Great Britain and Ireland. Or historical strictures of liberty, from before the reformation down to the present times. Which prove, to whom and to what it has chiefly owed its origin and preservation, in these islands.",Caleb Fleming,45,1,4,1,0,2,0,4,2,3,0,3,1,0,1,1,0,1,1,2,3,6,2,4,3,1762,1,1,"London : printed for C. Henderson, under the Royal-Exchange; and T. Becket and P. A. de Hondt, in the Strand, M.DCC.LXII. [1762].",London,174,male,1698,1779,FALSE,"the human soul , it will be beneficial to mankind. - Nevertheless, this is pretended , supposed, or taken for granted, even in the political or civil church eftablilhment. b4 SECT. SECT. II Religion demands an unzlimited Tloleration T HE trite and stale argument brought T again if an universal"
0297300106_000098,"The works of the late reverend and learned Isaac Watts, D.D. published by himself, and now collected into six volumes. In which are also inserted the second part of the Improvement of the mind, An essay on education, and some additions to his Miscellaneous thoughts in prose and verse. Now first published from his manuscripts, and, the Direction of his Will, revised and corrected by D. Jennings, D.D. and the late P. Doddridge, D.D. ...",Isaac Watts,79,0,6,9,0,2,0,10,5,0,0,1,0,0,5,2,3,0,0,4,6,17,0,6,3,1753,6,6,"London : printed for T. and T. Longman at the Ship, and J. Buckland at the Buck, in Pater-Noster-Row; J. Oswald at the Rose and Crown in the Poultry; J. Waugh at the Turk's-Head in Lombard-Street; and J. Ward at the King's-Arms in Cornhill, MDCCLIII. [1753].",London,869,male,1674,1748,TRUE,"sufficient evidence that it does not come from God , who is the original author and supreme guardian of the natural rights of his creatures: Nor will any wise and righteous government indulge such mischievous pretences of conscience or divine revelation, though in any other cafe, I see not that"
0176901000_000011,"The state-Anatomy of Great Britain. Containing a particular account of its several interests and parties, their bent and genius; and what each of them, with all the rest of Europe, may hope or fear from the reign and family of King George. Being a memorial sent by an intimate friend to a foreign minister, lately nominated to come for the court of England.",John Toland,56,6,1,13,1,2,0,0,2,1,0,2,1,0,0,1,0,1,2,4,2,13,0,2,2,1717,1,1,"London : printed for John Philips; and sold by J. Brotherton, and P. Meadows, at the Black Bull in Cornhill, and J. Roberts in Warwick-Lane, [1717].",London,111,male,1670,1722,TRUE,"storm.. they had been less staunch for the persons or the catse aforesaid.: and tis (as I fid above bs the Whigs no finall honour to.the Dissenters, that,. from. the vrry, beginning, they have been ever mortally hated by thepopifh fahtion nnr, der all flapes; and that not one of"
0556900700_000011,"The case of toleration consider'd with respect both to religion and civil government, in a sermon preach'd in St. Andrew's, Dublin, before the Honourable House of Commons; on Saturday, October 23. 1725. Being the Anniversary of The Irish Rebellion. By Edward Synge, M. A. Prebendary of St. Patrick's, Dublin; and Chaplain to his Excellency, the Lord Lieutenant. Published by Order of the House of Commons.","Synge, Edward",51,0,4,3,0,1,1,1,2,1,0,8,2,0,1,1,1,1,0,3,7,7,0,3,4,1726,1,1,"London : printed for R. Williamson, near Grays-Inn-Gate in Holbourn, MDCCXXVI. [1726].",London,71,male,,,FALSE,"Magistrate has in such a Cafe no Power over Mens Opinions , yet he has one over their Professions and Atlions, is absurd, because these Professions and Actions, the Opinions being suppose, are commonly necessary, and their Duty. And therefore, a Liberty ofcon science, i. e. of Opinion , without"
0436300100_000104,"Fifty two practical discourses on several subjects. Six of which were never before published. By Richard Fiddes, D. D. Rector of Halsham, and Chaplain to the Right Honourable Robert Earl of Oxford and Earl Mortimer.",Richard Fiddes,41,6,3,6,0,1,0,1,3,2,0,1,2,0,1,2,1,1,0,3,1,3,0,3,1,1720,1,1,"London : printed for John Wyat in St. Paul's Church-Yard, Benjamin Tooke in Fleetstreet, John Barber on Lambeth-Hill, and H. Clements in St. Paul's Church-Yard, MDCCXX. [1720].",London,665,male,1671,1725,FALSE,"the Cause of Truth and Piety to the Iniquity of the Times: If, I say, the Virtue of Moderation lies in these Things; there is no TRUE Son of the Church of England, but ought to glory in having the Want of this Virtue imputed to him. But if by"
0211200404_000033,"The philosophical dictionary: or, the opinions of modern philosophers on metaphysical, moral, and political subjects. In Four Volumes. ...","Swediauer, F. (Franz)",48,0,3,3,0,1,0,1,2,2,0,8,5,0,4,2,2,0,0,3,1,5,0,2,4,1786,4,4,"London : printed for G. G. J. and J. Robinson; and for C. Elliot, Edinburgh, M,DCC,LXXXVI. [1786].",London,388,male,1748,1824,FALSE,"intellecual faculties, and the force of the natural propensities of each individual; and he alone is the only judge how far any person is in a wilful error. But it is unqueffionably the duty and interest of mankind, instead of polluting their principles, and provoking their opponents, by calumnies and"
0410200900_000072,"The blessings of Christian philosophy; being a treatise on the beatitudes. In a familiar dialogue between doctor and parishioner. By Arthur St. George, D.D.","St. George, Arthur           1772",54,4,8,2,0,1,1,3,5,4,0,0,0,0,2,3,0,1,2,2,1,6,0,8,1,1738,1,1,"London : printed for W. Innys and R. Manby, at the West-End of St. Paul's, MDCCXXXVIII. [1738].",London,374,unknown,,,FALSE,"the least Obstacle against it. If God then commands us to fugmit patient. ly to the Persecutions of the World, which despoil us of our Substance, we mufl not think our Cafe hard, because it is his Will to have it io; and if ours is the Kingdom of Heaven"
0700700100_000879,"Of the law of nature and nations. Eight books. Written in Latin by the Baron Puffendorf, Counsellour of State to His late Swedish Majesty, and to the late King of Prussia. Done into English by Basil Kennet, D. D. late President of Corpus Christi College in Oxford. The third edition: carefully corrected, with two tables. To which are now added all the large notes of Mr. Barbeyrac, translated from his last edition; printed at Amsterdam, in 1712.",Samuel von Pufendorf,48,1,8,0,1,0,2,4,2,3,3,0,3,2,0,0,3,2,0,2,1,6,2,1,2,1717,1,1,"London : printed for R. Sare, R. Bonwicke, T. Goodwyn, J. Walthoe, M. Wotton, S. Manship, R. Wilkin, B. Tooke, R. Smith, T. Ward, and W. Churchill, 1717.",London,939,male,1632,1694,TRUE,"Death, and each by his own Right, separately and independently enjoyed (); the Consequence must be not only that the Subjecs, though' innocent, may be justly punished,. but allb that the State must fink into an irregular System, a Monster with two Heads. For neither can any Man serve two"
0901000700_000007,"A review of a late publication, intitled, A compendious view of the religious system maintained by the synod of Relief, &c. By Patrick Hutchison, A. M. Minister of the Gospel in St. Ninians. Containing A Defence of the Secession against the Charges exhibited by said Author, on the articles of Intolerant Principles, Promiscuous hearing, and Unscriptural Terms of Communion. And A Further Display of the Relief-Scheme, particularly in relation to the Spirit and Constitution, Doctrine and Communion of the Relief Church. Together with a few observations in vindication of the Relief scheme considered. By James Ramsay, Minister of the Gospel in Glasgow.","Ramsay, James",34,2,3,2,0,2,0,4,1,1,1,2,2,0,1,1,1,0,1,1,1,2,0,2,4,1779,1,1,"Glasgow : printed by John Bryce; and sold by him at his shop, Salt-Market, and by Robert Inglis, Potter-Row, Edinburgh, and other booksellers, M,DCC,LXXIX. [1779].",Glasgow,88,unknown,,,FALSE,"no objection to these several heads marking our further progress in this review. On the F I RST of these heads, our authoris at great pains in dressing a man of straw; and when he has got him properly attired, and set in the mos firiking attitude, he falls a"
0050700100_000959,"Of the law of nature and nations. Eight books. Written in Latin by the Baron Pufendorf, Counsellor of State to his late Swedish Majesty, and to the late King of Prussia. Done into English by Basil Kennett D. D. late President of Corpus Christi College in Oxford. To which are added all the large notes of Mr. Barbeyrac, translated from the best edition; Together with Large tables to the Whole. The fourth edition, carefully corrected. To which is now prefixed Mr. Barbeyrac's prefatory discourse, containing An Historical and Critical Account of the Science of Morality, and the Progress it has made in the World, from the earliest Times down to the Publication of this Work. Done into English by Mr. Carew of Lincoln's-Inn.",Samuel von Pufendorf,44,0,9,0,1,0,1,3,3,3,1,1,3,1,0,1,3,2,0,2,1,5,2,0,2,1729,1,1,"London : printed [by S. Aris] for J. Walthoe, R. Wilkin, J. and J. Bonwicke, S. Birt, T. Ward, and T. Osborne, MDCCXXIX. [1729].",London,1011,male,1632,1694,TRUE,"So likewise, if you conifitute any Per must fink into an irregular System, amonfler fobnfor the chief Management of Bufinei, and with two Heads. For neither can any Man do not, at the same time, empower him to ap ferie two Masters, nor, in the Cafe before us, point inferior"
0309102000_000018,"A letter concerning toleration. By John Locke, Esq.",John Locke,51,5,7,2,0,0,0,1,3,3,1,2,1,0,1,1,2,0,2,2,1,11,0,1,5,1800,1,1,"London : printed by J. Crowder, Warwick-Square, for J. Johnson, in St. Paul's Church-Yard, 1800.",London,142,male,1632,1704,TRUE,"away of God , though but even in thought, dissolves all. Besides also, those that by their atheism undermine and destroy all religion , can have no pretence of religion whereupon to challenge the privilege of a toleration . As for other practical opinions , though not absolutely free from"
1032200400_000025,A collection of the occasional papers for the year 1716. With a preface.,,38,2,2,1,0,0,1,1,4,1,0,2,0,0,4,3,1,1,0,2,1,2,2,4,4,1716,1,1,"London : printed for J. Knapton, at the Crown in St. Paul's Church-Yard; J. Harrison under the Royal Exchange; and A. Dodd, without Temple-Bar, 1716 [1718].",London,303,unknown,,,FALSE,"to frustrate their Intention, the Magiftrace finds, he can never be sure; and that such a Person cannot give Security to the Government , this way, that may be depended upon. While a Protestant has nothing in his Principles that Thould hinder him from being a good Subject in any"
0770200600_000005,"The establishment of the church, the preservation of the state: Shewing the Reasonableness of a Bill against Occasional Conformity.",,46,7,1,4,1,0,0,1,6,3,2,4,3,0,1,1,2,0,1,2,2,2,1,2,0,1702,1,1,"London : printed and sold by J. Nutt near Stationers Hall, 1702.",London,26,unknown,,,FALSE,"isi not a Paffini in human Nature, though' never so extravagant and wild, but mat at this rate justify its Licentiousness and Ferity. The Ab Were every Man allowed the Liberty of Li furditi.y o ving according to his own Opinion , this would Iibr' certainly produce as great variety"
0620200700_000015,"Discourses preached on several occasions. By Tho. Sherlock, D. D. Late Lord Bishop of London. Vol. V.",Thomas Sherlock,51,1,4,10,0,2,0,1,2,1,0,2,3,0,2,1,1,1,2,2,2,12,0,2,0,1775,1,1,"London : printed for T. Davies, in Russel-Street, Covent-Garden, and L. Davis, in Holborn, MDCCLXXV. [1775].",London,377,male,1678,1761,FALSE,"this Queftlon of the Magistrate's Right, it matters not what a Man's Opinions are, or how well or how ill a Man's. Conscience Conscience is informed: For thus much is certain, that the Magistrate has no Right to punish Men for the Mistakes in their judgement, or the Errors of"
1567100100_000098,"Practical discourses on several subjects. By Richard Fiddes, rector of Halsham, in Holderness, in the county of York.",Richard Fiddes,47,7,3,7,0,1,1,0,2,0,0,1,4,0,2,2,2,1,0,4,4,1,0,4,1,1713,1,1,"London : Printed by J.R. for John Wyat, at the Ross in St. Paul's Church-Yard: and H. Banks at the Golden Key against St. Dunstan's Church in Fleetstreet, MDCCXIII. [1713].",London,400,male,1671,1725,FALSE,"so highly criminal in itself; but much more, when Men, to serve a Turn, bind themselves to it by solemn Tests, against the dire&t Intention and Reason of them. I know Discourses of this Nature are apt to bring: us under the Sulpicion of a perfecutmng Spirit, and Want of"
0970200103_000123,"A system of divinity and morality; in a series of discourses on all the essential parts of natural and revealed religion: compiled from the works of Atterbury, Balguy, Barrow, Bentley, Beveridge, Blackhall, Bundy, Burnet, Ben. Calamy, Clagett, Clarke, Dorrington, Gibson, Goodman, Hickman, Hole, Hopkins, Hort, Jackson, Ibbot, Littleton, Lupton, Moore, Moss, Pearson, Rogers, Sharp, Synge, Stanhope, Stillingfleet, Tillotson, Wake, And others. To which are added, some occasional discourses. The whole revised and corrected by Ferdinando Warner, LL.D. In four volumes. ...",Ferdinando Warner,52,1,2,12,0,1,0,8,3,2,2,1,2,4,3,2,2,1,0,1,3,2,0,0,0,1765,3,4,"London : printed for J. Moore; and R. Baldwin, and Hawes, Clarke and Collins in Pater-Noster-Row, 1765.",London,479,male,1703,1768,FALSE,"the Jews ignorantly crucified Christ, yet St. Peler exhorts them to a particular and deep repentance for it, as necessary to pardon and forivenefs. "" I wot, says he, that through' ignorance ye did it, as did also your rulers, therefore repent ye, and be converted, that your sins may"
