PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(acr),termFreq(appear),termFreq(belong),termFreq(brought),termFreq(cafe),termFreq(charg),termFreq(church),termFreq(common),termFreq(counti),termFreq(court),termFreq(daughter),termFreq(debt),termFreq(deed),termFreq(devis),termFreq(enter),termFreq(estat),termFreq(execut),termFreq(executor),termFreq(father),termFreq(field),termFreq(gave),termFreq(gener),termFreq(god),termFreq(grant),termFreq(ground),termFreq(hall),termFreq(hand),termFreq(heir),termFreq(held),termFreq(hold),termFreq(hous),termFreq(king),termFreq(laid),termFreq(land),termFreq(law),termFreq(life),termFreq(manor),termFreq(monei),termFreq(paid),termFreq(pass),termFreq(peopl),termFreq(person),termFreq(purchas),termFreq(rent),termFreq(sea),termFreq(sever),termFreq(statut),termFreq(taken),termFreq(tax),termFreq(tenant),termFreq(tenement),termFreq(term),termFreq(town),termFreq(valu),termFreq(water),termFreq(wife),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1413400107_000284,"Reports of cases, upon appeals and writs of error, in the High Court of Parliament; from the year 1701, to the year 1779. With tables, notes, and references. By Josiah Brown, Esq. Barrister at Law.",Great Britain. Parliament. House of Lords,80,1,2,0,2,1,3,1,0,2,0,5,0,1,0,2,0,1,0,1,2,0,0,0,0,2,2,1,1,3,3,0,1,2,2,4,1,2,2,3,2,0,0,3,1,3,0,3,9,1,2,0,0,0,0,0,0,1,2,1784,7,7,"Dublin : printed by E. Lynch, No. 6, Skinner-Row, and in the Four Courts, MDCCLXXXIV. [1784].",Dublin,659,unknown,,,FALSE,"for he husband for life , then to the wife for life , and after both their deaths, for the children of the marriage equally, at their agts of 21, happening after the death of the father and mother, There was issue only one son, who attained 21, 21, and"
0231600100_000201,"Precedents in Chancery: being cases argued and adjudged in the High Court of Chancery, In the Reigns of King William the Third, Queen Anne, and the first Eight Years of King George the First, viz. from 1689 to 1722. By a late careful and judicious hand.",Great Britain. Court of Chancery,113,1,0,0,2,0,0,2,0,4,0,2,6,3,2,5,2,8,0,2,3,0,0,1,0,2,0,5,1,12,2,0,1,0,0,5,6,4,0,2,3,0,0,8,1,0,0,3,3,0,0,7,0,3,0,0,0,2,0,1750,1,1,"[London] : In the Savoy: printed by Henry Lintot, Law-Printer to the King's most Excellent Majesty; and sold by J. Worrall, at the Dove in Bell-Yard, near Lincoln's Inn, MDCCL. [1750].",London,635,unknown,,,FALSE,"Court of Equity, pay off a Mortgage, and the Interest of any other real Encumbrance 137 A Guardian suffered a Dowrcfs to recover at Law , by not setting up a Term , which was created for protecting a Purchafor, and the Infant was relieved 151 Father , Guardian by"
0836700201_000302,"A new and complete law-dictionary, or general abridgment of the law, on a more extensive plan than any law-dictionary hitherto published: ... By T. Cunningham, Esq; The second edition, corrected. In two volumes. ...",Timothy Cunningham,133,0,2,0,1,3,0,5,0,3,0,0,0,6,0,3,4,7,2,3,9,0,0,0,0,2,0,11,6,23,0,3,0,0,0,13,7,3,1,1,0,0,0,0,3,2,0,1,0,1,0,3,4,0,0,1,0,0,0,1771,1,2,"London : printed by his Majesty's law printers, for W. Flexney; G. Kearsly; J. and F. Rivington; T. Longman and Robinson and Roberts, 1771.",London,896,male,,1789,FALSE,"that he had lands , tenements or hereditaments, from his ancestor before the original writ brought or bill filed; and if upon issue joined it be found for the plaintiff, the jury shall inquire of the value of the lands descended, and thereupon judgement shall be given and execution awarded;"
0231600200_000210,"Precedents in Chancery, being a collection of cases, argued and adjudged in the High Court of Chancery; from the year 1689, to 1722.",Great Britain. Court of Chancery,86,1,0,0,0,2,3,1,1,0,1,1,3,3,3,5,0,2,1,6,1,0,1,0,0,1,0,0,0,10,1,2,0,0,0,8,3,3,0,2,1,0,0,1,5,0,1,3,1,0,0,2,0,2,0,0,0,4,1,1733,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Arthur Bettesworth, and Charles Hitch, at the Red-Lyon in Pater-Noster Row, M,DCC,XXXIII. [1733].",London,644,unknown,,,FALSE,"his said two Daughters , and his four younger Children; yet A. and B. electing to have the Benefit of the Settlement and Bond decreed for them, and an Account of the Profits from the Date of the Settlement, and Ioool. with Interest from the Time it was payable by"
0598100102_000072,"A new abridgment of the law. By Matthew Bacon, of the Middle Temple, Esq; The fourth edition, corrected; with many additional notes and References of and to Modern Determinations. ...",Matthew Bacon,123,0,2,1,0,0,2,0,0,1,1,0,2,2,0,15,0,5,0,0,1,0,1,0,0,0,0,0,0,9,2,1,2,2,0,29,2,6,3,1,1,6,0,1,2,1,0,3,0,0,0,3,3,1,0,1,0,3,8,1778,2,5,"London : printed by W. Strahan and M. Woodfall, Law-Printers to his Majesty: for C. Bathurst W. Strahan, J. F. and C. Rivington, P. Uriel, W. Owen, B. Law, B. White, T. Caslon, T. Longman, W. Stuart, W. Flexney, T. Payne, T. Cadell, G. Robinson, W. Cater, W. Fox, J. White, J. Johnson, E. Brooke, and T. Whieldon and Co. MDCCLXXVIII. [1778].",London,768,male,,,FALSE,"the Words , And all my Lands ; because that these Words might well be satisfied by the Lease for Years of Land which passed by it. Abr. Eq. z09, A. devised in the following Manner: I make mine Niece Executrix of all my 21o. Goods, Lands and Chattels; the"
0836600301_000280,"A new and complete law-dictionary, or, general abridgment of the law: on a more extensive plan than any law-dictionary hitherto published. ... By T. Cunningham, ... In two volumes.",Timothy Cunningham,103,1,0,0,1,4,0,3,0,2,0,1,2,3,0,1,3,8,2,5,7,0,0,0,0,1,0,2,5,16,1,0,0,0,0,7,5,1,0,0,0,0,0,1,1,2,0,2,0,2,1,2,4,2,0,2,0,3,0,1783,1,2,"London : printed for J. F. and C. Rivington, T. Longman, S. Crowder, G. Robinson, W. Flexney, R. Baldwin, and W. Fox, 1783.",London,865,male,,1789,FALSE,"time of the original writ brought , or the bill filed; the C vifc of a .erm, or whether the assent of the executrix and the plaintiff may reply, that he had lalds, tenements , hitrf, tholghi an infant, was necessary? The Chief Jus or hereditaments from his ancestor, before"
1067405700_000003,"An act for vesting certain lands and hereditaments, part of the settled estate of Valentine Knightley, Esquire, in the county of Northampton, in the said Valentine Knightley, and his heirs; and for settling other estates, in the same county, of greater value, in lieu thereof.",Great Britain. Parliament,86,0,2,0,1,0,0,4,0,1,4,0,2,1,1,2,0,5,0,0,1,2,2,2,0,0,3,0,0,4,0,1,1,0,5,8,0,3,6,0,0,0,0,2,6,4,0,2,0,1,0,0,4,1,2,2,1,0,0,1753,1,1,"[London, 1753].",London,12,unknown,,,FALSE,"known by the Name or Names of the Great Ground , or Barn Ground , lying on Holwell Brook Side, containing by Eftimaion ninety four Acres , be the same more or less; and also all that other Close of Paftwue or Mea dow ground in Great Houghton aforesaid, called"
0638300103_000537,"A compleat body of conveyancing, in theory and practice. In two parts. ... Collected by Edward Wood, gent. deceased. The whole digested in a method intirely new, ... by John Salthouse, ...","Wood, Edward, conveyancer",106,1,0,0,3,0,3,1,1,3,0,5,0,1,10,0,3,5,1,1,0,0,0,2,0,2,1,0,1,3,0,0,0,1,0,11,4,2,2,1,3,1,0,11,1,0,2,0,2,4,0,4,1,2,0,0,0,1,6,1749,3,3,"[London] : In the Savoy: printed by Henry Lintot, for J. Worrall, 1749.",London,660,male,,,FALSE,"2 rt ac. C C 2 3llftalt, in the Law , significs a Person under the Age of one and twenty, the Ats of whom are in many Cafes void, or voidable: As where an Infant within Age executes a Deed , though afterwards he delivers it again at full"
0932000104_000026,"Ecclesiastical law. By Richard Burn, LL. D. Chancellor of the Diocese of Carlisle, and Vicar of Orton, in the County of Westmorland. The Fifth Edition. In Four Volumes. ...",Richard Burn,113,1,0,0,0,0,5,0,0,1,0,4,0,1,1,10,0,10,3,3,0,0,0,2,1,1,0,4,3,8,4,0,0,0,2,13,0,2,4,5,1,2,0,7,0,1,0,1,6,1,0,0,4,1,0,0,0,0,1,1788,4,4,"London : printed by A. Strahan and W. Woodfall, Law-Printers to the King's most Excellent Majesty ; for T. Cadell, in the Strand, MDCCLXXXVIII. [1788].",London,531,male,1709,1785,FALSE,"fettled and invested on him that had the uses, for such term and time as he had.the use. Bac. 153, 154 And by this statute of the 27 H. 8; the power of disposing land by will, is clearly taken away amongst those frauds: whereupon in the 32 H. 8"
1066300400_000111,"The common law common-plac'd: containing, the substance and effect of all the common law cases, ... collected as well from abridgments as reports, in a perfect new method. ... The second edition, with very large additions. By Giles Jacob, Gent.",Giles Jacob,92,1,0,2,1,0,4,0,0,2,1,1,0,3,3,2,1,0,0,2,2,0,0,0,0,2,0,4,2,6,2,2,0,0,0,13,8,2,0,0,1,0,0,2,1,3,0,0,2,1,0,3,4,1,0,1,0,6,1,1733,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for F. Clay; and H. Lintot, 1733.",London,413,male,1686,1744,FALSE,"Garnilhee be returned Scire feci, and make Default, Judge Ran. 213 met shall be had to recover the Writings, and Delivery against the Defendant but no Damages againfr the Garnilhee, before he appear and plead. If the Garnilhee appears and pleads, and the Plaintiff re brown.t4ij covers, he thall have"
0526700100_000058,"Every man his own lawyer: or, a summary of the laws of England in a new and instructive method, under the following Heads, Viz. I. Of Actions and Remedies, Writs, Process, Arrest, and Bail. II. Of Courts, Attornies and Solicitors therein, Juries, Witnesses, Trials, Executions, &c. III. Of Estates and Property in Lands and Goods, and how acquired; Ancestors, Heirs, Executors and Administrators. IV. Of the Laws relating to Marriage, Bastardy, Infants, Edeots, Lunaticks. V. Of the Liberty of the Subject. Magna Charta, and Habcas Carpus Act, and other Statutes. VI. Of the King and his Prerogative, the Queen and Prince, Peers, Judges, Sheriffs, Coronons, Justices of Peace, Constables, &c. Vii. Of publick Offences, Treason, Murder, Felony, Burglary, Robbery, Rape, Sodomy, Forgery, Perjury, &c. And their Punishment. All of them so plainly treated of that all Manner of Persons may be particularly acquainted with our Laws and Statutes, concerning Civil and Criminal Affairs, and know how to defend Themselves and their Estates and Fortunes; In all Cases whatsoever.",Giles Jacob,101,1,0,0,0,0,1,1,0,4,0,0,1,1,6,4,2,8,1,0,3,0,0,2,0,6,0,1,0,10,1,0,0,0,0,17,6,2,2,1,0,2,1,2,4,1,0,1,2,2,0,2,2,0,0,0,0,1,0,1772,1,1,"London : printed by W. Strahan, and M. Woodfall, Law-Printers to the King's Most Excellent Majesty; for W. Strahan, J. Rivington, L. Hawes and Co. R. Horsfield, W. Johnston, T. Caslon, T. Longman, T. Durham, J. Fuller, sen. S. Crowder, and J. Harris. M.DCC.LXXII. [1772].",London,523,male,1686,1744,FALSE,"lands , and though' his father be attainted of treason or felony he shall inherit. Co. Iit. 140 And there is a customary difcent of lands in some ancient boroughs and manors , to the youn. gest son, and sometimes to the eldest daughter , t&c. as in Borough English;"
0172800600_000053,"Every man his own lawyer: or, a summary of the laws of England in a new and instructive method, ...",Giles Jacob,104,1,0,0,0,0,1,1,0,4,0,0,1,1,6,6,2,9,1,0,3,0,0,2,0,6,0,3,0,9,1,0,0,0,0,17,6,2,2,1,0,2,1,1,5,1,0,0,2,2,0,2,2,0,0,0,0,1,0,1757,1,1,"[London] : In the Savoy: printed by Henry Lintot; for C. Hitch and L. Hawes, J. Hodges, J. Fuller, J. Rivington, J. Rivington and J. Fletcher, [and 7 others in London], 1757.",London,481,male,1686,1744,FALSE,"though his Father be attainted of Treason or Felony he hall inherit. Litt. 210 I Int. 140 And there is a Customary Difcent of Lands in some ancient Boroughs and Manors , to the youngest Son, and sometimes to the eldest Daughter , cas in Borough English; and by other"
0231700100_000084,"The grounds and rudiments of law and equity, alphabetically digested: containing a collection of rules or maxims, ... With three tables. ... By a gentleman of the Middle Temple.",Gentleman of the Middle Temple,125,1,0,0,0,1,7,0,0,1,0,5,0,7,4,9,0,4,1,5,2,0,0,1,1,0,0,2,3,16,0,1,1,0,1,13,3,2,0,7,1,0,0,5,1,2,0,1,1,0,0,3,1,0,0,0,0,11,1,1749,1,1,"[London] : In the Savoy: printed by Henry Lintot, (assignee of Edward Sayer, Esq;) for Daniel Browne; Charles Davis; Andrew Millar; and John Whiston, 1749.",London,427,male,,,FALSE,"that he is exjtiiis nuptiis procreatus; for haeres legitimus eft quemn nmp tiae demonflrant, and is he to whom lands , tenements and hereditaments, by the aa of God , and right of blood do descend of some estate of inheritance. Co. Lit. b. 237 b. The forts. 2 There"
0174300102_000329,"The commentaries, or reports of Edmund Plowden, ... containing, divers cases upon matters of law, ... Originally written in French, ... To which are added, The quæries of Mr. Plowden, ... In two parts. With two new tables, ... the one, of the names of the cases, the othe of principal matters.","Plowden, Edmund",115,0,6,0,0,0,2,1,0,1,0,1,0,3,1,1,1,3,3,4,1,0,0,0,2,2,0,7,1,0,1,1,0,7,0,6,4,7,27,0,1,6,0,1,0,2,0,1,1,2,0,3,0,1,0,1,0,0,3,1792,2,2,"Dublin : printed for H. Watts, 1792.",Dublin,737,male,1518,1585,FALSE,"may depend, and what not, 273, 274 522, 523, 524 Where leases made, whilst other leases for life or for the same or a lesser number of years are in being, Shall be good, and for what time, and where. not, and when they Shall commence, and of what effec"
1717800102_000066,"A new abridgment of the law. By Matthew Bacon of the Middle Temple, Esq;",Matthew Bacon,122,0,1,0,0,0,2,0,0,1,2,0,2,2,0,19,0,6,0,0,1,0,1,0,0,0,0,0,0,7,2,1,2,1,0,28,1,6,3,1,1,5,0,2,3,1,0,2,0,1,0,3,2,1,0,1,0,3,8,1768,2,5,"London : Printed by His Majesty's Law-Printers, for J. Worrall and Co. A. Shuckburgh, T. Waller, P. Uriel, W. Owen, B. White, H. Woodfall, W. Strahan, J. Rivington, R. Baldwin, L. Hawes and Co. T. Longman, Z. Stuart, W. Johnston, B. Law, T. Caslon, T. Payne, and T. Cadell, MDCCLXVIII. [1768].",London,707,male,,,FALSE,"because that these Words might well be satisfied by the Lease for Years of Land which palred by it. Ar. Es 209, A. devised in the following Manner: I make my Niece Executrix of all ty 2o. Pili Goods, Lands and Chattels; the Testator had a real and personal Estate"
0174600101_000272,"Reports of cases argued and determined in the High Court of Chancery, and of some special cases adjudged in the Court of King's Bench: collected by William Peere Williams, Late of Gray's Inn, Esq; In two volumes. ... . Published with Notes and References, and Two Tables to each Volume; one of the Names of the Cases, the other of the Principal Matters: By his Son William Peere Williams, of the Inner Temple, Esq;",William Peere Williams,121,0,0,0,1,1,1,3,0,0,0,5,5,5,4,17,1,11,0,5,0,0,1,1,0,0,0,0,0,12,3,1,0,0,0,7,0,8,0,4,4,1,0,7,2,1,0,0,3,0,0,2,0,1,0,0,0,4,0,1741,1,3,"Dublin : printed by and for Oli. Nelson, at Milton's Head in Skinner-Row, M,DCC,XLI. [1741].",Dublin,587,male,1664,1736,FALSE,"and all Things not before bequeathed; this held not to pas the Leaiehold Interest, or what the Testator did not know he was entitled to, but to be restrained to Things ejufdemr generis. 30z One One devises the Surplus of his personal Estate to his Relations; only such shall take"
1203400100_000004,"An act for sale of divers freehold and copyhold lands and tenements, in the parish of Sunbury, in the county of Middlesex; ... part of the estate of John Osborn, ...",Great Britain. Parliament,81,3,3,0,1,0,0,0,0,1,2,2,0,1,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,6,8,1,2,6,2,2,0,0,2,4,1,0,5,0,0,1,3,6,0,0,4,0,1,0,1767,1,1,"[London, 1767].",London,14,unknown,,,FALSE,"Court , (1ubje& to the Mortgage or Security to the said Thomas Darby, for One hundred and Ten Pounds and Interest, and to an Eftare for Life of the said ]4ary ojforn therein; and also diverse Copyhold, or Cuitomary Lands and Premises, held of the Manor of Sunbury, in the"
