PassageID,Title,Author,Total termFreq,termFreq(air),termFreq(appear),termFreq(bed),termFreq(begin),termFreq(border),termFreq(branch),termFreq(care),termFreq(common),termFreq(cover),termFreq(crop),termFreq(cut),termFreq(dry),termFreq(dung),termFreq(earth),termFreq(end),termFreq(feed),termFreq(feet),termFreq(flower),termFreq(fruit),termFreq(garden),termFreq(green),termFreq(ground),termFreq(grow),termFreq(growth),termFreq(heat),termFreq(hot),termFreq(inch),termFreq(kind),termFreq(larg),termFreq(leav),termFreq(light),termFreq(littl),termFreq(month),termFreq(observ),termFreq(open),termFreq(plant),termFreq(pot),termFreq(produc),termFreq(propag),termFreq(proper),termFreq(rais),termFreq(remain),termFreq(requir),termFreq(root),termFreq(row),termFreq(season),termFreq(seed),termFreq(set),termFreq(sow),termFreq(sown),termFreq(speci),termFreq(spring),termFreq(stalk),termFreq(taken),termFreq(tree),termFreq(water),termFreq(weather),termFreq(weed),termFreq(winter),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_passages
1000800104_000164,"The farmer's magazine, and useful family companion. Consisting of practical essays, ... on the different branches of husbandry, ... A miscellaneous collection of valuable family receipts, ... Useful hints and curious observations ... By Agricola Sylvan, gentleman.",,159,2,0,4,2,1,0,1,0,1,3,4,7,1,4,1,0,1,10,3,5,1,2,1,0,2,0,6,2,3,0,2,1,8,0,2,15,4,0,2,1,2,1,3,9,3,1,9,4,7,3,0,3,0,0,2,5,3,1,1,0,1779,4,5,"[London, England] : Printed for R. Snagg, no. 129, Fleet-Street, London; and R. Cruttwell, in Bath; and sold by every bookseller, stationer, and news-carrier, in the kingdom, MDCCLXXVI. [1776-1780].",London|Bath.,498,unknown,,,FALSE,"in this month yournew planted quicks. NURSERY, FRUIT , and FLOWER GARDENS . Bud or inoculate Plumbs, Pears, and Cherries, upon flocks raised from the stones; and Pears upon Quince and Pear riocks raised from kernels. Transplant seedling Firs and Pines, when the seed bed is too much crowded. The"
1046400500_000302,"The new gardener's dictionary; or whole art of gardening, fully and accurately displayed; containing the most approved methods of cultivating all kinds of trees, plants, and flowers; with ample directions for performing all the operations in gardening; Whether they Relate to I. The Hot-House, II. The Green-House, III. The Shrubbery, IV. The Kitchen-Garden, V. The Flower-Garden, or VI. The Fruit-Garden. According to the Practice of the Best Modern Gardeners, arranged under the English proper name of each article. By John Dicks, Gardener to his Grace the Duke of Kingston; Assisted by many Eminent in the Profession.","Dicks, John",162,1,0,6,4,5,1,4,1,2,0,4,4,1,5,2,0,3,7,3,6,1,4,3,0,1,0,2,4,2,0,3,2,10,0,1,12,0,0,2,1,0,2,1,7,2,2,4,0,9,1,2,1,0,2,10,2,1,6,0,3,1771,1,1,"London : printed for G. Keith; J. Johnson; J. Almon; and Blyth and Beevor, 1771.",London,346,male,1769,1771,FALSE,in bunches. The first species grows naturally in Tartary. The second is a.native of the mountains of Switzerland and Austria. The third of Virginia and Penfvlvania. The fourth and sixth of Penfylvania. The fifth grows naturally in the northern: and the seventh in the southern parts of Europe. The eighth
0647200200_000435,"A new gardener's dictionary; or the whole art of gardening, fully and accurately displayed; containing the most approved methods of cultivating all kinds of trees, plants, and flowers. With ample directions for performing all the operations in gardening; whether they relate to I. The Hot-House, II. The Green-House, III. The Shrubbery, IV. The Kitchen-Garden, V. The Flower-Garden, or VI. The Fruit-Garden. According to the Practice of the Best Gardeners. By John Dicks, Gardener to his Grace the Duke of Kingston; Assisted by many Eminent in the Profession.","Dicks, John",157,5,0,4,2,0,2,1,2,3,2,2,4,0,2,2,1,4,3,2,0,1,4,4,0,0,0,2,0,0,5,5,0,1,2,4,20,6,0,4,2,1,2,1,9,0,2,2,2,0,1,8,3,1,3,4,3,2,4,6,2,1769,1,1,"London : printed for Francis Blyth, No. 87, Cornhill; T. Evans, No. 54, and J. Coote, at No. 16, in Pater-Noster-Row, 1769.",London,350,male,1769,1771,FALSE,"may be placed in a sheltered situation with other tender exotic plants , and in autumn they muss be removed into shelter, for they are too tender to live through the winter in the open air . STOECHAS, a genus of plants of which there are three species . I."
0906500302_000112,The beauties of all the magazines selected. For the Year 1762. Including the several original comic pieces. To be continued the middle of every month. ...,,166,1,0,4,6,4,3,1,0,1,3,3,5,1,2,4,1,0,0,9,3,0,7,1,0,2,0,1,2,4,3,0,0,15,0,1,8,1,2,0,1,0,4,1,1,1,2,3,1,6,6,0,1,1,2,8,9,3,6,4,8,1762,2,3,"London : printed for T. Waller, opposite Fetter-Lane, Fleet-Street, Mcxxlii [1762]-64.",London,563,unknown,,,FALSE,"stems. After a tops all sorts of young sallet herbs, shower of rain, draw the earth up to spinach, radishes, asparagus, coleworts, the stems of cabbage and cauliflower parsley, alifanders, chard beet, celery, plants , planted in autumn, or early in endive, sorrel, burnet, thyme, hyfrop, spring , to guard"
0647200200_000093,"A new gardener's dictionary; or the whole art of gardening, fully and accurately displayed; containing the most approved methods of cultivating all kinds of trees, plants, and flowers. With ample directions for performing all the operations in gardening; whether they relate to I. The Hot-House, II. The Green-House, III. The Shrubbery, IV. The Kitchen-Garden, V. The Flower-Garden, or VI. The Fruit-Garden. According to the Practice of the Best Gardeners. By John Dicks, Gardener to his Grace the Duke of Kingston; Assisted by many Eminent in the Profession.","Dicks, John",147,1,0,1,2,1,2,3,0,4,1,2,7,0,9,3,2,1,4,0,2,1,5,2,1,0,0,4,0,4,2,1,2,0,2,2,22,0,1,1,2,1,2,3,5,3,2,10,0,2,1,2,1,1,5,0,4,3,3,1,1,1769,1,1,"London : printed for Francis Blyth, No. 87, Cornhill; T. Evans, No. 54, and J. Coote, at No. 16, in Pater-Noster-Row, 1769.",London,350,male,1769,1771,FALSE,"them plentifully until they have taken new root : after this they require little care but the drawing up the earth to them as they advance in height: great care muff however be observed in doing this, never to bury the heart of the plant , nor ever to perform"
0587800700_000103,"Every young man's companion: containing directions for spelling, reading, and writing English. ... Together with a great variety of cuts and tables, ... By W. Gordon, ...","Gordon, W.",149,2,0,5,1,4,1,0,0,1,3,3,3,1,1,1,0,2,14,7,4,1,4,2,0,4,2,1,2,3,3,0,0,7,1,2,9,2,0,0,0,0,1,0,4,1,1,3,1,5,2,0,2,1,0,13,5,6,5,1,2,1759,1,1,"London : printed for J. Rivington and J. Newbery; S. Crowder and Co.; J. Rivington and J. Fletcher, R. Baldwin, and H. Woodgate; and B. Collins, in Salisbury, 1759.",London,455,male,,,FALSE,"the firmer Month , watering them till they have takn Ro. Thil Thin the Cabbages and Savoys that were sown the last Month , and prick them out into Beds . Sow Hemp and Flax, as also large graypeas and Rouncivals in the open Fields. Draw out all the young"
0317800100_000861,"The universal gardener and botanist: or, a general dictionary of gardening and botany. Exhibiting in Botanical Arrangement, according to the Linnaean System, The various Genera and Species of Plants, Trees, Shrubs, Flowers, and Fruits, that merit Culture for Use, Ornament and Variety, in the different Departments of Gardening, Plantations, Shrubberies, Nursery, Green-House, Hot-House or Stove, Forcing-House, Hot-Walls, and Hot-Beds: describing the Botanic Classes, Orders, and Characters of the Genera, with General and Specific Descriptions of the Species of each Genus; their respective and general Uses, different Methods of Propagation, and General Culture, in their several Departments. Comprising accurate Directions, according to real Practice, for the Management of the Kitchen-Garden, Fruit-Garden, Pleasure-Ground, Flower-Garden, Nursery, Plantations, Green-House, Hot-House, or Stove, Hot-Beds, Forcing-Frames, Hot-Walls, and Forcing in general. Describing the General Plans and Formation of the several Gardening Districts and Departments, as above; with distinct Arrangements, and general Descriptions of the various tribes of Plants, Trees, Flowers, and Fruits, adapted to each different Department; and Explanations of the proper Situations, Exposures, Soils, Manures, Composts, various Garden Materials, and principal Utensils; together with full Directions for performing all the Practical Operations of Gardening in general, both in the various Methods of Propagation and Culture of the numerous Plants, and in the Management of every Garden District, and the various relative Plantations. By Thomas Mawe and John Abercrombie.","Mawe, Thomas",165,0,2,4,1,4,1,1,1,0,0,5,2,1,6,1,1,1,2,0,1,0,5,2,4,0,0,4,4,3,3,2,1,0,5,1,26,0,1,4,4,5,4,1,10,7,2,3,0,3,3,1,9,0,1,0,2,3,1,4,3,1797,1,1,"London : printed for G. G. and J. Robinson, Pater-Noster Row; and T. Cadell Jun. and W. Davies, Strand, 1797.",London,1308,male,,,FALSE,"in April or May,, will readily grow . Slips of the former year's (hoot may be obtained plentifully any time in spring , hut (hold not be planted earlier than April; which however, if planted any time in April or early in May, they will 6 SAL root freely, and"
1046400500_000441,"The new gardener's dictionary; or whole art of gardening, fully and accurately displayed; containing the most approved methods of cultivating all kinds of trees, plants, and flowers; with ample directions for performing all the operations in gardening; Whether they Relate to I. The Hot-House, II. The Green-House, III. The Shrubbery, IV. The Kitchen-Garden, V. The Flower-Garden, or VI. The Fruit-Garden. According to the Practice of the Best Modern Gardeners, arranged under the English proper name of each article. By John Dicks, Gardener to his Grace the Duke of Kingston; Assisted by many Eminent in the Profession.","Dicks, John",145,4,3,5,1,2,1,3,0,1,0,1,3,1,4,2,0,1,2,2,1,2,2,2,0,0,1,1,0,2,4,2,1,0,1,1,15,8,0,5,0,0,1,4,4,1,1,4,2,0,3,9,2,1,6,4,7,5,3,4,0,1771,1,1,"London : printed for G. Keith; J. Johnson; J. Almon; and Blyth and Beevor, 1771.",London,346,male,1769,1771,FALSE,"ROSE. Culture of the iwayfaring or Pliant almeally TREE . The third, fourth, and eighth species are generally propagated by cuttings or layers, which should be planted in autumn in a moist soil; they require no particular care . The fifth and sixth species are propagated by laying down their"
1664300400_000049,"The young gardener's best companion, for the practical management of the kitchen and fruit garden; Raising early crops in hot beds, and forcing early fruits. By S. Fulmer, and other gardeners. Corrected and improved with additions, by Alex. Hamilton, of His Majesty's gardens, Hampton-Court. To which is added, a complete monthly kalendar of all the works necessary to be done in the kitchen and fruit garden throughout the year. Comprising the improved modern practice of raising all sorts of kitchen garden vegetables, and valuable fruits in the highest state of maturity and abundance, both in their natural state in the open ground, for the general supply, and by artificial heat, to obtain the more desirable sorts in early perfection; accurately arranged in alphabetical order, under the general English names, exhibiting also that of the genus to which each belongs in the botanic system.","Fullmer, Samuel",135,2,0,5,1,3,2,1,2,2,5,3,3,2,5,1,0,1,1,6,2,5,3,2,2,2,2,3,1,2,8,2,3,0,0,0,8,0,2,1,0,1,0,1,7,7,1,4,1,1,0,2,4,0,0,0,2,2,1,3,5,1795,1,1,"Dublin : Printed by W. Sleater, No. 28, Dame-Street, MDCCXCV. [1795].",Dublin,288,unknown,,,FALSE,"eight inches high; having sticks of brushwood, four or five feet for the'hot spur peas, and six or seven for the marrowfats, c. fanned tip oa two sides, and place a row of them to each row of peas, so near together as the branches of the different Aicks meet,"
0647200200_000361,"A new gardener's dictionary; or the whole art of gardening, fully and accurately displayed; containing the most approved methods of cultivating all kinds of trees, plants, and flowers. With ample directions for performing all the operations in gardening; whether they relate to I. The Hot-House, II. The Green-House, III. The Shrubbery, IV. The Kitchen-Garden, V. The Flower-Garden, or VI. The Fruit-Garden. According to the Practice of the Best Gardeners. By John Dicks, Gardener to his Grace the Duke of Kingston; Assisted by many Eminent in the Profession.","Dicks, John",134,1,2,2,3,1,2,2,1,3,1,2,0,0,5,2,0,2,9,2,4,0,1,4,0,2,1,2,0,1,3,2,3,0,1,2,17,2,1,3,2,2,3,1,5,2,1,2,1,2,3,7,3,3,2,0,3,1,0,2,0,1769,1,1,"London : printed for Francis Blyth, No. 87, Cornhill; T. Evans, No. 54, and J. Coote, at No. 16, in Pater-Noster-Row, 1769.",London,350,male,1769,1771,FALSE,"very Icvero winters , yet it always flihots tp again from the root . Cliltur, r E A Curure of the passion flowver. The laurel leaved paflion flower is propagated by seeds , which should be sown upon a good hotbed in the spring , and when the plants are"
1196800200_000030,"The gardeners kalendar; directing what works are necessary to be done every month in the kitchen, fruit, and pleasure-gardens, as also in the conservatory and nursery. With accounts I. Of the particular seasons for the Propagation of all Sorts of Esculent Plants and Fruits, with the Seasons wherein each Sort is proper for the Table. II. Of all Sorts of Trees, Plants, and Flowers, with the Time of their flowering in each Month. By Philip Miller, F.R.S. Member of the Botanic Academy at Florence, and Gardener to the Worshipful Company of Apothecaries, at their Botanic Garden in Chelsea. The eleventh edition, adapted to the new style; with a list of the medicinal plants, which may be gathered in each Month for Use.",Philip Miller,142,3,2,3,1,2,0,1,1,1,7,0,2,1,6,2,0,3,1,2,1,0,4,2,2,2,2,1,0,2,3,0,1,7,3,2,21,0,0,0,3,3,3,1,5,2,6,3,2,5,5,0,0,0,1,0,1,4,3,3,1,1757,1,1,"London : printed by Charles Rivington, for John Rivington, at the Bible and Crown, in St. Paul's Church-Yard; and James Rivington and James Fletcher, at the Oxford-Theatre, in Pater-Noster Row, M.DCC.LVII. [1757].",London,387,male,1691,1771,FALSE,"forts of of small sallet herbs every three or four days, otherwise there will not be a supply of such herbs which are young ; for, at this season , they soon grow too large for use: but these should be sown in a north. border , where they may"
1046400500_000357,"The new gardener's dictionary; or whole art of gardening, fully and accurately displayed; containing the most approved methods of cultivating all kinds of trees, plants, and flowers; with ample directions for performing all the operations in gardening; Whether they Relate to I. The Hot-House, II. The Green-House, III. The Shrubbery, IV. The Kitchen-Garden, V. The Flower-Garden, or VI. The Fruit-Garden. According to the Practice of the Best Modern Gardeners, arranged under the English proper name of each article. By John Dicks, Gardener to his Grace the Duke of Kingston; Assisted by many Eminent in the Profession.","Dicks, John",129,1,2,2,3,1,3,1,1,1,2,3,0,0,5,3,0,2,6,5,4,0,1,2,0,1,1,3,2,4,3,1,3,0,1,2,14,2,1,2,2,1,2,1,5,4,1,2,2,1,5,2,3,2,2,0,3,1,0,2,0,1771,1,1,"London : printed for G. Keith; J. Johnson; J. Almon; and Blyth and Beevor, 1771.",London,346,male,1769,1771,FALSE,"each with a kind of head. The fruit follows singly each flower , and is of the ihape and size of an orange, and of a gold yellow. There are three common kinds of this flower , which are the forts chiefly cultivated in all our gardens ; they are"
0209400300_000016,"The gardeners kalendar, directing what works are necessary to be done every month, in the kitchen, fruit, and pleasure gardens, and in the conservatory. With An Account of the particular seasons for the Propagation and Use of all Sorts of Esculent Plants and Fruits proper for the Table, and of all Sorts of Flowers, Plants, and Trees, that flower in every Month. By Philip Miller, Gardener to the Worshipful Company of Apothecaries, at their Botanick Garden in Chelsea, and F. R. S.",Philip Miller,142,3,1,4,2,1,0,2,0,1,5,0,4,0,3,0,1,1,4,1,4,0,4,2,2,4,2,0,1,2,6,0,2,6,4,2,17,3,0,0,0,2,1,3,5,2,2,3,0,4,2,0,1,0,2,4,3,4,6,2,2,1732,1,1,"London : printed for the author, and sold by C. Rivington, at the Bible and Crown, in St. Paul's Church-Yard, M.DCC.XXXII. [1732][1731].",London,270,male,1691,1771,FALSE,"the graft, and rarely do grow to so large a substance. THE bark beds in the Stoves, which have declined their heat , and were not renewed the firmer month , flould now be stirred up with a fork almost to the bottom, and some fresh bark added thereto, which"
1294500100_000671,"The gardeners dictionary: containing the methods of cultivating and improving the kitchen, fruit and flower garden, as also, the physick garden, wilderness, conservatory, and vineyard; According to the Practice of the Most Experienced Gardeners of the Present Age. Interspersed with The History of the Plants, the Characters of each Genus, and the Names of all the particular Species, in Latin and English; and an Explanation of all the Terms used in Botany and Gardening. Together with Accounts of the Nature and Use of Barometers, Thermometers, and Hygrometers, proper for Gardeners; And of the Origin, Causes, and Nature of Meteors, and the particular Influences of Air, Earth, Fire and Water upon Vegetation, according to the best Natural Philosophers. Adorn'd with copper plates. By Philip Miller, Gardener to the Worshipful Company of Apothecaries, at their Botanick Garden at Chelsea, and F. R. S.",Philip Miller,144,5,1,3,4,0,2,1,3,3,0,0,2,1,3,1,0,1,12,1,1,3,4,3,2,1,1,1,0,2,5,2,1,0,1,4,15,3,3,2,2,0,3,1,3,3,2,6,0,1,1,1,2,0,1,10,2,6,1,0,2,1737,1,1,"London : printed for the author, and sold by C. Rivington, at the Bible and Crown in St. Paul's Church-Yard, M.DCC.XXXVII. [1737].",London,967,male,1691,1771,FALSE,"Purpose they are often brought from Abroad. In England the Tree is preserved by such as delight in Exotic Plants , as a Curiosity: the Leaves do always continue green , and being different in Shape from most other Plants , afford an agreeable Variety, when intermixed with Oranges, Myrtles,"
0063001700_000002,"The husbandman and tradesman' gardening calendar, with directions to manage the kitchen, fruit, and flower garden, through the year. Addapted for the North of England. To which is added, instructions for the ordering of Bees, According to the latest, and most improved Methods. By John Fallowfield, Of Southernby, in the Parish of Castle-Sowerby, Cumberland. Let Gard'ners dig with care, and take true pains, Observe the Seasons, and they'll reap with Gains; The Earth is kind, and does our wants supply, For to the prudent man, she'll nought deny.","Fallowfield, John",172,0,2,3,2,4,1,0,0,2,4,0,6,4,0,3,2,4,3,9,13,1,8,1,2,0,0,0,1,0,1,4,3,14,2,1,14,1,0,0,2,0,1,6,5,0,4,9,1,2,7,0,0,1,2,9,1,4,2,1,0,1791,1,1,"Preston : printed at Walker's office, 1791.",Preston,84,unknown,,,FALSE,"fruit trees cannot spread themselves with freedom, where the borders are narrow. No peas, beans, or deep rooted plants , out to be placed on the fruit tree borders . Let not the same crops be on the same ground , two years together, unless you dung it well; and"
