PassageID,Title,Author,Total termFreq,termFreq(ancient),termFreq(appear),termFreq(arm),termFreq(armi),termFreq(author),termFreq(battl),termFreq(bodi),termFreq(caus),termFreq(citi),termFreq(command),termFreq(consul),termFreq(continu),termFreq(countri),termFreq(death),termFreq(defeat),termFreq(emperor),termFreq(empir),termFreq(end),termFreq(enemi),termFreq(father),termFreq(follow),termFreq(forc),termFreq(gave),termFreq(gener),termFreq(god),termFreq(govern),termFreq(greek),termFreq(hand),termFreq(head),termFreq(honour),termFreq(itali),termFreq(king),termFreq(land),termFreq(law),termFreq(left),termFreq(manner),termFreq(mean),termFreq(near),termFreq(number),termFreq(offic),termFreq(order),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(power),termFreq(receiv),termFreq(return),termFreq(roman),termFreq(rome),termFreq(senat),termFreq(sever),termFreq(soldier),termFreq(state),termFreq(taken),termFreq(templ),termFreq(thought),termFreq(took),termFreq(tribun),termFreq(troop),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1281200302_000045,"The history of the revolutions that happened in the government of the Roman republic. Written in French by the Abbot de Vertot, ... The sixth edition. Englished by Mr. Ozell from the original newly reprinted at Paris, with amendments and additions by the author himself, ...",René-Aubert Vertot,101,0,0,4,6,0,1,4,2,2,5,3,1,1,2,0,0,1,1,3,0,1,3,4,4,0,0,0,0,1,0,4,0,2,6,1,1,0,0,3,1,3,0,2,0,0,1,1,3,6,7,0,1,2,1,0,0,2,4,0,1,1756,2,2,"Dublin : printed by George Abraham Grierson, and G. and A, [sic] Ewing, 1756.",Dublin,383,male,1655,1735,FALSE,"the ó"" Senate the Right of inquiring into the Crimes of Extortion, which had been conferred on the Eque£ trian Order ; and to make thatfecond Order amends, by letting into the Senate three hundred of them: And by Favour of those two Laws , he endeavourcd. H 4 to"
1237100200_000046,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing I. A Description of the Figure and Motion of the Earth. II. Geographical Definitions and Problems, being a necessary Introduction to this Study. III. A general Division of the Globe into Land and Water. IV. The Situation and Extent of the several Countries contained in each Quarter of the World; their Cities, Chief Towns, History, Present State, respective Forms of Government, Forces, Revenues, Taxes, Revolutions, and memorable Events. Together With An Account of the Air, Soil, Produce, Traffic, Curiosities, Arms, Religion, Language, Universities, Bishopricks, Manners, Customs, Habits, and Coins, in Use in the several Kingdoms and States described. By Mr. Salmon. Illustrated with a set of twenty-three new maps of the several Countries, drawn by the Direction of Mr. Salmon, and engraved by Mr. Jefferys, Geographer to His Royal Highness the Prince of Wales.",Thomas Salmon,114,0,1,0,4,2,2,1,0,3,2,3,0,0,2,6,0,2,2,1,1,1,2,0,0,0,1,0,0,2,0,1,4,0,3,4,1,0,0,0,0,0,5,4,1,2,1,1,9,9,13,1,0,5,0,0,0,0,3,1,8,1760,1,1,"London : printed for W. Johnston in Ludgate Street ; H. Woodfall, J. Hinton, R. Baldwin, W. Strahan, J. Richardson, B. Law, and S. Crowder and Co, 1760.",London,680,male,1679,1767,FALSE,"by the united Forces of the Lacedemonians and Carthaginians, fifteen thousand of their Men, with Kcgulus the Consul , being made Prisoners, besides many thousands which fell in the Battle . However the Romans being assisted by some of the States of Greece, with their united Fleets, defeated that of"
1183700300_000090,"The history of the decline and fall of the Roman Empire. By Edward Gibbon, Esq; volume the second.",Edward Gibbon,81,1,0,1,1,2,1,1,2,0,3,1,1,2,4,2,3,2,0,3,1,1,1,0,1,0,1,0,1,2,1,5,0,1,0,0,0,0,0,1,1,2,1,3,0,1,1,0,1,5,11,1,1,1,0,1,0,0,1,0,4,1781,1,1,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXVII. [1781].",London,723,male,1737,1794,TRUE,"the old baverunt. j'lurrchul Viior. discipline of the corn monwealth. 1z Even the servants of the house, the 1j This spirited speech, translated from the scribes, c. were excluded, and their office Augulan hillorian, p. 156, fenms transcribed by was filled by the senators themselves. We him from die original"
0798700301_000064,"The history of the decline and fall of the Roman Empire. By Edward Gibbon, Esq; Volume the first.",Edward Gibbon,85,1,0,1,1,2,1,1,2,0,3,1,2,2,4,2,4,2,1,4,1,1,1,0,3,0,1,0,1,2,1,5,0,1,0,0,0,0,0,1,0,2,1,3,0,1,1,2,1,4,10,1,0,1,0,1,0,0,1,0,4,1776,1,1,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXVI. [1776].",London,688,male,1737,1794,TRUE,"consular dignity, the one your proconsul, the other your "" lieutenant, have been declared emperors by the general content of Africa. Let us return thanks,"" he boldly continued , "" to the "" youth of Thyfdrus; let us return thanks to the faithful people "" of Carthage, our generous deliverers"
0138200200_000038,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A description of the figure and motion of the earth. II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respective forms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopries, manners, customs, habits, and coins, in use in the several kingdoms and states described. By Mr. Salmon. Illustrated with a set of twenty-two new maps of the several countries; drawn, by the direction of Mr. Salmon, and ingraved by Mr. Jefferys, geographer to his royal highness the Prince of Wales.",Thomas Salmon,110,0,1,1,4,2,0,1,0,3,2,2,1,0,2,7,0,2,2,1,1,1,1,0,0,0,2,0,0,3,0,2,4,0,3,3,1,0,0,0,0,0,4,4,1,1,1,1,9,7,13,1,0,5,0,0,0,0,3,1,7,1749,1,1,"London : printed for William Johnston, at the Golden-Ball in St. Paul's-Church-Yard, MDCCXLIX. [1749].",London,647,male,1679,1767,FALSE,"foreign Traffic must susser extremely, and, perhaps, their State be ruined, if the Romans were not subdued, affeibled an Army of loo, ooo Men and upwards, in Spain, commanded by the celebrated Hannibal; who, passing the py encan Mountains and the Alps, entered Italy , and made it the Seat"
0528900402_000004,"The history of the revolutions that happened in the government of the Roman Republic. Written in French by the Abbot de Vertot, of the Royal Academy of Inscriptions, &c. The fourth edition. English'd by Mr. Ozell from the original newly reprinted at Paris, with amendments and additions by the Author himself, in almost every Page: Besides not a few essential Alterations and Corrections in. This Fourth Edition more than in any of the preceding ones, either French or Dutch. ... . To which is prefixed, A Translation of a Memorial sent from London by the late Earl Stanhope to the Abbot De Vertot at Paris; containing divers Questions relating to the Constitution of the Roman Senate. With the Abbot's Answer.",René-Aubert Vertot,89,3,2,2,2,0,1,0,0,3,0,3,1,6,0,1,0,0,0,2,0,1,0,3,1,2,0,1,1,0,1,3,1,1,1,1,0,0,0,1,1,3,2,3,1,2,0,0,7,4,7,0,2,1,2,1,0,3,1,0,5,1732,2,2,"London : printed for J. and J. Knapton, D. Midwinter and A. Ward, J. Pemberton, W. Innys, J. Osborne and T. Longman, R. Robinson, E. Symon, MDCCXXXII. [1732].",London,410,male,1655,1735,FALSE,"Title, and empty Praises, they barely answered the Ambassadors by the Mouth of the Consul , that their present Condition seemed worthy of Pity, and the Romans wiihed they could with Honour succour them; but that the Republic had an ancient Alliance with the samnite. which would not allow them"
0956300300_000020,"Romæ antiquæ notitia: or, the antiquities of Rome. In two parts. I. A short history of the rise, progress, and decay of the commonwealth. II. A description of the city: An Account of the Religion, Civil Government, and Art of War; with the Remarkable Customs and Ceremonies, Publick and Private. With Copper Cuts of the Principal Buildings, &c. To which are prefixed two essays; concerning the Roman Learning, and the Roman Education. By Basil Kennett, of C. C. C. Oxon.",Basil Kennett,103,1,1,0,6,3,0,0,0,2,2,2,0,0,1,6,0,1,1,3,1,3,4,0,3,0,1,0,1,0,0,3,8,3,2,1,3,1,1,2,1,0,2,1,0,0,0,3,6,3,3,5,0,2,2,0,0,1,1,1,6,1763,1,1,"London : printed for J. and R. Tonson, J. and T. Pote, C. Bathurst, B. Dod, J. Rivington R. Baldwin, W. Johnston, L. Hawes and Co. J. Richardson, G. Keith, S. Crowder and Co. T. Longman, T. Caslon, B. Law and Co. and J. Hinxman. MDCCLXIII [1763].",London,486,male,1674,1715,FALSE,"Pi taichb. in vit Fab. illax. lalluj. mans Whereupon the Enemy were obliged once more to sue for a Peace which was again granted them, though upon much harder Conditions than before. The Rmans, by the happy Conclusion of this War , had so highly advanced themselves in the Opinion"
0443100101_000026,"Gibbon's history of the decline and fall of the Roman Empire. In six volumes octavo, abridged in two volumes. Vol. I.",Edward Gibbon,78,0,0,0,1,2,1,0,1,4,2,2,1,0,2,1,3,1,1,5,2,2,1,0,3,1,0,0,1,2,2,3,0,0,0,1,0,0,0,0,0,2,1,2,0,0,1,1,1,7,8,1,3,0,0,1,1,0,1,1,2,1790,1,6,"Dublin : printed by William Porter, for H. Chamberlaine, P. Wogan, P. Byrne, W. Porter, W. Mc.Kenzie, J. Jones, J. Halpen, and Grueber & Mc. Allister, M.DCC.XC. [1790].",Dublin,446,male,1737,1794,TRUE,"senate was convoked, and the consul Syllanus, aster disclosing the intelligence and animating them with his eloquence, concluded with, "" Maximin ""is an enemy , may his enmity fqon expire with ""him, and may we long enjoy the prudence and ""felicity of Gordian the father , the valour and """
1363500200_000044,"A new geographical and historical grammar: Wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing I. A description of the figure and motion of the Earth II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respectiveforms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopricks manners, customs, habits, and coins, in use in the several kingdoms and states described by Mr. Salmon. Illustrated with a set of twenty-three new maps of the several countries, drawn by the direction of Mr. Salmon, and engraved by Mr. Jefferys, geographer to His Majesty.",Thomas Salmon,95,0,1,1,3,2,0,1,0,2,1,2,1,0,2,4,3,8,1,0,1,1,1,0,0,0,3,0,1,2,0,1,5,0,3,1,1,0,0,0,0,0,2,3,1,2,1,2,3,5,14,0,0,3,0,0,0,1,3,1,2,1762,1,1,"London : Printed for W. Johnston in Ludgate Street; H. Woodfall, J. Hinton, R. Baldwin, W. Strahan, J. Richardson, B. Law, and S. Crowder and Co., 1762.",London,679,male,1679,1767,FALSE,"Seem to have proceeded from some: defetas in their Constitution; for the Nobilityr, upon the Expulliion/ of heir kings , had formed an Aitiocracy, oppressing the lower ('ltys ofpeojple tt a very great Degree s whereupon they rnanimoufly l'eff left the City , refuting to return until the Nobility,. who"
0162700400_000021,"Romæ antiquæ notitia: or, the antiquities of Rome. In two parts. ... By Basil Kennett ...",Basil Kennett,104,1,1,0,5,3,0,0,0,3,2,3,0,0,1,6,0,1,1,4,0,2,5,0,3,0,0,0,1,0,0,4,7,3,1,1,2,1,2,1,1,0,2,1,0,0,0,2,8,4,2,5,1,2,2,0,0,1,1,1,7,1717,1,1,"London : printed for T. Child, and R. Knaplock, 1717.",London,463,male,1674,1715,FALSE,"the Concluflon of the War was owing to the Conduct of Scipio: He had before reduced all Spain into Subjecion; and now taking the same Course as Hannibal at first had done, he Marched with the greatest part of the Roman Forces into Africa; and carrying all before him to"
0853200200_000020,"Romæ antiquæ notitia: or, the antiquities of Rome. In two parts. I. A Short History of the Rise, Progress, and Decay of the Common-Wealth. II. A Description of the City: An Account of the Religion, Civil Government and Art of War; with the Remarkable Customs and Ceremonies, Publick and Private. With Copper Cutts of the Principal Buildings, &c. To which are prefix'd Two Essays; concerning the Roman Learning, and the Roman Education. By Basil Kennett, of C.C.C. Oxon.",Basil Kennett,89,0,1,0,6,4,0,0,0,4,1,3,0,0,1,2,0,2,2,2,1,1,2,0,3,0,2,0,1,0,0,3,5,1,2,1,2,1,2,1,1,0,0,1,1,1,1,2,3,4,3,3,1,2,2,0,0,1,1,1,5,1726,1,1,"London : printed for D. Brown, J. Knapton, R. Knaplock, J. Sprint, D. Midwinter, J. Tonson, R. Robinson, W. and J. Innys, J. Osborn, and T. Longman, MDCCXXVI. [1726].",London,475,male,1674,1715,FALSE,"late Success, when the death oi King Philip of Alacedon prcfcntcd them with an occasion of more glorious Triumph. His Son Pcrfi's, that succeeded, re. solving to break with the Senate , applied himself wholly to rai sing Forces , and procuring other Neceifaries for a War . Northeast ver"
