PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(apostl),termFreq(appear),termFreq(believ),termFreq(blood),termFreq(bodi),termFreq(christ),termFreq(christian),termFreq(church),termFreq(confid),termFreq(coven),termFreq(dead),termFreq(death),termFreq(divin),termFreq(earth),termFreq(end),termFreq(etern),termFreq(faith),termFreq(father),termFreq(foul),termFreq(glori),termFreq(god),termFreq(gospel),termFreq(grace),termFreq(hand),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(jesu),termFreq(know),termFreq(law),termFreq(life),termFreq(light),termFreq(live),termFreq(love),termFreq(mean),termFreq(natur),termFreq(noth),termFreq(peopl),termFreq(person),termFreq(power),termFreq(preach),termFreq(promis),termFreq(receiv),termFreq(righteou),termFreq(salvat),termFreq(save),termFreq(saviour),termFreq(scriptur),termFreq(sin),termFreq(soul),termFreq(speak),termFreq(spirit),termFreq(think),termFreq(true),termFreq(truth),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0543300300_000006,"A sermon preached at the ordination of the Reverend Mr. Thomas Gibbons, October 27, 1743. at Haberdasher's Hall, London. By John Guyse, D.D. Together with an introductory discourse, by Richard Rawlin. Mr. Gibbons's confession of faith. And an exhortation to him, by Thoma Hall. Published at the united Request of the Church, and of the Ministers then present.",John Guyse,125,0,1,0,12,1,4,11,1,4,0,2,1,2,1,0,2,4,5,1,0,3,11,2,1,2,0,1,5,1,1,3,2,2,1,2,2,1,0,2,0,0,1,3,0,0,2,0,2,1,1,4,0,4,0,1,1,2,7,2,1743,1,1,"London : printed for R. Hett, at the Bible and Crown; J. Oswald, at the Rose and Crown, both in the Poultry; R. King, at the Bible and Crown in Fore-Street; and S. Mason, over-against St. Alban's Church in Wood-Street, MDCCXLIII. [1743].",London,107,male,1680,1761,FALSE,"the present evil tworld; * to cleanse ourselves fi-om the Pollutions of flefj, and Spirit , and perfect Holiness in the Fear of God . t XXI Though our good Works are utterly insufficient to obtain Salvation for us and are to bear no Part in our Justification, yet wheresoever"
1748800101_000131,"Sermons on various subjects, divine and moral: with a sacred hymn suited to each subject. In two volumes, formerly printed in three. ... By Isaac Watts, ...",Isaac Watts,122,1,1,0,5,0,0,4,6,0,1,10,1,1,1,1,2,2,5,0,0,1,6,10,8,0,1,2,1,1,1,8,3,0,3,2,2,1,0,0,0,0,0,2,1,0,4,2,2,1,2,3,2,0,0,2,1,0,5,4,1792,1,2,"Paisley : printed by J. Neilson, for James Duncan, Sen. John and William Shaw, and James Gillies, Glasgow; [and 5 others in Edinburgh and 1 in London], 1792.",Paisley,478,male,1674,1748,FALSE,"occasion of his a"" "" and the very sling of his sorrows I Iam "" crucified and dead to sin and to this world by my "" union with a crucified Saviour ; yet [ live , saith the "" divine apostle , and the life that Inorv live in"
0448900303_000130,"Sixty-Four practical sermons by the late Reverend Mr. Daniel Wilcox, Preacher of the Gospel in Monks-Well-Street, London. Printed at the earnest Desire of the Congregation, and others that were his Occasional Hearers. To which are added, the confession of faith delivered at his ordination to the ministry; and a discourse on the duty of holding fast the form of sound words. In Three Volumes. ...","Wilcox, Daniel",112,3,2,1,8,1,3,4,0,2,0,1,1,3,1,1,2,1,2,1,0,2,14,3,2,2,1,3,4,0,1,1,4,1,1,0,1,2,0,0,1,1,2,2,0,0,1,1,2,3,3,2,0,4,0,2,0,3,1,5,1757,3,3,"London : printed for Edward Dilly, at the Rose and Crown, in the Poultry, near the Mansion-House, MDCCLVII. [1757].",London,480,male,,,FALSE,"accomplish our redemption. As twas requisite that the lame nature thatfnn'd flould alfojiffer. and the children to be redeemed wcerepartakers offleyh and blood ; he alo himself like wsije took part o the fme, that being Emnmanuel, God with us, he might be a most suitable and all fufficient Saviour"
0414000101_000009,"Twenty discourses on the following important subjects viz. I. The woman of Samaria. II. The first principles of Christianity. III. The Sufferings and Satisfaction of Christ. IV. The Beatitudes. V. The Daemoniac. VI. Dives and Lazarus. Vii. The hidden Treasure. Viii. The Offices of the Messiah. IX. The great Sacrifice. X. Lot's Flight. XI. Deliverance from Death. XII. The Privilege of Believers. XIII. The Patterns of Mercy. XIV. The Vision of dry Bones. XV. The Safety of a true Christian. XVI. The Assurance of Faith; or, the Experience of a true Christian. XVII. The Linsey-Woolsey Garment. XVIII. The Reproach of the Cross. XIX. The Widow of Nain. xx. The beautific vision; or, beholding Jesus crucified. By John Cennick. Vol.II.",John Cennick,141,1,0,0,12,2,0,5,2,0,1,0,1,4,3,1,1,3,17,3,0,2,12,0,2,0,2,3,5,6,2,2,3,0,2,7,3,0,0,1,0,1,0,1,2,0,3,2,4,2,1,2,2,2,0,3,2,1,2,3,1777,1,1,"London : printed and sold by H. Trapp, sucessor and son-in-law to M. Lewis, (no. 1.) Paternoster-Row, Cheapside, 1777.",London,399,male,1718,1755,TRUE,"loves the Saviour , he is overcome and sick of Love , he mourns and languishes for his Salvation and Righteousness, and attains it to his Heart's Joy for ever. This is a Repentance from dead Works , a TRUE evangelical Repentance, not to be repented of. A second Principle"
0178500105_000007,The select works of William Penn. In five volumes. ...,William Penn,149,1,2,4,6,1,2,5,1,0,0,0,0,3,3,2,3,6,10,1,0,3,9,1,0,3,1,0,4,0,0,1,10,5,1,1,1,1,0,1,1,1,1,0,3,0,5,1,1,1,2,5,0,4,0,6,2,3,18,3,1782,5,5,"London : printed and sold by James Phillips, 1782.",London,464,male,1644,1718,FALSE,"royal law ; give them saving knowledge; and to mediate, atone for, fantfify, and justify them in the sight of God his Father , for ever. By all which it is evident, to any moderate enquirer, that we acknowledge Christ in his double appearance ; as, in the flesh, """
0532100400_000035,"Four sermons, preached in London at the third general meeting of the Missionary society, May 10, 11, 12, 1797, by Rev. W. Moorhouse, Huddersfield, Rev. A. Waugh, London, Rev. I. Nicholson, Cheshunt, and Rev. M. Horne, Olney. To which are prefixed, the proceedings of the meeting, and the report of the directors. by order of the directors. Published for the Benefit of the Society.","Missionary Society (London, England)",125,0,0,0,2,4,0,6,3,0,1,1,0,1,1,2,1,5,4,5,0,1,15,1,3,1,3,5,6,2,4,1,4,1,2,9,0,1,1,1,0,2,1,1,2,1,3,0,4,0,4,1,0,4,0,1,1,0,2,1,1797,1,1,"London : sold by T. Chapman, Fleet Street, 1797.",London,155,unknown,,,FALSE,"salvation . I would obviate all thy objections. I know thy sins are without number, and all thy crimes of a crimion dye. Upon thine own testimony I will believe that thy guilt is uncommon among the children of disobedience. But thy Father who is in heaven is such a"
1648900102_000005,"The history of the Holy Bible. In two volumes. Vol. I. Containing the historical part of the Old Testament, by way of abstract. With references to other parts of scripture, especially of the New Testament, which are printed at length in an opposite column. By the Honourable Edward Harley, Esq; late Auditor of His Majesty's imprest.",Edward Harley,118,0,4,5,4,2,1,2,1,1,1,1,1,2,4,1,0,4,4,1,0,1,4,4,3,4,1,7,2,3,0,0,4,1,2,0,0,1,0,1,2,2,5,0,0,0,0,0,10,2,6,2,0,2,0,1,4,1,0,4,1751,2,2,"London : printed and sold by C. Bathurst, at the Cross-Keys, opposite St. Dunstan's Church, Fleetstreet, MDCCLI. [1751].",London,780,male,1664,1735,FALSE,"T H E Women that came first to the Sepulchre, had no other Intent than to embalm his sacred Body ; and when they repeated to the Apostles what was told them by the ANGELS, they looked upon it as an idle Tale. O U R Saviour at first appears"
1018900600_000027,"The bishop of London's Third pastoral letter to the people of his diocese; particularly, to those of the two great cities of London and Westminster. Occasion'd by the suggestions of infidels against the writings of the New Testament, consider'd as a divine rule of faith and manners.",Edmund Gibson,135,2,3,0,3,0,2,13,7,4,1,1,2,3,2,3,4,1,9,1,0,1,7,8,1,1,0,2,5,0,0,5,1,1,3,1,0,4,0,1,0,2,1,1,2,0,3,0,0,0,4,0,0,6,1,4,1,0,3,5,1731,1,1,"London : printed by Sam. Buckley in Amen-Corner, [1731].",London,91,male,1669,1748,FALSE,"Dispensation, whether it be further Explanations of what is more generally delivered in the Gospels and aets of the Apostles , or Additions to them; it is what they were empowered by Christ and enabled by the Holy Ghost to deliver to the World , and so became a Rule"
1428500101_000090,"Sermons on the chief doctrines and duties of the Christian religion, in their natural order. By William Dalgliesh, D.D. Minister of Peebles.",William Dalgliesh,133,1,1,1,0,3,0,5,1,0,0,2,2,3,5,2,1,3,0,3,0,3,19,2,2,2,0,3,7,4,0,0,11,1,0,0,0,2,0,0,2,5,0,1,1,1,8,1,9,0,4,0,1,2,0,1,1,1,1,5,1799,1,4,"Edinburgh : printed for the author, by J. Ruthven and Sons. Sold by W. Creech, J. Dickson, and other booksellers, Edinburgh; Brash and Reid, Glasgow; and C. Dilly, London, M.DCC.XCIX. [1799].",Edinburgh,463,male,1733,1807,FALSE,""" I will raise "" unto David a righteous Branch, and a king "" shall reign and prosper- -- this is the EE "" nalre * Pfl. II 7 t Psal. XLV 6 "" name whereby he shall be called, THE "" LORD OUR RIGHTEOUSNESS *."" The divine Word declares"
1103001400_000022,"Five letters of advice: Humbly offered: The I. To Parents: Concerning the Education of their Children, in the Fear of God. II. To Children: To excite them to Remember their Creator in the Days of their Youth. III. To the Young and Middle-Aged: To warn them of some of the Snares of Life. IV. To the Aged: To [interest] them to improve their present Time, for a blest Eternity. And the V. To All Thirsty Souls: To invite them to come to Christ, and to take the Water of Life; which He hath promised to give them freely. By a Well-Wisher to the Souls of Men.",Well-Wisher to the Souls of Men,157,1,0,0,1,1,0,7,0,0,1,0,1,4,1,1,1,9,6,1,0,3,23,5,1,2,2,2,5,0,0,9,1,1,3,1,0,3,1,1,2,0,1,1,0,3,9,4,7,0,12,7,0,3,4,0,1,1,3,1,1754,1,1,"London : printed by J. Hart in Popping's-Court, Fleet-Street: and sold by J. Lewis, in Pater-Noster-Row; and G. Keith at the Bible and Crown in Grace-Church-Street, MDCCLIV. [1754].",London,85,unknown,,,FALSE,"against God's holy Law , & Sins against his saving Gospel . Think again, That you cannot answer God's Law & Justice, for one Sin of a Thousand i that God hath said, ""( Cursed be he that continueth not in all Things Which are written in the Book of"
0773700302_000009,"Twenty discourses on the following important subjects, viz. I. The woman of Samaria. ... XX. The beatific vision; or, beholding Jesus crucified. By John Cennick. Vol. II.",John Cennick,120,1,1,0,10,2,0,6,2,0,1,1,0,4,1,1,1,3,12,2,1,2,10,0,2,0,0,3,3,6,1,2,3,1,2,5,1,0,0,1,0,1,0,0,2,0,3,3,4,1,2,1,2,1,0,4,1,1,0,3,1790,2,2,"London : printed and sold by H. Trapp, 1790 [1791].",London,430,male,1718,1755,TRUE,"appropriate the Lamb and his merits and righteousness to themselves. It is the very evidence, witness, and possessing of our Saviour who is unseen, and brings with it blefiednefs, peace, life , and the kingdom of God . According to the scriptures , a man cannot be a believer without"
0435000800_000006,"A sermon preached at the ordination of the Reverend Mr. Joseph Woodman, to the pastoral care of the church and congregation in Sanborntown, in New-Hampshire, November 13, 1771. By Moses Hale, M.A. Pastor of the Second Church in Newbury.","First Congregational Church (Sanbornton, N.H.)",145,0,0,3,8,0,0,5,0,0,2,1,0,4,0,0,1,2,5,1,0,3,8,13,0,1,6,0,7,4,1,1,6,0,3,1,1,3,0,0,1,2,4,0,9,1,3,6,1,2,4,7,0,2,1,4,5,1,1,1,1772,1,1,"Salem [Mass.] : Printed by Samuel and Ebenezer Hall, near the exchange, MDCCLXXII. [1772].",Boston,34,unknown,,,FALSE,"preached unto you, let him be accursed. It must then be a matter of great concernment to us to know the truth as it is in jefus to have right apprehensions of the gospel ;. for none but evangelical truths and principles, admitted into the mind and heart , will"
1092300100_000033,"Compassionate warning and advice to all, Especially to Young Persons. Being the gift of the author.",Richard Baxter,162,3,0,0,10,1,2,5,0,5,0,5,1,4,1,1,3,0,2,8,0,2,17,2,2,0,0,3,12,1,1,5,5,0,0,10,0,4,0,0,0,1,2,2,0,1,3,1,3,0,10,3,0,8,0,1,1,1,1,9,1720,1,1,"London : [s.n.], Printed in the Year [illegible]  [1720].",London,356,male,1615,1691,FALSE,"Glory . A Short CAT E C HI S M for those that have learned the flrjt. qlnefr. 1 7t HA do you believe con. jnt. V Y cerning GOD ? Anfw. There is only one God ; an Infinite Spirit of Life , Understanding and v'ih, rnmot rcrfetly powerful"
