PassageID,Title,Author,Total termFreq,termFreq(answer),termFreq(appear),termFreq(armi),termFreq(brought),termFreq(cafe),termFreq(caus),termFreq(church),termFreq(citi),termFreq(command),termFreq(common),termFreq(court),termFreq(crown),termFreq(death),termFreq(declar),termFreq(duke),termFreq(earl),termFreq(england),termFreq(father),termFreq(forc),termFreq(franc),termFreq(gave),termFreq(gener),termFreq(god),termFreq(grant),termFreq(hall),termFreq(hand),termFreq(head),termFreq(honour),termFreq(hous),termFreq(israel),termFreq(king),termFreq(kingdom),termFreq(know),termFreq(laid),termFreq(land),termFreq(law),termFreq(letter),termFreq(life),termFreq(matter),termFreq(mean),termFreq(offic),termFreq(order),termFreq(parliament),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(princ),termFreq(queen),termFreq(receiv),termFreq(reign),termFreq(return),termFreq(servant),termFreq(set),termFreq(taken),termFreq(thought),termFreq(took),termFreq(war),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1153100204_000037,"The history of England, from the earliest times to the death of George II. By Dr. Goldsmith. In four volumes. ...",Oliver Goldsmith,90,1,0,2,0,0,0,0,1,2,1,2,1,0,0,9,4,4,0,4,5,0,4,0,0,1,1,2,0,3,0,4,3,0,1,0,0,1,1,0,2,2,1,1,6,2,0,2,1,2,3,1,0,2,0,1,3,2,0,2,0,1789,4,4,"Dublin : printed for Messrs. W. Sleater, H. Chamberlaine, J. Potts, W. Colles, R. Moncrieffe, T. Walker, W. Wilson, J. Exshaw, and L. White, M,DCC,LXXXIX. [1789].",Dublin,299,male,1728,1774,TRUE,"secretary in England , desired permifilon to return home. But the confederates were loud in their complaints they expostulated with the ministers at Utrecht upon so perfidious aconduct; but they were told that letters had been lately received from the queen , in which ihe complained, that as the ftates"
0004600102_000637,"A new history of England, from the earliest accounts of Britain, to the ratification of the Peace of Versailles, 1763. Humbly Inscribed to the Queen. By Mr. Mortimer.",Thomas Mortimer,85,3,0,1,0,1,1,0,2,2,3,3,1,0,3,1,3,1,0,0,1,0,0,3,1,0,1,1,0,2,0,7,3,0,0,1,2,0,2,0,2,2,2,9,0,1,1,1,3,3,4,0,0,1,0,1,2,1,1,1,1,1764,2,3,"London : printed for J. Wilson and J. Fell, in Paternoster-Row; and sold by Mr. Fletcher at Oxford, Messrs. Fletcher and Hodson at Cambridge, Mr. Smith at Dublin, and by all the booksellers in Great-Britain and Ireland, MDCCLXIV. [1764]-66.",London,737,male,1730,1810,FALSE,"Westminster on the second of January, to guard and bring in triumph the persons of the accused members (who had taken ihel ter in the city ), as such worthy patriots that the commonwealth, at present , could not subsist independent of them. The king being informed of these proceedings,"
1374500101_000115,"Historical collections of private passages of state, weighty matters in law, remarkable proceedings in five Parliaments. Beginning the sixteenth year of King James, anno 1618. And ending the fifth year of King Charles, anno 1629. Digested in order of time. And now published by John Rushworth of Lincolns-Inn, Esq;.",John Rushworth,93,0,0,0,2,0,1,1,0,2,1,1,1,2,1,5,2,2,7,0,1,1,1,1,0,2,1,0,0,0,0,18,1,0,1,0,1,1,1,1,1,4,2,2,4,0,5,2,3,1,2,3,1,0,0,0,2,0,1,1,0,1721,1,8,"London : printed for D. Browne, J. Walthoe, J. Knapton, R. Knaplock, S. Buckley, J. and B. Sprint, B. Tooke, J. Darby, D. Midwinter, J. Tonson, B. Cowse, E. Bell, R. Robinson, J. Round, S. Burrows, E. Symon, T. Wotton, and T. Jauncey, M DCC XXI. [1721].",London,777,male,1612,1690,FALSE,"appoint; that the King's pleasure be known concerning the time of his Father's Funeral, and where the Corps shall rect in the mean time, as also the time of his Majesty's Coronation. This being done, the whole Council attended the King at St. fmes's s where the Lord Keeper, in"
1725200300_000119,"A new geographical and historical grammar: Wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A description of the figure and motion of the Earth. II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respective forms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopricks, manners, customs, habits, and coins, in use in the several kingdoms and states described. By Mr. Salmon. Illustrated with a set of twenty-three new maps of the several countries drawn, by the direction of Mr. Salmon, and ingraved by Mr. Jefferys, geographer to his Royal Highness the Prince of Wales.",Thomas Salmon,95,2,0,1,1,0,1,0,1,0,5,0,1,1,3,4,3,0,1,1,4,1,1,0,3,0,0,0,0,2,0,16,0,0,1,3,1,0,1,0,0,2,3,9,0,2,0,0,1,3,2,2,4,2,1,2,1,0,0,3,0,1754,1,1,"London : Printed for William Johnston, at the Golden-Ball in St. Paul's Church-Yard, MDCCLIV. [1754].",London,678,male,1679,1767,FALSE,"without the Infanta, the Match being abruptly broken off. A fourth Parliament was called in 1623, and the Proceedings in the spanijt Match being laid before themi, the Duke of Bucki; nghamn's Conduod in Span, was approved, ind they gave the King a Supply to declare War against Spain and"
0324500700_000097,"A new history of England, by question and answer, extracted from the most celebrated English historians, particularly M. Rapin de Thoyras, for the instruction and entertainment of our youth of both sexes. By the author of the Roman history by question and answer.",John Lockman,80,0,0,2,2,0,1,1,0,4,2,2,2,0,2,2,3,4,0,2,3,3,1,0,0,0,0,1,0,5,0,6,0,0,1,0,1,1,1,1,2,1,3,4,1,2,1,3,0,2,1,1,0,0,0,1,0,0,1,2,2,1770,1,1,"London : printed for J. Rivingto R. Baldwin, T. Carnan and Co. W. Johnston, L. Hawes, W. Clarke, and R. Collins, R. Horsfield, T. Caslon, S. Bladon, B. Law, Robinson and Roberts, and W. Woodfall, M.DCC.LXX. [1770].",London,395,male,1698,1771,FALSE,"the catholic King . Count de Montijo was then in England , as ambassador from Spain; this minister set every engine at work at the. British court , in order to forward the ambitious views of the Queen of Spain; declaring that his matter had recourse to his Britannic Majesty's"
1264300302_000095,"Elements of the history of England, from the invasion of the Romans to the reign of George the Second. Translated from the French of Abbé Millot, Royal Professor of History in the University of Parma, And Member of the Academies of Lyons and Nancy. By Mr. Kenrick. In two volumes. ...",Claude-François-Xavier Millot,86,0,0,1,0,0,0,1,0,1,1,5,2,3,2,3,2,7,1,2,3,0,1,0,0,0,1,1,1,0,0,5,3,0,0,1,1,1,0,0,0,2,0,8,4,2,1,0,0,2,5,2,3,0,0,0,1,0,2,4,1,1771,2,2,"Dublin : printed for James Williams, at No. 5. in Skinner-Row, MDCCLXXI. [1771].",Dublin,361,male,1726,1785,FALSE,"circumatances are more than sufficient to immortalise him. Yet though .great in his conduet, he was unhappy in his court , and the, king had reasons to re great the happiness of the Stadtholder.  He was tlo friend to letters . Had he'been as attentive as Louis XIV to"
0138200200_000103,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A description of the figure and motion of the earth. II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respective forms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopries, manners, customs, habits, and coins, in use in the several kingdoms and states described. By Mr. Salmon. Illustrated with a set of twenty-two new maps of the several countries; drawn, by the direction of Mr. Salmon, and ingraved by Mr. Jefferys, geographer to his royal highness the Prince of Wales.",Thomas Salmon,90,0,0,1,0,0,1,1,1,1,2,1,1,1,1,2,5,3,1,1,4,2,1,0,2,0,0,0,0,0,0,14,0,0,1,3,1,0,0,0,0,1,3,9,0,1,0,1,1,7,3,1,3,2,1,1,1,0,0,4,0,1749,1,1,"London : printed for William Johnston, at the Golden-Ball in St. Paul's-Church-Yard, MDCCXLIX. [1749].",London,647,male,1679,1767,FALSE,"by the Contrivance of the Earl of Scmerjet and his Countess. And, 5i61.3 The Murderers were executed. Among whom was Sir Gerrcafe Elis,, whom the Earl had procured to be made Governor of the Tower, to facilitate his Design. 1616.] The Earl of Somerset and his Countess were tried and"
0674200104_000037,"The history of England, from the earliest times to the death of George II. By Dr. Goldsmith.",Oliver Goldsmith,85,0,0,3,0,0,0,0,1,3,1,1,1,0,0,11,4,3,0,5,4,0,4,0,0,1,1,2,0,2,0,3,3,0,1,1,1,2,1,0,1,2,1,1,3,2,0,2,1,3,2,1,0,2,0,1,2,0,0,2,0,1784,4,4,"London : printed for J. F. and C. Rivington, B. Law, Richardson and Urquhart, G. Robinson, T. Cadell, J. Murray, T. Evans, J. Sewell, R. Baldwin, S. Hayes, and E. Newbery, MDCCLXXXIV. [1784].",London,443,male,1728,1774,TRUE,"army in Slanders not to at upon the offensive. Upon the dif mifflion of the duke of Marlborough, the duke of Ormond had been invested with the supreme command of the British forces ; but with particular directions that he should not hazard an engagement. However, he joined prince Eugene"
0565200101_000020,"The peerage of England, Scotland, and Ireland; or, the ancient and present state of the nobility. Containing a genealogical account of the respective peers; whether by tenure, summons, or creation; their descents and collateral branches; births, marriages, issue; chief seats, coats of arms, crests, supporters. And literal translations of the mottos. To which are annexed the extinct and forfeited peerages, and an alphabetical index of all family names of the peers, and titles of their eldest sons. In three volumes. ...",,87,0,1,4,1,0,1,0,0,2,2,1,1,1,2,4,2,3,4,1,5,0,4,1,0,0,2,2,1,5,0,7,1,0,0,1,1,0,2,0,0,2,0,1,4,1,0,2,0,6,4,0,2,0,0,1,1,0,1,0,0,1790,1,3,"London : printed for W. Owen, in Fleet Street; L. Davis, in Holborn; and J. Debrett in Piccadilly, M.DCC.XC. [1790].",London,597,unknown,,,FALSE,"remiflnefs of the Princes of the Empire in furnishing their promised quotas of troops, he therefore figni sied to the Imperial Court his determination to quit the army . Ille Emperor was greatly alarmed at this resolution, and endea your*n vowred to difuade him from it, promising that he &iouldla"
0250000800_000084,"The present state of Great Britain and Ireland, in three parts. The I. Of South Britain II. Of North , III. Of Ireland. Containing An Accurate and Impartial Account of these Famous Islands: Of their several Counties, and Inhabitants; the Advantages and Disadvantages of Both, in respect to Foreign Countries; and their Curiosities, of Nature and Art. Of the vast, populous, and opulent City of London, the Metropolis of England; and of the Two celebrated Universities, Oxford and Cambridge. Of the Britons Original, Language, Temper, Genius, Religion, Morals, Trade, &c. Their Nobility, Gentry, Clergy, and Commonalty. Their Laws and Government; and a succinct History of all the English Monarchs to this Time. With Lists of the present Officers in Church and State; And of both Houses of Parliament; Also the present state of His Majesty's dominions in Germany.",Guy Miège,92,0,0,1,1,1,1,2,0,3,0,2,7,1,1,1,0,2,1,0,3,0,1,0,0,0,0,0,3,1,1,17,3,0,0,3,6,1,1,0,2,2,0,4,1,2,1,5,2,1,1,1,1,1,1,0,0,0,0,3,0,1723,1,1,"London : printed for A. Bettesworth, G. Strahan, J. Round, J. Brotherton, W. Mears, and J. Clark, MDCCXXIII. [1723].",London,788,male,1644,1718,FALSE,"upon one another. The King has all the Ensigns of Royalty, as the Crown , Sceptre, Puzrple Robe, Golden Globe, and iholy Unction, At his Accession to the Crown , he is wro: limed with great Solemnity; and his Co;; -...:; performed with great Pomp and Magnificence. He He has"
0190500101_000021,"The peerage of England; containing a genealogical and historical account of all the peers of that kingdom, now existing, either by tenure, summons, or creation; their descents and collateral lines: Their births, marriages, and issue: famous actions both in war and peace: religious and charitable donations: Deaths, places of burial, monuments, epitaphs: and many valuable memoirs never before printed. Also their paternal coats of arms, crests, supporters and mottoes, curiously engraved on zoo copper-plates. collected from records, old wills, authentic manuscripts, our most approved historians, and other authorities, which are cited. By Arthur Collins, Esq; In seven volumes.",Arthur Collins,85,0,1,1,1,1,0,1,1,0,0,2,1,0,2,3,5,1,6,4,0,1,2,1,2,1,0,1,2,1,0,7,3,0,0,3,0,1,1,1,1,0,5,2,0,1,1,1,2,9,1,1,0,0,0,1,1,1,0,1,0,1768,1,7,"London : printed for H. Woodfall, J. Beecroft, W. Strahan, J. Rivington, W. Sandby, J. Fuller, R. Baldwin, L. Hawes, W. Clarke, and R. Collins, R. Horsefield, W. Johnston, T. Caslon, S. Crowder, T. Longman, C. Rivington, W. Griffin, M. and J. Shuckburgh, W. Nicoll, S. Bladon, M. Folingsby, T. Payne, J. Ronson, T. Davies, R. Davies, J. Almon, and H. Gardner, MDCCLXVIII. [1768].",London,502,male,1682,1760,FALSE,"first, or former, who enjoyed the said title. But he was not created Prince of Wales, Earl of Chelter and Flint, till November 4, i616, when, being of a manly age, and had worn off a sedentary life , with the first infirmities of constitution, it was thought convenient to"
0084500200_000327,"The modern universal British traveller; or, a new, complete, and accurate tour through England, Wales, Scotland, and the neighbouring islands. Comprising all that is worthy of observation in Great Britain. ... The articles respecting England, by Charles Burlington, ... t Wales, by David Llewellyn Rees, ... of Scotland, by Alexander Murray, ...","Murray, Alexander, M.A.",89,0,2,6,1,0,0,0,4,1,1,0,6,0,1,4,2,2,1,3,5,0,0,0,1,0,0,2,1,1,0,10,5,0,1,0,1,0,0,1,0,0,1,0,1,3,1,1,0,5,1,2,4,1,0,1,2,1,1,2,0,1779,1,1,"London : printed for J. Cooke, 1779.",London,965,unknown,,,FALSE,"himself mailer of the of the crown , which he accepted, after swearing in the Tower, and the city , threw off the mafi, and pub mot solemn manner to preserve inviolate their ancient licly avowed that his design in taking up arms was to laws and privileges. eftablith the"
0138200200_000128,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A description of the figure and motion of the earth. II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respective forms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopries, manners, customs, habits, and coins, in use in the several kingdoms and states described. By Mr. Salmon. Illustrated with a set of twenty-two new maps of the several countries; drawn, by the direction of Mr. Salmon, and ingraved by Mr. Jefferys, geographer to his royal highness the Prince of Wales.",Thomas Salmon,85,1,0,2,0,1,0,2,0,1,3,1,1,1,1,7,3,4,0,4,0,2,5,0,0,0,0,0,0,3,0,6,1,0,1,3,2,2,1,0,1,3,4,2,0,0,1,0,1,1,1,0,0,2,1,0,2,1,2,5,0,1749,1,1,"London : printed for William Johnston, at the Golden-Ball in St. Paul's-Church-Yard, MDCCXLIX. [1749].",London,647,male,1679,1767,FALSE,"the Revolution; Duke Hamilton, and great Numbers of his Adherents, looking upon this Parliament to be dissolved by the Death of King William, withdrew and refused to sit amongit them; but the Queen's Commissioner, the Duke of Queensborough, produced her Majesty's Letter to them, and continued the Session. J, northeast"
0988700102_001048,"The history of England. Written in French by Mr. Rapin de Thoyras. Translated into English, with additional notes, by N. Tindal, M.A. Rector of Alverstoke in Hampshire, and chaplain to the Royal Hospital at Greenwich. The third edition. Illustrated with maps, genealogical tables, and the heads and monuments, of the kings, engraven on seventy seven copper plates. ...",Paul de Rapin,88,1,1,5,0,1,0,1,0,1,6,0,0,0,0,1,1,4,1,3,0,1,1,1,0,0,0,1,1,5,0,9,2,1,1,3,5,3,0,1,0,1,0,2,0,1,3,1,4,4,1,1,0,1,0,0,3,1,2,2,0,1743,2,2,"London : printed for John and Paul Knapton, at the Crown in Ludgate-Street, MDCCXLIII. [1743].",London,852,male,1661,1725,TRUE,"Dowcet, who were then ru(hworlb, VII p., 241 in custody. 24sz, 148s, It was not only upon this point, but several others, 1249 where difficulties occurred, that they were forced to send p., 6i, expreftes to the King . It suffices to say, that the Parlia sa66. ment's commilnioners departed"
