PassageID,Title,Author,Total termFreq,termFreq(albion),termFreq(beauti),termFreq(beneath),termFreq(black),termFreq(bodi),termFreq(bright),termFreq(cloud),termFreq(couch),termFreq(dai),termFreq(dark),termFreq(death),termFreq(deep),termFreq(delight),termFreq(divin),termFreq(earth),termFreq(etern),termFreq(father),termFreq(fear),termFreq(femal),termFreq(form),termFreq(forth),termFreq(god),termFreq(gold),termFreq(green),termFreq(hand),termFreq(happi),termFreq(harrow),termFreq(head),termFreq(heard),termFreq(heart),termFreq(heaven),termFreq(holi),termFreq(human),termFreq(immort),termFreq(jerusalem),termFreq(joi),termFreq(know),termFreq(lamb),termFreq(life),termFreq(light),termFreq(littl),termFreq(loud),termFreq(love),termFreq(mild),termFreq(morn),termFreq(mother),termFreq(nation),termFreq(night),termFreq(piti),termFreq(power),termFreq(round),termFreq(satan),termFreq(sea),termFreq(self),termFreq(seven),termFreq(shadow),termFreq(silent),termFreq(sleep),termFreq(soft),termFreq(son),termFreq(song),termFreq(space),termFreq(spectr),termFreq(starri),termFreq(stood),termFreq(sun),termFreq(sweet),termFreq(tear),termFreq(terribl),termFreq(thro),termFreq(time),termFreq(trembl),termFreq(voic),termFreq(war),termFreq(weep),termFreq(wept),termFreq(world),termFreq(year),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0535000400_000002,"The redemption, A monody. By Mr. Scott, Fellow of Trinity-College, Cambridge.","Scott, James",69,0,1,1,0,0,2,1,0,1,2,2,0,2,1,1,5,4,0,0,0,0,2,0,0,1,1,0,1,0,0,6,0,0,2,0,1,1,2,0,2,0,0,3,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,3,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,0,1763,1,1,"Cambridge : printed and sold by Fletcher & Hodson, Booksellers on the Market-Hill: sold also by Messrs. Wilson & Fell in Pater-Noster-Row, and Mr. Dodsley in Pall-Mall, London ; and Mr. Jackson, Oxford, MDCCLXIII. [1763].",Cambridge,15,male,1733,1814,FALSE,"cheers his drooping sense, And bids full fireams of heavenly music flow. THE H Y M N. Hail * Sun of Righteoufhefs, whose healing ray Can pierce the darkness of Egyptian night ; Though' now some earthborn clouds obstruct thy way, Soon shalt thou blaze in thy meridian height; And"
0713800400_000012,"A collection of all the poems written by William Drummond, Of Hawthornden.",William Drummond of Hawthornden,91,0,4,1,1,0,4,2,0,4,2,2,0,3,0,6,2,0,0,0,0,0,0,4,1,1,1,0,1,0,2,4,0,0,0,0,3,0,0,4,2,1,0,3,0,1,0,0,4,2,1,2,0,1,0,0,0,0,0,0,5,1,1,0,1,0,3,3,2,0,0,0,0,1,0,1,0,4,0,1711,1,1,"Edinburgh : printed by James Watson, in Craig's-Closs, 1711.",Edinburgh,63,male,1585,1649,FALSE,"0 E M S. The Second Part. i. SONNET. O F mortal Glory O Coon darkened Ray! O posting Joys of Man! more swift than Wind, O fond Desires! which winged with Fancies stray, O traitr'ous Hopes! which doour Judgments blind: Lo, in a Flail that Light is gone away,"
0630800100_000030,"A collection of psalms and hymns and spiritual songs: for the use of Christians of every denomination. By the Rev. D. Simpson, M.A.","Simpson, David",88,0,0,0,0,0,3,3,0,1,1,2,2,0,4,2,1,1,1,0,1,1,5,0,0,2,2,0,1,0,1,3,2,0,0,0,2,0,0,2,4,2,0,4,0,0,0,1,1,0,3,2,1,1,1,0,0,0,0,1,0,2,1,0,1,0,3,2,1,0,0,3,1,3,0,0,1,5,1,1780,1,1,"Macclesfield : printed by T. Bayley, 1780.",Macclesfield,572,male,1745,1799,FALSE,"isle all the Stars that round her burn, d ali the Planets in their Turn, firm the Tidings as they roll, d spread the Truth from Pole to Pole. hat though, in solemn Silence, all )ve round the dark terreltrial Ball? hat though nor real Voice nor Sound aid their"
0644800700_000017,"Divine poems and essays on various subjects. Viz. Immanuel; or, the Godhead of Christ displayed. A Meditation written in a Bower at Lady Grove, Sutton. Elegies. Epithalamiums. Epistles to Miranda, &c. Hymns. A Poem on Redemption. A Walk at Enfield. Meditations on the Canticles. - for the Lord's Supper. Christ All in All. Meditations on Rev. xii. 6. A Summer Day's Excursion. Odes. Letters. A Soliloquy. By Maria De Fleury. With recommendatory prefaces, by the Rev. Mr Wills, Rev. Mr Towers, and Rev. Mr Ryland.",Maria de Fleury,94,0,0,1,1,0,6,1,0,2,1,4,1,1,3,3,4,1,0,0,0,2,12,0,0,3,0,0,1,0,2,6,2,0,3,0,5,0,1,2,2,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,1,0,0,0,0,1,1,0,0,0,2,0,3,0,3,0,3,1,1791,1,1,"London : printed for the author, and sold by T. Wilkins, Aldermanbury; by Bellamy and Roberts, No. 202, Strand; M. Trapp, No. 1, Pater-Noster Row; Mr. Nott, Lombard street; M. Gurney, No. 128, Holborn, and by the author, No. 31, Jewin-Street, [1791].",London,255,female,1773,1791,FALSE,"of life , Who bids him with an angel's face appear, 1300 And smiling, gently summons him away From all the ills of time , to the bright realms Of perfec peace, and sweet celestial day . In his calm soul no awful terrors rise, No dismal gloom distorts his"
0264100400_000031,"The conquest of Canäan; a poem, in eleven books.",Timothy Dwight IV,91,0,5,1,0,0,2,1,0,3,0,0,0,1,1,5,2,1,0,0,5,0,2,2,2,0,1,0,0,0,1,8,0,0,3,0,3,0,0,3,4,1,0,3,2,5,0,1,1,0,1,3,0,1,0,0,0,0,1,2,3,0,0,0,0,0,1,2,1,0,0,2,1,1,1,1,0,1,0,1788,1,1,"[London] : Hartford, New-England: printed MDCCLXXXV. London: reprinted for J. Johnson, No 72, St. Paul's Church-Yard, 1788.",London,363,male,1752,1817,FALSE,"rich perfumes in morning breezes flowed; sweet Peace'around it waved her balmy wing, and Youth unchanging dressed eteral spring. G 5 There, There, 0 blessed lot! each innocent employ Had formed , and cheriff'd mild , domestic joy : The walk all pleafing, virtuous love refined; 139 Our flocks, our"
0835800600_000012,"The poems of William Drummond, of Hawthornden.",William Drummond of Hawthornden,91,0,3,1,1,0,3,2,0,5,1,2,0,5,0,5,2,0,1,0,0,1,0,2,2,1,1,0,2,0,2,5,0,0,0,0,3,0,0,4,3,1,0,3,0,1,0,0,4,2,1,2,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,6,3,0,0,1,0,1,0,1,0,2,1,1791,1,1,"London : printed for E. Jeffery, Pall-Mall, M.DCC.XCI. [1791].",London,328,male,1585,1649,FALSE,"gold , Of breatt, of lip, of hair, So lively Sleep doth hew to inward sight, That wake I think I hold No No shadow , but my fair: Myself so to deceive With long fhut eyes I hun the irksome light . Such pleasure here I have Delighting in"
0321600700_000002,Sorrows. sacred to the memory of Penelope.,"Sir Brooke Boothby, 6th Baronet",85,0,4,1,0,0,2,0,1,2,4,0,0,0,1,4,1,0,1,0,6,0,0,1,2,0,0,0,3,0,2,2,0,0,2,0,3,3,0,4,0,1,0,4,1,1,0,0,0,3,0,3,0,0,0,0,1,2,1,1,1,0,0,0,0,0,2,1,4,0,0,2,1,1,0,2,0,2,2,1796,1,1,"London : printed by W. Bulmer and Co. and sold by Messrs Cadell and Davies, Strand; Edwards, Pall-Mall; and Johnson, St. Paul's Church-Yard, 1796.",London,86,male,1744,1824,FALSE,"cheer! The stream runs turbid, and the verdure dies; Dark is the room, where cold and vacant lies The couch , once warm with all my soul held dear. The allies green , where with her youthful band She sported, now return no cheerful sound; The flowery boughs that clasped"
0605100700_000007,"Edward and Eleonora, a tragedy; acted at the Theatre-Royal in Covent-Garden; altered from James Thomson. And new adapted to the stage by Thomas Hull.",James Thomson,72,1,1,3,0,0,2,1,3,1,1,1,0,0,0,2,3,0,2,0,0,0,0,0,0,3,1,0,0,1,1,3,0,0,0,0,0,0,0,2,2,3,1,3,1,0,1,0,0,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,1,9,0,0,0,2,1,0,1,1,1,2,1775,1,1,"London : printed for J. Bell, near Exeter-Exchange Strand; and C. Etherington, at York, M,DCC,LXXV. [1775].",London,69,male,1700,1748,TRUE,"heart eafing Grief exhale thy Passion: All other Comfort, now, were to talc down The Winds and raging Seas . But yonder comes Th' Arabian P rincefs. From her Tears I learn The moving Scene withill. Entr Enttr Daraxa, and a llfnger from Selim attending at some Dijfance. DARAXA. Oh!"
0128401700_000003,"Poems. By Elizabeth Kirkham Strong, of Exeter.","Mathews, Charles, Mrs",89,0,1,1,0,2,7,2,0,3,0,4,1,2,3,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,8,2,0,0,0,0,3,0,0,2,3,0,1,5,3,2,0,0,1,2,2,0,0,1,0,0,0,1,1,3,0,0,0,0,1,0,1,4,4,0,0,0,2,2,0,1,0,0,0,1796,1,1,"Exeter : printed by J. M'Kenzie and Son, Booksellers and Stationers, High-Street; and sold at Mr. G. Dyer's Library, Fore-Street; also, by Mr. W. Richardson, London, [1796].",Exeter,74,female,,,FALSE,"tolls the knell of death , The lovely Ann has yielded up her breath; Her pains are over, her gentle spirit's fled, Her body's numbered with the silent dead. The grimly tyrant, with unerring dart, Has pierced her young, her good, her generous heart . C. Could Could not thy"
0373800900_000005,"Poems. By Thomas Townshend, Esq. of Gray's Inn.","Townshend, Thomas, of Gray's Inn",97,0,0,0,0,0,3,2,0,4,0,0,0,1,1,1,1,0,0,0,1,0,4,1,2,3,0,0,1,0,2,4,0,0,2,0,4,0,0,4,5,0,0,9,1,0,0,0,0,2,3,2,0,0,0,0,0,0,0,7,0,5,1,0,0,2,0,6,5,0,0,1,1,1,0,2,1,2,0,1796,1,1,"London : printed by T. Bensley, for E. and S. Harding, Pall Mall, 1796.",London,105,unknown,,,FALSE,"the swift whirl of this pendant world . While smiles of life around him gleamed, And heaven in quenchless splendour beamed, Of powers divine young joy alone, With him possessed th' eternal throne; When he in glee creative thought, And lo! the wondrous vision wrought. Bright clouds of silvery aether"
0149501500_000002,"Evelina: a poem. By John Huddlestone Wynne, gent.",John Huddlestone Wynne,75,2,1,1,1,0,3,4,1,5,2,2,4,1,0,4,2,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,2,0,2,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,2,1,2,6,0,0,0,0,0,0,2,0,0,1,2,0,2,1,0,1,2,1773,1,1,"London : printed by J. P. Coghlan, Printer and Bookseller, in Duke-Street, Grosvenor-Square, for George Riley , Bookseller, in Curzon-Street, May-Fair ; and sold by J. Wilkie in St. Paul's Church-Yard, MD.CC.LXXIII. [1773].",London,49,male,1743,1788,FALSE,"deathless fame: hiouigh the deep ale,  the lengthened notes rebound, And SNOWDON's heights return the solemn sound. ""VIRGIN! we come! Soon Time's short race is over! We join thee on th' irremeable hore. Virgin! we come! the fleeting hours decay, That mark Life's busy, transitory day !"" ,.... THEN"
0399001000_000001,An ode on the peace. By the author of Edwin and Eltruda.,Helen Maria Williams,89,5,0,0,1,0,1,2,1,0,1,2,2,1,0,2,0,0,2,0,9,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,4,4,0,1,7,4,1,0,0,2,1,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,10,0,0,0,7,2,1,1,1,0,0,1783,1,1,"London : printed for T. Cadell, in the Strand, M.DCC.LXXXIII. [1783].",London,19,female,1762,1827,TRUE,"J AN O D E ON THE P E A C E. BY THE AUTHOR OF EDWIN AND ELTRUDA; L O N D O N: PRINTED FOR T. CADELL, IN THE STRAND. M. DCC.LXXXIII. [ Price One Shilling. ] AN O D E, C AS wandering late on ALBION's shore"
0919900500_000047,"Paradise regained. A poem in four books. With the other poetical works of John Milton. Compared with the best editions, and revised by John Hawkey, Editor of the Latin Classics.",John Milton,74,0,0,1,1,0,2,2,0,2,2,3,1,0,2,3,1,0,0,0,0,0,1,0,0,0,2,0,1,1,1,4,2,1,1,0,4,1,0,0,1,2,3,3,1,0,0,0,3,0,2,0,0,1,1,0,0,0,0,1,0,3,0,0,1,0,0,0,3,0,0,3,0,2,0,1,1,2,1,1752,1,1,"Dublin : printed by S. Powell, for the editor, MDCCLII. [1752].",Dublin,394,male,1608,1674,TRUE,"thy sorrows wild; Think what a present thou to God hast sent, And render him with patience what he lent. This if thou do, he will an off spring give, That till the world's last end shall make thy name to live. F f The The Passion. re^wiile of tnufck"
0883500200_000022,Poems on various subjects. By Edward Stephens.,"Stephens, Edward",88,0,0,1,0,1,2,3,0,1,2,0,3,0,3,2,5,1,0,0,6,2,4,1,1,1,0,0,0,0,1,5,0,0,3,0,3,0,0,3,3,0,0,3,1,1,0,0,0,0,5,2,1,1,1,0,0,0,2,2,2,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,4,1,1759,1,1,"London : printed for R. and J. Dodsley, in Pall-Mall, MDCCLIX. [1759].",London,206,male,1747,1765,FALSE,"joys Or everlajflig woe. Else whence there pangs, These guilt formed tortures in my labouring breast How soon will this beloved, this curious form , Convulsed and gasping now, deserted lie Immured in the dark prison of the grave, Cold, uninspired, pale, breathless and forlorn, Corruption's prey! But where, 0"
0874200800_000002,The cure of Saul: a sacred ode. Written by Dr. Brown. The music composed by Mr. Arnold.,John Brown,68,0,0,1,1,0,2,2,0,2,2,0,1,0,4,1,2,1,0,0,0,0,5,0,0,0,2,0,1,1,2,4,2,0,1,0,3,0,0,0,2,0,1,1,0,1,0,0,0,1,4,1,0,0,0,0,0,1,3,1,1,2,0,0,1,0,0,0,1,0,0,0,1,3,0,1,0,2,0,1771,1,1,"Hereford : printed by C. Pugh, MDCCLXXI. [1771].",Hereford,17,male,1735,1766,TRUE,"die 1' R E C I T. They lcffen now, and lessen on the ear! C HO R U S. ""Oh save us, Heaven ! we fink! we die! R E C I T. Now, the ftrire of Fate is over! The countless hops For ever los! The gulf is"
0388201702_000031,The Messiah. Attempted from the German of Mr. Klopstock. To which is prefix'd his introduction on divine poetry. ...,Friedrich Gottlieb Klopstock,74,0,1,0,0,1,0,3,0,0,0,4,0,0,2,5,2,1,0,0,2,1,0,0,0,0,1,0,4,0,1,2,2,2,4,1,1,3,0,2,0,0,1,1,0,0,7,0,0,1,0,1,0,1,0,0,0,2,0,2,1,1,0,0,0,1,0,1,2,0,0,1,3,0,0,1,1,1,0,1766,2,2,"London : printed for J. Dodsley, F. Newbery, and J. Collyer, 1766.",London,285,male,1724,1803,FALSE,"cross. Dreadfully flowed the sacred blood, by them unjustly shed. On them it came, and on their children. Fain would they have turned aftde their faces; but irrefiltibly impelled by terror, their eyes were continually directed towards the bloody cross. URIEL, having still another command to execute, descended from the"
1148801600_000003,"Thoughts on the glorious Epiphany, of the Lord Jesus Christ. A poetical essay, written at Southampton in the year MDCCLVII. Sacred to friendship. By William Dodd, A. M. Lecturer of West Ham, Essex, and St. Olave's, Hart-Street, London.",William Dodd,98,0,0,2,0,1,1,0,0,1,1,0,4,2,4,6,2,1,0,0,1,3,2,1,1,0,2,0,1,1,6,3,0,2,1,0,2,0,0,2,3,0,2,16,0,1,0,1,0,2,2,1,0,1,0,0,0,1,1,1,2,0,0,0,0,0,1,3,1,0,0,1,2,0,2,0,0,1,0,1777,1,1,"London : printed for G. Kearsly, No. 46, near Serjeants Inn, Fleet-Street, M,DCC,LXXVII. [1777].",London,63,male,1729,1777,FALSE,"With visage wan, and port disconsolate 40 From burdened breast heaving the deep fetched groan, From languid eye bursting the trembling tear ; - What Briton wears a heart , steele to the touch Of gentle Pity ? Who can then refuse A sympathetic feeling of their woe 45 Oh,"
1481900500_000039,The death of Abel. In five books. Attempted from the German of Mr. Gessner.,Salomon Gessner,76,0,2,0,0,1,1,0,1,1,1,2,1,3,1,2,1,1,0,0,1,1,1,0,0,2,2,0,0,1,3,2,1,1,1,0,2,4,0,4,2,1,0,6,0,0,0,0,3,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,3,3,0,0,0,1,1,0,3,1,0,1,1767,1,1,"Dublin : Printed for the Company of Booksellers: and sold by A. Leathley, W. and W. Smith, G. Faulkner, P. Wilson, J. Exshaw, H. Bradley, W. Watson, S. Watson, and T. Ewing, M,DCC,LXVII. [1767].",Dublin,159,male,1730,1788,FALSE,"myself could lose all reniembrance of mnyfelf! Dreadful wiih of extreme deiolation! CAIN having thus spoke, remained Ifill near the cottages. He groaned, he raised his eyes to Heaven ; when he heard the foot teps of one advancing slowly through the gloom. A cold lhi I vering vering, like"
0622500300_000003,"Poems on several occasions. By the late Edward Lovibond, Esq.",Edward Lovibond,58,1,1,1,0,0,2,4,0,2,0,0,1,0,0,2,2,0,1,0,0,0,0,1,1,1,0,0,1,1,2,1,0,0,1,0,2,0,0,2,1,0,0,2,1,2,0,0,1,0,1,1,0,1,0,0,0,1,1,2,0,1,2,0,0,0,2,2,1,0,0,1,1,1,0,1,0,0,2,1785,1,1,"London : printed for J. Dodsley, Pall-Mall, M.DCC.LXXXV. [1785].",London,214,male,1724,1775,FALSE,"sportive dance. Sudden in pensive sadness drooped her head , Saint on her cheeks the blushing crimson died 0! chase victorious triumphs, whither fled? My maiden honours, whither gone,"" Ihe cried? Ah i once to fame and bright dominion born, The earth and smiling ocean saw me rise, With time"
0961300800_000004,Spring. A poem. By Mr. Thomson.,James Thomson,71,0,0,1,0,0,0,2,0,2,1,1,2,0,0,3,1,0,1,0,2,1,0,0,1,1,2,0,0,1,4,1,1,1,0,0,3,0,1,4,1,0,0,2,0,2,0,1,0,0,3,4,0,1,1,0,0,2,1,2,1,1,0,0,0,0,3,1,0,0,0,2,0,1,0,1,1,1,2,1729,1,1,"London : printed for A. Millar, at Buchanan's Head over-against St. Clement's Church in the Strand, [1729].",London,70,male,1700,1748,TRUE,"Shade; and Saturated Earth Awaits the Morning Beam, to give again, Transmuted soon by Nature's Chymiltry, The blooming Blessings of the former Day . T i E N spring the living Herbs, profusely wild Over all the deep green Earth , beyond the Power Of Botanist to number up their"
