PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(answer),termFreq(appear),termFreq(author),termFreq(cafe),termFreq(concern),termFreq(copi),termFreq(countri),termFreq(court),termFreq(date),termFreq(desir),termFreq(duke),termFreq(end),termFreq(england),termFreq(fend),termFreq(follow),termFreq(form),termFreq(friend),termFreq(gener),termFreq(god),termFreq(hand),termFreq(hope),termFreq(hous),termFreq(inform),termFreq(know),termFreq(ladi),termFreq(late),termFreq(law),termFreq(letter),termFreq(life),termFreq(littl),termFreq(london),termFreq(love),termFreq(manner),termFreq(mean),termFreq(mention),termFreq(noth),termFreq(number),termFreq(offic),termFreq(order),termFreq(paper),termFreq(peopl),termFreq(person),termFreq(power),termFreq(present),termFreq(read),termFreq(reason),termFreq(receiv),termFreq(return),termFreq(servant),termFreq(sever),termFreq(taken),termFreq(think),termFreq(thought),termFreq(word),termFreq(write),termFreq(written),termFreq(wrote),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1354100104_000050,"The works of J.S, D.D, D.S.P.D. in six volumes. Containing, I. The author's miscellanies in prose. II. His poetical writings. III. The travels of Captain Lemuel Gulliver. IV. His papers relating to Ireland, consisting of several treatise; among which are, the Drapier's letters to the people of Ireland against receiving wood's half-pence. V. The conduct of the allies, and the examiners. VI. The publick spirit of the whigs; and other pieces of political writings, with polite conversations, &c.",Jonathan Swift,67,2,0,2,6,1,2,1,1,0,2,0,0,2,1,0,3,1,2,1,0,1,0,2,1,1,0,0,0,5,0,1,1,0,0,0,0,0,0,0,1,3,3,1,1,0,0,2,4,0,1,2,2,1,1,0,2,3,1,1738,4,6,"Dublin : Printed by George Faulkner, in Essex-street, M,DCC,XXVIII. [1728].",Dublin,383,male,1667,1745,TRUE,"honeit engli/h Farmer: But not without Regret, for leaving my countrymen: : the Dread of the hbrazen ttl0as of Mr. jw oodi my most,, Ng N 0 loyal and innocent country men, to whom I owe so much for their good Opinion of me, and my poor Endeavours to fcerve"
1261600400_000071,"First report from the Committee of Secrecy, To whom the several Papers referred to In His Majesty's Message Of The 12th Of May, 1794 And which were presented (sealed up) to the House, by MR. Secretary Dundas, Upon the 12th and 13th Days of the said Month, BY His Majesty's Command, Were Referred; And who were directed to examine the Matters thereof, and report the same, as they should appear to them, to the House; have proceeded, in Obedience to the Orders of the House, to the Consideration of the Matters referred to them. Ordered to be printed 17th May 1794.",Great Britain. Parliament. House of Commons,75,1,0,1,0,0,0,4,0,0,0,1,3,2,0,1,1,2,3,3,0,1,1,2,5,3,0,0,1,5,0,0,3,0,0,4,0,0,0,0,1,0,6,1,1,3,0,1,1,1,2,2,2,2,3,1,1,0,0,1794,1,1,"London : printed for J. Debrett, Opposite Burlington House, Piccadilly, [1794].",London,318,unknown,,,FALSE,"orm you of their Names andrefidence, which are as follows , --  o0lr principal Design in doing this, is, that we may h?.ve an opportnty' of knowing more exacriy what may be thought the most eigibl: Steps to be taken in carrying on this great Business of our afociate"
1320900302_000058,"Original papers; containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. To which are prefixed extracts from the life of James II. As written by Himself. The whole arranged and published by James Macpherson, Esq; in two volumes.",James Macpherson,71,0,2,3,1,0,0,0,0,2,1,1,1,1,2,0,1,0,2,1,0,2,1,1,1,1,0,1,0,16,0,1,0,1,0,4,1,1,0,2,0,3,0,2,0,0,0,0,2,3,2,1,0,2,1,0,1,2,1,1776,2,2,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXVI. [1776].",London,699,male,1736,1796,TRUE,"during its continuance : for then all the plenipotentiaries will be so occupied, with receiving and fnding of dispatches, with attendance on all the public and private conferences, with receiving and returning visits, and discharging the ceremonial and essential duties of their commission, that they will have to little spare"
0688800103_000154,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti.",,66,1,1,0,0,0,3,1,0,1,0,1,1,4,4,0,1,2,1,0,0,1,0,1,0,1,0,0,1,3,2,0,1,0,1,0,1,1,0,1,2,5,0,3,3,1,1,3,1,5,0,1,1,0,1,0,2,0,2,1778,3,10,"Edinburgh : printed for J. Balfour and Co. W. Gordon, J. Bell, J. Dickson, C. Elliot, W. Creech, J. Mccliesh, A. Bell, J. Hutton, and C. Macfarquhar, MDCCLXXVIII. [1778].",Edinburgh,858,unknown,,,FALSE,"into a controver Jy with Mr Chandler the dissenting minister; and on the accession of the present royal family he refused to take the oaths to government, and put on a lay habit. He is said to have arcted as a kind of secretary to Bishop Atterbury before his troubles;"
0283700109_000008,"Tryals for high-treason, and other crimes. With proceedings on bills of attainder, and impeachments. For three hundred years past. To which are prefix'd, a preface, giving an account of the nature and usefulness of the work. And an alphabetical table of the respective persons try'd, ... By the same hand that prepared the folio edition for the press. In six parts. ...",Thomas Salmon,72,1,2,1,0,0,1,3,0,0,2,2,1,0,1,0,2,1,1,3,0,3,0,0,1,1,0,1,0,16,0,1,0,0,1,2,2,1,0,1,3,4,0,3,0,0,1,1,2,1,0,0,0,0,1,1,0,1,3,1731,9,9,"London : printed for D. Browne, G. Strahan, W. Mears, R. Gosling, and F. Clay, 1720-31.",London,569,male,1679,1767,FALSE,"deposed before the Committee, that 7ohbn ltunket told him the Buflnefs ( meaning the Invasion) had been done before, but that the French Ambassador wrote to the Regent, and the Regent acquainted King George with it; which occasioned the Army to be encamped. The Committee further observe, That among Plulhket's"
1153800700_000005,An authentic account of the part taken by the late Earl of Chatham in a transaction which passed in the beginning of the year 1778.,,83,8,5,3,1,0,1,5,0,0,2,3,0,1,0,0,3,0,4,0,0,2,0,0,1,0,4,3,0,5,0,0,0,0,0,1,1,0,0,0,1,6,1,1,0,0,3,1,1,0,0,2,2,0,5,2,2,3,0,1778,1,1,"London : printed for J. Almon, Opposite Burlington. House, Piccadilly, MDCCLXXVIII. [1778].",London,39,unknown,,,FALSE,"and No. IV inserted in the preceding account .) c2; AC; 1 20 ] On the 8th of February, soon after Lord Chatham's letter arriyed, the door received that letter from Sir James, which had been ex peaed from February 6th. (Vide No. VI in the preceding account . It"
1606300104_000047,"The works of the Reverend Dr. J. Swift, D.S.P.D. in eleven volumes. Containing, I. His miscellanics in prose. II. His poetical writings. III. The travels of Capt. Lemuel Gulliver. IV. Papers relating to Ireland, and the drapier's letters. V. The conduct of the Allies, and the Examiners. VI. The publick spirit of the whigs, &c. with polite conversation. VII. Letters to and from Dr. Swift. VIII. Directions to servants, sermons, poems, &c. IX. Letters to Governor Hunter. The history of the last sessions of Parliament, and the peace of Utrecht, &c. X. Sermons on several subjects, and other pieces on different occasions. XI. Letters on different subjects the author's life; and poems on several occasions.",Jonathan Swift,66,2,0,0,7,0,2,1,0,0,2,1,0,2,1,0,3,1,1,1,0,2,0,1,1,1,0,1,1,6,0,1,1,0,0,1,0,0,0,0,1,2,1,0,1,1,1,2,2,0,1,2,3,0,1,0,4,3,1,1760,4,11,"Dublin : Printed by George Faulkner, M,DCC,LXIII. [1763].",Dublin,323,male,1667,1745,TRUE,"perhaps, are the best qualified at present , to gather up the Gleanings of this Controversy. As to myself, it hath been my Misfortune to begin, and pursue it upon a very wrong Foundation. For, having deteced the Frauds and Falsehoods of this vile Imposter Wood,. in every Part, I"
1394200102_000210,"Original papers; containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. To which are prefixed extracts from the life of James II. As written by himself. The whole arranged and published by James Macpherson, Esq; in two volumes.",James Macpherson,64,0,4,0,2,1,2,4,4,3,2,0,3,0,1,0,2,0,3,0,0,4,2,2,1,1,2,1,0,3,0,0,1,0,0,1,1,1,1,0,3,1,0,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,1775,2,2,"Dublin : printed for Messrs. J. Exshaw, D. Chamberlaine, J. Potts, W. Sleator, J. Williams, W. Wilson, T. Walker, R. Moncrieffe, C. Jenkin, and M. Mills, M.DCC.LXXV. [1775].",Dublin,704,male,1736,1796,TRUE,"see filch a farce, imagine you have had an audience, and a favourable answer i and no doubt but you to whom he spoke, knows that he laid nothing to you."" This is only the copy of a letter Cent by Schutz in cy oaoher. phers. There is a copy"
1320900302_000214,"Original papers; containing the secret history of Great Britain, from the restoration, to the accession of the House of Hannover. To which are prefixed extracts from the life of James II. As written by Himself. The whole arranged and published by James Macpherson, Esq; in two volumes.",James Macpherson,61,1,0,1,1,0,1,2,1,3,2,0,2,0,4,0,2,0,1,1,0,5,1,0,1,2,0,0,0,5,0,1,3,0,2,1,1,1,1,0,2,2,1,0,0,1,0,0,1,1,2,1,0,0,2,0,0,2,0,1776,2,2,"London : printed for W. Strahan; and T. Cadell, in the Strand, MDCCLXXVI. [1776].",London,699,male,1736,1796,TRUE,"masters not to receive the Pretender in their dominions."" The following letter is in Galke's hand , and not signed; but it is decy phered by Robethon, who marks on the top, ""from M. de Schutz."" Translation. Ibid. p. 2z6. Nov. 24, 1713 "" TORD Halifax is very happy at"
0567900103_000285,"Considerations on India affairs; particularly respecting the present state of Bengal and its dependencies. With a map of those countries, chiefly from actual surveys. By William Bolts, Merchant, and alderman, or Judge of the hon. The Mayor's Court of Calcutta.",William Bolts,80,0,3,2,3,1,5,1,0,8,2,0,0,1,3,0,1,0,0,0,0,0,2,1,6,0,0,1,1,8,0,0,0,0,0,0,2,0,0,5,5,0,0,0,1,0,0,1,2,3,2,1,1,3,1,1,1,1,1,1772,3,3,"London : printed for J. Almon in Piccadilly, P. Elmsley in the Strand, and Richardson and Urquhart under the Royal exchange, MDCCLXXII. [1772].",London,637,male,1740,1808,FALSE,"of my property on my way round in this track: for which purpose I request you will be pleaed to write to your Presidencies at Bombay and fiort St. George, to give me every reasonable assistance. I am, GENTLEMEN, Your most obedient servant , (Signed) WILLIAM BOLTS. N u I."
0552500104_000050,"The works of J. S, D.D, D.S.P.D. in four volumes. Containing, I. The author's miscellanies in prose. II. His poetical writings. III. The travels of Captain Lemuel Gulliver. IV. His papers relating to Ireland, consisting of several Treatises; among which are, The Drapier's Letters to the People of Ireland against receiving Wood's Half-Pence: Also, two Original Drapier's Letters, never before published. In this edition are great alterations and additions; and likewise many pieces in each volume, never before published.",Jonathan Swift,62,2,0,2,5,1,2,1,1,0,2,1,0,2,1,0,3,1,2,1,0,1,0,2,1,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,1,2,3,1,1,0,1,0,3,0,1,2,2,0,1,0,1,3,1,1735,4,4,"Dublin : printed by and for George Faulkner, Printer and Bookseller, in Essex-Street, opposite to the Bridge, MDCCXXXV. [1735].",Dublin,391,male,1667,1745,TRUE,"to give me an easy Lease of some Part of your Estate in rork/pire, thither I will carry my Chest; and turning it upside down, resume my political Reading where I left it off; feed on plain homely Fare, and live and die a FREE honest English Farmer: But not"
0825700104_000354,"The dictionary historical and critical of Mr Peter Bayle. The second edition, Carefully collated with the several Editions of the Original; in which many Passages are restored, and the whole greatly augmented, particularly with a Translation of the Quotations from eminent Writers in various Languages. To which is prefixed, the life of the author, revised, corrected, and enlarged, by Mr Des Maizeaux, Fellow of the Royal Society.",Pierre Bayle,65,3,2,0,5,0,2,3,0,0,1,0,2,0,2,0,1,0,2,0,0,4,0,2,0,0,0,1,1,5,0,0,1,1,2,1,2,0,0,1,0,2,0,2,0,1,0,0,0,0,0,3,1,0,1,1,2,5,3,1734,4,5,"London : printed for J. J. and P. Knapton; D. Midwinter; J. Brotherton; A. Bettesworth and C. Hitch; J. Hazard; J. Tonson; W. Innys and R. Manby; J. Osborne and T. Longman; T. Ward and E. Wicksteed; W. Meadows; T. Woodward; B. Motte; W. Hinchliffe; J. Walthoe, jun. E. Symon; T. Cox; A. Ward; D. Browne; S. Birt; W. Bickerton; T. Astley; S. Austen; L. Gilliver; H. Lintot; H. Whitridge; R. Willock, MDCCXXXIV. [1734].",London,950,male,1647,1706,FALSE,"his sacred majesty during his solitude surprise he perceived written with the same noble and sufferings. By Mr JOHN M I LTON. lord's own hand the following Memorandum. King Translated from the second Englifl edition, enlar Charles II and the duke of York, did both (in the lafj ged and"
1273100200_000180,"The annual register, or a view of the history, politics, and literature, for the year 1778.",,71,4,6,1,1,0,2,1,0,0,2,1,0,1,0,0,3,0,2,0,0,3,0,0,0,0,2,5,0,5,0,0,0,0,1,1,2,1,0,0,0,4,0,1,0,1,1,0,3,0,1,2,1,2,4,3,1,2,1,1781,1,1,"London : printed for J. Dodsley, in Pall-Mall, 1781.",London,704,unknown,,,FALSE,"you, he has nothing to do with them, and has not seen the King these two years, If Lord Chatham has a mind to undertake the diretion of public affairs, there will be no objection to his having the assistance of Lord Camden; but there are some he might choose"
1380201200_000036,"A sermon preached in the Parish-Church of Christ-Church, London, on Thursday April the 24th, 1777: Being the time of the yearly meeting of the children educated in the charity-schools, in and about the cities of London and Westminster. By the Right Reverend Father in God, Jonathan, Lord Bishop of St Asaph. Published at the request of the Society for Promoting Christian Knowledge, and the trustees of the several schools. To which is annexed, an account of the Society for Promoting Christian Knowledge.",Jonathan Shipley,72,2,0,0,2,0,1,10,0,0,2,4,0,0,0,0,2,0,1,1,0,2,1,0,2,0,1,1,0,3,1,1,1,0,2,1,1,1,1,0,1,1,3,4,0,7,1,1,1,4,0,0,1,0,2,1,0,0,1,1777,1,1,"London : Printed by W. Oliver, printer to the said society, in Bartholomew-Close; and sold by John, Francis and Charles Rivington, Booksellers, at (No 62) the Bible and Crown in St Paul's Church-yard, MDCCLXXVII. [1777].",London,153,male,1714,1788,FALSE,"he purposed going the I)day following to Trefco, and taking the Islands of St miartin's, Breher and St Agnes in course as his Strength would permit. And, in a Letter dated the 29th of the ahme Month, he acquaints the SOCIETY that, though extremely weak in Body, yet, as the"
0041301900_000053,"A report from the Committee of Secrecy, Appointed by Order of the House of Commons To Examine Several Books and Papers laid before the House, relating to the late Negotiations of Peace and Commerce, &c. Reported on the Ninth of June, 1715. By the Right Honourable Robert Walpole, Esq; Chairman of the said Committee. Publish'd by Order of the House of Commons.",Great Britain. Parliament. House of Commons,66,1,1,2,0,0,2,2,0,1,1,1,0,0,2,0,1,1,1,2,0,2,0,5,1,0,1,0,1,7,0,1,0,0,1,0,1,1,0,0,3,2,0,1,0,1,0,0,2,0,1,5,2,1,4,1,2,0,2,1715,1,1,"London : printed for Jacob Tonson, Timothy Goodwin, Bernard Lintott, and William Taylor, 1715.",London,154,unknown,,,FALSE,"her lajefty would put her Affairs u  on a solid foot; the Lord Chancellor said it was a againf Law , and to this day will not treat Lord findl.ter with Decency; and Lord Mar has met  with many ill Treatments, as well as Mr. Secretar Bromley. "
0597400104_000105,"Minutes of the evidence taken at the trial of Warren Hastings Esquire, late Governor General of Bengal, at the bar of the House of Lords, in Westminster Hall, upon An Impeachment against him for High Crimes and Misdemeanors, by the Knights, Citizens, and Burgesses, in Parliament assembled, in the Name of themselves, and of all the Commons of Great Britain.",Warren Hastings,78,3,4,0,0,0,1,10,1,2,0,1,0,3,1,0,1,0,0,0,0,0,1,0,3,6,0,2,0,6,0,1,0,0,0,4,2,0,0,4,1,3,2,0,0,0,2,0,2,0,1,2,0,2,0,0,1,3,3,1788,4,11,"[London] : [s.n.], MDCCLXXXVIII. [1788].",London,421,male,1732,1818,TRUE,"Nabob's Court of it; I believe I might have let the British Pefident at Benares know it, but I don't know whether I did or not; but the Nabob, whom it was my Duty to inform of every Circumstance of the Kind, I certainly informed of it. Q. Do you"
0481300122_000014,"The Parliamentary or constitutional history of England; from the earliest times, to the restoration of King Charles II. ... By several hands.",Great Britain. Parliament,77,3,1,1,3,0,0,1,0,0,2,1,0,1,3,0,2,0,1,5,2,0,1,8,1,1,0,2,0,3,2,1,2,0,0,0,2,2,0,3,4,0,2,0,0,0,5,1,2,5,0,1,1,0,0,1,0,1,0,1761,22,24,"London : printed for J. and R. Tonson, and A. Millar; and W. Sandby, 1761-63.",London,496,unknown,,,FALSE,"of Scotland, England with bie and crowsed the Tweed with the Infantry of his Ar Army. my, his Horse following him on the next. Dr. Gum ble, one of his Chaplains, and Author also of his Life , tells us, that the General had but' four Regiments of Horse and"
0102300202_000021,"A catalogue of the royal and noble authors of England, with lists of their works. In two volumes.",Horace Walpole,63,3,3,0,1,0,0,1,0,0,0,2,3,1,1,0,2,0,1,4,0,0,0,3,0,0,2,2,2,4,2,2,1,0,2,1,1,1,0,0,0,1,0,2,1,0,0,1,0,1,0,1,0,1,1,0,2,4,3,1759,2,2,"Dublin : printed for George Faulkner in Essex-Street, and Hulton Bradley in Dame-Street, MDCCLIX. [1759].",Dublin,147,male,1717,1797,TRUE,"Lords, where He spoke for the Bishop, re capitulating in the most masterly manner , and answering all that had been urged a gainrt Him *. His Speech against the Minifiry two years before on the affair of the South-sea Company had a fatal effet; Earl Stanhope an' Win served"
