PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(appear),termFreq(author),termFreq(brought),termFreq(cafe),termFreq(caus),termFreq(charg),termFreq(christ),termFreq(common),termFreq(court),termFreq(death),termFreq(debt),termFreq(declar),termFreq(defend),termFreq(error),termFreq(evid),termFreq(execut),termFreq(faith),termFreq(form),termFreq(gener),termFreq(god),termFreq(grant),termFreq(guilti),termFreq(hall),termFreq(hand),termFreq(hous),termFreq(judg),termFreq(judgment),termFreq(juri),termFreq(justic),termFreq(king),termFreq(know),termFreq(land),termFreq(law),termFreq(life),termFreq(manner),termFreq(matter),termFreq(natur),termFreq(offic),termFreq(opinion),termFreq(order),termFreq(parti),termFreq(peopl),termFreq(person),termFreq(plaintiff),termFreq(plea),termFreq(plead),termFreq(power),termFreq(reason),termFreq(record),termFreq(return),termFreq(rule),termFreq(set),termFreq(sever),termFreq(term),termFreq(think),termFreq(trial),termFreq(word),termFreq(world),termFreq(writ),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1615700900_000043,"A law grammar, or rudiments of the law: Compiled from the grounds, principles, maxims, terms, words of art, rules, and moot-points of our law, in a new, easy and very concise method. For the particular instruction of all young gentlemen, either at schools, colleges, or the universities, or privately educated, attornies clerks, and other persons; whereby they will acquire a great deal more useful learning in the law, than by any of the books yet published. By Giles Jacob, gent. author of the new law-dictionary.",Giles Jacob,105,2,0,0,2,3,2,1,0,0,6,0,4,1,8,2,2,6,0,0,1,0,2,0,0,0,0,3,1,2,0,0,0,2,5,0,0,1,0,0,1,2,3,0,3,4,2,6,0,0,2,1,1,0,1,1,0,9,3,0,10,1763,1,1,"Dublin : Printed for T. and J. Whitehouse, Booksellers, at the State Lottery-Office in Nicholas-Street, M,DCC,LXIII. [1763].",Dublin,144,male,1686,1744,FALSE,"Trials at the aitfes, Note the Record is generally kept by Associate till next Term , when he is to be called upon for the same, and then it is marked, and a Rule taken out as aforesaid; and thereupon Judgement is signed, and entered on a Roll, on which"
0572600200_000055,"A summary of the constitutional laws of England, being an abridgement of Blackstone's Commentaries. By the Rev. Dr. John Trusler.",William Blackstone,115,0,2,0,4,3,2,0,0,1,11,0,2,1,4,3,4,2,0,0,0,0,2,0,2,0,0,7,1,9,0,1,1,1,2,0,0,2,5,1,1,1,7,0,1,6,2,0,0,1,0,2,0,1,0,1,0,10,1,0,8,1796,1,1,"London : printed for the author, and sold by L. Legoux, and by all booksellers in town and country, MDCCXCVI. [1796].",London,237,male,1723,1780,FALSE,"parties , each party having liberty to objeet to it's competency, and to be allowed by a judge or not, in court . And if the judge , either in hisdi. re&ions or decisions, mistakes the law , either through ignorance, inadvertency, or design; the counsel, on either fide, may"
0406701001_000174,"Practice of the Office of Pleas, in the Court of Exchequer, both antient and modern, compiled from authentic materials; with precedents of pleadings, Reports of Cases in Points of Practice and The Rules of Court which now regulate the Course and Practice of that Office. By Philip Burton, Esq; Late Secondary and First Attorney in the said Office. ...","Burton, Philip           1792",100,1,1,2,1,3,3,0,0,2,3,1,2,2,2,2,3,1,0,1,1,0,2,0,0,0,0,0,2,0,0,3,0,1,1,0,0,3,1,0,0,4,4,0,2,4,2,1,0,0,12,4,4,1,1,2,0,2,0,0,13,1791,1,2,"London : printed by A. Strahan and W. Woodfall, Law Printers to the King's Most Excellent Majesty, for E. and R. Brooke, Bell-Yard, Temple-Bar, 1791.",London,593,unknown,,,FALSE,"covenant or a condition 197 -- -- Trials by proviso 245 Puis le darreine continuance. The death of the defendant's husband doth not abate the suit, the wife being the only tort feafor 2 70 Q. tuo minus. The ancient form of this writ 105 -- - -- The mesne"
0174500600_000016,"Reports of cases argued and adjudged in the court of King's Bench, In the Seventh, Eighth, Ninth, and Tenth Years, of his late Majesty King George the Second. During which Time The Right Honourable the Earl of Hardwicke was Lord Chief Justice of that Court. With Tables of the Names of the Cases and Principal Matters. To which is prefixed, A Proposal for rendering the Laws of England Clear and Certain, Humbly offered to the Consideration of both Houses of Parliament.",Great Britain. Court of King's Bench,125,1,5,1,0,8,2,0,0,0,11,0,2,1,8,0,0,2,0,0,1,0,3,0,1,1,0,8,3,5,0,0,0,0,11,0,1,6,3,0,1,1,2,0,0,6,5,1,1,1,3,0,3,0,0,1,0,6,7,0,3,1766,1,1,"London : printed for W. Owen, near Temple Bar; W. Griffin, in Catharine Street, in the Strand; and W. Flexney, near Gray's-Inn-Gate, Holborn, MDCCLXVI. [1766].",London,201,unknown,,,FALSE,"firr of opinion that in cafes of this nature , which wholly turn upon a critical construction of words , it is incumbent upon the court to endeavour, if possible, to make them good in order to maintain the right of the party . That the word ipjf could not"
1615400103_000151,"Commentaries on the laws of England. In four books. By Sir William Blackstone, Knt. One of the late justices of His Britannic Majesty's Court of Common Pleas. In four volumes. Vol. I.--Book I [-Vol. IV. Book IV.].","Bumstead, Joseph",100,0,1,0,3,4,2,0,0,3,9,1,2,0,4,4,3,3,0,2,1,0,2,0,1,0,1,1,1,4,2,2,0,1,5,0,0,7,2,0,0,0,4,0,0,4,1,3,0,1,4,0,0,2,1,0,0,3,0,0,6,1799,3,4,"Printed at Boston : by I. Thomas and E.T. Andrews. Sold by them at Faust's statue, no. 45, Newbury-Street; by I. Thomas, Worcester; by Thomas, Andrews, and Penniman, Albany; by Thomas, Andrews, and Butler, Baltimore; and by E.S. Thomas, Charleston, S.C, 1799.",Boston|Worcester.|Albany.|Baltimore.|Charleston.,528,male,1768,1838,FALSE,"those againff whom it is brought are allowed, in affirmance of the first verdict, to produce new matter I; because the petit jury may have formed their verdic upon evidence of their own knowledge; which never appeared in court . If the grand jury found. the verdict a FALSE one,"
0122200400_000010,"The compleat attorney's practice in English, in the courts of King's Bench and Common Pleas At Westminster. Containing The best Rules and Methods of Practice therein, from the Commencement of the Action to the Execution; and also Forms of Original and Judicial Writs and Processes, and the greatest Variety of Precedents of Declarations, Pleadings, Demurrers, Issues, and Records for Trial, Judgments, Writs of Error, Habeas Corpus's, Prohibitions, Informations, &c. of any Book hitherto publish'd. Likewise the Law of Actions; whether Personal, as Debt, Case, Covenant, Trespass, Trover, Slander, &c. or Real, as Ejectments, Assises, Formedons, Dower, &c. with particular Directions how to prosecute them. All regulated and compleated, Agreeable to the late Statutes for altering and amending the Law. Volume II.",Giles Jacob,140,2,1,0,1,7,7,1,0,1,5,0,0,3,17,0,3,4,0,0,1,0,4,0,0,0,0,4,1,3,0,0,0,0,1,0,0,2,0,2,0,4,5,0,0,8,1,3,0,2,1,3,4,1,1,9,0,24,0,0,4,1737,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq; for F. Clay, at the Bible without Temple-Bar; and H. Lintot, at the Cross-Keys, over-against St. Dunstan's Church in Fleetstreet, MDCCXXXVII. [1737].",London,513,male,1686,1744,FALSE,"further, he must have fourteen. Days Notice from the Plaintiff , before he tries his Cause : But eight Days Notice of Trial is good at the Assizes, let the Defendant live where he will, except on an old Issue; as where a Cause hath remained four Terms without proceeding"
0845800900_000130,"The trader's safeguard: or, a full, clear, and familiar explanation of the law concerning bills of exchange, promissory notes, and evidence on a trial by jury. To which is Added, A Description of the Mode of Commencing and Proceeding in Personal Actions. By Peter Lovelass, of the Inner Temple, Conveyancer; Author of ``the Law's Disposal.''","Lovelass, Peter",122,1,2,1,2,5,6,0,0,1,8,0,2,2,7,0,4,0,0,1,2,0,1,0,0,1,0,4,0,7,0,1,0,0,6,0,0,3,2,1,0,2,8,0,2,12,4,2,0,2,4,0,1,1,0,2,0,9,0,0,3,1793,1,1,"London : printed for the author; and sold by Whieldon and Butterworth, Fleet-Street ; J. Bew, Paternoster-Row ; and R. Pheney, Inner Temple-Lane, [1793].",London,330,male,1786,1812,FALSE,"the defendant's excuse or plea be invalid, as if he pleads that he committed the trespass by authority from a firanger, without setting out the {tranger's right; here the plaintiff may demur in law to the plea : and so on in every other part of the proceedings, where either"
0120600900_000060,"A treatise of laws: or, a general introduction to the common, civil, and canon law. In three parts. I. The Common Law of England; illustrated in great Variety of Maxims, &c. Also the Use of this Law; with References to Statutes, in all Cases. II. Of the Civil Law, intermix'd with the Law of Nations, and its Use here in England; and a Parallel between the Civil Law and Common Law. III. The Canon Law, and Laws Ecclesiastical; containing the Authority, and Rights of the English Clergy; Of Patrons of Churches; Courts Ecclesiastical, Trials, &c. The Whole Adapted To the Use of Students, and Practisers of the Law; Students of the Universities; Civilians, Proctors, Ecclesiasticks, and all young Gentlemen. By Giles Jacob. gent.",Giles Jacob,122,1,4,0,4,8,1,0,0,4,12,0,6,2,4,3,0,4,0,1,1,0,2,0,0,0,1,0,0,0,1,5,0,3,3,2,0,1,2,3,0,1,0,0,5,3,6,4,2,2,1,4,1,1,0,1,0,2,3,0,8,1721,1,1,"[London] : In the Savoy: printed by Eliz. Nutt and R. Gosling, (assigns of Edw. Sayer, Esq;) for T. Woodward, at the Half Moon against St. Dunstan's Church in Fleetstreet, MDCCXXI. [1721].",London,561,male,1686,1744,FALSE,"Freehold Lands reco weed;; a Habere ficias poffefolnem, to put the Plaintiff in actual Possession of his Term , c. and if any of these Writs , whether in personal or real altions, are nor executed within a Year and a Day after the Judgement; then to revive the Judgement"
0173400600_000043,"A law grammar: or, rudiments of the law. Compiled from the grounds, principles, Maxims, Terms, Words of Art, Rules, and Moot-Points of our law, in a new, easy and very concise method. For the particular Instruction Of all young Gentlemen, either at Schools, Colleges, or the Universities, or privately educated, Attornies Clerks, and other Persons; Whereby they will acquire a great deal more useful Learning in the Law, than by any of the Books yet published. By Giles Jacob, Gent. Author of the New Law-Dictionary.",Giles Jacob,124,3,1,0,2,3,3,1,0,0,7,0,4,0,11,3,2,8,0,0,1,0,2,0,0,0,0,3,0,3,0,0,0,2,5,0,0,1,0,0,1,2,2,0,5,6,0,6,0,0,2,2,4,0,1,3,0,8,3,0,14,1772,1,1,"Dublin : printed by Elizabeth Lynch Bookseller, in Skinner-Row, and in the Four-Courts, 1772.",Dublin,144,male,1686,1744,FALSE,"the Plaintiff and Defendant came before such a Judge , and the Jury was elected and sworn, and found such verdict and Coils, c. This is to be carried to the Clerk of the Postea's, to be marked, and after delivered to the Clerk of the Rules , and he"
1411400300_000186,"Laws of the state of North-Carolina. Published, according to act of Assembly, by James Iredell, now one of the associate justices of the Supreme Court of the United States.",North Carolina. General Assembly,136,1,3,6,0,7,5,0,0,0,24,0,1,3,9,4,1,4,0,1,2,0,3,0,3,0,0,0,2,1,0,0,0,0,3,1,1,2,0,1,0,0,1,0,4,8,8,3,0,1,1,6,4,0,0,7,1,0,0,0,4,1791,1,1,"Edenton [N.C.] : Printed by Hodge & Wills, printers to the state of North-Carolina, M.DCC,XCI. [1791]",Edenton,741,unknown,,,FALSE,"make such Return , the Plaintiff in any civil Action may take out an Attachment against the Estate of such Defendant , returnable as is herein before directed for the Return of other Process, thereupon to enforce an Appearance , or an Alias or Pluries Capias, until such Defendant be"
0677100806_000317,"Reports of cases argued and determined in the Court of King's Bench, from Michaelmas Term 35th George III. to Trinity Term 36th George III. 1798, Both Inclusive. With Tables of the Names of Cases and Principal Matters. By Charles Durnford and Edward Hyde East, of the Temple, Esqrs. Barristers at Law. Vol.VI.",Great Britain. Court of King's Bench,102,1,11,1,0,2,2,0,0,0,5,0,3,2,9,0,3,3,0,3,1,0,2,2,0,0,1,1,0,3,1,0,0,0,4,0,3,1,0,2,0,2,2,0,0,6,4,5,0,0,1,3,1,2,0,3,0,5,0,0,2,1796,6,6,"London : printed by A. Strahan, Law-Printer to the King's Most Excellent Majesty; for J. Butterworth, Fleet-Street, 1796.",London,794,unknown,,,FALSE,"appeared c. the cattle were re delivered to him. Replication admitting that the writ of jufticies did ifiie in manner and form c., yet alleges that the defendants of their own wrong and without the residue of the cause by them pleaded in bar broke and entered the cow houfe"
0836900300_000148,"A new abridgment of cases in equity, and of such cases at law, as relate to equitable subjects; from 1735, to the present time. By Josiah Brown, Esq. Barrister At Law, And Editor Of The Cases In Parliament. Vol.I.",Josiah Brown,131,0,1,1,3,5,7,0,0,2,16,0,1,0,10,9,2,0,0,0,2,0,3,2,0,0,0,1,0,1,2,1,0,0,1,0,0,4,0,5,1,3,0,0,1,6,5,0,0,2,4,3,7,1,1,0,0,3,3,0,12,1793,1,1,"London : printed (for the author) by A. Strahan and W. Woodfall, Law-Printers To The King's Most Excellent Majesty; and sold by R. Pheney, Bookseller, Inner-Temple-Lane, Fleet-Street, 1793.",London,557,unknown,,,FALSE,"/liddle/ex in debt only, a rule to show cause was granted ; and upon Ihewing cause , the Court gave leave to amend the bill, by inserting the plea of trespass. Cox V Mundy, I Blackfione, 462 64 The Court of Common Pleas was moved to let aside a teftatum"
0995800802_000004,"The compleat attorney's practice in English, in the courts of King's Bench and Common-Pleas At Westminster. Containing The best Rules and Methods of Practice therein, from the Commencement of the Action to the Execution; and also Forms of Original and Judicial Writs and Processes, and the greatest Variety of Precedents of Declarations, Pleadings, Demurrers, Issues, and Records for Trials, Judgments, Writs of Error, Habeas Corpus's, Prohibitions, Informations, &c. of any Book hitherto publish'd. Likewise the Law of Actions; whether Personal, as Debt, Case, Covenant, Trespass, Trover, Slander, &c. or Real, as Ejectments, Assises, Formedons, Dower, &c. with particular Directions how to prosecute them. All regulated and compleated, Agreeable to the late Statutes for altering and amending the Law. By Giles Jacob, Gent. In two volumes.",Giles Jacob,114,0,1,0,1,4,3,2,0,1,1,0,3,8,8,0,0,4,0,2,3,0,1,2,0,1,0,2,2,4,0,0,0,0,5,0,1,6,0,0,0,2,2,0,1,7,10,5,0,0,3,0,0,1,0,1,0,6,0,0,11,1740,2,2,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Dan. Browne, at the Black Swan without Temple-Bar, [1740?].",London,509,male,1686,1744,FALSE,"Manner of making up Records , Rolls 378 amendable, ca Record of a Cause in Asion of the Cafe 379 A Jurata for the Assises 382 Jurata for a rial in Middlesex 383 A Jurata for London ibid. Form of the Warrants of Attorney 384 A iwrit of Venire sac."
0174500600_000017,"Reports of cases argued and adjudged in the court of King's Bench, In the Seventh, Eighth, Ninth, and Tenth Years, of his late Majesty King George the Second. During which Time The Right Honourable the Earl of Hardwicke was Lord Chief Justice of that Court. With Tables of the Names of the Cases and Principal Matters. To which is prefixed, A Proposal for rendering the Laws of England Clear and Certain, Humbly offered to the Consideration of both Houses of Parliament.",Great Britain. Court of King's Bench,112,1,6,1,1,4,2,0,0,1,1,0,1,0,19,3,0,1,0,0,3,0,3,1,0,0,1,5,0,5,0,0,0,0,4,0,0,3,0,2,1,0,0,0,0,5,8,6,5,1,3,1,3,2,0,1,2,5,0,0,1,1766,1,1,"London : printed for W. Owen, near Temple Bar; W. Griffin, in Catharine Street, in the Strand; and W. Flexney, near Gray's-Inn-Gate, Holborn, MDCCLXVI. [1766].",London,201,unknown,,,FALSE,"for it is all one where the defendant took them, since he took them without warrant, the process being void; quod sit conce dum. It was moved then for a repleader. Et per Holt Ch. J. a repleader cannot be where there is a trespass confessed, and the verdit was"
0637301400_000015,"Acts and laws of the state of Connecticut, in America.","Green, Timothy",129,1,2,3,5,11,7,0,0,1,22,1,3,0,1,0,6,2,0,0,0,0,3,0,1,0,0,4,0,8,5,0,0,1,6,0,0,4,0,3,0,0,5,0,2,1,3,1,1,2,4,4,1,1,0,0,0,2,0,0,2,1784,1,1,"New-London [Conn.] : Printed by Timothy Green, printer to the governor and state of Connecticut, M,DCC,LXXXIV. [1784].",New London,282,male,1737,1796,FALSE,"dia. stating and putting the Question in Law , viz. "" If the Law be so in such a Point, then we find for the Plaintiff ; but if the Law be otherwise, then we find for the Defendant ."" Court im And be it fulrther enased by the Authority"
1181300102_000359,"The works of Sir James Ware concerning Ireland revised and improved. In three volumes. Vol. I. Containing, the history of the bishops ... Vol. II. Containing, the antiquities of Ireland. Vol. III. Containing, the writers of Ireland. In two books. All written in Latin ... now newly translated into English, ... Embellished with copper plates. ...","Ware, James, Sir",108,2,0,3,1,4,1,1,0,2,15,0,0,3,1,1,2,0,0,0,0,0,3,1,0,0,0,9,1,7,4,2,0,0,7,0,0,1,0,2,1,1,3,0,1,0,1,2,6,0,2,5,5,0,0,3,1,2,1,0,1,1739,2,2,"Dublin : printed for the author, by E. Jones, 1739-1746.",Dublin,706,male,1594,1666,FALSE,"This has been the constant Pracice of the Queen's bench in England for "" one hundred Years past. In the Reigns of Queen Elizabeth, King James "" the First, Charles the First and Second, Fames the Second, and King William the Third. It was done in the Trial of the"
