PassageID,Title,Author,Total termFreq,termFreq(air),termFreq(alik),termFreq(ancient),termFreq(arm),termFreq(art),termFreq(bold),termFreq(bright),termFreq(care),termFreq(critic),termFreq(dai),termFreq(die),termFreq(dull),termFreq(ear),termFreq(earth),termFreq(eas),termFreq(end),termFreq(ey),termFreq(face),termFreq(fair),termFreq(fall),termFreq(fame),termFreq(fate),termFreq(flow),termFreq(fool),termFreq(forc),termFreq(form),termFreq(friend),termFreq(give),termFreq(god),termFreq(grace),termFreq(hair),termFreq(half),termFreq(hand),termFreq(head),termFreq(heart),termFreq(honour),termFreq(human),termFreq(judg),termFreq(judgment),termFreq(know),termFreq(law),termFreq(learn),termFreq(lie),termFreq(life),termFreq(light),termFreq(littl),termFreq(lock),termFreq(long),termFreq(lord),termFreq(love),termFreq(merit),termFreq(mind),termFreq(muse),termFreq(nai),termFreq(natur),termFreq(nymph),termFreq(oft),termFreq(old),termFreq(order),termFreq(past),termFreq(place),termFreq(plea),termFreq(poet),termFreq(prais),termFreq(pride),termFreq(proud),termFreq(rage),termFreq(reason),termFreq(ring),termFreq(rise),termFreq(round),termFreq(rule),termFreq(sens),termFreq(soft),termFreq(soul),termFreq(state),termFreq(sun),termFreq(tast),termFreq(think),termFreq(thought),termFreq(thousand),termFreq(thro),termFreq(true),termFreq(vain),termFreq(wit),termFreq(work),termFreq(world),termFreq(write),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0225600100_000023,The works of Mr. Alexander Pope.,Alexander Pope,113,0,1,0,1,3,3,0,0,7,1,0,5,1,0,1,0,2,0,0,1,0,0,0,2,0,1,3,2,0,2,0,0,0,2,0,2,0,3,0,1,3,7,0,0,1,1,0,4,0,1,2,1,1,2,1,0,0,2,1,0,2,0,7,4,1,2,2,1,0,1,0,1,5,0,1,0,0,1,0,1,0,0,1,1,4,3,1,3,1717,1,1,"London : printed by W. Bowyer, for Bernard Lintot between the Temple-Gates, 1717.",London,426,male,1688,1744,TRUE,"is dif approved; That only makes superior sense beloved. Be niggards of advice on no pretence; For the worst avarice is that of sense . With mean complacence never betray your trust, Nor be so civil as to prove unjust: Fear not the anger of the wife to raise; Those"
0709900700_000102,"The poetical preceptor; or, a collection of select pieces of poetry; extracted from the works of the most eminent English poets. Particularly, Addison, Akenside, Armstrong, D. Buckingham Congreve, Cowley, Denham, Dryden, Dyer, Garth, Gay, Grainger, Gray, Hill, Johnson, Ben. Jonson, Lee, L. Lyttleton, Mallet, Mason, Milton, Otway, Parnell, Philips, Pope, Prior, Rowe, Shakespeare, Shenstone, Swift, Thomson, Tickell, Waller, Wharton, Whitehead, Wilkie, Young, &C. And calculated for the use, not only of schools, but of private gentlemen.",,114,0,3,1,1,5,1,1,0,9,0,0,1,0,0,0,1,0,0,1,0,2,0,1,4,1,1,0,1,0,0,0,2,0,0,0,0,2,3,1,2,1,5,0,1,3,0,0,0,0,0,1,1,2,0,8,0,1,1,0,1,0,0,4,1,0,1,1,1,0,1,0,3,3,1,2,0,0,1,1,1,0,0,5,2,10,1,1,5,1780,1,1,"London : printed only for S. Crowder, No. 12, Pater-Noster-Row, MDCCLXXX. [1780].",London,359,unknown,,,FALSE,"poem mut be more exacly made, And sharpest thoughts in fmoothefl words conveyed. Some think , if (harp enough, they cannot fail, As if their only bus'nefs was to rail; But human frailty nicely to unfold, Diifinguifhes a satyr from a scold. Rage you muss hide, and prejudice lay down;"
0296400101_000028,"The poetical works of Alexander Pope, Esq. In three volumes. ...",Alexander Pope,97,0,2,3,0,3,0,1,1,1,0,0,3,2,0,1,1,1,1,0,1,1,0,3,2,1,1,0,2,0,1,0,0,0,1,1,0,0,1,0,2,0,2,0,0,1,2,0,0,0,2,0,2,1,0,4,0,3,3,0,1,1,0,2,2,1,0,1,0,1,1,1,1,6,1,0,0,0,1,0,4,1,0,3,1,7,2,1,1,1785,1,3,"Glasgow : printed by Andrew Foulis, Printer to the University, M.DCC.LXXXV. [1785].",Glasgow,331,male,1688,1744,TRUE,"the Stagirite. ""Not so by Heaven, (he answers in a rage ) ""Knights, squires, and steeds, muif enter on the stage."" So vait a throng the stage can never contain. ""Then build a new, or act it in a plain."" Thus critics , of less judgement than caprice, Curious not"
0118900300_000057,The muse's banquet: consisting of a select collection of pieces in the different species of poetical composition. By the most celebrated authors.,,110,0,1,1,2,2,3,0,0,8,2,0,4,1,0,1,0,2,0,0,0,0,0,0,2,0,0,3,2,0,2,0,0,1,1,0,1,0,1,0,1,3,6,1,0,1,1,0,4,0,1,2,1,1,3,1,0,0,2,1,0,2,0,6,4,1,2,2,1,0,0,0,1,5,0,1,0,0,1,0,1,0,0,2,1,4,3,1,3,1779,1,1,"Dublin : printed by Robert Burton, No. 2, Capel-Street, M,DCC,LXXIX. [1779].",Dublin,349,unknown,,,FALSE,"And make each day a critic on the last. Tis not enough your counsel still be TRUE ; Blunt truths more mischief than nice fallhoods do; Men mufl be taught as if you taught them not, And things unknown proposed as things forgot. Without good breeding, truth is disapprove; That"
0986001300_000006,An essay on criticism. Written by Mr. Pope.,Alexander Pope,103,0,1,1,1,3,2,0,0,6,1,0,4,1,0,1,0,2,0,0,1,0,0,0,2,0,1,3,2,0,2,0,0,0,2,0,1,0,3,0,1,3,7,0,0,1,1,0,4,0,1,1,1,2,2,1,0,0,1,1,0,2,0,6,3,1,2,1,1,0,1,0,1,2,0,1,0,0,1,0,1,0,0,1,1,4,3,1,3,1713,1,1,"London : printed for W. Lewis in Russel-Street Covent-Garden, MDCCXIII. [1713].",London,33,male,1688,1744,TRUE,"And fares, Tremendous! with a threatening Eye , Like Come fierce Tyrant in Old tapefrry! Fear most to tax an Honourable Fool , Whose Right it is, uncenfur'd to be dull ; Such without Wit are Poets when they please, As without Learning they can take Degrees. Leave dangerous Truths"
0277000100_000023,"The works of Mr. Alexander Pope. To which are added, I. Cooper's-Hill. By Sir John Denham. II. An Essay on Translated Verse. And, III. A Translation of Horace's Art of Poetry. By the Earl of Roscommon. IV. An Essay on Poetry. By the Duke of Buckingham. V. An Ode to the creator of the World. VI. Alexander's-Feast; or, the Power of Musick. An Ode in honour of St. Cecilia's Day. By Mr. Dryden. Vii. A Poem on the Prospect of Peace. By Mr. Tickell.",Alexander Pope,114,1,2,3,2,5,3,0,0,7,1,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,1,3,2,0,2,0,0,0,2,1,1,0,4,0,0,5,7,0,0,1,2,0,2,0,1,2,1,6,0,1,0,0,1,1,1,2,0,3,5,1,1,0,1,0,2,0,3,1,0,1,0,0,1,0,1,0,0,0,2,7,2,2,2,1727,1,1,"Dublin : printed by and for George Grierson, at the Two Bibles in Essex-Street, M,DCC,XXVII. [1727].",Dublin,403,male,1688,1744,TRUE,"learned , well-bred; and though' well-bred, sincere; Modestly bold , and humanly severe? Who to a friend his faults can freely show, And gladly praise the merit of a foe? Blessed with a taste exat, yet unconfined; A knowledge both of books and humankind; Generous converse; a soul exempt from"
0811700300_000006,"Roach's beauties of the poets. No. XI. Palemon and Lavinia, by James Thomson. An essay on criticism, by Alexr. Pope Esqr. The vanity of human wishes by Samuel Johnson. Il penseroso, by John Milton. Inkle and Yarico &c. &c.",,117,0,1,3,3,4,3,0,0,8,1,0,2,1,0,1,0,1,0,0,1,1,0,0,1,0,1,3,2,0,2,0,0,1,3,1,1,0,3,0,1,5,8,0,0,1,1,0,1,0,1,2,1,4,2,2,0,0,1,1,0,3,0,5,3,1,2,2,1,0,0,0,3,3,0,1,0,0,0,0,1,0,0,1,0,6,2,1,3,1794,1,1,"London : printed by & for J. Roach, 1794.",London,62,unknown,,,FALSE,"raging vein, Even to the dregs and squeezings of the brain, Strain out the lafl dull droppings of their sense , And rhyme with all the rage of impotence. Such flamelefs bards we have; and ye; tis TRUE There are as mad, abandoned critics too. The bookful blockhead ignorantly read,"
0237600600_000006,An essay on criticism. Written by Mr. Pope.,Alexander Pope,110,0,1,1,1,3,3,0,0,8,1,0,4,1,0,2,0,2,0,0,1,0,0,0,2,0,1,3,2,0,1,0,0,0,2,0,2,0,3,0,1,3,7,0,0,1,1,0,4,0,1,2,1,0,3,1,0,0,2,1,0,2,0,7,4,1,2,2,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,4,3,1,3,1722,1,1,"London : printed for Bernard Lintot, at the Cross-Keys between the Temple Gates in Fleetstreet, 1722 [1721].",London,46,male,1688,1744,TRUE,"so civil as to prove unjust: Fear not the anger of the wife to raise; Those best can bear reproof who merit praise . TWERE well might Critics fill this freedom take, But dppius reddens at each word you speak, C 4 And And flarc, tremendous, with a threatening eye"
0422900101_000031,"The works of Alexander Pope, Esq; In eight volumes. With his last corrections, additions, and improvements. Together with all his notes.",Alexander Pope,111,0,1,2,3,4,4,0,0,8,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,2,1,0,3,0,0,1,1,0,1,0,3,0,2,5,5,0,0,2,1,0,3,0,1,1,1,2,0,5,0,0,1,1,0,2,0,5,2,1,3,0,1,0,1,0,3,2,0,1,0,0,1,0,1,0,0,0,2,7,2,1,3,1770,1,8,"Edinburgh : printed by and for Martin & Wotherspoon, M.DCC.LXX. [1770].",Edinburgh,274,male,1688,1744,TRUE,"talk you dead; For Fools rulh in where Angels fear to tread. 6s Diltruftful sense with modest caution speaks, It still looks home, and fiort excursions makes; But rattling nonsense in full volleys breaks, And never ihock'd, and never turned aside, Burls out, refifflefs, with a tbund'ring tide. 630 But"
0146602000_000006,An essay on criticism. Written by Mr. Pope.,Alexander Pope,105,0,1,3,2,5,3,0,0,8,1,0,1,1,0,2,0,1,0,0,1,1,0,0,1,0,1,2,1,0,2,0,0,0,2,0,1,0,2,0,1,5,7,0,0,1,1,0,2,0,1,1,1,3,2,0,0,0,2,1,1,3,0,5,2,1,2,2,1,0,1,0,2,3,0,0,0,0,0,0,1,0,0,1,0,4,3,1,2,1713,1,1,"London : printed for W. Lewis in Russel-Street Covent-Garden, MDCCXIII. [1713] [1712].",London,38,male,1688,1744,TRUE,"them to renew the Race, As after Stumbling, Jades will mend their Pace. What croups of these, impenitently bold , In Sounds and jingling Syllables grown old , Still run on Poets , in a raging Vein, Even to the Dregs and Squeeziqgs of the Brain; Strain out the lais,"
0811000100_000049,"A collection of essays, epistles and odes. Essay on man. Epistles to several persons. Eloisa to Abelard. The rape of the lock. Messiah. A sacred Eclogue. The temple of fame. Ode for music on St. Cecilia's Day. Ode on solitude. Essay on criticism. The universal prayer. By Alexander Pope, Esq;",Alexander Pope,108,0,1,2,3,3,3,0,0,7,1,0,5,0,0,0,0,2,0,0,2,1,0,0,2,0,1,1,2,0,2,0,0,1,2,0,2,0,3,0,1,3,6,2,0,1,1,0,3,0,1,1,1,2,1,1,0,0,2,1,0,3,0,6,2,1,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,4,3,1,3,1762,1,1,"London : printed for J. James, in New-Bond Street, MDCCLXII. [1762].",London,199,male,1688,1744,TRUE,"each word you speak, 585 And flares tremenduous with a threatening eye , Like some fierce tyrants in old tapestry, Fear most to tax an honourable fool , Whose right it is, uncenfur'd to be dull ; Such, without wit , are poets when they please, 590 As without learning"
0366500503_000024,"Roach's beauties of the poets of Great Britain carefully selected and arranged from the works of the most admired authors Particularly Milton, Pope, Dryder, Thomson, Addison, Goldsmith, Johnson, Young, Blair, Gray, Prior, Theristone, Mallet, Corper, Collins, Parnell, Beattie, Moore, Chatterton, Buckingham, Duncombe, Armstrong, Peroy, Cotton, &c. &c. In six volumes ...",,100,1,3,0,0,4,1,1,1,7,1,1,1,1,0,0,1,2,1,1,0,1,1,0,4,1,2,0,1,0,1,0,2,0,0,0,0,1,3,1,2,0,3,0,1,3,0,0,2,0,1,1,1,1,0,6,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,4,1,4,0,0,1,0,0,0,0,3,2,8,1,0,4,1794,3,6,"London : printed by J. Roach, at the Britannia Printing Office: Weburn Street New Drury Theatre Royal, 1794-[95].",London,249,unknown,,,FALSE,"crowd not on my soul !  No more our long lost Arthur we bewail,  all hail, ye genuine kings, Britannia's issue, hail! III 2 ( Girt with many a baron bold  Sublime their Harry fronts they rear; 4 And gorgeous dames, and statesmen old C In bearded"
0149500600_000006,An essay on criticism. Written in the year MDCCIX. By Alexander Pope Esq.,Alexander Pope,115,0,1,3,3,4,3,0,0,7,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,4,1,0,2,0,0,1,3,1,1,0,4,0,1,5,8,1,0,1,1,0,2,0,1,2,1,2,2,2,0,0,1,1,0,3,0,5,3,1,2,0,1,0,1,0,3,2,0,1,0,0,1,0,1,0,0,0,0,6,3,1,3,1758,1,1,"Halle : printed by J. J. Gebauer, MDCCLVIII. [1758].",Halle,28,male,1688,1744,TRUE,"6n Ihe bookful blockhead ignorantly read, With loads of learned lumber in his head , ** 4 With With his own tongue still edifies his ears , And always listening to himself appears. 61& All books he reads, and all he reads afrails, From Dryden's Fables down to Durfey's Tales."
0094201201_000024,"The works of Alexander Pope, Esq. In four volumes complete. With his last corrections, additions, and improvements. Carefully collated and compared with former editions: together with notes from the various critics and commentators. ...",Alexander Pope,89,0,2,3,0,1,0,1,1,1,1,0,4,2,0,1,1,1,1,0,1,1,0,2,2,1,0,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,2,0,0,1,2,0,0,0,1,0,2,1,0,2,0,2,4,0,1,1,0,1,3,1,1,0,1,1,1,1,1,5,1,0,0,1,0,0,2,1,0,3,1,6,2,1,2,1778,1,4,"London : printed for the Editor, and sold by J. Wenman, No. 144, Fleet-Street, and all other Booksellers in Great Britain and Ireland, MDCCLXXVIII. [1778].",London,377,male,1688,1744,TRUE,"was thought , but never so well expressed; 300 Something, whose truth convinced at sight we find, That gives us back the image of our mind . As shades more sweetly recommend the light , So modes plainness sets off sprightly wit : For works may have more wit than"
0108200301_000023,Miscellany poems. |... By Mr. Pope.,Alexander Pope,95,4,1,2,1,2,1,1,1,1,2,0,0,1,1,1,0,1,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,1,0,0,1,0,4,3,4,0,1,2,1,2,0,2,2,1,1,4,0,0,2,0,2,0,0,0,0,1,4,3,0,1,0,1,2,2,2,0,2,2,0,0,0,2,1,1,0,0,1,4,0,1,1,1727,1,2,"London : printed for Bernard Lintot, at the Cross-Keys, between the Temple-Gates in Fleet-Street, 1727.",London,273,male,1688,1744,TRUE,"txcellent Latin poet , who Writ as art of f celry virfe, Hc jliorifjl'd in the trme of Leo tle tenth. ut But loon by impious arms from Latium chased, Their ancient bounds the banished muses pat; Thence arts over all the northern world advance; But critic learning flourished most"
0402300100_000050,The works of Mr. Alexander Pope.,Alexander Pope,107,0,2,3,1,5,3,0,0,6,1,0,1,0,0,2,0,1,0,0,1,2,0,0,1,0,1,3,2,0,2,0,0,0,2,1,1,0,4,0,0,5,8,0,0,1,1,0,2,0,1,2,1,4,0,1,0,0,1,1,1,2,0,3,4,1,1,0,1,0,2,0,3,2,0,1,0,0,1,0,2,0,0,0,1,6,1,0,2,1720,1,1,"London [i.e. The Hague?] : printed by T. J. [Thomas Johnson] for the company, M.DCC.XX. [1720].",The Hague,273,male,1688,1744,TRUE,"lor Fools rulh in where Angls fear to tread. 63} Ditfruftful sense with modest caution speaks: It still looks home, and short excursions makes; But rattling nonsense in full volleys breaks:) And never flockd, and never turned aside, 6i5 lurfis out, refiflefs with a thundering tied! But where's the Man,"
0237700201_000032,"The works of Alexander Pope, Esq. In six volumes, complete. With his last corrections, additions, and improvements; As they were delivered to the Editor, a little before his Death. Together with the notes of Mr. Warburton.",Alexander Pope,102,1,2,4,3,3,2,0,0,6,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,3,0,1,0,1,1,2,1,1,0,2,0,2,4,7,0,0,0,2,1,1,0,0,1,1,6,0,1,1,0,1,1,0,2,0,4,3,0,1,1,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,3,4,2,2,1,1764,1,6,"London : printed for A. Millar, J. and R. Tonson, H. Lintot, and C. Bathurst, MDCCLXIV. [1764].",London,357,male,1688,1744,TRUE,"please, The scholar's learning , with the courtier's ease . In grave Quintilian's copious work we find 67o The juleft rules , and clearest method joined: Thus useful arms in magazines we place , All ranged in order , and dispose with grace , Bu: lcfs to please the eye"
