PassageID,Title,Author,Total termFreq,termFreq(amurath),termFreq(arm),termFreq(armi),termFreq(asia),termFreq(bajazet),termFreq(centuri),termFreq(citi),termFreq(conquer),termFreq(constantinopl),termFreq(countri),termFreq(court),termFreq(dominion),termFreq(eastern),termFreq(emperor),termFreq(empir),termFreq(europ),termFreq(famili),termFreq(govern),termFreq(grand),termFreq(holi),termFreq(imperi),termFreq(long),termFreq(mahomet),termFreq(majesti),termFreq(militari),termFreq(ottoman),termFreq(peac),termFreq(persia),termFreq(power),termFreq(princ),termFreq(provinc),termFreq(reign),termFreq(religion),termFreq(saracen),termFreq(second),termFreq(son),termFreq(sultan),termFreq(taken),termFreq(tartar),termFreq(tartari),termFreq(throne),termFreq(treati),termFreq(turk),termFreq(turkish),termFreq(valour),termFreq(vizier),termFreq(war),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1181400102_000092,"The works of M. de Voltaire. Translated from the French. With notes, historical and critical. By T. Smollett, M.D. T. Francklin, M.A. and others. In twenty-four volumes. ...",Voltaire,65,5,3,0,1,2,2,0,2,2,4,0,1,1,0,4,1,1,0,0,1,0,1,1,0,0,2,2,2,0,3,0,2,0,0,1,1,2,1,4,2,1,3,4,2,0,0,1,1772,2,24,"Dublin : printed by R. Marchbank, for R. Moncrieffe, 1772-73.",Dublin,287,male,1694,1778,TRUE,"In i505 this country was seized by the Usd 4 beks, beks, but the greatest part of it was conquered b; the Permans about 1510 Great Buccharia, or Mawarahlnar. THIS country was, perhaps, the antienb Bactria, which was a province of the Median, Persian , and Macedonian empires , till"
0138200200_000169,"A new geographical and historical grammar: wherein the geographical part is truly modern; and the present state of the several kingdoms of the world is so interspersed, as to render the study of geography both entertaining and instructive. Containing, I. A description of the figure and motion of the earth. II. Geographical definitions and problems, being a necessary introduction to this study. III. A general division of the globe into land and water. IV. The situation and extent of the several countries contained in each quarter of the world; their cities, chief towns, history, present state, respective forms of government, forces, revenues, taxes, revolutions, and memorable events. Together with an account of the air, soil, produce, traffic, curiosities, arms, religion, language, universities, bishopries, manners, customs, habits, and coins, in use in the several kingdoms and states described. By Mr. Salmon. Illustrated with a set of twenty-two new maps of the several countries; drawn, by the direction of Mr. Salmon, and ingraved by Mr. Jefferys, geographer to his royal highness the Prince of Wales.",Thomas Salmon,69,2,1,0,2,4,1,1,3,1,2,1,0,0,1,3,2,0,1,7,0,0,1,3,0,1,2,0,4,0,2,2,0,1,2,0,2,4,3,1,0,1,0,4,0,0,1,3,1749,1,1,"London : printed for William Johnston, at the Golden-Ball in St. Paul's-Church-Yard, MDCCXLIX. [1749].",London,647,male,1679,1767,FALSE,"country, so that thips of war can proceed that far up the river. On the Decva or Sarayuva vessels can go even to Delhi , and on the river Son to rota/gar The english possess, on the Ganges, the cities of Calcutta , Monguiri, Patna, Benares, and Allaib: ban or"
0145500200_000075,"An introduction to universal history. Translated from the Latin of Baron Holberg. With notes historical, chronological, and critical. By Gregory Sharpe, L L. D. Fellow of the Royal Society, and of the Society of Antiquarians.","Holberg, Ludvig, Baron",85,3,0,1,2,3,0,4,1,3,0,0,2,1,7,11,0,0,2,1,0,1,1,6,0,1,2,0,0,2,4,1,4,3,0,5,3,1,0,0,1,0,0,4,2,2,0,1,1755,1,1,"London : printed for A. Linde, Bookseller to Her Royal Highness the Princess Dowager of Wales, in Catherine-Street, in the Strand, M.DCC.LV. [1755].",London,317,male,1684,1754,FALSE,"into stipulations, or what may be called pa/a convenla, when they admitted the Mogul family, took the field against the two brothers; but the latter were vicorious, and Shah Jehan was put in tranquil poffefion of the empire , but died in 1719 He was succeeded by another prince of"
0125800600_000237,"A new geographical and historical grammar; containing the true astronomical and geographical knowledge of the terraqueous globe: and also the modern state of the several kingdoms of the world; under these four heads: I. The Astronomy of the Solar System, and particularly of the Earth. I. [sic] Universal geography, shewing the divers circumstances relating to the earth, water, and atmosphere. III. Geographical elements, exemplified in definitions, problems, theorems, and paradoxes. IV. Particular geography, concerning the natural and political parts of Europe, Asia, Africa, and America; wherein the climate, productions, and people; the customs, policy, manufactures, and traffic; the religion, strength, history, and other particulars, of all nations, are treated of, in a manner tending to render the study of geography entertaining and instructive. Illustrated with twenty-five maps and plates elegantly executed. By Mr. Salmon. The twelfth edition, with great amendments and improvements by Mr. Robertson.",Thomas Salmon,83,2,1,3,3,5,0,2,3,1,0,0,2,1,5,5,2,1,0,1,0,0,0,5,0,0,2,1,1,3,6,4,1,0,2,0,4,0,1,1,0,1,1,9,2,0,0,2,1772,1,1,"London : printed for C. Bathurst; W. Strahan; J. and F. Rivington; W. Johnston; J. Hinton; K, Hawes, W. Clarke, and R. Collins; T. Davies; S. Crowder; T. Longman; T. Caslon; B. Law; T. Lowndes; J. and T. Pote; L. Stuart; W. Nicoll; G. Robinson; T. Cadell; and R. Baldwin, MDCCLXXII. [1772].",London,733,male,1679,1767,FALSE,"401 E'. L. the nominal capitall of the Mogul empire . It ancienltly flood onl the opplfite bainit. During the latter part of las century, andl the beginning of this, it was said to contain two millionis of inhatbitants; but it is now greatly reduced. -- thelll fertile trait of"
0450800400_000116,"Bibliotheca technologica: or, a philological library of literary arts and sciences. Viz. I. Theology; or the first Principles of Natural Religion. II. Ethics, or Morality; the Doctrine of Moral Virtues. III. Christianity; or the Substance of the Christian Religion. IV. Judaism; or the Religion and State of the Jews. V. Mahometanism; or the Life, Religion, and Polity of Mahomet. VI. Gentilism; or the Deities and Religion of the Heathen. Vii. Mythology; or an Explanation of Fabulous Histories. Viii. Grammar and Language, particularly of the English Tongue. IX. Rhetoric and Oratory; or the Art of speaking eloquently. X. Logic; or the Art of Reasoning and Persuasion. XI. Ontology; or the Science of Being abstractedly considered. XII. Poetry; or the Art of making Verses or Poems. XIII. Criticism; or Art of judging well of Men and Things. XIV. Geography; or a Description of the World. XV. Chronology; or the Doctrine of Time. XVI. History; with the Original of Nations and Kingdoms. XVII. Physiology; or Science of Natural Philosophy. XVIII. Botany; or the Doctrine of Plants and Vegetables. XIX. Anatomy; or a Description of the Parts of an human Body. XX. Pharmacy; or the Art of making Medicines. XXI. Medicine; or the Theory of Physic and Diseases. XXII. Polity and Oeconomics; or the Doctrine of Society and Government. XXIII. Jurisprudence; or the Knowledge of Law or Right. XXIV. Heraldry; or Art of Blazoning Coat-Armour. XXV. Miscellanies: An Account of the Mathematical Arts and Sciences. By Benjamin Martin.",Benjamin Martin,81,0,0,2,6,1,0,1,1,3,4,0,0,0,3,6,1,2,1,0,0,0,0,2,0,1,6,0,5,1,2,1,2,0,2,0,3,6,1,4,2,0,0,8,2,1,0,1,1776,1,1,"London : printed for the author, and sold by W. Owen, M.DCC.LXXVI. [1776].",London,534,male,1705,1782,TRUE,"extead 1 5oo miles. and is carried ocr mountains and .valcys, iroin 20 to 2 ieet high, and broad enough at the top for six horfemlen to travel ablreait withl eaf'. The Chinese have upwards of zo, ooo letters or characters in their language. Hl[iory.] This empire is reported to"
0818000203_000026,"The works of M. de Voltaire. Translated from the French. With notes, historical, critical, and explanatory. By T. Francklin, D.D. Chaplain to his majesty, and late Greek Professor in the University of Cambridge. T. Smollett, M.D. and others.",Voltaire,66,6,2,0,1,2,2,0,2,1,4,0,0,1,0,4,1,1,1,0,1,0,1,2,0,0,2,2,2,0,3,0,2,0,0,1,2,2,2,2,1,1,4,5,2,0,0,1,1778,3,35,"London : printed for S. Crowder, T. Longman, J. Wilkie, Carnan and Newbery, G. Robinson, R. Baldwin, J. Johnson, F. Newbery, W. Goldsmith, T. Evans, and W. Fox, MDCCLXXVIII. [1761-1781].",London,314,male,1694,1778,TRUE,"Amafia, Aladuli, and Ca ramania. * The Circassian Tartars form a kind of republic, but at different times have put themselves under the protection of the Turks, the Persians , and the Russians. t A part of the Russian dominions in Asia. Georgia, I 3 Georgia *, (the ancient Iberia)"
1694800100_000349,"A new system of modern geography: or, A geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. Containing, I. The figures, motions, and distances of the planets, according to the Newtonian system and the latest observations. II. A general view of the earth considered as planet; with several useful geographical definitions and problems. III. The grand divisions of the globe into land and water, continents and Islands. IV. The situation and extent of empires, kingdoms, states, provinces, and colonies. V. Their climates, air, soil, vegetable productions, metals, minerals, natural curiosities, seas, rivers, bays, capes, promontories, and lakes. VI. The birds and beasts peculiar to each country. VII. Observations on the change, that have been any where observed up on the peace of nature since the most early periods of history. VIII. The history and origin of nations, their form of government, religion, laws, revenues, taxes, naval and military strength. IX. The genius, manners, customs, and habits of the people. X. Their language, learning, arts, sciences, manufactures, and commerce. XI. The chief cities, structures, ruins, and artificial curiosities. XII. The longitude, latitude, bearings, and distances of principal places from London. To which are added, I. A geographical index, with the names of places alphabetically arranged. II. A table of the coins of all nations, and their value in English money. III. A chronological table of remarkable events from the creation to the present time. By William Guthrie, Esq; the astronomical part by James Ferguson, F.R.S.",William Guthrie,75,1,1,2,1,4,2,1,1,4,3,2,3,1,5,3,1,2,1,0,1,0,3,2,1,0,0,0,2,3,4,1,0,1,3,0,2,1,1,0,1,0,0,7,0,1,0,3,1780,1,1,"London : Printed for C. Dilly, in the Poultry; and G. Robinson, Pater Noster Row, MDCCLXXX. [1780].",London,854,male,1708,1770,FALSE,"mto eiropl. tone trollu thi: .i kilntdoi, anid a Small inst of ( C i s liiiw here nmiich ilore |ljpplc thil.in, iels; tin Ic tle iiltiht.itnli( ts wot k inlto vt f tli: L ill fioeloft a mrialner, that h; ivinil!i' i: la; d thll L nil lli inflitd,"
1093300200_000458,"A new geographical, historical, and commercial grammar: and present state of the several Kingdoms of the World. Containing I. The Figures, Motions, and Distances of the Planets, according to the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, Curiosities, Seas, Rivers, &c. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature, since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, and Taxes. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude Bearings, and Distances of principal Places from London. To which are added, I. A geographical index, with the names of Places alphabetically arranged. II. A Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. To Which Have Been Added The late Discoveries of Dr. Herschell, and other eminent Astronomers. Illustrated with a correct set of maps.",William Guthrie,73,1,0,2,0,3,2,1,2,2,3,2,3,1,5,5,1,1,1,1,1,0,4,2,1,0,0,0,1,3,4,1,0,1,3,0,0,1,1,0,2,0,0,8,1,1,0,2,1799,1,1,"Montrose : printed for Da. Buchanan, & Jas. Morison, sold by them, J. Fairbairn, A. Constable, Edinburgh; W. Coke, Leith; J. Gillies, & J. Duncan, Glasgow and the booksellers of Dundee, Aberdeen, &c, M,DCC,XCIX. [1799].",Montrose,1120,male,1708,1770,FALSE,"Chinese lys or furlongs in length, i. e. 360o paces, with twelve gates, tfately palaces and temples, wherein are idols of massy gold, as big as the life. The treets are very strait, and at the longest j: o feet, but very dirty. It is the largest and most beautiful"
0114800500_000311,"A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world. Containing I. The Figures, Motions, and Distances of the Planets, according to the Newtonian System and the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, natural Curiosities, Seas, Rivers, Bays, Capes, Promontories, and Lakes. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature since the most early Periods of History. Viii. The History and Origin of Nations: their Forms of Government, Religion, Laws, Revenues, Taxes, naval and military Strength. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude, Bearings, and Distances of principal Places from London. To which are added, I. A geographical index, with the Names of Places alphabetically arranged. II. A table of the coins of all nations, and their Value in English Money. III. A chronological table of remarkable events from the creation to the present time. By William Guthrie, Esq. Illustrated with a New and Correct Set of Maps, Engraved by Mr. Kitchin, Geographer. The fourth edition, improved and enlarged; the astronomical part by James Ferguson, F. R. S.",William Guthrie,79,1,0,2,2,4,2,1,1,3,3,2,3,1,6,4,1,2,1,1,1,0,4,3,1,0,0,0,1,3,4,1,0,1,3,1,1,1,1,0,0,0,0,9,0,1,0,3,1774,1,1,"London : printed for J. Knox, No. 148, near Somerset-House, in the Strand, MDCCLXXIV. [1774].",London,755,male,1708,1770,FALSE,"great variety of physical drugs. The goods exported thither from Europe are, Englih broad cloth, lead, looking glaffs, wuord blades, knives, ha berdabery wares, gold and fllver lace, tin ware, brandy, beer, and some other provisions, chiefly consumed by our own factories. The lhips also frequently take in flints with"
0155501000_000030,"Elements of universal history, for youth: faithfully extracted from the best authors, carefully abridged agreeable to the most exact chronology, and calculated to convey to the tenderest Capacity, in a short Space of Time, an entertaining, useful, and general Knowledge of the History of all ancient and modern Nations, more particularly of that of Great-Britain: With the Boundaries, Capital Towns, Commerce, Population, Government, and Religion of the modern Nations. Also, A Chronological Table Of the learned and ingenious Men, remarkable Events, Inventions, Discoveries, &c. from the Creation of the World to the Year 1786. By J. A. L. Montriou.","Montriou, J. A. L.",95,5,0,2,3,4,0,0,6,1,1,0,2,0,4,5,5,1,0,0,0,2,3,5,0,0,1,4,2,1,8,0,7,3,1,0,3,1,1,1,0,1,0,1,0,1,0,10,1787,1,1,"London : printed for the Author by Fry and Couchman; and sold by R. Marsh, No. 49, Fleet-Street; and W. Darton, White-Lion-Alley, Birchin-Lane, Cornhill, [1787?].",London,196,unknown,,,FALSE,"is said to have used his conquest with great moderation, for he remitted Ibrahim to the prison from whence he had been taken; and Seyd, being likewiie a prisoner, was condemned to perpetual confinement, but the emperor took possession of his vast riches. Seyd did not long survive his confinement;"
1121700100_000005,"A new system of geography: or, a general description of the world. Containing a Particular and Circumstantial account of all the Countries, Kingdoms, and States of Europe, Asia, Africa, and America; Their Situation, Climate, Mountains, Seas, Lakes, Rivers, &c. The Religion, Manners, Customs, Manufactures, Trade, and Buildings of the Inhabitants: with The Birds, Beasts, Fishes, Reptiles, Insects, the Various Vegetables, and Minerals found in Different Regions: also a Concise History of each Country from the earliest Times; And an Introductory Treatise on the Science of Geography. Embellished with a new and accurate set of maps, by the best Geographers; and a great variety of copper-plates, containing Perspective Views of the Principal Cities, Structures, Ruins, &c. By the late D. Fenning and J. Collyer. Vol. II.",Joseph Collyer,70,1,0,1,3,2,2,2,0,1,1,0,1,0,6,7,2,0,2,1,0,0,0,4,0,0,1,3,1,2,3,0,1,1,3,1,2,4,1,2,1,0,0,6,0,1,0,1,1773,1,1,"London : printed for J. Payne, and sold by J. Johnson, No 72, St. Paul's Church-Yard, M.DCC.LXXIII. [1773].",London,858,male,1748,1827,FALSE,"reigned in this country, which, of late years, has suffered dreadfully by civil wars. About 996 Mahmud, the on of Sabektekin, a Tartar soldier of fortune, and general to Nuh ebanmanfur, the sixth prince ot the Sammanian dyafly, founded an empire at Gazna, in the nioft eastern parts of Persia,"
