PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(allow),termFreq(appear),termFreq(appoint),termFreq(better),termFreq(cafe),termFreq(caus),termFreq(charg),termFreq(chariti),termFreq(children),termFreq(church),termFreq(citi),termFreq(counti),termFreq(court),termFreq(famili),termFreq(gave),termFreq(gener),termFreq(god),termFreq(hall),termFreq(hand),termFreq(hous),termFreq(inhabit),termFreq(justic),termFreq(king),termFreq(labour),termFreq(laid),termFreq(land),termFreq(law),termFreq(littl),termFreq(live),termFreq(mean),termFreq(monei),termFreq(offic),termFreq(order),termFreq(paid),termFreq(parish),termFreq(peac),termFreq(peopl),termFreq(person),termFreq(poor),termFreq(pound),termFreq(power),termFreq(present),termFreq(provid),termFreq(rate),termFreq(reason),termFreq(receiv),termFreq(relief),termFreq(remov),termFreq(rich),termFreq(school),termFreq(set),termFreq(settlement),termFreq(tax),termFreq(think),termFreq(town),termFreq(want),termFreq(wife),termFreq(work),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0503800100_000064,"An institute of the laws of England: or, the laws of England in their natural order, according to common use. Published for the Direction of Young Beginners, or Students in the Law; and of Others that Desire to have a General Knowledge in our Common and Statute Laws. In four books. By Thomas Wood, L.L.D. and Barrister at Law.",Thomas Wood,100,2,2,0,2,1,0,0,1,2,4,1,0,2,0,0,0,0,0,2,1,1,2,1,0,0,0,3,0,0,0,0,1,1,1,0,2,5,1,4,21,1,3,0,3,7,0,3,5,2,0,1,1,2,2,1,2,0,0,4,1754,1,1,"[London] : In the Savoy: printed by Henry Lintot, Law-Printer to the King's Most Excellent Majesty; for Henry Lintot, Samuel Birt, Thomas Osborne, Daniel Browne, and John Shuckburgh, M.DCC.LIV. [1754].",London,739,male,1661,1722,FALSE,"of Relief ; and then he may be removed to the Place from whence such Certificate was brought. But By the 9 & 1o W. 3 chap. I i. Such Certificates ] hall not gain a legal Settlement by any A whatojever, unlejs the Person hall take a leaje of"
0119103400_000787,"A new law-dictionary: containing, the interpretation and definition of words and terms used in the law; and also the whole law, and the practice thereof, Under all the Heads and Titles of the same. Together with such Informations relating thereto, as Explain the History and Antiquity of the Law, and our Manners, Customs, and Original Government. Collected and Abstracted from all Dictionaries, Abridgments, Institutes, Reports, Year-Books, Charters, Registers, Chronicles, and Histories, Published to this Time. And fitted for the Use of Barristers, Students, and Practisers of the Law, Members of Parliament, and other Gentlemen, Justices of Peace, Clergymen, &c. The third edition, with very large additions, and the Law-Proceedings done into English. To which is annexed, A Table of References to all the Arguments and Resolutions of the Lord Chief Justice Holt; In the several Volumes of the Reports. By Giles Jacob, gent.",Giles Jacob,118,3,2,0,2,1,0,0,2,0,2,1,1,5,0,1,0,0,0,6,1,2,3,3,0,0,0,0,0,0,0,0,1,6,3,0,11,7,0,14,9,0,1,0,0,2,1,6,4,3,0,0,1,5,3,1,1,1,0,3,1736,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for J. J. and P. Knapton, D. Midwinter, A. Bettesworth and C. Hitch, J. and J. Pemberton, R. Ware, C. Rivington, F. Clay, J. Batley and J. Wood, A. Ward, T. Longman, and R. Hett, MDCCXXXVI. [1736].",London,775,male,1686,1744,FALSE,"Persons of Ability, as Gentlemen, Clergymen, Yeomen and Tradesmen, (such as Bakers, Brewers, Carpenters, Malons, Weavers, Tailors, vc.) to take such Poor Apprentices, either with Money , or without: Also Apprentices may be placed to Farmers, who shall receive them for Husbandry; and tingle Women, Widows, C for Housewifery. And"
0234400500_000035,"A guide to justices; being modern English precedents, for the direction of justices of peace, in making out warrants, mittimus's, recognizances, ... Necessary for all justices of peace, ... By Joseph Higgs, ...","Higgs, Joseph",113,3,4,2,1,0,3,2,1,0,3,1,0,2,3,0,0,0,0,2,1,1,1,5,1,0,0,3,4,0,0,2,3,3,4,0,4,4,0,11,11,0,0,2,1,3,1,5,7,0,1,0,2,0,1,0,0,1,2,2,1734,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edw. Sayer, Esq;) for C. Ward and R. Chandler, and sold at their shop at Scarborough, 1734.",London,234,unknown,,,FALSE,"Cafe made: These are to authorise and require you, on Sight hereof, to seize such, and so much of the Estate of the said A... viz. so much of the Goods and Chattels, and to receive so much of the annual Rents belonging to his Lands and Tenements, as shall"
0502200200_000071,"An institute of the laws of England; or, the laws of England in their natural order, according to common use. Published for the Direction of Young Beginners, or Students in the Law; and of Others that Desire to Have a General Knowledge in Our Common and Statute Laws. In Four books. By Thomas Wood, L. L. D. and Barrister at Law. The fifth edition with additions. To which is prefixed, Some thoughts concerning the study of the laws of England, &c. by the same author.",Thomas Wood,114,4,7,0,0,0,2,0,2,0,2,4,0,1,0,3,0,0,0,1,2,7,1,2,1,1,0,1,0,0,0,1,2,2,1,0,11,3,0,5,9,4,0,0,4,1,0,2,4,0,0,0,1,10,3,0,4,4,0,2,1734,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq;) for Bernard Lintot, and Richard Williamson; and sold by D. Midwinter, in St. Paul's Church-Yard, A. Ward, in Little Britain, J. Stagg, in Westminster-Hall, and D. Browne, without Temple-Bar, MDCCXXXIV. [1734].",London,730,male,1661,1722,FALSE,"relieved with Money . 3 By Prodigality and Debauchery, as idle Persons , Pilferers, Strumpets, &: C These are to be sent to the House of Corretion to be put to hard Labour to mains tain themselves, without being chargeable to the Parish , However, if they are not sent"
0611601300_000029,"A discourse on trade, and other matters relative to it. Viz. Of Trade in general: Of the Trade of England: Of Husbandry, Feeding, Tillage, Corn, Fruit, Fish, Minerals, Trees, Manufactures, Sheep-Wool, Cotton-Wool. Hemp and Flax: Glass, Earthen-Ware, Silk, Distilling: The great Advantages of a universal National Bank demonstrated: Sugar-Baking, Tobacco, Tanning, Clock-Work, Paper - Mills, Powder - Mills: Method to improve our Manufactures, by imploying the Poor: Of Courts of Merchants, Silver Coin: An effectual Method to prevent the Running of Wool: Of our Trade to the East and West-Indies, Africa, the Plantations, Iceland, the Canaries, Spain, Portugal, Turkey, Italy, Holland, Hamburgh, Poland, Russia, Sweden, Denmark, and Norway, France, South-Sea, &c. What foreign Trades are profitable, and what not. An Essay on National Credit, and the Irish Linnen Manufacture, &c. &c. &c. Wrote at the request of several Members of Parliament. And now Published for universal Benefit. By John Cary, Esq; Merchant of Bristol.","Cary, John",99,0,0,1,1,1,0,1,5,1,0,0,5,1,3,0,0,2,0,3,0,5,5,1,1,1,1,2,1,0,0,0,4,1,0,1,7,1,2,2,10,1,3,1,5,2,2,2,2,0,0,0,2,0,1,0,1,1,0,7,1745,1,1,"London : printed for T. Osborne in Gray's-Inn, MDCCXLV. [1745].",London,231,male,,,FALSE,"carry on this charitable Design throughout die whole Kingdom, if Power be given by fme public A of Parliament, for all Places to incorporate who are willing (but may not be able to be at the Charge of a private a&).and to build, or otherwise provide , Hofpitab, Work houfcs,"
0985800500_000058,"An institute of the laws of England; or, the laws of England in their natural order, according to common use. ... In four books. By Thomas Wood, ...",Thomas Wood,116,5,3,0,0,1,1,0,2,0,3,4,0,1,0,2,0,0,0,0,0,9,1,1,1,1,0,1,0,0,1,1,2,3,0,0,9,1,0,4,19,2,0,0,7,3,0,0,3,1,0,0,1,9,3,0,3,3,0,5,1722,1,1,"[London] : In the Savoy: printed by E. and R. Nutt and R. Gosling (assigns of E. Sayer Esq;) for Richard Sare, 1722.",London,704,male,1661,1722,FALSE,"to levy Taxes unpaid, c. [See the 43 Eliz. chap 2 2 9 And the Account of the Overseers of the Poor , pofi.] This was the first Statute made for the Relief of the Poor . Before the Reformation, the Poor were maintained by Offerings and Oblations of pious"
0172301400_000037,"The compleat parish-officer; containing I. The authority and proceedings of high constables, ... II. Of churchwardens, ... III. Of overseers of the poor, ... IV. Of surveyors of the highways, ... Together with the statutes relating to Hackney coaches and chairs, &c. The seventh edition corrected, with very large additions. To which is added the office of constables, written by Sir Francis Bacon, ...",Giles Jacob,122,0,1,1,0,1,0,0,3,0,5,3,1,1,1,3,0,3,0,2,2,1,3,4,0,1,0,1,4,0,1,4,2,0,5,0,5,4,0,8,22,0,2,1,2,4,1,1,7,0,0,0,3,1,6,0,0,0,1,1,1734,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling (assigns of Edw. Sayer, Esq;) for Bernard Lintot, and S. Birt, 1734.",London,240,male,1686,1744,FALSE,"Power to vacate whole Rates ; but in B. R. adjudged that they may qualh such Rates , and refer it to the churchwardens and Overseers to make new ones, or they may make a new Rate thermfelves. Ibid. Besides there Rates for Relief of the Ptnaltie Poor , there"
0677500300_000039,"The compleat parish-officer; containing, I. The authority and proceedings of High Constables, Petty Constables, Headboroughs, and Tithingmen, in every Branch of their Duties pursuant to Acts of Parliament: With the High Constables Precepts, Presentments, Warrants, &c. II. Of Churchwardens, how chosen, their Business in Repairing of Churches, Bells, &c. and Assigning of Seats; the Manner of Passing their Accounts, and the Laws concerning the Church in all Cases; and an Abstract of the Act for building Fifty new Churches in London and Westminster. III. Of Overseers of the Poor, and their Office; their Power in Relieving, Employing, and Settling, &c. of poor Persons; the Laws relating to the Poor, and Settlements, and the Statutes concerning Masters and Servants. IV. of surveyors of the Highways, and Scavengers, how elected, their Business in amending the Ways, &c. and the Duty of others, with the Methods of Taxation, and Laws of the Highways. Together with the statutes relating to Hackney Coaches and Chairs, &c.",Giles Jacob,114,1,3,0,0,1,1,1,2,0,2,1,4,1,2,0,0,0,0,2,0,2,2,3,0,2,1,1,1,0,0,0,2,0,2,2,9,2,1,10,20,0,3,0,4,1,3,0,1,7,0,0,2,1,2,2,1,0,0,6,1731,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for Bernard Lintot, at the Cross-Keys in Fleet-Street; and S. Birt, at the Bible in Ave-Mary-Lane, 1731.",London,203,male,1686,1744,FALSE,"shall after be liable to Removal to the Place where las legally fettled. Persons taxed to the Highways, or on the Scavenger's Rates , hlall not acquire any legal Settlement thereby in any Town or Parish whce paid . In 4ppeals, In Cafe of Appeals from Orders for Remo Notice"
0523701200_000028,"An essay, towards regulating the trade, and employing the poor, of this kingdom. By John Cary.","Cary, John",100,0,0,1,1,2,0,1,4,1,0,0,4,2,3,0,0,2,1,5,0,5,3,1,0,2,0,2,1,0,0,0,4,1,0,1,8,1,2,2,8,1,3,1,4,2,2,2,1,0,0,0,2,0,1,0,3,1,0,9,1717,1,1,"London : printed by Susanna Collins in the Old Baily, and sold by Tim. Goodwin at the Queen's Head against St. Dunstan's Church in Fleet-Street; and Edward Symon at the Corner of Popes-Head Alley in Cornhill, 1717.",London,170,male,,,FALSE,"co 5 which I have done in thn Appendix, because it may probably be of tufe to those, who ( hall be willing to take Pains in a Work of such Service, both o God and the Public. But L ecaue this As was adapted only for c.iis a nd"
0411500200_000340,"The justice of peace: a treatise containing the power and duty of that magistrate, ... Together with a table ... By Theodore Barlow, ... To which is added an appendix, ...","Barlow, Theodore           1749",120,3,1,0,2,0,0,3,0,0,3,2,4,8,0,0,0,1,0,3,2,5,2,14,1,0,1,2,1,0,1,1,5,3,5,0,10,1,0,2,6,1,1,1,2,4,0,3,3,0,0,0,3,0,1,1,4,0,0,4,1745,1,1,"[London] : In the Savoy: printed by Henry Lintot (assignee of Edward Sayer, Esq;) for John and Paul Knapton, and John Nourse, 1745.",London,745,unknown,,,FALSE,"Head officer of Prisoners. the Town , Parish , Hundred, call such Sums as their Parish shall be rated and taxed at: And said High Conflables, c. shall pay the same over at every Qtuarter .seffions, to such sufficient Person dwelling nigh aid Gaol, as small be appointed Colledor by"
0769001100_000720,"A new law-dictionary: containing, the interpretation and definition of words and Terms used in the law; And also the Whole law, and the practice thereof, Under all the Heads and Titles of the same. Together with such Informations relating thereto, as Explain the History and Antiquity of the Law, and our Manners, Customs, and Original Government. Collected and Abstracted from all Dictionaries, Abridgments, Institutes, Reports, Year-Books, Charters, Registers, Chronicles, and Histories, Published to this Time. And fitted for the Use of Barristers, Students, and Practisers of the Law, Members of Parliament, and other Gentlemen, Justices of Peace, Clergymen, &c. To which is annexed, a table of References to all the Arguments and Resolutions of the Lord Chief Justice Holt; In the several Volumes of the Reports. By Giles Jacob, gent.",Giles Jacob,109,3,1,0,2,0,0,0,2,0,4,2,1,2,0,1,0,0,0,2,1,3,4,5,0,0,0,0,0,0,0,0,2,2,5,1,12,6,0,9,9,0,1,0,1,3,1,4,4,1,0,0,0,5,4,1,1,1,0,3,1733,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of E. Sayer, Esq) for J. and J. Knapton, D. Midwinter and A. Ward, A. Bettesworth and C. Hitch, F. Fayram and T. Hatchett, J. Pemberton, J. Osborn and T. Longman, C. Rivington, F. Clay, J. Batley, and R. Hett, MDCCXXXIII [1733].",London,797,male,1686,1744,FALSE,"on Refusal. lall be commit Dwelling in the Parish they came from; and ted to Gaol till they account and pay over the such Persons are to return to their Parishes when Money , ser. If the Inhabitants of any Parish their Work is finihed, and shall not be account"
