PassageID,Title,Author,Total termFreq,termFreq(agre),termFreq(bodi),termFreq(caus),termFreq(certain),termFreq(certainti),termFreq(clear),termFreq(complex),termFreq(conceiv),termFreq(confid),termFreq(differ),termFreq(essenc),termFreq(evid),termFreq(exist),termFreq(figur),termFreq(form),termFreq(gener),termFreq(god),termFreq(idea),termFreq(imagin),termFreq(infinit),termFreq(know),termFreq(knowledg),termFreq(lordship),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(mode),termFreq(motion),termFreq(natur),termFreq(noth),termFreq(notion),termFreq(number),termFreq(observ),termFreq(oper),termFreq(particular),termFreq(perceiv),termFreq(percept),termFreq(power),termFreq(produc),termFreq(proposit),termFreq(qualiti),termFreq(real),termFreq(reason),termFreq(receiv),termFreq(relat),termFreq(sens),termFreq(sensat),termFreq(sever),termFreq(simpl),termFreq(space),termFreq(speci),termFreq(substanc),termFreq(suppos),termFreq(term),termFreq(think),termFreq(thought),termFreq(togeth),termFreq(true),termFreq(truth),termFreq(word),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1016000601_000176,"An essay concerning human understanding. In four books. Written by John Locke, gent. ...",John Locke,166,0,0,1,0,0,0,7,0,0,1,6,1,6,3,0,1,0,34,0,0,1,0,0,0,0,14,5,0,0,3,1,0,1,1,1,1,2,12,6,3,3,4,1,1,2,3,3,0,4,0,0,10,0,2,1,0,1,11,6,3,1777,1,2,"Dublin : printed by and for H. Saunders, W. Sleater, D. Chamberlaine, and J. Potts, M,DCC,LXXVII. [1777].",Dublin,403,male,1632,1704,TRUE,"also in Mathematical Figures , if we Qualiiies, are were to have our complex Ideas of them, only by allinadequate. collecing their Properties in reference to other Figures . How uncertain and imperfea would our Ideas be of an Ellipsis, if we had no other Idea of it, but some"
0323100302_000071,"An essay concerning human understanding. Written by John Locke, Gent. The nineteenth edition. To which are now first added, I. An analysis of Mr. Locke's doctrine of ideas, on a large Sheet. II. A defence of Mr. Locke's opinion concerning Personal Identity, with an Appendix. III. A Treatise on the Conduct of the Understanding. IV. Some Thoughts concerning Reading and Study for a Gentleman. V. Elements of Natural Philosophy. VI. A new method of a common-place-book. Extracted from the author's works. ...",John Locke,132,3,5,0,4,7,2,0,0,1,1,3,5,0,2,0,7,0,19,0,0,2,6,0,1,0,1,0,5,0,0,1,0,2,5,2,3,1,3,2,8,5,5,5,0,0,2,2,1,0,0,1,2,1,2,1,1,1,0,1,1,1793,2,2,"London : printed for T. Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. J. and J. Robinson, T. Cadell, W. Richardson, W. Otridge, J. Sewell, F. and C. Rivington, W. Goldsmith, S. Hayes, Leigh and Sotheby, T. Payne, W. Lowndes, R. Faulder, B. and J. White, G. and T. Wilkie, Scatcherd and Whitaker, R. Ryan, and E. Jefferey, 1793.",London,493,male,1632,1704,TRUE,"motion of corpuscles, would produce in us the sensation of a yellow colour, and what sort of figure , bulk, and texture of parts, in the superficies of anybody, were fit to give such corpuscles their due motion to produce that colour; would that be enough to make. universal propositions"
0929200102_000108,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,123,3,5,0,4,8,1,1,0,1,1,3,3,0,1,0,8,0,19,0,0,2,4,0,1,0,1,0,4,0,0,1,0,1,5,2,4,1,3,1,7,4,5,5,0,0,2,1,1,0,0,1,1,1,2,1,1,1,0,1,1,1731,2,2,"London : printed for Edmund Parker, at the Bible and Crown over against the New Church in Lombard-Street, M.DCC.XXXI. [1731].",London,383,male,1632,1704,TRUE,"of Parts in the Superficies of anybody, were fit to give such Corpuscles their due Motion to produce that Colour; would that be enough to make lniverjatl Propositions with Certainty , concerning the several sorts of them, unless we had Faculties acute enough to perceive the precise Bulk, Figure ,"
0675500102_000239,"Lexicon technicum: or, an universal English dictionary of arts and sciences: explaining not only the terms of art, but the arts themselves. Vol. I. By John Harris, D.D. and F.R.S.",John Harris,152,0,7,1,1,0,0,5,0,1,1,0,0,7,4,1,3,0,31,1,1,0,1,0,1,0,10,4,4,1,2,0,2,1,0,6,0,3,5,4,0,5,1,0,3,2,2,6,3,10,1,0,3,1,1,1,0,2,0,0,3,1710,2,2,"London : printed for Dan. Brown, Tim. Goodwin, John Walthoe, Tho. Newborough, John Nicholson, Dan. Midwinter, and Francis Coggan, MDCCVIII. [1708].",London,914,male,1667,1719,FALSE,"we gain by more than, one Sense as of Space , Extenfon, Figure , irefl, and Motion : For these make forcible Impressions both on the Eyes and Touch. There are other Simple Idea's , which convey themselves into the Mind by all the ways of Sen. fation and. Refleion;"
1723900201_000117,"The works of John Locke, Esq; in three volumes. The contents of which follow in the next leaf. With alphabetical tables.",John Locke,160,0,6,4,0,0,0,6,1,3,4,0,1,8,2,1,0,1,29,1,0,0,2,0,0,0,11,7,4,2,0,1,2,3,1,2,1,2,8,5,0,2,2,0,5,0,1,3,9,8,0,0,1,0,1,2,1,5,0,0,2,1740,1,3,"London : printed for Edmund Parker, at the Bible and Crown, in Lombard-Street; Edward Symon, against the Royal-Exchange, in Cornhill; Charles Hitch, at the Red-Lion, in Paternoster-Row; and John Pemberton, at the Golden-Buck, in Fleetstreet, M.DCC.XL. [1740].",London,659,male,1632,1704,TRUE,"body , avoid receiving them. But when I turn my eyes another way, or remove my body out of the sunbeams, I am properly acive; because of my own choice, by a power within myself, I put myself into that motion . Such an action is the produc of active"
0532701201_000119,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,152,0,4,4,0,0,0,7,1,3,4,0,1,4,2,1,0,1,31,1,0,1,1,0,0,0,12,6,3,2,0,1,2,3,1,1,1,2,5,3,0,2,2,1,4,0,1,3,8,11,0,0,1,0,1,2,1,4,0,0,3,1753,1,2,"Berwick : printed by Robert Taylor, M.DCC.LIII. [1753].",Berwick-upon-Tweed,451,male,1632,1704,TRUE,"confider , as a Philosopher, and examine on what Causes they depend, and of what they are ma, , I believe, they all might be reduced to there few primary and original ones, viz. Exteflon, Solidity, lmobility, or the Power of being moved; which by our Senses we receive from"
0895300102_000105,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,132,2,4,0,4,8,2,0,0,1,1,3,6,0,3,0,8,0,19,0,0,2,6,0,1,0,0,0,5,0,0,1,0,2,5,2,4,1,3,2,6,5,5,5,0,0,2,2,1,0,0,1,2,1,2,1,1,1,0,1,1,1788,2,2,"London : printed for J. F. and C. Rivington, T. and T. Payne, L. Davis, B. and B. White, S. Crowder, T. Longman, B. Law, C. Rivington, J. Robson, J. Johnson, C. Dilly, N. Conant, G. G. J. and J. Robinson, T. Cadell, J. Nichols, W. Richardson, W. Otridge, J. Sewell, W. Goldsmith, S. Hayes, Leigh and Sotherby, W. Lowndes, G. and T. Wilkie, Scatcherd and Whitaker, and R. Ryan. MDCCLXXXVIII. [1788].",London,453,male,1632,1704,TRUE,"revealed to us, what sort of figure , bulk and motion of corpuscles, would produce in us the sensation of ayellozw colour, and what sort of figure , bulk and texture of parts in the superficies of anybody, were fit to give such corpuscles their due motion to produce that"
0315800101_000254,"The works of John Locke, Esq; In three volumes. The sixth edition. To which is added, the life of the author; and a collection of several of his pieces published by Mr. Desmaizeaux. ...",John Locke,126,3,4,0,5,7,2,1,0,0,1,2,5,1,0,0,8,0,20,0,0,2,6,0,1,0,1,0,2,0,0,1,0,2,3,2,3,1,3,0,9,5,6,4,0,1,1,1,2,0,0,1,1,1,2,1,1,1,0,2,1,1759,1,3,"London : printed for D. Browne, C. Hitch and L. Hawes, J. Shuckburgh, A. Millar, J. Beecroft, John Rivington, James Rivington and J. Fletcher, J. Ward, R. Baldwin, J. Richardson, S. Crowder, P. Davey and B. Law, T. Longman, E. Dilly, R. Withy, T. Payne, and M. Cooper. M.DCC.LIX. [1759].",London,646,male,1632,1704,TRUE,"operations of spirits, both their thinking and moving of bodies , we at first sight find ourselves at a loss; though' perhaps whlen vwe have applied our thoughts a little nearer to the consideration of bodies , and their operations , and examined how far our notions , even in"
0319100101_000128,The works of Iohn Locke in four volumes Volume I.,John Locke,157,0,6,4,0,0,0,4,1,3,4,0,1,7,2,1,0,1,27,1,0,0,2,0,0,0,11,8,4,2,0,1,2,3,2,2,1,2,9,5,0,2,2,0,5,0,1,3,9,7,0,0,2,0,0,2,1,6,0,0,1,1768,1,4,"London : printed for H. Woodfall, A. Millar, I. Beecroft, I. and F. Rivington, I. Whiston S. Baker, T. Payne, L. Davis and Co. R. Baldwin, Hawes Clarke and Collins, B. White, W. Iohnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, I. Shuckburgh, and T. Cadell. [and 18 others in London], MDCCLXVIII. [1768].",London,841,male,1632,1704,TRUE,"does not signify any ation in me, where: by I operate on those substances ; but the reception of the ideas of light, roundness and heat, wherein I am not active, but barely passive, and cannot in that position of my eyes, or body , avoid receiving them. But when"
0312100803_000046,"An essay concerning human understanding. In four books. Written by John Locke, Esq. in Three Volumes. ...",John Locke,156,1,0,0,4,11,1,3,1,0,1,12,2,0,0,0,10,0,12,0,0,10,4,0,0,1,2,1,0,2,1,1,0,2,0,2,1,0,0,0,9,1,6,3,1,0,1,0,1,2,0,14,3,4,7,3,0,1,1,9,5,1759,3,3,"Glasgow : printed by Robert Urie, MDCCLIX. [1759].",Glasgow,384,male,1632,1704,TRUE,"make but few general certain propositions concerning them. §. 6 lwherein lies the general certainty of propositions . I. i. THOUGH the examining and judging of . ideas by themselves, their names being quite laid aside, be the best and surest way to clear and distinct knowledge ; yet through"
0319100101_000256,The works of Iohn Locke in four volumes Volume I.,John Locke,133,2,5,0,5,7,2,1,0,0,1,3,4,0,4,0,8,0,18,0,0,4,3,0,2,0,0,0,6,0,0,1,0,2,5,2,3,0,3,3,6,8,4,4,0,0,2,1,1,0,0,1,2,1,2,2,1,1,0,2,1,1768,1,4,"London : printed for H. Woodfall, A. Millar, I. Beecroft, I. and F. Rivington, I. Whiston S. Baker, T. Payne, L. Davis and Co. R. Baldwin, Hawes Clarke and Collins, B. White, W. Iohnston, W. Owen, T. Caslon, S. Crowder, T. Longman, B. Law, C. Rivington, E. and C. Dilly, T. Davies, Robinson and Roberts, I. Shuckburgh, and T. Cadell. [and 18 others in London], MDCCLXVIII. [1768].",London,841,male,1632,1704,TRUE,"changes the primary qualities of one body do regularly pro knowled: e of fubilancc.. duce in the primary qualities of another, and how. Secondly, we mult know what primary qualities of anybody produce certain fenf.tions or ideas in us. This is in truth no lets than to know all the"
1723900201_000245,"The works of John Locke, Esq; in three volumes. The contents of which follow in the next leaf. With alphabetical tables.",John Locke,125,2,2,0,4,6,2,1,0,2,1,3,6,1,0,0,8,0,20,0,1,2,5,0,1,0,1,0,2,0,0,0,1,2,1,2,3,2,3,0,10,5,6,5,0,1,1,0,2,0,0,2,2,1,2,0,0,1,0,2,1,1740,1,3,"London : printed for Edmund Parker, at the Bible and Crown, in Lombard-Street; Edward Symon, against the Royal-Exchange, in Cornhill; Charles Hitch, at the Red-Lion, in Paternoster-Row; and John Pemberton, at the Golden-Buck, in Fleetstreet, M.DCC.XL. [1740].",London,659,male,1632,1704,TRUE,"there, reach, with any clearness , beyond sensible matter of sa4c5, we shall be bound to confess, that even in these too our discoveries amount to very little, beyond per set ignorance and incapacity. Whilst our § 15 tubs is evident , the abftra&, complex ideas of substances , for"
0336400301_000175,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,155,0,5,1,0,0,0,11,0,1,1,6,1,5,5,0,2,0,30,1,1,3,0,0,0,0,11,5,0,0,2,1,1,1,3,1,1,0,14,6,0,3,4,0,2,5,0,4,0,3,0,1,7,0,1,0,0,2,1,2,1,1748,1,2,"London : printed for S. Birt, D. Browne, C. Hitch, J. Hodges, J. Oswald, J. Shuckburgh, A. Millar, J. Beecroft, J. Ward, M. Cooper, and the Executors of H. Pemberton, MDCCXLVIII. [1748].",London,406,male,1632,1704,TRUE,"Ideas of Fusibility and Fixedness, two other passive Powers , in Relation to the Operation of Fire upon it; another, its Dutility and Solubility in Aq. Regia; two other Powers , relating to the Operation of other Bodies , in changing its outward Figure or Separation of it into insensible"
0970100300_000026,An abridgment of Mr. Locke's Essay concerning human understanding.,John Locke,147,1,3,1,4,0,0,6,0,1,3,5,0,5,0,2,1,1,33,0,0,3,0,0,1,0,8,3,1,0,4,0,0,2,0,1,1,0,10,5,2,4,9,0,1,1,1,2,1,2,0,2,7,4,1,0,0,1,2,1,1,1769,1,1,"Dublin : printed by John Exshaw, in Dame-Street, M,DCC,LXIX. [1769].",Dublin,334,male,1632,1704,TRUE,"Ideas adequate or inadequazte. EA L Ideas are either adequate or iizade R quate; firfj, adequate, which perfectly represent those Archetypes which the mind supposes them taken from, and which it makes them to iand for, and to which it refers them. Secondly, inadequate, are such which do but partially"
0336400101_000174,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,147,0,4,1,0,0,0,10,0,1,1,5,1,4,4,0,2,0,31,1,1,3,0,0,0,0,11,4,0,0,2,1,1,1,0,1,1,0,12,6,1,3,4,0,2,3,0,4,0,4,0,1,9,0,2,1,0,1,1,1,1,1731,1,2,"London : printed for Edward Symon, over against the Royal Exchange in Cornhill, M.DCC.XXXI. [1731].",London,406,male,1632,1704,TRUE,"put together , u; ilnllv make the complex Idea in Mens Minds , of that Sort of Body we call Gold. o. o. But no one, who hath considered the Properties of Bodies in general , or this Sort in particular , can doubt, that this, called Gold, has infinite"
0126101502_000046,"An essay concerning human understanding; with thoughts on the conduct of the understanding. By John Locke, Esq. Collated with Desmaizeaux's edition. To which is prefixed, the life of the author. In three volumes. ...",John Locke,132,0,1,0,0,0,0,6,0,1,1,3,1,3,4,0,1,0,30,1,1,3,0,0,0,0,9,4,0,0,2,1,1,1,1,1,1,0,12,6,3,4,3,0,2,3,0,4,0,5,0,1,4,0,1,1,0,1,3,1,1,1795,2,3,"London : printed for Allen & West, J. Mundell and Co. Edinburgh, Mozley & Co. Gainsborough, and J. & A. Duncan, Glasgow, 1795.",London,284,male,1632,1704,TRUE,"has infinite other properties, not contained in that C nmplex idea . Some who have examined this species more accurately, could, I believe, enumerate ten times as many properties in gold, all of them as inseparable from its internal constitution, as its colour or weight: And, it is probable, if"
0336400302_000104,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,134,2,5,0,5,7,1,1,0,0,1,3,1,0,4,0,8,0,21,0,0,4,4,0,2,0,0,0,6,0,0,1,0,2,5,2,3,0,3,4,6,8,5,0,0,0,2,3,1,0,0,2,3,0,2,2,1,1,0,2,1,1748,2,2,"London : printed for S. Birt, D. Browne, C. Hitch, J. Hodges, J. Oswald, J. Shuckburgh, A. Millar, J. Beecroft, J. Ward, M. Cooper, and the Executors of H. Pemberton, MDCCXLVIII. [1748].",London,386,male,1632,1704,TRUE,"is scarce any of the Names of Substances , let the Idea it is applied to be what it will, of which we can generally , and with Certainty pronounce, that it has or has not this'or that other Quality belonging to it, and conitantly co exiiting or in corfiflent"
0312100802_000062,"An essay concerning human understanding. In four books. Written by John Locke, Esq. in Three Volumes. ...",John Locke,150,0,6,1,0,0,0,11,0,1,1,6,1,4,4,0,1,0,29,1,1,3,0,0,0,0,11,4,0,0,2,1,1,1,2,1,1,0,14,6,1,2,4,0,2,5,0,4,0,4,0,1,8,0,0,0,0,2,1,2,0,1759,2,3,"Glasgow : printed by Robert Urie, MDCCLIX. [1759].",Glasgow,413,male,1632,1704,TRUE,"eyes after such a manner, and to. produce in us that idea we call yellow; and the. other to force upwards any other body of equal bulk, they being put into a pair of equal scales, one a gainftanother. Another, perhaps, added to these, the ideas of fusibility and fixedness,"
0108100101_000134,The works of John Locke Esq; In three volumes. The contents of which follow in the next leaf. With alphabetical tables. ...,John Locke,126,0,6,3,0,0,0,3,1,2,4,0,0,3,2,1,0,1,17,1,0,0,2,0,0,0,7,3,4,2,0,1,2,3,2,2,1,2,8,4,1,2,2,0,4,0,1,3,8,7,0,0,2,0,0,2,1,5,0,0,1,1714,1,3,"London : printed for John Churchill, and Sam. Manship, 1714.",London,659,male,1632,1704,TRUE,"this is an aetive Porer. This Reflection may be of some use to preserve us from lmifakes about Porers and Actions, which Grammar, and the common Frame of Languages may be apt to lead us into; since what is fignify'd by Verbs that Grammarians call acive, does not always signify"
0104200102_000067,"The works of John Locke, in nine volumes.",John Locke,157,1,0,0,2,12,1,2,1,0,1,9,2,0,0,0,9,0,13,0,0,7,7,0,0,1,2,1,0,2,0,1,0,2,0,2,1,0,0,0,9,1,6,3,1,0,1,0,1,2,0,17,3,5,7,3,0,1,2,10,6,1794,2,9,"London : printed for T. Longman, B. Law and Son, J. Johnson, C. Dilly, G. G. and J. Robinson, [and 14 others in London], 1794.",London,492,male,1632,1704,TRUE,"the examining and words necef u judging of ideas by themselves, farytoknow their names being quite laid aside, be the edge. best and surest way to clear and distinct knowledge ; yet, through the prevailing custom of using sounds for ideas , I think it is very seldom pratifed. Every"
0689200107_000109,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti.",,164,0,4,3,0,0,1,5,2,1,2,1,0,2,2,0,2,0,31,1,0,1,0,0,1,1,2,5,4,1,5,2,0,3,2,3,0,0,13,6,0,5,1,2,1,1,4,0,4,10,0,2,11,4,0,5,1,5,0,0,2,1778,7,10,"Edinburgh : printed for J. Balfour and Co. W. Gordon, J. Bell, J. Dickson, C. Elliot, W. Creech, J. Mccliesh, A. Bell, J. Hutton, and C. Macfarquhar, MDCCLXXVIII. [1778].",Edinburgh,867,unknown,,,FALSE,"not taken for a particular complex idea , nor a distinct species of action from that of killing any other man. 83 Those collections of ideas have names generally affixed which are of frequent use in conversation: in which cafes, men endeavour to communicate their thoughts to one another with"
