PassageID,Title,Author,Total termFreq,termFreq(admir),termFreq(amplitud),termFreq(aris),termFreq(attent),termFreq(author),termFreq(aw),termFreq(boundless),termFreq(caus),termFreq(charact),termFreq(constitu),termFreq(danger),termFreq(dark),termFreq(degre),termFreq(deriv),termFreq(emot),termFreq(essai),termFreq(excit),termFreq(extend),termFreq(extent),termFreq(fear),termFreq(firmament),termFreq(forc),termFreq(gener),termFreq(geniu),termFreq(grand),termFreq(grandeur),termFreq(great),termFreq(height),termFreq(highest),termFreq(idea),termFreq(imagin),termFreq(impress),termFreq(length),termFreq(life),termFreq(light),termFreq(magnific),termFreq(manner),termFreq(mighti),termFreq(mind),termFreq(mountain),termFreq(natur),termFreq(necessari),termFreq(night),termFreq(object),termFreq(ocean),termFreq(part),termFreq(philosoph),termFreq(pleasur),termFreq(poet),termFreq(power),termFreq(produc),termFreq(sensat),termFreq(soul),termFreq(sourc),termFreq(space),termFreq(strength),termFreq(strong),termFreq(sublim),termFreq(terribl),termFreq(terror),termFreq(thunder),termFreq(varieti),termFreq(vast),termFreq(view),termFreq(water),termFreq(work),termFreq(write),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0484400100_000004,Essays on rhetoric: abridged chiefly from Dr. Blair's Lectures on that science.,Hugh Blair,115,0,1,2,0,0,1,4,4,0,0,0,0,0,1,0,1,0,2,3,0,2,1,3,2,1,7,4,2,0,3,4,2,1,2,0,0,0,0,3,2,6,2,0,5,3,1,1,10,0,2,3,4,0,2,3,0,2,5,0,0,1,2,2,0,1,1,1,1787,1,1,"London : [pri]nted for J. Murray, NO 32, Fleet-Street, MDCCLXXXVII. [1787].",London,431,male,1718,1800,TRUE,"alone it cannot be acquired. As it is a higher faculty than Taste, it is ever, according to the common frugality of nature , more limited in the sphere of its operations. There are persons, not unfrequently to be met with, who have an excellent Taste in feyeral of the"
0036900800_000005,Essays on rhetoric: abridged chiefly from Dr. Blair's lectures on that science.,Hugh Blair,135,1,1,4,0,0,5,4,0,1,0,2,5,0,2,0,0,0,2,1,1,3,1,1,0,3,10,7,2,1,8,3,0,1,0,0,1,1,0,5,2,5,0,1,4,3,1,0,3,0,4,3,1,0,2,3,0,0,19,1,0,1,1,2,2,1,0,0,1785,1,1,"London : printed for J. Murray, NO 32, Fleet-Street, MDCCLXXXV. [1785].",London,548,male,1718,1800,TRUE,"of feeing and hearing had only served to dif tinguilh external objets, without giving us any of those refined and delicate sensations of beauty and grandeur , with which we are now so much delighted. The pleasure which arises from sublimity or grandeur deserves to be fully considered; because it"
0357500300_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University, of Edinburgh.",Hugh Blair,118,0,1,2,0,1,3,0,0,0,0,0,6,1,1,0,0,0,0,4,0,2,2,1,0,3,5,11,2,1,7,4,3,1,0,0,1,0,2,2,3,2,1,2,4,2,0,0,1,1,2,2,1,0,2,3,0,1,12,1,0,2,0,4,1,4,0,1,1784,1,1,"Philadelphia : Printed and sold by Robert Aitken, at Pope's Head in Market Street, MDCCLXXXIV. [1784].",Philadelphia,479,male,1718,1800,TRUE,"51 elementsofcritieifmt, Chap. IV gree of awfuhlnefs and solemnity, even approaching to severity, commonly attends it whecn a its height very diftinguilhable from the more ghyiand brifi emotiot raised lby beautibul objects . , . tise simplest form of external Grandeur appears in the; aft and boundlrfs profpeas presented to"
0427601200_000005,Essays on rhetoric: abridged chiefly from Dr. Blair's lectures on that science.,Hugh Blair,120,1,1,3,0,0,5,2,0,1,0,2,2,0,2,0,0,0,2,3,1,2,1,1,0,3,8,7,1,2,8,3,1,1,0,0,0,1,0,5,2,4,1,1,5,3,1,0,3,0,4,3,1,0,2,3,1,0,12,1,0,2,0,0,1,1,0,0,1784,1,1,"Dublin : printed for R. Moncrieffe, No. 16, Capel-Street, M,DCC,LXXXIV. [1784].",Dublin,254,male,1718,1800,TRUE,"ts;, e' hath widely eiilat d ttle fpheie of the leasur'es : f human. liife and' those, too,. of kind the nmofti pure asid innocent, Ttie  necessary purposes purposes of lile might have been' amply an fwered, though pur senses of feeing and hearing had only. served to distinguish"
1291300101_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...",Hugh Blair,121,0,2,1,0,1,4,0,0,0,0,0,6,1,1,0,0,0,0,3,1,1,2,1,0,2,4,12,0,2,7,5,0,0,0,1,2,0,3,2,2,1,1,4,3,2,0,0,1,1,4,1,1,0,1,3,2,0,16,1,0,3,1,3,1,4,0,1,1789,1,2,"Dublin : printed for Messrs. Colles, Moncrieffe, Gilbert, Walker, Exshaw, White and Byrne, M,DCC,LXXXIX [1789].",Dublin,393,male,1718,1800,TRUE,"IV ocean , not from its extent alone, but from the perpetual motion aid irresistible force of that mass of waters . Wherever space is concerned, it is clear, that amplitude or greatness of extent , in one dimension or other, is necessary to Grandeur . Remove all boteds from"
1482700200_000289,"The New annual register, or General repository of history, politics, and literature, for the year 1783. To which is prefixed, a short review of the state of knowledge, literature, and taste, in this country, from the Norman conquest, to the accession of Edward the first.",,106,2,2,1,0,0,0,3,0,0,0,0,0,4,1,2,0,0,2,3,0,2,2,1,7,2,5,8,3,0,3,2,1,1,0,0,1,1,2,4,2,3,0,0,2,3,1,0,1,3,0,2,0,0,1,2,0,1,8,0,0,3,1,2,0,4,2,0,1784,1,1,"London : Printed for G. Robinson, Pater-noster-Row, 1784.",London,765,unknown,,,FALSE,"univerfil genius , or one who is equallly and indifferently turned towards several different profeflizons and arts, is not likely to exicel in any. Although there may be some few exceptions, yet: in grener~al it holds, that when the bent of the mind is wholly dire~ted towards someone ob~jela, exclusively,"
0225900601_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,122,0,2,1,0,1,4,0,0,0,0,0,7,1,1,0,0,0,0,2,1,1,1,1,0,2,4,12,0,2,8,5,0,0,0,1,2,0,3,2,2,1,1,4,7,1,0,0,1,1,4,1,1,0,2,3,2,0,14,1,0,4,1,1,1,4,0,1,1788,1,3,"Basil : printed by J. J. Tourneisen, 1788.",Basel,417,male,1718,1800,TRUE,"waters . Wherever space is concerned, it is clear, that amplitude or greatness of extent , in one dimen esa L E C T. flon or other, is necessary to Grandeur . Remove IJL all bounds from any object , and you presently render it sublime . Hence infinite space"
0225900601_000014,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,108,1,0,3,0,1,2,4,4,1,0,0,0,3,0,2,1,0,2,2,0,2,1,0,0,1,10,1,3,1,1,4,2,2,3,0,0,0,0,3,1,4,1,0,7,2,1,1,7,0,2,2,4,0,0,1,0,2,7,0,0,0,2,1,0,0,1,2,1788,1,3,"Basil : printed by J. J. Tourneisen, 1788.",Basel,417,male,1718,1800,TRUE,"who attempted a regular inquiry, in his Essay on the Pleasures of the Imagination , publifled in the sixth volume of the Spedator. He has reduced these Pleasures under three VOL. I. X t E C T. heads; Beauty, Grandeur , and Novelty. His IIL speculations on this subject, if"
1291300101_000014,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One Of The Ministers Of The High Church, And Professor Of Rhetoric And Belles Lettres In The University, Of Edinburgh. In two volumes. ...",Hugh Blair,117,1,0,3,0,1,2,4,4,0,0,0,0,3,0,2,1,0,2,1,0,2,0,1,0,1,10,1,3,1,1,4,4,2,3,0,0,0,0,3,1,4,1,0,11,2,1,1,9,0,2,2,4,0,0,1,0,2,9,0,0,0,2,2,0,0,1,2,1789,1,2,"Dublin : printed for Messrs. Colles, Moncrieffe, Gilbert, Walker, Exshaw, White and Byrne, M,DCC,LXXXIX [1789].",Dublin,393,male,1718,1800,TRUE,"is, to give some openings into the Pleasures of Tafle in general ; and to insist, more particularly, upon Sublimity and Beauty. We are far from having yet attained to any system concerning this subject. Mr. Addison was the first who attempted a regular inquiry, in his Essay on the"
1441300600_000004,Essays on rhetorick: abridged chiefly from Dr. Blair's lectures on that science.,Solomon Southwick,96,0,1,2,0,0,1,3,2,1,0,0,0,0,1,0,1,0,2,3,0,2,1,2,2,1,7,4,2,0,3,4,1,1,2,0,0,0,0,3,2,5,2,0,1,2,1,1,8,0,2,4,3,0,2,2,0,0,2,0,0,1,2,1,0,1,1,1,1798,1,1,"Albany [N.Y.] : Printed by Barber & Southwick, and sold at their book-store, two doors north of the city-hall, Court-Street, and at Faust's statue, State-Street, M,DCC,XCVIII. [1798].",Albany,308,male,1773,1839,FALSE,"be greatly improve and cultivated by art and Jfudy, but by them alone it cannot be acquiredt.as(i.t is a higher faculty than taste) it is ever, according to the common frugality of nature , more limited in the sphere of it. operations. (There are persons, not unfrequenti to be met"
1282300101_000015,"Lectures on rhetoric and belles lettres. By Hugh Blair, D.D. & F.R.S. Ed. one of the Ministers of the High Church, and professor of rhetoric and belles lettres in the University of Edinburgh. In two volumes. ...",Mathew Carey,106,0,2,1,0,1,4,2,0,0,0,0,1,1,1,0,0,0,0,4,0,1,2,0,0,3,4,11,2,1,7,4,3,1,0,0,1,0,2,2,3,1,1,1,6,2,0,1,0,1,1,1,0,0,2,3,0,0,10,0,0,4,1,1,1,4,0,1,1793,1,2,"Philadelphia : From the press of Mathew Carey, March 19 --M.DCC.XCIII. [1793].",Philadelphia,503,male,1760,1839,FALSE,"the impress : ion of fublimitv. It is to be remarked, however, that space , exte: dead in length , makes not so ft; ong an impression as * See a philosophical inquiry into the origin cos our dess of the fllbil,,; e anid beaurifui; dr. Gerard on taste, fedcio"
1482700200_000291,"The New annual register, or General repository of history, politics, and literature, for the year 1783. To which is prefixed, a short review of the state of knowledge, literature, and taste, in this country, from the Norman conquest, to the accession of Edward the first.",,108,3,2,3,0,2,0,0,1,1,0,3,0,1,0,4,0,0,2,1,0,1,3,1,0,3,4,4,1,1,6,2,2,0,1,0,1,1,1,6,0,4,0,0,3,0,2,0,1,0,4,7,2,0,2,0,0,0,9,3,3,0,2,0,4,0,0,1,1784,1,1,"London : Printed for G. Robinson, Pater-noster-Row, 1784.",London,765,unknown,,,FALSE,"where virtue either has no place, or is but imperfe~tly difplayr ed, yet if extraordinary vigour and force of m ind be discovered, wse stre not: insensible to a degree of grandeur in thle character ; and from the fplfendid conqueror, or the daring conspirator, whom we are far fromn"
0546300201_000014,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,103,1,0,2,0,1,2,3,4,1,0,0,0,3,0,2,1,0,2,0,0,1,0,1,0,1,9,1,2,1,1,4,4,2,3,0,0,0,0,3,1,4,1,0,3,1,1,1,9,0,2,2,4,0,0,1,0,2,9,0,0,0,2,1,0,0,1,3,1783,1,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert [and 9 others in Dublin], 1783.",Dublin,436,male,1718,1800,TRUE,"discourse, or writing , being the main object of them. All that I purpose is, to give some openings into the Pleasures of Taste in general ; and to insist, more particularly, upon Sublimity and Beauty. WE are far from having yet attained to any fyfiem concerning this subject. Mr."
0417500101_000014,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,106,0,0,2,0,1,1,3,4,0,0,0,0,3,0,2,1,0,2,0,0,1,0,1,0,1,9,1,2,1,1,4,4,2,3,0,0,0,0,2,1,4,2,0,6,1,1,2,9,0,2,3,4,0,0,1,0,2,9,0,0,0,2,2,0,0,1,3,1796,1,3,"London : printed for A. Strahan, and T. Cadell; and W. Creech, Edinburgh: and sold by T. Cadell jun. and W. Davies, (successors to Mr. Cadell), 1796.",London,429,male,1718,1800,TRUE,"necessary to the purpose of my Lectures, that all these flould be examined fully; the pleasure which we receive from discourse, or writing , being the main.objec of them. All that I propose, is to give same openings into the Plea VOL. I. E sures IR . C a'. sures"
0036900800_000006,Essays on rhetoric: abridged chiefly from Dr. Blair's lectures on that science.,Hugh Blair,108,3,0,1,0,2,2,0,0,1,0,3,4,1,0,2,0,1,2,0,0,1,2,0,2,1,3,0,0,1,5,3,3,0,0,3,3,2,1,0,0,2,1,0,7,0,0,0,2,1,3,2,0,0,1,0,2,4,20,3,4,1,0,0,0,1,0,2,1785,1,1,"London : printed for J. Murray, NO 32, Fleet-Street, MDCCLXXXV. [1785].",London,548,male,1718,1800,TRUE,"Akenfide's Pleasures of the Imagination . Look then abroad through nature ; to the range Of planets, suns, and adamantine spheres, Wheeling, unihaken, through' the void immense; And speak, 0 Man! does this capacious cene, With half that kindling majesty, dilate Thy strong conception, as when Brutus rose, Refulgent from"
0427601200_000006,Essays on rhetoric: abridged chiefly from Dr. Blair's lectures on that science.,Hugh Blair,109,2,0,1,0,2,1,0,0,1,0,3,4,1,0,2,0,1,2,0,0,1,2,0,2,1,3,0,0,1,6,2,2,0,0,3,3,2,1,0,0,1,1,0,11,0,0,0,1,1,4,2,0,0,1,0,3,3,21,3,4,1,0,0,1,1,0,1,1784,1,1,"Dublin : printed for R. Moncrieffe, No. 16, Capel-Street, M,DCC,LXXXIV. [1784].",Dublin,254,male,1718,1800,TRUE,"to set out with him in a storm, "" Quid times? cafarem.vehis; "" are good instances of the Sentimental Sublime . The Sublime , in naiural and in moral objecs, is presented to us in one view , and compared together in the following beautiful passage of Akenfide's Pleasures of"
0382100201_000014,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,102,0,0,2,0,1,1,2,4,1,0,0,0,3,0,2,1,0,2,0,0,1,0,1,0,0,9,1,1,1,0,4,3,1,3,0,0,0,0,2,0,5,2,0,6,1,1,1,12,0,2,3,4,0,1,1,0,1,8,0,0,0,2,2,0,0,1,3,1785,1,3,"London : printed for W. Strahan; T. Cadell; and W. Creech in Edinburgh, 1785.",London,466,male,1718,1800,TRUE,"confider the sources of the Pleasures of Taste. Here opens a very extensive field; no less than all the pleasures of the imagination , as they are commonly called, whether afforded us by natural objecs, or by the imitations and descriptions of them. But it is not necessary to the"
1128700101_000014,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,99,1,0,2,0,1,1,2,4,1,0,0,0,3,0,2,1,0,2,0,0,1,0,1,0,0,9,1,2,1,1,4,3,2,3,0,0,0,0,3,0,4,1,0,6,1,1,1,9,0,2,2,3,0,0,1,0,1,9,0,0,0,2,1,0,0,1,3,1783,1,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert, Walker, Exshaw, White, Beatty, Burton, Byrne, Parker, and Cash, M,DCC,LXXXIII. [1783].",Dublin,435,male,1718,1800,TRUE,"to the purpose of my Lectures, that ail these should be examined fully; the pleasure which we receive from discourse, or writing , being the main object of them. All that i purpose. is, to give some openings into the Pleasures of Taste in general ; and to insist, more"
0937200401_000017,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,96,2,2,1,0,3,0,0,1,1,0,3,0,0,0,3,0,0,2,1,1,1,2,1,0,1,3,1,0,0,5,2,0,0,1,0,1,0,1,1,0,5,0,0,9,0,0,0,1,0,3,3,2,0,1,0,1,1,15,3,3,1,1,0,3,0,0,4,1793,1,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1793.",London,468,male,1718,1800,TRUE,"approving, we cannot with hold our admiration t. I HAVE * The Sublime , in natural and in moral objects , is brought before us in one view , and compared together, in the following beautiful passage of Akenfide's Pleasures of the Imagination : Look then abroad through nature ;"
1399700100_000004,Essays on rhetoric. Abridged chiefly from Dr. Blair's lectures on that science.,"Butler, Samuel",85,0,0,2,0,0,1,0,4,1,0,0,0,0,1,0,1,0,2,3,0,1,1,3,1,1,5,2,2,1,3,2,1,1,2,0,1,0,0,2,1,3,2,0,4,3,1,1,7,0,1,3,2,0,1,2,0,1,4,0,0,1,3,1,0,0,0,0,1797,1,1,"Printed at Boston : by Samuel Etheridge, for Thomas and Andrews: sold at their bookstore; by Thomas, Andrews and Penniman, Albany; and by Thomas, Andrews and Butler, Baltimore, May, 1797.",Boston|Albany.|Baltimore.,249,male,1765,1827,FALSE,"some few exceptions, yet in general it is true, that when thle bent of the minds is wiholly dtirec~ed towards some one ob jec&, exclusively, as it wered of others, there is the fairest profp~ec of eminence in that, whatever it mnay be. Extreme heat can be produced only when"
0957700301_000017,"Lectures on rhetoric and belles lettres. By Hugh Blair, ... In three volumes. ...",Hugh Blair,94,2,2,1,0,3,0,0,1,2,0,4,0,1,0,3,0,0,2,1,1,1,3,1,0,1,3,2,0,0,5,2,1,0,1,0,0,0,1,2,0,6,0,0,4,0,0,0,1,0,3,3,2,0,1,0,1,1,15,3,3,1,1,0,3,0,0,0,1790,1,3,"London : printed for A. Strahan; T. Cadell; and W. Creech in Edinburgh, 1790.",London,468,male,1718,1800,TRUE,"we behold a man uncommonly intrepid, and resting upon himself; superior to pafflon and to fear ; animated by some great principle to tile contempt of popu F 2 lar L EIC T. lar opinion, of selfish interest, of dangers , or _ -, -_ of death,, we are struck'"
1128700101_000017,"Lectures on rhetoric and belles lettres. By Hugh Blair, D. D. One of the Ministers of the High Church, and Professor of Rhetoric and Belles Lettres in the University, of Edinburgh. In three volumes. ...",Hugh Blair,93,1,2,1,0,4,0,0,1,2,0,3,0,0,0,3,0,0,2,1,0,1,2,1,0,1,3,1,0,0,5,1,1,0,1,0,1,0,1,1,0,3,0,0,5,0,1,1,0,0,3,3,2,0,1,0,1,0,19,3,3,1,1,0,2,0,0,4,1783,1,3,"Dublin : printed for Messrs. Whitestone, Colles, Burnet, Moncrieffe, Gilbert, Walker, Exshaw, White, Beatty, Burton, Byrne, Parker, and Cash, M,DCC,LXXXIII. [1783].",Dublin,435,male,1718,1800,TRUE,"Brutus rose, Refulgent, from the stroke of Cefaria fate, -.' Amid the crowd of patriots; and his arm Aloft extending , like eternal Jove, When guilt brings down the thunder , cali'd aloud On Tully's name, and shook his crimson steel, And bade the father of his country hail! Forlo!"
