PassageID,Title,Author,Total termFreq,termFreq(adversari),termFreq(answer),termFreq(ball),termFreq(begin),termFreq(cafe),termFreq(card),termFreq(chanc),termFreq(club),termFreq(consequ),termFreq(count),termFreq(deal),termFreq(diamond),termFreq(dice),termFreq(equal),termFreq(follow),termFreq(forc),termFreq(gain),termFreq(game),termFreq(hand),termFreq(happen),termFreq(heart),termFreq(hold),termFreq(honour),termFreq(king),termFreq(knave),termFreq(lai),termFreq(lead),termFreq(leav),termFreq(left),termFreq(lose),termFreq(method),termFreq(number),termFreq(odd),termFreq(order),termFreq(parti),termFreq(partner),termFreq(perform),termFreq(person),termFreq(plai),termFreq(player),termFreq(probabl),termFreq(queen),termFreq(reason),termFreq(remain),termFreq(round),termFreq(run),termFreq(small),termFreq(spade),termFreq(stage),termFreq(suit),termFreq(suppos),termFreq(throw),termFreq(trick),termFreq(trump),termFreq(turn),termFreq(win),termFreq(won),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0520300500_000025,"Hoyle's games improved. Being practical treatises on the following fashionable games, viz. whist, quadrille, piquet, chess, back-gammon, draughts, cricket, Tennis, Quinze, Hazard, Lansquenet, and Billiards. In which are also contained, the method of betting at those games upon equal, or advantageous Terms. Including the laws of the several games, as settled and agreed to at White's and Stapleton's Chocolate-Houses, the Star and Garter, &c. Revised and corrected by Charles Jones Esq.",Edmond Hoyle,200,4,1,0,3,1,23,1,9,0,0,1,5,0,0,1,1,0,6,6,0,6,14,2,9,6,0,7,1,1,0,0,2,2,5,0,6,0,1,8,4,1,7,1,2,2,0,5,7,0,11,2,2,3,16,0,5,0,1786,1,1,"London : printed for J. F. and C. Rivingto T. Payne and Son, S. Crowder, R. Baldwin, B. Law, W. and C. Domville, W. Lowndes, E. Newbery, S. Bladon, and G. and T. Wilkie, [1786].",London,316,male,1672,1769,FALSE,"your Partner has Trumps remaining , and he leads a Suit of which you'hold ione; if you have a good Quart (or Sequence of four) throw away the highest of it. 34 If you have an Ace with one small Card of any Suit , and several winning Cards in"
0301300100_000015,"Mr. Hoyle's games of whist, quadrille, piquet, chess, and back-gammon. Complete. In which are contained, the method of playing and betting, at those games, upon equal or advantageous Terms. Including the laws of the several games. To which is now first added, Two New Cases at Whist, never before printed: Also, The New Laws of the Game at Whist, As played at White's and Saunders's Chocolate Houses.",Edmond Hoyle,255,10,1,0,0,3,18,1,7,6,0,1,2,0,3,0,2,2,2,13,0,3,0,0,8,6,0,12,0,2,2,2,0,1,2,0,14,0,0,19,0,2,4,1,2,0,0,8,6,0,20,16,4,6,26,1,17,0,1760,1,1,"London : printed for Thomas Osborne, in Gray's Inn, Stanley Crowder, at the Looking-Glass; and Richard Baldwin, at the Rose, in Pater-Noster-Row, [1760?].",London,222,male,1672,1769,FALSE,"D; all the Trumps are played out except one, which C or D has; A has three or four winning Cards in his Hand of his Suit already played , with an Ace, and one small Card of another suit : f2uery, Whether it is A's best Play to throw"
0520300500_000028,"Hoyle's games improved. Being practical treatises on the following fashionable games, viz. whist, quadrille, piquet, chess, back-gammon, draughts, cricket, Tennis, Quinze, Hazard, Lansquenet, and Billiards. In which are also contained, the method of betting at those games upon equal, or advantageous Terms. Including the laws of the several games, as settled and agreed to at White's and Stapleton's Chocolate-Houses, the Star and Garter, &c. Revised and corrected by Charles Jones Esq.",Edmond Hoyle,208,1,0,0,2,1,10,3,9,2,0,9,7,0,0,0,3,0,9,5,3,10,1,0,23,1,0,3,2,0,3,1,0,1,0,3,3,0,6,26,5,1,4,0,0,0,0,8,7,0,3,1,0,4,10,5,10,3,1786,1,1,"London : printed for J. F. and C. Rivingto T. Payne and Son, S. Crowder, R. Baldwin, B. Law, W. and C. Domville, W. Lowndes, E. Newbery, S. Bladon, and G. and T. Wilkie, [1786].",London,316,male,1672,1769,FALSE,"Wins about 6 to. That he fetches out the Trump is 7206 to 1465, near 5 to I; besides the Chance for his King's palling, though the Trump lbould not fall. XII Three FALSE Matadores and Three of Hearts , King and one small Club , King and one Diamond"
0090701600_000015,"Mr. Hoyle's games of whist, quadrille, piquet, chess, and back gammon. Complete. In which are contained, the method of playing and betting, at those games, upon equal or advantageous Terms. Including the laws of the several games.",Edmond Hoyle,249,10,0,0,0,3,17,1,7,6,0,2,2,0,3,0,3,2,3,11,0,3,0,0,8,6,0,12,0,2,2,2,0,1,2,0,16,0,0,16,0,2,4,1,2,0,0,6,6,0,18,18,3,5,28,1,15,0,1760,1,1,"London : printed for Thomas Osborne, in Gray's-Inn, Stanley Crowder, at the Looking-Glass, and Richard Baldwin, at the Rose, in Pater-Noster-Row, [1760?].",London,210,male,1672,1769,FALSE,"his winning Cards , or the small Card to his Ace suit ? .Afwer, It is his best Play to throw away one of his winning Cards , because if his right hand Adversary plays to his Ace suit , he has it in his Power to pass it, and"
0674200200_000014,"Hoyle's games improved being practical treatises on whist quadrille piquet chess back-gammon draughts cricket Tennis Quinze Hazard Lansquenet Billiards Faro Rouge & Noir Cribbage Matrimony Cassino Goff or Golf and Connexions In which are contained the method of betting at those games upon equal or advantageous Terms. Revised and corrected by Charles Jones, Esq.",Edmond Hoyle,245,10,0,0,0,3,17,1,7,6,0,2,2,0,3,0,3,2,3,11,0,3,0,0,8,6,0,12,0,2,2,2,0,1,2,0,16,0,0,17,0,2,2,1,2,0,0,5,6,0,18,15,4,6,25,1,17,0,1796,1,1,"London : printed for R. Baldwi B. Law, C. Dilly, T. Payne, W. Lowndes, James Scatcherd, E. Newbery, S. Bladon, G. and T. Wilkie, W. Miller and W. Stewart, [1796].",London,312,male,1672,1769,FALSE,"Suit : Sleerc, Whether it is A's belt 39 belt Play to throw away one of his winning Cards , or the fmallj Card to his Ace suit ? Afnfver, It is his best Play to throw away one of his winning Cards ; because, if his right hand Adversary"
1222300300_000023,"The polite gamester: containing, short treatises on the games of whist, with an artificial memory, quadrille, back-gammon, piquet and chess. Together with an essay towards making the doctrine of chances easy to those who understand Vulgar Arithmetic only. To which are added, some useful tables on Annuities for Lives, &c. &c. &c. By Edmund Hoyle, gent.",Edmond Hoyle,213,1,0,0,2,1,7,3,10,2,0,4,7,0,0,0,1,0,9,5,3,11,0,0,26,1,0,3,1,0,5,1,0,1,0,3,3,0,4,31,5,1,4,0,0,0,0,8,8,0,3,2,0,7,10,4,11,5,1772,1,1,"Dublin : printed by T. Ewing In Capel-Street, M.DCC.LXXII. [1772].",Dublin,218,male,1672,1769,FALSE,"I. XI Four Matadores in Hearts , King and two finall Clubs , King and two f.na!l Spades . Wins about 16 to I. That he fetches out the Trumps Trumps is 7206 to i465, near 5 to I; befidei the Chance for his King's pafling, though' the Trumps should"
1089500400_000019,"The polite gamester: containing, short treatises on the games of whist, with an artificial memory, quadrille, back-gammon, piquet and chess. Together with an essay towards making the doctrine of chances easy to those who understand Vulgar Arithmetic only. To which are added, some useful tables on annuities for lives, &c. &c. By Edmund Hoyle, Gent.",Edmond Hoyle,210,8,1,0,0,3,12,1,8,2,0,1,2,0,3,0,2,3,3,10,1,2,1,1,11,8,0,4,0,1,0,2,0,1,2,0,15,0,0,23,1,3,5,0,2,0,0,2,2,0,15,9,5,5,16,2,12,0,1776,1,1,"Dublin : printed by James Hoey, at the Mercury in Parliament-Street. (no. 19.), M,DCC,LXXVI. [1776].",Dublin,218,male,1672,1769,FALSE,"Play , and probably gain three Tricks bv it. V If you choose to have Trumps played by the Adversaries , and that your Partner has led a Suit to you, of which you have the Ace, Knave , Ten, Nine and Eight, or the King , Knave , Ten,"
0673701100_000024,Hoyle's games improved consisting of practical treatises on whist quadrille piquet chess back-gammon draughts cricket Tennis Quinze Vingt-Un Hazard Lansquenet Billiards Faro or Pharo Rouge & Noir Cribbage Matrimony Cassino Goff on Golf Connexions Reversis Put All-Fours and Speculation With an essay on game cocks; wherein are comprised calculations for betting upon equal or advantageous Terms. Revised and corrected by Charles Jones Esq.,Edmond Hoyle,194,3,0,0,3,1,17,1,6,0,0,1,5,0,0,1,0,0,5,7,0,5,9,1,10,5,0,14,1,1,0,1,2,1,5,0,5,0,3,14,6,1,7,1,0,2,1,5,4,0,9,1,0,4,21,1,3,1,1800,1,1,"London : printed by M. Ritchi Middle Street, Cloth Fair, for R. Baldwin, T. Payne, W. Lowndes, G. Wilkie, J. Scatcherd, Longman and Rees, E. Newbery, W. Stewart, J. Lee, T. Hurst, and J. Mawman, [1800].",London,340,male,1672,1769,FALSE,"them out. 37 Never play the best card of your adversaries lead at second hand , unless your partner has none of that suit . 38 If you have four trumps and the command of, a suit whereof your partner has none, lead a fmlall card in order that he"
0090701400_000004,"A short treatise on the game of quadrille. Shewing the odds of winning or losing most Games that are commonly played; either by calling a King, or by playing Sans Prendre. To which are added, the laws of the game. The second edition. By Edmond Hoyle, gent.",Edmond Hoyle,213,1,0,0,2,1,6,3,11,2,0,4,6,0,0,0,1,0,9,4,2,14,0,0,26,1,0,3,1,0,5,1,0,1,0,3,3,0,3,28,5,1,4,0,0,0,0,15,8,0,3,2,0,7,9,4,9,5,1746,1,1,"London : printed for T. Osborne, at Gray's Inn; J. Hildyard, at York; M. Bryson, at Newcastle; and J. Leake, at Bath, MDCCXLVI. [1746].",London,36,male,1672,1769,FALSE,"9 to 4 X Spadille, Manille, Two, Three, Four, Five, Six of Hearts , two small Diamonds , one small Club . Wins above 9 to I, nearer 10 to' I. XI Four Matadores in Hearts , King and two small Clubs , King and two small Spades . Wins"
0680500600_000014,"Hoyle's games improved; being practical treatises on whist, quadrille, piquet, chess, back-gammon, draughts, cricket, Tennis, Quinze, Hazard, Lansquenet, Billiards, and Goff or Golf: In which are contained, the method of betting at those games upon equal or advantageous Terms; including the laws of each, as settled and agreed to, at Brookes's, White's, D'Aubigny's, the Scavoir Vivre, Miles's, Payne's, and other Fashionable Houses &c. Revised and corrected by Charles Jones, Esq. A new edition enlarged.",Edmond Hoyle,237,8,1,0,0,3,9,0,6,3,0,2,2,0,2,0,1,2,4,8,1,3,0,3,11,9,1,13,0,2,2,1,0,1,1,0,18,0,0,17,0,1,7,1,1,0,0,4,6,0,14,18,2,5,32,0,12,0,1790,1,1,"London : printed for J. F. and C. Rivington, T. Payne and Son, R. Baldwin, B. Law, W. Goldsmith, W. Lowndes, E. Newbery, S. Bladon, G. and T. Wilkiz, and C. Stalker., 1790.",London,301,male,1672,1769,FALSE,"suppose you have two Trumps only, and that your Partner has no Trump ; and suppose your right hand Adversary lays a thirteenth or some other winning Card , in that cafe pass it, by which Means you gain a Trick , because the left hapd Adversary must trump It."
0403600800_000022,"The accurate gamester's companion: containing infallible rules for playing the game of whist To Perfection In all its Branches. Treated in an easy Manner, and illustrated with Variety of Cases. Also the laws of the game, Calculations relative to it, &c. The ninth edition improv'd. To which are added, the games of quadrille, piquet, chess and back-gammon, fully explain'd. Likewise a dictionary for whist, and an artificial memory. The whole founded on the experience of Edmond Hoyle, Gent.",Edmond Hoyle,219,1,0,0,1,1,7,3,13,2,0,3,12,0,0,0,1,0,8,5,2,16,0,0,27,1,1,3,1,0,7,1,0,1,0,2,3,0,3,20,4,1,4,0,0,0,0,21,8,0,3,2,0,4,9,3,12,3,1748,1,1,"London : printed for Tho. Osborne: and sold by W. Reeve, at Shakespear's-Head, near Serjeant's-Inn-Gate, in Fleet-Street, [1748] [1750].",London,225,male,1672,1769,FALSE,"4 VI VI Spadille, Manille, Punto, Three, Four and Five of Hearts , two small Diamonds , two fmallclubs. Loses 1514, to 1125, or above 4 to 3 VII Spadille, Manille, King , Three, Four and Five of Hearts , two small Diamonds , two small Clubs . Loses 278"
0083801600_000004,"A short treatise on the game of quadrille. Shewing the odds of winning or losing most games that are commonly played; either by calling a King, or by playing Sans Prendre. To which is added the laws of the game. By Edmond Hoyle, gent.",Edmond Hoyle,210,1,0,0,2,1,7,2,8,2,0,4,7,0,0,0,1,0,9,6,3,9,0,0,24,1,0,3,2,0,5,1,0,1,0,3,2,0,4,33,6,1,4,0,0,0,0,11,6,0,3,2,0,9,7,4,11,5,1745,1,1,"Dublin : printed for George and Alex. Ewing at the Angel and Bible in Dame-Street, Booksellers, MDCCXLV. [1745].",Dublin,24,male,1672,1769,FALSE,"Diamond , King and one small Spade . Loses 5791 to 2880, or above 2, to I. XIII Three falfematadores, Three and Four of Hearts , King and one Club , King and two Spades . Wins 215 to 162, or about 4 to 3 XIV Three faife Matadores, Three,"
1233301100_000013,"The polite gamester: containing, short treatises on the games of whist, quadrille, back-gammon, piquet and chess. Together with An artificial memory, or, an easy method of assisting the memory of those that play at the Game of whist. By Edmund Hoyle, Gent.",Edmond Hoyle,213,6,0,0,0,8,11,2,1,3,0,1,2,0,3,0,2,0,3,13,2,2,1,3,8,3,0,15,0,1,1,2,0,1,2,0,14,0,0,16,2,2,6,1,1,0,0,4,2,0,21,14,2,8,19,0,5,0,1752,1,1,"Dublin : printed for G. and A. Ewing, at the Angel and Bible in Dame-Street, M,DCC,LII. [1752].",Dublin,209,male,1672,1769,FALSE,"third Hand ( if that happens to be be the Cafe , upon the Return of the Suit , you rle Tenace, and confequendy stand a fair Chance for three Tricks in that Suit . XIX A CASE to deno; frate the renace. Let us suppose A and B to"
1089500400_000023,"The polite gamester: containing, short treatises on the games of whist, with an artificial memory, quadrille, back-gammon, piquet and chess. Together with an essay towards making the doctrine of chances easy to those who understand Vulgar Arithmetic only. To which are added, some useful tables on annuities for lives, &c. &c. By Edmund Hoyle, Gent.",Edmond Hoyle,200,1,0,0,2,1,7,2,8,2,0,4,6,0,0,0,1,0,9,4,3,9,0,0,24,1,0,3,2,0,5,1,0,1,0,3,3,0,3,32,6,1,3,0,0,0,0,6,7,0,3,1,0,9,7,4,12,4,1776,1,1,"Dublin : printed by James Hoey, at the Mercury in Parliament-Street. (no. 19.), M,DCC,LXXVI. [1776].",Dublin,218,male,1672,1769,FALSE,"King and one small Spade . Loses 5791 to 2880, or above 2 to. XIII Three FALSE Matadores, Three and Four of Hearts , King and one Club , King and two Spades . Wins 215 to 162, or about 4 to 3 XIV Three FALSE Matadores, Three, Four and"
0915100300_000018,"The polite gamester: containing short treatises on the games of whist, with an artificial memory, quadrille, backgammon, piquet and chess. Together with an essay towards making the doctrine of chances easy to those who understand vulgar arithmetick only. To which are added, some useful tables on annuities for Lives, &c. &c. &c. By Edmund Hoyle, Gent.",Edmond Hoyle,217,1,0,0,2,1,7,3,14,1,0,4,11,0,0,0,1,0,8,5,3,15,0,0,26,1,0,3,1,0,4,1,0,1,0,3,3,0,3,24,4,1,3,0,0,0,0,18,8,0,3,2,0,4,9,4,12,3,1761,1,1,"Dublin : printed for George and Alexander Ewing, M,DCC,LXI. [1761].",Dublin,216,male,1672,1769,FALSE,"Four and Five of Hearts , two finall Diamonds , two small Clubs . Loses 278 to 99, or about 14 to 5 VIII Spadille, Manille, Three, Four, Five, and Six of Hearts , two small Diamonds , two finall Clubs . Loss above 3, to. IX Spadille, Manille, Three,"
0674200400_000026,"Mr. Hoyle's games of whist, quadrille, piquet, chess, and back-gammon, complete. In which are contained, the method of playing and betting at those games, upon equal, or advantageous Terms. Including the laws of the several games.",Edmond Hoyle,197,2,0,1,2,1,11,2,4,1,0,5,3,0,0,0,3,0,11,5,4,4,3,0,18,0,0,3,3,0,3,1,0,1,0,3,3,0,5,38,7,1,3,0,0,0,0,4,3,0,3,1,0,11,6,4,8,6,1765,1,1,"London : printed for Thomas Osborne, in Gray's-Inn; Henry Woodfall, and Richard Baldwin, both in Pater-Noster-Row, [1765?].",London,225,male,1672,1769,FALSE,"or about 4to 3 XVIII Manille, Bafto, Queen , Three, Four and Five of Hearts , King and one Club , two small Spades . Loses 278 to 99, or near 3 to. XIX Manille, Basso, Three, Four, Five and Six of Hearts , King and one Diamond , two"
